Orthogroup	CquinquefasciatusJHB2020	AfunestusAfunGA1
OG0000002	CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269	AFUN2_003508
OG0000003	CQUJHB001577, CQUJHB000234	AFUN2_013652
OG0000003	CQUJHB017073	AFUN2_004469
OG0000004	CQUJHB011428, CQUJHB011352, CQUJHB009309, CQUJHB007713, CQUJHB003640, CQUJHB004840, CQUJHB009344, CQUJHB007777, CQUJHB016412, CQUJHB007447	AFUN2_001150, AFUN2_009612, AFUN2_006106, AFUN2_013665, AFUN2_006350, AFUN2_013636, AFUN2_003330, AFUN2_008877, AFUN2_013113, AFUN2_005179, AFUN2_007262, AFUN2_012616, AFUN2_009887, AFUN2_009657
OG0000006	CQUJHB000743	AFUN2_004254
OG0000007	CQUJHB016780	AFUN2_004043, AFUN2_006670, AFUN2_001709, AFUN2_014614, AFUN2_009778, AFUN2_001920, AFUN2_011937, AFUN2_005862, AFUN2_011780, AFUN2_012023, AFUN2_007690, AFUN2_003406, AFUN2_006859, AFUN2_003170
OG0000008	CQUJHB014582, CQUJHB016283	AFUN2_005813
OG0000008	CQUJHB001648, CQUJHB013802, CQUJHB008227, CQUJHB003756, CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915, CQUJHB018038	AFUN2_011626, AFUN2_014353, AFUN2_012060
OG0000008	CQUJHB017383	AFUN2_001736
OG0000008	CQUJHB016685, CQUJHB005146, CQUJHB012207, CQUJHB014535, CQUJHB007135, CQUJHB011337	AFUN2_010492
OG0000009	CQUJHB010981	AFUN2_009447
OG0000010	CQUJHB010392	AFUN2_008829
OG0000010	CQUJHB008428, CQUJHB007624	AFUN2_000320
OG0000010	CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374	AFUN2_014109, AFUN2_009560, AFUN2_009244, AFUN2_008846, AFUN2_008281, AFUN2_001353, AFUN2_006534, AFUN2_002304, AFUN2_006559, AFUN2_012647, AFUN2_010091
OG0000011	CQUJHB010034, CQUJHB012166	AFUN2_011181
OG0000011	CQUJHB017782	AFUN2_000890
OG0000011	CQUJHB009406, CQUJHB008703, CQUJHB007209, CQUJHB003154, CQUJHB016900, CQUJHB006977, CQUJHB006084, CQUJHB014128, CQUJHB014298, CQUJHB009992, CQUJHB003864, CQUJHB007951, CQUJHB009382, CQUJHB002707	AFUN2_006226, AFUN2_002927, AFUN2_003622, AFUN2_009821, AFUN2_002952
OG0000012	CQUJHB005776, CQUJHB000447	AFUN2_008516
OG0000012	CQUJHB005320	AFUN2_003802
OG0000012	CQUJHB015331, CQUJHB006695, CQUJHB006332, CQUJHB001229, CQUJHB004173	AFUN2_006798
OG0000013	CQUJHB005557, CQUJHB003968	AFUN2_008231, AFUN2_000667
OG0000013	CQUJHB001230	AFUN2_002726
OG0000013	CQUJHB017291	AFUN2_011275
OG0000013	CQUJHB016730, CQUJHB002448, CQUJHB016895	AFUN2_004549, AFUN2_003503, AFUN2_006795
OG0000014	CQUJHB010535, CQUJHB010268, CQUJHB016652, CQUJHB005213, CQUJHB010035, CQUJHB004375, CQUJHB007396, CQUJHB004496, CQUJHB013428, CQUJHB011375, CQUJHB017103, CQUJHB002299, CQUJHB002262, CQUJHB000349, CQUJHB009868, CQUJHB010683, CQUJHB003432, CQUJHB007349, CQUJHB000429, CQUJHB012022, CQUJHB011118, CQUJHB018125	AFUN2_006975
OG0000014	CQUJHB005028	AFUN2_010356, AFUN2_013192, AFUN2_003737, AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598, AFUN2_000713, AFUN2_001431
OG0000015	CQUJHB014108, CQUJHB006827	AFUN2_012161
OG0000015	CQUJHB017458	AFUN2_000980, AFUN2_004072, AFUN2_012163, AFUN2_005101, AFUN2_004396
OG0000016	CQUJHB006645, CQUJHB016247	AFUN2_008470
OG0000016	CQUJHB002864, CQUJHB014022, CQUJHB013033, CQUJHB008355, CQUJHB010597, CQUJHB015483, CQUJHB013841, CQUJHB014607, CQUJHB001605, CQUJHB016745, CQUJHB011147, CQUJHB016507	AFUN2_011213, AFUN2_014654, AFUN2_011099, AFUN2_013263, AFUN2_014351, AFUN2_010177
OG0000016	CQUJHB001667, CQUJHB007454, CQUJHB003219, CQUJHB007767, CQUJHB016639	AFUN2_004982
OG0000017	CQUJHB001516	AFUN2_003556, AFUN2_007093, AFUN2_006574
OG0000017	CQUJHB006040, CQUJHB006644	AFUN2_008822
OG0000017	CQUJHB017511	AFUN2_000914
OG0000019	CQUJHB010923, CQUJHB017568, CQUJHB012227, CQUJHB003348, CQUJHB005206, CQUJHB011701, CQUJHB008385, CQUJHB008344, CQUJHB016812, CQUJHB000031, CQUJHB005502, CQUJHB009245, CQUJHB004876, CQUJHB006191, CQUJHB011660, CQUJHB002802, CQUJHB006041, CQUJHB016337, CQUJHB008421, CQUJHB002737, CQUJHB005792, CQUJHB003290, CQUJHB008431, CQUJHB018142, CQUJHB009958, CQUJHB013002, CQUJHB014465, CQUJHB016035	AFUN2_003589
OG0000019	CQUJHB002061, CQUJHB002839, CQUJHB017860	AFUN2_002117
OG0000020	CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495	AFUN2_010799, AFUN2_008522, AFUN2_009055, AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335, AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831
OG0000021	CQUJHB005197	AFUN2_013453
OG0000021	CQUJHB014638	AFUN2_010217
OG0000021	CQUJHB010956	AFUN2_001683
OG0000021	CQUJHB016733	AFUN2_001836
OG0000021	CQUJHB012948	AFUN2_002771
OG0000021	CQUJHB015628	AFUN2_007302
OG0000022	CQUJHB013191, CQUJHB015725, CQUJHB017245, CQUJHB003806, CQUJHB013101, CQUJHB004318, CQUJHB008392, CQUJHB003227, CQUJHB002133, CQUJHB015664, CQUJHB010128, CQUJHB005252, CQUJHB004885, CQUJHB003399, CQUJHB015966, CQUJHB017117, CQUJHB003827, CQUJHB018042	AFUN2_006596
OG0000022	CQUJHB009998, CQUJHB007412, CQUJHB016624, CQUJHB004757, CQUJHB001711, CQUJHB013417, CQUJHB016403	AFUN2_002978
OG0000024	CQUJHB005662	AFUN2_008754
OG0000024	CQUJHB001106, CQUJHB003177	AFUN2_004514
OG0000024	CQUJHB015002	AFUN2_001856
OG0000024	CQUJHB015651, CQUJHB010229, CQUJHB003602	AFUN2_009727
OG0000024	CQUJHB002318, CQUJHB007527, CQUJHB006873	AFUN2_006932, AFUN2_001526, AFUN2_012131
OG0000025	CQUJHB005189, CQUJHB017536	AFUN2_014130
OG0000025	CQUJHB015932	AFUN2_011412, AFUN2_009073, AFUN2_014057, AFUN2_001155
OG0000026	CQUJHB016420	AFUN2_005277
OG0000026	CQUJHB011732, CQUJHB012165	AFUN2_003253, AFUN2_004905
OG0000026	CQUJHB005106	AFUN2_006722
OG0000026	CQUJHB007540	AFUN2_005978
OG0000027	CQUJHB010117, CQUJHB008521, CQUJHB007524, CQUJHB011421, CQUJHB004925, CQUJHB013189, CQUJHB015720, CQUJHB004094	AFUN2_012022
OG0000027	CQUJHB008109, CQUJHB008680, CQUJHB008247, CQUJHB011016, CQUJHB011122, CQUJHB017358, CQUJHB008899, CQUJHB012953, CQUJHB006211, CQUJHB003906, CQUJHB001161, CQUJHB015070, CQUJHB003476, CQUJHB011300, CQUJHB003752	AFUN2_002065, AFUN2_004791
OG0000028	CQUJHB016003, CQUJHB011351	AFUN2_013164
OG0000028	CQUJHB009718	AFUN2_012132, AFUN2_006865, AFUN2_005132, AFUN2_002353, AFUN2_001256, AFUN2_004185, AFUN2_006876, AFUN2_003118, AFUN2_003598, AFUN2_008286, AFUN2_011015, AFUN2_003325
OG0000030	CQUJHB013699, CQUJHB008107, CQUJHB010736, CQUJHB010439	AFUN2_012733, AFUN2_007213, AFUN2_001848, AFUN2_011448, AFUN2_005957, AFUN2_010339, AFUN2_010744, AFUN2_005913, AFUN2_012561, AFUN2_001536, AFUN2_011617, AFUN2_011391, AFUN2_001923, AFUN2_011066, AFUN2_014328, AFUN2_006386, AFUN2_012770, AFUN2_005352
OG0000031	CQUJHB004966, CQUJHB011245, CQUJHB016938, CQUJHB013426, CQUJHB002608, CQUJHB000575, CQUJHB001850, CQUJHB002269, CQUJHB014875	AFUN2_011697
OG0000031	CQUJHB013110, CQUJHB001744, CQUJHB018315, CQUJHB001956, CQUJHB015821, CQUJHB000335, CQUJHB007959, CQUJHB003757, CQUJHB016964, CQUJHB016071, CQUJHB013550, CQUJHB018096, CQUJHB005093	AFUN2_011049, AFUN2_008201, AFUN2_008391, AFUN2_011664
OG0000031	CQUJHB005184, CQUJHB006333	AFUN2_002494, AFUN2_002498
OG0000032	CQUJHB013916, CQUJHB002841, CQUJHB018268, CQUJHB000206, CQUJHB010055, CQUJHB001736	AFUN2_000937
OG0000032	CQUJHB003097, CQUJHB017356, CQUJHB004843, CQUJHB006636, CQUJHB013020	AFUN2_010173
OG0000032	CQUJHB004712, CQUJHB014732	AFUN2_002261
OG0000032	CQUJHB008412, CQUJHB008157, CQUJHB003203, CQUJHB010737, CQUJHB010350	AFUN2_003899, AFUN2_006152
OG0000033	CQUJHB013700	AFUN2_008608
OG0000034	CQUJHB012032	AFUN2_014222
OG0000037	CQUJHB011063	AFUN2_013181
OG0000038	CQUJHB015468	AFUN2_013078, AFUN2_005392
OG0000039	CQUJHB008310, CQUJHB006780, CQUJHB014689, CQUJHB010451, CQUJHB011408, CQUJHB015873, CQUJHB005401, CQUJHB015714, CQUJHB007411	AFUN2_009923, AFUN2_010939, AFUN2_002356, AFUN2_001872, AFUN2_008523, AFUN2_002845
OG0000040	CQUJHB002131, CQUJHB000018, CQUJHB020446	AFUN2_012034, AFUN2_000621
OG0000040	CQUJHB020438	AFUN2_012970, AFUN2_011961, AFUN2_013533, AFUN2_004686
OG0000041	CQUJHB013017, CQUJHB009859	AFUN2_000732
OG0000041	CQUJHB001955, CQUJHB001825	AFUN2_014438
OG0000041	CQUJHB000581	AFUN2_001049
OG0000041	CQUJHB013621, CQUJHB007017	AFUN2_010115
OG0000041	CQUJHB000078, CQUJHB001849, CQUJHB006430	AFUN2_014544
OG0000042	CQUJHB006261	AFUN2_004081, AFUN2_014693
OG0000045	CQUJHB000359, CQUJHB018399, CQUJHB003478, CQUJHB004554	AFUN2_006680
OG0000046	CQUJHB005669, CQUJHB017284	AFUN2_006305, AFUN2_003082, AFUN2_013805
OG0000048	CQUJHB016807, CQUJHB013985, CQUJHB018159, CQUJHB005082, CQUJHB004417, CQUJHB012005, CQUJHB009336, CQUJHB014845, CQUJHB008386	AFUN2_006474, AFUN2_003419, AFUN2_007098, AFUN2_011966, AFUN2_007180, AFUN2_001025
OG0000049	CQUJHB015876	AFUN2_008624
OG0000049	CQUJHB015556	AFUN2_012748
OG0000051	CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075, CQUJHB010616	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721
OG0000052	CQUJHB017932, CQUJHB006568, CQUJHB007297, CQUJHB011415	AFUN2_013880
OG0000053	CQUJHB018432	AFUN2_014363, AFUN2_010396, AFUN2_010923, AFUN2_007355, AFUN2_008998, AFUN2_014545, AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584, AFUN2_001373, AFUN2_002347
OG0000055	CQUJHB018229	AFUN2_003795
OG0000055	CQUJHB017720	AFUN2_007989
OG0000055	CQUJHB002352	AFUN2_001013, AFUN2_010954, AFUN2_006754, AFUN2_002857, AFUN2_009317, AFUN2_014083, AFUN2_006806, AFUN2_010423
OG0000057	CQUJHB014741, CQUJHB005612, CQUJHB013656, CQUJHB013556, CQUJHB001778, CQUJHB008046, CQUJHB011652, CQUJHB016655, CQUJHB009785	AFUN2_008318, AFUN2_006014, AFUN2_000600
OG0000058	CQUJHB006852, CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265	AFUN2_011854, AFUN2_008788
OG0000058	CQUJHB016789	AFUN2_002438
OG0000058	CQUJHB013221	AFUN2_002842
OG0000058	CQUJHB005830	AFUN2_001688
OG0000059	CQUJHB005700	AFUN2_006267
OG0000059	CQUJHB006696	AFUN2_010578, AFUN2_006502, AFUN2_012387
OG0000059	CQUJHB011753	AFUN2_014242, AFUN2_009466
OG0000060	CQUJHB004792	AFUN2_014460
OG0000060	CQUJHB016380, CQUJHB008966, CQUJHB012898, CQUJHB014019, CQUJHB012243	AFUN2_011607
OG0000060	CQUJHB002343	AFUN2_000444, AFUN2_013952
OG0000061	CQUJHB009715, CQUJHB015055	AFUN2_000988
OG0000061	CQUJHB017379	AFUN2_001934
OG0000061	CQUJHB011103, CQUJHB002901	AFUN2_001889
OG0000062	CQUJHB009702	AFUN2_010062, AFUN2_011070, AFUN2_009059, AFUN2_003714, AFUN2_008839, AFUN2_002820, AFUN2_013747, AFUN2_007462, AFUN2_014711
OG0000063	CQUJHB018065	AFUN2_005096
OG0000063	CQUJHB002044, CQUJHB000613, CQUJHB012543, CQUJHB009343, CQUJHB015345, CQUJHB000544, CQUJHB010641, CQUJHB004677, CQUJHB012850, CQUJHB007331, CQUJHB015091	AFUN2_009682
OG0000064	CQUJHB003566, CQUJHB000930	AFUN2_002334, AFUN2_013676
OG0000067	CQUJHB012309	AFUN2_003888
OG0000067	CQUJHB007474, CQUJHB016064	AFUN2_012011
OG0000067	CQUJHB016947	AFUN2_003045
OG0000067	CQUJHB018109	AFUN2_008039
OG0000067	CQUJHB014152	AFUN2_008602
OG0000068	CQUJHB004402	AFUN2_012196
OG0000068	CQUJHB008638, CQUJHB015341, CQUJHB013494, CQUJHB003559	AFUN2_006617
OG0000068	CQUJHB001983	AFUN2_013302
OG0000068	CQUJHB009275	AFUN2_009586
OG0000069	CQUJHB002460	AFUN2_014241
OG0000069	CQUJHB012428	AFUN2_004523
OG0000069	CQUJHB001040, CQUJHB012111, CQUJHB002152	AFUN2_006118, AFUN2_010311, AFUN2_012252
OG0000071	CQUJHB009539, CQUJHB013274	AFUN2_007775, AFUN2_009753
OG0000071	CQUJHB005863, CQUJHB017394	AFUN2_014078
OG0000071	CQUJHB016359, CQUJHB013086, CQUJHB010584, CQUJHB004365	AFUN2_008604, AFUN2_008424, AFUN2_006008
OG0000072	CQUJHB006781	AFUN2_010362
OG0000072	CQUJHB004785	AFUN2_008401
OG0000072	CQUJHB005018, CQUJHB006868	AFUN2_008209
OG0000073	CQUJHB000587	AFUN2_006853
OG0000073	CQUJHB014734	AFUN2_012208
OG0000074	CQUJHB017390, CQUJHB000048, CQUJHB015271, CQUJHB000115	AFUN2_001362, AFUN2_008795, AFUN2_001014, AFUN2_003460, AFUN2_012551
OG0000074	CQUJHB007995	AFUN2_006428
OG0000075	CQUJHB005515, CQUJHB004149, CQUJHB008196, CQUJHB008855	AFUN2_009178, AFUN2_014263, AFUN2_005741, AFUN2_007975
OG0000076	CQUJHB017768, CQUJHB012728, CQUJHB015127	AFUN2_000390, AFUN2_002799, AFUN2_012586
OG0000077	CQUJHB001286	AFUN2_001755
OG0000077	CQUJHB003639, CQUJHB006400, CQUJHB003896, CQUJHB003043	AFUN2_000688, AFUN2_006649
OG0000077	CQUJHB018214	AFUN2_002148
OG0000079	CQUJHB005309	AFUN2_004202
OG0000079	CQUJHB003821, CQUJHB018448	AFUN2_012158, AFUN2_003268, AFUN2_001951
OG0000079	CQUJHB013618, CQUJHB018436, CQUJHB007263	AFUN2_003859
OG0000080	CQUJHB017034, CQUJHB010133	AFUN2_011331
OG0000080	CQUJHB015069	AFUN2_013190
OG0000080	CQUJHB005257, CQUJHB005516	AFUN2_009609, AFUN2_005626
OG0000081	CQUJHB001153	AFUN2_011577
OG0000081	CQUJHB000320	AFUN2_012341
OG0000082	CQUJHB007898	AFUN2_012054
OG0000085	CQUJHB014727, CQUJHB008083	AFUN2_010241, AFUN2_007525, AFUN2_013450, AFUN2_004039
OG0000086	CQUJHB008375, CQUJHB001568, CQUJHB015160	AFUN2_006387, AFUN2_009185, AFUN2_010974
OG0000086	CQUJHB012368	AFUN2_001324
OG0000088	CQUJHB009482	AFUN2_014792
OG0000088	CQUJHB017248, CQUJHB001576, CQUJHB008137, CQUJHB008822, CQUJHB009095, CQUJHB004456, CQUJHB013474	AFUN2_006389, AFUN2_012429
OG0000089	CQUJHB015151	AFUN2_006698
OG0000089	CQUJHB003816	AFUN2_004303, AFUN2_011302, AFUN2_007001, AFUN2_005638, AFUN2_010754, AFUN2_005237, AFUN2_004286
OG0000089	CQUJHB012139	AFUN2_005151
OG0000090	CQUJHB017497	AFUN2_012179
OG0000090	CQUJHB007824	AFUN2_004646
OG0000091	CQUJHB017444	AFUN2_004400
OG0000093	CQUJHB010789	AFUN2_007977, AFUN2_002700, AFUN2_008506, AFUN2_003712, AFUN2_001084, AFUN2_009469, AFUN2_002675, AFUN2_005353, AFUN2_012981, AFUN2_005338
OG0000096	CQUJHB002716	AFUN2_007046
OG0000096	CQUJHB018308	AFUN2_000740
OG0000096	CQUJHB008108	AFUN2_004816
OG0000096	CQUJHB008616	AFUN2_002084
OG0000097	CQUJHB012977	AFUN2_004895
OG0000097	CQUJHB011218, CQUJHB006589	AFUN2_005456
OG0000097	CQUJHB017887	AFUN2_013795
OG0000097	CQUJHB015073	AFUN2_011155, AFUN2_013131
OG0000098	CQUJHB009178, CQUJHB009893, CQUJHB003108, CQUJHB017910	AFUN2_000935
OG0000100	CQUJHB007834, CQUJHB012317, CQUJHB013140, CQUJHB012708	AFUN2_004153
OG0000101	CQUJHB011092, CQUJHB004788, CQUJHB017263	AFUN2_010533
OG0000104	CQUJHB003501	AFUN2_001037
OG0000104	CQUJHB016210, CQUJHB015480, CQUJHB006103, CQUJHB017990, CQUJHB017746, CQUJHB005521, CQUJHB012378, CQUJHB001763	AFUN2_011196, AFUN2_006302
OG0000107	CQUJHB018415, CQUJHB004852, CQUJHB009068, CQUJHB013239, CQUJHB016501, CQUJHB015111, CQUJHB013703, CQUJHB006294, CQUJHB013989, CQUJHB013568, CQUJHB000838, CQUJHB001925	AFUN2_001412, AFUN2_012650
OG0000108	CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363	AFUN2_013458
OG0000109	CQUJHB017035	AFUN2_009795
OG0000109	CQUJHB000019	AFUN2_004467
OG0000109	CQUJHB007563	AFUN2_002263
OG0000111	CQUJHB001127, CQUJHB016273	AFUN2_012122, AFUN2_010977, AFUN2_001513, AFUN2_001833, AFUN2_007611
OG0000114	CQUJHB008130, CQUJHB012994	AFUN2_001369, AFUN2_010132
OG0000114	CQUJHB001438, CQUJHB002918, CQUJHB003734	AFUN2_006701
OG0000115	CQUJHB014380	AFUN2_007755
OG0000116	CQUJHB007929	AFUN2_012892
OG0000116	CQUJHB009840	AFUN2_001632, AFUN2_011292
OG0000116	CQUJHB015910	AFUN2_005701
OG0000119	CQUJHB001620	AFUN2_008133
OG0000119	CQUJHB002189, CQUJHB015704, CQUJHB017923, CQUJHB014370, CQUJHB011823, CQUJHB009096, CQUJHB000195, CQUJHB004701, CQUJHB012571	AFUN2_003288
OG0000120	CQUJHB006803	AFUN2_014360
OG0000120	CQUJHB014331, CQUJHB001450	AFUN2_014310, AFUN2_007600
OG0000127	CQUJHB008722, CQUJHB006654, CQUJHB003293, CQUJHB000740, CQUJHB013009, CQUJHB013825, CQUJHB003231, CQUJHB009687, CQUJHB007227, CQUJHB017577, CQUJHB005246, CQUJHB012007, CQUJHB016127, CQUJHB003905	AFUN2_007961, AFUN2_014650, AFUN2_010892
OG0000128	CQUJHB011093	AFUN2_013941
OG0000128	CQUJHB017854	AFUN2_007884
OG0000129	CQUJHB000384, CQUJHB003430, CQUJHB014096	AFUN2_004369, AFUN2_004902, AFUN2_001390
OG0000129	CQUJHB016178, CQUJHB012226	AFUN2_011235, AFUN2_004109
OG0000130	CQUJHB016267	AFUN2_011184
OG0000130	CQUJHB001771	AFUN2_008453, AFUN2_009668
OG0000131	CQUJHB000645	AFUN2_005171
OG0000131	CQUJHB004459	AFUN2_011906
OG0000131	CQUJHB010920	AFUN2_003726
OG0000131	CQUJHB014041	AFUN2_006692
OG0000132	CQUJHB008636	AFUN2_007055, AFUN2_004597
OG0000132	CQUJHB010862	AFUN2_005157
OG0000132	CQUJHB003091	AFUN2_003612
OG0000133	CQUJHB009822	AFUN2_010213
OG0000133	CQUJHB016449	AFUN2_001924, AFUN2_013209
OG0000134	CQUJHB012326	AFUN2_008047, AFUN2_001568
OG0000135	CQUJHB008581	AFUN2_011084
OG0000136	CQUJHB007955, CQUJHB006760, CQUJHB009839, CQUJHB008282	AFUN2_003409
OG0000136	CQUJHB003509, CQUJHB002833, CQUJHB013970	AFUN2_000794
OG0000141	CQUJHB013589, CQUJHB004400, CQUJHB002761, CQUJHB004199, CQUJHB003761, CQUJHB015077, CQUJHB001493, CQUJHB017741, CQUJHB005542	AFUN2_004272, AFUN2_006156
OG0000142	CQUJHB011887	AFUN2_002023, AFUN2_002866
OG0000142	CQUJHB002040	AFUN2_007901
OG0000142	CQUJHB003927	AFUN2_008099
OG0000143	CQUJHB002965	AFUN2_001347
OG0000143	CQUJHB006194	AFUN2_004552
OG0000144	CQUJHB015003, CQUJHB011281, CQUJHB012034, CQUJHB003913, CQUJHB003921	AFUN2_007342
OG0000146	CQUJHB005895, CQUJHB003363, CQUJHB015207	AFUN2_008600, AFUN2_001333, AFUN2_000602
OG0000147	CQUJHB005161, CQUJHB000556, CQUJHB001564, CQUJHB001839	AFUN2_001243, AFUN2_006652
OG0000148	CQUJHB017061	AFUN2_006078
OG0000149	CQUJHB010028	AFUN2_007018
OG0000149	CQUJHB014966	AFUN2_007305
OG0000149	CQUJHB017015, CQUJHB010834	AFUN2_003087
OG0000150	CQUJHB006439	AFUN2_013472
OG0000151	CQUJHB018327	AFUN2_008586
OG0000152	CQUJHB014990	AFUN2_004036
OG0000152	CQUJHB009136	AFUN2_007248, AFUN2_012516
OG0000154	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899	AFUN2_012942, AFUN2_007474, AFUN2_001817
OG0000155	CQUJHB007333, CQUJHB008665, CQUJHB002705, CQUJHB004511, CQUJHB005859, CQUJHB001497	AFUN2_011178, AFUN2_006679
OG0000157	CQUJHB001379	AFUN2_002461
OG0000161	CQUJHB017743	AFUN2_009616
OG0000161	CQUJHB000076	AFUN2_013883
OG0000162	CQUJHB009418	AFUN2_001603
OG0000162	CQUJHB020435, CQUJHB014569	AFUN2_008191
OG0000162	CQUJHB004329	AFUN2_004390
OG0000163	CQUJHB015427	AFUN2_009739
OG0000163	CQUJHB001490, CQUJHB017982, CQUJHB004125, CQUJHB015576	AFUN2_005717
OG0000163	CQUJHB004810, CQUJHB003658	AFUN2_004668
OG0000164	CQUJHB011226	AFUN2_007065
OG0000164	CQUJHB016036	AFUN2_003491
OG0000164	CQUJHB012144, CQUJHB018124	AFUN2_014641
OG0000164	CQUJHB012545	AFUN2_008297
OG0000165	CQUJHB004809	AFUN2_004493
OG0000165	CQUJHB001386	AFUN2_008088
OG0000165	CQUJHB008494	AFUN2_007300, AFUN2_012709
OG0000166	CQUJHB004489	AFUN2_013647
OG0000166	CQUJHB009503, CQUJHB000077	AFUN2_001188
OG0000168	CQUJHB009735	AFUN2_011437
OG0000171	CQUJHB005596	AFUN2_006837
OG0000171	CQUJHB006525	AFUN2_013379
OG0000172	CQUJHB004762	AFUN2_004764
OG0000172	CQUJHB006283	AFUN2_014173
OG0000172	CQUJHB003020	AFUN2_011072
OG0000173	CQUJHB013713	AFUN2_006638
OG0000173	CQUJHB001093, CQUJHB007201	AFUN2_006309, AFUN2_013274, AFUN2_004451
OG0000174	CQUJHB012327	AFUN2_000386
OG0000174	CQUJHB009037, CQUJHB004035	AFUN2_011578
OG0000180	CQUJHB005835, CQUJHB005816, CQUJHB007916, CQUJHB006996, CQUJHB001222, CQUJHB013519, CQUJHB008661, CQUJHB002191, CQUJHB000686, CQUJHB009673, CQUJHB009193, CQUJHB000772	AFUN2_004082
OG0000181	CQUJHB018406, CQUJHB017566	AFUN2_012634, AFUN2_005105, AFUN2_007521
OG0000182	CQUJHB010205	AFUN2_004625
OG0000182	CQUJHB012840	AFUN2_001977
OG0000182	CQUJHB007241	AFUN2_010645
OG0000183	CQUJHB008471, CQUJHB008317, CQUJHB015904, CQUJHB015217	AFUN2_006554, AFUN2_005817, AFUN2_013925, AFUN2_007926
OG0000184	CQUJHB005313	AFUN2_012600
OG0000184	CQUJHB020350, CQUJHB003938, CQUJHB000274	AFUN2_009129, AFUN2_006403
OG0000185	CQUJHB017110, CQUJHB016405, CQUJHB006617	AFUN2_004065
OG0000185	CQUJHB017959, CQUJHB000372	AFUN2_004964, AFUN2_008198
