Orthogroup	CquinquefasciatusJHB2020	AstephensiUCISS2018
OG0000024	CQUJHB001106, CQUJHB003177	ASTEI20_030796
OG0000024	CQUJHB015002	ASTEI20_042294
OG0000024	CQUJHB015651, CQUJHB010229, CQUJHB003602	ASTEI20_032042, ASTEI20_038906
OG0000024	CQUJHB002318, CQUJHB007527, CQUJHB006873	ASTEI20_045971, ASTEI20_035495
OG0000025	CQUJHB015932	ASTEI20_036374, ASTEI20_044660
OG0000026	CQUJHB017272	ASTEI20_037139
OG0000026	CQUJHB016420	ASTEI20_030979
OG0000026	CQUJHB011732, CQUJHB012165	ASTEI20_036805
OG0000026	CQUJHB005106	ASTEI20_033037
OG0000026	CQUJHB007540	ASTEI20_038151
OG0000027	CQUJHB010117, CQUJHB008521, CQUJHB007524, CQUJHB011421, CQUJHB004925, CQUJHB013189, CQUJHB015720, CQUJHB004094	ASTEI20_032352
OG0000027	CQUJHB008109, CQUJHB008680, CQUJHB008247, CQUJHB011016, CQUJHB011122, CQUJHB017358, CQUJHB008899, CQUJHB012953, CQUJHB006211, CQUJHB003906, CQUJHB001161, CQUJHB015070, CQUJHB003476, CQUJHB011300, CQUJHB003752	ASTEI20_038580, ASTEI20_036720
OG0000028	CQUJHB009718	ASTEI20_031230
OG0000030	CQUJHB013699, CQUJHB008107, CQUJHB010736, CQUJHB010439	ASTEI20_038223
OG0000031	CQUJHB004966, CQUJHB011245, CQUJHB016938, CQUJHB013426, CQUJHB002608, CQUJHB000575, CQUJHB001850, CQUJHB002269, CQUJHB014875, CQUJHB013110, CQUJHB001744, CQUJHB018315, CQUJHB001956, CQUJHB015821, CQUJHB000335, CQUJHB007959, CQUJHB003757, CQUJHB016964, CQUJHB016071, CQUJHB013550, CQUJHB018096, CQUJHB005093, CQUJHB005184, CQUJHB006333	ASTEI20_045661, ASTEI20_042458, ASTEI20_045950, ASTEI20_040834, ASTEI20_042405, ASTEI20_031598
OG0000032	CQUJHB001221, CQUJHB005224	ASTEI20_045092
OG0000032	CQUJHB003097, CQUJHB017356, CQUJHB004843, CQUJHB006636, CQUJHB013020	ASTEI20_031606
OG0000032	CQUJHB008157, CQUJHB003203, CQUJHB010737	ASTEI20_041238
OG0000032	CQUJHB010350	ASTEI20_037767
OG0000033	CQUJHB013700	ASTEI20_034999
OG0000034	CQUJHB012032	ASTEI20_040625
OG0000037	CQUJHB011063	ASTEI20_038052, ASTEI20_032497, ASTEI20_031459, ASTEI20_042647, ASTEI20_041766, ASTEI20_039477, ASTEI20_034438, ASTEI20_044399, ASTEI20_045557, ASTEI20_042942
OG0000038	CQUJHB015468	ASTEI20_034060, ASTEI20_031917, ASTEI20_036981, ASTEI20_043988, ASTEI20_040884, ASTEI20_031692, ASTEI20_038945, ASTEI20_036390, ASTEI20_031315
OG0000039	CQUJHB008310, CQUJHB006780, CQUJHB014689, CQUJHB010451, CQUJHB011408, CQUJHB015873, CQUJHB005401, CQUJHB015714, CQUJHB007411	ASTEI20_041961, ASTEI20_034016, ASTEI20_042151, ASTEI20_039200, ASTEI20_040849, ASTEI20_035166, ASTEI20_036321, ASTEI20_037293
OG0000040	CQUJHB002131, CQUJHB000018, CQUJHB020446	ASTEI20_037172
OG0000040	CQUJHB020438	ASTEI20_034704, ASTEI20_040829, ASTEI20_045547, ASTEI20_039503
OG0000041	CQUJHB001955, CQUJHB001825	ASTEI20_038827
OG0000041	CQUJHB000581	ASTEI20_038756
OG0000041	CQUJHB013621, CQUJHB007017	ASTEI20_034624
OG0000041	CQUJHB000078, CQUJHB001849, CQUJHB006430	ASTEI20_036497
OG0000042	CQUJHB006261	ASTEI20_044170, ASTEI20_041547, ASTEI20_038339
OG0000045	CQUJHB000359, CQUJHB018399, CQUJHB003478, CQUJHB004554	ASTEI20_038821
OG0000046	CQUJHB005669, CQUJHB017284	ASTEI20_033536, ASTEI20_045137
OG0000048	CQUJHB016807, CQUJHB013985, CQUJHB018159, CQUJHB005082, CQUJHB004417, CQUJHB012005, CQUJHB009336, CQUJHB014845, CQUJHB008386	ASTEI20_036610, ASTEI20_030791, ASTEI20_041758, ASTEI20_034337, ASTEI20_034409
OG0000049	CQUJHB015876	ASTEI20_044950
OG0000049	CQUJHB015556	ASTEI20_037621
OG0000049	CQUJHB015769	ASTEI20_039499
OG0000051	CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075, CQUJHB010616	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103
OG0000052	CQUJHB005091	ASTEI20_043416
OG0000052	CQUJHB017932, CQUJHB006568, CQUJHB007297, CQUJHB011415	ASTEI20_035536
OG0000053	CQUJHB018432	ASTEI20_044934, ASTEI20_043576, ASTEI20_040463, ASTEI20_037018, ASTEI20_032861, ASTEI20_037570, ASTEI20_036072
OG0000055	CQUJHB018229	ASTEI20_041788, ASTEI20_036817
OG0000055	CQUJHB002352	ASTEI20_036856, ASTEI20_032399, ASTEI20_042765, ASTEI20_041371, ASTEI20_043376
OG0000056	CQUJHB010210	ASTEI20_042561, ASTEI20_043469, ASTEI20_043631, ASTEI20_034068, ASTEI20_040541, ASTEI20_037672, ASTEI20_032489
OG0000057	CQUJHB014741, CQUJHB005612, CQUJHB013656, CQUJHB013556, CQUJHB001778, CQUJHB008046, CQUJHB011652, CQUJHB016655, CQUJHB009785	ASTEI20_031438, ASTEI20_044408, ASTEI20_032987, ASTEI20_039149, ASTEI20_036909, ASTEI20_043801, ASTEI20_033403, ASTEI20_041738
OG0000058	CQUJHB000757	ASTEI20_035290
OG0000058	CQUJHB006852, CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265	ASTEI20_043943, ASTEI20_042767
OG0000058	CQUJHB016789	ASTEI20_037097
OG0000058	CQUJHB013221	ASTEI20_045123
OG0000058	CQUJHB005830	ASTEI20_036123, ASTEI20_031030
OG0000059	CQUJHB005700	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207, ASTEI20_040754
OG0000059	CQUJHB006696	ASTEI20_037464, ASTEI20_043703
OG0000059	CQUJHB011753	ASTEI20_034096, ASTEI20_032263, ASTEI20_039938, ASTEI20_036541
OG0000060	CQUJHB004792	ASTEI20_037656
OG0000060	CQUJHB016380, CQUJHB008966, CQUJHB012898, CQUJHB014019, CQUJHB012243	ASTEI20_045967
OG0000060	CQUJHB002343	ASTEI20_042375, ASTEI20_044978
OG0000061	CQUJHB009715, CQUJHB015055	ASTEI20_045924, ASTEI20_044992
OG0000061	CQUJHB017379	ASTEI20_042918
OG0000061	CQUJHB011103, CQUJHB002901	ASTEI20_042895
OG0000062	CQUJHB009702	ASTEI20_044163, ASTEI20_037850, ASTEI20_042947, ASTEI20_042271, ASTEI20_035743, ASTEI20_044072
OG0000063	CQUJHB018065	ASTEI20_042329, ASTEI20_039640
OG0000063	CQUJHB002044, CQUJHB000613, CQUJHB012543, CQUJHB009343, CQUJHB015345, CQUJHB000544, CQUJHB010641, CQUJHB004677, CQUJHB012850, CQUJHB007331, CQUJHB015091	ASTEI20_041397
OG0000064	CQUJHB003566, CQUJHB000930	ASTEI20_036363, ASTEI20_032269
OG0000067	CQUJHB012309	ASTEI20_033258
OG0000067	CQUJHB007474, CQUJHB016064	ASTEI20_038682
OG0000067	CQUJHB016947	ASTEI20_040377
OG0000067	CQUJHB018109	ASTEI20_044258
OG0000067	CQUJHB014152	ASTEI20_046110
OG0000068	CQUJHB004402	ASTEI20_040313
OG0000068	CQUJHB008638, CQUJHB015341, CQUJHB013494, CQUJHB003559	ASTEI20_042702
OG0000068	CQUJHB001983	ASTEI20_045828
OG0000068	CQUJHB009275	ASTEI20_032296
OG0000069	CQUJHB002460	ASTEI20_035338
OG0000069	CQUJHB012428	ASTEI20_038112
OG0000069	CQUJHB001040, CQUJHB012111, CQUJHB002152	ASTEI20_039804, ASTEI20_031615
OG0000071	CQUJHB009539, CQUJHB013274	ASTEI20_044717
OG0000071	CQUJHB005863, CQUJHB017394	ASTEI20_033179
OG0000071	CQUJHB016359, CQUJHB013086, CQUJHB010584, CQUJHB004365	ASTEI20_041551, ASTEI20_037620, ASTEI20_035007
OG0000072	CQUJHB006781	ASTEI20_043809
OG0000072	CQUJHB004785	ASTEI20_045176
OG0000072	CQUJHB005018, CQUJHB006868	ASTEI20_045641, ASTEI20_039665
OG0000073	CQUJHB000587	ASTEI20_036269
OG0000073	CQUJHB005489, CQUJHB004178	ASTEI20_033743
OG0000073	CQUJHB014734	ASTEI20_037565
OG0000074	CQUJHB017390, CQUJHB000048, CQUJHB015271, CQUJHB000115	ASTEI20_035123, ASTEI20_041942, ASTEI20_036102, ASTEI20_035843, ASTEI20_043301
OG0000074	CQUJHB007995	ASTEI20_031364
OG0000075	CQUJHB005515, CQUJHB004149, CQUJHB008196, CQUJHB008855	ASTEI20_043256, ASTEI20_044173, ASTEI20_045639, ASTEI20_041998, ASTEI20_037835
OG0000076	CQUJHB017768, CQUJHB012728, CQUJHB015127	ASTEI20_040347, ASTEI20_035431, ASTEI20_040002, ASTEI20_045335
OG0000077	CQUJHB001286	ASTEI20_037597
OG0000077	CQUJHB003639, CQUJHB006400, CQUJHB003896, CQUJHB003043	ASTEI20_042788, ASTEI20_038766
OG0000077	CQUJHB018214	ASTEI20_034638
OG0000079	CQUJHB005309	ASTEI20_042516
OG0000079	CQUJHB003821, CQUJHB018448	ASTEI20_040435, ASTEI20_038502, ASTEI20_045603
OG0000079	CQUJHB013618, CQUJHB018436, CQUJHB007263	ASTEI20_045836
OG0000080	CQUJHB017034, CQUJHB010133	ASTEI20_045083
OG0000080	CQUJHB015069	ASTEI20_038192
OG0000080	CQUJHB005257, CQUJHB005516	ASTEI20_035820, ASTEI20_038748
OG0000081	CQUJHB001153	ASTEI20_044597
OG0000081	CQUJHB000320	ASTEI20_045891
OG0000082	CQUJHB007898	ASTEI20_035318
OG0000085	CQUJHB014727, CQUJHB008083	ASTEI20_033228, ASTEI20_037988, ASTEI20_039794
OG0000086	CQUJHB008375, CQUJHB001568, CQUJHB015160	ASTEI20_036223, ASTEI20_035207, ASTEI20_037451
OG0000086	CQUJHB012368	ASTEI20_043950
OG0000088	CQUJHB009482	ASTEI20_042317
OG0000088	CQUJHB017248, CQUJHB001576, CQUJHB008137, CQUJHB008822, CQUJHB009095, CQUJHB004456, CQUJHB013474	ASTEI20_035957, ASTEI20_030868
OG0000089	CQUJHB015151	ASTEI20_035269
OG0000089	CQUJHB003816	ASTEI20_031474, ASTEI20_033656, ASTEI20_034314, ASTEI20_038747
OG0000089	CQUJHB012139	ASTEI20_043719
OG0000090	CQUJHB017497	ASTEI20_044859, ASTEI20_033811
OG0000090	CQUJHB007824	ASTEI20_044104, ASTEI20_039435
OG0000091	CQUJHB017444	ASTEI20_043825
OG0000093	CQUJHB010789	ASTEI20_035869, ASTEI20_035583, ASTEI20_033354, ASTEI20_042805, ASTEI20_043009, ASTEI20_030917, ASTEI20_042966, ASTEI20_037262, ASTEI20_033729
OG0000096	CQUJHB002716	ASTEI20_039679
OG0000096	CQUJHB018308	ASTEI20_033293
OG0000096	CQUJHB008108	ASTEI20_044580
OG0000096	CQUJHB008616	ASTEI20_044690
OG0000097	CQUJHB017887	ASTEI20_043690
OG0000097	CQUJHB015073	ASTEI20_041240, ASTEI20_045034, ASTEI20_037688, ASTEI20_043748
OG0000098	CQUJHB009178, CQUJHB009893, CQUJHB003108, CQUJHB017910	ASTEI20_030897, ASTEI20_032470, ASTEI20_035940
OG0000100	CQUJHB007834, CQUJHB012317	ASTEI20_034171, ASTEI20_031391, ASTEI20_030982, ASTEI20_034565
OG0000101	CQUJHB011092, CQUJHB004788, CQUJHB017263	ASTEI20_033538
OG0000104	CQUJHB003501	ASTEI20_031093
OG0000104	CQUJHB016210, CQUJHB015480, CQUJHB006103, CQUJHB017990, CQUJHB017746, CQUJHB005521, CQUJHB012378, CQUJHB001763	ASTEI20_031442, ASTEI20_031279
OG0000107	CQUJHB018415, CQUJHB004852, CQUJHB009068, CQUJHB013239, CQUJHB016501, CQUJHB015111, CQUJHB013703, CQUJHB006294, CQUJHB013989, CQUJHB013568, CQUJHB000838, CQUJHB001925	ASTEI20_032780, ASTEI20_041111, ASTEI20_036614
OG0000108	CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363	ASTEI20_031790, ASTEI20_039367
OG0000109	CQUJHB017035	ASTEI20_035723
OG0000109	CQUJHB000019	ASTEI20_041902
OG0000109	CQUJHB012435	ASTEI20_036023
OG0000111	CQUJHB001127, CQUJHB016273	ASTEI20_041472, ASTEI20_034526, ASTEI20_032750, ASTEI20_033872, ASTEI20_035732, ASTEI20_035816, ASTEI20_040937, ASTEI20_037402, ASTEI20_040392
OG0000114	CQUJHB008130, CQUJHB012994	ASTEI20_031785, ASTEI20_040627
OG0000114	CQUJHB001438, CQUJHB002918, CQUJHB003734	ASTEI20_032160
OG0000115	CQUJHB014380	ASTEI20_031924
OG0000116	CQUJHB007929	ASTEI20_039992
OG0000116	CQUJHB009840	ASTEI20_046113, ASTEI20_045875, ASTEI20_036918
OG0000116	CQUJHB015910	ASTEI20_044702
OG0000119	CQUJHB001620	ASTEI20_031989
OG0000119	CQUJHB002189, CQUJHB015704, CQUJHB017923, CQUJHB014370, CQUJHB011823, CQUJHB009096, CQUJHB000195, CQUJHB004701, CQUJHB012571	ASTEI20_033264, ASTEI20_035228
OG0000120	CQUJHB006803	ASTEI20_031113
OG0000120	CQUJHB014331, CQUJHB001450	ASTEI20_040639, ASTEI20_043620
OG0000127	CQUJHB008722, CQUJHB006654, CQUJHB003293, CQUJHB000740, CQUJHB013009, CQUJHB013825, CQUJHB003231, CQUJHB009687, CQUJHB007227, CQUJHB017577, CQUJHB005246, CQUJHB012007, CQUJHB016127, CQUJHB003905	ASTEI20_045429, ASTEI20_037750, ASTEI20_032628, ASTEI20_039828
OG0000128	CQUJHB011093	ASTEI20_041892
OG0000128	CQUJHB006737	ASTEI20_040479
OG0000128	CQUJHB017854	ASTEI20_031766
OG0000129	CQUJHB000384, CQUJHB003430, CQUJHB014096	ASTEI20_032516, ASTEI20_039120, ASTEI20_038234
OG0000129	CQUJHB016178, CQUJHB012226	ASTEI20_042029, ASTEI20_041805
OG0000130	CQUJHB016267	ASTEI20_041330
OG0000130	CQUJHB001771	ASTEI20_037430, ASTEI20_043872
OG0000131	CQUJHB000645	ASTEI20_038615
OG0000131	CQUJHB004459	ASTEI20_045120
OG0000131	CQUJHB010920	ASTEI20_034975
OG0000131	CQUJHB014041	ASTEI20_033405
OG0000132	CQUJHB008636	ASTEI20_035199, ASTEI20_034238
OG0000132	CQUJHB010862	ASTEI20_036305
OG0000132	CQUJHB003091	ASTEI20_031453
OG0000133	CQUJHB009822	ASTEI20_033689
OG0000133	CQUJHB016449	ASTEI20_045111
OG0000134	CQUJHB006248, CQUJHB017587, CQUJHB010568	ASTEI20_035158
OG0000134	CQUJHB012326	ASTEI20_041705, ASTEI20_031508
OG0000135	CQUJHB017649	ASTEI20_040602
OG0000135	CQUJHB008581	ASTEI20_037939, ASTEI20_033495, ASTEI20_041139
OG0000136	CQUJHB007955, CQUJHB006760, CQUJHB009839, CQUJHB008282	ASTEI20_031418
OG0000136	CQUJHB003509, CQUJHB002833, CQUJHB013970	ASTEI20_044015
OG0000141	CQUJHB013589, CQUJHB004400, CQUJHB002761, CQUJHB004199, CQUJHB003761, CQUJHB015077, CQUJHB001493, CQUJHB017741, CQUJHB005542	ASTEI20_038928, ASTEI20_042572
OG0000142	CQUJHB011887	ASTEI20_030926, ASTEI20_031775
OG0000142	CQUJHB002040	ASTEI20_039078
OG0000142	CQUJHB003927	ASTEI20_035078
OG0000143	CQUJHB002965	ASTEI20_038786
OG0000143	CQUJHB006194	ASTEI20_032430
OG0000144	CQUJHB015003, CQUJHB011281, CQUJHB012034, CQUJHB003913, CQUJHB003921	ASTEI20_034475, ASTEI20_039240, ASTEI20_041604, ASTEI20_037626, ASTEI20_039453, ASTEI20_039334, ASTEI20_035942
OG0000146	CQUJHB005895, CQUJHB003363, CQUJHB015207	ASTEI20_044971, ASTEI20_043034
OG0000147	CQUJHB005161, CQUJHB000556, CQUJHB001564, CQUJHB001839	ASTEI20_039262, ASTEI20_034963, ASTEI20_034030
OG0000148	CQUJHB000776	ASTEI20_040041, ASTEI20_032218
OG0000148	CQUJHB017061	ASTEI20_036802
OG0000149	CQUJHB010028	ASTEI20_032560
OG0000149	CQUJHB014966	ASTEI20_037704, ASTEI20_045413
OG0000150	CQUJHB006439	ASTEI20_036593
OG0000151	CQUJHB018327	ASTEI20_031955
OG0000152	CQUJHB014990	ASTEI20_033865
OG0000152	CQUJHB009136	ASTEI20_040792
OG0000154	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899	ASTEI20_038954, ASTEI20_038354, ASTEI20_039327, ASTEI20_031393, ASTEI20_036264
OG0000155	CQUJHB007333, CQUJHB008665, CQUJHB002705, CQUJHB004511, CQUJHB005859, CQUJHB001497	ASTEI20_044262
OG0000157	CQUJHB001379	ASTEI20_038779
OG0000157	CQUJHB007316, CQUJHB018173, CQUJHB009836	ASTEI20_044052
OG0000161	CQUJHB000076	ASTEI20_038429
OG0000162	CQUJHB009418	ASTEI20_040102
OG0000162	CQUJHB020435, CQUJHB014569	ASTEI20_039506
OG0000162	CQUJHB004329	ASTEI20_035676
OG0000162	CQUJHB020337	ASTEI20_038899
OG0000163	CQUJHB015427	ASTEI20_034625
OG0000163	CQUJHB001490, CQUJHB017982, CQUJHB004125, CQUJHB015576	ASTEI20_031376
OG0000163	CQUJHB004810, CQUJHB003658	ASTEI20_042082
OG0000164	CQUJHB011226	ASTEI20_038451
OG0000164	CQUJHB012144, CQUJHB018124	ASTEI20_037482
OG0000165	CQUJHB004809	ASTEI20_035964
OG0000165	CQUJHB001386	ASTEI20_037537
OG0000165	CQUJHB008494	ASTEI20_035222, ASTEI20_037574
OG0000166	CQUJHB002907	ASTEI20_035217, ASTEI20_037831
OG0000166	CQUJHB004489	ASTEI20_038043, ASTEI20_041976
OG0000166	CQUJHB009503, CQUJHB000077	ASTEI20_044786, ASTEI20_042832
OG0000168	CQUJHB009735	ASTEI20_031663
OG0000171	CQUJHB005596	ASTEI20_039067
OG0000171	CQUJHB006525	ASTEI20_037136
OG0000172	CQUJHB004762	ASTEI20_034185
OG0000172	CQUJHB006283	ASTEI20_042714
OG0000172	CQUJHB003020	ASTEI20_033958
OG0000173	CQUJHB013713	ASTEI20_042047
OG0000173	CQUJHB001093, CQUJHB007201	ASTEI20_034429
OG0000174	CQUJHB012327	ASTEI20_035066
OG0000174	CQUJHB009037, CQUJHB004035	ASTEI20_042620
