Orthogroup	CquinquefasciatusJHB2020	AaegyptiLVP_AGWG
OG0000002	CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269	AAEL017539
OG0000002	CQUJHB016230, CQUJHB010731	AAEL017556, AAEL009138
OG0000002	CQUJHB000319	AAEL009121
OG0000002	CQUJHB014958	AAEL009124, AAEL009126
OG0000004	CQUJHB004840, CQUJHB009344, CQUJHB007777, CQUJHB016412	AAEL015682
OG0000004	CQUJHB007910, CQUJHB015959, CQUJHB001352, CQUJHB014660, CQUJHB004992	AAEL021229, AAEL022111, AAEL020157, AAEL022281, AAEL022860, AAEL023072, AAEL022390, AAEL021983, AAEL021223, AAEL020177, AAEL021358, AAEL023016, AAEL023479, AAEL023589, AAEL023305, AAEL020063, AAEL021300, AAEL020023, AAEL023817, AAEL024024, AAEL021297, AAEL022550, AAEL023013, AAEL020030, AAEL020426
OG0000005	CQUJHB015326, CQUJHB016505	AAEL023870
OG0000005	CQUJHB001878, CQUJHB005849, CQUJHB005832	AAEL027441, AAEL020713, AAEL021448, AAEL020514, AAEL020730, AAEL020395, AAEL020912, AAEL020951, AAEL021271, AAEL021472, AAEL021537, AAEL021707, AAEL028019, AAEL024277, AAEL024514, AAEL026916, AAEL024999, AAEL021726, AAEL028199, AAEL024832, AAEL026982, AAEL025166, AAEL028040, AAEL023925, AAEL027679, AAEL027391, AAEL026342, AAEL023688, AAEL025522, AAEL027502, AAEL023340, AAEL025688, AAEL023726, AAEL023154, AAEL022883, AAEL022311, AAEL022412, AAEL023138, AAEL022323, AAEL022210, AAEL021937, AAEL022047, AAEL025009, AAEL025480, AAEL026667, AAEL026360, AAEL025273, AAEL026951, AAEL025372, AAEL027250, AAEL024969, AAEL025262, AAEL026653, AAEL026204, AAEL023927, AAEL026631
OG0000006	CQUJHB001727	AAEL019665
OG0000006	CQUJHB000743	AAEL026752
OG0000008	CQUJHB001648	AAEL014617, AAEL014613
OG0000008	CQUJHB013802	AAEL014615
OG0000008	CQUJHB008227, CQUJHB003756	AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366
OG0000008	CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915	AAEL002638, AAEL002633
OG0000008	CQUJHB018038	AAEL014619, AAEL019603
OG0000008	CQUJHB017383	AAEL006795
OG0000008	CQUJHB016685, CQUJHB005146	AAEL014605, AAEL014614
OG0000008	CQUJHB012207	AAEL006815, AAEL006784
OG0000008	CQUJHB014535, CQUJHB007135	AAEL014618
OG0000008	CQUJHB011337	AAEL014604, AAEL019504
OG0000009	CQUJHB014156	AAEL020927
OG0000009	CQUJHB014655, CQUJHB005147	AAEL003669
OG0000009	CQUJHB010981	AAEL021347, AAEL021778, AAEL021459
OG0000010	CQUJHB010392	AAEL008218
OG0000010	CQUJHB008428	AAEL008217
OG0000010	CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374	AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206
OG0000010	CQUJHB000883, CQUJHB007232, CQUJHB017919, CQUJHB015579	AAEL008212
OG0000011	CQUJHB005466	AAEL025558
OG0000011	CQUJHB017782	AAEL021195
OG0000011	CQUJHB009406, CQUJHB008703, CQUJHB007209, CQUJHB003154, CQUJHB016900, CQUJHB006977, CQUJHB006084, CQUJHB014128, CQUJHB014298, CQUJHB009992, CQUJHB003864, CQUJHB007951, CQUJHB009382, CQUJHB002707	AAEL021283, AAEL010552, AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610, AAEL023218, AAEL028146, AAEL023858
OG0000012	CQUJHB005776, CQUJHB000447	AAEL009284, AAEL009296
OG0000012	CQUJHB015331	AAEL021821
OG0000012	CQUJHB006695, CQUJHB006332, CQUJHB001229, CQUJHB004173	AAEL022066, AAEL021946, AAEL021903
OG0000013	CQUJHB005557, CQUJHB003968	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163
OG0000013	CQUJHB001230	AAEL023763, AAEL002110
OG0000013	CQUJHB017291	AAEL002099
OG0000013	CQUJHB016730, CQUJHB002448, CQUJHB016895	AAEL026306, AAEL027846, AAEL028212, AAEL002092
OG0000014	CQUJHB010535	AAEL003156
OG0000014	CQUJHB016652	AAEL007942
OG0000014	CQUJHB005213, CQUJHB010035, CQUJHB004375, CQUJHB007396, CQUJHB004496, CQUJHB013428, CQUJHB011375, CQUJHB017103, CQUJHB002299, CQUJHB002262, CQUJHB000349, CQUJHB009868, CQUJHB010683, CQUJHB003432, CQUJHB007349, CQUJHB000429, CQUJHB012022, CQUJHB011118	AAEL020192
OG0000014	CQUJHB005028	AAEL011007
OG0000015	CQUJHB014108, CQUJHB006827	AAEL010677
OG0000015	CQUJHB017458	AAEL010671
OG0000015	CQUJHB004989, CQUJHB013505	AAEL017179
OG0000015	CQUJHB001525, CQUJHB015763, CQUJHB012741	AAEL007669, AAEL029052, AAEL017320, AAEL017302, AAEL001461, AAEL017452
OG0000016	CQUJHB002864, CQUJHB014022, CQUJHB013033, CQUJHB008355, CQUJHB010597	AAEL010202, AAEL013712, AAEL010196
OG0000016	CQUJHB015483, CQUJHB013841, CQUJHB014607	AAEL013703
OG0000016	CQUJHB001605	AAEL012852
OG0000016	CQUJHB016745, CQUJHB011147, CQUJHB016507	AAEL006425
OG0000016	CQUJHB001667, CQUJHB007454, CQUJHB003219, CQUJHB007767	AAEL007818
OG0000016	CQUJHB016639	AAEL004996
OG0000017	CQUJHB001516	AAEL003846, AAEL003689, AAEL021540
OG0000017	CQUJHB006644	AAEL020506, AAEL021628, AAEL020517, AAEL020976, AAEL020216
OG0000018	CQUJHB002387, CQUJHB001966	AAEL018005, AAEL025919, AAEL023550, AAEL022469, AAEL027321, AAEL024352, AAEL023264, AAEL022185, AAEL022664
OG0000020	CQUJHB016342, CQUJHB004831	AAEL029084, AAEL029082
OG0000020	CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495	AAEL008681
OG0000021	CQUJHB005197	AAEL004631
OG0000021	CQUJHB014638	AAEL001673
OG0000021	CQUJHB010956	AAEL011197
OG0000021	CQUJHB016733	AAEL004616
OG0000021	CQUJHB010858	AAEL001928
OG0000021	CQUJHB012948	AAEL009451
OG0000021	CQUJHB015628	AAEL001951
OG0000023	CQUJHB002404, CQUJHB000253, CQUJHB005111, CQUJHB002050, CQUJHB007212	AAEL000351, AAEL029065
OG0000023	CQUJHB015434	AAEL000323
OG0000024	CQUJHB005662	AAEL010380, AAEL017311
OG0000024	CQUJHB001106	AAEL010367
OG0000024	CQUJHB003177	AAEL024680
OG0000024	CQUJHB015002	AAEL010384
OG0000024	CQUJHB015651	AAEL010370
OG0000024	CQUJHB010229, CQUJHB003602	AAEL010382
OG0000024	CQUJHB002318, CQUJHB007527, CQUJHB006873	AAEL026787
OG0000026	CQUJHB017272	AAEL015116, AAEL015113
OG0000026	CQUJHB011732, CQUJHB012165	AAEL013492
OG0000026	CQUJHB005106	AAEL011763, AAEL011764, AAEL020579
OG0000026	CQUJHB007540	AAEL014544
OG0000027	CQUJHB010117, CQUJHB008521, CQUJHB007524, CQUJHB011421, CQUJHB004925	AAEL012642, AAEL012648, AAEL012653
OG0000027	CQUJHB013189, CQUJHB015720, CQUJHB004094	AAEL015254, AAEL015252
OG0000027	CQUJHB008109, CQUJHB008680, CQUJHB008247	AAEL012641
OG0000027	CQUJHB011122	AAEL012649
OG0000027	CQUJHB017358, CQUJHB008899, CQUJHB012953, CQUJHB006211, CQUJHB003906, CQUJHB001161	AAEL012646
OG0000027	CQUJHB015070, CQUJHB003476	AAEL012652, AAEL012645, AAEL027171
OG0000027	CQUJHB011300	AAEL012651, AAEL025465
OG0000027	CQUJHB003752	AAEL012644, AAEL012650, AAEL012647
OG0000030	CQUJHB013699, CQUJHB008107, CQUJHB010736, CQUJHB010439	AAEL000087, AAEL025334, AAEL019959, AAEL001794, AAEL019958
OG0000033	CQUJHB013700	AAEL000074
OG0000033	CQUJHB013801, CQUJHB018326, CQUJHB007315, CQUJHB010724, CQUJHB008449, CQUJHB010986, CQUJHB008186	AAEL000037, AAEL000028, AAEL000099
OG0000034	CQUJHB005864, CQUJHB004301	AAEL013796
OG0000034	CQUJHB005355	AAEL013549
OG0000034	CQUJHB004278	AAEL002258
OG0000034	CQUJHB012032	AAEL002279
OG0000034	CQUJHB008686	AAEL011868
OG0000034	CQUJHB000157	AAEL013557
OG0000034	CQUJHB008330, CQUJHB011235, CQUJHB002589	AAEL013547
OG0000036	CQUJHB002356, CQUJHB003250	AAEL000543
OG0000036	CQUJHB000400	AAEL011455, AAEL002524
OG0000036	CQUJHB013911	AAEL000563
OG0000036	CQUJHB018317, CQUJHB002454, CQUJHB010159	AAEL027443
OG0000036	CQUJHB001838	AAEL005641
OG0000036	CQUJHB007266, CQUJHB006888	AAEL029058, AAEL029053, AAEL022823, AAEL000556, AAEL000533, AAEL009209, AAEL011079, AAEL011408, AAEL011404, AAEL011407, AAEL012353, AAEL027215, AAEL023353, AAEL000283
OG0000036	CQUJHB016133	AAEL025802, AAEL029039
OG0000037	CQUJHB011063	AAEL008895
OG0000039	CQUJHB006780, CQUJHB014689, CQUJHB010451, CQUJHB011408, CQUJHB015873, CQUJHB005401	AAEL002693, AAEL006524, AAEL002682
OG0000039	CQUJHB015714	AAEL002476
OG0000039	CQUJHB007411	AAEL009239, AAEL000793
OG0000040	CQUJHB002131	AAEL008368
OG0000040	CQUJHB000018	AAEL022663
OG0000040	CQUJHB020438	AAEL020825
OG0000041	CQUJHB013017, CQUJHB009859	AAEL007044
OG0000041	CQUJHB001955, CQUJHB001825	AAEL007060
OG0000041	CQUJHB000581	AAEL007063
OG0000041	CQUJHB013621, CQUJHB007017	AAEL007051, AAEL007070
OG0000041	CQUJHB000078, CQUJHB001849, CQUJHB006430	AAEL023132
OG0000042	CQUJHB006261	AAEL018347
OG0000045	CQUJHB000359	AAEL024333, AAEL024795, AAEL021215, AAEL027670, AAEL000157
OG0000045	CQUJHB018399	AAEL021144
OG0000045	CQUJHB004554	AAEL022317, AAEL026643, AAEL021928, AAEL027742, AAEL023167
OG0000046	CQUJHB009609	AAEL021678, AAEL002273
OG0000046	CQUJHB013902	AAEL011624
OG0000046	CQUJHB009800, CQUJHB002638, CQUJHB011131, CQUJHB013987, CQUJHB015814	AAEL010866
OG0000046	CQUJHB004165, CQUJHB003107	AAEL010867
OG0000046	CQUJHB005669, CQUJHB017284	AAEL005753
OG0000048	CQUJHB012005	AAEL004672
OG0000048	CQUJHB009336, CQUJHB014845	AAEL004667, AAEL001508
OG0000048	CQUJHB008386	AAEL008856
OG0000049	CQUJHB015876	AAEL002595
OG0000049	CQUJHB015556	AAEL002590
OG0000049	CQUJHB015769	AAEL002629
OG0000051	CQUJHB008348	AAEL004769
OG0000051	CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075	AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758
OG0000051	CQUJHB010616	AAEL024588
OG0000052	CQUJHB005091	AAEL017475
OG0000052	CQUJHB006568, CQUJHB007297	AAEL024686, AAEL020852
OG0000052	CQUJHB011415	AAEL006627, AAEL007938, AAEL011929, AAEL011916
OG0000053	CQUJHB018432	AAEL010055
OG0000055	CQUJHB018229	AAEL019403
OG0000055	CQUJHB017720	AAEL026446
OG0000055	CQUJHB010409	AAEL025647
OG0000055	CQUJHB002352	AAEL023321, AAEL017975, AAEL027610, AAEL017976, AAEL020330, AAEL020571
OG0000057	CQUJHB014741, CQUJHB005612, CQUJHB013656, CQUJHB013556, CQUJHB001778, CQUJHB008046, CQUJHB011652, CQUJHB016655	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759
OG0000057	CQUJHB009785	AAEL023487
OG0000058	CQUJHB000757	AAEL008632
OG0000058	CQUJHB006852	AAEL026976
OG0000058	CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265	AAEL008624
OG0000058	CQUJHB016789	AAEL008625
OG0000058	CQUJHB013221	AAEL008628
OG0000059	CQUJHB005700	AAEL022646
OG0000059	CQUJHB006696	AAEL002360
OG0000059	CQUJHB011753	AAEL002347, AAEL024934
OG0000060	CQUJHB004792	AAEL004762, AAEL004776, AAEL019994, AAEL019993
OG0000060	CQUJHB016380, CQUJHB008966, CQUJHB012898, CQUJHB014019, CQUJHB012243	AAEL004748, AAEL004760, AAEL004764, AAEL004742, AAEL004765
OG0000061	CQUJHB009715, CQUJHB015055	AAEL026011, AAEL007673
OG0000061	CQUJHB017379	AAEL006719
OG0000061	CQUJHB010086	AAEL008456
OG0000061	CQUJHB014303	AAEL008452
OG0000061	CQUJHB011103, CQUJHB002901	AAEL013421, AAEL008451
OG0000062	CQUJHB009702	AAEL015533
OG0000063	CQUJHB018065	AAEL005771, AAEL005788
OG0000063	CQUJHB002044	AAEL020266
OG0000063	CQUJHB000613	AAEL000320, AAEL012761
OG0000063	CQUJHB009343, CQUJHB015345	AAEL005696
OG0000063	CQUJHB000544	AAEL005700
OG0000063	CQUJHB004677	AAEL024573, AAEL000326, AAEL000357, AAEL029116
OG0000063	CQUJHB012850, CQUJHB007331	AAEL005775
OG0000063	CQUJHB015091	AAEL000338
OG0000064	CQUJHB000467	AAEL024986
OG0000064	CQUJHB003566, CQUJHB000930	AAEL014561, AAEL021735, AAEL025303, AAEL013027, AAEL017403
OG0000067	CQUJHB012309	AAEL003434
OG0000067	CQUJHB007474, CQUJHB016064	AAEL000678, AAEL000647
OG0000067	CQUJHB016947	AAEL000642
OG0000067	CQUJHB018109	AAEL009524
OG0000067	CQUJHB014152	AAEL000667
OG0000068	CQUJHB004402	AAEL024556
OG0000068	CQUJHB008638	AAEL013512, AAEL013520
OG0000068	CQUJHB015341	AAEL007194
OG0000068	CQUJHB013494	AAEL007192
OG0000068	CQUJHB003559	AAEL013514
OG0000068	CQUJHB001983	AAEL011444
OG0000068	CQUJHB009275	AAEL013515
OG0000069	CQUJHB002460	AAEL015136
OG0000069	CQUJHB012428, CQUJHB001040, CQUJHB012111, CQUJHB002152	AAEL009556, AAEL009555, AAEL009553
OG0000071	CQUJHB009539, CQUJHB013274	AAEL007812
OG0000071	CQUJHB005863	AAEL002085
OG0000071	CQUJHB017394	AAEL003399
OG0000071	CQUJHB016359, CQUJHB013086, CQUJHB010584, CQUJHB004365	AAEL013798
OG0000072	CQUJHB006781	AAEL013229
OG0000072	CQUJHB004934	AAEL012101
OG0000072	CQUJHB004785	AAEL012424
OG0000072	CQUJHB005018	AAEL026111
OG0000072	CQUJHB006868	AAEL004172
OG0000073	CQUJHB000587	AAEL007136
OG0000073	CQUJHB005489, CQUJHB004178	AAEL007131
OG0000073	CQUJHB014734	AAEL007128
OG0000074	CQUJHB017390	AAEL011460
OG0000074	CQUJHB000048, CQUJHB015271, CQUJHB000115	AAEL011454
OG0000074	CQUJHB007995	AAEL011449
OG0000075	CQUJHB005515, CQUJHB004149, CQUJHB008196, CQUJHB008855	AAEL013444, AAEL013442, AAEL013443, AAEL021060, AAEL025773, AAEL013439
OG0000076	CQUJHB017768, CQUJHB012728, CQUJHB015127	AAEL003992
OG0000077	CQUJHB001286	AAEL026915
OG0000077	CQUJHB003639	AAEL015020
OG0000077	CQUJHB006400	AAEL015573
OG0000077	CQUJHB003896, CQUJHB003043	AAEL015021
OG0000077	CQUJHB018214	AAEL015022
OG0000079	CQUJHB003821, CQUJHB018448	AAEL023932, AAEL006498, AAEL006259
OG0000079	CQUJHB013618, CQUJHB018436	AAEL005621, AAEL005625
OG0000079	CQUJHB007263	AAEL006484, AAEL024685
OG0000080	CQUJHB017034, CQUJHB010133	AAEL012700, AAEL012702
OG0000080	CQUJHB005257	AAEL008384
OG0000080	CQUJHB005516	AAEL008386
OG0000081	CQUJHB001153	AAEL013347
OG0000081	CQUJHB000320	AAEL013341
OG0000082	CQUJHB007898	AAEL019868
OG0000085	CQUJHB014727	AAEL014439
OG0000085	CQUJHB008083	AAEL014440, AAEL003971, AAEL003954
OG0000086	CQUJHB008375	AAEL008163
OG0000086	CQUJHB001568	AAEL008162, AAEL022247
OG0000086	CQUJHB015160	AAEL019828
OG0000086	CQUJHB012368	AAEL009108
OG0000087	CQUJHB020281, CQUJHB020317, CQUJHB020245, CQUJHB020270, CQUJHB020428, CQUJHB020374, CQUJHB020331, CQUJHB020284, CQUJHB011739, CQUJHB020291, CQUJHB020412, CQUJHB020247, CQUJHB020441, CQUJHB020408, CQUJHB020327, CQUJHB020358, CQUJHB020445, CQUJHB013617, CQUJHB020411, CQUJHB020357, CQUJHB020415, CQUJHB020286, CQUJHB020379, CQUJHB020369, CQUJHB020426, CQUJHB020403, CQUJHB020280, CQUJHB020262, CQUJHB020394, CQUJHB020385, CQUJHB020259, CQUJHB020248, CQUJHB020251, CQUJHB020325, CQUJHB020418, CQUJHB020263, CQUJHB020275, CQUJHB020342, CQUJHB020296, CQUJHB020264, CQUJHB020443, CQUJHB020377	AAEL018094
OG0000088	CQUJHB009482	AAEL001517
OG0000088	CQUJHB017248, CQUJHB001576, CQUJHB008137	AAEL000546
OG0000088	CQUJHB008822	AAEL000530
OG0000088	CQUJHB009095	AAEL000545
OG0000088	CQUJHB004456, CQUJHB013474	AAEL008532, AAEL004724
OG0000089	CQUJHB015151	AAEL008252, AAEL022849
OG0000089	CQUJHB003816	AAEL001151
OG0000089	CQUJHB012139	AAEL001146
OG0000090	CQUJHB017497	AAEL003723, AAEL003712
OG0000090	CQUJHB007824	AAEL015404
OG0000091	CQUJHB004684, CQUJHB009553, CQUJHB002066, CQUJHB006383, CQUJHB007123	AAEL006992, AAEL006989, AAEL003890
OG0000091	CQUJHB017444	AAEL007010, AAEL021861, AAEL007024
OG0000092	CQUJHB000983, CQUJHB006030	AAEL027314
OG0000092	CQUJHB006017, CQUJHB005768, CQUJHB004130, CQUJHB016496, CQUJHB005195, CQUJHB014961	AAEL027128, AAEL022626, AAEL028098, AAEL019462, AAEL027358, AAEL027511
OG0000096	CQUJHB002716	AAEL002851
OG0000096	CQUJHB018308	AAEL019894
OG0000096	CQUJHB008108	AAEL005052
OG0000096	CQUJHB008616	AAEL002848
OG0000097	CQUJHB017875	AAEL009561
OG0000097	CQUJHB012977	AAEL009559, AAEL009567
OG0000097	CQUJHB011218, CQUJHB006589	AAEL009566
OG0000097	CQUJHB017887	AAEL029014
OG0000098	CQUJHB009893	AAEL014140, AAEL014137
OG0000098	CQUJHB003108	AAEL022822
OG0000104	CQUJHB003501	AAEL002669, AAEL002666, AAEL002658
OG0000104	CQUJHB016210	AAEL002668
OG0000104	CQUJHB015480, CQUJHB006103, CQUJHB017990, CQUJHB017746, CQUJHB005521, CQUJHB012378, CQUJHB001763	AAEL006823
OG0000107	CQUJHB018415, CQUJHB004852	AAEL014731, AAEL007754
OG0000107	CQUJHB009068, CQUJHB013239, CQUJHB016501, CQUJHB015111, CQUJHB013703, CQUJHB006294, CQUJHB013989, CQUJHB013568	AAEL004928
OG0000108	CQUJHB010115	AAEL022600
OG0000108	CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165
OG0000109	CQUJHB017035	AAEL018267
OG0000109	CQUJHB000019	AAEL023958
OG0000109	CQUJHB012435	AAEL019847, AAEL012395
OG0000109	CQUJHB007563	AAEL027539
OG0000111	CQUJHB001127, CQUJHB016273	AAEL024249, AAEL017232, AAEL027929, AAEL025172
OG0000114	CQUJHB008130	AAEL002231
OG0000114	CQUJHB012994	AAEL002246
OG0000114	CQUJHB001438, CQUJHB002918, CQUJHB003734	AAEL002223, AAEL002233, AAEL002187
OG0000115	CQUJHB014380	AAEL004247
OG0000116	CQUJHB007929	AAEL005045, AAEL017209
OG0000116	CQUJHB009840	AAEL005043
OG0000116	CQUJHB015910	AAEL004743
OG0000119	CQUJHB001620	AAEL005200
OG0000119	CQUJHB002189	AAEL020054, AAEL005182
OG0000119	CQUJHB015704, CQUJHB017923, CQUJHB014370, CQUJHB011823, CQUJHB009096	AAEL023662
OG0000119	CQUJHB000195, CQUJHB004701, CQUJHB012571	AAEL004323
OG0000120	CQUJHB006803	AAEL019920, AAEL005609, AAEL005607, AAEL019919
OG0000120	CQUJHB014331, CQUJHB001450	AAEL005594, AAEL005611
OG0000121	CQUJHB006005, CQUJHB017888, CQUJHB012450, CQUJHB011203, CQUJHB008295, CQUJHB000057, CQUJHB000850, CQUJHB012106, CQUJHB011330	AAEL020129, AAEL023436, AAEL025899
OG0000127	CQUJHB008722	AAEL011528
OG0000127	CQUJHB006654, CQUJHB003293, CQUJHB000740	AAEL000686
OG0000127	CQUJHB013009, CQUJHB013825	AAEL001057
OG0000127	CQUJHB003231, CQUJHB009687	AAEL001096
OG0000127	CQUJHB003905	AAEL007941
OG0000128	CQUJHB011093	AAEL000918
OG0000128	CQUJHB006737, CQUJHB017854	AAEL019933
OG0000129	CQUJHB000384, CQUJHB003430	AAEL012683, AAEL012688
OG0000129	CQUJHB014096	AAEL002373, AAEL012680, AAEL012685
OG0000129	CQUJHB016178, CQUJHB012226	AAEL001195
OG0000130	CQUJHB016267	AAEL008160
OG0000130	CQUJHB001063	AAEL002228, AAEL022506, AAEL029069, AAEL020799
OG0000130	CQUJHB001771	AAEL002237
OG0000131	CQUJHB000645	AAEL024660
OG0000131	CQUJHB004459	AAEL003272
OG0000131	CQUJHB010920	AAEL003226
OG0000131	CQUJHB014041	AAEL003259
OG0000132	CQUJHB007672	AAEL003844
OG0000132	CQUJHB008636	AAEL005293
OG0000132	CQUJHB000067	AAEL012003
OG0000132	CQUJHB003091	AAEL003840
OG0000133	CQUJHB009822	AAEL004091
OG0000133	CQUJHB012631, CQUJHB014632, CQUJHB010069, CQUJHB018411, CQUJHB003024, CQUJHB005900, CQUJHB018012, CQUJHB016449	AAEL014230
OG0000134	CQUJHB006248	AAEL005113
OG0000134	CQUJHB017587	AAEL023844
OG0000134	CQUJHB010568	AAEL005123
OG0000134	CQUJHB012326	AAEL019679
OG0000135	CQUJHB008910	AAEL006011
OG0000136	CQUJHB007955, CQUJHB006760	AAEL013227
OG0000136	CQUJHB009839	AAEL013233
OG0000136	CQUJHB008282	AAEL021425, AAEL006287
OG0000136	CQUJHB003509, CQUJHB002833	AAEL013692, AAEL008098
OG0000136	CQUJHB013970	AAEL007698
OG0000137	CQUJHB017481, CQUJHB000636, CQUJHB001650, CQUJHB017580, CQUJHB013972, CQUJHB010919, CQUJHB012390	AAEL023367, AAEL020000, AAEL027188, AAEL019999, AAEL008117, AAEL027338, AAEL023728, AAEL021467, AAEL024749, AAEL024231, AAEL024777, AAEL026630, AAEL014668, AAEL025085
OG0000141	CQUJHB013589, CQUJHB004400	AAEL017553
OG0000141	CQUJHB002761, CQUJHB004199, CQUJHB003761, CQUJHB015077, CQUJHB001493, CQUJHB017741	AAEL002391, AAEL024216, AAEL002378
OG0000141	CQUJHB005542	AAEL002367
OG0000142	CQUJHB011887	AAEL002426
OG0000142	CQUJHB002040	AAEL002432
OG0000142	CQUJHB003927	AAEL002408
OG0000143	CQUJHB014059	AAEL007795, AAEL007807
OG0000143	CQUJHB006194	AAEL007816
OG0000145	CQUJHB020279, CQUJHB020289, CQUJHB016091, CQUJHB020429, CQUJHB014920	AAEL000344, AAEL000377, AAEL022484, AAEL013719
OG0000145	CQUJHB006107, CQUJHB020434, CQUJHB020269, CQUJHB017747, CQUJHB020297, CQUJHB014123, CQUJHB002541, CQUJHB001680	AAEL014876, AAEL004516, AAEL001189, AAEL026563
OG0000145	CQUJHB013931	AAEL009433
OG0000146	CQUJHB005895, CQUJHB003363, CQUJHB015207	AAEL007592, AAEL015137
OG0000146	CQUJHB013515, CQUJHB000693	AAEL001654, AAEL001650, AAEL001634, AAEL007591
OG0000147	CQUJHB005161	AAEL002031
OG0000147	CQUJHB000556, CQUJHB001564, CQUJHB001839	AAEL001960, AAEL002005
OG0000148	CQUJHB001186	AAEL017451
OG0000148	CQUJHB000776	AAEL017460
OG0000148	CQUJHB017061	AAEL002676
OG0000149	CQUJHB010028	AAEL003091
OG0000149	CQUJHB012080	AAEL027549, AAEL027016
OG0000149	CQUJHB014966	AAEL026670
OG0000149	CQUJHB017015, CQUJHB010834	AAEL003076
OG0000150	CQUJHB006439	AAEL003497
OG0000151	CQUJHB018327	AAEL004025
OG0000152	CQUJHB014990	AAEL011180
OG0000152	CQUJHB000800, CQUJHB010394	AAEL011177
OG0000152	CQUJHB005329	AAEL005270
OG0000152	CQUJHB009136	AAEL005259
OG0000153	CQUJHB007543	AAEL024925
OG0000153	CQUJHB006842	AAEL008545
OG0000153	CQUJHB002329	AAEL008533, AAEL008547, AAEL019840, AAEL019839, AAEL026574, AAEL021303, AAEL008538, AAEL008535, AAEL008524, AAEL008536
OG0000154	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899	AAEL009130, AAEL009129, AAEL009123, AAEL009131
OG0000155	CQUJHB007333	AAEL010418, AAEL027258, AAEL015286, AAEL010415
