Orthogroup	CquinquefasciatusJHB2020	AminimusMINIMUS1
OG0000019	CQUJHB010923, CQUJHB017568, CQUJHB012227, CQUJHB003348, CQUJHB005206, CQUJHB011701, CQUJHB008385, CQUJHB008344, CQUJHB016812, CQUJHB000031, CQUJHB005502, CQUJHB009245, CQUJHB004876, CQUJHB006191, CQUJHB011660, CQUJHB002802, CQUJHB006041, CQUJHB016337, CQUJHB008421, CQUJHB002737, CQUJHB005792, CQUJHB003290, CQUJHB008431, CQUJHB018142, CQUJHB009958, CQUJHB013002, CQUJHB014465, CQUJHB016035, CQUJHB010353, CQUJHB017625, CQUJHB011151, CQUJHB009551, CQUJHB000379, CQUJHB015659, CQUJHB012970, CQUJHB000572, CQUJHB005444, CQUJHB010983, CQUJHB002061, CQUJHB002839, CQUJHB017860	AMIN009371
OG0000020	CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495	AMIN008653, AMIN008654, AMIN008394, AMIN000732, AMIN009924, AMIN007524, AMIN008655, AMIN008393
OG0000021	CQUJHB005197	AMIN015466
OG0000021	CQUJHB014638	AMIN015467
OG0000021	CQUJHB010956	AMIN015464
OG0000021	CQUJHB016733	AMIN015465
OG0000021	CQUJHB015628	AMIN015484
OG0000022	CQUJHB013191, CQUJHB015725, CQUJHB017245, CQUJHB003806, CQUJHB013101, CQUJHB004318, CQUJHB008392, CQUJHB003227, CQUJHB002133, CQUJHB015664, CQUJHB010128, CQUJHB005252, CQUJHB004885, CQUJHB003399, CQUJHB015966, CQUJHB017117, CQUJHB003827, CQUJHB018042	AMIN001286
OG0000023	CQUJHB002404	AMIN002718
OG0000023	CQUJHB000253, CQUJHB005111, CQUJHB002050, CQUJHB007212	AMIN007647, AMIN007646
OG0000023	CQUJHB015434, CQUJHB012060	AMIN007806
OG0000024	CQUJHB005662	AMIN007573
OG0000024	CQUJHB001106, CQUJHB003177	AMIN007572
OG0000024	CQUJHB015002	AMIN011339
OG0000026	CQUJHB017272	AMIN015474
OG0000026	CQUJHB011732, CQUJHB012165	AMIN015475
OG0000026	CQUJHB005106	AMIN015479
OG0000026	CQUJHB007540	AMIN015731
OG0000027	CQUJHB008109, CQUJHB008680, CQUJHB008247, CQUJHB011016, CQUJHB011122, CQUJHB017358, CQUJHB008899, CQUJHB012953, CQUJHB006211, CQUJHB003906, CQUJHB001161, CQUJHB015070, CQUJHB003476, CQUJHB011300, CQUJHB003752	AMIN006557, AMIN006558
OG0000028	CQUJHB009718	AMIN001236
OG0000030	CQUJHB013699, CQUJHB008107, CQUJHB010736, CQUJHB010439	AMIN006996, AMIN006995, AMIN006765, AMIN007001, AMIN006992, AMIN002000, AMIN006991, AMIN007005, AMIN007004, AMIN006994
OG0000031	CQUJHB005184, CQUJHB006333	AMIN006442, AMIN004950
OG0000032	CQUJHB013916, CQUJHB002841, CQUJHB018268, CQUJHB000206, CQUJHB010055, CQUJHB001736, CQUJHB009611, CQUJHB001221, CQUJHB005224, CQUJHB003097, CQUJHB017356, CQUJHB004843, CQUJHB006636, CQUJHB013020, CQUJHB004712, CQUJHB014732, CQUJHB012568, CQUJHB000350, CQUJHB015139, CQUJHB009262, CQUJHB001800, CQUJHB002859, CQUJHB015715, CQUJHB005183, CQUJHB008412, CQUJHB008157, CQUJHB003203, CQUJHB010737, CQUJHB010350	AMIN001332
OG0000034	CQUJHB012032	AMIN010991
OG0000037	CQUJHB011063	AMIN002827, AMIN006508, AMIN006509, AMIN003922, AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942, AMIN003923, AMIN003925, AMIN003924, AMIN000003, AMIN004541, AMIN004540, AMIN004539
OG0000039	CQUJHB008310, CQUJHB006780, CQUJHB014689, CQUJHB010451, CQUJHB011408, CQUJHB015873, CQUJHB005401, CQUJHB015714, CQUJHB007411	AMIN015958, AMIN015957, AMIN010824, AMIN007947, AMIN007946, AMIN015959
OG0000040	CQUJHB002131, CQUJHB000018, CQUJHB020446	AMIN015663, AMIN015662
OG0000040	CQUJHB020438	AMIN015574, AMIN015575, AMIN001806, AMIN001807, AMIN015590, AMIN015591
OG0000041	CQUJHB001955, CQUJHB001825	AMIN008776
OG0000041	CQUJHB000581	AMIN008777
OG0000041	CQUJHB000078, CQUJHB001849, CQUJHB006430	AMIN003187
OG0000042	CQUJHB006261	AMIN005907, AMIN001699
OG0000045	CQUJHB000359, CQUJHB018399, CQUJHB003478, CQUJHB004554	AMIN001066
OG0000046	CQUJHB005669, CQUJHB017284	AMIN002797
OG0000048	CQUJHB016807, CQUJHB013985, CQUJHB018159, CQUJHB005082, CQUJHB004417, CQUJHB012005, CQUJHB009336, CQUJHB014845, CQUJHB008386	AMIN011325
OG0000049	CQUJHB015876	AMIN015888
OG0000049	CQUJHB015556	AMIN015889
OG0000049	CQUJHB015769	AMIN015890
OG0000051	CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075, CQUJHB010616	AMIN006620, AMIN014521
OG0000052	CQUJHB005091	AMIN015582
OG0000052	CQUJHB017932, CQUJHB006568, CQUJHB007297, CQUJHB011415	AMIN015585, AMIN015584
OG0000053	CQUJHB018432	AMIN009403, AMIN009402
OG0000055	CQUJHB018229	AMIN002458
OG0000056	CQUJHB010210	AMIN004372
OG0000057	CQUJHB014741, CQUJHB005612, CQUJHB013656, CQUJHB013556, CQUJHB001778, CQUJHB008046, CQUJHB011652, CQUJHB016655, CQUJHB009785	AMIN006625, AMIN006626, AMIN014522
OG0000058	CQUJHB006852, CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265	AMIN001846
OG0000058	CQUJHB005830	AMIN009389
OG0000059	CQUJHB005700	AMIN016229, AMIN016293
OG0000059	CQUJHB006696	AMIN010123
OG0000060	CQUJHB004792	AMIN006628
OG0000060	CQUJHB016380, CQUJHB008966, CQUJHB012898, CQUJHB014019, CQUJHB012243	AMIN014523
OG0000060	CQUJHB002343	AMIN006627
OG0000061	CQUJHB009715, CQUJHB015055	AMIN006938
OG0000061	CQUJHB017379	AMIN007997
OG0000061	CQUJHB014303, CQUJHB010901, CQUJHB011103, CQUJHB002901	AMIN004599
OG0000062	CQUJHB009702	AMIN001001, AMIN000304
OG0000063	CQUJHB018065	AMIN002564
OG0000063	CQUJHB002044, CQUJHB000613, CQUJHB012543, CQUJHB009343, CQUJHB015345, CQUJHB000544, CQUJHB010641, CQUJHB004677, CQUJHB012850, CQUJHB007331, CQUJHB015091	AMIN003060
OG0000064	CQUJHB003566, CQUJHB000930	AMIN001329, AMIN001327
OG0000067	CQUJHB012309	AMIN015537
OG0000067	CQUJHB007474, CQUJHB016064	AMIN015982
OG0000067	CQUJHB016947	AMIN008926
OG0000067	CQUJHB018109	AMIN000636
OG0000067	CQUJHB014152	AMIN015981
OG0000068	CQUJHB001983	AMIN010935
OG0000069	CQUJHB002460	AMIN003229
OG0000069	CQUJHB012428	AMIN010636
OG0000069	CQUJHB001040, CQUJHB012111, CQUJHB002152	AMIN016115, AMIN016114, AMIN003907
OG0000071	CQUJHB009539, CQUJHB013274	AMIN005052
OG0000071	CQUJHB005863, CQUJHB017394	AMIN000434
OG0000071	CQUJHB016359, CQUJHB013086, CQUJHB010584, CQUJHB004365	AMIN005942, AMIN005941, AMIN005945
OG0000072	CQUJHB006781	AMIN008641
OG0000072	CQUJHB004785	AMIN000778
OG0000072	CQUJHB005018, CQUJHB006868	AMIN011262
OG0000073	CQUJHB000587	AMIN006338
OG0000073	CQUJHB014734	AMIN006336
OG0000074	CQUJHB017390, CQUJHB000048, CQUJHB015271, CQUJHB000115	AMIN007418, AMIN007419
OG0000074	CQUJHB007995	AMIN010517
OG0000075	CQUJHB005515, CQUJHB004149, CQUJHB008196, CQUJHB008855	AMIN009972, AMIN009971, AMIN009973
OG0000076	CQUJHB017768, CQUJHB012728, CQUJHB015127	AMIN007057, AMIN006792, AMIN006791, AMIN008359, AMIN004343
OG0000077	CQUJHB001286	AMIN015954
OG0000077	CQUJHB003639, CQUJHB006400, CQUJHB003896, CQUJHB003043	AMIN015955, AMIN015952
OG0000077	CQUJHB018214	AMIN015953
OG0000079	CQUJHB005309	AMIN015620
OG0000079	CQUJHB003821, CQUJHB018448	AMIN015621, AMIN016252
OG0000079	CQUJHB013618, CQUJHB018436, CQUJHB007263	AMIN015622
OG0000080	CQUJHB015069	AMIN010419
OG0000080	CQUJHB005257, CQUJHB005516	AMIN008322
OG0000081	CQUJHB001153	AMIN010657
OG0000081	CQUJHB000320	AMIN010656
OG0000082	CQUJHB007898	AMIN008360, AMIN008381
OG0000085	CQUJHB014727, CQUJHB008083	AMIN015862, AMIN015860, AMIN015861, AMIN015859, AMIN015863, AMIN015858
OG0000086	CQUJHB008375, CQUJHB001568, CQUJHB015160	AMIN000451
OG0000086	CQUJHB012368	AMIN002615
OG0000088	CQUJHB009482	AMIN008863
OG0000088	CQUJHB017248, CQUJHB001576, CQUJHB008137, CQUJHB008822, CQUJHB009095, CQUJHB004456, CQUJHB013474	AMIN009049, AMIN009053
OG0000089	CQUJHB003816, CQUJHB012139	AMIN006914
OG0000090	CQUJHB017497	AMIN010523
OG0000090	CQUJHB007824	AMIN010488
OG0000091	CQUJHB017444	AMIN002875
OG0000093	CQUJHB010789	AMIN007523, AMIN009880, AMIN007575, AMIN014793, AMIN001012
OG0000096	CQUJHB002716	AMIN009310
OG0000096	CQUJHB018308	AMIN014712
OG0000096	CQUJHB008108	AMIN010757
OG0000096	CQUJHB008616	AMIN001255
OG0000097	CQUJHB011218, CQUJHB006589	AMIN003984
OG0000097	CQUJHB015073	AMIN003983, AMIN003985
OG0000098	CQUJHB009178, CQUJHB009893, CQUJHB003108, CQUJHB017910	AMIN009752
OG0000104	CQUJHB016210, CQUJHB015480, CQUJHB006103, CQUJHB017990, CQUJHB017746, CQUJHB005521, CQUJHB012378, CQUJHB001763	AMIN001011
OG0000107	CQUJHB018415, CQUJHB004852, CQUJHB009068, CQUJHB013239, CQUJHB016501, CQUJHB015111, CQUJHB013703, CQUJHB006294, CQUJHB013989, CQUJHB013568, CQUJHB000838, CQUJHB001925	AMIN003226
OG0000108	CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363	AMIN001146
OG0000109	CQUJHB017035	AMIN007943
OG0000109	CQUJHB000019	AMIN000020
OG0000111	CQUJHB001127, CQUJHB016273	AMIN005870
OG0000115	CQUJHB014380	AMIN007799
OG0000116	CQUJHB015910	AMIN009560
OG0000119	CQUJHB001620	AMIN011174
OG0000119	CQUJHB002189, CQUJHB015704, CQUJHB017923, CQUJHB014370, CQUJHB011823, CQUJHB009096, CQUJHB000195, CQUJHB004701, CQUJHB012571	AMIN011175
OG0000120	CQUJHB006803	AMIN015839
OG0000120	CQUJHB014331, CQUJHB001450	AMIN015840, AMIN015843
OG0000121	CQUJHB006005, CQUJHB017888, CQUJHB012450, CQUJHB011203, CQUJHB008295, CQUJHB000057, CQUJHB000850, CQUJHB012106, CQUJHB011330	AMIN007010
OG0000127	CQUJHB008722, CQUJHB006654, CQUJHB003293, CQUJHB000740, CQUJHB013009, CQUJHB013825, CQUJHB003231, CQUJHB009687, CQUJHB007227, CQUJHB017577, CQUJHB005246, CQUJHB012007, CQUJHB016127, CQUJHB003905	AMIN000423
OG0000128	CQUJHB011093	AMIN009297
OG0000128	CQUJHB006737	AMIN016286
OG0000128	CQUJHB017854	AMIN016287
OG0000129	CQUJHB016178, CQUJHB012226	AMIN002441
OG0000130	CQUJHB016267	AMIN000464
OG0000130	CQUJHB001771	AMIN009807
OG0000131	CQUJHB004459, CQUJHB010920	AMIN009597
OG0000131	CQUJHB014041	AMIN009593
OG0000132	CQUJHB008636	AMIN008147
OG0000132	CQUJHB010862	AMIN008146, AMIN008145
OG0000132	CQUJHB003091	AMIN009203
OG0000133	CQUJHB009822	AMIN006896
OG0000133	CQUJHB016449	AMIN008837
OG0000134	CQUJHB006248, CQUJHB017587, CQUJHB010568	AMIN010110
OG0000134	CQUJHB012326	AMIN010108, AMIN010109
OG0000135	CQUJHB017649	AMIN009411
OG0000135	CQUJHB008910	AMIN007092
OG0000135	CQUJHB008581	AMIN009027, AMIN007093
OG0000136	CQUJHB007955, CQUJHB006760, CQUJHB009839, CQUJHB008282	AMIN008377
OG0000136	CQUJHB003509, CQUJHB002833, CQUJHB013970	AMIN001881
OG0000141	CQUJHB013589, CQUJHB004400, CQUJHB002761, CQUJHB004199, CQUJHB003761, CQUJHB015077, CQUJHB001493, CQUJHB017741, CQUJHB005542	AMIN011058
OG0000142	CQUJHB011887	AMIN003855
OG0000142	CQUJHB002040	AMIN000952
OG0000142	CQUJHB003927	AMIN003784
OG0000143	CQUJHB014059, CQUJHB002965, CQUJHB006194	AMIN002682
OG0000146	CQUJHB005895, CQUJHB003363, CQUJHB015207	AMIN000516
OG0000147	CQUJHB005161, CQUJHB000556, CQUJHB001564, CQUJHB001839	AMIN016141, AMIN016134, AMIN016136, AMIN016135
OG0000148	CQUJHB000776	AMIN009492, AMIN009494
OG0000148	CQUJHB017061	AMIN009495
OG0000149	CQUJHB010028	AMIN011053
OG0000149	CQUJHB012080	AMIN016044
OG0000149	CQUJHB014966	AMIN016042
OG0000149	CQUJHB017015, CQUJHB010834	AMIN016043
OG0000150	CQUJHB006439	AMIN011243
OG0000152	CQUJHB014990	AMIN007972
OG0000152	CQUJHB005329	AMIN009946
OG0000152	CQUJHB009136	AMIN009947, AMIN009948
OG0000154	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899	AMIN000711, AMIN006064
OG0000155	CQUJHB007333, CQUJHB008665, CQUJHB002705, CQUJHB004511, CQUJHB005859, CQUJHB001497	AMIN015664, AMIN015665
OG0000157	CQUJHB001379	AMIN001668
OG0000157	CQUJHB007316, CQUJHB018173, CQUJHB009836	AMIN010663
OG0000161	CQUJHB000076	AMIN010046
OG0000162	CQUJHB009418	AMIN006857
OG0000162	CQUJHB004329	AMIN006855
OG0000163	CQUJHB015427, CQUJHB001490, CQUJHB017982, CQUJHB004125, CQUJHB015576, CQUJHB004810, CQUJHB003658	AMIN001822
OG0000164	CQUJHB011226	AMIN004931
OG0000164	CQUJHB012144, CQUJHB018124	AMIN004928
OG0000164	CQUJHB012545	AMIN004930
OG0000165	CQUJHB004809	AMIN005409
OG0000165	CQUJHB008494	AMIN004970
OG0000166	CQUJHB004489	AMIN007525
OG0000171	CQUJHB006525	AMIN004244
OG0000172	CQUJHB004762	AMIN008835
OG0000172	CQUJHB006283	AMIN008838
OG0000172	CQUJHB003020	AMIN008827
OG0000173	CQUJHB013713	AMIN007048
OG0000173	CQUJHB001093, CQUJHB007201	AMIN007047
OG0000174	CQUJHB012327	AMIN005847
OG0000174	CQUJHB009037, CQUJHB004035	AMIN015909
OG0000180	CQUJHB005835, CQUJHB005816, CQUJHB007916, CQUJHB006996, CQUJHB001222, CQUJHB013519, CQUJHB008661, CQUJHB002191, CQUJHB000686, CQUJHB009673, CQUJHB009193, CQUJHB000772	AMIN009804
OG0000181	CQUJHB018406, CQUJHB017566	AMIN014770, AMIN009918, AMIN009916, AMIN009915
OG0000182	CQUJHB010205	AMIN004725
OG0000182	CQUJHB012840	AMIN016128
OG0000182	CQUJHB007241	AMIN016130
OG0000183	CQUJHB008471, CQUJHB008317, CQUJHB015904, CQUJHB015217	AMIN002688, AMIN003141
OG0000184	CQUJHB005313	AMIN001894
OG0000184	CQUJHB020350, CQUJHB003938, CQUJHB000274	AMIN015554, AMIN001896, AMIN015555
OG0000185	CQUJHB017110, CQUJHB016405, CQUJHB006617	AMIN008694
OG0000185	CQUJHB017959, CQUJHB000372	AMIN011065
OG0000187	CQUJHB008770, CQUJHB004129, CQUJHB012844, CQUJHB004306, CQUJHB008082, CQUJHB013210, CQUJHB015795, CQUJHB005653, CQUJHB013231, CQUJHB020318, CQUJHB020398, CQUJHB020313, CQUJHB020424, CQUJHB020405, CQUJHB016508, CQUJHB015181, CQUJHB011232, CQUJHB002253, CQUJHB009569, CQUJHB014578, CQUJHB015136	AMIN000726
OG0000188	CQUJHB017292, CQUJHB007220, CQUJHB003135	AMIN011638
OG0000189	CQUJHB011357	AMIN004715
OG0000189	CQUJHB001514, CQUJHB016877	AMIN003400
OG0000190	CQUJHB014000	AMIN009845
OG0000190	CQUJHB013041	AMIN005982
OG0000190	CQUJHB007455	AMIN001539
OG0000191	CQUJHB013758, CQUJHB002302, CQUJHB016362, CQUJHB011469	AMIN010963, AMIN010962, AMIN010961, AMIN010960
OG0000192	CQUJHB011350	AMIN009154
OG0000192	CQUJHB011486	AMIN003113
OG0000192	CQUJHB006523	AMIN016221
OG0000193	CQUJHB016836, CQUJHB008892, CQUJHB000131	AMIN005247, AMIN005248, AMIN015557, AMIN005246, AMIN001550
OG0000194	CQUJHB007940	AMIN001917
OG0000196	CQUJHB015310, CQUJHB014474, CQUJHB002527, CQUJHB011596, CQUJHB015062	AMIN001000
OG0000200	CQUJHB003055	AMIN008384
OG0000200	CQUJHB000054	AMIN008385
OG0000200	CQUJHB006956	AMIN004606
OG0000201	CQUJHB015906	AMIN011329
OG0000202	CQUJHB017404, CQUJHB010576	AMIN005629
OG0000204	CQUJHB015536, CQUJHB018050	AMIN015947
OG0000204	CQUJHB009121	AMIN015946
OG0000205	CQUJHB011157	AMIN004379
OG0000206	CQUJHB009215, CQUJHB015605, CQUJHB002272	AMIN015995
OG0000207	CQUJHB009425	AMIN016067, AMIN016068
OG0000208	CQUJHB002746	AMIN008403
OG0000208	CQUJHB017609, CQUJHB006033, CQUJHB016545	AMIN008402
OG0000210	CQUJHB015488, CQUJHB015097, CQUJHB007162	AMIN008980, AMIN008979
OG0000211	CQUJHB016529	AMIN009162
OG0000217	CQUJHB018057	AMIN000805
OG0000217	CQUJHB008942	AMIN001961
OG0000218	CQUJHB001220	AMIN006218
OG0000219	CQUJHB009528, CQUJHB009252, CQUJHB018120, CQUJHB007367	AMIN001093
OG0000220	CQUJHB002011	AMIN002726
OG0000221	CQUJHB011640	AMIN006274
OG0000221	CQUJHB016680, CQUJHB007754	AMIN010066
OG0000222	CQUJHB015532	AMIN001686
OG0000223	CQUJHB009151	AMIN002292
OG0000224	CQUJHB005624	AMIN003074, AMIN003071
OG0000225	CQUJHB016925, CQUJHB017410, CQUJHB002547, CQUJHB013654, CQUJHB010873	AMIN003771
OG0000229	CQUJHB007133	AMIN000391
OG0000229	CQUJHB010008	AMIN003127, AMIN003317
OG0000230	CQUJHB018077, CQUJHB010793, CQUJHB004599, CQUJHB013294, CQUJHB000972	AMIN009075, AMIN009077
OG0000231	CQUJHB015552, CQUJHB009864	AMIN010930, AMIN010931
OG0000232	CQUJHB004882	AMIN010173, AMIN010175, AMIN016211, AMIN016210
OG0000233	CQUJHB013827, CQUJHB005784	AMIN002286
OG0000233	CQUJHB017046	AMIN002275
OG0000234	CQUJHB001691	AMIN006393
OG0000234	CQUJHB001439	AMIN006400
OG0000234	CQUJHB012585	AMIN006394
OG0000236	CQUJHB005892, CQUJHB007626, CQUJHB015922	AMIN002269, AMIN002270, AMIN008944
OG0000237	CQUJHB010154	AMIN000894
OG0000244	CQUJHB007355	AMIN009457
OG0000244	CQUJHB012679	AMIN009466
OG0000245	CQUJHB000799	AMIN000228
OG0000247	CQUJHB002713, CQUJHB017013	AMIN010670, AMIN010671
OG0000247	CQUJHB002013	AMIN010668
OG0000248	CQUJHB007060	AMIN005906
OG0000248	CQUJHB012099	AMIN016193
OG0000248	CQUJHB010965	AMIN016192
OG0000249	CQUJHB009233, CQUJHB007489, CQUJHB002025, CQUJHB001010, CQUJHB009190	AMIN011428, AMIN007370
OG0000250	CQUJHB006421	AMIN003364
OG0000251	CQUJHB008705	AMIN004378
OG0000252	CQUJHB005253, CQUJHB008240, CQUJHB011189, CQUJHB017858	AMIN008785
OG0000253	CQUJHB011918, CQUJHB003161	AMIN003457
OG0000254	CQUJHB001657	AMIN000082
OG0000254	CQUJHB009978	AMIN000940
OG0000255	CQUJHB003529	AMIN016175, AMIN016174
OG0000256	CQUJHB009160	AMIN000774
OG0000256	CQUJHB014478	AMIN000776, AMIN000777, AMIN000775
OG0000257	CQUJHB010739, CQUJHB009502, CQUJHB000584, CQUJHB000689, CQUJHB000541, CQUJHB008553, CQUJHB004547, CQUJHB014397, CQUJHB008765	AMIN001432, AMIN001434
OG0000260	CQUJHB020421, CQUJHB004409, CQUJHB006012, CQUJHB011286	AMIN003553
OG0000265	CQUJHB003184	AMIN010596, AMIN010587
OG0000265	CQUJHB006489	AMIN005808
OG0000266	CQUJHB002351	AMIN001628
OG0000266	CQUJHB011998	AMIN006383, AMIN006382
OG0000267	CQUJHB017125	AMIN004770
OG0000268	CQUJHB012623	AMIN007059, AMIN007060
OG0000268	CQUJHB010904	AMIN007061
OG0000269	CQUJHB013165, CQUJHB003189	AMIN016284
OG0000270	CQUJHB003727, CQUJHB017973, CQUJHB003318	AMIN011416, AMIN008623, AMIN015971
OG0000271	CQUJHB018009	AMIN001411
OG0000272	CQUJHB005415, CQUJHB017192	AMIN008763
OG0000273	CQUJHB002335	AMIN015825
OG0000273	CQUJHB008927	AMIN002200
OG0000274	CQUJHB003245, CQUJHB014187, CQUJHB000081	AMIN006742
OG0000276	CQUJHB004277, CQUJHB012726, CQUJHB008874, CQUJHB010302, CQUJHB001377, CQUJHB004937, CQUJHB013546, CQUJHB006216	AMIN008276
OG0000277	CQUJHB010575, CQUJHB010852, CQUJHB004755, CQUJHB010749, CQUJHB002174, CQUJHB009714, CQUJHB010492, CQUJHB016702, CQUJHB013862	AMIN000409
OG0000278	CQUJHB008764, CQUJHB011798	AMIN011462, AMIN011446, AMIN011465
OG0000279	CQUJHB005102	AMIN014755
OG0000280	CQUJHB000493	AMIN006824
OG0000285	CQUJHB011294	AMIN002977
OG0000286	CQUJHB008968, CQUJHB015387	AMIN001250
OG0000288	CQUJHB010147	AMIN001788
OG0000289	CQUJHB011529, CQUJHB001666, CQUJHB017987	AMIN009186
OG0000290	CQUJHB002754, CQUJHB008405	AMIN015559, AMIN008540, AMIN015558
OG0000291	CQUJHB017541	AMIN007862
OG0000291	CQUJHB015406	AMIN008053, AMIN008052
OG0000292	CQUJHB017021	AMIN006672
OG0000292	CQUJHB008145	AMIN006670
OG0000293	CQUJHB008571	AMIN005398
OG0000294	CQUJHB015184	AMIN005760
OG0000294	CQUJHB009494	AMIN005761
OG0000295	CQUJHB020305, CQUJHB011786	AMIN008699, AMIN016301, AMIN016300
OG0000296	CQUJHB017172	AMIN006011
OG0000297	CQUJHB004146, CQUJHB000290	AMIN015904
OG0000297	CQUJHB011318	AMIN015903
OG0000299	CQUJHB014668	AMIN002531
OG0000299	CQUJHB005162, CQUJHB009370	AMIN008559
OG0000300	CQUJHB009969, CQUJHB015841, CQUJHB004971, CQUJHB004484, CQUJHB012791, CQUJHB008483, CQUJHB001208, CQUJHB014241, CQUJHB018084, CQUJHB007208, CQUJHB002456, CQUJHB001900, CQUJHB010645, CQUJHB016923, CQUJHB016527, CQUJHB010855	AMIN010132
OG0000302	CQUJHB010010	AMIN016306
OG0000302	CQUJHB010685	AMIN010574
OG0000303	CQUJHB008617	AMIN000132
OG0000304	CQUJHB006070, CQUJHB016739	AMIN001010
OG0000305	CQUJHB001390, CQUJHB001973	AMIN007189
OG0000306	CQUJHB007627	AMIN006304, AMIN006305
OG0000317	CQUJHB020361, CQUJHB020388, CQUJHB020257, CQUJHB001753, CQUJHB020414, CQUJHB013993, CQUJHB016263	AMIN004815
OG0000318	CQUJHB008681	AMIN007124, AMIN007158, AMIN007123, AMIN007122
OG0000319	CQUJHB011407	AMIN001372
