Orthogroup	AfunestusAfunGA1	Aalbopictus_AalbF5
OG0000024	AFUN2_004514	LOC109403004, LOC109408692
OG0000024	AFUN2_001856	LOC109408663
OG0000024	AFUN2_009727	LOC134284686, LOC109408662
OG0000024	AFUN2_006932, AFUN2_001526, AFUN2_012131	LOC109408659
OG0000025	AFUN2_014130	LOC134291310, LOC134284801, LOC115269020, LOC134290139, LOC134289195, LOC134290425, LOC134290589
OG0000025	AFUN2_011412, AFUN2_009073, AFUN2_014057, AFUN2_001155	LOC134290577, LOC134286864, LOC134289916, LOC134286889, LOC134290584, LOC134284395, LOC134287511, LOC134286775, LOC134286198, LOC134291886, LOC134286947, LOC134286572, LOC134290440, LOC134290236, LOC134286498, LOC134291011, LOC134290597, LOC134286599, LOC134286662, LOC134290907, LOC134289411, LOC134290516, LOC134290258, LOC134286953
OG0000026	AFUN2_003253, AFUN2_004905	LOC115269863
OG0000026	AFUN2_006722	LOC109431713, LOC115267476, LOC115260125
OG0000026	AFUN2_005978	LOC109622447
OG0000027	AFUN2_012022	LOC109398505, LOC109406559, LOC109406548, LOC109406550, LOC109406555
OG0000027	AFUN2_002065, AFUN2_004791	LOC109406551, LOC109398494, LOC109417369, LOC109417371, LOC109398522, LOC109398512, LOC109398504, LOC109406556, LOC109398492, LOC109406557, LOC109406553, LOC109417368, LOC115262615, LOC115262616
OG0000028	AFUN2_013164	LOC109427450, LOC115257043, LOC134284298, LOC109426869, LOC109433030, LOC109424566, LOC134286544, LOC134291545, LOC134289483, LOC134288560, LOC109406081, LOC134288791, LOC134290864, LOC134290502, LOC134288289, LOC109430877
OG0000028	AFUN2_001898	LOC134286830
OG0000028	AFUN2_006996	LOC134288004, LOC134286665, LOC134285471, LOC134285390, LOC134290734
OG0000028	AFUN2_010476, AFUN2_002523	LOC134286224
OG0000028	AFUN2_003118, AFUN2_003598	LOC134290388
OG0000028	AFUN2_008286, AFUN2_011015	LOC134288151, LOC134286380
OG0000028	AFUN2_003325	LOC134291669, LOC115255659
OG0000030	AFUN2_012733, AFUN2_007213, AFUN2_001848, AFUN2_011448, AFUN2_005957, AFUN2_010339, AFUN2_010744, AFUN2_005913, AFUN2_012561, AFUN2_001536, AFUN2_011617, AFUN2_011391, AFUN2_001923, AFUN2_011066, AFUN2_014328, AFUN2_006386, AFUN2_012770, AFUN2_005352	LOC109420622, LOC109420540, LOC109417125, LOC115255076, LOC134289023
OG0000031	AFUN2_011697	LOC134289430, LOC134286231
OG0000031	AFUN2_011049, AFUN2_008201, AFUN2_008391, AFUN2_011664	LOC109405467, LOC134286842, LOC134284154, LOC134292214, LOC134290284, LOC134290031, LOC134286930, LOC134291532, LOC109417163, LOC109416565, LOC115256360, LOC134286808, LOC134291204, LOC134291999, LOC134292220, LOC109430144, LOC134291446, LOC134290855, LOC109622978, LOC134289241, LOC134288973, LOC134287887, LOC134290102, LOC134288713, LOC134286257
OG0000031	AFUN2_002494	LOC134286814, LOC134291789
OG0000031	AFUN2_002498	LOC134285598
OG0000032	AFUN2_000937	LOC134286630
OG0000032	AFUN2_002261	LOC134285958, LOC134285252, LOC134290546, LOC134290447, LOC134286702, LOC134290488, LOC134284658, LOC134291067, LOC115265199
OG0000032	AFUN2_003899, AFUN2_006152	LOC134286685, LOC134289497, LOC134288537, LOC134290314, LOC109427185, LOC134290627, LOC134286565
OG0000032	AFUN2_003826	LOC134290765
OG0000033	AFUN2_014039	LOC134290105, LOC109416028
OG0000033	AFUN2_008608	LOC109414923
OG0000033	AFUN2_002394, AFUN2_008977, AFUN2_005452, AFUN2_008949, AFUN2_011104, AFUN2_007576	LOC109416027, LOC109414897, LOC109416024, LOC109416023
OG0000034	AFUN2_014222	LOC109623111
OG0000035	AFUN2_006151, AFUN2_012246, AFUN2_011399, AFUN2_012567, AFUN2_008339, AFUN2_002432, AFUN2_003652, AFUN2_013041, AFUN2_005479, AFUN2_000582, AFUN2_014196, AFUN2_002672, AFUN2_009607, AFUN2_009222, AFUN2_006146, AFUN2_006683	LOC109431735, LOC109419479, LOC115269187
OG0000037	AFUN2_013181	LOC115267800
OG0000038	AFUN2_013078	LOC134288173, LOC109406651, LOC115255698, LOC134286446
OG0000039	AFUN2_009923, AFUN2_010939, AFUN2_002356, AFUN2_001872, AFUN2_008523, AFUN2_002845	LOC115267561, LOC109404256, LOC109416577, LOC109429852, LOC109433331, LOC109431626, LOC109401619, LOC115260826
OG0000040	AFUN2_012034, AFUN2_000621	LOC109426099, LOC109429627, LOC109623406, LOC109623405
OG0000040	AFUN2_012970, AFUN2_011961, AFUN2_013533, AFUN2_004686	LOC109429616, LOC109424203
OG0000041	AFUN2_000732	LOC109426885
OG0000041	AFUN2_014438	LOC109623326
OG0000041	AFUN2_001049	LOC109623385
OG0000041	AFUN2_010115	LOC109623384, LOC109623325
OG0000041	AFUN2_014544	LOC109426866
OG0000042	AFUN2_004081, AFUN2_014693	LOC109402120
OG0000045	AFUN2_006680	LOC115254791, LOC115266674, LOC134288587, LOC115262239, LOC115260912, LOC109400123, LOC134286497, LOC134288132, LOC134290932, LOC134286194, LOC109424601, LOC134284219, LOC115265664, LOC115258448, LOC134289039, LOC134287579, LOC109402167, LOC115255999, LOC134286347, LOC134285044, LOC134286727, LOC115269455, LOC134288646, LOC134284322, LOC134291242, LOC134291243, LOC134284310
OG0000046	AFUN2_006305, AFUN2_003082, AFUN2_013805	LOC109622330, LOC109621357, LOC109622339
OG0000048	AFUN2_006474, AFUN2_003419, AFUN2_007098, AFUN2_011966, AFUN2_007180, AFUN2_001025	LOC109428624, LOC109422505, LOC109420363, LOC109401660, LOC109418726, LOC134292261
OG0000049	AFUN2_008624	LOC115257883
OG0000049	AFUN2_012748	LOC115257642
OG0000049	AFUN2_002192, AFUN2_013459	LOC115253560
OG0000050	AFUN2_013758	LOC134285325
OG0000050	AFUN2_014535, AFUN2_004996, AFUN2_006077, AFUN2_002014, AFUN2_005464, AFUN2_000902, AFUN2_006595, AFUN2_002144, AFUN2_008995, AFUN2_008521, AFUN2_001949, AFUN2_014008, AFUN2_012115, AFUN2_001319, AFUN2_004099, AFUN2_001446, AFUN2_011923, AFUN2_006774, AFUN2_004135, AFUN2_008820, AFUN2_011946, AFUN2_011869, AFUN2_007728, AFUN2_002311, AFUN2_011710, AFUN2_002565, AFUN2_006170, AFUN2_002205, AFUN2_013104, AFUN2_002325, AFUN2_001048, AFUN2_012571, AFUN2_011759, AFUN2_008005, AFUN2_004119, AFUN2_013320, AFUN2_004319, AFUN2_006631, AFUN2_004722, AFUN2_009198, AFUN2_013887, AFUN2_006868, AFUN2_009902	LOC134289991
OG0000051	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721	LOC134287878, LOC134286741, LOC134286742, LOC134287876, LOC134286737, LOC134287877
OG0000052	AFUN2_013880	LOC109418979, LOC109398291, LOC109398344, LOC109399682, LOC109418960
OG0000053	AFUN2_014363, AFUN2_010396, AFUN2_010923, AFUN2_007355, AFUN2_008998, AFUN2_014545, AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584, AFUN2_001373, AFUN2_002347	LOC134290123
OG0000055	AFUN2_003795	LOC109425568
OG0000055	AFUN2_007989	LOC109430791
OG0000055	AFUN2_001013, AFUN2_010954, AFUN2_006754, AFUN2_002857, AFUN2_009317, AFUN2_014083, AFUN2_006806, AFUN2_010423	LOC109400253, LOC115265081, LOC109423617, LOC109400264, LOC115265080, LOC115266509
OG0000057	AFUN2_008318, AFUN2_006014, AFUN2_000600	LOC109400285, LOC109400301, LOC134286750, LOC109400303, LOC109425074
OG0000058	AFUN2_011854, AFUN2_008788	LOC109429556, LOC109429973
OG0000058	AFUN2_002438	LOC109429562
OG0000058	AFUN2_002842	LOC109429976
OG0000059	AFUN2_006267	LOC115263209
OG0000059	AFUN2_010578, AFUN2_006502, AFUN2_012387	LOC109397955
OG0000059	AFUN2_014242, AFUN2_009466	LOC109398113
OG0000060	AFUN2_014460	LOC109400289, LOC109425201, LOC109425203, LOC109425111, LOC109425112
OG0000060	AFUN2_011607	LOC109400353, LOC109400352, LOC109425109, LOC109400350, LOC109425107
OG0000061	AFUN2_000988	LOC115262216, LOC109407552
OG0000061	AFUN2_001934	LOC109426588
OG0000061	AFUN2_001889	LOC109412270, LOC109397255
OG0000062	AFUN2_010062, AFUN2_011070, AFUN2_009059, AFUN2_003714, AFUN2_008839, AFUN2_002820, AFUN2_013747, AFUN2_007462, AFUN2_014711	LOC115259541, LOC134285567
OG0000063	AFUN2_005096	LOC109399308, LOC109399296
OG0000063	AFUN2_009682	LOC109430420, LOC109405725, LOC109413826, LOC109428843, LOC109420947, LOC109399306, LOC115261478, LOC109426952, LOC109405771
OG0000064	AFUN2_002334, AFUN2_013676	LOC109407215, LOC109407216, LOC109405887, LOC109424210, LOC109412709, LOC134285929
OG0000064	AFUN2_011232	LOC109433412
OG0000067	AFUN2_003888	LOC109399585
OG0000067	AFUN2_012011	LOC109426033, LOC109426036
OG0000067	AFUN2_003045	LOC109426037
OG0000067	AFUN2_008039	LOC109410996, LOC109410901
OG0000067	AFUN2_008602	LOC109426035
OG0000068	AFUN2_012196	LOC109399171
OG0000068	AFUN2_006617	LOC109413965, LOC109413968, LOC109398683, LOC109405051, LOC109413969
OG0000068	AFUN2_013302	LOC109399209
OG0000068	AFUN2_009586	LOC109414002
OG0000069	AFUN2_014241	LOC134287966
OG0000069	AFUN2_004523, AFUN2_006118, AFUN2_010311, AFUN2_012252	LOC109420427, LOC115257481, LOC115257619
OG0000071	AFUN2_007775, AFUN2_009753	LOC109401104
OG0000071	AFUN2_014078	LOC109417603, LOC109402034
OG0000071	AFUN2_008604, AFUN2_008424, AFUN2_006008	LOC109419909
OG0000072	AFUN2_010362	LOC109418556
OG0000072	AFUN2_005951	LOC109422743
OG0000072	AFUN2_008401	LOC115261630
OG0000072	AFUN2_008209	LOC109403768, LOC109403788
OG0000073	AFUN2_006853	LOC109433068
OG0000073	AFUN2_012208	LOC109433130
OG0000074	AFUN2_001362, AFUN2_008795, AFUN2_001014, AFUN2_003460, AFUN2_012551	LOC109399202, LOC109399162
OG0000074	AFUN2_006428	LOC109399205
OG0000075	AFUN2_009178, AFUN2_014263, AFUN2_005741, AFUN2_007975	LOC109424138, LOC109430779, LOC109424181, LOC115263087, LOC109424139, LOC115263088, LOC115263086, LOC115263362
OG0000076	AFUN2_000390, AFUN2_002799, AFUN2_012586	LOC109433173, LOC109433174
OG0000077	AFUN2_011333	LOC109431700
OG0000077	AFUN2_001755	LOC109428459
OG0000077	AFUN2_000688, AFUN2_006649	LOC115267608, LOC115267631, LOC115267607
OG0000077	AFUN2_002148	LOC115267620
OG0000078	AFUN2_002769, AFUN2_012944	LOC134284552
OG0000079	AFUN2_004202	LOC109422640
OG0000079	AFUN2_012158, AFUN2_003268, AFUN2_001951	LOC109422560, LOC109399710
OG0000079	AFUN2_003859	LOC109418231, LOC109428005, LOC109422721
OG0000080	AFUN2_011331	LOC115265252, LOC109417572, LOC109417573
OG0000080	AFUN2_001435	LOC109417818
OG0000080	AFUN2_009609, AFUN2_005626	LOC109420119, LOC109420142
OG0000081	AFUN2_011577	LOC115265020
OG0000081	AFUN2_004811, AFUN2_010972	LOC109422446, LOC115265018, LOC109422423, LOC115265016
OG0000081	AFUN2_012341	LOC109425727
OG0000082	AFUN2_012054	LOC109408162
OG0000083	AFUN2_010478	LOC134290847, LOC134288235, LOC134290112, LOC134290353, LOC134290810, LOC109433001, LOC115260585, LOC134292119, LOC134288451, LOC134286025, LOC115257819, LOC115266822, LOC115265219, LOC134284792, LOC134292192, LOC115259409, LOC134290637, LOC115265497, LOC115268089, LOC134287734, LOC134286337, LOC134290904, LOC109430659, LOC134290905, LOC134291563, LOC134286132
OG0000083	AFUN2_006892, AFUN2_009238, AFUN2_012907, AFUN2_009168, AFUN2_002474, AFUN2_001114	LOC134286213, LOC134286020
OG0000085	AFUN2_010241, AFUN2_007525, AFUN2_013450, AFUN2_004039	LOC109412325, LOC109422704, LOC109422705, LOC109424438, LOC115254680
OG0000086	AFUN2_011858	LOC109402934
OG0000086	AFUN2_006387, AFUN2_009185, AFUN2_010974	LOC115258102, LOC109405184, LOC109426350, LOC115254457
OG0000086	AFUN2_001324	LOC109399012, LOC109622980
OG0000088	AFUN2_014792	LOC115257675, LOC115257694
OG0000088	AFUN2_006389, AFUN2_012429	LOC109433460, LOC115267981, LOC109433519, LOC109418404, LOC109419766
OG0000089	AFUN2_006698	LOC109426269, LOC134289925
OG0000089	AFUN2_004303, AFUN2_011302, AFUN2_007001, AFUN2_005638, AFUN2_010754, AFUN2_005237, AFUN2_004286	LOC134289926
OG0000089	AFUN2_005151	LOC134292138
OG0000090	AFUN2_012179	LOC109430577, LOC109424283, LOC109428699, LOC109428697
OG0000090	AFUN2_011067	LOC109399239
OG0000090	AFUN2_004646	LOC109429051
OG0000091	AFUN2_004400	LOC109429227
OG0000096	AFUN2_007046	LOC109422254
OG0000096	AFUN2_000740	LOC109414298
OG0000096	AFUN2_004816	LOC115264212
OG0000096	AFUN2_002084	LOC109422250
OG0000097	AFUN2_004895	LOC109622082
OG0000097	AFUN2_005456, AFUN2_013795, AFUN2_011155, AFUN2_013131	LOC109433277
OG0000098	AFUN2_000935	LOC115258660, LOC109419553, LOC109409374, LOC115258766, LOC115260917
OG0000100	AFUN2_004153	LOC134291875, LOC109400030, LOC134287894, LOC134289442, LOC115261683, LOC134290109, LOC134287558, LOC134290423, LOC109427468, LOC109418037, LOC134285758, LOC109407031, LOC134286952, LOC134288613, LOC134288501, LOC109397798, LOC134287848, LOC115257010, LOC134288204, LOC115256875, LOC115267400, LOC134284439, LOC134291333, LOC134290764, LOC134286362, LOC134290848, LOC134288782, LOC134288381, LOC134291246, LOC134285340, LOC134285931, LOC134286637
OG0000101	AFUN2_010533	LOC134290421, LOC134283965, LOC134286528, LOC134286992, LOC134285704, LOC134288420, LOC115256751, LOC134291238, LOC134285106, LOC134285342, LOC134290922, LOC134290420, LOC134290133, LOC134290194, LOC134286036, LOC134286986, LOC134290593, LOC134288995, LOC134290578, LOC134290574, LOC134291565, LOC134290482, LOC134290278, LOC134286210, LOC134286991, LOC134286570, LOC134288034
OG0000104	AFUN2_001037	LOC109421248, LOC109421247, LOC109410842, LOC109421246
OG0000104	AFUN2_011196, AFUN2_006302	LOC109410832, LOC109427506, LOC109427507
OG0000107	AFUN2_001412, AFUN2_012650	LOC134285144, LOC115269113, LOC115269114, LOC109397170, LOC134285135, LOC134285132, LOC134285129, LOC134287048, LOC134284153, LOC115264363, LOC115265698
OG0000108	AFUN2_013458	LOC109429333, LOC109421068, LOC109429251, LOC109421067, LOC109429469, LOC115258785, LOC109421073, LOC109428607, LOC109421072
OG0000109	AFUN2_009795	LOC134288467, LOC109417980
OG0000109	AFUN2_004467	LOC109402397, LOC134284738
OG0000109	AFUN2_002263	LOC109402380
OG0000111	AFUN2_012122, AFUN2_010977, AFUN2_001513, AFUN2_001833, AFUN2_007611	LOC115265527, LOC115253427, LOC115265528, LOC115265526, LOC109432478, LOC115253746
OG0000114	AFUN2_001369, AFUN2_010132	LOC109421190, LOC109432449, LOC115259293, LOC109432455, LOC109432439, LOC109421209
OG0000115	AFUN2_007755	LOC109413498
OG0000115	AFUN2_008885	LOC109410773
OG0000116	AFUN2_012892	LOC115262061
OG0000116	AFUN2_001632, AFUN2_011292	LOC115262073
OG0000116	AFUN2_005701	LOC109400294
OG0000117	AFUN2_007418, AFUN2_007392	LOC109398787, LOC134290019
OG0000117	AFUN2_014579, AFUN2_013280	LOC115260521, LOC109401323, LOC109422908, LOC115269192, LOC115258941, LOC115266654
OG0000119	AFUN2_008133	LOC109409689
OG0000119	AFUN2_003288	LOC109409692, LOC109409691, LOC109409690, LOC134287661
OG0000120	AFUN2_014360	LOC109402840, LOC109406119, LOC115261111
OG0000120	AFUN2_014310, AFUN2_007600	LOC115261112
OG0000127	AFUN2_007961, AFUN2_014650, AFUN2_010892	LOC109399383, LOC109430899, LOC115263186, LOC115263188, LOC115263189, LOC109411349
OG0000128	AFUN2_009017	LOC109396992
OG0000128	AFUN2_013941	LOC109397004
OG0000128	AFUN2_007884	LOC115262796
OG0000129	AFUN2_004369, AFUN2_004902, AFUN2_001390	LOC109428071, LOC109418295, LOC109418292, LOC109418299
OG0000129	AFUN2_011235, AFUN2_004109	LOC109421658
OG0000130	AFUN2_011184	LOC109426323
OG0000130	AFUN2_008453, AFUN2_009668	LOC109421326
OG0000131	AFUN2_005171	LOC109420718
OG0000131	AFUN2_011906	LOC109419859
OG0000131	AFUN2_003726	LOC109420609
OG0000131	AFUN2_006692	LOC109420605
OG0000132	AFUN2_007055, AFUN2_004597	LOC109397421
OG0000133	AFUN2_010213	LOC109425940
OG0000133	AFUN2_005015, AFUN2_001924, AFUN2_013209	LOC109433309, LOC134291485
OG0000134	AFUN2_008047, AFUN2_001568	LOC115267583
OG0000136	AFUN2_003409	LOC109418558, LOC109413120, LOC109400919
OG0000136	AFUN2_000794	LOC109401827, LOC109412093, LOC109404625
OG0000138	AFUN2_011833	LOC134288116, LOC134290710, LOC134290318, LOC134286586, LOC109424308, LOC134290298, LOC134288779, LOC134286503, LOC134286617, LOC134290654, LOC115269859, LOC134284177, LOC134286282, LOC134290727, LOC115265157, LOC134288976, LOC134289054, LOC134285358, LOC134290697, LOC134288520, LOC134290351, LOC115266900, LOC115260488, LOC134284662, LOC134286606, LOC134289510, LOC134286281, LOC134286274, LOC109398944, LOC134288270, LOC134291197, LOC134291809, LOC134290603, LOC109416329, LOC134291419
OG0000141	AFUN2_004272, AFUN2_006156	LOC115266541, LOC109426247, LOC115266539, LOC109411169, LOC109411161, LOC109426249, LOC109426250
OG0000142	AFUN2_002023, AFUN2_002866	LOC109401436, LOC109423496
OG0000142	AFUN2_007901	LOC109423512
OG0000142	AFUN2_008099	LOC109423498
OG0000143	AFUN2_004552	LOC109422665, LOC109401117
OG0000144	AFUN2_007342	LOC109404515, LOC109398775, LOC134290966, LOC109406348, LOC109397614, LOC134290793, LOC115260148, LOC134290866, LOC115259426, LOC134289714, LOC115264397
OG0000146	AFUN2_008600, AFUN2_001333, AFUN2_000602	LOC109406196, LOC109406203
