Orthogroup	AfunestusAfunGA1	AsinensisChina
OG0000039	AFUN2_002356	ASIC012458
OG0000039	AFUN2_001872	ASIC010050
OG0000039	AFUN2_008523, AFUN2_002845	ASIC010664
OG0000040	AFUN2_012970	ASIC015489
OG0000040	AFUN2_011961	ASIC015488
OG0000040	AFUN2_013533	ASIC015490
OG0000040	AFUN2_004686	ASIC006427, ASIC006438
OG0000041	AFUN2_000732	ASIC005058
OG0000041	AFUN2_014438	ASIC005063
OG0000041	AFUN2_001049	ASIC005062
OG0000041	AFUN2_010115	ASIC005064
OG0000041	AFUN2_014544	ASIC005684
OG0000042	AFUN2_004081	ASIC017752, ASIC017751
OG0000042	AFUN2_014693	ASIC017733, ASIC001192, ASIC017724, ASIC001191
OG0000042	AFUN2_009173, AFUN2_004521	ASIC015360
OG0000043	AFUN2_001254, AFUN2_009245, AFUN2_013789, AFUN2_000632, AFUN2_002010, AFUN2_009895, AFUN2_004184, AFUN2_011280, AFUN2_012488, AFUN2_014542, AFUN2_012176, AFUN2_009359, AFUN2_005903, AFUN2_014695, AFUN2_008709, AFUN2_002764, AFUN2_009048, AFUN2_005543, AFUN2_009900, AFUN2_010698	ASIC017851, ASIC017852
OG0000046	AFUN2_006305	ASIC009812
OG0000046	AFUN2_013805	ASIC009813, ASIC009814
OG0000048	AFUN2_007180	ASIC019015, ASIC019014
OG0000048	AFUN2_001025	ASIC019017, ASIC019018
OG0000049	AFUN2_008624	ASIC018403, ASIC018371, ASIC018370
OG0000049	AFUN2_012748	ASIC018401, ASIC018400
OG0000049	AFUN2_002192, AFUN2_013459	ASIC017764
OG0000051	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721	ASIC010146, ASIC010154, ASIC010151, ASIC010148
OG0000052	AFUN2_013880	ASIC018082
OG0000053	AFUN2_014363, AFUN2_010396, AFUN2_010923	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705
OG0000053	AFUN2_007355	ASIC020710
OG0000053	AFUN2_008998, AFUN2_014545, AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584, AFUN2_001373, AFUN2_002347	ASIC020703
OG0000055	AFUN2_003795	ASIC000721
OG0000055	AFUN2_007989	ASIC016078
OG0000055	AFUN2_001013, AFUN2_010954, AFUN2_006754, AFUN2_002857, AFUN2_009317, AFUN2_014083, AFUN2_006806, AFUN2_010423	ASIC014234
OG0000057	AFUN2_008318, AFUN2_006014	ASIC010134, ASIC010137
OG0000057	AFUN2_000600	ASIC010138
OG0000058	AFUN2_008788	ASIC007323
OG0000058	AFUN2_002438	ASIC007325
OG0000058	AFUN2_002842	ASIC007324
OG0000058	AFUN2_001688	ASIC002529
OG0000059	AFUN2_006267	ASIC019011, ASIC019000
OG0000059	AFUN2_010578, AFUN2_006502, AFUN2_012387	ASIC019170
OG0000059	AFUN2_014242, AFUN2_009466	ASIC016660
OG0000060	AFUN2_014460	ASIC010127
OG0000060	AFUN2_011607	ASIC010130, ASIC010129
OG0000060	AFUN2_000444	ASIC010128
OG0000060	AFUN2_013952	ASIC010131
OG0000061	AFUN2_000988	ASIC015402
OG0000061	AFUN2_001934	ASIC016621
OG0000061	AFUN2_011828	ASIC008790, ASIC008789
OG0000061	AFUN2_001889	ASIC008791
OG0000062	AFUN2_010062, AFUN2_011070	ASIC004218
OG0000062	AFUN2_009059	ASIC009092
OG0000062	AFUN2_003714	ASIC004220
OG0000062	AFUN2_008839, AFUN2_002820, AFUN2_013747, AFUN2_007462, AFUN2_014711	ASIC013583, ASIC013564, ASIC015598, ASIC015597
OG0000063	AFUN2_005096	ASIC021538
OG0000063	AFUN2_009682	ASIC010842
OG0000064	AFUN2_002334	ASIC002653
OG0000064	AFUN2_013676	ASIC002651
OG0000064	AFUN2_011232	ASIC001146
OG0000064	AFUN2_012759	ASIC002656
OG0000064	AFUN2_002312	ASIC002652
OG0000067	AFUN2_012011	ASIC018220
OG0000067	AFUN2_003045	ASIC018219
OG0000068	AFUN2_012196	ASIC011681
OG0000068	AFUN2_006617	ASIC011682
OG0000068	AFUN2_013302	ASIC011687
OG0000068	AFUN2_009586	ASIC011679
OG0000069	AFUN2_014241	ASIC005652
OG0000069	AFUN2_004523	ASIC002404
OG0000069	AFUN2_006118	ASIC005650
OG0000069	AFUN2_010311	ASIC005651
OG0000069	AFUN2_012252	ASIC000407
OG0000071	AFUN2_014078	ASIC008283
OG0000071	AFUN2_008604, AFUN2_008424, AFUN2_006008	ASIC013586
OG0000072	AFUN2_010362	ASIC019961
OG0000072	AFUN2_008401	ASIC012496
OG0000073	AFUN2_012208	ASIC014115
OG0000074	AFUN2_001362	ASIC016739, ASIC016738
OG0000074	AFUN2_008795	ASIC016740
OG0000074	AFUN2_001014	ASIC016736
OG0000074	AFUN2_003460, AFUN2_012551	ASIC016735
OG0000074	AFUN2_006428	ASIC002864
OG0000075	AFUN2_009178, AFUN2_014263	ASIC021154, ASIC021157
OG0000075	AFUN2_005741, AFUN2_007975	ASIC021159
OG0000076	AFUN2_000390, AFUN2_002799, AFUN2_012586	ASIC018187
OG0000077	AFUN2_001755	ASIC002587
OG0000077	AFUN2_000688, AFUN2_006649	ASIC002588, ASIC002586
OG0000078	AFUN2_000476	ASIC022286
OG0000079	AFUN2_004202	ASIC011457
OG0000079	AFUN2_012158, AFUN2_003268, AFUN2_001951	ASIC011456, ASIC011455
OG0000079	AFUN2_003859	ASIC011459
OG0000080	AFUN2_011331	ASIC016601
OG0000080	AFUN2_001435	ASIC016602
OG0000080	AFUN2_013190	ASIC019812
OG0000080	AFUN2_009609	ASIC019334
OG0000080	AFUN2_005626	ASIC019335
OG0000081	AFUN2_011577	ASIC007880
OG0000081	AFUN2_004811	ASIC007878, ASIC007850, ASIC007872
OG0000081	AFUN2_012341	ASIC007881
OG0000082	AFUN2_012054	ASIC012727, ASIC012728, ASIC012714
OG0000085	AFUN2_010241	ASIC009268
OG0000085	AFUN2_007525	ASIC004322
OG0000085	AFUN2_013450	ASIC009271, ASIC009270, ASIC009269
OG0000085	AFUN2_004039	ASIC009272
OG0000086	AFUN2_011858	ASIC009153
OG0000086	AFUN2_006387, AFUN2_009185, AFUN2_010974	ASIC008317
OG0000088	AFUN2_006389	ASIC008371, ASIC008372
OG0000088	AFUN2_012429	ASIC008376
OG0000089	AFUN2_006698	ASIC019476
OG0000089	AFUN2_004303	ASIC019432
OG0000089	AFUN2_011302	ASIC019443
OG0000089	AFUN2_007001	ASIC019421
OG0000089	AFUN2_005638, AFUN2_010754, AFUN2_005237	ASIC019454
OG0000089	AFUN2_004286	ASIC019465
OG0000090	AFUN2_011067	ASIC019694
OG0000090	AFUN2_004646	ASIC019695
OG0000091	AFUN2_004400	ASIC002279
OG0000093	AFUN2_007977, AFUN2_002700, AFUN2_008506, AFUN2_003712, AFUN2_001084, AFUN2_009469, AFUN2_002675, AFUN2_005353, AFUN2_012981	ASIC022154, ASIC014826
OG0000093	AFUN2_005338	ASIC001437
OG0000096	AFUN2_007046	ASIC015638
OG0000096	AFUN2_000740	ASIC010647, ASIC010609
OG0000096	AFUN2_004816	ASIC010449
OG0000096	AFUN2_002084	ASIC015635
OG0000097	AFUN2_004895	ASIC021951
OG0000097	AFUN2_005456	ASIC021949
OG0000101	AFUN2_010533	ASIC004494
OG0000103	AFUN2_002101	ASIC008406
OG0000103	AFUN2_007321, AFUN2_005247, AFUN2_010691, AFUN2_005907, AFUN2_010388, AFUN2_001634, AFUN2_005493	ASIC014017
OG0000104	AFUN2_011196	ASIC017885, ASIC009066
OG0000104	AFUN2_006302	ASIC009065
OG0000105	AFUN2_006891, AFUN2_009384	ASIC014502, ASIC014526, ASIC014524, ASIC014525, ASIC014503
OG0000107	AFUN2_001412	ASIC005645
OG0000107	AFUN2_012650	ASIC005655
OG0000108	AFUN2_013458	ASIC013421, ASIC013593
OG0000109	AFUN2_009795	ASIC002584
OG0000109	AFUN2_004467	ASIC014258
OG0000109	AFUN2_002263	ASIC014256
OG0000111	AFUN2_012122, AFUN2_010977, AFUN2_001513, AFUN2_001833	ASIC012092
OG0000111	AFUN2_007611	ASIC012080, ASIC006082
OG0000114	AFUN2_001369, AFUN2_010132, AFUN2_006701, AFUN2_007376	ASIC012081
OG0000115	AFUN2_007755	ASIC017431
OG0000115	AFUN2_008885	ASIC017432
OG0000116	AFUN2_012892	ASIC006403
OG0000116	AFUN2_001632, AFUN2_011292	ASIC006402
OG0000116	AFUN2_005701	ASIC014540
OG0000119	AFUN2_008133	ASIC016830
OG0000119	AFUN2_003288	ASIC016832, ASIC016833
OG0000120	AFUN2_014360	ASIC011544
OG0000120	AFUN2_014310, AFUN2_007600	ASIC011541
OG0000120	AFUN2_000895	ASIC013726
OG0000123	AFUN2_003694	ASIC014656, ASIC014634
OG0000123	AFUN2_007557	ASIC020219, ASIC020215
OG0000123	AFUN2_008981, AFUN2_005777, AFUN2_011368, AFUN2_014236, AFUN2_007905	ASIC000783
OG0000124	AFUN2_012265	ASIC019753
OG0000124	AFUN2_012679, AFUN2_002887, AFUN2_011110	ASIC019769, ASIC019770, ASIC019771
OG0000127	AFUN2_007961, AFUN2_014650, AFUN2_010892	ASIC008877
OG0000128	AFUN2_013941	ASIC015309
OG0000128	AFUN2_007884	ASIC015248
OG0000129	AFUN2_004369	ASIC008763
OG0000129	AFUN2_004902, AFUN2_001390	ASIC008762
OG0000130	AFUN2_011184	ASIC008146
OG0000130	AFUN2_008453	ASIC012064
OG0000130	AFUN2_009668	ASIC012065
OG0000131	AFUN2_005171	ASIC012145
OG0000131	AFUN2_011906	ASIC012146
OG0000131	AFUN2_003726	ASIC012148
OG0000131	AFUN2_006692	ASIC012034
OG0000132	AFUN2_007055	ASIC014945
OG0000132	AFUN2_004597	ASIC014943
OG0000132	AFUN2_005157	ASIC014946
OG0000132	AFUN2_003612	ASIC002822
OG0000133	AFUN2_010213	ASIC017840, ASIC017841
OG0000133	AFUN2_005015	ASIC017521
OG0000133	AFUN2_001924, AFUN2_013209	ASIC017520
OG0000134	AFUN2_012800	ASIC019150
OG0000134	AFUN2_008047	ASIC019145
OG0000134	AFUN2_001568	ASIC019147
OG0000135	AFUN2_011084	ASIC007191
OG0000136	AFUN2_000794	ASIC007232
OG0000141	AFUN2_004272	ASIC018449
OG0000141	AFUN2_006156	ASIC018448
OG0000142	AFUN2_002023	ASIC011129
OG0000142	AFUN2_002866	ASIC010497
OG0000142	AFUN2_007901	ASIC004901
OG0000142	AFUN2_008099	ASIC014682
OG0000143	AFUN2_001347	ASIC008424
OG0000143	AFUN2_004552	ASIC008426
OG0000144	AFUN2_007342	ASIC021886
OG0000146	AFUN2_008600, AFUN2_001333	ASIC008229
OG0000147	AFUN2_001243	ASIC002222
OG0000147	AFUN2_006652	ASIC002220
OG0000148	AFUN2_006078	ASIC012007
OG0000149	AFUN2_007018	ASIC018439
OG0000149	AFUN2_007305	ASIC018437
OG0000149	AFUN2_003087	ASIC018438
OG0000150	AFUN2_013472	ASIC011027
OG0000151	AFUN2_008586	ASIC009913, ASIC009914
OG0000152	AFUN2_004036	ASIC004877
OG0000154	AFUN2_012942	ASIC004043, ASIC013097
OG0000154	AFUN2_007474	ASIC013108, ASIC004042, ASIC013051, ASIC004041
OG0000155	AFUN2_011178, AFUN2_006679	ASIC020577, ASIC020578
OG0000157	AFUN2_002461	ASIC010788
OG0000160	AFUN2_013760, AFUN2_000560, AFUN2_005480, AFUN2_009497, AFUN2_007254	ASIC016821
OG0000161	AFUN2_013883	ASIC019631
OG0000162	AFUN2_001603	ASIC018387
OG0000162	AFUN2_008191	ASIC018375
OG0000162	AFUN2_004390	ASIC018379
OG0000163	AFUN2_009739	ASIC007358
OG0000163	AFUN2_005717	ASIC007362
OG0000163	AFUN2_004668	ASIC007363, ASIC007359
OG0000164	AFUN2_007065	ASIC021805
OG0000164	AFUN2_014641	ASIC021916
OG0000164	AFUN2_008297	ASIC021828
OG0000165	AFUN2_004493	ASIC020384
OG0000165	AFUN2_008088	ASIC020380
OG0000165	AFUN2_007300	ASIC020379
OG0000165	AFUN2_012709	ASIC020381
OG0000166	AFUN2_013647	ASIC012924
OG0000166	AFUN2_001188	ASIC012921
OG0000171	AFUN2_006837	ASIC004812, ASIC004811
OG0000171	AFUN2_013379	ASIC004810
OG0000172	AFUN2_004764	ASIC017527
OG0000172	AFUN2_014173	ASIC017517, ASIC017518
OG0000172	AFUN2_011072	ASIC017547
OG0000173	AFUN2_006638	ASIC022306
OG0000173	AFUN2_006309, AFUN2_013274, AFUN2_004451	ASIC022304
OG0000174	AFUN2_000386	ASIC009499
OG0000174	AFUN2_011578	ASIC007084
OG0000181	AFUN2_012634	ASIC019035
OG0000181	AFUN2_005105, AFUN2_007521	ASIC019034
OG0000182	AFUN2_004625	ASIC020912
OG0000182	AFUN2_001977	ASIC020913
OG0000183	AFUN2_006554, AFUN2_005817, AFUN2_013925, AFUN2_007926	ASIC011096
OG0000184	AFUN2_012600	ASIC007210
OG0000184	AFUN2_009129, AFUN2_006403	ASIC007209
OG0000185	AFUN2_004964, AFUN2_008198	ASIC018463, ASIC018459
OG0000187	AFUN2_008775	ASIC003343
OG0000188	AFUN2_002434	ASIC009167, ASIC009163
OG0000189	AFUN2_010394	ASIC020927
OG0000189	AFUN2_002979	ASIC004914
OG0000190	AFUN2_013220	ASIC009037
OG0000190	AFUN2_007361	ASIC004005
OG0000191	AFUN2_001434, AFUN2_013752, AFUN2_000844	ASIC011618, ASIC011619, ASIC011617
OG0000191	AFUN2_007718	ASIC011616
OG0000192	AFUN2_002573	ASIC003853
OG0000192	AFUN2_010718	ASIC021385
OG0000192	AFUN2_006065	ASIC006813
OG0000193	AFUN2_010552, AFUN2_009366, AFUN2_003838, AFUN2_011367	ASIC005170, ASIC009034, ASIC004649
OG0000194	AFUN2_001454	ASIC007163
OG0000196	AFUN2_005920	ASIC009091
OG0000200	AFUN2_008798	ASIC004374
OG0000200	AFUN2_010360	ASIC004381
OG0000201	AFUN2_007662	ASIC018737
OG0000201	AFUN2_003280	ASIC018748
OG0000202	AFUN2_012722	ASIC006264
OG0000202	AFUN2_001437	ASIC005159
OG0000203	AFUN2_010926	ASIC022196
OG0000203	AFUN2_004259	ASIC022191, ASIC022195
OG0000203	AFUN2_000689	ASIC022193, ASIC022189
OG0000204	AFUN2_005886	ASIC018858, ASIC018857
OG0000204	AFUN2_004049	ASIC018860
OG0000205	AFUN2_003370	ASIC007148
OG0000206	AFUN2_009572	ASIC009932, ASIC009934
OG0000206	AFUN2_000978	ASIC017261
OG0000207	AFUN2_000379	ASIC020302
OG0000207	AFUN2_002113	ASIC020301
OG0000208	AFUN2_000748	ASIC004792
OG0000208	AFUN2_013487	ASIC004793, ASIC004794, ASIC004795
OG0000209	AFUN2_001039	ASIC018130
OG0000210	AFUN2_014566	ASIC005087
OG0000210	AFUN2_014802, AFUN2_009879, AFUN2_005823	ASIC005086
OG0000216	AFUN2_008117	ASIC012609, ASIC012610, ASIC012607
OG0000217	AFUN2_005144	ASIC021690
OG0000217	AFUN2_003295	ASIC007120
OG0000217	AFUN2_000967	ASIC021693
OG0000218	AFUN2_014112	ASIC006963
OG0000218	AFUN2_007094	ASIC006964
OG0000219	AFUN2_004669	ASIC017087
OG0000220	AFUN2_004984	ASIC021083
OG0000220	AFUN2_008743	ASIC021081
OG0000221	AFUN2_002758, AFUN2_007038	ASIC016222, ASIC016221, ASIC016220
OG0000221	AFUN2_006461	ASIC019669, ASIC019668
OG0000222	AFUN2_008952	ASIC014190
OG0000222	AFUN2_002413	ASIC013415
OG0000223	AFUN2_006017	ASIC011432
OG0000224	AFUN2_004727, AFUN2_006433	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365
OG0000225	AFUN2_005712, AFUN2_007468	ASIC021356
OG0000228	AFUN2_010307, AFUN2_001223	ASIC019718
OG0000228	AFUN2_007118, AFUN2_001384, AFUN2_013425, AFUN2_008192	ASIC019719, ASIC019722, ASIC019723
OG0000229	AFUN2_001410	ASIC021403
OG0000229	AFUN2_012986	ASIC004678
OG0000230	AFUN2_013851, AFUN2_006362	ASIC005288
OG0000231	AFUN2_014167	ASIC011666
OG0000231	AFUN2_001796	ASIC011669
OG0000232	AFUN2_001279	ASIC012966
OG0000232	AFUN2_004132	ASIC012965
OG0000233	AFUN2_005591	ASIC011408
OG0000234	AFUN2_014325	ASIC020664
OG0000235	AFUN2_000576, AFUN2_003102, AFUN2_003000	ASIC017168, ASIC009033
OG0000236	AFUN2_012443	ASIC011385
OG0000236	AFUN2_002078	ASIC008198
OG0000237	AFUN2_005130	ASIC003194
OG0000244	AFUN2_005802	ASIC022012
OG0000245	AFUN2_014246	ASIC005515
OG0000245	AFUN2_010459	ASIC005518
OG0000245	AFUN2_014309	ASIC005516
OG0000246	AFUN2_012397	ASIC021753
OG0000246	AFUN2_008092	ASIC021752
OG0000246	AFUN2_001095, AFUN2_005703	ASIC021751, ASIC021749
OG0000246	AFUN2_002388	ASIC021748
OG0000247	AFUN2_012107	ASIC016691
OG0000247	AFUN2_004620	ASIC016692
OG0000247	AFUN2_001600	ASIC019252
OG0000248	AFUN2_010809	ASIC017750
OG0000249	AFUN2_006007	ASIC016050
OG0000249	AFUN2_010916	ASIC000958
OG0000250	AFUN2_003687	ASIC004082
OG0000250	AFUN2_007149	ASIC004081
OG0000252	AFUN2_006568	ASIC005046
OG0000252	AFUN2_010012	ASIC005048
OG0000253	AFUN2_001483, AFUN2_000437	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662
OG0000254	AFUN2_013341	ASIC005504
OG0000255	AFUN2_014479, AFUN2_012452	ASIC020208, ASIC020207
OG0000256	AFUN2_010594	ASIC012493, ASIC012494
OG0000256	AFUN2_010827	ASIC012491
OG0000256	AFUN2_004016	ASIC012495
OG0000257	AFUN2_012412	ASIC005738
OG0000260	AFUN2_004768	ASIC010061
OG0000260	AFUN2_011233	ASIC010060
OG0000260	AFUN2_008356	ASIC010059
OG0000260	AFUN2_004504	ASIC010058
OG0000263	AFUN2_009201	ASIC006278
OG0000263	AFUN2_013727	ASIC019183
OG0000263	AFUN2_010178	ASIC001150
OG0000263	AFUN2_009545	ASIC015353
OG0000265	AFUN2_009281, AFUN2_011549	ASIC007840
OG0000266	AFUN2_000459	ASIC010738
OG0000266	AFUN2_004367	ASIC004862
OG0000266	AFUN2_008216	ASIC004863
OG0000267	AFUN2_013327, AFUN2_007744	ASIC021746
OG0000268	AFUN2_009239	ASIC007410
OG0000268	AFUN2_010803	ASIC007406
OG0000268	AFUN2_010441	ASIC007405
OG0000269	AFUN2_002119	ASIC006168
OG0000270	AFUN2_004500, AFUN2_005657, AFUN2_001828	ASIC018039
OG0000271	AFUN2_007927	ASIC006601
OG0000272	AFUN2_008265	ASIC015539
OG0000272	AFUN2_012900	ASIC011268
OG0000273	AFUN2_001579	ASIC011512
OG0000273	AFUN2_004573	ASIC011513
OG0000273	AFUN2_012480	ASIC011515
OG0000274	AFUN2_009686	ASIC019686
OG0000274	AFUN2_013179	ASIC020495
OG0000275	AFUN2_004279, AFUN2_002342, AFUN2_006827, AFUN2_002236, AFUN2_014152	ASIC014691, ASIC014690
OG0000276	AFUN2_005119, AFUN2_000381	ASIC017971
OG0000277	AFUN2_013863	ASIC008290, ASIC008301
OG0000278	AFUN2_006737, AFUN2_010216	ASIC016444
OG0000278	AFUN2_002080	ASIC016562
OG0000279	AFUN2_002258, AFUN2_014367, AFUN2_008292	ASIC012105
OG0000280	AFUN2_014275	ASIC014626
OG0000280	AFUN2_012254	ASIC014625
OG0000285	AFUN2_012421	ASIC005533, ASIC005534
OG0000285	AFUN2_002291	ASIC005544
OG0000285	AFUN2_012046	ASIC005545
OG0000286	AFUN2_002229, AFUN2_001601	ASIC015277, ASIC015276
OG0000287	AFUN2_006714, AFUN2_009698	ASIC022020, ASIC022019
OG0000288	AFUN2_007336	ASIC006693
OG0000288	AFUN2_011244	ASIC006682
OG0000289	AFUN2_008782	ASIC007910
OG0000289	AFUN2_008797	ASIC007909
OG0000290	AFUN2_001948	ASIC015220
OG0000290	AFUN2_000760, AFUN2_006244	ASIC015219
OG0000291	AFUN2_003869	ASIC019903
OG0000291	AFUN2_005713	ASIC018743
OG0000292	AFUN2_008562	ASIC012870
OG0000292	AFUN2_003827, AFUN2_006814	ASIC012872
OG0000293	AFUN2_001356	ASIC020292
OG0000293	AFUN2_000358	ASIC021166
OG0000294	AFUN2_012955	ASIC000867
OG0000294	AFUN2_012574	ASIC000063
OG0000296	AFUN2_010688, AFUN2_014118	ASIC010617, ASIC010616
OG0000297	AFUN2_006972	ASIC007550
OG0000297	AFUN2_004085	ASIC007551
OG0000298	AFUN2_001118	ASIC019369
OG0000298	AFUN2_013111	ASIC019368
OG0000299	AFUN2_007111	ASIC010575
OG0000299	AFUN2_010458	ASIC018166, ASIC018167
OG0000300	AFUN2_013914	ASIC021618
OG0000302	AFUN2_001375	ASIC007798
OG0000302	AFUN2_001607	ASIC007799
OG0000303	AFUN2_011645	ASIC014831
OG0000304	AFUN2_011754, AFUN2_006099	ASIC009070
OG0000304	AFUN2_012365	ASIC009068
OG0000305	AFUN2_004178	ASIC008672
OG0000306	AFUN2_011531	ASIC017623
OG0000306	AFUN2_002476	ASIC015935, ASIC007588, ASIC017620
