Orthogroup	AfunestusAfunGA1	AaegyptiLVP_AGWG
OG0000012	AFUN2_006798	AAEL020629, AAEL020985, AAEL020370, AAEL021821, AAEL020755, AAEL021112, AAEL021038, AAEL020107, AAEL000492, AAEL021327, AAEL022066, AAEL021946, AAEL021903, AAEL021049, AAEL003685, AAEL021142, AAEL020763, AAEL019635, AAEL021601, AAEL021182, AAEL021205, AAEL012072, AAEL021161, AAEL020810, AAEL021754
OG0000013	AFUN2_008231, AFUN2_000667	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163
OG0000013	AFUN2_002726	AAEL023763, AAEL002110
OG0000013	AFUN2_011275	AAEL002099
OG0000013	AFUN2_004549, AFUN2_003503, AFUN2_006795	AAEL026306, AAEL027846, AAEL028212, AAEL002092
OG0000014	AFUN2_006975	AAEL003156, AAEL007942, AAEL020192
OG0000014	AFUN2_010356, AFUN2_013192, AFUN2_003737, AFUN2_003098, AFUN2_013474, AFUN2_002513, AFUN2_008438, AFUN2_003359, AFUN2_004329, AFUN2_005094, AFUN2_012908, AFUN2_008870, AFUN2_007912, AFUN2_012081, AFUN2_012747, AFUN2_001598, AFUN2_000713, AFUN2_001431	AAEL011007
OG0000015	AFUN2_012161	AAEL010677
OG0000015	AFUN2_000980, AFUN2_004072, AFUN2_012163, AFUN2_005101, AFUN2_004396	AAEL010671
OG0000016	AFUN2_011213, AFUN2_014654, AFUN2_011099, AFUN2_013263, AFUN2_014351, AFUN2_010177	AAEL010202, AAEL013712, AAEL010196, AAEL013703, AAEL007601, AAEL023729, AAEL013715, AAEL012852, AAEL006425
OG0000016	AFUN2_004982	AAEL007818, AAEL004996
OG0000017	AFUN2_003556, AFUN2_007093	AAEL003846
OG0000017	AFUN2_006574	AAEL003689
OG0000017	AFUN2_008822	AAEL020506, AAEL021628, AAEL020517, AAEL020976, AAEL020216
OG0000017	AFUN2_002118	AAEL020914
OG0000017	AFUN2_001925	AAEL021516
OG0000017	AFUN2_006866	AAEL021604
OG0000017	AFUN2_003468	AAEL020032
OG0000018	AFUN2_013059, AFUN2_002966, AFUN2_011150, AFUN2_012475, AFUN2_011223, AFUN2_011876, AFUN2_008864, AFUN2_014266, AFUN2_001299, AFUN2_006108, AFUN2_012164, AFUN2_009843, AFUN2_001215, AFUN2_001911	AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374
OG0000018	AFUN2_003667, AFUN2_014221, AFUN2_006909, AFUN2_000851	AAEL020762, AAEL026324
OG0000020	AFUN2_010799, AFUN2_008522, AFUN2_009055, AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335, AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831	AAEL008681
OG0000021	AFUN2_013453	AAEL004631
OG0000021	AFUN2_010217	AAEL001673
OG0000021	AFUN2_001683	AAEL011197
OG0000021	AFUN2_001836	AAEL004616
OG0000021	AFUN2_002771	AAEL009451
OG0000021	AFUN2_007302	AAEL001951
OG0000021	AFUN2_014571	AAEL005964
OG0000021	AFUN2_010167	AAEL005961
OG0000023	AFUN2_008581, AFUN2_012787, AFUN2_013813, AFUN2_005728, AFUN2_001616	AAEL000351, AAEL029065
OG0000024	AFUN2_008754	AAEL010380, AAEL017311
OG0000024	AFUN2_004514	AAEL010367, AAEL024680
OG0000024	AFUN2_001856	AAEL010384
OG0000024	AFUN2_009727	AAEL010370, AAEL010382
OG0000024	AFUN2_006932, AFUN2_001526, AFUN2_012131	AAEL026787
OG0000026	AFUN2_007391	AAEL013496, AAEL013501
OG0000026	AFUN2_003253, AFUN2_004905	AAEL013492
OG0000026	AFUN2_006722	AAEL011763, AAEL011764, AAEL020579
OG0000026	AFUN2_005978	AAEL014544
OG0000027	AFUN2_012022	AAEL012642, AAEL012648, AAEL012653, AAEL015254, AAEL015252
OG0000027	AFUN2_002065, AFUN2_004791	AAEL012641, AAEL012649, AAEL012646, AAEL012652, AAEL012645, AAEL027171, AAEL012651, AAEL025465, AAEL012644, AAEL012650, AAEL012647
OG0000030	AFUN2_012733, AFUN2_007213, AFUN2_001848, AFUN2_011448, AFUN2_005957, AFUN2_010339, AFUN2_010744, AFUN2_005913, AFUN2_012561, AFUN2_001536, AFUN2_011617, AFUN2_011391, AFUN2_001923, AFUN2_011066, AFUN2_014328, AFUN2_006386, AFUN2_012770, AFUN2_005352	AAEL000087, AAEL025334, AAEL019959, AAEL001794, AAEL019958
OG0000033	AFUN2_014039	AAEL000038
OG0000033	AFUN2_008608	AAEL000074
OG0000033	AFUN2_002394, AFUN2_008977, AFUN2_005452, AFUN2_008949, AFUN2_011104, AFUN2_007576	AAEL000037, AAEL000028, AAEL000099
OG0000034	AFUN2_010024	AAEL013562
OG0000034	AFUN2_014222	AAEL002279
OG0000035	AFUN2_006151, AFUN2_012246, AFUN2_011399, AFUN2_012567, AFUN2_008339, AFUN2_002432, AFUN2_003652, AFUN2_013041, AFUN2_005479, AFUN2_000582, AFUN2_014196, AFUN2_002672, AFUN2_009607, AFUN2_009222, AFUN2_006146, AFUN2_006683	AAEL009610, AAEL025842, AAEL013024
OG0000037	AFUN2_013181	AAEL008895
OG0000039	AFUN2_009923, AFUN2_010939, AFUN2_002356, AFUN2_001872, AFUN2_008523, AFUN2_002845	AAEL002693, AAEL006524, AAEL002682, AAEL002476, AAEL009239, AAEL000793
OG0000040	AFUN2_012034, AFUN2_000621	AAEL008368, AAEL022663
OG0000040	AFUN2_012970, AFUN2_011961, AFUN2_013533, AFUN2_004686	AAEL020825, AAEL008448
OG0000041	AFUN2_000732	AAEL007044
OG0000041	AFUN2_014438	AAEL007060
OG0000041	AFUN2_001049	AAEL007063
OG0000041	AFUN2_010115	AAEL007051, AAEL007070
OG0000041	AFUN2_014544	AAEL023132
OG0000042	AFUN2_004081, AFUN2_014693	AAEL018347
OG0000045	AFUN2_006680	AAEL026336, AAEL021875, AAEL024639, AAEL020919, AAEL019803, AAEL024333, AAEL024795, AAEL021215, AAEL027670, AAEL000157, AAEL021144, AAEL005377, AAEL023120, AAEL027327, AAEL017283, AAEL022558, AAEL027412, AAEL022317, AAEL026643, AAEL021928, AAEL027742, AAEL023167, AAEL022378, AAEL023311
OG0000046	AFUN2_006305, AFUN2_003082, AFUN2_013805	AAEL005753
OG0000048	AFUN2_006474, AFUN2_003419, AFUN2_007098, AFUN2_011966, AFUN2_007180, AFUN2_001025	AAEL004672, AAEL004667, AAEL001508, AAEL008856
OG0000049	AFUN2_008624	AAEL002595
OG0000049	AFUN2_012748	AAEL002590
OG0000049	AFUN2_002192, AFUN2_013459	AAEL002600
OG0000051	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721	AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758, AAEL024588
OG0000052	AFUN2_013880	AAEL024686, AAEL020852, AAEL006627, AAEL007938, AAEL011929, AAEL011916
OG0000053	AFUN2_014363, AFUN2_010396, AFUN2_010923, AFUN2_007355, AFUN2_008998, AFUN2_014545, AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584, AFUN2_001373, AFUN2_002347	AAEL010055
OG0000055	AFUN2_003795	AAEL019403
OG0000055	AFUN2_007989	AAEL026446
OG0000055	AFUN2_001013, AFUN2_010954, AFUN2_006754, AFUN2_002857, AFUN2_009317, AFUN2_014083, AFUN2_006806, AFUN2_010423	AAEL023321, AAEL017975, AAEL027610, AAEL017976, AAEL020330
OG0000057	AFUN2_008318, AFUN2_006014, AFUN2_000600	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759, AAEL023487
OG0000058	AFUN2_011854, AFUN2_008788	AAEL026976, AAEL008624
OG0000058	AFUN2_002438	AAEL008625
OG0000058	AFUN2_002842	AAEL008628
OG0000059	AFUN2_006267	AAEL022646
OG0000059	AFUN2_010578, AFUN2_006502, AFUN2_012387	AAEL002360
OG0000059	AFUN2_014242, AFUN2_009466	AAEL002347, AAEL024934
OG0000060	AFUN2_014460	AAEL004762, AAEL004776, AAEL019994, AAEL019993
OG0000060	AFUN2_011607	AAEL004748, AAEL004760, AAEL004764, AAEL004742, AAEL004765
OG0000061	AFUN2_000988	AAEL026011, AAEL007673
OG0000061	AFUN2_001934	AAEL006719
OG0000061	AFUN2_001889	AAEL013421, AAEL008451
OG0000062	AFUN2_010062, AFUN2_011070, AFUN2_009059, AFUN2_003714, AFUN2_008839, AFUN2_002820, AFUN2_013747, AFUN2_007462, AFUN2_014711	AAEL015533
OG0000063	AFUN2_005096	AAEL005771, AAEL005788
OG0000063	AFUN2_009682	AAEL020266, AAEL000320, AAEL012761, AAEL005696, AAEL005700, AAEL024573, AAEL000326, AAEL000357, AAEL029116, AAEL005775, AAEL017215, AAEL000338
OG0000064	AFUN2_002334, AFUN2_013676	AAEL014561, AAEL021735, AAEL025303, AAEL013027, AAEL017403
OG0000064	AFUN2_011232	AAEL017501
OG0000067	AFUN2_003888	AAEL003434
OG0000067	AFUN2_012011	AAEL000678, AAEL000647
OG0000067	AFUN2_003045	AAEL000642
OG0000067	AFUN2_008039	AAEL009524
OG0000067	AFUN2_008602	AAEL000667
OG0000068	AFUN2_012196	AAEL024556
OG0000068	AFUN2_006617	AAEL013512, AAEL013520, AAEL007194, AAEL007192, AAEL013514
OG0000068	AFUN2_013302	AAEL011444
OG0000068	AFUN2_009586	AAEL013515
OG0000069	AFUN2_014241	AAEL015136
OG0000069	AFUN2_004523, AFUN2_006118, AFUN2_010311, AFUN2_012252	AAEL009556, AAEL009555, AAEL009553
OG0000071	AFUN2_007775, AFUN2_009753	AAEL007812
OG0000071	AFUN2_014078	AAEL002085, AAEL003399
OG0000071	AFUN2_008604, AFUN2_008424, AFUN2_006008	AAEL013798
OG0000072	AFUN2_010362	AAEL013229
OG0000072	AFUN2_005951	AAEL006642
OG0000072	AFUN2_008401	AAEL012424
OG0000072	AFUN2_008209	AAEL026111, AAEL004172
OG0000073	AFUN2_006853	AAEL007136
OG0000073	AFUN2_012208	AAEL007128
OG0000074	AFUN2_001362, AFUN2_008795, AFUN2_001014, AFUN2_003460, AFUN2_012551	AAEL011460, AAEL011454
OG0000074	AFUN2_006428	AAEL011449
OG0000075	AFUN2_009178, AFUN2_014263, AFUN2_005741, AFUN2_007975	AAEL013444, AAEL013442, AAEL013443, AAEL021060, AAEL025773, AAEL013439
OG0000076	AFUN2_000390, AFUN2_002799, AFUN2_012586	AAEL003992
OG0000077	AFUN2_011333	AAEL021375
OG0000077	AFUN2_001755	AAEL026915
OG0000077	AFUN2_000688, AFUN2_006649	AAEL015020, AAEL015573, AAEL015021
OG0000077	AFUN2_002148	AAEL015022
OG0000079	AFUN2_012158, AFUN2_003268, AFUN2_001951	AAEL023932, AAEL006498, AAEL006259
OG0000079	AFUN2_003859	AAEL005621, AAEL005625, AAEL006484, AAEL024685
OG0000080	AFUN2_011331	AAEL012700, AAEL012702
OG0000080	AFUN2_001435	AAEL012698
OG0000080	AFUN2_009609, AFUN2_005626	AAEL008384, AAEL008386
OG0000081	AFUN2_011577	AAEL013347
OG0000081	AFUN2_004811, AFUN2_010972	AAEL013349, AAEL013352, AAEL013346, AAEL013344, AAEL013348, AAEL013338
OG0000081	AFUN2_012341	AAEL013341
OG0000082	AFUN2_012054	AAEL019868
OG0000085	AFUN2_010241, AFUN2_007525, AFUN2_013450, AFUN2_004039	AAEL014439, AAEL014440, AAEL003971, AAEL003954
OG0000086	AFUN2_011858	AAEL012778
OG0000086	AFUN2_006387, AFUN2_009185, AFUN2_010974	AAEL008163, AAEL008162, AAEL022247, AAEL019828
OG0000086	AFUN2_001324	AAEL009108
OG0000088	AFUN2_014792	AAEL001517
OG0000088	AFUN2_006389, AFUN2_012429	AAEL000546, AAEL000530, AAEL000545, AAEL008532, AAEL004724
OG0000089	AFUN2_006698	AAEL008252, AAEL022849
OG0000089	AFUN2_004303, AFUN2_011302, AFUN2_007001, AFUN2_005638, AFUN2_010754, AFUN2_005237, AFUN2_004286	AAEL001151
OG0000089	AFUN2_005151	AAEL001146
OG0000090	AFUN2_012179	AAEL003723, AAEL003712
OG0000090	AFUN2_011067	AAEL017132
OG0000090	AFUN2_004646	AAEL015404
OG0000091	AFUN2_004400	AAEL007010, AAEL021861, AAEL007024
OG0000096	AFUN2_007046	AAEL002851
OG0000096	AFUN2_000740	AAEL019894
OG0000096	AFUN2_004816	AAEL005052
OG0000096	AFUN2_002084	AAEL002848
OG0000097	AFUN2_004895	AAEL009559, AAEL009567
OG0000097	AFUN2_005456	AAEL009566
OG0000097	AFUN2_013795	AAEL029014
OG0000098	AFUN2_000935	AAEL014140, AAEL014137, AAEL022822
OG0000104	AFUN2_001037	AAEL002669, AAEL002666, AAEL002658
OG0000104	AFUN2_011196, AFUN2_006302	AAEL002668, AAEL006823
OG0000107	AFUN2_001412, AFUN2_012650	AAEL014731, AAEL007754, AAEL004928
OG0000108	AFUN2_013458	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165
OG0000109	AFUN2_009795	AAEL018267
OG0000109	AFUN2_004467	AAEL023958
OG0000109	AFUN2_002263	AAEL027539
OG0000111	AFUN2_012122, AFUN2_010977, AFUN2_001513, AFUN2_001833, AFUN2_007611	AAEL024249, AAEL017232, AAEL027929, AAEL025172
OG0000114	AFUN2_001369, AFUN2_010132	AAEL002241, AAEL002191, AAEL002229, AAEL002211, AAEL025678, AAEL002231, AAEL002246
OG0000114	AFUN2_006701	AAEL002223, AAEL002233, AAEL002187
OG0000115	AFUN2_007755	AAEL004247
OG0000115	AFUN2_008885	AAEL022427
OG0000116	AFUN2_012892	AAEL005045, AAEL017209
OG0000116	AFUN2_001632, AFUN2_011292	AAEL005043
OG0000116	AFUN2_005701	AAEL004743
OG0000117	AFUN2_014579, AFUN2_013280	AAEL020121, AAEL022048
OG0000119	AFUN2_008133	AAEL005200
OG0000119	AFUN2_003288	AAEL005199, AAEL020054, AAEL005182, AAEL023662, AAEL004323
OG0000120	AFUN2_014360	AAEL019920, AAEL005609, AAEL005607, AAEL019919
OG0000120	AFUN2_014310, AFUN2_007600	AAEL005594, AAEL005611
OG0000127	AFUN2_007961, AFUN2_014650, AFUN2_010892	AAEL011528, AAEL000686, AAEL001057, AAEL001096, AAEL007941
OG0000128	AFUN2_009017	AAEL000904
OG0000128	AFUN2_013941	AAEL000918
OG0000128	AFUN2_007884	AAEL019933
OG0000129	AFUN2_004369, AFUN2_004902, AFUN2_001390	AAEL012683, AAEL012688, AAEL002373, AAEL012680, AAEL012685
OG0000129	AFUN2_011235, AFUN2_004109	AAEL001195
OG0000130	AFUN2_011184	AAEL008160
OG0000130	AFUN2_008453, AFUN2_009668	AAEL002237
OG0000131	AFUN2_005171	AAEL024660
OG0000131	AFUN2_011906	AAEL003272
OG0000131	AFUN2_003726	AAEL003226
OG0000131	AFUN2_006692	AAEL003259
OG0000132	AFUN2_007055, AFUN2_004597	AAEL005293
OG0000132	AFUN2_003612	AAEL003840
OG0000133	AFUN2_010213	AAEL004091
OG0000133	AFUN2_005015, AFUN2_001924, AFUN2_013209	AAEL014230
OG0000134	AFUN2_012800	AAEL019678
OG0000134	AFUN2_008047, AFUN2_001568	AAEL019679
OG0000136	AFUN2_003409	AAEL013227, AAEL013233, AAEL021425, AAEL006287
OG0000136	AFUN2_000794	AAEL013692, AAEL008098, AAEL007698
OG0000141	AFUN2_004272, AFUN2_006156	AAEL017553, AAEL002391, AAEL024216, AAEL002378, AAEL002385, AAEL002367
OG0000142	AFUN2_002023, AFUN2_002866	AAEL002426
OG0000142	AFUN2_007901	AAEL002432
OG0000142	AFUN2_008099	AAEL002408
OG0000143	AFUN2_004552	AAEL007816
OG0000146	AFUN2_008600, AFUN2_001333, AFUN2_000602	AAEL007592, AAEL015137
OG0000147	AFUN2_001243, AFUN2_006652	AAEL006827, AAEL002031, AAEL001960, AAEL002005
OG0000148	AFUN2_006078	AAEL002676
OG0000149	AFUN2_007018	AAEL003091
OG0000149	AFUN2_007305	AAEL026670
OG0000149	AFUN2_003087	AAEL003076
OG0000150	AFUN2_013472	AAEL003497
OG0000151	AFUN2_008586	AAEL004025
OG0000152	AFUN2_004036	AAEL011180
OG0000152	AFUN2_007248, AFUN2_012516	AAEL005259
OG0000154	AFUN2_012942, AFUN2_007474, AFUN2_001817	AAEL009130, AAEL009129, AAEL009123, AAEL009131
OG0000155	AFUN2_011178, AFUN2_006679	AAEL010418, AAEL027258, AAEL015286, AAEL010415, AAEL010428, AAEL023626, AAEL018080, AAEL010426, AAEL017079, AAEL010409
OG0000157	AFUN2_002461	AAEL026898
OG0000160	AFUN2_013760, AFUN2_000560, AFUN2_005480	AAEL024826, AAEL027417
OG0000160	AFUN2_009497	AAEL002264, AAEL023094, AAEL022840, AAEL022131, AAEL020119
OG0000161	AFUN2_002280	AAEL021131
OG0000161	AFUN2_013883	AAEL004798, AAEL002467
OG0000162	AFUN2_008191	AAEL002617
OG0000162	AFUN2_004390	AAEL002606
OG0000163	AFUN2_009739	AAEL004507
OG0000163	AFUN2_005717	AAEL022219
OG0000163	AFUN2_004668	AAEL004486
OG0000164	AFUN2_007065	AAEL007511
OG0000164	AFUN2_003491	AAEL026347
OG0000164	AFUN2_014641	AAEL014567
OG0000164	AFUN2_008297	AAEL007514
OG0000165	AFUN2_004493	AAEL008017
OG0000165	AFUN2_008088	AAEL025214
OG0000165	AFUN2_007300, AFUN2_012709	AAEL008018
OG0000166	AFUN2_013647	AAEL014830
OG0000166	AFUN2_001188	AAEL014019
OG0000168	AFUN2_011437	AAEL022694, AAEL023789, AAEL026755
OG0000171	AFUN2_006837	AAEL027547, AAEL017192
OG0000171	AFUN2_013379	AAEL023653, AAEL005134
OG0000172	AFUN2_004764	AAEL026737
OG0000172	AFUN2_014173	AAEL020253
OG0000172	AFUN2_011072	AAEL011332
OG0000173	AFUN2_006638	AAEL014515
OG0000174	AFUN2_000386	AAEL029047
OG0000174	AFUN2_011578	AAEL029038, AAEL029046, AAEL029041, AAEL029044
OG0000180	AFUN2_004082	AAEL021730, AAEL002208, AAEL029006, AAEL022045, AAEL002239, AAEL002189, AAEL002245, AAEL002202
OG0000181	AFUN2_012634, AFUN2_005105, AFUN2_007521	AAEL004729, AAEL026708, AAEL023262, AAEL004730, AAEL025094
OG0000182	AFUN2_004625	AAEL005407
OG0000182	AFUN2_001977	AAEL005412, AAEL005426, AAEL005417
OG0000182	AFUN2_010645	AAEL005408
OG0000183	AFUN2_006554, AFUN2_005817, AFUN2_013925, AFUN2_007926	AAEL005786, AAEL019497, AAEL022007, AAEL009434, AAEL019498
OG0000184	AFUN2_012600	AAEL005999
OG0000184	AFUN2_009129, AFUN2_006403	AAEL006003
OG0000185	AFUN2_004065	AAEL013981, AAEL013983, AAEL021888
OG0000185	AFUN2_004964, AFUN2_008198	AAEL008045
OG0000187	AFUN2_008775	AAEL000035
OG0000189	AFUN2_010394	AAEL003743
OG0000189	AFUN2_002979	AAEL006390
OG0000189	AFUN2_009982	AAEL014053
OG0000190	AFUN2_013220	AAEL020855
OG0000190	AFUN2_007361	AAEL023141
OG0000190	AFUN2_014239	AAEL003982
OG0000191	AFUN2_001434, AFUN2_013752, AFUN2_000844, AFUN2_007718	AAEL007085, AAEL024044
OG0000192	AFUN2_002573	AAEL018352
OG0000192	AFUN2_010718	AAEL008055
OG0000192	AFUN2_006065	AAEL007664
OG0000193	AFUN2_010552, AFUN2_009366, AFUN2_003838, AFUN2_011367	AAEL018151, AAEL008595
OG0000194	AFUN2_001454	AAEL022256, AAEL009193
OG0000194	AFUN2_008119	AAEL009203
OG0000196	AFUN2_005920	AAEL014662, AAEL011677, AAEL019722
OG0000200	AFUN2_008798	AAEL019407
OG0000200	AFUN2_010360	AAEL000536
OG0000200	AFUN2_014432	AAEL000123
OG0000201	AFUN2_004882	AAEL001839
OG0000201	AFUN2_007662	AAEL020195, AAEL001844
OG0000201	AFUN2_003280	AAEL001840
OG0000202	AFUN2_013904	AAEL012457, AAEL012455
OG0000202	AFUN2_001437	AAEL003617, AAEL026142, AAEL011356
OG0000203	AFUN2_010926	AAEL003626
OG0000203	AFUN2_004259	AAEL003641, AAEL003619
OG0000203	AFUN2_000689	AAEL018304
OG0000204	AFUN2_005886	AAEL014078
OG0000204	AFUN2_004049	AAEL005665
OG0000205	AFUN2_010456	AAEL008898
OG0000205	AFUN2_003370	AAEL007913
OG0000206	AFUN2_009572	AAEL009935, AAEL009945, AAEL009938
OG0000206	AFUN2_000978	AAEL006668
OG0000207	AFUN2_000379, AFUN2_002113	AAEL027951, AAEL026297, AAEL007619
OG0000208	AFUN2_000748	AAEL008274
OG0000208	AFUN2_013487	AAEL008259, AAEL027364
OG0000208	AFUN2_002391	AAEL023637, AAEL008283
OG0000209	AFUN2_001039	AAEL020200
OG0000210	AFUN2_014566, AFUN2_014802, AFUN2_009879, AFUN2_005823	AAEL022562, AAEL013032
OG0000211	AFUN2_003763, AFUN2_005773	AAEL021862
OG0000212	AFUN2_005574	AAEL027776
OG0000217	AFUN2_005144	AAEL002994
OG0000217	AFUN2_003295	AAEL001622
OG0000217	AFUN2_000967	AAEL003013
OG0000218	AFUN2_001352	AAEL001969
OG0000218	AFUN2_014112, AFUN2_007094	AAEL002028
OG0000219	AFUN2_005902	AAEL002940
OG0000219	AFUN2_004669	AAEL012431, AAEL010858, AAEL012430, AAEL024868, AAEL010853
OG0000220	AFUN2_004984	AAEL002969, AAEL002959
OG0000220	AFUN2_008743	AAEL002972
OG0000221	AFUN2_002758, AFUN2_007038	AAEL021590, AAEL003079
OG0000221	AFUN2_006461	AAEL014371, AAEL008560
OG0000222	AFUN2_008952	AAEL021010, AAEL019957
OG0000223	AFUN2_006017	AAEL006487
OG0000223	AFUN2_009640	AAEL006995
OG0000223	AFUN2_001947	AAEL007016
OG0000224	AFUN2_004727, AFUN2_006433	AAEL006835
OG0000225	AFUN2_013899	AAEL014413
OG0000225	AFUN2_005712, AFUN2_007468	AAEL014411, AAEL014412
OG0000226	AFUN2_009224, AFUN2_010010, AFUN2_001724, AFUN2_005224	AAEL027179
OG0000229	AFUN2_002725	AAEL000515, AAEL000505
OG0000229	AFUN2_001410, AFUN2_012986	AAEL024475
OG0000230	AFUN2_013851, AFUN2_006362	AAEL021401, AAEL006228, AAEL024098, AAEL001015, AAEL005000
OG0000231	AFUN2_014167, AFUN2_001796	AAEL001743, AAEL001735, AAEL008873, AAEL008866, AAEL008869, AAEL008872
OG0000232	AFUN2_001279, AFUN2_004132	AAEL002043, AAEL026706
OG0000233	AFUN2_005591	AAEL007602, AAEL003060
OG0000233	AFUN2_009669	AAEL009843
OG0000234	AFUN2_006786	AAEL019609
OG0000234	AFUN2_005910	AAEL007447
OG0000234	AFUN2_014325	AAEL007449
OG0000235	AFUN2_000576, AFUN2_003102, AFUN2_003000	AAEL008843, AAEL008580, AAEL024616
OG0000236	AFUN2_012443, AFUN2_002078	AAEL009206
OG0000237	AFUN2_014509, AFUN2_005130, AFUN2_010795	AAEL022081, AAEL012350
OG0000244	AFUN2_005802	AAEL001196
OG0000245	AFUN2_014246, AFUN2_010459	AAEL010893
OG0000245	AFUN2_014309	AAEL000843, AAEL010894
OG0000246	AFUN2_012397, AFUN2_008092, AFUN2_001095, AFUN2_005703, AFUN2_002388	AAEL001059
OG0000247	AFUN2_012107, AFUN2_004620	AAEL001683, AAEL001677
OG0000247	AFUN2_001600	AAEL001704
OG0000248	AFUN2_010809	AAEL001822, AAEL001816
OG0000248	AFUN2_011791	AAEL018042, AAEL018041
OG0000249	AFUN2_006007, AFUN2_010916	AAEL003738, AAEL003726, AAEL003740, AAEL003728, AAEL023973
OG0000250	AFUN2_003687	AAEL004580
OG0000250	AFUN2_007149	AAEL004582
OG0000250	AFUN2_003179	AAEL004575
OG0000251	AFUN2_007933, AFUN2_012347	AAEL006353, AAEL006344
OG0000251	AFUN2_010165, AFUN2_009809	AAEL006338
OG0000252	AFUN2_006568	AAEL007257, AAEL007251, AAEL014554
OG0000252	AFUN2_010012	AAEL024448
