Orthogroup	AfunestusAfunGA1	AgambiaePEST
OG0000048	AFUN2_003419	AGAP006194, AGAP006199
OG0000048	AFUN2_007098, AFUN2_011966	AGAP006198, AGAP006201, AGAP006195
OG0000048	AFUN2_007180	AGAP006192
OG0000048	AFUN2_001025	AGAP006193
OG0000049	AFUN2_008624	AGAP011788
OG0000049	AFUN2_012748	AGAP011781
OG0000049	AFUN2_002192, AFUN2_013459	AGAP011792
OG0000051	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721	AGAP010114, AGAP010127, AGAP010113, AGAP010126, AGAP010128, AGAP010116, AGAP010120, AGAP010112, AGAP010117, AGAP010119, AGAP013749, AGAP012875
OG0000052	AFUN2_013880	AGAP011920
OG0000053	AFUN2_014363	AGAP008958, AGAP028117, AGAP028033, AGAP028172, AGAP028092, AGAP028134
OG0000053	AFUN2_010396	AGAP028063
OG0000053	AFUN2_010923	AGAP028150
OG0000053	AFUN2_007355	AGAP028118, AGAP028020
OG0000053	AFUN2_008998	AGAP028165
OG0000053	AFUN2_014545	AGAP008956
OG0000053	AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584	AGAP028181, AGAP028155, AGAP027990, AGAP028070
OG0000053	AFUN2_001373	AGAP028082
OG0000053	AFUN2_002347	AGAP028226
OG0000055	AFUN2_003795	AGAP002076
OG0000055	AFUN2_007989	AGAP004944
OG0000055	AFUN2_001013, AFUN2_010954, AFUN2_006754, AFUN2_002857, AFUN2_009317, AFUN2_014083, AFUN2_006806, AFUN2_010423	AGAP004583, AGAP004581
OG0000057	AFUN2_008318, AFUN2_006014	AGAP010105, AGAP010107, AGAP010104, AGAP029247
OG0000057	AFUN2_000600	AGAP029248
OG0000058	AFUN2_011854	AGAP009471
OG0000058	AFUN2_008788	AGAP009472
OG0000058	AFUN2_002438	AGAP009467
OG0000058	AFUN2_002842	AGAP009468
OG0000058	AFUN2_001688	AGAP008945
OG0000059	AFUN2_006267	AGAP005194
OG0000059	AFUN2_010578	AGAP006707
OG0000059	AFUN2_006502, AFUN2_012387	AGAP006709, AGAP006710, AGAP006711
OG0000059	AFUN2_014242, AFUN2_009466	AGAP007142
OG0000060	AFUN2_014460	AGAP010097
OG0000060	AFUN2_011607	AGAP010100, AGAP010099
OG0000060	AFUN2_000444	AGAP010098
OG0000060	AFUN2_013952	AGAP010101
OG0000061	AFUN2_000988	AGAP012230
OG0000061	AFUN2_001934	AGAP006371
OG0000061	AFUN2_011828	AGAP002318
OG0000061	AFUN2_001889	AGAP002317
OG0000062	AFUN2_010062, AFUN2_011070	AGAP003960
OG0000062	AFUN2_009059	AGAP008558
OG0000062	AFUN2_003714	AGAP013252
OG0000062	AFUN2_008839	AGAP028071, AGAP008808, AGAP000411, AGAP008911, AGAP029120, AGAP029119, AGAP029111
OG0000062	AFUN2_002820	AGAP029114, AGAP029108
OG0000062	AFUN2_013747	AGAP028711, AGAP012749, AGAP012270
OG0000062	AFUN2_007462, AFUN2_014711	AGAP012777, AGAP012817, AGAP029330, AGAP028710
OG0000063	AFUN2_005096	AGAP002555
OG0000063	AFUN2_009682	AGAP002202
OG0000064	AFUN2_011232	AGAP002134
OG0000067	AFUN2_003888	AGAP011939
OG0000067	AFUN2_012011	AGAP012400
OG0000067	AFUN2_003045	AGAP012399
OG0000067	AFUN2_008039	AGAP002102
OG0000067	AFUN2_008602	AGAP012401
OG0000068	AFUN2_012196	AGAP005999
OG0000068	AFUN2_006617	AGAP005998
OG0000068	AFUN2_013302	AGAP005996
OG0000068	AFUN2_009586	AGAP006001
OG0000069	AFUN2_014241	AGAP002851
OG0000069	AFUN2_004523	AGAP007197
OG0000069	AFUN2_006118	AGAP007415
OG0000069	AFUN2_010311	AGAP002850
OG0000069	AFUN2_012252	AGAP002804
OG0000071	AFUN2_007775	AGAP013490
OG0000071	AFUN2_009753	AGAP000088
OG0000071	AFUN2_014078	AGAP001861
OG0000071	AFUN2_008604	AGAP028019
OG0000071	AFUN2_008424	AGAP008358
OG0000071	AFUN2_006008	AGAP008356
OG0000072	AFUN2_010362	AGAP010971
OG0000072	AFUN2_005951	AGAP001219, AGAP001218
OG0000072	AFUN2_008401	AGAP002770
OG0000072	AFUN2_008209	AGAP007122
OG0000073	AFUN2_006853	AGAP007754
OG0000073	AFUN2_012208	AGAP007752
OG0000074	AFUN2_001362	AGAP005385
OG0000074	AFUN2_008795	AGAP005384
OG0000074	AFUN2_001014	AGAP005386
OG0000074	AFUN2_003460	AGAP005387
OG0000074	AFUN2_012551	AGAP005388
OG0000074	AFUN2_006428	AGAP007354
OG0000075	AFUN2_009178, AFUN2_014263	AGAP006983, AGAP006981, AGAP006979
OG0000075	AFUN2_005741	AGAP006978
OG0000075	AFUN2_007975	AGAP006985, AGAP006982
OG0000076	AFUN2_000390, AFUN2_002799	AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234
OG0000076	AFUN2_012586	AGAP011835
OG0000077	AFUN2_011333	AGAP006422
OG0000077	AFUN2_001755	AGAP006424
OG0000077	AFUN2_000688	AGAP006425
OG0000077	AFUN2_006649	AGAP006423
OG0000077	AFUN2_002148	AGAP006426
OG0000078	AFUN2_000476	AGAP029351
OG0000078	AFUN2_002769, AFUN2_012944	AGAP028565
OG0000079	AFUN2_004202	AGAP001162
OG0000079	AFUN2_001951	AGAP012985, AGAP012982, AGAP013149
OG0000079	AFUN2_003859	AGAP001161
OG0000080	AFUN2_011331	AGAP006380
OG0000080	AFUN2_001435	AGAP006379
OG0000080	AFUN2_013190	AGAP007504
OG0000080	AFUN2_009609	AGAP012155
OG0000080	AFUN2_005626	AGAP012156
OG0000081	AFUN2_011577	AGAP007161
OG0000081	AFUN2_004811	AGAP005547, AGAP005548
OG0000081	AFUN2_010972	AGAP007159, AGAP007158
OG0000081	AFUN2_012341	AGAP007162
OG0000083	AFUN2_010478	AGAP029438
OG0000085	AFUN2_010241	AGAP003763
OG0000085	AFUN2_007525	AGAP003764
OG0000085	AFUN2_013450	AGAP003760, AGAP003759, AGAP003762
OG0000085	AFUN2_004039	AGAP003758
OG0000086	AFUN2_011858	AGAP004809
OG0000086	AFUN2_006387	AGAP013155
OG0000086	AFUN2_009185	AGAP001881
OG0000086	AFUN2_010974	AGAP012984
OG0000086	AFUN2_001324	AGAP013150
OG0000088	AFUN2_014792	AGAP011575
OG0000088	AFUN2_006389	AGAP011507
OG0000088	AFUN2_012429	AGAP011509
OG0000089	AFUN2_006698	AGAP029766
OG0000089	AFUN2_004303	AGAP029781
OG0000089	AFUN2_011302	AGAP029780
OG0000089	AFUN2_007001	AGAP029779
OG0000089	AFUN2_005638, AFUN2_010754, AFUN2_005237	AGAP028709
OG0000089	AFUN2_004286	AGAP028708
OG0000089	AFUN2_005151	AGAP029765
OG0000090	AFUN2_012179	AGAP007347
OG0000090	AFUN2_011067	AGAP007385
OG0000090	AFUN2_004646	AGAP007386
OG0000091	AFUN2_004400	AGAP013511
OG0000093	AFUN2_007977, AFUN2_002700, AFUN2_008506	AGAP005077
OG0000093	AFUN2_003712	AGAP029262, AGAP029447
OG0000093	AFUN2_005353	AGAP005308
OG0000093	AFUN2_005338	AGAP029345
OG0000096	AFUN2_007046	AGAP010929
OG0000096	AFUN2_000740	AGAP008622
OG0000096	AFUN2_004816	AGAP005293
OG0000096	AFUN2_002084	AGAP010510
OG0000097	AFUN2_004895	AGAP013318
OG0000097	AFUN2_005456	AGAP013451
OG0000097	AFUN2_013795	AGAP002592
OG0000097	AFUN2_011155	AGAP002593
OG0000097	AFUN2_013131	AGAP013229
OG0000098	AFUN2_000935	AGAP009220
OG0000103	AFUN2_002101	AGAP005105
OG0000103	AFUN2_007321	AGAP005022, AGAP005027
OG0000103	AFUN2_010691	AGAP029484
OG0000103	AFUN2_005907	AGAP029942
OG0000104	AFUN2_001037	AGAP009159
OG0000104	AFUN2_011196	AGAP008545, AGAP028059
OG0000104	AFUN2_006302	AGAP028140, AGAP008544
OG0000105	AFUN2_006891, AFUN2_009384	AGAP028705, AGAP012473, AGAP028704, AGAP010614, AGAP012670, AGAP012671, AGAP010615
OG0000107	AFUN2_001412	AGAP002856
OG0000107	AFUN2_012650	AGAP002854
OG0000108	AFUN2_013458	AGAP006187
OG0000109	AFUN2_009795	AGAP006427
OG0000109	AFUN2_004467	AGAP029457
OG0000109	AFUN2_002263	AGAP029686
OG0000111	AFUN2_012122, AFUN2_010977, AFUN2_001513, AFUN2_001833	AGAP012724, AGAP029416, AGAP028224, AGAP008454, AGAP028081
OG0000111	AFUN2_007611	AGAP008460
OG0000114	AFUN2_001369, AFUN2_010132	AGAP028151, AGAP028057
OG0000114	AFUN2_006701	AGAP008458
OG0000114	AFUN2_007376	AGAP008459
OG0000115	AFUN2_007755	AGAP006594
OG0000115	AFUN2_008885	AGAP006595
OG0000116	AFUN2_012892	AGAP008437
OG0000116	AFUN2_001632	AGAP028128
OG0000116	AFUN2_011292	AGAP027980
OG0000116	AFUN2_005701	AGAP009835
OG0000117	AFUN2_000628, AFUN2_011841, AFUN2_002246, AFUN2_012483, AFUN2_013717, AFUN2_004183, AFUN2_011147, AFUN2_009679, AFUN2_007034	AGAP029801
OG0000119	AFUN2_008133	AGAP005834
OG0000119	AFUN2_003288	AGAP005835, AGAP005836, AGAP005837
OG0000120	AFUN2_014360	AGAP001249
OG0000120	AFUN2_007600	AGAP001245
OG0000120	AFUN2_000895	AGAP006869
OG0000123	AFUN2_003694	AGAP029183, AGAP029220
OG0000123	AFUN2_007557	AGAP013242, AGAP013436, AGAP029216
OG0000123	AFUN2_008981, AFUN2_005777, AFUN2_011368, AFUN2_014236	AGAP029145, AGAP029178, AGAP029217, AGAP029208, AGAP029141, AGAP029135, AGAP029212, AGAP029215, AGAP029184, AGAP029230, AGAP029222, AGAP029225
OG0000123	AFUN2_007905	AGAP029140
OG0000124	AFUN2_012265	AGAP007443
OG0000124	AFUN2_012679	AGAP007463, AGAP007464, AGAP007462, AGAP007465, AGAP029854, AGAP007466
OG0000124	AFUN2_002887, AFUN2_011110	AGAP007470, AGAP007467, AGAP007469, AGAP007468, AGAP007471
OG0000125	AFUN2_003424, AFUN2_003313, AFUN2_012529	AGAP011197, AGAP011230, AGAP029831, AGAP011223, AGAP011225, AGAP011228, AGAP011226, AGAP029830, AGAP029326, AGAP029319, AGAP010811, AGAP029721, AGAP012916, AGAP010763, AGAP010760, AGAP010759, AGAP029722, AGAP009184, AGAP010774, AGAP012539, AGAP010773, AGAP010775, AGAP011276, AGAP011277, AGAP010772, AGAP010761, AGAP010869, AGAP011231, AGAP029325, AGAP029314, AGAP010771, AGAP011224
OG0000127	AFUN2_007961, AFUN2_014650, AFUN2_010892	AGAP001825
OG0000128	AFUN2_009017	AGAP028426
OG0000128	AFUN2_013941	AGAP010917
OG0000128	AFUN2_007884	AGAP011365
OG0000129	AFUN2_004369	AGAP012996
OG0000129	AFUN2_004902	AGAP001552
OG0000129	AFUN2_001390	AGAP013124
OG0000129	AFUN2_011235	AGAP013450
OG0000130	AFUN2_011184	AGAP001899
OG0000130	AFUN2_008453	AGAP008468
OG0000130	AFUN2_009668	AGAP028049
OG0000131	AFUN2_005171	AGAP009877
OG0000131	AFUN2_011906	AGAP009876
OG0000131	AFUN2_003726	AGAP009875
OG0000131	AFUN2_006692	AGAP009871
OG0000132	AFUN2_007055	AGAP013132, AGAP004807
OG0000132	AFUN2_004597	AGAP012529
OG0000132	AFUN2_005157	AGAP004806
OG0000132	AFUN2_003612	AGAP011287
OG0000133	AFUN2_010213	AGAP012279
OG0000133	AFUN2_005015	AGAP011611
OG0000133	AFUN2_001924	AGAP011610
OG0000134	AFUN2_012800	AGAP006725
OG0000134	AFUN2_008047	AGAP006728
OG0000134	AFUN2_001568	AGAP006727
OG0000135	AFUN2_011084	AGAP007906
OG0000136	AFUN2_003409	AGAP011204
OG0000136	AFUN2_000794	AGAP009509
OG0000141	AFUN2_004272	AGAP005758
OG0000141	AFUN2_006156	AGAP005757
OG0000142	AFUN2_002023	AGAP003422
OG0000142	AFUN2_002866	AGAP003423
OG0000142	AFUN2_007901	AGAP003432
OG0000142	AFUN2_008099	AGAP003078
OG0000143	AFUN2_004552	AGAP002419
OG0000146	AFUN2_008600, AFUN2_001333	AGAP001956
OG0000146	AFUN2_000602	AGAP013106
OG0000147	AFUN2_001243	AGAP008020, AGAP012800, AGAP008022
OG0000147	AFUN2_006652	AGAP008018
OG0000148	AFUN2_006078	AGAP009757
OG0000149	AFUN2_007018	AGAP005753
OG0000149	AFUN2_003087	AGAP005752
OG0000150	AFUN2_013472	AGAP007104
OG0000151	AFUN2_008586	AGAP003785, AGAP012609
OG0000152	AFUN2_004036	AGAP006398
OG0000152	AFUN2_007248	AGAP006103
OG0000154	AFUN2_012942	AGAP002894
OG0000154	AFUN2_007474	AGAP008218, AGAP008217
OG0000154	AFUN2_001817	AGAP008219
OG0000155	AFUN2_011178, AFUN2_006679	AGAP004355, AGAP004356, AGAP004357, AGAP004354
OG0000157	AFUN2_002461	AGAP028217
OG0000159	AFUN2_009163	AGAP011072, AGAP011073, AGAP011071
OG0000159	AFUN2_013071	AGAP028508, AGAP028506, AGAP029790, AGAP028685, AGAP028687, AGAP029789, AGAP029775, AGAP029665, AGAP028688
OG0000159	AFUN2_002477	AGAP028690
OG0000159	AFUN2_006224	AGAP028689
OG0000160	AFUN2_013760, AFUN2_000560, AFUN2_005480, AFUN2_009497	AGAP029361
OG0000160	AFUN2_007254	AGAP006815
OG0000161	AFUN2_009616	AGAP009830
OG0000161	AFUN2_002280	AGAP028747
OG0000161	AFUN2_013883	AGAP006795
OG0000162	AFUN2_001603	AGAP012318
OG0000162	AFUN2_008191	AGAP012325
OG0000162	AFUN2_004390	AGAP012321
OG0000163	AFUN2_009739	AGAP009436
OG0000163	AFUN2_005717	AGAP009434
OG0000163	AFUN2_004668	AGAP009435
OG0000164	AFUN2_007065	AGAP004571
OG0000164	AFUN2_003491	AGAP004567
OG0000164	AFUN2_014641	AGAP004566
OG0000164	AFUN2_008297	AGAP004570
OG0000165	AFUN2_004493	AGAP000194
OG0000165	AFUN2_008088	AGAP000192
OG0000165	AFUN2_007300	AGAP000193
OG0000165	AFUN2_012709	AGAP010414
OG0000166	AFUN2_013647	AGAP006049
OG0000166	AFUN2_001188	AGAP006047
OG0000171	AFUN2_006837	AGAP011348
OG0000171	AFUN2_013379	AGAP011347
OG0000172	AFUN2_004764	AGAP011613
OG0000172	AFUN2_014173	AGAP011609
OG0000172	AFUN2_011072	AGAP011618
OG0000173	AFUN2_006638	AGAP029928
OG0000173	AFUN2_004995	AGAP029927
OG0000173	AFUN2_006309, AFUN2_013274, AFUN2_004451	AGAP010764
OG0000174	AFUN2_000386	AGAP000694
OG0000174	AFUN2_011578	AGAP000693
OG0000176	AFUN2_010883, AFUN2_001360, AFUN2_006691, AFUN2_006097	AGAP028564
OG0000180	AFUN2_004082	AGAP008448
OG0000181	AFUN2_012634	AGAP006076, AGAP006077, AGAP006078, AGAP006079
OG0000181	AFUN2_005105, AFUN2_007521	AGAP006075
OG0000182	AFUN2_004625	AGAP003722, AGAP012784
OG0000182	AFUN2_001977	AGAP003720
OG0000182	AFUN2_010645	AGAP003721
OG0000183	AFUN2_006554	AGAP002979
OG0000183	AFUN2_005817, AFUN2_013925	AGAP002423
OG0000183	AFUN2_007926	AGAP002973
OG0000184	AFUN2_012600	AGAP009519
OG0000184	AFUN2_006403	AGAP009520
OG0000185	AFUN2_004065	AGAP010657
OG0000185	AFUN2_004964, AFUN2_008198	AGAP005768
OG0000187	AFUN2_008775	AGAP002905
OG0000188	AFUN2_002434	AGAP004855
OG0000189	AFUN2_010394	AGAP003711
OG0000189	AFUN2_002979	AGAP001588, AGAP012818
OG0000189	AFUN2_009982	AGAP001587
OG0000190	AFUN2_013220	AGAP029641
OG0000190	AFUN2_007361	AGAP008320
OG0000190	AFUN2_014239	AGAP009683
OG0000191	AFUN2_001434	AGAP005966
OG0000191	AFUN2_013752	AGAP005967
OG0000191	AFUN2_000844	AGAP005968
OG0000191	AFUN2_007718	AGAP005969
OG0000192	AFUN2_002573	AGAP008588
OG0000192	AFUN2_010718	AGAP002152
OG0000192	AFUN2_006065	AGAP000962
OG0000193	AFUN2_010552, AFUN2_009366, AFUN2_003838, AFUN2_011367	AGAP002022
OG0000194	AFUN2_001454	AGAP009540, AGAP009541, AGAP012649
OG0000194	AFUN2_002991	AGAP012263
OG0000196	AFUN2_005920	AGAP008557
OG0000200	AFUN2_008798	AGAP011195
OG0000200	AFUN2_010360	AGAP011194
OG0000200	AFUN2_014432	AGAP002325
OG0000201	AFUN2_004882	AGAP006207
