Orthogroup	AfunestusAfunGA1	AminimusMINIMUS1
OG0000034	AFUN2_000777	AMIN000196
OG0000034	AFUN2_002152	AMIN010809
OG0000034	AFUN2_005553	AMIN015564, AMIN015562
OG0000034	AFUN2_004371	AMIN015508
OG0000034	AFUN2_010024	AMIN004938
OG0000034	AFUN2_014222	AMIN010991
OG0000035	AFUN2_002432, AFUN2_003652, AFUN2_013041, AFUN2_005479	AMIN009877
OG0000035	AFUN2_014196	AMIN010812, AMIN015498
OG0000035	AFUN2_002672	AMIN010811, AMIN010810
OG0000035	AFUN2_009607	AMIN015472
OG0000035	AFUN2_009222	AMIN010814
OG0000035	AFUN2_006146	AMIN010135
OG0000035	AFUN2_006683	AMIN007574
OG0000037	AFUN2_013181	AMIN002827
OG0000039	AFUN2_009923	AMIN015958
OG0000039	AFUN2_010939	AMIN015957
OG0000039	AFUN2_002356	AMIN010824
OG0000039	AFUN2_001872	AMIN007947
OG0000039	AFUN2_008523, AFUN2_002845	AMIN007946, AMIN015959
OG0000040	AFUN2_012034	AMIN015663
OG0000040	AFUN2_000621	AMIN015662
OG0000040	AFUN2_011961	AMIN015574
OG0000040	AFUN2_013533	AMIN015575
OG0000040	AFUN2_004686	AMIN015590
OG0000041	AFUN2_014438	AMIN008776
OG0000041	AFUN2_001049	AMIN008777
OG0000041	AFUN2_014544	AMIN003187
OG0000042	AFUN2_004081	AMIN005907
OG0000042	AFUN2_014693	AMIN001699
OG0000042	AFUN2_009173	AMIN015669
OG0000042	AFUN2_004521	AMIN015668
OG0000043	AFUN2_013789	AMIN006978
OG0000045	AFUN2_006680	AMIN001066
OG0000046	AFUN2_006305	AMIN002797
OG0000048	AFUN2_006474, AFUN2_003419, AFUN2_007098, AFUN2_011966, AFUN2_007180, AFUN2_001025	AMIN011325
OG0000049	AFUN2_008624	AMIN015888
OG0000049	AFUN2_012748	AMIN015889
OG0000049	AFUN2_002192, AFUN2_013459	AMIN015891
OG0000050	AFUN2_004424	AMIN001582
OG0000050	AFUN2_000519, AFUN2_007709	AMIN000977
OG0000050	AFUN2_014535, AFUN2_004996, AFUN2_006077, AFUN2_002014, AFUN2_005464, AFUN2_000902, AFUN2_006595, AFUN2_002144, AFUN2_008995, AFUN2_008521, AFUN2_001949, AFUN2_014008, AFUN2_012115, AFUN2_001319, AFUN2_004099, AFUN2_001446, AFUN2_011923, AFUN2_006774, AFUN2_004135, AFUN2_008820, AFUN2_011946, AFUN2_011869, AFUN2_007728, AFUN2_002311, AFUN2_011710, AFUN2_002565, AFUN2_006170, AFUN2_002205, AFUN2_013104, AFUN2_002325, AFUN2_001048, AFUN2_012571, AFUN2_011759, AFUN2_008005, AFUN2_004119, AFUN2_013320, AFUN2_004319, AFUN2_006631, AFUN2_004722, AFUN2_009198, AFUN2_013887, AFUN2_006868, AFUN2_009902	AMIN005873
OG0000051	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721	AMIN006620, AMIN014521
OG0000052	AFUN2_013880	AMIN015585
OG0000053	AFUN2_010396, AFUN2_010923	AMIN009403
OG0000053	AFUN2_014545, AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584, AFUN2_001373, AFUN2_002347	AMIN009402
OG0000055	AFUN2_003795	AMIN002458
OG0000057	AFUN2_008318, AFUN2_006014	AMIN006625
OG0000057	AFUN2_000600	AMIN014522
OG0000058	AFUN2_008788	AMIN001846
OG0000058	AFUN2_001688	AMIN009389
OG0000059	AFUN2_006267	AMIN016229
OG0000059	AFUN2_010578	AMIN010123
OG0000060	AFUN2_014460	AMIN006628
OG0000060	AFUN2_011607	AMIN014523
OG0000060	AFUN2_013952	AMIN006627
OG0000061	AFUN2_000988	AMIN006938
OG0000061	AFUN2_001934	AMIN007997
OG0000061	AFUN2_011828, AFUN2_001889	AMIN004599
OG0000062	AFUN2_009059	AMIN001001
OG0000062	AFUN2_003714	AMIN000304
OG0000063	AFUN2_005096	AMIN002564
OG0000063	AFUN2_009682	AMIN003060
OG0000064	AFUN2_002334	AMIN001329
OG0000064	AFUN2_013676	AMIN001327
OG0000064	AFUN2_011232	AMIN003132
OG0000064	AFUN2_012759	AMIN001330
OG0000064	AFUN2_002312	AMIN001328
OG0000067	AFUN2_003888	AMIN015537
OG0000067	AFUN2_012011	AMIN015982
OG0000067	AFUN2_003045	AMIN008926
OG0000067	AFUN2_008039	AMIN000636
OG0000067	AFUN2_008602	AMIN015981
OG0000068	AFUN2_013302	AMIN010935
OG0000069	AFUN2_014241	AMIN003229
OG0000069	AFUN2_004523	AMIN010636
OG0000069	AFUN2_010311	AMIN016114
OG0000069	AFUN2_012252	AMIN003907
OG0000071	AFUN2_009753	AMIN005052
OG0000071	AFUN2_014078	AMIN000434
OG0000071	AFUN2_008604	AMIN005942
OG0000071	AFUN2_008424	AMIN005941
OG0000071	AFUN2_006008	AMIN005945
OG0000072	AFUN2_010362	AMIN008641
OG0000072	AFUN2_008401	AMIN000778
OG0000072	AFUN2_008209	AMIN011262
OG0000073	AFUN2_006853	AMIN006338
OG0000073	AFUN2_012208	AMIN006336
OG0000074	AFUN2_008795	AMIN007418
OG0000074	AFUN2_001014	AMIN007419
OG0000074	AFUN2_006428	AMIN010517
OG0000075	AFUN2_009178, AFUN2_014263	AMIN009972
OG0000075	AFUN2_005741	AMIN009971
OG0000075	AFUN2_007975	AMIN009973
OG0000076	AFUN2_000390, AFUN2_002799	AMIN006792, AMIN006791, AMIN008359
OG0000076	AFUN2_012586	AMIN004343
OG0000077	AFUN2_011333	AMIN015956
OG0000077	AFUN2_001755	AMIN015954
OG0000077	AFUN2_000688	AMIN015955
OG0000077	AFUN2_006649	AMIN015952
OG0000077	AFUN2_002148	AMIN015953
OG0000078	AFUN2_005192	AMIN001065
OG0000078	AFUN2_010088	AMIN007269, AMIN006481
OG0000078	AFUN2_002448, AFUN2_006245	AMIN004967
OG0000078	AFUN2_002769, AFUN2_012944	AMIN007270
OG0000078	AFUN2_014773, AFUN2_014774, AFUN2_012543, AFUN2_006933, AFUN2_002243, AFUN2_010739, AFUN2_007797, AFUN2_009705, AFUN2_004461, AFUN2_011486	AMIN006432
OG0000079	AFUN2_004202	AMIN015620
OG0000079	AFUN2_001951	AMIN015621, AMIN016252
OG0000079	AFUN2_003859	AMIN015622
OG0000080	AFUN2_001435	AMIN007961, AMIN007987
OG0000080	AFUN2_013190	AMIN010419
OG0000080	AFUN2_009609, AFUN2_005626	AMIN008322
OG0000081	AFUN2_011577	AMIN010657
OG0000081	AFUN2_010972	AMIN010659
OG0000081	AFUN2_012341	AMIN010656
OG0000082	AFUN2_012054	AMIN008381
OG0000083	AFUN2_010478	AMIN000069
OG0000084	AFUN2_009374	AMIN000484
OG0000085	AFUN2_010241	AMIN015862
OG0000085	AFUN2_007525	AMIN015860
OG0000085	AFUN2_013450	AMIN015859, AMIN015863
OG0000085	AFUN2_004039	AMIN015858
OG0000086	AFUN2_011858	AMIN008148
OG0000086	AFUN2_006387, AFUN2_009185, AFUN2_010974	AMIN000451
OG0000086	AFUN2_001324	AMIN002615
OG0000088	AFUN2_014792	AMIN008863
OG0000088	AFUN2_006389	AMIN009049
OG0000088	AFUN2_012429	AMIN009053
OG0000089	AFUN2_004303, AFUN2_011302, AFUN2_007001, AFUN2_005638, AFUN2_010754, AFUN2_005237, AFUN2_004286, AFUN2_005151	AMIN006914
OG0000090	AFUN2_012179	AMIN010523
OG0000090	AFUN2_004646	AMIN010488
OG0000091	AFUN2_004400	AMIN002875
OG0000093	AFUN2_007977, AFUN2_002700, AFUN2_008506	AMIN007523
OG0000093	AFUN2_001084, AFUN2_009469, AFUN2_002675	AMIN009880
OG0000093	AFUN2_005353	AMIN007575
OG0000093	AFUN2_012981	AMIN014793
OG0000093	AFUN2_005338	AMIN001012
OG0000096	AFUN2_007046	AMIN009310
OG0000096	AFUN2_000740	AMIN014712
OG0000096	AFUN2_004816	AMIN010757
OG0000096	AFUN2_002084	AMIN001255
OG0000097	AFUN2_005456	AMIN003984
OG0000098	AFUN2_000935	AMIN009752
OG0000103	AFUN2_002101	AMIN010202
OG0000103	AFUN2_005247, AFUN2_010691, AFUN2_005907, AFUN2_010388	AMIN006800
OG0000104	AFUN2_011196	AMIN001011
OG0000105	AFUN2_006891, AFUN2_009384	AMIN004525, AMIN004526, AMIN004527, AMIN004524
OG0000107	AFUN2_012650	AMIN003226
OG0000108	AFUN2_013458	AMIN001146
OG0000109	AFUN2_009795	AMIN007943
OG0000109	AFUN2_004467	AMIN000020
OG0000111	AFUN2_012122, AFUN2_010977, AFUN2_001513, AFUN2_001833, AFUN2_007611	AMIN005870
OG0000114	AFUN2_007376	AMIN005869
OG0000115	AFUN2_007755	AMIN007799
OG0000115	AFUN2_008885	AMIN007798
OG0000116	AFUN2_005701	AMIN009560
OG0000119	AFUN2_008133	AMIN011174
OG0000119	AFUN2_003288	AMIN011175
OG0000120	AFUN2_014360	AMIN015839
OG0000120	AFUN2_014310	AMIN015840
OG0000120	AFUN2_007600	AMIN015843
OG0000120	AFUN2_000895	AMIN007643
OG0000123	AFUN2_003694	AMIN001061, AMIN001063
OG0000123	AFUN2_007557	AMIN007117
OG0000123	AFUN2_008981, AFUN2_005777, AFUN2_011368, AFUN2_014236	AMIN006431
OG0000124	AFUN2_012265	AMIN010457
OG0000124	AFUN2_012679, AFUN2_002887, AFUN2_011110	AMIN010445
OG0000125	AFUN2_003424, AFUN2_003313, AFUN2_012529	AMIN008362
OG0000127	AFUN2_007961, AFUN2_014650, AFUN2_010892	AMIN000423
OG0000128	AFUN2_009017	AMIN016003
OG0000128	AFUN2_013941	AMIN009297
OG0000128	AFUN2_007884	AMIN016287
OG0000129	AFUN2_011235, AFUN2_004109	AMIN002441
OG0000130	AFUN2_011184	AMIN000464
OG0000130	AFUN2_009668	AMIN009807
OG0000131	AFUN2_011906, AFUN2_003726	AMIN009597
OG0000131	AFUN2_006692	AMIN009593
OG0000132	AFUN2_007055	AMIN008147
OG0000132	AFUN2_005157	AMIN008145
OG0000132	AFUN2_003612	AMIN009203
OG0000133	AFUN2_010213	AMIN006896
OG0000133	AFUN2_005015	AMIN008836
OG0000133	AFUN2_001924	AMIN008837
OG0000134	AFUN2_008047	AMIN010108
OG0000134	AFUN2_001568	AMIN010109
OG0000135	AFUN2_011084	AMIN007093
OG0000136	AFUN2_003409	AMIN008377
OG0000136	AFUN2_000794	AMIN001881
OG0000141	AFUN2_006156	AMIN011058
OG0000142	AFUN2_002023, AFUN2_002866	AMIN003855
OG0000142	AFUN2_007901	AMIN000952
OG0000142	AFUN2_008099	AMIN003784
OG0000143	AFUN2_001347, AFUN2_004552	AMIN002682
OG0000146	AFUN2_008600, AFUN2_001333	AMIN000516
OG0000147	AFUN2_001243	AMIN016134, AMIN016136
OG0000147	AFUN2_006652	AMIN016135
OG0000148	AFUN2_006078	AMIN009495
OG0000149	AFUN2_007018	AMIN011053
OG0000149	AFUN2_003087	AMIN016043
OG0000150	AFUN2_013472	AMIN011243
OG0000152	AFUN2_004036	AMIN007972
OG0000152	AFUN2_007248	AMIN009947
OG0000152	AFUN2_012516	AMIN009948
OG0000154	AFUN2_012942	AMIN000711
OG0000154	AFUN2_007474	AMIN006064
OG0000155	AFUN2_006679	AMIN015664, AMIN015665
OG0000157	AFUN2_002461	AMIN001668
OG0000158	AFUN2_013735	AMIN006660
OG0000158	AFUN2_012368	AMIN006604
OG0000159	AFUN2_009163	AMIN015672
OG0000159	AFUN2_013071	AMIN015680
OG0000159	AFUN2_002477	AMIN015679
OG0000159	AFUN2_006224	AMIN015678
OG0000160	AFUN2_000560	AMIN006471, AMIN007271
OG0000160	AFUN2_005480	AMIN003417
OG0000160	AFUN2_007254	AMIN010021
OG0000161	AFUN2_002280	AMIN008303
OG0000161	AFUN2_013883	AMIN010046
OG0000162	AFUN2_001603	AMIN006857
OG0000162	AFUN2_004390	AMIN006855
OG0000163	AFUN2_009739, AFUN2_005717, AFUN2_004668	AMIN001822
OG0000164	AFUN2_007065	AMIN004931
OG0000164	AFUN2_014641	AMIN004928
OG0000164	AFUN2_008297	AMIN004930
OG0000165	AFUN2_004493	AMIN005409
OG0000165	AFUN2_012709	AMIN004970
OG0000166	AFUN2_013647	AMIN007525
OG0000171	AFUN2_013379	AMIN004244
OG0000172	AFUN2_004764	AMIN008835
OG0000172	AFUN2_014173	AMIN008838
OG0000172	AFUN2_011072	AMIN008827
OG0000173	AFUN2_006638	AMIN007048
OG0000173	AFUN2_004451	AMIN007047
OG0000174	AFUN2_000386	AMIN005847
OG0000174	AFUN2_011578	AMIN015909
OG0000176	AFUN2_012660, AFUN2_007793	AMIN006846
OG0000176	AFUN2_010883, AFUN2_001360, AFUN2_006691, AFUN2_006097	AMIN006477
OG0000180	AFUN2_004082	AMIN009804
OG0000181	AFUN2_012634	AMIN009918
OG0000181	AFUN2_005105	AMIN009916
OG0000181	AFUN2_007521	AMIN009915
OG0000182	AFUN2_004625	AMIN004725
OG0000182	AFUN2_001977	AMIN016128
OG0000182	AFUN2_010645	AMIN016130
OG0000183	AFUN2_005817, AFUN2_013925	AMIN002688
OG0000183	AFUN2_007926	AMIN003141
OG0000184	AFUN2_012600	AMIN001894
OG0000184	AFUN2_009129	AMIN015554, AMIN001896
OG0000184	AFUN2_006403	AMIN015555
OG0000185	AFUN2_004065	AMIN008694
OG0000185	AFUN2_004964, AFUN2_008198	AMIN011065
OG0000187	AFUN2_008775	AMIN000726
OG0000188	AFUN2_002434	AMIN011638
OG0000189	AFUN2_010394	AMIN004715
OG0000189	AFUN2_002979, AFUN2_009982	AMIN003400
OG0000190	AFUN2_013220	AMIN009845
OG0000190	AFUN2_007361	AMIN005982
OG0000190	AFUN2_014239	AMIN001539
OG0000191	AFUN2_001434	AMIN010963
OG0000191	AFUN2_013752	AMIN010962
OG0000191	AFUN2_000844	AMIN010961
OG0000191	AFUN2_007718	AMIN010960
OG0000192	AFUN2_002573	AMIN009154
OG0000192	AFUN2_010718	AMIN003113
OG0000192	AFUN2_006065	AMIN016221
OG0000193	AFUN2_010552, AFUN2_009366	AMIN005247
OG0000193	AFUN2_003838	AMIN005248, AMIN015557
OG0000193	AFUN2_011367	AMIN005246, AMIN001550
OG0000194	AFUN2_001454	AMIN001917
OG0000196	AFUN2_005920	AMIN001000
OG0000200	AFUN2_008798	AMIN008384
OG0000200	AFUN2_010360	AMIN008385
OG0000200	AFUN2_014432	AMIN004606
OG0000201	AFUN2_007662	AMIN011329
OG0000202	AFUN2_012722	AMIN005702
OG0000202	AFUN2_013904	AMIN005629
OG0000204	AFUN2_005886	AMIN015947
OG0000204	AFUN2_004049	AMIN015946
OG0000205	AFUN2_010456	AMIN004379
OG0000206	AFUN2_009572	AMIN015995
OG0000206	AFUN2_000978	AMIN009119
OG0000207	AFUN2_000379	AMIN016067
OG0000207	AFUN2_002113	AMIN016068
OG0000208	AFUN2_013487	AMIN008403
OG0000208	AFUN2_002391	AMIN008402
OG0000210	AFUN2_014566	AMIN008980
OG0000210	AFUN2_005823	AMIN008979
OG0000211	AFUN2_003763, AFUN2_005773	AMIN009162
OG0000216	AFUN2_008117	AMIN006105
OG0000217	AFUN2_005144	AMIN000805
OG0000217	AFUN2_003295	AMIN001961
OG0000218	AFUN2_001352	AMIN006218
OG0000218	AFUN2_007094	AMIN006220
OG0000219	AFUN2_004669	AMIN001093
OG0000220	AFUN2_004984	AMIN002726
OG0000221	AFUN2_002758, AFUN2_007038	AMIN006274
OG0000221	AFUN2_006461	AMIN010066
OG0000222	AFUN2_008952	AMIN001686
OG0000222	AFUN2_002413	AMIN001152
OG0000223	AFUN2_006017	AMIN002292
OG0000224	AFUN2_004727	AMIN003074
OG0000224	AFUN2_006433	AMIN003071
OG0000225	AFUN2_005712, AFUN2_007468	AMIN003771
OG0000226	AFUN2_009224, AFUN2_010010	AMIN002711, AMIN002712
OG0000226	AFUN2_001724, AFUN2_005224	AMIN002715
OG0000228	AFUN2_010307, AFUN2_001223	AMIN008194, AMIN010472
OG0000228	AFUN2_007118, AFUN2_001384, AFUN2_013425, AFUN2_008192	AMIN010471
OG0000229	AFUN2_002725	AMIN000391
OG0000229	AFUN2_001410	AMIN003127
OG0000229	AFUN2_012986	AMIN003317
OG0000230	AFUN2_013851, AFUN2_006362	AMIN009075, AMIN009077
OG0000231	AFUN2_014167	AMIN010930
OG0000231	AFUN2_001796	AMIN010931
OG0000232	AFUN2_001279	AMIN010173, AMIN010175, AMIN016211
OG0000232	AFUN2_004132	AMIN016210
OG0000233	AFUN2_005591	AMIN002286
OG0000233	AFUN2_009669	AMIN002275
OG0000234	AFUN2_006786	AMIN006393
OG0000234	AFUN2_005910	AMIN006400
OG0000234	AFUN2_014325	AMIN006394
OG0000236	AFUN2_012443	AMIN002269, AMIN002270
OG0000236	AFUN2_002078	AMIN008944
OG0000237	AFUN2_005130	AMIN000894
OG0000244	AFUN2_005802	AMIN009457
OG0000245	AFUN2_014246, AFUN2_010459	AMIN000228
OG0000246	AFUN2_012397	AMIN004180
OG0000246	AFUN2_001095, AFUN2_005703, AFUN2_002388	AMIN004771
OG0000247	AFUN2_012107	AMIN010670
OG0000247	AFUN2_004620	AMIN010671
OG0000247	AFUN2_001600	AMIN010668
OG0000248	AFUN2_010809	AMIN005906
OG0000248	AFUN2_011791	AMIN016193, AMIN016192
OG0000249	AFUN2_006007	AMIN011428
OG0000249	AFUN2_010916	AMIN007370
OG0000250	AFUN2_007149	AMIN003364
OG0000251	AFUN2_012347	AMIN004378
OG0000252	AFUN2_006568	AMIN008785
OG0000253	AFUN2_001483, AFUN2_000437	AMIN003457
OG0000254	AFUN2_009334	AMIN000082
OG0000254	AFUN2_013341	AMIN000940
OG0000255	AFUN2_014479	AMIN016175
OG0000256	AFUN2_010594	AMIN000774
OG0000256	AFUN2_004016	AMIN000776, AMIN000777
OG0000257	AFUN2_012412	AMIN001432, AMIN001434
OG0000260	AFUN2_004504	AMIN003553
OG0000263	AFUN2_010178	AMIN014004
OG0000265	AFUN2_009281	AMIN010596
OG0000265	AFUN2_011549	AMIN010587
OG0000265	AFUN2_003921	AMIN005808
OG0000266	AFUN2_000459	AMIN001628
OG0000266	AFUN2_004367	AMIN006383
OG0000266	AFUN2_008216	AMIN006382
OG0000267	AFUN2_006831	AMIN004190
OG0000267	AFUN2_013327, AFUN2_007744	AMIN004770
OG0000268	AFUN2_009239	AMIN007059
OG0000268	AFUN2_010803	AMIN007060
OG0000268	AFUN2_010441	AMIN007061
OG0000269	AFUN2_002119	AMIN016284
OG0000270	AFUN2_004500, AFUN2_005657	AMIN008623
OG0000270	AFUN2_001828	AMIN015971
OG0000271	AFUN2_007927	AMIN001411
OG0000272	AFUN2_008265	AMIN008763
OG0000272	AFUN2_012900	AMIN008100
OG0000273	AFUN2_001579	AMIN015825
OG0000273	AFUN2_004573	AMIN015824
OG0000273	AFUN2_012480	AMIN002200
OG0000274	AFUN2_009686	AMIN006742
OG0000276	AFUN2_000381	AMIN008276
OG0000277	AFUN2_013863	AMIN000409
OG0000278	AFUN2_006737	AMIN011462
OG0000278	AFUN2_010216	AMIN011446
OG0000278	AFUN2_002080	AMIN011465
OG0000279	AFUN2_002258	AMIN014755
OG0000280	AFUN2_014275	AMIN006822
OG0000280	AFUN2_012254	AMIN006823
OG0000285	AFUN2_012421	AMIN002977
OG0000285	AFUN2_002291	AMIN015604
OG0000285	AFUN2_012046	AMIN015606
OG0000286	AFUN2_001601	AMIN001250
OG0000287	AFUN2_006714, AFUN2_009698	AMIN015655, AMIN015654, AMIN015652
OG0000288	AFUN2_007336, AFUN2_011244	AMIN001788
OG0000289	AFUN2_008782	AMIN009186
OG0000290	AFUN2_001948	AMIN015559
OG0000290	AFUN2_000760	AMIN008540
OG0000290	AFUN2_006244	AMIN015558
OG0000291	AFUN2_003869	AMIN007862
OG0000291	AFUN2_005713	AMIN008052
OG0000292	AFUN2_008562	AMIN006672
OG0000292	AFUN2_003827, AFUN2_006814	AMIN006670
OG0000293	AFUN2_001356	AMIN005398
OG0000294	AFUN2_012955	AMIN005760
OG0000294	AFUN2_012574	AMIN005761
OG0000296	AFUN2_010688, AFUN2_014118	AMIN006011
OG0000297	AFUN2_006972	AMIN015904
OG0000297	AFUN2_004085	AMIN015903
OG0000299	AFUN2_007111	AMIN002531
OG0000299	AFUN2_010458	AMIN008559
OG0000300	AFUN2_013914	AMIN010132
OG0000302	AFUN2_001375	AMIN016306
OG0000302	AFUN2_001607	AMIN010574
OG0000303	AFUN2_004936	AMIN000132
OG0000303	AFUN2_011645	AMIN004553
OG0000304	AFUN2_011754, AFUN2_006099	AMIN001010
OG0000305	AFUN2_004178	AMIN007189
OG0000306	AFUN2_011531	AMIN006304
OG0000306	AFUN2_011005	AMIN006305
OG0000311	AFUN2_001606	AMIN000004
OG0000313	AFUN2_013154, AFUN2_009232, AFUN2_010694, AFUN2_006740, AFUN2_001786, AFUN2_011523	AMIN009818
OG0000314	AFUN2_001906, AFUN2_008486, AFUN2_011107, AFUN2_009358	AMIN009817
OG0000317	AFUN2_010069	AMIN004815
OG0000318	AFUN2_002773, AFUN2_002673	AMIN007158
OG0000318	AFUN2_007664	AMIN007123
OG0000318	AFUN2_006731	AMIN007122
OG0000319	AFUN2_000419	AMIN001372
OG0000319	AFUN2_014741	AMIN011132
OG0000321	AFUN2_011209	AMIN015801
OG0000321	AFUN2_009191	AMIN015802
OG0000321	AFUN2_013400	AMIN007046
