Orthogroup	Species	LlongipalpisASM	Orthologs
OG0000000	Aalbopictus_AalbF5	LOC129792934, LOC129790662, LOC129789212, LOC129791171, LOC129792336, LOC129787411, LOC129793343, LOC129794560, LOC129794445, LOC129789580, LOC129797431, LOC129793267, LOC129789569, LOC129791787, LOC129786951, LOC129792883	LOC134288760, LOC134288087, LOC134290826, LOC134290892, LOC134287169, LOC134291586, LOC134286669, LOC134289487, LOC134291662, LOC134286605, LOC134284869
OG0000001	AaegyptiLVP_AGWG	LOC129785915	AAEL015424
OG0000001	Aalbopictus_AalbF5	LOC129785915	LOC109403110
OG0000001	CquinquefasciatusJHB2020	LOC129785915	CQUJHB010167, CQUJHB001086
OG0000001	AsinensisChina	LOC129791522	ASIC013758, ASIC013760, ASIC013756, ASIC013755, ASIC013750, ASIC013753, ASIC013746, ASIC013749, ASIC013759, ASIC013761, ASIC013744
OG0000001	AstephensiUCISS2018	LOC129791522	ASTEI20_035195, ASTEI20_032858, ASTEI20_031571, ASTEI20_032921, ASTEI20_033826, ASTEI20_032698, ASTEI20_041050, ASTEI20_039571
OG0000001	AgambiaePEST	LOC129791522	AGAP006856, AGAP006857, AGAP006862, AGAP006853, AGAP006861, AGAP006854, AGAP006849, AGAP006850, AGAP006852, AGAP006855, AGAP006851
OG0000001	AfunestusAfunGA1	LOC129791522	AFUN2_002897, AFUN2_007676, AFUN2_013608, AFUN2_003905, AFUN2_009709
OG0000001	CquinquefasciatusJHB2020	LOC129791522	CQUJHB010237, CQUJHB007643
OG0000002	AgambiaePEST	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	AGAP002868, AGAP002869, AGAP002865, AGAP002866, AGAP002867, AGAP002870
OG0000002	AstephensiUCISS2018	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	ASTEI20_040013, ASTEI20_036300, ASTEI20_038121, ASTEI20_035875, ASTEI20_036499, ASTEI20_043191
OG0000002	AminimusMINIMUS1	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	AMIN016107, AMIN016112, AMIN016106, AMIN016109, AMIN016110, AMIN016108, AMIN016111
OG0000002	AfunestusAfunGA1	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	AFUN2_014359, AFUN2_014054, AFUN2_008570, AFUN2_013651, AFUN2_013390, AFUN2_014070, AFUN2_009636
OG0000002	AsinensisChina	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	ASIC003137, ASIC003139, ASIC003135, ASIC003136, ASIC003140
OG0000002	AdirusWRAIR2	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	ADIR003458
OG0000002	Aalbopictus_AalbF5	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	LOC109623203, LOC115269310, LOC109623208, LOC115269311
OG0000002	AaegyptiLVP_AGWG	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	AAEL014891, AAEL014893, AAEL014890
OG0000002	CquinquefasciatusJHB2020	LOC129797560, LOC129797631, LOC129797563, LOC129797565, LOC129797752, LOC129797739, LOC129797562, LOC129797630, LOC129797751, LOC129797748, LOC129797635, LOC129790247, LOC129789237, LOC129788350, LOC129797556, LOC129797570	CQUJHB017007, CQUJHB007871, CQUJHB001163
OG0000002	AdirusWRAIR2	LOC129797569, LOC129797571	ADIR016070
OG0000002	AaegyptiLVP_AGWG	LOC129791036	AAEL009127, AAEL009128, AAEL017297, AAEL009117, AAEL009125, AAEL010151, AAEL010158, AAEL009137, AAEL009133, AAEL009122, AAEL017539, AAEL017556, AAEL009138, AAEL009121, AAEL009124, AAEL009126
OG0000002	Aalbopictus_AalbF5	LOC129791036	LOC109421559, LOC109409168, LOC109398259, LOC109398237, LOC109421551, LOC109409211, LOC109409210, LOC109425972, LOC109421555, LOC109421477, LOC109421549, LOC109409164, LOC109421553
OG0000002	CquinquefasciatusJHB2020	LOC129791036	CQUJHB009563, CQUJHB004450, CQUJHB000426, CQUJHB002682, CQUJHB008354, CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269, CQUJHB003944, CQUJHB016230, CQUJHB010731, CQUJHB000319, CQUJHB014958
OG0000002	AfunestusAfunGA1	LOC129791036	AFUN2_009035, AFUN2_002132, AFUN2_005303, AFUN2_006796, AFUN2_005756, AFUN2_002248, AFUN2_003508
OG0000002	AminimusMINIMUS1	LOC129791036	AMIN006066, AMIN006068, AMIN004360, AMIN006067
OG0000002	AstephensiUCISS2018	LOC129791036	ASTEI20_032133, ASTEI20_045226, ASTEI20_045592, ASTEI20_043030, ASTEI20_031161, ASTEI20_041459, ASTEI20_036351, ASTEI20_044520, ASTEI20_044382, ASTEI20_040275, ASTEI20_041828, ASTEI20_034857, ASTEI20_036438, ASTEI20_036203, ASTEI20_040919
OG0000002	AdirusWRAIR2	LOC129791036	ADIR016077, ADIR016078, ADIR016076, ADIR016098, ADIR016100, ADIR016102, ADIR016074, ADIR016075, ADIR002023, ADIR016072, ADIR006361
OG0000002	AgambiaePEST	LOC129791036	AGAP008212, AGAP008214, AGAP008213, AGAP008209, AGAP008206, AGAP008205, AGAP011028, AGAP011029, AGAP008207
OG0000002	AsinensisChina	LOC129791036	ASIC004047, ASIC004049, ASIC004048, ASIC010653, ASIC004044, ASIC006840, ASIC006841, ASIC014765, ASIC014766, ASIC006839, ASIC004039, ASIC004046
OG0000003	Aalbopictus_AalbF5	LOC129791047	LOC134283927, LOC134285071, LOC134291347, LOC134291564, LOC134287398, LOC109420339
OG0000003	Aalbopictus_AalbF5	LOC129789093	LOC134288869, LOC134290846, LOC134288099, LOC134288468
OG0000003	AdirusWRAIR2	LOC129789093	ADIR014450
OG0000003	CquinquefasciatusJHB2020	LOC129789093	CQUJHB009884, CQUJHB004784, CQUJHB017576, CQUJHB014196, CQUJHB010120
OG0000003	Aalbopictus_AalbF5	LOC129794319	LOC134291714, LOC115258749, LOC134287556, LOC115256440
OG0000003	Aalbopictus_AalbF5	LOC129792880, LOC129786961, LOC129789185, LOC129791397	LOC115260714, LOC134284100
OG0000003	CquinquefasciatusJHB2020	LOC129792880, LOC129786961, LOC129789185, LOC129791397	CQUJHB007185
OG0000004	Aalbopictus_AalbF5	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	LOC134284773, LOC115255836, LOC115262910, LOC115261255, LOC115263152, LOC115263804, LOC134286849, LOC115261266, LOC115261594, LOC134284554, LOC109398605, LOC109398661, LOC115264627, LOC115264619, LOC115264618, LOC115264613, LOC115264602, LOC109420134, LOC109420130, LOC109420106, LOC109431202, LOC109420103, LOC109404529, LOC109621664, LOC109621654, LOC134290285, LOC134284595, LOC109404521, LOC115255202, LOC109413199, LOC134284571, LOC109397482, LOC115255205, LOC134284418, LOC134284568, LOC134284569, LOC134284572, LOC134284567, LOC134284565, LOC134284431, LOC115270078, LOC134284417, LOC115255208, LOC115270068, LOC115270065, LOC115270075, LOC134284566, LOC134284570, LOC134284423, LOC115267256, LOC115255183, LOC109397487
OG0000004	AgambiaePEST	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	AGAP012871, AGAP003912, AGAP012560, AGAP012201, AGAP012202, AGAP012710, AGAP012199, AGAP012894, AGAP012555
OG0000004	CquinquefasciatusJHB2020	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	CQUJHB011428, CQUJHB011352, CQUJHB009309, CQUJHB007713, CQUJHB003640, CQUJHB004840, CQUJHB009344, CQUJHB007777, CQUJHB016412, CQUJHB007447, CQUJHB007910, CQUJHB015959, CQUJHB001352, CQUJHB014660, CQUJHB004992
OG0000004	AaegyptiLVP_AGWG	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	AAEL015682, AAEL022865, AAEL024711, AAEL026969, AAEL021229, AAEL022111, AAEL020157, AAEL022281, AAEL022860, AAEL023072, AAEL022390, AAEL021983, AAEL021223, AAEL020177, AAEL021358, AAEL023016, AAEL023479, AAEL023589, AAEL023305, AAEL020063, AAEL021300, AAEL020023, AAEL023817, AAEL024024, AAEL021297, AAEL022550, AAEL023013, AAEL020030, AAEL020426
OG0000004	AsinensisChina	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	ASIC018314
OG0000004	AminimusMINIMUS1	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	AMIN006962
OG0000004	AfunestusAfunGA1	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	AFUN2_001150, AFUN2_009612, AFUN2_006106, AFUN2_013665, AFUN2_006350, AFUN2_013636, AFUN2_003330, AFUN2_008877, AFUN2_013113, AFUN2_005179, AFUN2_007262, AFUN2_012616, AFUN2_009887, AFUN2_009657
OG0000004	AstephensiUCISS2018	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	ASTEI20_038110, ASTEI20_036006, ASTEI20_038518, ASTEI20_032486, ASTEI20_032191, ASTEI20_034764, ASTEI20_045351, ASTEI20_043633, ASTEI20_042075, ASTEI20_041491, ASTEI20_037387, ASTEI20_032097
OG0000004	AdirusWRAIR2	LOC129789459, LOC129789491, LOC129788900, LOC129785919, LOC129785922, LOC129785921, LOC129789154, LOC129789153, LOC129789490	ADIR001878
OG0000005	Aalbopictus_AalbF5	LOC129793054	LOC134284592
OG0000005	AaegyptiLVP_AGWG	LOC129793054	AAEL020911, AAEL027845, AAEL028154, AAEL025825, AAEL022644, AAEL022528, AAEL027710, AAEL024313, AAEL027993, AAEL026417, AAEL020211, AAEL020600, AAEL018018, AAEL020420, AAEL029060, AAEL021037, AAEL024765, AAEL021663, AAEL021599
OG0000005	AaegyptiLVP_AGWG	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898	AAEL020772, AAEL020343, AAEL026864, AAEL027063, AAEL023870, AAEL027441, AAEL020713, AAEL021448, AAEL020514, AAEL020730, AAEL020395, AAEL020912, AAEL020951, AAEL021271, AAEL021472, AAEL021537, AAEL021707, AAEL028019, AAEL024277, AAEL024514, AAEL026916, AAEL024999, AAEL021726, AAEL028199, AAEL024832, AAEL026982, AAEL025166, AAEL028040, AAEL023925, AAEL027679, AAEL027391, AAEL026342, AAEL023688, AAEL025522, AAEL027502, AAEL023340, AAEL025688, AAEL023726, AAEL023154, AAEL022883, AAEL022311, AAEL022412, AAEL023138, AAEL022323, AAEL022210, AAEL021937, AAEL022047, AAEL025009, AAEL025480, AAEL026667, AAEL026360, AAEL025273, AAEL026951, AAEL025372, AAEL027250, AAEL024969, AAEL025262, AAEL026653, AAEL026204, AAEL023927, AAEL026631
OG0000005	AstephensiUCISS2018	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898	ASTEI20_042070, ASTEI20_038750, ASTEI20_037103, ASTEI20_035251, ASTEI20_045538, ASTEI20_043597, ASTEI20_043060, ASTEI20_044767, ASTEI20_032804
OG0000005	AminimusMINIMUS1	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898	AMIN005016
OG0000005	AfunestusAfunGA1	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898	AFUN2_007230, AFUN2_004842, AFUN2_000892, AFUN2_006367, AFUN2_013793, AFUN2_005075, AFUN2_011723, AFUN2_003443
OG0000005	AgambiaePEST	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898	AGAP028034, AGAP028149, AGAP011193, AGAP005264, AGAP005266, AGAP005265
OG0000005	CquinquefasciatusJHB2020	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898	CQUJHB015326, CQUJHB016505, CQUJHB001878, CQUJHB005849, CQUJHB005832
OG0000005	Aalbopictus_AalbF5	LOC129789126, LOC129788904, LOC129789458, LOC129785897, LOC129785898	LOC109413299, LOC134284557, LOC134284427, LOC134284558, LOC115255201, LOC134284413, LOC115270053, LOC134284559, LOC109397491, LOC134284561, LOC134284412, LOC109397473, LOC115270063, LOC115270066, LOC115270073, LOC134284555, LOC115270082, LOC134284422, LOC109407175, LOC109404569, LOC134284560, LOC134284414, LOC134284556, LOC109397475, LOC109621646, LOC134284562
OG0000006	AaegyptiLVP_AGWG	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	AAEL019665, AAEL025985, AAEL013375, AAEL024806, AAEL022442, AAEL026752
OG0000006	AminimusMINIMUS1	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	AMIN002115, AMIN006479, AMIN000978, AMIN009886, AMIN005876, AMIN004546, AMIN005875
OG0000006	CquinquefasciatusJHB2020	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	CQUJHB001727, CQUJHB000743
OG0000006	Aalbopictus_AalbF5	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	LOC134287667, LOC134284060, LOC134287526, LOC134285602, LOC134287214, LOC134285105, LOC134288141, LOC134291130, LOC134291131
OG0000006	AsinensisChina	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	ASIC000906, ASIC015100, ASIC002536, ASIC012877, ASIC006098, ASIC022014
OG0000006	AstephensiUCISS2018	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	ASTEI20_034072, ASTEI20_044124, ASTEI20_040743, ASTEI20_032093, ASTEI20_044334, ASTEI20_044113, ASTEI20_036967, ASTEI20_041540, ASTEI20_038144, ASTEI20_037811, ASTEI20_032286, ASTEI20_034295, ASTEI20_045632, ASTEI20_037568, ASTEI20_037125, ASTEI20_032891, ASTEI20_037854, ASTEI20_043019, ASTEI20_046077, ASTEI20_045058, ASTEI20_035134, ASTEI20_042782, ASTEI20_034128, ASTEI20_030984, ASTEI20_031059, ASTEI20_041710, ASTEI20_032630, ASTEI20_036489, ASTEI20_039912, ASTEI20_044414, ASTEI20_037300, ASTEI20_044854, ASTEI20_042709, ASTEI20_039653, ASTEI20_045153, ASTEI20_034435, ASTEI20_038259, ASTEI20_040228, ASTEI20_040458, ASTEI20_045604, ASTEI20_041451
OG0000006	AfunestusAfunGA1	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	AFUN2_007708, AFUN2_009331, AFUN2_001908, AFUN2_009118, AFUN2_013138, AFUN2_002702, AFUN2_004254, AFUN2_010056, AFUN2_009779, AFUN2_004691, AFUN2_012399, AFUN2_001067, AFUN2_005143, AFUN2_006094, AFUN2_004098, AFUN2_004010, AFUN2_002941, AFUN2_010235, AFUN2_000888, AFUN2_013493, AFUN2_014377, AFUN2_006096, AFUN2_009673, AFUN2_002143, AFUN2_005646, AFUN2_012202, AFUN2_013718, AFUN2_006489, AFUN2_011586, AFUN2_007334, AFUN2_010102, AFUN2_005018, AFUN2_004255, AFUN2_011427, AFUN2_014532
OG0000006	AgambiaePEST	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	AGAP029261, AGAP002950, AGAP012782, AGAP003624, AGAP007639, AGAP000408, AGAP000105, AGAP029348, AGAP029433, AGAP029795, AGAP029344
OG0000006	AdirusWRAIR2	LOC129787312, LOC129793134, LOC129787104, LOC129793357, LOC129790688, LOC129794692, LOC129791922, LOC129791928, LOC129793964, LOC129789619, LOC129791845, LOC129788996, LOC129792384	ADIR004457, ADIR002576
OG0000007	AdirusWRAIR2	LOC129792965	ADIR014622, ADIR009668, ADIR009667, ADIR009607, ADIR009608, ADIR014842, ADIR000815, ADIR009669, ADIR009588, ADIR009595, ADIR009594, ADIR009596, ADIR015954, ADIR015955, ADIR009593, ADIR009598, ADIR009597
OG0000007	CquinquefasciatusJHB2020	LOC129792965	CQUJHB002742, CQUJHB016780
OG0000007	AgambiaePEST	LOC129792965	AGAP012816, AGAP028684, AGAP012741, AGAP029788, AGAP029778, AGAP028587, AGAP028589, AGAP012704, AGAP029740, AGAP027985, AGAP028107, AGAP012027, AGAP029273, AGAP012918, AGAP012919, AGAP028671, AGAP029613, AGAP012767, AGAP029743, AGAP012768, AGAP012722, AGAP029745, AGAP029744, AGAP029741, AGAP029746, AGAP012835, AGAP029742, AGAP028673, AGAP028674, AGAP000164, AGAP028159, AGAP028040, AGAP029454, AGAP012602, AGAP029739, AGAP012619, AGAP028682, AGAP028520, AGAP012834, AGAP028681, AGAP028667, AGAP028683, AGAP012753, AGAP029786, AGAP028670, AGAP011404, AGAP012546, AGAP028672, AGAP012719, AGAP011409, AGAP028668, AGAP011403, AGAP011405, AGAP012742, AGAP029787, AGAP028625, AGAP028678, AGAP029296, AGAP012832, AGAP028675, AGAP028676, AGAP028677
OG0000007	AminimusMINIMUS1	LOC129792965	AMIN016007, AMIN008968, AMIN005434, AMIN008211, AMIN009331, AMIN009333, AMIN009332, AMIN009885, AMIN009330, AMIN008957, AMIN016006, AMIN008960, AMIN008958, AMIN008959
OG0000007	AstephensiUCISS2018	LOC129792965	ASTEI20_031643, ASTEI20_035663, ASTEI20_033805, ASTEI20_036392, ASTEI20_044422, ASTEI20_038493, ASTEI20_041560, ASTEI20_045006, ASTEI20_033378, ASTEI20_036188, ASTEI20_034296, ASTEI20_039161, ASTEI20_043388, ASTEI20_040387
OG0000007	AfunestusAfunGA1	LOC129792965	AFUN2_004043, AFUN2_006670, AFUN2_001709, AFUN2_014614, AFUN2_009778, AFUN2_001920, AFUN2_011937, AFUN2_005862, AFUN2_011780, AFUN2_012023, AFUN2_007690, AFUN2_003406, AFUN2_006859, AFUN2_003170
OG0000008	AfunestusAfunGA1	LOC129796114, LOC129787731, LOC129786793	AFUN2_005813
OG0000008	AminimusMINIMUS1	LOC129796114, LOC129787731, LOC129786793	AMIN005546
OG0000008	AstephensiUCISS2018	LOC129796114, LOC129787731, LOC129786793	ASTEI20_031614
OG0000008	AgambiaePEST	LOC129796114, LOC129787731, LOC129786793	AGAP000818
OG0000008	AdirusWRAIR2	LOC129796114, LOC129787731, LOC129786793	ADIR003918
OG0000008	AsinensisChina	LOC129796114, LOC129787731, LOC129786793	ASIC020436
OG0000008	CquinquefasciatusJHB2020	LOC129796114, LOC129787731, LOC129786793	CQUJHB014582, CQUJHB016283
OG0000008	CquinquefasciatusJHB2020	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	CQUJHB001648, CQUJHB013802, CQUJHB008227, CQUJHB003756, CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915, CQUJHB018038, CQUJHB017383, CQUJHB016685, CQUJHB005146, CQUJHB012207, CQUJHB014535, CQUJHB007135, CQUJHB011337
OG0000008	Aalbopictus_AalbF5	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	LOC109426418, LOC134289744, LOC109426424, LOC109403928, LOC134289746, LOC109426415, LOC134291979, LOC134291978, LOC134291018, LOC109403845, LOC109426416, LOC109433244, LOC109424185, LOC115258886, LOC109403897, LOC109426422, LOC115254008, LOC109426419, LOC109403786, LOC109403754, LOC109426407, LOC109426413, LOC109426414, LOC109403795, LOC109426411, LOC109426410, LOC109426408, LOC109426420, LOC134283913
OG0000008	AaegyptiLVP_AGWG	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	AAEL014617, AAEL014613, AAEL014615, AAEL014603, AAEL014610, AAEL029064, AAEL014609, AAEL017366, AAEL002638, AAEL002633, AAEL014619, AAEL019603, AAEL006795, AAEL014605, AAEL014614, AAEL006815, AAEL006784, AAEL006805, AAEL028635, AAEL014618, AAEL014604, AAEL019504
OG0000008	AstephensiUCISS2018	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	ASTEI20_045981, ASTEI20_045188, ASTEI20_044670, ASTEI20_031005
OG0000008	AgambiaePEST	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	AGAP012850, AGAP012295, AGAP012293, AGAP012294, AGAP012296, AGAP012291, AGAP012292
OG0000008	AsinensisChina	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	ASIC017821, ASIC017823, ASIC017822, ASIC017817, ASIC017818, ASIC017816, ASIC017813, ASIC017814, ASIC017825, ASIC017824
OG0000008	AfunestusAfunGA1	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	AFUN2_011626, AFUN2_014353, AFUN2_012060, AFUN2_001736, AFUN2_010492
OG0000008	AminimusMINIMUS1	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	AMIN006880, AMIN006881, AMIN006884
OG0000008	AdirusWRAIR2	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	ADIR000457, ADIR000455
OG0000009	CquinquefasciatusJHB2020	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899	CQUJHB014156, CQUJHB017603, CQUJHB014894, CQUJHB006007, CQUJHB008990, CQUJHB014655, CQUJHB005147, CQUJHB003321, CQUJHB004474, CQUJHB008024, CQUJHB014886, CQUJHB007184, CQUJHB014612, CQUJHB017211, CQUJHB010981, CQUJHB011165
OG0000009	AaegyptiLVP_AGWG	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899	AAEL020927, AAEL020601, AAEL012499, AAEL003706, AAEL003687, AAEL003669, AAEL021193, AAEL020887, AAEL020309, AAEL021638, AAEL021635, AAEL021158, AAEL021053, AAEL020675, AAEL021644, AAEL022643, AAEL022062, AAEL021518, AAEL022584, AAEL020050, AAEL020348, AAEL020605, AAEL022071, AAEL022701, AAEL020066, AAEL022197, AAEL020249, AAEL021347, AAEL021778, AAEL021459, AAEL007005
OG0000009	Aalbopictus_AalbF5	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899	LOC109621765, LOC115263837, LOC115262868, LOC134287304, LOC115261271, LOC115261264, LOC115263330, LOC109404502, LOC109405821, LOC115264628, LOC109404520, LOC109413309, LOC115255181, LOC109397503, LOC109420132, LOC115253798, LOC115270076, LOC109404534, LOC109431220, LOC134284429, LOC109623442, LOC134284415, LOC134284432, LOC115264626, LOC134284430, LOC109431199, LOC115264612, LOC109407185, LOC115264620, LOC134284416, LOC115254131, LOC115255182, LOC109621651, LOC109397481, LOC109404592
