Orthogroup	AdirusWRAIR2	AaegyptiLVP_AGWG
OG0000026	ADIR006960	AAEL011763, AAEL011764, AAEL020579
OG0000026	ADIR003488	AAEL014544
OG0000027	ADIR009739	AAEL012641, AAEL012649, AAEL012646, AAEL012652, AAEL012645, AAEL027171, AAEL012651, AAEL025465, AAEL012644, AAEL012650, AAEL012647
OG0000033	ADIR016018	AAEL000038
OG0000033	ADIR016019, ADIR002300	AAEL000074
OG0000033	ADIR016025, ADIR016020, ADIR002841, ADIR016023, ADIR016021, ADIR016024, ADIR016022	AAEL000037, AAEL000028, AAEL000099
OG0000034	ADIR004404	AAEL013562
OG0000034	ADIR007516	AAEL002279
OG0000035	ADIR014329, ADIR014313, ADIR003862	AAEL009610, AAEL025842, AAEL013024
OG0000037	ADIR003228, ADIR003227, ADIR010210, ADIR010215, ADIR010214, ADIR010213, ADIR010212, ADIR010211, ADIR010203, ADIR010204	AAEL008895
OG0000039	ADIR015925, ADIR015923, ADIR008758, ADIR007693, ADIR015924, ADIR015928, ADIR015927, ADIR007692, ADIR015926	AAEL002693, AAEL006524, AAEL002682, AAEL002476, AAEL009239, AAEL000793
OG0000040	ADIR015602, ADIR015601	AAEL008368, AAEL022663
OG0000040	ADIR015539, ADIR015541, ADIR015540, ADIR015544, ADIR006103, ADIR015562, ADIR006102	AAEL020825, AAEL008448
OG0000041	ADIR001834	AAEL007060
OG0000041	ADIR001833	AAEL007063
OG0000041	ADIR001835	AAEL007051, AAEL007070
OG0000041	ADIR003420	AAEL023132
OG0000042	ADIR000587, ADIR011155, ADIR000580	AAEL018347
OG0000046	ADIR003197	AAEL005753
OG0000048	ADIR014671, ADIR016188, ADIR007974, ADIR016182, ADIR016183, ADIR016186, ADIR016187, ADIR016181, ADIR016189	AAEL004672, AAEL004667, AAEL001508, AAEL008856
OG0000049	ADIR016124	AAEL002595
OG0000049	ADIR016128	AAEL002590
OG0000049	ADIR015764, ADIR015763, ADIR015765, ADIR015762	AAEL002600
OG0000049	ADIR016123	AAEL002629
OG0000051	ADIR009276	AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758, AAEL024588
OG0000053	ADIR009846, ADIR011408, ADIR011407, ADIR009847, ADIR009845	AAEL010055
OG0000055	ADIR003019	AAEL019403
OG0000057	ADIR009281, ADIR014808, ADIR009282	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759, AAEL023487
OG0000058	ADIR006057	AAEL026976, AAEL008624
OG0000059	ADIR001566, ADIR015747, ADIR015748, ADIR015749, ADIR001568	AAEL022646
OG0000059	ADIR003672, ADIR003674	AAEL002360
OG0000059	ADIR016197	AAEL002347, AAEL024934
OG0000061	ADIR009531	AAEL026011, AAEL007673
OG0000061	ADIR007445	AAEL006719
OG0000061	ADIR015571	AAEL013421, AAEL008451
OG0000063	ADIR010309	AAEL005771, AAEL005788
OG0000063	ADIR008969	AAEL020266, AAEL000320, AAEL012761, AAEL005696, AAEL005700, AAEL024573, AAEL000326, AAEL000357, AAEL029116, AAEL005775, AAEL017215, AAEL000338
OG0000064	ADIR004674	AAEL014561, AAEL021735, AAEL025303, AAEL013027, AAEL017403
OG0000064	ADIR005809	AAEL017501
OG0000067	ADIR001930	AAEL003434
OG0000067	ADIR000539	AAEL000678, AAEL000647
OG0000067	ADIR000540	AAEL000642
OG0000068	ADIR007458	AAEL024556
OG0000068	ADIR007459	AAEL013512, AAEL013520, AAEL007194, AAEL007192, AAEL013514
OG0000068	ADIR007460	AAEL011444
OG0000069	ADIR003464	AAEL015136
OG0000069	ADIR007962, ADIR007263, ADIR007262, ADIR003511	AAEL009556, AAEL009555, AAEL009553
OG0000071	ADIR001093	AAEL007812
OG0000071	ADIR002693	AAEL002085, AAEL003399
OG0000071	ADIR011119, ADIR011120, ADIR011116	AAEL013798
OG0000072	ADIR001900	AAEL013229
OG0000072	ADIR003546	AAEL012424
OG0000072	ADIR008039	AAEL026111, AAEL004172
OG0000073	ADIR010953	AAEL007128
OG0000074	ADIR003703, ADIR003702, ADIR003701	AAEL011460, AAEL011454
OG0000074	ADIR007318	AAEL011449
OG0000075	ADIR008602, ADIR008603, ADIR008604	AAEL013444, AAEL013442, AAEL013443, AAEL021060, AAEL025773, AAEL013439
OG0000076	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068, ADIR002333, ADIR002334	AAEL003992
OG0000077	ADIR007690	AAEL015020, AAEL015573, AAEL015021
OG0000078	ADIR014246	AAEL024476
OG0000079	ADIR010062	AAEL023932, AAEL006498, AAEL006259
OG0000080	ADIR007435	AAEL012698
OG0000080	ADIR000033	AAEL008384, AAEL008386
OG0000081	ADIR007942	AAEL013347
OG0000081	ADIR008727, ADIR007940	AAEL013349, AAEL013352, AAEL013346, AAEL013344, AAEL013348, AAEL013338
OG0000081	ADIR007943	AAEL013341
OG0000082	ADIR000069, ADIR000071, ADIR000093	AAEL019868
OG0000085	ADIR015828, ADIR015824, ADIR015826, ADIR015825, ADIR015827, ADIR015829	AAEL014439, AAEL014440, AAEL003971, AAEL003954
OG0000086	ADIR009203	AAEL012778
OG0000086	ADIR003037	AAEL008163, AAEL008162, AAEL022247, AAEL019828
OG0000086	ADIR006613	AAEL009108
OG0000088	ADIR000163	AAEL001517
OG0000088	ADIR000290, ADIR000294	AAEL000546, AAEL000530, AAEL000545, AAEL008532, AAEL004724
OG0000089	ADIR009555	AAEL008252, AAEL022849
OG0000089	ADIR009554	AAEL001151, AAEL001146
OG0000090	ADIR015919	AAEL003723, AAEL003712
OG0000090	ADIR007286	AAEL017132
OG0000090	ADIR007285	AAEL015404
OG0000091	ADIR006521	AAEL007010, AAEL021861, AAEL007024
OG0000096	ADIR000343	AAEL002851
OG0000096	ADIR010758	AAEL019894
OG0000096	ADIR009091	AAEL005052
OG0000096	ADIR000344	AAEL002848
OG0000097	ADIR010274	AAEL009566
OG0000098	ADIR014792, ADIR006291, ADIR006333, ADIR006300, ADIR015892, ADIR015893	AAEL014140, AAEL014137, AAEL022822
OG0000104	ADIR006249	AAEL002669, AAEL002666, AAEL002658
OG0000104	ADIR010870, ADIR010871, ADIR010869	AAEL002668, AAEL006823
OG0000108	ADIR004058	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165
OG0000109	ADIR007689	AAEL018267
OG0000109	ADIR009055	AAEL023958
OG0000111	ADIR000646, ADIR000644	AAEL024249, AAEL017232, AAEL027929, AAEL025172
OG0000114	ADIR000642	AAEL002223, AAEL002233, AAEL002187
OG0000115	ADIR007384	AAEL004247
OG0000115	ADIR007383	AAEL022427
OG0000116	ADIR006147	AAEL005043
OG0000116	ADIR005173	AAEL004743
OG0000119	ADIR007783	AAEL005200
OG0000119	ADIR007782	AAEL005199, AAEL020054, AAEL005182, AAEL023662, AAEL004323
OG0000120	ADIR015976	AAEL019920, AAEL005609, AAEL005607, AAEL019919
OG0000120	ADIR015969, ADIR015967	AAEL005594, AAEL005611
OG0000127	ADIR002706	AAEL011528, AAEL000686, AAEL001057, AAEL001096, AAEL007941
OG0000128	ADIR005627	AAEL000918
OG0000128	ADIR016172, ADIR016170	AAEL019933
OG0000130	ADIR003050	AAEL008160
OG0000130	ADIR011436, ADIR011726, ADIR011435	AAEL002237
OG0000131	ADIR011335	AAEL024660
OG0000131	ADIR011339	AAEL003259
OG0000132	ADIR010804	AAEL003840
OG0000133	ADIR000444	AAEL004091
OG0000133	ADIR000139, ADIR000140	AAEL014230
OG0000134	ADIR003659	AAEL019678
OG0000134	ADIR003660	AAEL005113, AAEL023844, AAEL005123
OG0000134	ADIR003658	AAEL019679
OG0000135	ADIR005919	AAEL006011
OG0000136	ADIR000092, ADIR000087	AAEL013227, AAEL013233, AAEL021425, AAEL006287
OG0000136	ADIR006020	AAEL013692, AAEL008098, AAEL007698
OG0000141	ADIR007903	AAEL017553, AAEL002391, AAEL024216, AAEL002378, AAEL002385, AAEL002367
OG0000142	ADIR008287	AAEL002426
OG0000142	ADIR008294	AAEL002432
OG0000142	ADIR003290	AAEL002408
OG0000143	ADIR004529	AAEL007795, AAEL007807, AAEL007815, AAEL007808, AAEL007816
OG0000146	ADIR015797, ADIR015798	AAEL007592, AAEL015137
OG0000147	ADIR011038	AAEL006827, AAEL002031, AAEL001960, AAEL002005
OG0000148	ADIR005101	AAEL002676
OG0000149	ADIR007907	AAEL003091
OG0000149	ADIR007908	AAEL026670
OG0000150	ADIR008060	AAEL003497
OG0000151	ADIR015810	AAEL004025
OG0000152	ADIR015582	AAEL011180
OG0000152	ADIR008754, ADIR006715	AAEL011177
OG0000152	ADIR008753	AAEL005259
OG0000154	ADIR006364	AAEL009130, AAEL009129, AAEL009123, AAEL009131
OG0000155	ADIR005418	AAEL010418, AAEL027258, AAEL015286, AAEL010415, AAEL010428, AAEL023626, AAEL018080, AAEL010426, AAEL017079, AAEL010409
OG0000156	ADIR011505, ADIR011732	AAEL023034, AAEL026721, AAEL023725, AAEL024129, AAEL020959, AAEL023612, AAEL021477, AAEL025177, AAEL023971, AAEL019897, AAEL021815, AAEL027272, AAEL025778, AAEL019736, AAEL023780
OG0000157	ADIR006810	AAEL026898
OG0000160	ADIR003566	AAEL024826, AAEL027417, AAEL002264, AAEL023094, AAEL022840, AAEL022131, AAEL020119
OG0000161	ADIR003591	AAEL004798, AAEL002467
OG0000162	ADIR000482	AAEL002606
OG0000163	ADIR015554	AAEL004507
OG0000163	ADIR015557	AAEL022219
OG0000163	ADIR015556	AAEL004486
OG0000164	ADIR004411	AAEL007511
OG0000164	ADIR004413	AAEL014567
OG0000165	ADIR001509	AAEL008017
OG0000165	ADIR001510	AAEL025214
OG0000165	ADIR009841, ADIR005706	AAEL008018
OG0000166	ADIR016085	AAEL013556, AAEL013554
OG0000166	ADIR008138	AAEL014830
OG0000166	ADIR016086	AAEL014019
OG0000171	ADIR002126	AAEL023653, AAEL005134
OG0000172	ADIR000138	AAEL026737
OG0000172	ADIR000141	AAEL020253
OG0000172	ADIR000131	AAEL011332
OG0000173	ADIR011553	AAEL014515
OG0000174	ADIR000944	AAEL029047
OG0000174	ADIR015737	AAEL029038, AAEL029046, AAEL029041, AAEL029044
OG0000174	ADIR015738	AAEL029104
OG0000181	ADIR008823, ADIR008822	AAEL004729, AAEL026708, AAEL023262, AAEL004730, AAEL025094
OG0000182	ADIR005388	AAEL005407
OG0000182	ADIR016062	AAEL005412, AAEL005426, AAEL005417
OG0000182	ADIR016059, ADIR016061	AAEL005408
OG0000183	ADIR006377, ADIR005819	AAEL005786, AAEL019497, AAEL022007, AAEL009434, AAEL019498
OG0000184	ADIR006005	AAEL005999
OG0000184	ADIR015591, ADIR015590	AAEL006003
OG0000185	ADIR000196	AAEL013981, AAEL013983, AAEL021888
OG0000185	ADIR016097	AAEL008045
OG0000187	ADIR002758	AAEL000035
OG0000188	ADIR009257, ADIR009256	AAEL017003, AAEL003253, AAEL003243
OG0000189	ADIR005379	AAEL003743
OG0000189	ADIR010508	AAEL006390, AAEL014053
OG0000190	ADIR005000	AAEL024092
OG0000190	ADIR011475	AAEL020855
OG0000190	ADIR011077	AAEL023141
OG0000190	ADIR004999	AAEL003982
OG0000191	ADIR007485, ADIR014641	AAEL007085, AAEL024044
OG0000192	ADIR010909	AAEL018352
OG0000192	ADIR005792	AAEL008055
OG0000192	ADIR000914	AAEL007664
OG0000193	ADIR005330	AAEL018151, AAEL008595
OG0000194	ADIR005946	AAEL022256, AAEL009193
OG0000196	ADIR010880	AAEL014662, AAEL011677, AAEL019722
OG0000197	ADIR010797	AAEL027813, AAEL020324, AAEL025634, AAEL023285, AAEL023574, AAEL023986, AAEL027812, AAEL022037, AAEL027656, AAEL022659, AAEL024699, AAEL024167, AAEL027531, AAEL023888, AAEL027158
OG0000200	ADIR000096	AAEL019407
OG0000200	ADIR000097	AAEL000536
OG0000200	ADIR006692	AAEL000123
OG0000201	ADIR004196	AAEL020195, AAEL001844
OG0000202	ADIR003924	AAEL012457, AAEL012455
OG0000204	ADIR015854, ADIR016103, ADIR015857	AAEL014078
OG0000204	ADIR015855	AAEL005665
OG0000204	ADIR015856	AAEL014079
OG0000205	ADIR005975	AAEL007913
OG0000206	ADIR000696	AAEL006668
OG0000207	ADIR016010, ADIR016011	AAEL027951, AAEL026297, AAEL007619
OG0000208	ADIR001797	AAEL008259, AAEL027364
OG0000208	ADIR001798	AAEL023637, AAEL008283
OG0000209	ADIR001972	AAEL020200
OG0000210	ADIR000241	AAEL022562, AAEL013032
OG0000217	ADIR010726	AAEL002994
OG0000217	ADIR005194	AAEL001622
OG0000218	ADIR011222	AAEL001969
OG0000218	ADIR011220, ADIR011219	AAEL002028
OG0000219	ADIR001531	AAEL012431, AAEL010858, AAEL012430, AAEL024868, AAEL010853
OG0000220	ADIR006414	AAEL002969, AAEL002959
OG0000221	ADIR011011	AAEL021590, AAEL003079
OG0000221	ADIR003610	AAEL014371, AAEL008560
OG0000222	ADIR000671	AAEL021010, AAEL019957
OG0000223	ADIR010046	AAEL006487
OG0000224	ADIR008980, ADIR008979	AAEL006835
OG0000225	ADIR016029	AAEL014413
OG0000225	ADIR016028, ADIR016027	AAEL014411, AAEL014412
OG0000226	ADIR006402, ADIR006405, ADIR006404	AAEL027179
OG0000229	ADIR002810	AAEL000515, AAEL000505
OG0000229	ADIR005804, ADIR005315	AAEL024475
OG0000230	ADIR006854	AAEL021401, AAEL006228, AAEL024098, AAEL001015, AAEL005000
OG0000231	ADIR007453, ADIR007454	AAEL001743, AAEL001735, AAEL008873, AAEL008866, AAEL008869, AAEL008872
OG0000232	ADIR006899, ADIR016139, ADIR016138	AAEL002043, AAEL026706
OG0000233	ADIR010041	AAEL007602, AAEL003060
OG0000234	ADIR000732	AAEL019609
OG0000234	ADIR000742	AAEL007447
OG0000234	ADIR000738	AAEL007449
OG0000235	ADIR002045	AAEL008843, AAEL008580, AAEL024616
OG0000236	ADIR010024, ADIR000559	AAEL009206
OG0000237	ADIR015947, ADIR015946	AAEL022081, AAEL012350
OG0000244	ADIR005063	AAEL001196
OG0000244	ADIR005071	AAEL000597
OG0000245	ADIR002600	AAEL010893
OG0000247	ADIR007929, ADIR007928	AAEL001683, AAEL001677
OG0000247	ADIR007931	AAEL001704
OG0000248	ADIR015997	AAEL018042
OG0000248	ADIR015996	AAEL018041
OG0000249	ADIR001663	AAEL003738, AAEL003726, AAEL003740, AAEL003728, AAEL023973
OG0000250	ADIR015773	AAEL004580
OG0000250	ADIR015774	AAEL004582
OG0000250	ADIR015775	AAEL004575
OG0000251	ADIR002011	AAEL006353, AAEL006344
OG0000252	ADIR001823	AAEL007257, AAEL007251, AAEL014554
OG0000252	ADIR014170, ADIR014169	AAEL024448
OG0000253	ADIR010453, ADIR010451, ADIR010452	AAEL007993, AAEL007992
OG0000254	ADIR005871	AAEL012040
OG0000254	ADIR008307	AAEL009916
OG0000255	ADIR008975	AAEL012770, AAEL012762, AAEL020553, AAEL011761, AAEL022568, AAEL012769, AAEL012765
OG0000256	ADIR003547	AAEL012425, AAEL012422
OG0000257	ADIR004880	AAEL019890, AAEL027350
OG0000265	ADIR008235, ADIR008228	AAEL008213, AAEL008211
OG0000265	ADIR001201	AAEL000249
OG0000266	ADIR006770	AAEL013662
OG0000266	ADIR000724, ADIR000723	AAEL000757
OG0000268	ADIR005898, ADIR005897	AAEL002690
OG0000268	ADIR005896	AAEL002692
OG0000269	ADIR016218	AAEL003195, AAEL026083, AAEL023346, AAEL003196, AAEL020734, AAEL021498, AAEL003181, AAEL022449, AAEL003201, AAEL028198, AAEL003187, AAEL024002
OG0000270	ADIR001672, ADIR001921	AAEL003444, AAEL003439
OG0000272	ADIR001841, ADIR001852	AAEL008858
OG0000272	ADIR009159	AAEL008876
OG0000274	ADIR009412	AAEL010098, AAEL010099
OG0000275	ADIR010509	AAEL012343, AAEL012349, AAEL023211
OG0000276	ADIR002281	AAEL013044, AAEL013048, AAEL013054
OG0000277	ADIR002721, ADIR002720	AAEL013198, AAEL026420
OG0000278	ADIR001634, ADIR001650, ADIR001649, ADIR001631	AAEL013217
OG0000279	ADIR000638	AAEL017402
OG0000279	ADIR000639	AAEL021930, AAEL025608
OG0000280	ADIR004761, ADIR004760	AAEL029034
OG0000280	ADIR004759	AAEL029031
OG0000285	ADIR002894	AAEL000029
OG0000285	ADIR015838, ADIR015839	AAEL000024
OG0000286	ADIR005642	AAEL022696, AAEL000613, AAEL000628, AAEL000614, AAEL006465, AAEL017294
OG0000287	ADIR015574, ADIR015569, ADIR015568, ADIR015575	AAEL001221
OG0000288	ADIR006111, ADIR015495	AAEL020558, AAEL001320, AAEL001292, AAEL025530, AAEL001312, AAEL001807, AAEL009591
OG0000289	ADIR016116, ADIR016115	AAEL003317, AAEL003297, AAEL003298
OG0000290	ADIR002288, ADIR002287	AAEL004103, AAEL004092
OG0000291	ADIR007609	AAEL004592
OG0000291	ADIR015675	AAEL024570
OG0000292	ADIR009319	AAEL004935
OG0000292	ADIR009317	AAEL004923
OG0000293	ADIR000907	AAEL019520
OG0000293	ADIR008608	AAEL005702, AAEL010609
OG0000294	ADIR002675, ADIR002676	AAEL022989, AAEL007040
OG0000294	ADIR005219	AAEL006160
OG0000295	ADIR016166, ADIR016165, ADIR016167, ADIR016169, ADIR016168	AAEL006385
OG0000297	ADIR015723	AAEL006818
OG0000297	ADIR015724	AAEL006829
OG0000298	ADIR007480	AAEL009528, AAEL008380
OG0000298	ADIR014006	AAEL007711
OG0000299	ADIR010341	AAEL007893
OG0000299	ADIR002354	AAEL008152, AAEL027985, AAEL008159
OG0000300	ADIR003683	AAEL009978
OG0000302	ADIR016215	AAEL015566, AAEL015567
OG0000302	ADIR008218	AAEL011499
OG0000303	ADIR005583	AAEL011563
OG0000304	ADIR010873	AAEL014541
OG0000304	ADIR010872	AAEL014537
OG0000305	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834	AAEL019599
OG0000306	ADIR010982, ADIR010985, ADIR010986, ADIR010984	AAEL022773
OG0000317	ADIR008367	AAEL000039, AAEL000089, AAEL000066, AAEL000018
OG0000318	ADIR006689, ADIR007089	AAEL000690
OG0000319	ADIR004939	AAEL026313, AAEL027346
OG0000319	ADIR007826	AAEL001010
OG0000320	ADIR005272, ADIR005235	AAEL002288, AAEL002301
OG0000321	ADIR015863, ADIR015862	AAEL002904
OG0000321	ADIR011556	AAEL002917
OG0000324	ADIR010906	AAEL005749
OG0000324	ADIR010907	AAEL005763
OG0000325	ADIR006976	AAEL005759, AAEL007339, AAEL005890
OG0000326	ADIR005565	AAEL007169
OG0000326	ADIR003426	AAEL006077
OG0000327	ADIR004793	AAEL006684, AAEL012580, AAEL021830, AAEL024894, AAEL019749, AAEL019750, AAEL027138, AAEL010580, AAEL006679, AAEL022785, AAEL025034
OG0000328	ADIR001956	AAEL026562, AAEL006696
OG0000328	ADIR001957	AAEL022561, AAEL006692
OG0000329	ADIR006061, ADIR003916	AAEL008634
OG0000329	ADIR006062	AAEL008622
OG0000330	ADIR001248	AAEL009580
OG0000331	ADIR009969	AAEL011658
OG0000332	ADIR010199, ADIR010356, ADIR010198	AAEL011931
OG0000333	ADIR004150, ADIR004140, ADIR007959, ADIR003780	AAEL012421
OG0000334	ADIR004979	AAEL013154
OG0000336	ADIR004182	AAEL024525
OG0000336	ADIR004184	AAEL021016
OG0000344	ADIR008368	AAEL000073
OG0000344	ADIR001581	AAEL012377
OG0000346	ADIR002727	AAEL000216, AAEL004949, AAEL004953, AAEL004947
OG0000347	ADIR011568	AAEL000861, AAEL000859
OG0000348	ADIR005623	AAEL000890, AAEL000896
OG0000349	ADIR008567	AAEL013997
OG0000349	ADIR008566	AAEL001041
OG0000351	ADIR000179	AAEL001519
OG0000352	ADIR005371	AAEL024332, AAEL001566
OG0000352	ADIR004606	AAEL005791
OG0000353	ADIR007451	AAEL001745, AAEL001732
OG0000354	ADIR002946	AAEL006113
OG0000354	ADIR010471	AAEL002541
OG0000355	ADIR006415	AAEL002967
OG0000357	ADIR010484, ADIR010483	AAEL003506
OG0000357	ADIR010481, ADIR010482	AAEL003504
OG0000359	ADIR008488	AAEL010434, AAEL006138, AAEL006126
OG0000360	ADIR001997	AAEL006355, AAEL006361, AAEL006337
OG0000361	ADIR002964	AAEL006624
OG0000362	ADIR015887, ADIR015885	AAEL027003, AAEL007951, AAEL023692
OG0000363	ADIR015546	AAEL009863
OG0000363	ADIR015547	AAEL009860, AAEL020112, AAEL022139
OG0000364	ADIR016198, ADIR016196	AAEL011346, AAEL011348, AAEL009968
OG0000365	ADIR004665	AAEL011314
OG0000366	ADIR010711	AAEL019797, AAEL019798, AAEL011797, AAEL011798
OG0000367	ADIR003716	AAEL012509
OG0000368	ADIR004446	AAEL012866, AAEL012870, AAEL012860
OG0000369	ADIR010892	AAEL022846
OG0000369	ADIR010893, ADIR010887	AAEL019808
OG0000370	ADIR000577	AAEL017446
OG0000370	ADIR010058	AAEL017182
OG0000371	ADIR007433, ADIR007434, ADIR007436	AAEL019862
OG0000372	ADIR015735	AAEL023438
OG0000380	ADIR015576	AAEL000012
OG0000380	ADIR015577	AAEL024813
OG0000381	ADIR016122	AAEL008574
OG0000381	ADIR016121	AAEL000735
OG0000382	ADIR011633	AAEL000797
OG0000382	ADIR011634	AAEL000834
OG0000383	ADIR009909	AAEL000810
OG0000383	ADIR009553	AAEL019951
OG0000384	ADIR011575, ADIR011584, ADIR011574	AAEL000910
OG0000386	ADIR007470	AAEL007218
OG0000387	ADIR001678	AAEL001769
OG0000387	ADIR006893	AAEL002083
OG0000388	ADIR010377, ADIR010378, ADIR010640	AAEL027351, AAEL003190, AAEL020406
OG0000389	ADIR003638	AAEL003708
OG0000390	ADIR009143	AAEL009682, AAEL008411, AAEL023723, AAEL004505, AAEL010959, AAEL010957
OG0000391	ADIR006703	AAEL005160
OG0000391	ADIR000463	AAEL006372
OG0000392	ADIR015588, ADIR015589, ADIR015587	AAEL005725
OG0000393	ADIR008379	AAEL005918
OG0000393	ADIR008380	AAEL025460
OG0000394	ADIR009815	AAEL006264
OG0000395	ADIR004795	AAEL006675
OG0000395	ADIR000918	AAEL010567
OG0000396	ADIR006188	AAEL006978
OG0000396	ADIR006187	AAEL022582, AAEL026610
OG0000397	ADIR005187	AAEL008672
OG0000397	ADIR002696	AAEL008138
OG0000398	ADIR008789	AAEL008295, AAEL008294, AAEL008288, AAEL008284
OG0000399	ADIR001694	AAEL008784
OG0000399	ADIR007577	AAEL008782, AAEL008767
OG0000400	ADIR003792	AAEL023342
OG0000400	ADIR003582	AAEL009218
OG0000401	ADIR003313	AAEL019824
OG0000401	ADIR001782	AAEL009275
OG0000402	ADIR004118, ADIR007659, ADIR007661	AAEL009769, AAEL009767
OG0000403	ADIR001185	AAEL011204
OG0000403	ADIR008736	AAEL014297
OG0000404	ADIR000386	AAEL012131, AAEL012128
OG0000405	ADIR016033, ADIR016035	AAEL023643, AAEL012560, AAEL012558
OG0000406	ADIR010242, ADIR002392, ADIR002343	AAEL012839
