Orthogroup	AdirusWRAIR2	AminimusMINIMUS1
OG0000048	ADIR014671, ADIR016188, ADIR007974, ADIR016182, ADIR016183, ADIR016186, ADIR016187, ADIR016181, ADIR016189	AMIN011325
OG0000049	ADIR016124	AMIN015888
OG0000049	ADIR016125	AMIN015886
OG0000049	ADIR016128	AMIN015889
OG0000049	ADIR015765	AMIN015891
OG0000049	ADIR016123	AMIN015890
OG0000050	ADIR005587	AMIN001582
OG0000050	ADIR011737	AMIN000977
OG0000051	ADIR009276	AMIN014521
OG0000053	ADIR009846, ADIR011408	AMIN009403
OG0000053	ADIR009845	AMIN009402
OG0000055	ADIR003019	AMIN002458
OG0000057	ADIR009281, ADIR014808	AMIN006625, AMIN006626
OG0000057	ADIR009282	AMIN014522
OG0000058	ADIR006057	AMIN001846
OG0000058	ADIR011421	AMIN009389
OG0000059	ADIR001566	AMIN016229
OG0000059	ADIR001568	AMIN016293
OG0000059	ADIR003672, ADIR003674	AMIN010123
OG0000060	ADIR014810	AMIN006627
OG0000061	ADIR009531	AMIN006938
OG0000061	ADIR007445	AMIN007997
OG0000061	ADIR015570, ADIR015571	AMIN004599
OG0000063	ADIR010309	AMIN002564
OG0000063	ADIR008969	AMIN003060
OG0000064	ADIR004674	AMIN001329
OG0000064	ADIR005809	AMIN003132
OG0000064	ADIR004675	AMIN001330
OG0000064	ADIR004673	AMIN001328
OG0000067	ADIR001930	AMIN015537
OG0000067	ADIR000539	AMIN015982
OG0000067	ADIR000540	AMIN008926
OG0000068	ADIR007460	AMIN010935
OG0000069	ADIR003464	AMIN003229
OG0000069	ADIR007962	AMIN010636
OG0000069	ADIR007262	AMIN016115
OG0000069	ADIR003511	AMIN003907
OG0000071	ADIR001093	AMIN005052
OG0000071	ADIR002693	AMIN000434
OG0000071	ADIR011119	AMIN005942
OG0000071	ADIR011120	AMIN005941
OG0000071	ADIR011116	AMIN005945
OG0000072	ADIR001900	AMIN008641
OG0000072	ADIR003546	AMIN000778
OG0000072	ADIR008039	AMIN011262
OG0000073	ADIR010953	AMIN006336
OG0000074	ADIR003702	AMIN007419
OG0000074	ADIR007318	AMIN010517
OG0000075	ADIR008602, ADIR008603	AMIN009972
OG0000075	ADIR008604	AMIN009973
OG0000076	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068	AMIN007057, AMIN006792, AMIN006791, AMIN008359
OG0000076	ADIR002334	AMIN004343
OG0000077	ADIR007690	AMIN015955, AMIN015952
OG0000078	ADIR003319	AMIN007269, AMIN006481
OG0000078	ADIR005222	AMIN001208
OG0000078	ADIR014322	AMIN007270
OG0000079	ADIR010062	AMIN015621, AMIN016252
OG0000080	ADIR007435	AMIN007961, AMIN007987
OG0000080	ADIR007208	AMIN010419
OG0000080	ADIR000033	AMIN008322
OG0000081	ADIR007942	AMIN010657
OG0000081	ADIR007940	AMIN010659
OG0000081	ADIR007943	AMIN010656
OG0000082	ADIR000069, ADIR000071	AMIN008360
OG0000082	ADIR000093	AMIN008381
OG0000084	ADIR002096, ADIR002174, ADIR003070, ADIR003069	AMIN000484
OG0000085	ADIR015828	AMIN015862
OG0000085	ADIR015824	AMIN015860
OG0000085	ADIR015826	AMIN015861
OG0000085	ADIR015825, ADIR015827	AMIN015859, AMIN015863
OG0000085	ADIR015829	AMIN015858
OG0000086	ADIR009203	AMIN008148
OG0000086	ADIR003037	AMIN000451
OG0000086	ADIR006613	AMIN002615
OG0000088	ADIR000163	AMIN008863
OG0000088	ADIR000290	AMIN009049
OG0000088	ADIR000294	AMIN009053
OG0000089	ADIR009554	AMIN006914
OG0000090	ADIR015919	AMIN010523
OG0000090	ADIR007285	AMIN010488
OG0000091	ADIR006521	AMIN002875
OG0000093	ADIR015594, ADIR007529	AMIN007523
OG0000093	ADIR003861	AMIN007575
OG0000093	ADIR014323	AMIN014793
OG0000096	ADIR000343	AMIN009310
OG0000096	ADIR010758	AMIN014712
OG0000096	ADIR009091	AMIN010757
OG0000096	ADIR000344	AMIN001255
OG0000097	ADIR010274	AMIN003984
OG0000097	ADIR010273	AMIN003985
OG0000098	ADIR015893	AMIN009752
OG0000103	ADIR014328	AMIN006800
OG0000104	ADIR010870, ADIR010871, ADIR010869	AMIN001011
OG0000105	ADIR000198	AMIN004525, AMIN004526, AMIN004527, AMIN004524, AMIN004517, AMIN004457
OG0000108	ADIR004058	AMIN001146
OG0000109	ADIR007689	AMIN007943
OG0000109	ADIR009055	AMIN000020
OG0000111	ADIR000646, ADIR000644	AMIN005870
OG0000114	ADIR000643	AMIN005869
OG0000115	ADIR007384	AMIN007799
OG0000115	ADIR007383	AMIN007798
OG0000116	ADIR005173	AMIN009560
OG0000119	ADIR007783	AMIN011174
OG0000119	ADIR007782	AMIN011175
OG0000120	ADIR015976	AMIN015839
OG0000120	ADIR015969	AMIN015840
OG0000120	ADIR015967	AMIN015843
OG0000120	ADIR004301	AMIN007643
OG0000123	ADIR004735	AMIN001061, AMIN001063
OG0000123	ADIR005940	AMIN007117
OG0000124	ADIR007238	AMIN010446
OG0000124	ADIR007249	AMIN010457
OG0000124	ADIR007237, ADIR007235	AMIN010445
OG0000127	ADIR002706	AMIN000423
OG0000128	ADIR005627	AMIN009297
OG0000128	ADIR016172	AMIN016286
OG0000128	ADIR016170	AMIN016287
OG0000130	ADIR003050	AMIN000464
OG0000130	ADIR011726, ADIR011435	AMIN009807
OG0000131	ADIR011339	AMIN009593
OG0000132	ADIR009202	AMIN008146, AMIN008145
OG0000132	ADIR010804	AMIN009203
OG0000133	ADIR000444	AMIN006896
OG0000133	ADIR000139	AMIN008836
OG0000133	ADIR000140	AMIN008837
OG0000134	ADIR003660	AMIN010110
OG0000134	ADIR003658	AMIN010108
OG0000135	ADIR011399	AMIN009411
OG0000135	ADIR005919	AMIN007092
OG0000135	ADIR000262	AMIN009027
OG0000135	ADIR005920	AMIN007093
OG0000136	ADIR000092, ADIR000087	AMIN008377
OG0000136	ADIR006020	AMIN001881
OG0000141	ADIR007903	AMIN011058
OG0000142	ADIR008287	AMIN003855
OG0000142	ADIR008294	AMIN000952
OG0000142	ADIR003290	AMIN003784
OG0000143	ADIR004529	AMIN002682
OG0000146	ADIR015797	AMIN000516
OG0000147	ADIR011038	AMIN016134, AMIN016136
OG0000148	ADIR005101	AMIN009495
OG0000149	ADIR007907	AMIN011053
OG0000149	ADIR007908	AMIN016042
OG0000150	ADIR008060	AMIN011243
OG0000152	ADIR015582	AMIN007972
OG0000152	ADIR008753	AMIN009947
OG0000154	ADIR006364	AMIN006064
OG0000155	ADIR005418	AMIN015664, AMIN015665
OG0000157	ADIR006810	AMIN001668
OG0000158	ADIR000280	AMIN006604
OG0000159	ADIR002318, ADIR014218	AMIN015672
OG0000159	ADIR002317, ADIR002312, ADIR002313, ADIR002314, ADIR002352, ADIR002315	AMIN015680
OG0000159	ADIR002316	AMIN015679, AMIN015678
OG0000160	ADIR003566	AMIN007249, AMIN006471, AMIN007271, AMIN003417, AMIN010021
OG0000161	ADIR003591	AMIN010046
OG0000162	ADIR000480	AMIN006857
OG0000162	ADIR000482	AMIN006855
OG0000163	ADIR015554, ADIR015557, ADIR015556	AMIN001822
OG0000164	ADIR004411	AMIN004931
OG0000164	ADIR004413	AMIN004928
OG0000165	ADIR001509	AMIN005409
OG0000165	ADIR005706	AMIN004970
OG0000166	ADIR008138	AMIN007525
OG0000171	ADIR002126	AMIN004244
OG0000172	ADIR000138	AMIN008835
OG0000172	ADIR000141	AMIN008838
OG0000172	ADIR000131	AMIN008827
OG0000173	ADIR011553	AMIN007048
OG0000173	ADIR011554	AMIN007047
OG0000174	ADIR003663	AMIN010113
OG0000174	ADIR000944	AMIN005847
OG0000174	ADIR015737	AMIN015909
OG0000176	ADIR005586, ADIR005791	AMIN014572
OG0000181	ADIR008823	AMIN009918
OG0000181	ADIR008822	AMIN009916, AMIN009915
OG0000182	ADIR005388	AMIN004725
OG0000182	ADIR016062	AMIN016128
OG0000182	ADIR016059	AMIN016130
OG0000183	ADIR006377	AMIN002688
OG0000183	ADIR005819	AMIN003141
OG0000184	ADIR006005	AMIN001894
OG0000184	ADIR015591	AMIN015554, AMIN001896
OG0000184	ADIR015590	AMIN015555
OG0000185	ADIR000196	AMIN008694
OG0000185	ADIR016097	AMIN011065
OG0000187	ADIR002758	AMIN000726
OG0000188	ADIR009257, ADIR009256	AMIN011638
OG0000189	ADIR005379	AMIN004715
OG0000189	ADIR010508	AMIN003400
OG0000190	ADIR005000, ADIR011475	AMIN009845
OG0000190	ADIR011077	AMIN005982
OG0000190	ADIR004999	AMIN001539
OG0000191	ADIR007485, ADIR014641	AMIN010963, AMIN010962, AMIN010961
OG0000192	ADIR010909	AMIN009154
OG0000192	ADIR005792	AMIN003113
OG0000192	ADIR000914	AMIN016221
OG0000193	ADIR005330	AMIN005247, AMIN005248, AMIN015557, AMIN005246, AMIN001550
OG0000194	ADIR005946	AMIN001917
OG0000196	ADIR010880	AMIN001000
OG0000200	ADIR000096	AMIN008384
OG0000200	ADIR000097	AMIN008385
OG0000200	ADIR006692	AMIN004606
OG0000201	ADIR004196	AMIN011329
OG0000202	ADIR001167	AMIN005702
OG0000202	ADIR003924	AMIN005629
OG0000204	ADIR016103, ADIR015857	AMIN015947
OG0000204	ADIR015855	AMIN015946
OG0000204	ADIR015856	AMIN015945
OG0000206	ADIR000696	AMIN009119
OG0000207	ADIR016010	AMIN016067
OG0000207	ADIR016011	AMIN016068
OG0000208	ADIR001797	AMIN008403
OG0000208	ADIR001798	AMIN008402
OG0000210	ADIR000241	AMIN008980
OG0000216	ADIR006331	AMIN006105
OG0000217	ADIR010726	AMIN000805
OG0000217	ADIR005194	AMIN001961
OG0000218	ADIR011222	AMIN006218
OG0000218	ADIR011219	AMIN006220
OG0000219	ADIR001531	AMIN001093
OG0000220	ADIR006414	AMIN002726
OG0000221	ADIR011011	AMIN006274
OG0000221	ADIR003610	AMIN010066
OG0000222	ADIR000671	AMIN001686
OG0000222	ADIR004052	AMIN001152
OG0000223	ADIR010046	AMIN002292
OG0000224	ADIR008980, ADIR008979	AMIN003074, AMIN003071
OG0000225	ADIR016028, ADIR016027	AMIN003771
OG0000226	ADIR006405	AMIN002722
OG0000226	ADIR006404	AMIN002715
OG0000228	ADIR007268, ADIR007267, ADIR006114	AMIN008194, AMIN010472
OG0000228	ADIR007266	AMIN010471
OG0000229	ADIR002810	AMIN000391
OG0000229	ADIR005804	AMIN003127
OG0000229	ADIR005315	AMIN003317
OG0000230	ADIR006854	AMIN009075, AMIN009077
OG0000231	ADIR007453	AMIN010930
OG0000231	ADIR007454	AMIN010931
OG0000232	ADIR016139	AMIN010173, AMIN010175, AMIN016211
OG0000232	ADIR016138	AMIN016210
OG0000233	ADIR010041	AMIN002286
OG0000234	ADIR000732	AMIN006393
OG0000234	ADIR000742	AMIN006400
OG0000234	ADIR000738	AMIN006394
OG0000236	ADIR010024	AMIN002269, AMIN002270
OG0000236	ADIR000559	AMIN008944
OG0000237	ADIR015947	AMIN000894
OG0000244	ADIR005063	AMIN009457
OG0000244	ADIR005071	AMIN009466
OG0000245	ADIR002600	AMIN000228
OG0000247	ADIR007929	AMIN010670
OG0000247	ADIR007928	AMIN010671
OG0000247	ADIR007931	AMIN010668
OG0000248	ADIR015997	AMIN016193
OG0000248	ADIR015996	AMIN016192
OG0000249	ADIR001663	AMIN011428
OG0000250	ADIR015774	AMIN003364
OG0000251	ADIR002011	AMIN004378
OG0000252	ADIR001823	AMIN008785
OG0000253	ADIR010453, ADIR010451, ADIR010452	AMIN003457
OG0000254	ADIR005871	AMIN000082
OG0000254	ADIR008307	AMIN000940
OG0000255	ADIR008975	AMIN016175
OG0000256	ADIR003548	AMIN000774
OG0000256	ADIR003547	AMIN000776, AMIN000777
OG0000257	ADIR004880	AMIN001432, AMIN001434
OG0000260	ADIR015803	AMIN003553
OG0000265	ADIR008235	AMIN010596
OG0000265	ADIR008228	AMIN010587
OG0000265	ADIR001201	AMIN005808
OG0000266	ADIR006770	AMIN001628
OG0000266	ADIR000724	AMIN006383
OG0000266	ADIR000723	AMIN006382
OG0000268	ADIR005898	AMIN007059
OG0000268	ADIR005897	AMIN007060
OG0000268	ADIR005896	AMIN007061
OG0000269	ADIR016218	AMIN016284
OG0000270	ADIR001672	AMIN011416
OG0000270	ADIR001921	AMIN008623, AMIN015971
OG0000272	ADIR001852	AMIN008763
OG0000272	ADIR009159	AMIN008100
OG0000273	ADIR009959	AMIN015824
OG0000274	ADIR009412	AMIN006742
OG0000276	ADIR002281	AMIN008276
OG0000277	ADIR002721	AMIN000409
OG0000278	ADIR001634	AMIN011462
OG0000278	ADIR001650, ADIR001649	AMIN011446
OG0000278	ADIR001631	AMIN011465
OG0000279	ADIR000638	AMIN014755
OG0000280	ADIR004761	AMIN006822
OG0000280	ADIR004760	AMIN006823
OG0000280	ADIR004759	AMIN006824
OG0000285	ADIR002894	AMIN002977
OG0000285	ADIR015838	AMIN015604
OG0000285	ADIR015839	AMIN015606
OG0000286	ADIR005642	AMIN001250
OG0000287	ADIR015574, ADIR015569, ADIR015568	AMIN015655, AMIN015654, AMIN015652, AMIN015653
OG0000288	ADIR006111, ADIR015495	AMIN001788
OG0000289	ADIR016116	AMIN009186
OG0000290	ADIR002288	AMIN015559
OG0000290	ADIR002287	AMIN008540
OG0000291	ADIR007609	AMIN007862
OG0000291	ADIR015675	AMIN008053, AMIN008052
OG0000292	ADIR009319	AMIN006672
OG0000292	ADIR009317	AMIN006670
OG0000293	ADIR000907	AMIN005398
OG0000294	ADIR002675, ADIR002676, ADIR001029	AMIN005760
OG0000294	ADIR005219	AMIN005761
OG0000295	ADIR016166, ADIR016165, ADIR016167	AMIN008699
OG0000295	ADIR016169	AMIN016301
OG0000295	ADIR016168	AMIN016300
OG0000296	ADIR000603	AMIN006011
OG0000297	ADIR015723	AMIN015904
OG0000297	ADIR015724	AMIN015903
OG0000299	ADIR010341	AMIN002531
OG0000299	ADIR002354	AMIN008559
OG0000300	ADIR003683	AMIN010132
OG0000302	ADIR016215	AMIN016306
OG0000302	ADIR008218	AMIN010574
OG0000303	ADIR005584	AMIN000130
OG0000303	ADIR005583	AMIN000132
OG0000303	ADIR004582	AMIN004553
OG0000304	ADIR010873	AMIN001010
OG0000305	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834	AMIN007189
OG0000306	ADIR010982	AMIN006304
OG0000306	ADIR010984	AMIN006305
OG0000313	ADIR000645	AMIN009818
OG0000314	ADIR011445	AMIN009817
OG0000317	ADIR008367	AMIN004815
OG0000318	ADIR006689	AMIN007124, AMIN007158
OG0000318	ADIR007089	AMIN007122
OG0000319	ADIR004939	AMIN001372
OG0000319	ADIR007826	AMIN011132
OG0000321	ADIR015863	AMIN015801
OG0000321	ADIR015862	AMIN015802
OG0000321	ADIR011556	AMIN007046
OG0000324	ADIR010906	AMIN009157
OG0000324	ADIR010907	AMIN009156
OG0000325	ADIR006976	AMIN010396
OG0000326	ADIR005565	AMIN004016
OG0000326	ADIR003427	AMIN003195
OG0000326	ADIR003426	AMIN003194
OG0000327	ADIR004793	AMIN006782
OG0000328	ADIR001956	AMIN008593
OG0000328	ADIR001957	AMIN008592
OG0000329	ADIR006061, ADIR003916	AMIN001843
OG0000329	ADIR006062	AMIN001842
OG0000330	ADIR001248	AMIN005465
OG0000331	ADIR009969	AMIN015827
OG0000332	ADIR010199	AMIN003653
OG0000332	ADIR010356	AMIN003550
OG0000332	ADIR010198	AMIN003652
OG0000333	ADIR003780	AMIN010619
OG0000334	ADIR004979	AMIN001560
OG0000336	ADIR004184	AMIN011337
OG0000340	ADIR001281, ADIR001282	AMIN005724, AMIN005725
OG0000340	ADIR001283	AMIN005726
OG0000341	ADIR011233	AMIN006203
OG0000344	ADIR008368	AMIN004814
OG0000344	ADIR001581	AMIN007367
OG0000345	ADIR000883	AMIN005741
OG0000346	ADIR002727	AMIN002478
OG0000347	ADIR011568	AMIN007036
OG0000348	ADIR005623	AMIN009292
OG0000349	ADIR008567	AMIN010714
OG0000349	ADIR008566	AMIN015612
OG0000351	ADIR000179	AMIN008878
OG0000352	ADIR005371, ADIR004606	AMIN004703
OG0000353	ADIR007451	AMIN010928
OG0000354	ADIR002946	AMIN003843
OG0000354	ADIR010471	AMIN003437
OG0000355	ADIR006415	AMIN002728, AMIN006601
OG0000356	ADIR009183	AMIN008127
OG0000357	ADIR010483	AMIN003425
OG0000357	ADIR010481	AMIN003427
OG0000357	ADIR010482	AMIN003426
OG0000359	ADIR008488	AMIN004153
OG0000360	ADIR001997	AMIN004393
OG0000361	ADIR002964	AMIN000969
OG0000362	ADIR015887	AMIN016016
OG0000362	ADIR015885	AMIN016013
OG0000363	ADIR015547	AMIN011090
OG0000364	ADIR016198	AMIN011281
OG0000365	ADIR004665	AMIN001318
OG0000366	ADIR010711	AMIN003044
OG0000367	ADIR003716	AMIN007407
OG0000368	ADIR004446	AMIN004899
OG0000369	ADIR010892	AMIN000991
OG0000369	ADIR010893	AMIN000990
OG0000369	ADIR010887	AMIN000995
OG0000370	ADIR000577	AMIN001702
OG0000370	ADIR010058	AMIN015641
OG0000371	ADIR007433	AMIN007985
OG0000371	ADIR007434	AMIN007986
OG0000371	ADIR007436	AMIN007988
OG0000372	ADIR015735	AMIN005843
OG0000376	ADIR006762, ADIR004461, ADIR001984	AMIN009878
OG0000376	ADIR008524	AMIN000001, AMIN001079, AMIN004547, AMIN006662
OG0000378	ADIR007869, ADIR007846, ADIR007847, ADIR015931, ADIR007858	AMIN011133, AMIN016045, AMIN016047
OG0000380	ADIR015576	AMIN015545
OG0000380	ADIR015577	AMIN015546
OG0000381	ADIR016122	AMIN016125
OG0000381	ADIR016121	AMIN016124
OG0000382	ADIR011633	AMIN006598
OG0000382	ADIR011634	AMIN006597
OG0000383	ADIR009909	AMIN003564
OG0000383	ADIR009553	AMIN006915
OG0000384	ADIR011575, ADIR011584	AMIN007027
OG0000384	ADIR011574	AMIN007028
OG0000386	ADIR007470	AMIN010945
OG0000387	ADIR001678	AMIN011411
OG0000387	ADIR006893	AMIN010181
OG0000388	ADIR010377	AMIN003526
OG0000388	ADIR010378	AMIN003525
OG0000389	ADIR003638	AMIN010092
OG0000391	ADIR006703	AMIN004615
OG0000391	ADIR000463	AMIN006874
OG0000392	ADIR015588	AMIN016121
OG0000392	ADIR015589	AMIN016119
OG0000392	ADIR015587	AMIN016120
OG0000393	ADIR008379	AMIN000709
OG0000393	ADIR008380	AMIN000710
OG0000394	ADIR009815	AMIN015659
OG0000395	ADIR004795	AMIN006779
OG0000395	ADIR000918	AMIN005116
OG0000396	ADIR006188	AMIN009642
OG0000396	ADIR006187	AMIN009640, AMIN009641
OG0000397	ADIR005187	AMIN009574
OG0000397	ADIR002696	AMIN000431
OG0000398	ADIR008789	AMIN015525, AMIN010788
OG0000399	ADIR001694	AMIN011393
OG0000399	ADIR007577	AMIN007830
OG0000400	ADIR003792	AMIN007277
OG0000400	ADIR003582	AMIN010038
OG0000401	ADIR003313	AMIN003805
OG0000401	ADIR001782	AMIN008417
OG0000402	ADIR004118	AMIN005358
OG0000402	ADIR007659, ADIR007661	AMIN007892
OG0000403	ADIR001185	AMIN005734
OG0000403	ADIR008736	AMIN015648
OG0000404	ADIR000386	AMIN001303, AMIN001304
OG0000405	ADIR016033	AMIN016076
OG0000405	ADIR016035	AMIN016073
OG0000406	ADIR010242	AMIN003952
OG0000406	ADIR002392	AMIN003382
OG0000406	ADIR002343	AMIN008549
OG0000407	ADIR002282	AMIN008277
OG0000407	ADIR009590	AMIN009328
OG0000408	ADIR001544	AMIN007332
OG0000409	ADIR004706	AMIN001360
OG0000409	ADIR004703	AMIN001358
OG0000409	ADIR004705	AMIN001359
OG0000410	ADIR002540	AMIN002933
OG0000412	ADIR002366	AMIN005383
OG0000412	ADIR002365	AMIN005384
OG0000413	ADIR015533	AMIN010118
OG0000413	ADIR015532	AMIN010119
OG0000414	ADIR014057	AMIN005894
OG0000416	ADIR007938	AMIN010661
OG0000416	ADIR007755	AMIN011205
OG0000417	ADIR010431	AMIN003479
OG0000417	ADIR005728	AMIN004992
OG0000419	ADIR005779, ADIR005760	AMIN005868
OG0000421	ADIR016222, ADIR016219, ADIR016220, ADIR016221	AMIN003299
OG0000422	ADIR005282	AMIN005879
OG0000424	ADIR001410	AMIN005584
OG0000425	ADIR005624, ADIR005622	AMIN009294
OG0000428	ADIR015548	AMIN015596
OG0000428	ADIR015549	AMIN015597
OG0000430	ADIR009309	AMIN015929
OG0000430	ADIR003911	AMIN006466
OG0000431	ADIR003217	AMIN002817
OG0000432	ADIR009396	AMIN006725
OG0000432	ADIR004972	AMIN001567
OG0000433	ADIR003006	AMIN002730
OG0000433	ADIR003007	AMIN002729
OG0000434	ADIR015930, ADIR015929	AMIN008047
OG0000435	ADIR010798	AMIN009195
OG0000437	ADIR005813, ADIR005815	AMIN003136
OG0000438	ADIR005817	AMIN003139
OG0000438	ADIR005814	AMIN003137
OG0000439	ADIR010992	AMIN006296
OG0000440	ADIR003328	AMIN004661
OG0000440	ADIR003327	AMIN004662
OG0000441	ADIR007412	AMIN007959
OG0000441	ADIR000981	AMIN002140
OG0000442	ADIR004523	AMIN009238
OG0000442	ADIR004522	AMIN009239
OG0000442	ADIR004521	AMIN009240
OG0000443	ADIR005386	AMIN004723
OG0000443	ADIR007351	AMIN007767
OG0000445	ADIR000224	AMIN008997
OG0000446	ADIR007631, ADIR007632	AMIN007883
OG0000447	ADIR006355	AMIN015485
OG0000447	ADIR016048	AMIN015486
OG0000448	ADIR007075	AMIN010314
OG0000448	ADIR002786	AMIN000368
OG0000449	ADIR001435	AMIN005171
OG0000449	ADIR011623	AMIN006588
OG0000450	ADIR006287	AMIN009737
OG0000451	ADIR001343	AMIN002070
OG0000451	ADIR001344	AMIN002072
OG0000452	ADIR003211	AMIN015851
OG0000453	ADIR002048	AMIN008351
OG0000453	ADIR009313	AMIN006656
OG0000454	ADIR006123	AMIN001771
OG0000455	ADIR003615	AMIN010071
OG0000455	ADIR001796	AMIN008404
OG0000456	ADIR011403	AMIN009407
OG0000456	ADIR008105	AMIN010925
OG0000457	ADIR010440	AMIN003469
OG0000457	ADIR010441	AMIN003467
OG0000458	ADIR000582	AMIN001697
OG0000458	ADIR000585	AMIN001694
OG0000458	ADIR000586	AMIN001693
OG0000459	ADIR010100	AMIN002343
OG0000460	ADIR010287	AMIN004000
OG0000460	ADIR010285	AMIN003998
OG0000461	ADIR001398	AMIN005596, AMIN005597
OG0000462	ADIR000055	AMIN008302
OG0000462	ADIR000056	AMIN008300
OG0000463	ADIR009788	AMIN014125
OG0000464	ADIR006989	AMIN010382
OG0000465	ADIR009087	AMIN000102
OG0000465	ADIR001140	AMIN005739
OG0000466	ADIR001786	AMIN008413
OG0000466	ADIR000450	AMIN006890
OG0000471	ADIR005291	AMIN004399
