Orthogroup	AdirusWRAIR2	AsinensisChina
OG0000016	ADIR009355	ASIC002621
OG0000018	ADIR010827, ADIR008559, ADIR005691, ADIR007658, ADIR007530, ADIR010830, ADIR011706, ADIR011724, ADIR011745, ADIR010868, ADIR009844, ADIR002364, ADIR006748	ASIC015096
OG0000020	ADIR001887, ADIR009509, ADIR009511, ADIR014827, ADIR009513, ADIR009514, ADIR009508, ADIR001888, ADIR009510, ADIR009512	ASIC010160
OG0000021	ADIR003865	ASIC012218
OG0000021	ADIR001186	ASIC007587
OG0000021	ADIR002970	ASIC010309
OG0000021	ADIR010427	ASIC015692
OG0000021	ADIR015616	ASIC010311
OG0000021	ADIR015615, ADIR015614, ADIR002969	ASIC010313
OG0000023	ADIR006953	ASIC003003
OG0000023	ADIR004298	ASIC013720, ASIC013724, ASIC013722, ASIC000075, ASIC013721
OG0000023	ADIR007551, ADIR007550	ASIC019569, ASIC002406
OG0000024	ADIR006878	ASIC018921
OG0000024	ADIR006877	ASIC018920
OG0000024	ADIR015850	ASIC018905
OG0000026	ADIR015755	ASIC016558
OG0000026	ADIR015752	ASIC016557
OG0000026	ADIR015756, ADIR015753	ASIC016559
OG0000026	ADIR015757, ADIR015758, ADIR015759	ASIC016561
OG0000026	ADIR015754	ASIC016560
OG0000026	ADIR006960	ASIC016118
OG0000026	ADIR003488	ASIC014095
OG0000033	ADIR016018	ASIC009220
OG0000033	ADIR016020, ADIR002841, ADIR016023	ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221
OG0000033	ADIR016024, ADIR016022	ASIC009222
OG0000034	ADIR008767	ASIC012442, ASIC012440
OG0000034	ADIR004404	ASIC021981
OG0000035	ADIR014329	ASIC012439
OG0000037	ADIR003228, ADIR003227	ASIC013351, ASIC013352, ASIC013353
OG0000037	ADIR010210	ASIC022219
OG0000037	ADIR010203, ADIR010204	ASIC014023
OG0000039	ADIR015925	ASIC002581
OG0000039	ADIR015923	ASIC000445
OG0000039	ADIR008758	ASIC012458
OG0000039	ADIR007693	ASIC010050
OG0000039	ADIR015924, ADIR015928, ADIR015927, ADIR007692, ADIR015926	ASIC010664
OG0000040	ADIR015539	ASIC015489
OG0000040	ADIR015541	ASIC015488
OG0000040	ADIR015540	ASIC015490
OG0000040	ADIR006103, ADIR015562, ADIR006102	ASIC006427, ASIC006438
OG0000041	ADIR001834	ASIC005063
OG0000041	ADIR001833	ASIC005062
OG0000041	ADIR001835	ASIC005064
OG0000041	ADIR003420	ASIC005684
OG0000042	ADIR000587, ADIR011155	ASIC017752, ASIC017751
OG0000042	ADIR000580	ASIC017733, ASIC001192
OG0000042	ADIR004510	ASIC015606
OG0000042	ADIR000370	ASIC015360
OG0000043	ADIR005615	ASIC004837, ASIC002620, ASIC014455
OG0000043	ADIR014831, ADIR014832, ADIR014998, ADIR014553, ADIR014213, ADIR014481, ADIR014482, ADIR000018, ADIR011538, ADIR014178, ADIR005614, ADIR014148	ASIC017851, ASIC017852
OG0000046	ADIR003197	ASIC009812
OG0000048	ADIR016186	ASIC019015, ASIC019014
OG0000048	ADIR016187, ADIR016181, ADIR016189	ASIC019017, ASIC019018
OG0000049	ADIR016124	ASIC018403, ASIC018371, ASIC018370
OG0000049	ADIR016128	ASIC018401, ASIC018400
OG0000049	ADIR015764, ADIR015763	ASIC001190
OG0000049	ADIR015765	ASIC017764
OG0000049	ADIR016123	ASIC018404
OG0000051	ADIR009276	ASIC010148
OG0000053	ADIR009846, ADIR011408	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705
OG0000053	ADIR011407, ADIR009847	ASIC020710
OG0000053	ADIR009845	ASIC020703
OG0000055	ADIR003019	ASIC000721
OG0000057	ADIR009281, ADIR014808	ASIC010132, ASIC010135, ASIC010134, ASIC010137, ASIC010133
OG0000057	ADIR009282	ASIC010138
OG0000058	ADIR006057	ASIC007323
OG0000058	ADIR011421	ASIC002529
OG0000059	ADIR001566, ADIR015747, ADIR015748, ADIR015749, ADIR001568	ASIC019011, ASIC019000
OG0000059	ADIR003672, ADIR003674	ASIC019170
OG0000059	ADIR016197	ASIC016660
OG0000060	ADIR014811	ASIC010128
OG0000060	ADIR014810	ASIC010131
OG0000061	ADIR009531	ASIC015402
OG0000061	ADIR007445	ASIC016621
OG0000061	ADIR015570	ASIC008790, ASIC008789
OG0000061	ADIR015571	ASIC008791
OG0000063	ADIR010309	ASIC021538
OG0000063	ADIR008969	ASIC010842
OG0000064	ADIR004674	ASIC002653
OG0000064	ADIR005809	ASIC001146
OG0000064	ADIR004675	ASIC002656
OG0000064	ADIR004673	ASIC002652
OG0000067	ADIR000539	ASIC018220
OG0000067	ADIR000540	ASIC018219
OG0000068	ADIR007458	ASIC011681
OG0000068	ADIR007459	ASIC011682
OG0000068	ADIR007460	ASIC011687
OG0000069	ADIR003464	ASIC005652
OG0000069	ADIR007962	ASIC002404
OG0000069	ADIR007263, ADIR007262	ASIC005650
OG0000069	ADIR003511	ASIC000407
OG0000071	ADIR002693	ASIC008283
OG0000071	ADIR011119, ADIR011120, ADIR011116	ASIC013586
OG0000072	ADIR001900	ASIC019961
OG0000072	ADIR003546	ASIC012496
OG0000073	ADIR010953	ASIC014115
OG0000074	ADIR003703	ASIC016739, ASIC016738
OG0000074	ADIR003702	ASIC016736
OG0000074	ADIR003701	ASIC016735
OG0000074	ADIR007318	ASIC002864
OG0000075	ADIR008602, ADIR008603	ASIC021158, ASIC021155
OG0000075	ADIR008604	ASIC021159
OG0000076	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068, ADIR002333, ADIR002334	ASIC018187
OG0000077	ADIR007690	ASIC002588, ASIC002586
OG0000078	ADIR002699, ADIR005603, ADIR003863	ASIC022286
OG0000079	ADIR010062	ASIC011456, ASIC011455
OG0000080	ADIR007435	ASIC016602
OG0000080	ADIR007208	ASIC019812
OG0000080	ADIR000033	ASIC019334, ASIC019335
OG0000081	ADIR007942	ASIC007880
OG0000081	ADIR008727	ASIC007878, ASIC007850, ASIC007872
OG0000081	ADIR007943	ASIC007881
OG0000082	ADIR000069, ADIR000071	ASIC012751, ASIC012750, ASIC012735, ASIC012720, ASIC012721, ASIC015552, ASIC020059, ASIC017041, ASIC015969, ASIC015961, ASIC015947, ASIC015968, ASIC015948, ASIC015980, ASIC015942, ASIC012745, ASIC012746, ASIC012744, ASIC004383, ASIC004382, ASIC012729, ASIC012752, ASIC012731, ASIC004377, ASIC012726, ASIC004379, ASIC004372, ASIC004376, ASIC004368, ASIC014144
OG0000082	ADIR000093	ASIC012727, ASIC012728, ASIC012714
OG0000085	ADIR015828	ASIC009268
OG0000085	ADIR015824	ASIC004322
OG0000085	ADIR015826, ADIR015825, ADIR015827	ASIC009271, ASIC009270, ASIC009269
OG0000085	ADIR015829	ASIC009272
OG0000086	ADIR009203	ASIC009153
OG0000086	ADIR003037	ASIC008317
OG0000088	ADIR000290	ASIC008371, ASIC008372
OG0000088	ADIR000294	ASIC008376
OG0000089	ADIR009555	ASIC019476
OG0000089	ADIR009554	ASIC019432, ASIC019443, ASIC019421, ASIC019454, ASIC019465
OG0000090	ADIR007286	ASIC019694
OG0000090	ADIR007285	ASIC019695
OG0000091	ADIR006521	ASIC002279
OG0000093	ADIR002132, ADIR015594, ADIR007529, ADIR003861, ADIR014323	ASIC022154, ASIC014826
OG0000096	ADIR000343	ASIC015638
OG0000096	ADIR010758	ASIC010609
OG0000096	ADIR009091	ASIC010449
OG0000096	ADIR000344	ASIC015635
OG0000097	ADIR010274	ASIC021949
OG0000097	ADIR010273	ASIC021950
OG0000098	ADIR014792	ASIC013849
OG0000103	ADIR014328	ASIC014017
OG0000104	ADIR010870, ADIR010871, ADIR010869	ASIC017885, ASIC009066, ASIC009065
OG0000105	ADIR000198	ASIC014502, ASIC014526, ASIC014524, ASIC014525, ASIC014503
OG0000108	ADIR004058	ASIC013421, ASIC013593
OG0000109	ADIR007689	ASIC002584
OG0000109	ADIR009055	ASIC014258
OG0000111	ADIR000644	ASIC012080, ASIC006082
OG0000114	ADIR000642, ADIR000643	ASIC012081
OG0000115	ADIR007384	ASIC017431
OG0000115	ADIR007383	ASIC017432
OG0000116	ADIR006147	ASIC006402
OG0000116	ADIR005173	ASIC014540
OG0000119	ADIR007783	ASIC016830
OG0000119	ADIR007782	ASIC016832, ASIC016833
OG0000120	ADIR015976	ASIC011544
OG0000120	ADIR015969, ADIR015967	ASIC011541
OG0000120	ADIR004301	ASIC013726
OG0000123	ADIR004735	ASIC014656, ASIC014634
OG0000123	ADIR005940	ASIC020219, ASIC020215
OG0000124	ADIR007238	ASIC019768
OG0000124	ADIR007249	ASIC019753
OG0000124	ADIR007237, ADIR007235	ASIC019769, ASIC019770, ASIC019771
OG0000127	ADIR002706	ASIC008877
OG0000128	ADIR005627	ASIC015309
OG0000128	ADIR016172	ASIC015247
OG0000128	ADIR016170	ASIC015248
OG0000130	ADIR003050	ASIC008146
OG0000130	ADIR011436	ASIC012064
OG0000130	ADIR011726, ADIR011435	ASIC012065
OG0000131	ADIR011335	ASIC012145
OG0000131	ADIR011339	ASIC012034
OG0000132	ADIR009202	ASIC014946
OG0000132	ADIR010804	ASIC002822
OG0000133	ADIR000444	ASIC017840, ASIC017841
OG0000133	ADIR000139	ASIC017521
OG0000133	ADIR000140	ASIC017520
OG0000134	ADIR003659	ASIC019150
OG0000134	ADIR003660	ASIC019149
OG0000134	ADIR003658	ASIC019145
OG0000135	ADIR011399	ASIC020740, ASIC020739
OG0000135	ADIR000262	ASIC015458
OG0000135	ADIR005920	ASIC007191
OG0000136	ADIR006020	ASIC007232
OG0000141	ADIR007903	ASIC018448
OG0000142	ADIR008287	ASIC011129, ASIC010497
OG0000142	ADIR008294	ASIC004901
OG0000142	ADIR003290	ASIC014682
OG0000143	ADIR004529	ASIC008422, ASIC008424, ASIC008426
OG0000146	ADIR015797	ASIC008229
OG0000147	ADIR011038	ASIC002222
OG0000148	ADIR005101	ASIC012007
OG0000149	ADIR007907	ASIC018439
OG0000149	ADIR007908	ASIC018437
OG0000150	ADIR008060	ASIC011027
OG0000151	ADIR015810	ASIC009913, ASIC009914
OG0000152	ADIR015582, ADIR008754, ADIR006715, ADIR015581	ASIC004877
OG0000154	ADIR006364	ASIC013108, ASIC004042, ASIC013051, ASIC004041
OG0000155	ADIR005418	ASIC020577, ASIC020578
OG0000157	ADIR006810	ASIC010788
OG0000160	ADIR003566	ASIC016821
OG0000161	ADIR003591	ASIC019631
OG0000162	ADIR000480	ASIC018387
OG0000162	ADIR000482	ASIC018379
OG0000163	ADIR015554	ASIC007358
OG0000163	ADIR015557	ASIC007362
OG0000163	ADIR015556	ASIC007363, ASIC007359
OG0000164	ADIR004411	ASIC021805
OG0000164	ADIR004413	ASIC021916
OG0000165	ADIR001509	ASIC020384
OG0000165	ADIR001510	ASIC020380
OG0000165	ADIR009841	ASIC020379
OG0000165	ADIR005706	ASIC020381
OG0000166	ADIR016085	ASIC012923
OG0000166	ADIR008138	ASIC012924
OG0000166	ADIR016086	ASIC012921
OG0000171	ADIR002126	ASIC004810
OG0000172	ADIR000138	ASIC017527
OG0000172	ADIR000141	ASIC017518
OG0000172	ADIR000131	ASIC017547
OG0000173	ADIR011553	ASIC022306
OG0000173	ADIR011554	ASIC022304
OG0000174	ADIR000944	ASIC009499
OG0000174	ADIR015737	ASIC007084
OG0000181	ADIR008823	ASIC019035
OG0000181	ADIR008822	ASIC019034
OG0000182	ADIR005388	ASIC020912
OG0000182	ADIR016062	ASIC020913
OG0000183	ADIR006377, ADIR005819	ASIC011096
OG0000184	ADIR006005	ASIC007210
OG0000184	ADIR015591, ADIR015590	ASIC007209
OG0000185	ADIR000196	ASIC014499, ASIC014498
OG0000185	ADIR016097	ASIC018463, ASIC018459
OG0000187	ADIR002758	ASIC003343
OG0000188	ADIR009257, ADIR009256	ASIC009167, ASIC009163, ASIC009169, ASIC009174, ASIC009164, ASIC009173, ASIC009166, ASIC009168, ASIC009162, ASIC009160, ASIC009161
OG0000189	ADIR005379	ASIC020927
OG0000189	ADIR010508	ASIC004914
OG0000190	ADIR005000, ADIR011475	ASIC009037
OG0000190	ADIR011077	ASIC004005
OG0000191	ADIR007485, ADIR014641	ASIC011618, ASIC011619, ASIC011617
OG0000192	ADIR010909	ASIC003853
OG0000192	ADIR005792	ASIC021385
OG0000192	ADIR000914	ASIC006813
OG0000193	ADIR005330	ASIC005170, ASIC009034, ASIC004649
OG0000194	ADIR005946	ASIC007163
OG0000196	ADIR010880	ASIC009091
OG0000200	ADIR000096	ASIC004374
OG0000200	ADIR000097	ASIC004381
OG0000201	ADIR004196	ASIC018737
OG0000202	ADIR001167	ASIC006264
OG0000204	ADIR015854, ADIR016103, ADIR015857	ASIC018858, ASIC018857
OG0000204	ADIR015855	ASIC018860
OG0000205	ADIR005975	ASIC007148
OG0000206	ADIR000696	ASIC017261
OG0000207	ADIR016010	ASIC020302
OG0000207	ADIR016011	ASIC020301
OG0000208	ADIR001797	ASIC004793, ASIC004794, ASIC004795
OG0000209	ADIR001972	ASIC018130
OG0000210	ADIR000241	ASIC005087
OG0000216	ADIR006331	ASIC012609, ASIC012610, ASIC012607
OG0000217	ADIR010726	ASIC021690
OG0000217	ADIR005194	ASIC007120
OG0000218	ADIR011220	ASIC006963
OG0000218	ADIR011219	ASIC006964
OG0000219	ADIR001531	ASIC017087
OG0000220	ADIR006414	ASIC021083
OG0000221	ADIR011011	ASIC016222, ASIC016221, ASIC016220
OG0000221	ADIR003610	ASIC019669, ASIC019668
OG0000222	ADIR000671	ASIC014190
OG0000222	ADIR004052	ASIC013415
OG0000223	ADIR010046	ASIC011432
OG0000224	ADIR008980, ADIR008979	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365
OG0000225	ADIR016028, ADIR016027	ASIC021356
OG0000226	ADIR006402	ASIC020560
OG0000226	ADIR006405	ASIC020556
OG0000228	ADIR007268, ADIR007267, ADIR006114	ASIC019718
OG0000228	ADIR007266	ASIC019719, ASIC019722, ASIC019723
OG0000229	ADIR005804	ASIC021403
OG0000229	ADIR005315	ASIC004678
OG0000230	ADIR006854	ASIC005288
OG0000231	ADIR007453	ASIC011666
OG0000231	ADIR007454	ASIC011669
OG0000232	ADIR006899, ADIR016139	ASIC012966
OG0000232	ADIR016138	ASIC012965
OG0000233	ADIR010041	ASIC011408
OG0000234	ADIR000738	ASIC020664
OG0000235	ADIR002045	ASIC017168, ASIC009033
OG0000236	ADIR010024	ASIC011385
OG0000236	ADIR000559	ASIC008198
OG0000237	ADIR015947	ASIC003194
OG0000244	ADIR005063	ASIC022012
OG0000244	ADIR005071	ASIC022140
OG0000245	ADIR002600	ASIC005515, ASIC005518
OG0000247	ADIR007929	ASIC016691
OG0000247	ADIR007928	ASIC016692
OG0000247	ADIR007931	ASIC019252
OG0000249	ADIR001663	ASIC016050
OG0000250	ADIR015773	ASIC004082
OG0000250	ADIR015774	ASIC004081
OG0000252	ADIR001823	ASIC005046
OG0000252	ADIR014170, ADIR014169	ASIC005048
OG0000253	ADIR010453, ADIR010451, ADIR010452	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662
OG0000254	ADIR008307	ASIC005504
OG0000255	ADIR008975	ASIC020208, ASIC020207
OG0000256	ADIR003548	ASIC012493, ASIC012494
OG0000256	ADIR003547	ASIC012495
OG0000257	ADIR004880	ASIC005738
OG0000260	ADIR015800	ASIC010061
OG0000260	ADIR015801, ADIR015802	ASIC010060
OG0000260	ADIR015799	ASIC010059
OG0000260	ADIR015803	ASIC010058
OG0000265	ADIR008235, ADIR008228	ASIC007840
OG0000266	ADIR006770	ASIC010738
OG0000266	ADIR000724	ASIC004862
OG0000266	ADIR000723	ASIC004863
OG0000268	ADIR005898	ASIC007410
OG0000268	ADIR005897	ASIC007406
OG0000268	ADIR005896	ASIC007405
OG0000269	ADIR016218	ASIC006168
OG0000270	ADIR001672, ADIR001921	ASIC018039
OG0000272	ADIR001841, ADIR001852	ASIC015539
OG0000272	ADIR009159	ASIC011268
OG0000273	ADIR009959	ASIC011513
OG0000274	ADIR009412	ASIC019686
OG0000275	ADIR010509	ASIC014691, ASIC014690, ASIC014692
OG0000276	ADIR002281	ASIC017971
OG0000277	ADIR002721	ASIC008290, ASIC008301
OG0000278	ADIR001634, ADIR001650, ADIR001649	ASIC016444
OG0000278	ADIR001631	ASIC016562
OG0000279	ADIR000638, ADIR000639	ASIC012105
OG0000280	ADIR004761	ASIC014626
OG0000280	ADIR004760	ASIC014625
OG0000280	ADIR004759	ASIC014624
OG0000285	ADIR002894	ASIC005534
OG0000285	ADIR015838	ASIC005544
OG0000285	ADIR015839	ASIC005545
OG0000286	ADIR005642	ASIC015277, ASIC015276
OG0000287	ADIR015574, ADIR015569, ADIR015568	ASIC022020, ASIC022019
OG0000288	ADIR006111	ASIC006693
OG0000288	ADIR015495	ASIC006682
OG0000289	ADIR016116	ASIC007910
OG0000289	ADIR016115	ASIC007909
OG0000290	ADIR002288	ASIC015220
OG0000290	ADIR002287	ASIC015219
OG0000291	ADIR007609	ASIC019903
OG0000291	ADIR015675	ASIC018745, ASIC018743
OG0000292	ADIR009319	ASIC012870
OG0000292	ADIR009317	ASIC012872
OG0000293	ADIR000907	ASIC020292
OG0000293	ADIR008608	ASIC021166
OG0000294	ADIR002675	ASIC000865
OG0000294	ADIR002676	ASIC000867
OG0000294	ADIR005219	ASIC000063
OG0000295	ADIR016166, ADIR016165, ADIR016167	ASIC014489
OG0000295	ADIR016169	ASIC014488
OG0000295	ADIR016168	ASIC014487
OG0000296	ADIR000603	ASIC010617, ASIC010616
OG0000297	ADIR015723	ASIC007550
OG0000297	ADIR015724	ASIC007551
OG0000298	ADIR014006	ASIC019369
OG0000299	ADIR010341	ASIC010575
OG0000299	ADIR002354	ASIC018166, ASIC018167
OG0000300	ADIR003683	ASIC021618
OG0000302	ADIR016215	ASIC007798
OG0000302	ADIR008218	ASIC007799
OG0000303	ADIR005584	ASIC014828
OG0000303	ADIR004582	ASIC014831
OG0000304	ADIR010873	ASIC009070
OG0000304	ADIR010872	ASIC009068
OG0000305	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834	ASIC008672
OG0000306	ADIR010982	ASIC017623
OG0000306	ADIR010985	ASIC015935, ASIC007588, ASIC017620
OG0000313	ADIR000645	ASIC012083
OG0000314	ADIR011445	ASIC006080
OG0000317	ADIR008367	ASIC020227
OG0000318	ADIR006689	ASIC003841, ASIC003842
OG0000318	ADIR007089	ASIC007448
OG0000319	ADIR004939	ASIC006535
OG0000319	ADIR007826	ASIC016269
OG0000320	ADIR005272, ADIR005235	ASIC000162, ASIC000163, ASIC000164
OG0000321	ADIR015863, ADIR015862	ASIC020752
OG0000321	ADIR011556	ASIC022307
OG0000324	ADIR010906	ASIC003861
OG0000324	ADIR010907	ASIC003858
OG0000325	ADIR006976	ASIC019850
OG0000326	ADIR005565	ASIC005793
OG0000326	ADIR003426	ASIC005792
OG0000327	ADIR004793	ASIC009969
OG0000328	ADIR001956	ASIC018103
OG0000328	ADIR001957	ASIC018105
OG0000329	ADIR006061, ADIR003916	ASIC007335
OG0000329	ADIR006062	ASIC007336, ASIC007337
OG0000330	ADIR001248	ASIC005379, ASIC005380
OG0000331	ADIR009969	ASIC011490
OG0000332	ADIR010199	ASIC013992
OG0000332	ADIR010356	ASIC011150
OG0000332	ADIR010198	ASIC013991
OG0000333	ADIR004150, ADIR004140, ADIR007959, ADIR003780	ASIC016706
OG0000334	ADIR004979	ASIC005880
OG0000336	ADIR004183	ASIC018899
OG0000336	ADIR004182	ASIC018901
OG0000336	ADIR004184	ASIC018897
OG0000339	ADIR009772, ADIR005764, ADIR011730, ADIR010831, ADIR011736, ADIR004467	ASIC004207
OG0000339	ADIR009035, ADIR000773, ADIR009687	ASIC000907
OG0000339	ADIR004339, ADIR009773, ADIR004361, ADIR006767	ASIC005079
OG0000340	ADIR001281, ADIR001282	ASIC007679
OG0000340	ADIR001283	ASIC007681, ASIC007678
OG0000341	ADIR011233	ASIC006934, ASIC006933
OG0000344	ADIR008368	ASIC020228
OG0000345	ADIR000883	ASIC003978
OG0000346	ADIR002727	ASIC000815
OG0000347	ADIR011568	ASIC000181
OG0000348	ADIR005623	ASIC015321
OG0000349	ADIR008567	ASIC012256, ASIC012253
OG0000349	ADIR008566	ASIC012252
OG0000351	ADIR000179	ASIC011933
OG0000351	ADIR000178	ASIC011922
OG0000352	ADIR005371	ASIC020939
OG0000352	ADIR004606	ASIC020938
OG0000353	ADIR007451	ASIC000954, ASIC011663
OG0000354	ADIR002946	ASIC012572, ASIC012573
OG0000354	ADIR010471	ASIC010034, ASIC010035
OG0000355	ADIR006415	ASIC013915
OG0000356	ADIR009183	ASIC014973
OG0000357	ADIR010484, ADIR010483	ASIC012551
OG0000357	ADIR010482	ASIC012549
OG0000360	ADIR001997	ASIC014813, ASIC014814, ASIC014817
OG0000361	ADIR002964	ASIC018213
OG0000362	ADIR015887	ASIC006698, ASIC020699
OG0000362	ADIR015885	ASIC020698
OG0000363	ADIR015546	ASIC018523
OG0000363	ADIR015547	ASIC018524
OG0000364	ADIR016198	ASIC016659
OG0000364	ADIR016196	ASIC016658
OG0000365	ADIR004665	ASIC002632, ASIC002635
OG0000366	ADIR010711	ASIC009439
OG0000367	ADIR003716	ASIC016760
OG0000368	ADIR004446	ASIC021920
OG0000369	ADIR010892	ASIC009381
OG0000369	ADIR010893, ADIR010887	ASIC009390
OG0000370	ADIR000577	ASIC017718
OG0000370	ADIR010058	ASIC011451
OG0000371	ADIR007433	ASIC016594
OG0000371	ADIR007434	ASIC016597
OG0000371	ADIR007436	ASIC016605
OG0000372	ADIR015735	ASIC009507, ASIC009504
OG0000372	ADIR015734	ASIC009509
OG0000376	ADIR008524	ASIC020524, ASIC006186, ASIC020543
OG0000377	ADIR009028, ADIR003905	ASIC000793
OG0000378	ADIR007869, ADIR007846, ADIR007847, ADIR015931, ADIR007858	ASIC016652, ASIC018568, ASIC018560, ASIC000891, ASIC008705, ASIC018569, ASIC021178
OG0000380	ADIR015576, ADIR015577	ASIC009217
OG0000381	ADIR016122	ASIC017769
OG0000382	ADIR011633	ASIC013910
OG0000382	ADIR011634	ASIC013908
OG0000383	ADIR009909	ASIC008776
OG0000383	ADIR009553	ASIC022329
OG0000384	ADIR011575, ADIR011584	ASIC001183, ASIC002780
OG0000386	ADIR007470	ASIC011708, ASIC011707, ASIC011709
OG0000387	ADIR001678	ASIC016161
OG0000387	ADIR006893	ASIC012957
OG0000388	ADIR010377, ADIR010378, ADIR010640	ASIC013800, ASIC013799, ASIC013798
OG0000389	ADIR003638	ASIC019090
OG0000390	ADIR009143	ASIC021882, ASIC011284
OG0000391	ADIR006703	ASIC015117, ASIC015116
OG0000391	ADIR000463	ASIC017801
OG0000392	ADIR015588	ASIC014072
OG0000392	ADIR015589	ASIC014074
OG0000392	ADIR015587	ASIC014073
OG0000393	ADIR008380	ASIC007949
OG0000394	ADIR009815	ASIC021259
OG0000395	ADIR004795	ASIC009958
OG0000395	ADIR000918	ASIC006771
OG0000396	ADIR006188	ASIC002672
OG0000396	ADIR006187	ASIC002671
OG0000397	ADIR005187	ASIC014575
OG0000397	ADIR002696	ASIC008278
OG0000398	ADIR008789	ASIC003105
OG0000399	ADIR001694	ASIC019199
OG0000399	ADIR007577	ASIC019531
OG0000400	ADIR003792	ASIC014917
OG0000400	ADIR003582	ASIC019623
OG0000401	ADIR003313	ASIC005455
OG0000401	ADIR001782	ASIC004773
OG0000402	ADIR004118, ADIR007659, ADIR007661	ASIC016791, ASIC017093
OG0000403	ADIR001185	ASIC017017
OG0000403	ADIR008736	ASIC018806
OG0000404	ADIR000386	ASIC005999, ASIC005998
OG0000405	ADIR016033	ASIC015146
OG0000405	ADIR016035	ASIC015147
OG0000407	ADIR002282	ASIC017969
OG0000407	ADIR009590	ASIC017965
OG0000408	ADIR001544	ASIC012313
OG0000409	ADIR004706, ADIR004703	ASIC006513
OG0000409	ADIR004705	ASIC006515
OG0000412	ADIR002367	ASIC020401, ASIC020400
OG0000412	ADIR002366	ASIC020403
OG0000412	ADIR002365	ASIC020404
OG0000413	ADIR015533	ASIC019161, ASIC019163, ASIC019162
OG0000413	ADIR015532	ASIC019164
OG0000414	ADIR014057	ASIC014159, ASIC014156
OG0000414	ADIR000659	ASIC014158
OG0000414	ADIR000660, ADIR000661	ASIC014155
OG0000416	ADIR007938	ASIC019239
OG0000416	ADIR007755	ASIC016876
OG0000417	ADIR010431	ASIC015685
OG0000417	ADIR005728	ASIC011176
OG0000419	ADIR003915, ADIR011741, ADIR005779, ADIR005760	ASIC022274, ASIC009238, ASIC009659
OG0000421	ADIR016222, ADIR016219, ADIR016220, ADIR016221	ASIC004562
OG0000422	ADIR011739, ADIR014489, ADIR006716, ADIR000769, ADIR005287, ADIR004661, ADIR008945, ADIR005286, ADIR005759, ADIR009557, ADIR005282	ASIC006280
OG0000424	ADIR001410	ASIC006202, ASIC006235, ASIC006213
OG0000425	ADIR005624, ADIR005622	ASIC015316, ASIC015317, ASIC015314, ASIC015315
OG0000428	ADIR015548, ADIR015549	ASIC006206
OG0000430	ADIR003911	ASIC016909
OG0000432	ADIR009396	ASIC008599
OG0000432	ADIR004972	ASIC005905
OG0000433	ADIR003006	ASIC021068
OG0000433	ADIR003007	ASIC021074
OG0000434	ADIR015930, ADIR015929	ASIC018734, ASIC018736, ASIC018738, ASIC018733
