Orthogroup	AdirusWRAIR2	AfunestusAfunGA1
OG0000078	ADIR003319	AFUN2_010088
OG0000078	ADIR002699, ADIR005603, ADIR003863	AFUN2_000476
OG0000078	ADIR014322	AFUN2_002769, AFUN2_012944
OG0000079	ADIR010062	AFUN2_001951
OG0000080	ADIR007435	AFUN2_001435
OG0000080	ADIR007208	AFUN2_013190
OG0000080	ADIR000033	AFUN2_009609, AFUN2_005626
OG0000081	ADIR007942	AFUN2_011577
OG0000081	ADIR008727	AFUN2_004811
OG0000081	ADIR007940	AFUN2_010972
OG0000081	ADIR007943	AFUN2_012341
OG0000082	ADIR000093	AFUN2_012054
OG0000084	ADIR002096, ADIR002174, ADIR003070, ADIR003069	AFUN2_009374
OG0000084	ADIR000411, ADIR000413, ADIR000428, ADIR011729, ADIR005395, ADIR009472, ADIR000443	AFUN2_010310
OG0000085	ADIR015828	AFUN2_010241
OG0000085	ADIR015824	AFUN2_007525
OG0000085	ADIR015825, ADIR015827	AFUN2_013450
OG0000085	ADIR015829	AFUN2_004039
OG0000086	ADIR009203	AFUN2_011858
OG0000086	ADIR003037	AFUN2_006387, AFUN2_009185, AFUN2_010974
OG0000086	ADIR006613	AFUN2_001324
OG0000088	ADIR000163	AFUN2_014792
OG0000088	ADIR000290	AFUN2_006389
OG0000088	ADIR000294	AFUN2_012429
OG0000089	ADIR009555	AFUN2_006698
OG0000089	ADIR009554	AFUN2_004303, AFUN2_011302, AFUN2_007001, AFUN2_005638, AFUN2_010754, AFUN2_005237, AFUN2_004286, AFUN2_005151
OG0000090	ADIR015919	AFUN2_012179
OG0000090	ADIR007286	AFUN2_011067
OG0000090	ADIR007285	AFUN2_004646
OG0000091	ADIR006521	AFUN2_004400
OG0000093	ADIR015594, ADIR007529	AFUN2_007977, AFUN2_002700, AFUN2_008506
OG0000093	ADIR003861	AFUN2_005353
OG0000093	ADIR014323	AFUN2_012981
OG0000096	ADIR000343	AFUN2_007046
OG0000096	ADIR010758	AFUN2_000740
OG0000096	ADIR009091	AFUN2_004816
OG0000096	ADIR000344	AFUN2_002084
OG0000097	ADIR010274	AFUN2_005456
OG0000098	ADIR015893	AFUN2_000935
OG0000103	ADIR014328	AFUN2_010691
OG0000104	ADIR006249	AFUN2_001037
OG0000104	ADIR010870, ADIR010871, ADIR010869	AFUN2_011196, AFUN2_006302
OG0000105	ADIR000198	AFUN2_006891, AFUN2_009384
OG0000108	ADIR004058	AFUN2_013458
OG0000109	ADIR007689	AFUN2_009795
OG0000109	ADIR009055	AFUN2_004467
OG0000111	ADIR000644	AFUN2_007611
OG0000114	ADIR000642	AFUN2_006701
OG0000114	ADIR000643	AFUN2_007376
OG0000115	ADIR007384	AFUN2_007755
OG0000115	ADIR007383	AFUN2_008885
OG0000116	ADIR006147	AFUN2_011292
OG0000116	ADIR005173	AFUN2_005701
OG0000117	ADIR010829	AFUN2_007418, AFUN2_007392
OG0000117	ADIR006765	AFUN2_011147, AFUN2_009679, AFUN2_007034
OG0000119	ADIR007783	AFUN2_008133
OG0000119	ADIR007782	AFUN2_003288
OG0000120	ADIR015976	AFUN2_014360
OG0000120	ADIR015969	AFUN2_014310
OG0000120	ADIR015967	AFUN2_007600
OG0000120	ADIR004301	AFUN2_000895
OG0000123	ADIR004735	AFUN2_003694
OG0000123	ADIR005940	AFUN2_007557
OG0000124	ADIR007249	AFUN2_012265
OG0000124	ADIR007237, ADIR007235	AFUN2_012679, AFUN2_002887, AFUN2_011110
OG0000127	ADIR002706	AFUN2_007961, AFUN2_014650, AFUN2_010892
OG0000128	ADIR005627	AFUN2_013941
OG0000128	ADIR016170	AFUN2_007884
OG0000130	ADIR003050	AFUN2_011184
OG0000130	ADIR011436	AFUN2_008453
OG0000130	ADIR011726, ADIR011435	AFUN2_009668
OG0000131	ADIR011335	AFUN2_005171
OG0000131	ADIR011339	AFUN2_006692
OG0000132	ADIR009202	AFUN2_005157
OG0000132	ADIR010804	AFUN2_003612
OG0000133	ADIR000444	AFUN2_010213
OG0000133	ADIR000139	AFUN2_005015
OG0000133	ADIR000140	AFUN2_001924
OG0000134	ADIR003659	AFUN2_012800
OG0000134	ADIR003658	AFUN2_008047
OG0000135	ADIR005920	AFUN2_011084
OG0000136	ADIR000092, ADIR000087	AFUN2_003409
OG0000136	ADIR006020	AFUN2_000794
OG0000141	ADIR007903	AFUN2_006156
OG0000142	ADIR008287	AFUN2_002023, AFUN2_002866
OG0000142	ADIR008294	AFUN2_007901
OG0000142	ADIR003290	AFUN2_008099
OG0000143	ADIR004529	AFUN2_001347, AFUN2_004552
OG0000146	ADIR015797	AFUN2_008600, AFUN2_001333
OG0000146	ADIR015798	AFUN2_000602
OG0000147	ADIR011038	AFUN2_001243
OG0000148	ADIR005101	AFUN2_006078
OG0000149	ADIR007907	AFUN2_007018
OG0000149	ADIR007908	AFUN2_007305
OG0000150	ADIR008060	AFUN2_013472
OG0000151	ADIR015810	AFUN2_008586
OG0000152	ADIR015582	AFUN2_004036
OG0000152	ADIR008753	AFUN2_007248
OG0000154	ADIR006364	AFUN2_007474
OG0000155	ADIR005418	AFUN2_011178, AFUN2_006679
OG0000157	ADIR006810	AFUN2_002461
OG0000158	ADIR001555	AFUN2_002362, AFUN2_004076
OG0000158	ADIR000280	AFUN2_012368
OG0000159	ADIR002318, ADIR014218	AFUN2_009163
OG0000159	ADIR002317, ADIR002312, ADIR002313, ADIR002314, ADIR002352, ADIR002315	AFUN2_013071
OG0000159	ADIR002316	AFUN2_002477, AFUN2_006224
OG0000160	ADIR003566	AFUN2_013760, AFUN2_000560, AFUN2_005480, AFUN2_009497, AFUN2_007254
OG0000161	ADIR005168	AFUN2_009616
OG0000161	ADIR003591	AFUN2_013883
OG0000162	ADIR000480	AFUN2_001603
OG0000162	ADIR000482	AFUN2_004390
OG0000163	ADIR015554	AFUN2_009739
OG0000163	ADIR015557	AFUN2_005717
OG0000163	ADIR015556	AFUN2_004668
OG0000164	ADIR004411	AFUN2_007065
OG0000164	ADIR004413	AFUN2_014641
OG0000165	ADIR001509	AFUN2_004493
OG0000165	ADIR001510	AFUN2_008088
OG0000165	ADIR009841	AFUN2_007300
OG0000165	ADIR005706	AFUN2_012709
OG0000166	ADIR008138	AFUN2_013647
OG0000166	ADIR016086	AFUN2_001188
OG0000171	ADIR002126	AFUN2_013379
OG0000172	ADIR000138	AFUN2_004764
OG0000172	ADIR000141	AFUN2_014173
OG0000172	ADIR000131	AFUN2_011072
OG0000173	ADIR011553	AFUN2_006638
OG0000173	ADIR011554	AFUN2_006309, AFUN2_013274, AFUN2_004451
OG0000174	ADIR000944	AFUN2_000386
OG0000174	ADIR015737	AFUN2_011578
OG0000176	ADIR003904	AFUN2_004735
OG0000181	ADIR008823	AFUN2_012634
OG0000181	ADIR008822	AFUN2_005105, AFUN2_007521
OG0000182	ADIR005388	AFUN2_004625
OG0000182	ADIR016062	AFUN2_001977
OG0000182	ADIR016059	AFUN2_010645
OG0000183	ADIR006377	AFUN2_005817, AFUN2_013925
OG0000183	ADIR005819	AFUN2_007926
OG0000184	ADIR006005	AFUN2_012600
OG0000184	ADIR015591	AFUN2_009129
OG0000184	ADIR015590	AFUN2_006403
OG0000185	ADIR000196	AFUN2_004065
OG0000185	ADIR016097	AFUN2_004964, AFUN2_008198
OG0000186	ADIR001987, ADIR004662, ADIR009730, ADIR005658, ADIR001931	AFUN2_011283
OG0000186	ADIR009836, ADIR010821, ADIR004341, ADIR001696	AFUN2_008576
OG0000187	ADIR002758	AFUN2_008775
OG0000188	ADIR009257, ADIR009256	AFUN2_002434
OG0000189	ADIR005379	AFUN2_010394
OG0000189	ADIR010508	AFUN2_002979, AFUN2_009982
OG0000190	ADIR011475	AFUN2_013220
OG0000190	ADIR011077	AFUN2_007361
OG0000190	ADIR004999	AFUN2_014239
OG0000191	ADIR007485, ADIR014641	AFUN2_001434, AFUN2_013752, AFUN2_000844
OG0000192	ADIR010909	AFUN2_002573
OG0000192	ADIR005792	AFUN2_010718
OG0000192	ADIR000914	AFUN2_006065
OG0000193	ADIR005330	AFUN2_010552, AFUN2_009366, AFUN2_003838, AFUN2_011367
OG0000194	ADIR005946	AFUN2_001454
OG0000196	ADIR010880	AFUN2_005920
OG0000200	ADIR000096	AFUN2_008798
OG0000200	ADIR000097	AFUN2_010360
OG0000200	ADIR006692	AFUN2_014432
OG0000201	ADIR004196	AFUN2_007662
OG0000202	ADIR001167	AFUN2_012722
OG0000202	ADIR003924	AFUN2_013904
OG0000204	ADIR016103, ADIR015857	AFUN2_005886
OG0000204	ADIR015855	AFUN2_004049
OG0000205	ADIR005975	AFUN2_003370
OG0000206	ADIR000696	AFUN2_000978
OG0000207	ADIR016010	AFUN2_000379
OG0000207	ADIR016011	AFUN2_002113
OG0000208	ADIR001797	AFUN2_013487
OG0000208	ADIR001798	AFUN2_002391
OG0000209	ADIR001972	AFUN2_001039
OG0000210	ADIR000241	AFUN2_014566
OG0000217	ADIR010726	AFUN2_005144
OG0000217	ADIR005194	AFUN2_003295
OG0000218	ADIR011222	AFUN2_001352
OG0000218	ADIR011220	AFUN2_014112
OG0000218	ADIR011219	AFUN2_007094
OG0000219	ADIR001531	AFUN2_004669
OG0000220	ADIR006414	AFUN2_004984
OG0000221	ADIR011011	AFUN2_002758, AFUN2_007038
OG0000221	ADIR003610	AFUN2_006461
OG0000222	ADIR000671	AFUN2_008952
OG0000222	ADIR004052	AFUN2_002413
OG0000223	ADIR010046	AFUN2_006017
OG0000224	ADIR008980, ADIR008979	AFUN2_004727, AFUN2_006433
OG0000225	ADIR016029	AFUN2_013899
OG0000225	ADIR016028	AFUN2_005712
OG0000225	ADIR016027	AFUN2_007468
OG0000226	ADIR006404	AFUN2_005224
OG0000228	ADIR007268, ADIR007267, ADIR006114	AFUN2_010307, AFUN2_001223
OG0000228	ADIR007266	AFUN2_007118, AFUN2_001384, AFUN2_013425, AFUN2_008192
OG0000229	ADIR002810	AFUN2_002725
OG0000229	ADIR005804	AFUN2_001410
OG0000229	ADIR005315	AFUN2_012986
OG0000230	ADIR006854	AFUN2_013851, AFUN2_006362
OG0000231	ADIR007453	AFUN2_014167
OG0000231	ADIR007454	AFUN2_001796
OG0000232	ADIR016139	AFUN2_001279
OG0000232	ADIR016138	AFUN2_004132
OG0000233	ADIR010041	AFUN2_005591
OG0000234	ADIR000732	AFUN2_006786
OG0000234	ADIR000742	AFUN2_005910
OG0000234	ADIR000738	AFUN2_014325
OG0000235	ADIR002045	AFUN2_000576, AFUN2_003102, AFUN2_003000
OG0000236	ADIR010024	AFUN2_012443
OG0000236	ADIR000559	AFUN2_002078
OG0000237	ADIR015947	AFUN2_005130
OG0000237	ADIR015946	AFUN2_010795
OG0000244	ADIR005063	AFUN2_005802
OG0000244	ADIR005072	AFUN2_006054
OG0000245	ADIR002600	AFUN2_014246, AFUN2_010459
OG0000247	ADIR007929	AFUN2_012107
OG0000247	ADIR007928	AFUN2_004620
OG0000247	ADIR007931	AFUN2_001600
OG0000248	ADIR015997, ADIR015996	AFUN2_011791
OG0000249	ADIR001663	AFUN2_006007
OG0000250	ADIR015773	AFUN2_003687
OG0000250	ADIR015774	AFUN2_007149
OG0000250	ADIR015775	AFUN2_003179
OG0000251	ADIR002011	AFUN2_007933, AFUN2_012347
OG0000252	ADIR001823	AFUN2_006568
OG0000252	ADIR014170, ADIR014169	AFUN2_010012
OG0000253	ADIR010453, ADIR010451, ADIR010452	AFUN2_001483, AFUN2_000437
OG0000254	ADIR005871	AFUN2_009334
OG0000254	ADIR008307	AFUN2_013341
OG0000255	ADIR008975	AFUN2_014479, AFUN2_012452
OG0000256	ADIR003548	AFUN2_010594
OG0000256	ADIR003547	AFUN2_004016
OG0000257	ADIR004880	AFUN2_012412
OG0000260	ADIR015800	AFUN2_004768
OG0000260	ADIR015801, ADIR015802	AFUN2_011233
OG0000260	ADIR015799	AFUN2_008356
OG0000260	ADIR015803	AFUN2_004504
OG0000263	ADIR006757, ADIR005295	AFUN2_007000
OG0000265	ADIR008235	AFUN2_009281
OG0000265	ADIR008228	AFUN2_011549
OG0000265	ADIR001201	AFUN2_003921
OG0000266	ADIR006770	AFUN2_000459
OG0000266	ADIR000724	AFUN2_004367
OG0000266	ADIR000723	AFUN2_008216
OG0000268	ADIR005898	AFUN2_009239
OG0000268	ADIR005897	AFUN2_010803
OG0000268	ADIR005896	AFUN2_010441
OG0000269	ADIR016218	AFUN2_002119
OG0000270	ADIR001921	AFUN2_004500, AFUN2_005657, AFUN2_001828
OG0000272	ADIR001852	AFUN2_008265
OG0000272	ADIR009159	AFUN2_012900
OG0000273	ADIR009959	AFUN2_004573
OG0000274	ADIR009412	AFUN2_009686
OG0000275	ADIR010509	AFUN2_004279, AFUN2_002342, AFUN2_006827, AFUN2_002236, AFUN2_014152
OG0000276	ADIR002281	AFUN2_005119, AFUN2_000381
OG0000277	ADIR002721	AFUN2_013863
OG0000278	ADIR001634	AFUN2_006737
OG0000278	ADIR001650, ADIR001649	AFUN2_010216
OG0000278	ADIR001631	AFUN2_002080
OG0000279	ADIR000638	AFUN2_002258
OG0000279	ADIR000639	AFUN2_008292
OG0000280	ADIR004761	AFUN2_014275
OG0000280	ADIR004760	AFUN2_012254
OG0000285	ADIR002894	AFUN2_012421
OG0000285	ADIR015838	AFUN2_002291
OG0000285	ADIR015839	AFUN2_012046
OG0000286	ADIR005642	AFUN2_002229, AFUN2_001601
OG0000287	ADIR015574, ADIR015569, ADIR015568	AFUN2_006714, AFUN2_009698
OG0000288	ADIR006111	AFUN2_007336
OG0000288	ADIR015495	AFUN2_011244
OG0000289	ADIR016116	AFUN2_008782
OG0000289	ADIR016115	AFUN2_008797
OG0000290	ADIR002288	AFUN2_001948
OG0000290	ADIR002287	AFUN2_000760
OG0000291	ADIR007609	AFUN2_003869
OG0000291	ADIR015675	AFUN2_005713
OG0000292	ADIR009319	AFUN2_008562
OG0000292	ADIR009317	AFUN2_003827, AFUN2_006814
OG0000293	ADIR000907	AFUN2_001356
OG0000293	ADIR008608	AFUN2_000358
OG0000294	ADIR002676	AFUN2_012955
OG0000294	ADIR005219	AFUN2_012574
OG0000296	ADIR000603	AFUN2_010688, AFUN2_014118
OG0000297	ADIR015723	AFUN2_006972
OG0000297	ADIR015724	AFUN2_004085
OG0000298	ADIR007480	AFUN2_004927
OG0000298	ADIR014006	AFUN2_001118
OG0000299	ADIR010341	AFUN2_007111
OG0000299	ADIR002354	AFUN2_010458
OG0000300	ADIR003683	AFUN2_013914
OG0000302	ADIR016215	AFUN2_001375
OG0000302	ADIR008218	AFUN2_001607
OG0000303	ADIR005583	AFUN2_004936
OG0000303	ADIR004582	AFUN2_011645
OG0000304	ADIR010873	AFUN2_006099
OG0000304	ADIR010872	AFUN2_012365
OG0000305	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834	AFUN2_004178
OG0000306	ADIR010982	AFUN2_011531
OG0000306	ADIR010985	AFUN2_002476
OG0000306	ADIR010984	AFUN2_011005
OG0000313	ADIR000645	AFUN2_013154, AFUN2_009232, AFUN2_010694, AFUN2_006740, AFUN2_001786, AFUN2_011523
OG0000314	ADIR011445	AFUN2_001906, AFUN2_008486, AFUN2_011107, AFUN2_009358
OG0000317	ADIR008367	AFUN2_010069
OG0000318	ADIR006689	AFUN2_002773, AFUN2_002673
OG0000318	ADIR007089	AFUN2_006731
OG0000319	ADIR004939	AFUN2_000419
OG0000319	ADIR007826	AFUN2_014741
OG0000320	ADIR005272, ADIR005235	AFUN2_009283
OG0000321	ADIR015863	AFUN2_011209
OG0000321	ADIR015862	AFUN2_009191
OG0000321	ADIR011556	AFUN2_013400
OG0000324	ADIR010906	AFUN2_014723
OG0000324	ADIR010907	AFUN2_002760
OG0000325	ADIR006976	AFUN2_009953
OG0000326	ADIR005565	AFUN2_008475
OG0000326	ADIR003426	AFUN2_006744
OG0000327	ADIR004793	AFUN2_010823
OG0000328	ADIR001956	AFUN2_012636
OG0000328	ADIR001957	AFUN2_005428
OG0000329	ADIR006061, ADIR003916	AFUN2_010346
OG0000329	ADIR006062	AFUN2_002124
OG0000330	ADIR001248	AFUN2_010577, AFUN2_001583
OG0000331	ADIR009969	AFUN2_010706
OG0000332	ADIR010199	AFUN2_002149
OG0000332	ADIR010356	AFUN2_013393
OG0000332	ADIR010198	AFUN2_012693
OG0000333	ADIR004140, ADIR007959	AFUN2_011252, AFUN2_011040, AFUN2_010709, AFUN2_013423, AFUN2_008471
OG0000333	ADIR003780	AFUN2_002539
OG0000334	ADIR004979	AFUN2_013965
OG0000336	ADIR004183	AFUN2_005980
OG0000336	ADIR004182	AFUN2_003183
OG0000336	ADIR004184	AFUN2_002121
OG0000340	ADIR001281, ADIR001282	AFUN2_006511
OG0000340	ADIR001283	AFUN2_012858, AFUN2_009608, AFUN2_007241
OG0000341	ADIR011233	AFUN2_004569, AFUN2_002612
OG0000344	ADIR008368	AFUN2_011925
OG0000344	ADIR001581	AFUN2_002211
OG0000345	ADIR000883	AFUN2_013986
OG0000346	ADIR002727	AFUN2_001968
OG0000347	ADIR011568	AFUN2_002133
OG0000348	ADIR005623	AFUN2_006181, AFUN2_009660
OG0000349	ADIR008567	AFUN2_006184
OG0000351	ADIR000179	AFUN2_008901, AFUN2_008714
OG0000351	ADIR000178	AFUN2_004633
OG0000352	ADIR005371	AFUN2_006606
OG0000352	ADIR004606	AFUN2_011929
