Orthogroup	AdirusWRAIR2	AstephensiUCISS2018
OG0000012	ADIR002719	ASTEI20_044217
OG0000012	ADIR001583	ASTEI20_044655
OG0000012	ADIR015597	ASTEI20_038389
OG0000013	ADIR003492	ASTEI20_042237, ASTEI20_043320
OG0000014	ADIR005075	ASTEI20_035937
OG0000014	ADIR007771	ASTEI20_030803
OG0000014	ADIR003639	ASTEI20_045732, ASTEI20_043799, ASTEI20_033207
OG0000014	ADIR001674, ADIR001675	ASTEI20_037522, ASTEI20_042376, ASTEI20_038148, ASTEI20_041712
OG0000015	ADIR006886	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231
OG0000015	ADIR014733	ASTEI20_044899
OG0000015	ADIR008680	ASTEI20_034188
OG0000016	ADIR009722	ASTEI20_044818
OG0000016	ADIR009355	ASTEI20_033956
OG0000017	ADIR001584	ASTEI20_041579
OG0000018	ADIR011745, ADIR010868	ASTEI20_039025, ASTEI20_040652, ASTEI20_038491
OG0000018	ADIR006748	ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074
OG0000020	ADIR001887	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417
OG0000020	ADIR001888	ASTEI20_030966, ASTEI20_044090, ASTEI20_042722
OG0000020	ADIR009510, ADIR009512	ASTEI20_033349, ASTEI20_033857, ASTEI20_043843, ASTEI20_038201
OG0000021	ADIR003865	ASTEI20_042507
OG0000021	ADIR001186	ASTEI20_033844
OG0000021	ADIR000303	ASTEI20_042388
OG0000021	ADIR010427	ASTEI20_042454
OG0000021	ADIR015616	ASTEI20_044345
OG0000021	ADIR015615	ASTEI20_032692
OG0000022	ADIR009686, ADIR005598	ASTEI20_044612, ASTEI20_045722
OG0000023	ADIR006953	ASTEI20_036442
OG0000023	ADIR004298	ASTEI20_038660
OG0000023	ADIR007551, ADIR007550	ASTEI20_042495, ASTEI20_035807
OG0000024	ADIR006878	ASTEI20_036317
OG0000024	ADIR006877	ASTEI20_030796
OG0000024	ADIR015850	ASTEI20_042294
OG0000024	ADIR015848	ASTEI20_032042
OG0000024	ADIR015847	ASTEI20_038906
OG0000024	ADIR015846	ASTEI20_045971
OG0000024	ADIR015845	ASTEI20_035495
OG0000026	ADIR015755	ASTEI20_034431
OG0000026	ADIR015752	ASTEI20_045957
OG0000026	ADIR015759	ASTEI20_037139
OG0000026	ADIR015754	ASTEI20_036805
OG0000026	ADIR006960	ASTEI20_033037
OG0000026	ADIR003488	ASTEI20_038151
OG0000027	ADIR009739	ASTEI20_038580, ASTEI20_036720
OG0000031	ADIR011748	ASTEI20_045661, ASTEI20_042458, ASTEI20_045950, ASTEI20_040834, ASTEI20_042405, ASTEI20_031598
OG0000032	ADIR010744	ASTEI20_034628, ASTEI20_041396, ASTEI20_045092, ASTEI20_031606, ASTEI20_038431, ASTEI20_041238, ASTEI20_037767
OG0000033	ADIR016018	ASTEI20_045015
OG0000033	ADIR016019, ADIR002300	ASTEI20_034999
OG0000033	ADIR016025	ASTEI20_036373
OG0000033	ADIR016020	ASTEI20_031788
OG0000033	ADIR016021	ASTEI20_044530, ASTEI20_042735
OG0000034	ADIR008769	ASTEI20_045819
OG0000034	ADIR008768	ASTEI20_042959
OG0000034	ADIR008767	ASTEI20_041011
OG0000034	ADIR004404	ASTEI20_032776
OG0000034	ADIR007516	ASTEI20_040625
OG0000035	ADIR014329	ASTEI20_038434, ASTEI20_044858, ASTEI20_040523, ASTEI20_035326, ASTEI20_036996, ASTEI20_033591, ASTEI20_034577, ASTEI20_044193, ASTEI20_030889, ASTEI20_040393, ASTEI20_037776, ASTEI20_045503, ASTEI20_045781, ASTEI20_042171
OG0000035	ADIR014313	ASTEI20_041634
OG0000035	ADIR003862	ASTEI20_035874
OG0000037	ADIR003228, ADIR003227	ASTEI20_038052, ASTEI20_032497
OG0000037	ADIR010215	ASTEI20_041766
OG0000037	ADIR010214, ADIR010213, ADIR010212, ADIR010211	ASTEI20_039477
OG0000039	ADIR015925	ASTEI20_041961
OG0000039	ADIR015923	ASTEI20_034016
OG0000039	ADIR008758	ASTEI20_042151
OG0000039	ADIR007693	ASTEI20_039200, ASTEI20_040849
OG0000039	ADIR007692, ADIR015926	ASTEI20_035166, ASTEI20_036321
OG0000040	ADIR015602	ASTEI20_037172
OG0000040	ADIR015541	ASTEI20_034704
OG0000040	ADIR015540	ASTEI20_040829
OG0000040	ADIR015544	ASTEI20_045547
OG0000041	ADIR001834	ASTEI20_038827
OG0000041	ADIR001833	ASTEI20_038756
OG0000041	ADIR001835	ASTEI20_034624
OG0000041	ADIR003420	ASTEI20_036497
OG0000042	ADIR011155	ASTEI20_044170, ASTEI20_041547
OG0000042	ADIR000580	ASTEI20_038339
OG0000042	ADIR004365	ASTEI20_039609
OG0000042	ADIR000370	ASTEI20_037084
OG0000043	ADIR014481	ASTEI20_038713, ASTEI20_044556, ASTEI20_031445
OG0000043	ADIR011538, ADIR014178, ADIR005614	ASTEI20_036675
OG0000046	ADIR003197	ASTEI20_033536
OG0000048	ADIR016188, ADIR007974	ASTEI20_030791
OG0000048	ADIR016182, ADIR016183	ASTEI20_041758
OG0000048	ADIR016186	ASTEI20_034337
OG0000048	ADIR016187, ADIR016181, ADIR016189	ASTEI20_034409
OG0000049	ADIR016124	ASTEI20_044950
OG0000049	ADIR016125	ASTEI20_031080
OG0000049	ADIR016128	ASTEI20_037621
OG0000049	ADIR015765	ASTEI20_031880
OG0000049	ADIR015762	ASTEI20_045883
OG0000049	ADIR016123	ASTEI20_039499
OG0000050	ADIR005587, ADIR011737	ASTEI20_036104, ASTEI20_039399
OG0000051	ADIR009276	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103
OG0000053	ADIR009846, ADIR011408	ASTEI20_044934, ASTEI20_043576
OG0000053	ADIR011407, ADIR009847	ASTEI20_040463
OG0000053	ADIR009845	ASTEI20_032861, ASTEI20_037570, ASTEI20_036072
OG0000055	ADIR003019	ASTEI20_041788, ASTEI20_036817
OG0000057	ADIR009281, ADIR014808	ASTEI20_031438, ASTEI20_044408, ASTEI20_032987, ASTEI20_039149, ASTEI20_036909, ASTEI20_043801, ASTEI20_033403
OG0000057	ADIR009282	ASTEI20_041738
OG0000058	ADIR006057	ASTEI20_042767
OG0000058	ADIR011421	ASTEI20_036123, ASTEI20_031030
OG0000059	ADIR001566	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207
OG0000059	ADIR001568	ASTEI20_040754
OG0000059	ADIR003672, ADIR003674	ASTEI20_037464
OG0000059	ADIR016197	ASTEI20_034096, ASTEI20_032263, ASTEI20_039938, ASTEI20_036541
OG0000060	ADIR014811	ASTEI20_042375
OG0000060	ADIR014810	ASTEI20_044978
OG0000061	ADIR009531	ASTEI20_045924, ASTEI20_044992
OG0000061	ADIR007445	ASTEI20_042918
OG0000061	ADIR015570	ASTEI20_036073
OG0000061	ADIR015571	ASTEI20_042895
OG0000063	ADIR010309	ASTEI20_042329, ASTEI20_039640
OG0000063	ADIR008969	ASTEI20_041397
OG0000064	ADIR004674	ASTEI20_036363
OG0000064	ADIR005809	ASTEI20_045444
OG0000064	ADIR004675	ASTEI20_030805
OG0000064	ADIR004673	ASTEI20_034042
OG0000067	ADIR001930	ASTEI20_033258
OG0000067	ADIR000539	ASTEI20_038682
OG0000067	ADIR000540	ASTEI20_040377
OG0000068	ADIR007458	ASTEI20_040313
OG0000068	ADIR007459	ASTEI20_042702
OG0000068	ADIR007460	ASTEI20_045828
OG0000069	ADIR003464	ASTEI20_035338
OG0000069	ADIR007962	ASTEI20_038112
OG0000069	ADIR003511	ASTEI20_031615
OG0000071	ADIR002693	ASTEI20_033179
OG0000071	ADIR011119	ASTEI20_041551
OG0000071	ADIR011120	ASTEI20_037620
OG0000071	ADIR011116	ASTEI20_035007
OG0000072	ADIR001900	ASTEI20_043809
OG0000072	ADIR003546	ASTEI20_045176
OG0000072	ADIR008039	ASTEI20_045641, ASTEI20_039665
OG0000073	ADIR010953	ASTEI20_037565
OG0000074	ADIR003703	ASTEI20_035123
OG0000074	ADIR003702	ASTEI20_036102
OG0000074	ADIR003701	ASTEI20_035843, ASTEI20_043301
OG0000074	ADIR007318	ASTEI20_031364
OG0000075	ADIR008602, ADIR008603	ASTEI20_043256
OG0000075	ADIR008604	ASTEI20_037835
OG0000076	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068	ASTEI20_040347, ASTEI20_035431, ASTEI20_040002
OG0000076	ADIR002334	ASTEI20_045335
OG0000077	ADIR007690	ASTEI20_042788, ASTEI20_038766
OG0000078	ADIR002699, ADIR005603, ADIR003863	ASTEI20_038038
OG0000079	ADIR010062	ASTEI20_038502, ASTEI20_045603
OG0000080	ADIR007435	ASTEI20_037839
OG0000080	ADIR007208	ASTEI20_038192
OG0000080	ADIR000033	ASTEI20_035820, ASTEI20_038748
OG0000081	ADIR007942	ASTEI20_044597
OG0000081	ADIR008727	ASTEI20_033899, ASTEI20_041643
OG0000081	ADIR007940	ASTEI20_041167
OG0000081	ADIR007943	ASTEI20_045891
OG0000082	ADIR000093	ASTEI20_035318
OG0000085	ADIR015828	ASTEI20_033228
OG0000085	ADIR015824	ASTEI20_037988
OG0000085	ADIR015826, ADIR015825, ADIR015827, ADIR015829	ASTEI20_039794
OG0000086	ADIR009203	ASTEI20_036600
OG0000086	ADIR003037	ASTEI20_036223, ASTEI20_035207, ASTEI20_037451
OG0000086	ADIR006613	ASTEI20_043950
OG0000088	ADIR000163	ASTEI20_042317
OG0000088	ADIR000290	ASTEI20_035957
OG0000088	ADIR000294	ASTEI20_030868
OG0000089	ADIR009555	ASTEI20_035269
OG0000089	ADIR009554	ASTEI20_031474, ASTEI20_033656, ASTEI20_034314, ASTEI20_038747, ASTEI20_043719
OG0000090	ADIR015919	ASTEI20_044859
OG0000090	ADIR007286	ASTEI20_037367, ASTEI20_042053
OG0000090	ADIR007285	ASTEI20_044104, ASTEI20_039435
OG0000091	ADIR006521	ASTEI20_043825
OG0000093	ADIR002132	ASTEI20_030917
OG0000093	ADIR014323	ASTEI20_033729
OG0000096	ADIR000343	ASTEI20_039679
OG0000096	ADIR010758	ASTEI20_033293
OG0000096	ADIR009091	ASTEI20_044580
OG0000096	ADIR000344	ASTEI20_044690
OG0000097	ADIR010273	ASTEI20_045034
OG0000098	ADIR015892	ASTEI20_030897, ASTEI20_032470
OG0000098	ADIR015893	ASTEI20_035940
OG0000102	ADIR010820	ASTEI20_039927
OG0000103	ADIR014328	ASTEI20_041286, ASTEI20_041968, ASTEI20_040764, ASTEI20_041606, ASTEI20_040118, ASTEI20_042060, ASTEI20_033705, ASTEI20_038991, ASTEI20_044176, ASTEI20_032305, ASTEI20_043471, ASTEI20_042968, ASTEI20_032059, ASTEI20_043781, ASTEI20_034947, ASTEI20_033546, ASTEI20_038930
OG0000104	ADIR006249	ASTEI20_031093
OG0000104	ADIR010870, ADIR010871, ADIR010869	ASTEI20_031442, ASTEI20_031279
OG0000105	ADIR000198	ASTEI20_043210, ASTEI20_041014, ASTEI20_037458
OG0000108	ADIR004058	ASTEI20_031790, ASTEI20_039367
OG0000109	ADIR007689	ASTEI20_035723
OG0000109	ADIR009055	ASTEI20_041902
OG0000111	ADIR000646	ASTEI20_041472
OG0000111	ADIR000644	ASTEI20_034526, ASTEI20_032750, ASTEI20_033872, ASTEI20_035732, ASTEI20_035816, ASTEI20_040937, ASTEI20_037402, ASTEI20_040392
OG0000114	ADIR000642	ASTEI20_032160
OG0000114	ADIR000643	ASTEI20_043145
OG0000115	ADIR007384	ASTEI20_031924
OG0000115	ADIR007383	ASTEI20_034594
OG0000116	ADIR006147	ASTEI20_045875
OG0000116	ADIR005173	ASTEI20_044702
OG0000117	ADIR010829	ASTEI20_032003, ASTEI20_035916
OG0000117	ADIR006765	ASTEI20_044511
OG0000119	ADIR007783	ASTEI20_031989
OG0000119	ADIR007782	ASTEI20_033264, ASTEI20_035228
OG0000120	ADIR015976	ASTEI20_031113
OG0000120	ADIR015969	ASTEI20_040639
OG0000120	ADIR015967	ASTEI20_043620
OG0000120	ADIR004301	ASTEI20_036340
OG0000123	ADIR004735	ASTEI20_045570
OG0000124	ADIR007238	ASTEI20_042719
OG0000124	ADIR007249	ASTEI20_031108
OG0000124	ADIR007237, ADIR007235	ASTEI20_042994, ASTEI20_033894
OG0000127	ADIR002706	ASTEI20_045429, ASTEI20_037750, ASTEI20_032628, ASTEI20_039828
OG0000128	ADIR005627	ASTEI20_041892
OG0000128	ADIR016172	ASTEI20_040479
OG0000128	ADIR016170	ASTEI20_031766
OG0000130	ADIR003050	ASTEI20_041330
OG0000130	ADIR011436	ASTEI20_037430
OG0000130	ADIR011726, ADIR011435	ASTEI20_043872
OG0000131	ADIR011335	ASTEI20_038615
OG0000131	ADIR011339	ASTEI20_033405
OG0000132	ADIR009202	ASTEI20_036305
OG0000132	ADIR010804	ASTEI20_031453
OG0000133	ADIR000444	ASTEI20_033689
OG0000133	ADIR000139	ASTEI20_035006
OG0000133	ADIR000140	ASTEI20_045111
OG0000134	ADIR003659	ASTEI20_040637
OG0000134	ADIR003660	ASTEI20_035158
OG0000134	ADIR003658	ASTEI20_041705
OG0000135	ADIR011399	ASTEI20_040602
OG0000135	ADIR000262	ASTEI20_037939
OG0000135	ADIR005920	ASTEI20_033495
OG0000136	ADIR000092, ADIR000087	ASTEI20_031418
OG0000136	ADIR006020	ASTEI20_044015
OG0000141	ADIR007903	ASTEI20_038928
OG0000142	ADIR008287	ASTEI20_030926, ASTEI20_031775
OG0000142	ADIR008294	ASTEI20_039078
OG0000142	ADIR003290	ASTEI20_035078
OG0000143	ADIR004529	ASTEI20_031603, ASTEI20_038786, ASTEI20_032430
OG0000146	ADIR015797	ASTEI20_044971
OG0000146	ADIR015798	ASTEI20_043034
OG0000147	ADIR011038	ASTEI20_034963
OG0000148	ADIR005101	ASTEI20_036802
OG0000149	ADIR007907	ASTEI20_032560
OG0000149	ADIR007908	ASTEI20_037704, ASTEI20_045413
OG0000150	ADIR008060	ASTEI20_036593
OG0000151	ADIR015810	ASTEI20_031955
OG0000152	ADIR015582	ASTEI20_033865
OG0000152	ADIR008753	ASTEI20_040792
OG0000154	ADIR006364	ASTEI20_038354
OG0000155	ADIR005418	ASTEI20_044262
OG0000157	ADIR006810	ASTEI20_038779
OG0000158	ADIR001555	ASTEI20_035614
OG0000158	ADIR000280	ASTEI20_037624, ASTEI20_045998, ASTEI20_046139, ASTEI20_040433, ASTEI20_035584, ASTEI20_036401, ASTEI20_045588, ASTEI20_035092, ASTEI20_035184, ASTEI20_037880, ASTEI20_043564, ASTEI20_043047, ASTEI20_041452, ASTEI20_040219, ASTEI20_043610, ASTEI20_039559, ASTEI20_045001, ASTEI20_032291, ASTEI20_039182, ASTEI20_038039, ASTEI20_042601, ASTEI20_040449
OG0000159	ADIR002318, ADIR014218	ASTEI20_032043
OG0000159	ADIR002316	ASTEI20_037617, ASTEI20_041266
OG0000160	ADIR003566	ASTEI20_036554, ASTEI20_033604
OG0000161	ADIR003591	ASTEI20_038429
OG0000162	ADIR000480	ASTEI20_040102
OG0000162	ADIR000482	ASTEI20_035676
OG0000163	ADIR015554	ASTEI20_034625
OG0000163	ADIR015557	ASTEI20_031376
OG0000163	ADIR015556	ASTEI20_042082
OG0000164	ADIR004411	ASTEI20_038451
OG0000164	ADIR004413	ASTEI20_037482
OG0000165	ADIR001509	ASTEI20_035964
OG0000165	ADIR001510	ASTEI20_037537
OG0000165	ADIR009841	ASTEI20_035222
OG0000165	ADIR005706	ASTEI20_037574
OG0000166	ADIR016085	ASTEI20_035217, ASTEI20_037831
OG0000166	ADIR008138	ASTEI20_038043, ASTEI20_041976
OG0000166	ADIR016086	ASTEI20_044786, ASTEI20_042832
OG0000171	ADIR002126	ASTEI20_037136
OG0000172	ADIR000138	ASTEI20_034185
OG0000172	ADIR000141	ASTEI20_042714
OG0000172	ADIR000131	ASTEI20_033958
OG0000173	ADIR011553	ASTEI20_042047
OG0000173	ADIR011554	ASTEI20_034429
OG0000174	ADIR003663	ASTEI20_038604
OG0000174	ADIR000944	ASTEI20_035066
OG0000174	ADIR015737	ASTEI20_042620
OG0000176	ADIR005586, ADIR005791, ADIR003904, ADIR006756	ASTEI20_032435, ASTEI20_031492, ASTEI20_043773, ASTEI20_037269, ASTEI20_037392
OG0000181	ADIR008823	ASTEI20_039654
OG0000181	ADIR008822	ASTEI20_035911
OG0000182	ADIR005388	ASTEI20_034555
OG0000182	ADIR016062	ASTEI20_041278
OG0000182	ADIR016059	ASTEI20_034958
OG0000183	ADIR006377	ASTEI20_046015, ASTEI20_044856
OG0000183	ADIR005819	ASTEI20_038174
OG0000184	ADIR006005	ASTEI20_033069
OG0000184	ADIR015591	ASTEI20_036642
OG0000184	ADIR015590	ASTEI20_037581
OG0000185	ADIR000196	ASTEI20_042706, ASTEI20_031403
OG0000185	ADIR016097	ASTEI20_032807, ASTEI20_034055
OG0000186	ADIR009836, ADIR010821, ADIR004341, ADIR001696	ASTEI20_039416, ASTEI20_043202, ASTEI20_033750, ASTEI20_035399, ASTEI20_044539, ASTEI20_036068, ASTEI20_043129, ASTEI20_041740, ASTEI20_034179, ASTEI20_044384, ASTEI20_042067, ASTEI20_045425, ASTEI20_036457, ASTEI20_031836, ASTEI20_037175, ASTEI20_045352, ASTEI20_044455
OG0000187	ADIR002758	ASTEI20_038550
OG0000188	ADIR009257, ADIR009256	ASTEI20_038409
OG0000189	ADIR005379	ASTEI20_035278
OG0000189	ADIR010508	ASTEI20_043379, ASTEI20_036958, ASTEI20_033773, ASTEI20_043697
OG0000190	ADIR011475	ASTEI20_031858
OG0000190	ADIR011077	ASTEI20_037310
OG0000190	ADIR004999	ASTEI20_033651
OG0000191	ADIR007485, ADIR014641	ASTEI20_035041, ASTEI20_031723, ASTEI20_032678
OG0000192	ADIR010909	ASTEI20_041022
OG0000192	ADIR005792	ASTEI20_033456
OG0000192	ADIR000914	ASTEI20_038790
OG0000193	ADIR005330	ASTEI20_035925, ASTEI20_034914, ASTEI20_032918, ASTEI20_041607
OG0000194	ADIR005946	ASTEI20_032207
OG0000196	ADIR010880	ASTEI20_042814
OG0000200	ADIR000096	ASTEI20_040182
OG0000200	ADIR000097	ASTEI20_032444
OG0000200	ADIR006692	ASTEI20_035878
OG0000201	ADIR004196	ASTEI20_036827
OG0000202	ADIR001167	ASTEI20_033661
OG0000202	ADIR003924	ASTEI20_044437
OG0000204	ADIR015854, ADIR016103, ADIR015857	ASTEI20_033339
OG0000204	ADIR015856	ASTEI20_044531
OG0000205	ADIR005975	ASTEI20_040473
OG0000206	ADIR000696	ASTEI20_045728
OG0000207	ADIR016010, ADIR016011	ASTEI20_034853
OG0000208	ADIR001797	ASTEI20_045322
OG0000208	ADIR001798	ASTEI20_034058
OG0000209	ADIR001972	ASTEI20_042301
OG0000210	ADIR000241	ASTEI20_043190
OG0000216	ADIR006331	ASTEI20_036668, ASTEI20_032966, ASTEI20_042064
OG0000217	ADIR010726	ASTEI20_040200
OG0000217	ADIR005194	ASTEI20_036703
OG0000218	ADIR011222	ASTEI20_038944
OG0000218	ADIR011220	ASTEI20_043383
OG0000218	ADIR011219	ASTEI20_039263
OG0000219	ADIR001531	ASTEI20_035108
OG0000220	ADIR006414	ASTEI20_035755
OG0000221	ADIR011011	ASTEI20_038135
OG0000221	ADIR003610	ASTEI20_037201
OG0000222	ADIR000671	ASTEI20_035055
OG0000222	ADIR004052	ASTEI20_041199
OG0000223	ADIR010046	ASTEI20_037771
OG0000224	ADIR008980, ADIR008979	ASTEI20_038501
OG0000225	ADIR016029	ASTEI20_040100
OG0000225	ADIR016028	ASTEI20_037793
OG0000225	ADIR016027	ASTEI20_038611
OG0000226	ADIR006402	ASTEI20_034161
OG0000226	ADIR006405	ASTEI20_036749, ASTEI20_033104
OG0000226	ADIR006404	ASTEI20_036968, ASTEI20_035152
OG0000228	ADIR007266	ASTEI20_034891
OG0000229	ADIR002810	ASTEI20_046124
OG0000229	ADIR005804	ASTEI20_032722
OG0000229	ADIR005315	ASTEI20_037602
OG0000230	ADIR006854	ASTEI20_034005
OG0000231	ADIR007453	ASTEI20_040405
OG0000231	ADIR007454	ASTEI20_043476
OG0000232	ADIR006899, ADIR016139	ASTEI20_044096, ASTEI20_038687, ASTEI20_044010, ASTEI20_040318
OG0000232	ADIR016138	ASTEI20_040000, ASTEI20_042206
OG0000233	ADIR010041	ASTEI20_041338
OG0000234	ADIR000732	ASTEI20_043253
OG0000234	ADIR000742	ASTEI20_031455
OG0000234	ADIR000738	ASTEI20_040171
OG0000235	ADIR002045	ASTEI20_044011
OG0000236	ADIR010024	ASTEI20_036868
OG0000236	ADIR000559	ASTEI20_032536
OG0000237	ADIR015947	ASTEI20_039839
OG0000237	ADIR015946	ASTEI20_031027
OG0000244	ADIR005063	ASTEI20_035715
OG0000244	ADIR005072	ASTEI20_040830
OG0000245	ADIR002600	ASTEI20_043968, ASTEI20_037895
OG0000247	ADIR007929	ASTEI20_032101
OG0000247	ADIR007931	ASTEI20_044238
OG0000248	ADIR015996	ASTEI20_042839
OG0000249	ADIR001663	ASTEI20_039526
OG0000250	ADIR015773	ASTEI20_043607
OG0000250	ADIR015774	ASTEI20_038490
OG0000250	ADIR015775	ASTEI20_033739
OG0000251	ADIR002011	ASTEI20_040414
OG0000252	ADIR001823	ASTEI20_040133
OG0000252	ADIR014170, ADIR014169	ASTEI20_045800
OG0000253	ADIR010453, ADIR010451, ADIR010452	ASTEI20_036887
OG0000254	ADIR005871	ASTEI20_033239
OG0000254	ADIR008307	ASTEI20_034532
OG0000255	ADIR008975	ASTEI20_042761, ASTEI20_044933
OG0000256	ADIR003548	ASTEI20_045578
OG0000256	ADIR003547	ASTEI20_042134
OG0000257	ADIR004880	ASTEI20_033195, ASTEI20_036760
OG0000260	ADIR015800	ASTEI20_034398
OG0000260	ADIR015801, ADIR015802	ASTEI20_038711
OG0000260	ADIR015803	ASTEI20_037645
OG0000263	ADIR006757, ADIR005295	ASTEI20_045271, ASTEI20_032519, ASTEI20_037013, ASTEI20_039929, ASTEI20_032243, ASTEI20_034862, ASTEI20_031551, ASTEI20_043655
OG0000265	ADIR008235	ASTEI20_044851
OG0000265	ADIR008228	ASTEI20_037660
OG0000265	ADIR001201	ASTEI20_038227
OG0000266	ADIR006770	ASTEI20_042056
OG0000266	ADIR000724	ASTEI20_041270
OG0000266	ADIR000723	ASTEI20_035075
OG0000268	ADIR005898	ASTEI20_032301
OG0000268	ADIR005897	ASTEI20_032365
OG0000269	ADIR016218	ASTEI20_045911, ASTEI20_044456
OG0000270	ADIR001672	ASTEI20_032190
OG0000270	ADIR001921	ASTEI20_043741, ASTEI20_040825, ASTEI20_034360, ASTEI20_030843
OG0000272	ADIR001841, ADIR001852	ASTEI20_042478
OG0000272	ADIR009159	ASTEI20_037724
OG0000273	ADIR009959	ASTEI20_041023
OG0000274	ADIR009412	ASTEI20_031515
OG0000275	ADIR010509	ASTEI20_033361
OG0000276	ADIR002281	ASTEI20_041437
OG0000277	ADIR002721	ASTEI20_032397
OG0000277	ADIR002720	ASTEI20_034533, ASTEI20_041241
OG0000278	ADIR001634	ASTEI20_037609
OG0000278	ADIR001650, ADIR001649	ASTEI20_041680
OG0000278	ADIR001631	ASTEI20_037766
OG0000279	ADIR000638	ASTEI20_038838
OG0000279	ADIR000639	ASTEI20_042793
OG0000280	ADIR004761	ASTEI20_038614
OG0000280	ADIR004760	ASTEI20_035880
OG0000280	ADIR004759	ASTEI20_042533
OG0000285	ADIR002894	ASTEI20_039558
OG0000285	ADIR015838	ASTEI20_040836
OG0000285	ADIR015839	ASTEI20_032893
OG0000287	ADIR015574, ADIR015569, ADIR015568	ASTEI20_037346, ASTEI20_036690
OG0000287	ADIR015575	ASTEI20_042314, ASTEI20_038723
OG0000288	ADIR015495	ASTEI20_040021
OG0000289	ADIR016116	ASTEI20_035189, ASTEI20_042758
OG0000289	ADIR016115	ASTEI20_044666
OG0000290	ADIR002288	ASTEI20_044792
OG0000290	ADIR002287	ASTEI20_037666
OG0000291	ADIR007609	ASTEI20_030896
OG0000291	ADIR015675	ASTEI20_045384
OG0000292	ADIR009319	ASTEI20_039963, ASTEI20_033519
OG0000292	ADIR009317	ASTEI20_041276
OG0000293	ADIR000907	ASTEI20_035645
OG0000293	ADIR008608	ASTEI20_034344, ASTEI20_033682
OG0000294	ADIR002676	ASTEI20_031593
OG0000294	ADIR005219	ASTEI20_040737
OG0000295	ADIR016166, ADIR016165, ADIR016167	ASTEI20_037344
OG0000295	ADIR016169	ASTEI20_045100
OG0000296	ADIR000603	ASTEI20_031726, ASTEI20_036866, ASTEI20_037946, ASTEI20_030789
OG0000297	ADIR015723	ASTEI20_045280
OG0000297	ADIR015724	ASTEI20_032765
OG0000298	ADIR007480	ASTEI20_034983
OG0000299	ADIR010341	ASTEI20_043508
OG0000299	ADIR002354	ASTEI20_043361
OG0000300	ADIR003683	ASTEI20_041810
OG0000302	ADIR016215	ASTEI20_037810
OG0000302	ADIR008218	ASTEI20_032730
OG0000303	ADIR005584, ADIR005583	ASTEI20_031481
OG0000304	ADIR010873	ASTEI20_040412
OG0000304	ADIR010872	ASTEI20_038833
OG0000305	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834	ASTEI20_045186
OG0000306	ADIR010982	ASTEI20_040184
