Orthogroup	AdirusWRAIR2	CquinquefasciatusJHB2020
OG0000020	ADIR001887, ADIR009509, ADIR009511, ADIR014827, ADIR009513, ADIR009514, ADIR009508, ADIR001888, ADIR009510, ADIR009512	CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495
OG0000021	ADIR003865	CQUJHB014638
OG0000021	ADIR001186	CQUJHB010956
OG0000021	ADIR002970	CQUJHB016733
OG0000021	ADIR010427	CQUJHB012948
OG0000021	ADIR015616	CQUJHB015628
OG0000022	ADIR005598	CQUJHB009998, CQUJHB007412, CQUJHB016624, CQUJHB004757
OG0000023	ADIR004298	CQUJHB000253, CQUJHB005111, CQUJHB002050, CQUJHB007212
OG0000023	ADIR007551, ADIR007550	CQUJHB015434, CQUJHB012060
OG0000024	ADIR006878	CQUJHB005662
OG0000024	ADIR006877	CQUJHB001106, CQUJHB003177
OG0000024	ADIR015850	CQUJHB015002
OG0000024	ADIR015848, ADIR015847	CQUJHB015651, CQUJHB010229, CQUJHB003602
OG0000024	ADIR015846, ADIR015844, ADIR015845	CQUJHB002318, CQUJHB007527, CQUJHB006873
OG0000026	ADIR015757, ADIR015758, ADIR015759	CQUJHB017272
OG0000026	ADIR015754	CQUJHB011732, CQUJHB012165
OG0000026	ADIR006960	CQUJHB005106
OG0000026	ADIR003488	CQUJHB007540
OG0000027	ADIR009739	CQUJHB008109, CQUJHB008680, CQUJHB008247, CQUJHB011016, CQUJHB011122, CQUJHB017358, CQUJHB008899, CQUJHB012953, CQUJHB006211, CQUJHB003906, CQUJHB001161, CQUJHB015070, CQUJHB003476, CQUJHB011300, CQUJHB003752
OG0000032	ADIR010744	CQUJHB013916, CQUJHB002841, CQUJHB018268, CQUJHB000206, CQUJHB010055, CQUJHB001736, CQUJHB009611, CQUJHB001221, CQUJHB005224, CQUJHB003097, CQUJHB017356, CQUJHB004843, CQUJHB006636, CQUJHB013020, CQUJHB004712, CQUJHB014732, CQUJHB012568, CQUJHB000350, CQUJHB015139, CQUJHB009262, CQUJHB001800, CQUJHB002859, CQUJHB015715, CQUJHB005183, CQUJHB008412, CQUJHB008157, CQUJHB003203, CQUJHB010737, CQUJHB010350
OG0000033	ADIR016019, ADIR002300	CQUJHB013700
OG0000033	ADIR016024, ADIR016022	CQUJHB008449, CQUJHB010986, CQUJHB008186
OG0000034	ADIR007516	CQUJHB012032
OG0000037	ADIR003228, ADIR003227, ADIR010210, ADIR010215, ADIR010214, ADIR010213, ADIR010212, ADIR010211, ADIR010203, ADIR010204	CQUJHB011063
OG0000039	ADIR015925, ADIR015923, ADIR008758, ADIR007693, ADIR015924, ADIR015928, ADIR015927, ADIR007692, ADIR015926	CQUJHB008310, CQUJHB006780, CQUJHB014689, CQUJHB010451, CQUJHB011408, CQUJHB015873, CQUJHB005401, CQUJHB015714, CQUJHB007411
OG0000040	ADIR015602, ADIR015601	CQUJHB002131, CQUJHB000018, CQUJHB020446
OG0000040	ADIR015539, ADIR015541, ADIR015540, ADIR015544, ADIR006103, ADIR015562, ADIR006102	CQUJHB020438
OG0000041	ADIR001834	CQUJHB001955, CQUJHB001825
OG0000041	ADIR001833	CQUJHB000581
OG0000041	ADIR001835	CQUJHB013621, CQUJHB007017
OG0000041	ADIR003420	CQUJHB000078, CQUJHB001849, CQUJHB006430
OG0000042	ADIR000587, ADIR011155, ADIR000580	CQUJHB006261
OG0000042	ADIR004510	CQUJHB014357
OG0000046	ADIR003197	CQUJHB005669, CQUJHB017284
OG0000048	ADIR014671, ADIR016188, ADIR007974, ADIR016182, ADIR016183, ADIR016186, ADIR016187, ADIR016181, ADIR016189	CQUJHB016807, CQUJHB013985, CQUJHB018159, CQUJHB005082, CQUJHB004417, CQUJHB012005, CQUJHB009336, CQUJHB014845, CQUJHB008386
OG0000049	ADIR016124	CQUJHB015876
OG0000049	ADIR016128	CQUJHB015556
OG0000049	ADIR016123	CQUJHB015769
OG0000051	ADIR009276	CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075, CQUJHB010616
OG0000053	ADIR009846, ADIR011408, ADIR011407, ADIR009847, ADIR009845	CQUJHB018432
OG0000055	ADIR003019	CQUJHB018229
OG0000057	ADIR009281, ADIR014808, ADIR009282	CQUJHB014741, CQUJHB005612, CQUJHB013656, CQUJHB013556, CQUJHB001778, CQUJHB008046, CQUJHB011652, CQUJHB016655, CQUJHB009785
OG0000058	ADIR006057	CQUJHB006852, CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265
OG0000058	ADIR011421	CQUJHB005830
OG0000059	ADIR001566, ADIR015747, ADIR015748, ADIR015749, ADIR001568	CQUJHB005700
OG0000059	ADIR003672, ADIR003674	CQUJHB006696
OG0000059	ADIR016197	CQUJHB011753
OG0000060	ADIR014811, ADIR014810	CQUJHB002343
OG0000061	ADIR009531	CQUJHB009715, CQUJHB015055
OG0000061	ADIR007445	CQUJHB017379
OG0000061	ADIR015571	CQUJHB011103, CQUJHB002901
OG0000063	ADIR010309	CQUJHB018065
OG0000063	ADIR008969	CQUJHB002044, CQUJHB000613, CQUJHB012543, CQUJHB009343, CQUJHB015345, CQUJHB000544, CQUJHB010641, CQUJHB004677, CQUJHB012850, CQUJHB007331, CQUJHB015091
OG0000064	ADIR004674	CQUJHB003566, CQUJHB000930
OG0000066	ADIR016088	CQUJHB001473, CQUJHB013967, CQUJHB014531, CQUJHB010763, CQUJHB017631, CQUJHB014363, CQUJHB005589, CQUJHB000577, CQUJHB013835, CQUJHB007426, CQUJHB008217, CQUJHB006490, CQUJHB003531, CQUJHB016109, CQUJHB016500, CQUJHB001827, CQUJHB003990, CQUJHB003459, CQUJHB015610, CQUJHB000474, CQUJHB002758, CQUJHB016478, CQUJHB000237, CQUJHB015509, CQUJHB013197, CQUJHB004921, CQUJHB000497, CQUJHB001209, CQUJHB014773, CQUJHB008090, CQUJHB008837, CQUJHB018110, CQUJHB004113, CQUJHB006255, CQUJHB017942, CQUJHB001527, CQUJHB009545, CQUJHB002670, CQUJHB017303, CQUJHB012383, CQUJHB014300, CQUJHB015022, CQUJHB001686, CQUJHB003237, CQUJHB004142, CQUJHB003979
OG0000067	ADIR001930	CQUJHB012309
OG0000067	ADIR000539	CQUJHB007474, CQUJHB016064
OG0000067	ADIR000540	CQUJHB016947
OG0000068	ADIR007458	CQUJHB004402
OG0000068	ADIR007459	CQUJHB008638, CQUJHB015341, CQUJHB013494, CQUJHB003559
OG0000068	ADIR007460	CQUJHB001983
OG0000069	ADIR003464	CQUJHB002460
OG0000069	ADIR007962	CQUJHB012428
OG0000069	ADIR007263, ADIR007262, ADIR003511	CQUJHB001040, CQUJHB012111, CQUJHB002152
OG0000071	ADIR001093	CQUJHB009539, CQUJHB013274
OG0000071	ADIR002693	CQUJHB005863, CQUJHB017394
OG0000071	ADIR011119, ADIR011120, ADIR011116	CQUJHB016359, CQUJHB013086, CQUJHB010584, CQUJHB004365
OG0000072	ADIR001900	CQUJHB006781
OG0000072	ADIR003546	CQUJHB004785
OG0000072	ADIR008039	CQUJHB005018, CQUJHB006868
OG0000073	ADIR010953	CQUJHB014734
OG0000074	ADIR003703, ADIR003702, ADIR003701	CQUJHB017390, CQUJHB000048, CQUJHB015271, CQUJHB000115
OG0000074	ADIR007318	CQUJHB007995
OG0000075	ADIR008602, ADIR008603, ADIR008604	CQUJHB005515, CQUJHB004149, CQUJHB008196, CQUJHB008855
OG0000076	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068, ADIR002333, ADIR002334	CQUJHB017768, CQUJHB012728, CQUJHB015127
OG0000077	ADIR007690	CQUJHB003639, CQUJHB006400, CQUJHB003896, CQUJHB003043
OG0000079	ADIR010062	CQUJHB003821, CQUJHB018448
OG0000080	ADIR007208	CQUJHB015069
OG0000080	ADIR000033	CQUJHB005257, CQUJHB005516
OG0000081	ADIR007942	CQUJHB001153
OG0000081	ADIR007943	CQUJHB000320
OG0000082	ADIR000069, ADIR000071, ADIR000093	CQUJHB007898
OG0000085	ADIR015828, ADIR015824, ADIR015826, ADIR015825, ADIR015827, ADIR015829	CQUJHB014727, CQUJHB008083
OG0000086	ADIR003037	CQUJHB008375, CQUJHB001568, CQUJHB015160
OG0000086	ADIR006613	CQUJHB012368
OG0000088	ADIR000163	CQUJHB009482
OG0000088	ADIR000290, ADIR000294	CQUJHB017248, CQUJHB001576, CQUJHB008137, CQUJHB008822, CQUJHB009095, CQUJHB004456, CQUJHB013474
OG0000089	ADIR009555	CQUJHB015151
OG0000089	ADIR009554	CQUJHB003816, CQUJHB012139
OG0000090	ADIR015919	CQUJHB017497
OG0000090	ADIR007285	CQUJHB007824
OG0000091	ADIR006521	CQUJHB017444
OG0000093	ADIR002132, ADIR015594, ADIR007529, ADIR003861, ADIR014323	CQUJHB010789
OG0000096	ADIR000343	CQUJHB002716
OG0000096	ADIR010758	CQUJHB018308
OG0000096	ADIR009091	CQUJHB008108
OG0000096	ADIR000344	CQUJHB008616
OG0000097	ADIR010274	CQUJHB011218, CQUJHB006589
OG0000097	ADIR010273	CQUJHB015073
OG0000098	ADIR014792, ADIR006291, ADIR006333, ADIR006300, ADIR015892, ADIR015893	CQUJHB009178, CQUJHB009893, CQUJHB003108, CQUJHB017910
OG0000104	ADIR006249	CQUJHB003501
OG0000104	ADIR010870, ADIR010871, ADIR010869	CQUJHB016210, CQUJHB015480, CQUJHB006103, CQUJHB017990, CQUJHB017746, CQUJHB005521, CQUJHB012378, CQUJHB001763
OG0000108	ADIR004058	CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363
OG0000109	ADIR007689	CQUJHB017035
OG0000109	ADIR009055	CQUJHB000019
OG0000111	ADIR000646, ADIR000644	CQUJHB001127, CQUJHB016273
OG0000114	ADIR000642	CQUJHB001438, CQUJHB002918, CQUJHB003734
OG0000115	ADIR007384	CQUJHB014380
OG0000116	ADIR006147	CQUJHB009840
OG0000116	ADIR005173	CQUJHB015910
OG0000119	ADIR007783	CQUJHB001620
OG0000119	ADIR007782	CQUJHB002189, CQUJHB015704, CQUJHB017923, CQUJHB014370, CQUJHB011823, CQUJHB009096, CQUJHB000195, CQUJHB004701, CQUJHB012571
OG0000120	ADIR015976	CQUJHB006803
OG0000120	ADIR015969, ADIR015967	CQUJHB014331, CQUJHB001450
OG0000127	ADIR002706	CQUJHB008722, CQUJHB006654, CQUJHB003293, CQUJHB000740, CQUJHB013009, CQUJHB013825, CQUJHB003231, CQUJHB009687, CQUJHB007227, CQUJHB017577, CQUJHB005246, CQUJHB012007, CQUJHB016127, CQUJHB003905
OG0000128	ADIR005627	CQUJHB011093
OG0000128	ADIR016172	CQUJHB006737
OG0000128	ADIR016170	CQUJHB017854
OG0000130	ADIR003050	CQUJHB016267
OG0000130	ADIR011436, ADIR011726, ADIR011435	CQUJHB001771
OG0000131	ADIR011335	CQUJHB000645
OG0000131	ADIR011339	CQUJHB014041
OG0000132	ADIR009202	CQUJHB010862
OG0000132	ADIR010804	CQUJHB003091
OG0000133	ADIR000444	CQUJHB009822
OG0000133	ADIR000140	CQUJHB016449
OG0000134	ADIR003660	CQUJHB006248, CQUJHB017587, CQUJHB010568
OG0000134	ADIR003658	CQUJHB012326
OG0000135	ADIR011399	CQUJHB017649
OG0000135	ADIR005919	CQUJHB008910
OG0000135	ADIR000262, ADIR005920	CQUJHB008581
OG0000136	ADIR000092, ADIR000087	CQUJHB007955, CQUJHB006760, CQUJHB009839, CQUJHB008282
OG0000136	ADIR006020	CQUJHB003509, CQUJHB002833, CQUJHB013970
OG0000141	ADIR007903	CQUJHB013589, CQUJHB004400, CQUJHB002761, CQUJHB004199, CQUJHB003761, CQUJHB015077, CQUJHB001493, CQUJHB017741, CQUJHB005542
OG0000142	ADIR008287	CQUJHB011887
OG0000142	ADIR008294	CQUJHB002040
OG0000142	ADIR003290	CQUJHB003927
OG0000143	ADIR004529	CQUJHB014059, CQUJHB002965, CQUJHB006194
OG0000146	ADIR015797, ADIR015798	CQUJHB005895, CQUJHB003363, CQUJHB015207
OG0000147	ADIR011038	CQUJHB005161, CQUJHB000556, CQUJHB001564, CQUJHB001839
OG0000148	ADIR005101	CQUJHB017061
OG0000149	ADIR007907	CQUJHB010028
OG0000149	ADIR007908	CQUJHB014966
OG0000150	ADIR008060	CQUJHB006439
OG0000151	ADIR015810	CQUJHB018327
OG0000152	ADIR015582	CQUJHB014990
OG0000152	ADIR008754, ADIR006715	CQUJHB000800, CQUJHB010394
OG0000152	ADIR008753	CQUJHB009136
OG0000154	ADIR006364	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899
OG0000155	ADIR005418	CQUJHB007333, CQUJHB008665, CQUJHB002705, CQUJHB004511, CQUJHB005859, CQUJHB001497
OG0000156	ADIR011505, ADIR011732	CQUJHB015798, CQUJHB008291, CQUJHB004586, CQUJHB000634
OG0000157	ADIR006810	CQUJHB001379
OG0000161	ADIR005168	CQUJHB017743
OG0000161	ADIR003591	CQUJHB000076
OG0000162	ADIR000480	CQUJHB009418
OG0000162	ADIR000482	CQUJHB004329
OG0000163	ADIR015554	CQUJHB015427
OG0000163	ADIR015557	CQUJHB001490, CQUJHB017982, CQUJHB004125, CQUJHB015576
OG0000163	ADIR015556	CQUJHB004810, CQUJHB003658
OG0000164	ADIR004411	CQUJHB011226
OG0000164	ADIR004413	CQUJHB012144, CQUJHB018124
OG0000165	ADIR001509	CQUJHB004809
OG0000165	ADIR001510	CQUJHB001386
OG0000165	ADIR009841, ADIR005706	CQUJHB008494
OG0000166	ADIR016085	CQUJHB002907
OG0000166	ADIR008138	CQUJHB004489
OG0000166	ADIR016086	CQUJHB009503, CQUJHB000077
OG0000171	ADIR002126	CQUJHB006525
OG0000172	ADIR000138	CQUJHB004762
OG0000172	ADIR000141	CQUJHB006283
OG0000172	ADIR000131	CQUJHB003020
OG0000173	ADIR011553	CQUJHB013713
OG0000173	ADIR011554	CQUJHB001093, CQUJHB007201
OG0000174	ADIR000944	CQUJHB012327
OG0000174	ADIR015737	CQUJHB009037, CQUJHB004035
OG0000174	ADIR015738	CQUJHB011054
OG0000181	ADIR008823, ADIR008822	CQUJHB018406, CQUJHB017566
OG0000182	ADIR005388	CQUJHB010205
OG0000182	ADIR016062	CQUJHB012840
OG0000182	ADIR016059, ADIR016061	CQUJHB007241
OG0000183	ADIR006377, ADIR005819	CQUJHB008471, CQUJHB008317, CQUJHB015904, CQUJHB015217
OG0000184	ADIR006005	CQUJHB005313
OG0000184	ADIR015591, ADIR015590	CQUJHB020350, CQUJHB003938, CQUJHB000274
OG0000185	ADIR000196	CQUJHB017110, CQUJHB016405, CQUJHB006617
OG0000185	ADIR016097	CQUJHB017959, CQUJHB000372
OG0000187	ADIR002758	CQUJHB008770, CQUJHB004129, CQUJHB012844, CQUJHB004306, CQUJHB008082, CQUJHB013210, CQUJHB015795, CQUJHB005653, CQUJHB013231, CQUJHB020318, CQUJHB020398, CQUJHB020313, CQUJHB020424, CQUJHB020405, CQUJHB016508, CQUJHB015181, CQUJHB011232, CQUJHB002253, CQUJHB009569, CQUJHB014578, CQUJHB015136
OG0000188	ADIR009257, ADIR009256	CQUJHB017292, CQUJHB007220, CQUJHB003135
OG0000189	ADIR005379	CQUJHB011357
OG0000189	ADIR010508	CQUJHB001514, CQUJHB016877
OG0000190	ADIR011475	CQUJHB014000
OG0000190	ADIR011077	CQUJHB013041
OG0000190	ADIR004999	CQUJHB007455
OG0000191	ADIR007485, ADIR014641	CQUJHB013758, CQUJHB002302, CQUJHB016362, CQUJHB011469
OG0000192	ADIR010909	CQUJHB011350
OG0000192	ADIR005792	CQUJHB011486
OG0000192	ADIR000914	CQUJHB006523
OG0000193	ADIR005330	CQUJHB016836, CQUJHB008892, CQUJHB000131
OG0000194	ADIR005946	CQUJHB007940
OG0000196	ADIR010880	CQUJHB015310, CQUJHB014474, CQUJHB002527, CQUJHB011596, CQUJHB015062
OG0000197	ADIR010797	CQUJHB014888, CQUJHB008727, CQUJHB015443
OG0000200	ADIR000096	CQUJHB003055
OG0000200	ADIR000097	CQUJHB000054
OG0000200	ADIR006692	CQUJHB006956
OG0000201	ADIR004196	CQUJHB015906
OG0000202	ADIR003924	CQUJHB017404, CQUJHB010576
OG0000204	ADIR015854, ADIR016103, ADIR015857	CQUJHB015536, CQUJHB018050
OG0000204	ADIR015855	CQUJHB009121
OG0000205	ADIR005975	CQUJHB006892
OG0000207	ADIR016010, ADIR016011	CQUJHB009425
OG0000208	ADIR001797	CQUJHB002746
OG0000208	ADIR001798	CQUJHB017609, CQUJHB006033, CQUJHB016545
OG0000209	ADIR001972	CQUJHB000140
OG0000210	ADIR000241	CQUJHB015488, CQUJHB015097, CQUJHB007162
OG0000217	ADIR010726	CQUJHB018057
OG0000217	ADIR005194	CQUJHB008942
OG0000218	ADIR011222	CQUJHB001220
OG0000219	ADIR001531	CQUJHB009528, CQUJHB009252, CQUJHB018120, CQUJHB007367
OG0000220	ADIR006414	CQUJHB002011
OG0000221	ADIR011011	CQUJHB011640
OG0000221	ADIR003610	CQUJHB016680, CQUJHB007754
OG0000222	ADIR000671	CQUJHB015532
OG0000223	ADIR010046	CQUJHB009151
OG0000224	ADIR008980, ADIR008979	CQUJHB005624
OG0000225	ADIR016029	CQUJHB018221
OG0000225	ADIR016028, ADIR016027	CQUJHB016925, CQUJHB017410, CQUJHB002547, CQUJHB013654, CQUJHB010873
OG0000229	ADIR002810	CQUJHB007133
OG0000229	ADIR005804, ADIR005315	CQUJHB010008
OG0000230	ADIR006854	CQUJHB018077, CQUJHB010793, CQUJHB004599, CQUJHB013294, CQUJHB000972
OG0000231	ADIR007453, ADIR007454	CQUJHB015552, CQUJHB009864
OG0000232	ADIR006899, ADIR016139, ADIR016138	CQUJHB004882
OG0000233	ADIR010041	CQUJHB013827, CQUJHB005784
OG0000234	ADIR000732	CQUJHB001691
OG0000234	ADIR000742	CQUJHB001439
OG0000234	ADIR000738	CQUJHB012585
OG0000235	ADIR002045	CQUJHB006661, CQUJHB013626, CQUJHB008173, CQUJHB013536, CQUJHB015825
OG0000236	ADIR010024, ADIR000559	CQUJHB005892, CQUJHB007626, CQUJHB015922
OG0000237	ADIR015947, ADIR015946	CQUJHB010154
OG0000244	ADIR005063	CQUJHB007355
OG0000244	ADIR005071	CQUJHB012679
OG0000245	ADIR002600	CQUJHB000799
OG0000247	ADIR007929, ADIR007928	CQUJHB002713, CQUJHB017013
OG0000247	ADIR007931	CQUJHB002013
OG0000248	ADIR015997	CQUJHB012099
OG0000248	ADIR015996	CQUJHB010965
OG0000249	ADIR001663	CQUJHB009233, CQUJHB007489, CQUJHB002025, CQUJHB001010, CQUJHB009190
OG0000250	ADIR015773	CQUJHB012300
OG0000250	ADIR015774	CQUJHB006421
OG0000250	ADIR015775	CQUJHB004522
OG0000251	ADIR002011	CQUJHB008705
OG0000252	ADIR001823	CQUJHB005253, CQUJHB008240, CQUJHB011189, CQUJHB017858
OG0000252	ADIR014170, ADIR014169	CQUJHB008290
OG0000253	ADIR010453, ADIR010451, ADIR010452	CQUJHB011918, CQUJHB003161
OG0000254	ADIR005871	CQUJHB001657
OG0000254	ADIR008307	CQUJHB009978
OG0000255	ADIR008975	CQUJHB003529
OG0000256	ADIR003548	CQUJHB009160
OG0000256	ADIR003547	CQUJHB014478
OG0000257	ADIR004880	CQUJHB010739, CQUJHB009502, CQUJHB000584, CQUJHB000689, CQUJHB000541, CQUJHB008553, CQUJHB004547, CQUJHB014397, CQUJHB008765
OG0000260	ADIR015800, ADIR015801, ADIR015802, ADIR015799, ADIR015803	CQUJHB020421, CQUJHB004409, CQUJHB006012, CQUJHB011286
OG0000265	ADIR008235, ADIR008228	CQUJHB003184
OG0000265	ADIR001201	CQUJHB006489
OG0000266	ADIR006770	CQUJHB002351
OG0000266	ADIR000724, ADIR000723	CQUJHB011998
OG0000268	ADIR005898, ADIR005897	CQUJHB012623
OG0000268	ADIR005896	CQUJHB010904
OG0000269	ADIR016218	CQUJHB013165, CQUJHB003189
OG0000270	ADIR001672, ADIR001921	CQUJHB003727, CQUJHB017973, CQUJHB003318
OG0000272	ADIR001841, ADIR001852	CQUJHB005415, CQUJHB017192
OG0000274	ADIR009412	CQUJHB003245, CQUJHB014187, CQUJHB000081
OG0000275	ADIR010509	CQUJHB000546, CQUJHB005342, CQUJHB010174, CQUJHB012136, CQUJHB006340, CQUJHB000241, CQUJHB013765
OG0000276	ADIR002281	CQUJHB004277, CQUJHB012726, CQUJHB008874, CQUJHB010302, CQUJHB001377, CQUJHB004937, CQUJHB013546, CQUJHB006216
OG0000277	ADIR002721, ADIR002720	CQUJHB010575, CQUJHB010852, CQUJHB004755, CQUJHB010749, CQUJHB002174, CQUJHB009714, CQUJHB010492, CQUJHB016702, CQUJHB013862
OG0000278	ADIR001634, ADIR001650, ADIR001649, ADIR001631	CQUJHB008764, CQUJHB011798
OG0000279	ADIR000638	CQUJHB005102
OG0000279	ADIR000639	CQUJHB013635, CQUJHB001819
OG0000280	ADIR004759	CQUJHB000493
OG0000285	ADIR002894	CQUJHB011294
OG0000286	ADIR005642	CQUJHB008968, CQUJHB015387
OG0000288	ADIR006111, ADIR015495	CQUJHB010147
OG0000289	ADIR016116, ADIR016115	CQUJHB011529, CQUJHB001666, CQUJHB017987
OG0000290	ADIR002288, ADIR002287	CQUJHB002754, CQUJHB008405
OG0000291	ADIR007609	CQUJHB017541
OG0000291	ADIR015675	CQUJHB015406
OG0000292	ADIR009319	CQUJHB017021
OG0000292	ADIR009317	CQUJHB008145
OG0000293	ADIR000907	CQUJHB008571
OG0000293	ADIR008608	CQUJHB000229, CQUJHB000928, CQUJHB011680
OG0000294	ADIR002676	CQUJHB015184
OG0000294	ADIR005219	CQUJHB009494
OG0000295	ADIR016166, ADIR016165, ADIR016167, ADIR016169, ADIR016168	CQUJHB020305, CQUJHB011786
OG0000296	ADIR000603	CQUJHB017172
OG0000297	ADIR015723	CQUJHB004146, CQUJHB000290
OG0000297	ADIR015724	CQUJHB011318
OG0000298	ADIR007480	CQUJHB011277
OG0000298	ADIR014006	CQUJHB012628
OG0000299	ADIR010341	CQUJHB014668
OG0000299	ADIR002354	CQUJHB005162, CQUJHB009370
OG0000300	ADIR003683	CQUJHB009969, CQUJHB015841, CQUJHB004971, CQUJHB004484, CQUJHB012791, CQUJHB008483, CQUJHB001208, CQUJHB014241, CQUJHB018084, CQUJHB007208, CQUJHB002456, CQUJHB001900, CQUJHB010645, CQUJHB016923, CQUJHB016527, CQUJHB010855
OG0000302	ADIR016215	CQUJHB010010
OG0000302	ADIR008218	CQUJHB010685
