Orthogroup	AdirusWRAIR2	AgambiaePEST
OG0000051	ADIR009276	AGAP010117, AGAP010119, AGAP013749, AGAP012875
OG0000053	ADIR009846, ADIR011408	AGAP008958, AGAP028117, AGAP028033, AGAP028172, AGAP028092, AGAP028134, AGAP028063, AGAP028150
OG0000053	ADIR011407, ADIR009847	AGAP028118, AGAP028020, AGAP028195
OG0000053	ADIR009845	AGAP008956, AGAP028181, AGAP028155, AGAP027990, AGAP028070, AGAP028082, AGAP028226
OG0000055	ADIR003019	AGAP002076
OG0000057	ADIR009281, ADIR014808	AGAP010105, AGAP010107, AGAP010104, AGAP029247, AGAP010106, AGAP010103, AGAP010121, AGAP010108
OG0000057	ADIR009282	AGAP029248
OG0000058	ADIR006057	AGAP009472
OG0000058	ADIR011421	AGAP008945
OG0000059	ADIR001566	AGAP005194
OG0000059	ADIR015747, ADIR015748, ADIR015749	AGAP012778
OG0000059	ADIR001568	AGAP005196, AGAP005195
OG0000059	ADIR003672, ADIR003674	AGAP006707
OG0000059	ADIR016197	AGAP007142, AGAP007141
OG0000060	ADIR014811	AGAP010098
OG0000060	ADIR014810	AGAP010101
OG0000061	ADIR009531	AGAP012230
OG0000061	ADIR007445	AGAP006371
OG0000061	ADIR015570	AGAP002318
OG0000061	ADIR015571	AGAP002317
OG0000063	ADIR010309	AGAP002555
OG0000063	ADIR008969	AGAP002202
OG0000064	ADIR005809	AGAP002134
OG0000067	ADIR001930	AGAP011939
OG0000067	ADIR000539	AGAP012400
OG0000067	ADIR000540	AGAP012399
OG0000068	ADIR007458	AGAP005999
OG0000068	ADIR007459	AGAP005998
OG0000068	ADIR007460	AGAP005996
OG0000069	ADIR003464	AGAP002851
OG0000069	ADIR007962	AGAP007197
OG0000069	ADIR007263	AGAP007415
OG0000069	ADIR007262	AGAP002849
OG0000069	ADIR003511	AGAP002804
OG0000071	ADIR001093	AGAP000088
OG0000071	ADIR002693	AGAP001861
OG0000071	ADIR011119	AGAP028019
OG0000071	ADIR011120	AGAP008358
OG0000071	ADIR011116	AGAP008356
OG0000072	ADIR001900	AGAP010971
OG0000072	ADIR003546	AGAP002770
OG0000072	ADIR008039	AGAP007122
OG0000073	ADIR010953	AGAP007752
OG0000074	ADIR003703	AGAP005385
OG0000074	ADIR003702	AGAP005386
OG0000074	ADIR003701	AGAP005387, AGAP005388
OG0000074	ADIR007318	AGAP007354
OG0000075	ADIR008602, ADIR008603	AGAP006980, AGAP006984
OG0000075	ADIR008604	AGAP006985, AGAP006982
OG0000076	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068	AGAP009449, AGAP009448, AGAP010931, AGAP011270, AGAP012638, AGAP011267, AGAP029737, AGAP029736, AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234, AGAP011233
OG0000076	ADIR002333	AGAP000216
OG0000076	ADIR002334	AGAP011835
OG0000077	ADIR007690	AGAP006425, AGAP006423
OG0000078	ADIR002699, ADIR005603, ADIR003863	AGAP029351
OG0000078	ADIR014322	AGAP028565
OG0000079	ADIR010062	AGAP012985, AGAP012982, AGAP013149
OG0000080	ADIR007435	AGAP006379
OG0000080	ADIR007208	AGAP007504
OG0000080	ADIR000033	AGAP012155, AGAP012156
OG0000081	ADIR007942	AGAP007161
OG0000081	ADIR008727	AGAP005547, AGAP005548
OG0000081	ADIR007940	AGAP007159, AGAP007158
OG0000081	ADIR007943	AGAP007162
OG0000084	ADIR000418, ADIR000427, ADIR005396, ADIR006268, ADIR000210, ADIR009384, ADIR011746, ADIR011728, ADIR011508, ADIR011507, ADIR000293, ADIR014029, ADIR000286, ADIR011747, ADIR000304, ADIR011506	AGAP012827
OG0000085	ADIR015828	AGAP003763
OG0000085	ADIR015824	AGAP003764
OG0000085	ADIR015826	AGAP013346
OG0000085	ADIR015825, ADIR015827	AGAP003760, AGAP003759, AGAP003762
OG0000085	ADIR015829	AGAP003758
OG0000086	ADIR009203	AGAP004809
OG0000086	ADIR003037	AGAP013155, AGAP001881, AGAP012984
OG0000086	ADIR006613	AGAP013150
OG0000088	ADIR000163	AGAP011575
OG0000088	ADIR000290	AGAP011507
OG0000088	ADIR000294	AGAP011509
OG0000089	ADIR009555	AGAP029766
OG0000089	ADIR009554	AGAP029781, AGAP029780, AGAP029779, AGAP028709, AGAP028708, AGAP029765
OG0000090	ADIR015919	AGAP007347
OG0000090	ADIR007286	AGAP007385
OG0000090	ADIR007285	AGAP007386
OG0000090	ADIR015920, ADIR015918	AGAP007346, AGAP007345, AGAP007344
OG0000091	ADIR006521	AGAP013511
OG0000093	ADIR002132	AGAP011339
OG0000093	ADIR015594, ADIR007529	AGAP005077
OG0000093	ADIR003861	AGAP005308
OG0000096	ADIR000343	AGAP010929
OG0000096	ADIR010758	AGAP008622
OG0000096	ADIR009091	AGAP005293
OG0000096	ADIR000344	AGAP010510
OG0000097	ADIR010274	AGAP013451
OG0000097	ADIR010273	AGAP029385
OG0000098	ADIR015892	AGAP011325, AGAP009215, AGAP009214
OG0000098	ADIR015893	AGAP009220
OG0000103	ADIR014328	AGAP029484
OG0000104	ADIR006249	AGAP009159
OG0000104	ADIR010870, ADIR010871, ADIR010869	AGAP008545, AGAP028059, AGAP028140, AGAP008544
OG0000105	ADIR000198	AGAP010618, AGAP028705, AGAP012473, AGAP028704, AGAP010614, AGAP012670, AGAP012671, AGAP010615, AGAP012566, AGAP029961, AGAP010617, AGAP010619, AGAP010620, AGAP012472, AGAP012492, AGAP010015, AGAP012470, AGAP010663, AGAP029193, AGAP012692, AGAP029192, AGAP010661, AGAP029095
OG0000108	ADIR004058	AGAP006187
OG0000109	ADIR007689	AGAP006427
OG0000109	ADIR009055	AGAP029457
OG0000111	ADIR000646	AGAP008465
OG0000111	ADIR000644	AGAP008460
OG0000114	ADIR000642	AGAP008458
OG0000114	ADIR000643	AGAP008459
OG0000115	ADIR007384	AGAP006594
OG0000115	ADIR007383	AGAP006595
OG0000116	ADIR005173	AGAP009835
OG0000117	ADIR006765	AGAP029801
OG0000119	ADIR007783	AGAP005834
OG0000119	ADIR007782	AGAP005835, AGAP005836, AGAP005837
OG0000120	ADIR015976	AGAP001249
OG0000120	ADIR015967	AGAP001245
OG0000120	ADIR004301	AGAP006869
OG0000123	ADIR004735	AGAP029183, AGAP029220
OG0000123	ADIR005940	AGAP013242, AGAP013436, AGAP029216
OG0000124	ADIR007238	AGAP007461
OG0000124	ADIR007249	AGAP007443
OG0000124	ADIR007237, ADIR007235	AGAP007463, AGAP007464, AGAP007462, AGAP007465, AGAP029854, AGAP007466, AGAP007470, AGAP007467, AGAP007469, AGAP007468, AGAP007471
OG0000127	ADIR002706	AGAP001825
OG0000128	ADIR005627	AGAP010917
OG0000128	ADIR016172	AGAP011366
OG0000128	ADIR016170	AGAP011365
OG0000130	ADIR003050	AGAP001899
OG0000130	ADIR011436	AGAP008468
OG0000130	ADIR011726, ADIR011435	AGAP028049
OG0000131	ADIR011335	AGAP009877
OG0000131	ADIR011339	AGAP009871
OG0000132	ADIR009202	AGAP004806
OG0000132	ADIR010804	AGAP011287
OG0000133	ADIR000444	AGAP012279
OG0000133	ADIR000139	AGAP011611
OG0000133	ADIR000140	AGAP011610
OG0000134	ADIR003659	AGAP006724, AGAP006725
OG0000134	ADIR003660	AGAP006726
OG0000134	ADIR003658	AGAP006728
OG0000135	ADIR011399	AGAP008968
OG0000135	ADIR005919	AGAP029163, AGAP029157, AGAP007907
OG0000135	ADIR000262	AGAP011482
OG0000135	ADIR005920	AGAP007906
OG0000136	ADIR000092, ADIR000087	AGAP011204
OG0000136	ADIR006020	AGAP009509
OG0000141	ADIR007903	AGAP005757
OG0000142	ADIR008287	AGAP003422, AGAP003423
OG0000142	ADIR008294	AGAP003432
OG0000142	ADIR003290	AGAP003078
OG0000143	ADIR004529	AGAP012957, AGAP002418, AGAP013241, AGAP002419
OG0000146	ADIR015797	AGAP001956
OG0000146	ADIR015798	AGAP013106
OG0000147	ADIR011038	AGAP008020, AGAP012800, AGAP008022
OG0000148	ADIR005101	AGAP009757
OG0000149	ADIR007907	AGAP005753
OG0000149	ADIR007908	AGAP005751
OG0000150	ADIR008060	AGAP007104
OG0000151	ADIR015810	AGAP003785, AGAP012609
OG0000152	ADIR015582	AGAP006398
OG0000152	ADIR008753	AGAP006103
OG0000155	ADIR005418	AGAP004355, AGAP004356, AGAP004357, AGAP004354
OG0000157	ADIR006810	AGAP028217
OG0000159	ADIR002318, ADIR014218	AGAP011072, AGAP011073, AGAP011071
OG0000159	ADIR002317, ADIR002312, ADIR002313, ADIR002314, ADIR002352, ADIR002315	AGAP028508, AGAP028506, AGAP029790, AGAP028685, AGAP028687, AGAP029789, AGAP029775, AGAP029665, AGAP028688
OG0000159	ADIR002316	AGAP028690, AGAP028689
OG0000160	ADIR003566	AGAP029361, AGAP006815
OG0000161	ADIR005168	AGAP009830
OG0000161	ADIR003591	AGAP006795
OG0000162	ADIR000480	AGAP012318
OG0000162	ADIR000482	AGAP012321
OG0000163	ADIR015554	AGAP009436
OG0000163	ADIR015557	AGAP009434
OG0000163	ADIR015556	AGAP009435
OG0000164	ADIR004411	AGAP004571
OG0000164	ADIR004413	AGAP004566
OG0000165	ADIR001509	AGAP000194
OG0000165	ADIR001510	AGAP000192
OG0000165	ADIR009841	AGAP000193
OG0000165	ADIR005706	AGAP010414
OG0000166	ADIR016085	AGAP006048
OG0000166	ADIR008138	AGAP006049
OG0000166	ADIR016086	AGAP006047
OG0000171	ADIR002126	AGAP011347
OG0000172	ADIR000138	AGAP011613
OG0000172	ADIR000141	AGAP011609
OG0000172	ADIR000131	AGAP011618
OG0000173	ADIR011553	AGAP029928
OG0000173	ADIR011554	AGAP010764
OG0000174	ADIR003663	AGAP006722
OG0000174	ADIR000944	AGAP000694
OG0000174	ADIR015737	AGAP000693
OG0000181	ADIR008823	AGAP006078, AGAP006079
OG0000181	ADIR008822	AGAP006075
OG0000182	ADIR005388	AGAP003722, AGAP012784
OG0000182	ADIR016062	AGAP003720
OG0000182	ADIR016059	AGAP003721
OG0000183	ADIR006377	AGAP002423
OG0000183	ADIR005819	AGAP002973
OG0000184	ADIR006005	AGAP009519
OG0000184	ADIR015590	AGAP009520
OG0000185	ADIR000196	AGAP029203, AGAP010657
OG0000185	ADIR016097	AGAP005768
OG0000187	ADIR002758	AGAP002905
OG0000188	ADIR009257, ADIR009256	AGAP004855
OG0000189	ADIR005379	AGAP003711
OG0000189	ADIR010508	AGAP001588, AGAP012818, AGAP001587
OG0000190	ADIR011475	AGAP029641
OG0000190	ADIR011077	AGAP008320
OG0000190	ADIR004999	AGAP009683
OG0000191	ADIR007485, ADIR014641	AGAP005966, AGAP005967, AGAP005968
OG0000192	ADIR010909	AGAP008588
OG0000192	ADIR005792	AGAP002152
OG0000192	ADIR000914	AGAP000962
OG0000193	ADIR005330	AGAP002022
OG0000194	ADIR005946	AGAP009540, AGAP009541, AGAP012649
OG0000196	ADIR010880	AGAP008557
OG0000200	ADIR000096	AGAP011195
OG0000200	ADIR000097	AGAP011194
OG0000200	ADIR006692	AGAP002325
OG0000201	ADIR004196	AGAP006208
OG0000202	ADIR001167	AGAP000414
OG0000202	ADIR003924	AGAP000288
OG0000204	ADIR016103, ADIR015857	AGAP006911
OG0000204	ADIR015855	AGAP006910
OG0000204	ADIR015856	AGAP006909
OG0000205	ADIR005975	AGAP009551, AGAP012673, AGAP009553, AGAP012672, AGAP009552
OG0000206	ADIR000696	AGAP008627
OG0000207	ADIR016010	AGAP001002, AGAP010637, AGAP000999, AGAP029166, AGAP013027, AGAP010669, AGAP010636, AGAP010634
OG0000207	ADIR016011	AGAP001004
OG0000208	ADIR001797	AGAP011183
OG0000208	ADIR001798	AGAP011184
OG0000209	ADIR001972	AGAP011893
OG0000210	ADIR000241	AGAP011432, AGAP029292, AGAP029324, AGAP029065
OG0000216	ADIR006331	AGAP028734, AGAP028691, AGAP028692, AGAP028663, AGAP004913, AGAP004941, AGAP008170, AGAP028735
OG0000217	ADIR010726	AGAP012963
OG0000217	ADIR005194	AGAP000310
OG0000218	ADIR011222	AGAP008054
OG0000218	ADIR011220	AGAP008052
OG0000218	ADIR011219	AGAP008051
OG0000219	ADIR001531	AGAP000907
OG0000220	ADIR006414	AGAP013260
OG0000221	ADIR011011	AGAP007990
OG0000221	ADIR003610	AGAP006775
OG0000222	ADIR000671	AGAP028196
OG0000222	ADIR004052	AGAP010241
OG0000223	ADIR010046	AGAP001185
OG0000224	ADIR008980, ADIR008979	AGAP013366, AGAP012995, AGAP029279, AGAP013463
OG0000225	ADIR016029	AGAP003067
OG0000225	ADIR016028	AGAP003066
OG0000225	ADIR016027	AGAP003065
OG0000226	ADIR006402	AGAP002446
OG0000226	ADIR006404	AGAP002447
OG0000228	ADIR007268, ADIR007267, ADIR006114	AGAP007407, AGAP007410
OG0000228	ADIR007266	AGAP000871, AGAP007411
OG0000229	ADIR002810	AGAP003236
OG0000229	ADIR005804	AGAP002137
OG0000229	ADIR005315	AGAP002008
OG0000230	ADIR006854	AGAP028050, AGAP008670, AGAP008671
OG0000231	ADIR007453	AGAP006013
OG0000231	ADIR007454	AGAP006012
OG0000232	ADIR006899, ADIR016139	AGAP005657, AGAP012667, AGAP005660
OG0000232	ADIR016138	AGAP005656
OG0000233	ADIR010041	AGAP001190
OG0000234	ADIR000732	AGAP007802
OG0000234	ADIR000742	AGAP007808
OG0000234	ADIR000738	AGAP007803
OG0000235	ADIR002045	AGAP013372, AGAP000706, AGAP013152, AGAP012911, AGAP012124
OG0000236	ADIR010024	AGAP001202
OG0000237	ADIR015947	AGAP003501
OG0000237	ADIR015946	AGAP003500
OG0000244	ADIR005063	AGAP009717, AGAP028644, AGAP009716, AGAP009723, AGAP009711
OG0000244	ADIR005072	AGAP029589
OG0000245	ADIR002600	AGAP002360, AGAP002359
OG0000247	ADIR007929	AGAP006146
OG0000247	ADIR007928	AGAP006145
OG0000247	ADIR007931	AGAP006148
OG0000248	ADIR015997	AGAP028212
OG0000248	ADIR015996	AGAP028060
OG0000249	ADIR001663	AGAP004935
OG0000250	ADIR015773	AGAP002055
OG0000250	ADIR015774	AGAP002058
OG0000250	ADIR015775	AGAP002056
OG0000251	ADIR002011	AGAP012697, AGAP029782, AGAP029784
OG0000252	ADIR001823	AGAP028629
OG0000252	ADIR014170, ADIR014169	AGAP011674
OG0000253	ADIR010453, ADIR010451, ADIR010452	AGAP001648
OG0000254	ADIR005871	AGAP004634
OG0000254	ADIR008307	AGAP013293
OG0000255	ADIR008975	AGAP002195, AGAP002197
OG0000256	ADIR003548	AGAP002766
OG0000256	ADIR003547	AGAP002767, AGAP002769
OG0000257	ADIR004880	AGAP008795, AGAP028220, AGAP008796
OG0000260	ADIR015800	AGAP013416
OG0000260	ADIR015801, ADIR015802	AGAP002763
OG0000260	ADIR015799	AGAP013285
OG0000260	ADIR015803	AGAP013363
OG0000265	ADIR008235	AGAP007255
OG0000265	ADIR008228	AGAP007266
OG0000265	ADIR001201	AGAP000253
OG0000266	ADIR006770	AGAP008867
OG0000266	ADIR000724	AGAP007794
OG0000266	ADIR000723	AGAP007793
OG0000268	ADIR005898	AGAP029235
OG0000268	ADIR005897	AGAP007932
OG0000268	ADIR005896	AGAP007933
OG0000269	ADIR016218	AGAP001722
OG0000270	ADIR001672	AGAP004920, AGAP012945
OG0000270	ADIR001921	AGAP011951, AGAP011952
OG0000272	ADIR001841	AGAP011698
OG0000272	ADIR001852	AGAP011696
OG0000272	ADIR009159	AGAP004760
OG0000273	ADIR009959	AGAP001283
OG0000274	ADIR009412	AGAP010002, AGAP009985
OG0000275	ADIR010509	AGAP003083
OG0000276	ADIR002281	AGAP012686, AGAP029761, AGAP029762
OG0000277	ADIR002721	AGAP001811, AGAP001812
OG0000278	ADIR001634	AGAP004971
OG0000278	ADIR001650, ADIR001649	AGAP004951
OG0000278	ADIR001631	AGAP004974
OG0000279	ADIR000638	AGAP008447
OG0000279	ADIR000639	AGAP008449
OG0000280	ADIR004761	AGAP009918
OG0000280	ADIR004760	AGAP009917
OG0000280	ADIR004759	AGAP029826, AGAP029827
OG0000285	ADIR002894	AGAP004324
OG0000285	ADIR015838	AGAP003096
OG0000285	ADIR015839	AGAP003097
OG0000286	ADIR005642	AGAP010505, AGAP010504
OG0000287	ADIR015574, ADIR015569, ADIR015568	AGAP009705, AGAP009707, AGAP009720, AGAP009719, AGAP009718, AGAP009706
OG0000288	ADIR006111	AGAP009363, AGAP009374
OG0000288	ADIR015495	AGAP029144, AGAP009375
OG0000289	ADIR016116	AGAP028096
OG0000289	ADIR016115	AGAP011302
OG0000290	ADIR002288	AGAP011048
OG0000290	ADIR002287	AGAP011047
OG0000291	ADIR007609	AGAP006510
OG0000291	ADIR015675	AGAP006271
OG0000292	ADIR009319	AGAP010057
OG0000292	ADIR009317	AGAP029713, AGAP029711, AGAP029712
OG0000293	ADIR000907	AGAP001006
OG0000293	ADIR008608	AGAP006991
OG0000294	ADIR002676	AGAP002506
OG0000294	ADIR005219	AGAP012451
OG0000295	ADIR016166, ADIR016165, ADIR016167	AGAP010650
OG0000295	ADIR016169	AGAP010649
OG0000295	ADIR016168	AGAP010648
OG0000296	ADIR000603	AGAP008278, AGAP008279
OG0000297	ADIR015723	AGAP000163
OG0000297	ADIR015724	AGAP000165
OG0000298	ADIR007480	AGAP005975
OG0000298	ADIR014006	AGAP028749
OG0000299	ADIR010341	AGAP002521
OG0000299	ADIR002354	AGAP011852
OG0000300	ADIR003683	AGAP006698
OG0000302	ADIR016215	AGAP007286
OG0000302	ADIR008218	AGAP007287
OG0000303	ADIR005583	AGAP002272
OG0000303	ADIR004582	AGAP002274
OG0000304	ADIR010873	AGAP028011
OG0000304	ADIR010872	AGAP008547
OG0000305	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834	AGAP008813
OG0000306	ADIR010982	AGAP007964
OG0000306	ADIR010985	AGAP007965
OG0000306	ADIR010984	AGAP013745
OG0000313	ADIR000645	AGAP008456, AGAP008457, AGAP029423, AGAP008479, AGAP028098, AGAP008463, AGAP008453, AGAP008480, AGAP008452, AGAP008451, AGAP008461, AGAP008462
OG0000314	ADIR011445	AGAP028047, AGAP028119, AGAP028113, AGAP028191, AGAP028077, AGAP028089, AGAP008478, AGAP028126
OG0000317	ADIR008367	AGAP012969, AGAP004432, AGAP012872
OG0000318	ADIR006689	AGAP007879
OG0000318	ADIR007089	AGAP007881
OG0000319	ADIR004939	AGAP008734
OG0000319	ADIR007826	AGAP005794
OG0000320	ADIR005272, ADIR005235	AGAP010730
OG0000321	ADIR015863	AGAP028153
OG0000321	ADIR015862	AGAP009056
OG0000321	ADIR011556	AGAP010766, AGAP010765
OG0000324	ADIR010906	AGAP028204
OG0000324	ADIR010907	AGAP008584
OG0000325	ADIR006976	AGAP007534
OG0000326	ADIR005565	AGAP003658
OG0000326	ADIR003426	AGAP001773, AGAP001774, AGAP012781
OG0000327	ADIR004793	AGAP009949
OG0000328	ADIR001956	AGAP011914, AGAP011913
OG0000328	ADIR001957	AGAP011912
OG0000329	ADIR006061, ADIR003916	AGAP029555
OG0000329	ADIR006062	AGAP009460
OG0000330	ADIR001248	AGAP000988, AGAP000987
OG0000331	ADIR009969	AGAP001264
OG0000332	ADIR010199	AGAP013321
OG0000332	ADIR010356	AGAP001742
OG0000332	ADIR010198	AGAP002650
OG0000333	ADIR004150, ADIR004140, ADIR007959, ADIR003780	AGAP007203
OG0000334	ADIR004979	AGAP009010
OG0000336	ADIR004183	AGAP006216
OG0000336	ADIR004182	AGAP029478
OG0000336	ADIR004184	AGAP006215
OG0000340	ADIR001281, ADIR001282	AGAP000643, AGAP000642
OG0000340	ADIR001283	AGAP000641, AGAP000644
OG0000341	ADIR011233	AGAP028712, AGAP029833, AGAP028714, AGAP028715, AGAP028720, AGAP029832, AGAP028593
OG0000344	ADIR001581	AGAP005208
OG0000345	ADIR000883	AGAP010046, AGAP029395, AGAP010047
OG0000346	ADIR002727	AGAP003197, AGAP003195
OG0000347	ADIR011568	AGAP029724
OG0000348	ADIR005623	AGAP029288
OG0000349	ADIR008567	AGAP005912
OG0000349	ADIR008566	AGAP005913
OG0000351	ADIR000179	AGAP011560, AGAP029490
