Orthogroup	AstephensiUCISS2018	CquinquefasciatusJHB2020
OG0000010	ASTEI20_038323, ASTEI20_041896, ASTEI20_032085, ASTEI20_034511, ASTEI20_045103, ASTEI20_045045, ASTEI20_037148, ASTEI20_039539, ASTEI20_038929, ASTEI20_039292, ASTEI20_037439, ASTEI20_041154, ASTEI20_041324, ASTEI20_040759, ASTEI20_041054, ASTEI20_033362, ASTEI20_037332	CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374
OG0000011	ASTEI20_036542	CQUJHB010034, CQUJHB012166
OG0000011	ASTEI20_040335	CQUJHB017782
OG0000011	ASTEI20_040522, ASTEI20_033315, ASTEI20_039922, ASTEI20_042899, ASTEI20_037935, ASTEI20_034583, ASTEI20_039544, ASTEI20_039582, ASTEI20_040205, ASTEI20_032335, ASTEI20_044907	CQUJHB009406, CQUJHB008703, CQUJHB007209, CQUJHB003154, CQUJHB016900, CQUJHB006977, CQUJHB006084, CQUJHB014128, CQUJHB014298, CQUJHB009992, CQUJHB003864, CQUJHB007951, CQUJHB009382, CQUJHB002707
OG0000012	ASTEI20_035093	CQUJHB005776, CQUJHB000447
OG0000012	ASTEI20_044655	CQUJHB015331, CQUJHB006695, CQUJHB006332, CQUJHB001229, CQUJHB004173
OG0000012	ASTEI20_038389	CQUJHB017365, CQUJHB001464, CQUJHB015627, CQUJHB008015
OG0000013	ASTEI20_044393, ASTEI20_036070, ASTEI20_034401	CQUJHB005557, CQUJHB003968
OG0000013	ASTEI20_042039	CQUJHB001230
OG0000013	ASTEI20_033404	CQUJHB017291
OG0000013	ASTEI20_042237, ASTEI20_043320	CQUJHB016730, CQUJHB002448, CQUJHB016895
OG0000014	ASTEI20_035937	CQUJHB010535, CQUJHB010268, CQUJHB016652, CQUJHB005213, CQUJHB010035, CQUJHB004375, CQUJHB007396, CQUJHB004496, CQUJHB013428, CQUJHB011375, CQUJHB017103, CQUJHB002299, CQUJHB002262, CQUJHB000349, CQUJHB009868, CQUJHB010683, CQUJHB003432, CQUJHB007349, CQUJHB000429, CQUJHB012022, CQUJHB011118, CQUJHB018125
OG0000014	ASTEI20_030803, ASTEI20_045732, ASTEI20_043799, ASTEI20_033207, ASTEI20_037522, ASTEI20_042376, ASTEI20_038148, ASTEI20_041712	CQUJHB005028
OG0000015	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231	CQUJHB014108, CQUJHB006827
OG0000015	ASTEI20_044899, ASTEI20_031600, ASTEI20_037282, ASTEI20_034188	CQUJHB017458
OG0000016	ASTEI20_044818	CQUJHB006645, CQUJHB016247
OG0000016	ASTEI20_031052, ASTEI20_044106, ASTEI20_037566, ASTEI20_040856, ASTEI20_042351	CQUJHB002864, CQUJHB014022, CQUJHB013033, CQUJHB008355, CQUJHB010597, CQUJHB015483, CQUJHB013841, CQUJHB014607, CQUJHB001605, CQUJHB016745, CQUJHB011147, CQUJHB016507
OG0000016	ASTEI20_033956	CQUJHB001667, CQUJHB007454, CQUJHB003219, CQUJHB007767, CQUJHB016639
OG0000017	ASTEI20_041579	CQUJHB001516
OG0000017	ASTEI20_039449	CQUJHB006040, CQUJHB006644, CQUJHB017511
OG0000020	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417, ASTEI20_041247, ASTEI20_030966, ASTEI20_044090, ASTEI20_042722, ASTEI20_033349, ASTEI20_033857, ASTEI20_043843, ASTEI20_038201	CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495
OG0000021	ASTEI20_031602	CQUJHB005197
OG0000021	ASTEI20_042507	CQUJHB014638
OG0000021	ASTEI20_033844	CQUJHB010956
OG0000021	ASTEI20_036164	CQUJHB016733
OG0000021	ASTEI20_042454	CQUJHB012948
OG0000021	ASTEI20_044345	CQUJHB015628
OG0000022	ASTEI20_044612, ASTEI20_045722	CQUJHB013191, CQUJHB015725, CQUJHB017245, CQUJHB003806, CQUJHB013101, CQUJHB004318, CQUJHB008392, CQUJHB003227, CQUJHB002133, CQUJHB015664, CQUJHB010128, CQUJHB005252, CQUJHB004885, CQUJHB003399, CQUJHB015966, CQUJHB017117, CQUJHB003827, CQUJHB018042, CQUJHB009998, CQUJHB007412, CQUJHB016624, CQUJHB004757, CQUJHB001711, CQUJHB013417, CQUJHB016403
OG0000023	ASTEI20_034207, ASTEI20_038660	CQUJHB000253, CQUJHB005111, CQUJHB002050, CQUJHB007212
OG0000023	ASTEI20_035807	CQUJHB015434, CQUJHB012060
OG0000024	ASTEI20_036317	CQUJHB005662
OG0000024	ASTEI20_030796	CQUJHB001106, CQUJHB003177
OG0000024	ASTEI20_042294	CQUJHB015002
OG0000024	ASTEI20_032042, ASTEI20_038906	CQUJHB015651, CQUJHB010229, CQUJHB003602
OG0000024	ASTEI20_045971, ASTEI20_035495	CQUJHB002318, CQUJHB007527, CQUJHB006873
OG0000025	ASTEI20_036374, ASTEI20_044660	CQUJHB015932
OG0000026	ASTEI20_037139	CQUJHB017272
OG0000026	ASTEI20_030979	CQUJHB016420
OG0000026	ASTEI20_036805	CQUJHB011732, CQUJHB012165
OG0000026	ASTEI20_033037	CQUJHB005106
OG0000026	ASTEI20_038151	CQUJHB007540
OG0000027	ASTEI20_032352	CQUJHB010117, CQUJHB008521, CQUJHB007524, CQUJHB011421, CQUJHB004925, CQUJHB013189, CQUJHB015720, CQUJHB004094
OG0000027	ASTEI20_038580, ASTEI20_036720	CQUJHB008109, CQUJHB008680, CQUJHB008247, CQUJHB011016, CQUJHB011122, CQUJHB017358, CQUJHB008899, CQUJHB012953, CQUJHB006211, CQUJHB003906, CQUJHB001161, CQUJHB015070, CQUJHB003476, CQUJHB011300, CQUJHB003752
OG0000028	ASTEI20_031230	CQUJHB009718
OG0000030	ASTEI20_038223	CQUJHB013699, CQUJHB008107, CQUJHB010736, CQUJHB010439
OG0000031	ASTEI20_045661, ASTEI20_042458, ASTEI20_045950, ASTEI20_040834, ASTEI20_042405, ASTEI20_031598	CQUJHB004966, CQUJHB011245, CQUJHB016938, CQUJHB013426, CQUJHB002608, CQUJHB000575, CQUJHB001850, CQUJHB002269, CQUJHB014875, CQUJHB013110, CQUJHB001744, CQUJHB018315, CQUJHB001956, CQUJHB015821, CQUJHB000335, CQUJHB007959, CQUJHB003757, CQUJHB016964, CQUJHB016071, CQUJHB013550, CQUJHB018096, CQUJHB005093, CQUJHB005184, CQUJHB006333
OG0000032	ASTEI20_045092	CQUJHB001221, CQUJHB005224
OG0000032	ASTEI20_031606	CQUJHB003097, CQUJHB017356, CQUJHB004843, CQUJHB006636, CQUJHB013020
OG0000032	ASTEI20_041238	CQUJHB008157, CQUJHB003203, CQUJHB010737
OG0000032	ASTEI20_037767	CQUJHB010350
OG0000033	ASTEI20_034999	CQUJHB013700
OG0000034	ASTEI20_040625	CQUJHB012032
OG0000037	ASTEI20_038052, ASTEI20_032497, ASTEI20_031459, ASTEI20_042647, ASTEI20_041766, ASTEI20_039477, ASTEI20_034438, ASTEI20_044399, ASTEI20_045557, ASTEI20_042942	CQUJHB011063
OG0000038	ASTEI20_034060, ASTEI20_031917, ASTEI20_036981, ASTEI20_043988, ASTEI20_040884, ASTEI20_031692, ASTEI20_038945, ASTEI20_036390, ASTEI20_031315	CQUJHB015468
OG0000039	ASTEI20_041961, ASTEI20_034016, ASTEI20_042151, ASTEI20_039200, ASTEI20_040849, ASTEI20_035166, ASTEI20_036321, ASTEI20_037293	CQUJHB008310, CQUJHB006780, CQUJHB014689, CQUJHB010451, CQUJHB011408, CQUJHB015873, CQUJHB005401, CQUJHB015714, CQUJHB007411
OG0000040	ASTEI20_037172	CQUJHB002131, CQUJHB000018, CQUJHB020446
OG0000040	ASTEI20_034704, ASTEI20_040829, ASTEI20_045547, ASTEI20_039503	CQUJHB020438
OG0000041	ASTEI20_038827	CQUJHB001955, CQUJHB001825
OG0000041	ASTEI20_038756	CQUJHB000581
OG0000041	ASTEI20_034624	CQUJHB013621, CQUJHB007017
OG0000041	ASTEI20_036497	CQUJHB000078, CQUJHB001849, CQUJHB006430
OG0000042	ASTEI20_044170, ASTEI20_041547, ASTEI20_038339	CQUJHB006261
OG0000045	ASTEI20_038821	CQUJHB000359, CQUJHB018399, CQUJHB003478, CQUJHB004554
OG0000046	ASTEI20_033536, ASTEI20_045137	CQUJHB005669, CQUJHB017284
OG0000048	ASTEI20_036610, ASTEI20_030791, ASTEI20_041758, ASTEI20_034337, ASTEI20_034409	CQUJHB016807, CQUJHB013985, CQUJHB018159, CQUJHB005082, CQUJHB004417, CQUJHB012005, CQUJHB009336, CQUJHB014845, CQUJHB008386
OG0000049	ASTEI20_044950	CQUJHB015876
OG0000049	ASTEI20_037621	CQUJHB015556
OG0000049	ASTEI20_039499	CQUJHB015769
OG0000051	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103	CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075, CQUJHB010616
OG0000052	ASTEI20_043416	CQUJHB005091
OG0000052	ASTEI20_035536	CQUJHB017932, CQUJHB006568, CQUJHB007297, CQUJHB011415
OG0000053	ASTEI20_044934, ASTEI20_043576, ASTEI20_040463, ASTEI20_037018, ASTEI20_032861, ASTEI20_037570, ASTEI20_036072	CQUJHB018432
OG0000055	ASTEI20_041788, ASTEI20_036817	CQUJHB018229
OG0000055	ASTEI20_036856, ASTEI20_032399, ASTEI20_042765, ASTEI20_041371, ASTEI20_043376	CQUJHB002352
OG0000056	ASTEI20_042561, ASTEI20_043469, ASTEI20_043631, ASTEI20_034068, ASTEI20_040541, ASTEI20_037672, ASTEI20_032489	CQUJHB010210
OG0000057	ASTEI20_031438, ASTEI20_044408, ASTEI20_032987, ASTEI20_039149, ASTEI20_036909, ASTEI20_043801, ASTEI20_033403, ASTEI20_041738	CQUJHB014741, CQUJHB005612, CQUJHB013656, CQUJHB013556, CQUJHB001778, CQUJHB008046, CQUJHB011652, CQUJHB016655, CQUJHB009785
OG0000058	ASTEI20_035290	CQUJHB000757
OG0000058	ASTEI20_043943, ASTEI20_042767	CQUJHB006852, CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265
OG0000058	ASTEI20_037097	CQUJHB016789
OG0000058	ASTEI20_045123	CQUJHB013221
OG0000058	ASTEI20_036123, ASTEI20_031030	CQUJHB005830
OG0000059	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207, ASTEI20_040754	CQUJHB005700
OG0000059	ASTEI20_037464, ASTEI20_043703	CQUJHB006696
OG0000059	ASTEI20_034096, ASTEI20_032263, ASTEI20_039938, ASTEI20_036541	CQUJHB011753
OG0000060	ASTEI20_037656	CQUJHB004792
OG0000060	ASTEI20_045967	CQUJHB016380, CQUJHB008966, CQUJHB012898, CQUJHB014019, CQUJHB012243
OG0000060	ASTEI20_042375, ASTEI20_044978	CQUJHB002343
OG0000061	ASTEI20_045924, ASTEI20_044992	CQUJHB009715, CQUJHB015055
OG0000061	ASTEI20_042918	CQUJHB017379
OG0000061	ASTEI20_042895	CQUJHB011103, CQUJHB002901
OG0000062	ASTEI20_044163, ASTEI20_037850, ASTEI20_042947, ASTEI20_042271, ASTEI20_035743, ASTEI20_044072	CQUJHB009702
OG0000063	ASTEI20_042329, ASTEI20_039640	CQUJHB018065
OG0000063	ASTEI20_041397	CQUJHB002044, CQUJHB000613, CQUJHB012543, CQUJHB009343, CQUJHB015345, CQUJHB000544, CQUJHB010641, CQUJHB004677, CQUJHB012850, CQUJHB007331, CQUJHB015091
OG0000064	ASTEI20_036363, ASTEI20_032269	CQUJHB003566, CQUJHB000930
OG0000067	ASTEI20_033258	CQUJHB012309
OG0000067	ASTEI20_038682	CQUJHB007474, CQUJHB016064
OG0000067	ASTEI20_040377	CQUJHB016947
OG0000067	ASTEI20_044258	CQUJHB018109
OG0000067	ASTEI20_046110	CQUJHB014152
OG0000068	ASTEI20_040313	CQUJHB004402
OG0000068	ASTEI20_042702	CQUJHB008638, CQUJHB015341, CQUJHB013494, CQUJHB003559
OG0000068	ASTEI20_045828	CQUJHB001983
OG0000068	ASTEI20_032296	CQUJHB009275
OG0000069	ASTEI20_035338	CQUJHB002460
OG0000069	ASTEI20_038112	CQUJHB012428
OG0000069	ASTEI20_039804, ASTEI20_031615	CQUJHB001040, CQUJHB012111, CQUJHB002152
OG0000071	ASTEI20_044717	CQUJHB009539, CQUJHB013274
OG0000071	ASTEI20_033179	CQUJHB005863, CQUJHB017394
OG0000071	ASTEI20_041551, ASTEI20_037620, ASTEI20_035007	CQUJHB016359, CQUJHB013086, CQUJHB010584, CQUJHB004365
OG0000072	ASTEI20_043809	CQUJHB006781
OG0000072	ASTEI20_045176	CQUJHB004785
OG0000072	ASTEI20_045641, ASTEI20_039665	CQUJHB005018, CQUJHB006868
OG0000073	ASTEI20_036269	CQUJHB000587
OG0000073	ASTEI20_033743	CQUJHB005489, CQUJHB004178
OG0000073	ASTEI20_037565	CQUJHB014734
OG0000074	ASTEI20_035123, ASTEI20_041942, ASTEI20_036102, ASTEI20_035843, ASTEI20_043301	CQUJHB017390, CQUJHB000048, CQUJHB015271, CQUJHB000115
OG0000074	ASTEI20_031364	CQUJHB007995
OG0000075	ASTEI20_043256, ASTEI20_044173, ASTEI20_045639, ASTEI20_041998, ASTEI20_037835	CQUJHB005515, CQUJHB004149, CQUJHB008196, CQUJHB008855
OG0000076	ASTEI20_040347, ASTEI20_035431, ASTEI20_040002, ASTEI20_045335	CQUJHB017768, CQUJHB012728, CQUJHB015127
OG0000077	ASTEI20_037597	CQUJHB001286
OG0000077	ASTEI20_042788, ASTEI20_038766	CQUJHB003639, CQUJHB006400, CQUJHB003896, CQUJHB003043
OG0000077	ASTEI20_034638	CQUJHB018214
OG0000079	ASTEI20_042516	CQUJHB005309
OG0000079	ASTEI20_040435, ASTEI20_038502, ASTEI20_045603	CQUJHB003821, CQUJHB018448
OG0000079	ASTEI20_045836	CQUJHB013618, CQUJHB018436, CQUJHB007263
OG0000080	ASTEI20_045083	CQUJHB017034, CQUJHB010133
OG0000080	ASTEI20_038192	CQUJHB015069
OG0000080	ASTEI20_035820, ASTEI20_038748	CQUJHB005257, CQUJHB005516
OG0000081	ASTEI20_044597	CQUJHB001153
OG0000081	ASTEI20_045891	CQUJHB000320
OG0000082	ASTEI20_035318	CQUJHB007898
OG0000085	ASTEI20_033228, ASTEI20_037988, ASTEI20_039794	CQUJHB014727, CQUJHB008083
OG0000086	ASTEI20_036223, ASTEI20_035207, ASTEI20_037451	CQUJHB008375, CQUJHB001568, CQUJHB015160
OG0000086	ASTEI20_043950	CQUJHB012368
OG0000088	ASTEI20_042317	CQUJHB009482
OG0000088	ASTEI20_035957, ASTEI20_030868	CQUJHB017248, CQUJHB001576, CQUJHB008137, CQUJHB008822, CQUJHB009095, CQUJHB004456, CQUJHB013474
OG0000089	ASTEI20_035269	CQUJHB015151
OG0000089	ASTEI20_031474, ASTEI20_033656, ASTEI20_034314, ASTEI20_038747	CQUJHB003816
OG0000089	ASTEI20_043719	CQUJHB012139
OG0000090	ASTEI20_044859, ASTEI20_033811	CQUJHB017497
OG0000090	ASTEI20_044104, ASTEI20_039435	CQUJHB007824
OG0000091	ASTEI20_043825	CQUJHB017444
OG0000093	ASTEI20_035869, ASTEI20_035583, ASTEI20_033354, ASTEI20_042805, ASTEI20_043009, ASTEI20_030917, ASTEI20_042966, ASTEI20_037262, ASTEI20_033729	CQUJHB010789
OG0000096	ASTEI20_039679	CQUJHB002716
OG0000096	ASTEI20_033293	CQUJHB018308
OG0000096	ASTEI20_044580	CQUJHB008108
OG0000096	ASTEI20_044690	CQUJHB008616
OG0000097	ASTEI20_043690	CQUJHB017887
OG0000097	ASTEI20_041240, ASTEI20_045034, ASTEI20_037688, ASTEI20_043748	CQUJHB015073
OG0000098	ASTEI20_030897, ASTEI20_032470, ASTEI20_035940	CQUJHB009178, CQUJHB009893, CQUJHB003108, CQUJHB017910
OG0000100	ASTEI20_034171, ASTEI20_031391, ASTEI20_030982, ASTEI20_034565	CQUJHB007834, CQUJHB012317
OG0000101	ASTEI20_033538	CQUJHB011092, CQUJHB004788, CQUJHB017263
OG0000104	ASTEI20_031093	CQUJHB003501
OG0000104	ASTEI20_031442, ASTEI20_031279	CQUJHB016210, CQUJHB015480, CQUJHB006103, CQUJHB017990, CQUJHB017746, CQUJHB005521, CQUJHB012378, CQUJHB001763
OG0000107	ASTEI20_032780, ASTEI20_041111, ASTEI20_036614	CQUJHB018415, CQUJHB004852, CQUJHB009068, CQUJHB013239, CQUJHB016501, CQUJHB015111, CQUJHB013703, CQUJHB006294, CQUJHB013989, CQUJHB013568, CQUJHB000838, CQUJHB001925
OG0000108	ASTEI20_031790, ASTEI20_039367	CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363
OG0000109	ASTEI20_035723	CQUJHB017035
OG0000109	ASTEI20_041902	CQUJHB000019
OG0000109	ASTEI20_036023	CQUJHB012435
OG0000111	ASTEI20_041472, ASTEI20_034526, ASTEI20_032750, ASTEI20_033872, ASTEI20_035732, ASTEI20_035816, ASTEI20_040937, ASTEI20_037402, ASTEI20_040392	CQUJHB001127, CQUJHB016273
OG0000114	ASTEI20_031785, ASTEI20_040627	CQUJHB008130, CQUJHB012994
OG0000114	ASTEI20_032160	CQUJHB001438, CQUJHB002918, CQUJHB003734
OG0000115	ASTEI20_031924	CQUJHB014380
OG0000116	ASTEI20_039992	CQUJHB007929
OG0000116	ASTEI20_046113, ASTEI20_045875, ASTEI20_036918	CQUJHB009840
OG0000116	ASTEI20_044702	CQUJHB015910
OG0000119	ASTEI20_031989	CQUJHB001620
OG0000119	ASTEI20_033264, ASTEI20_035228	CQUJHB002189, CQUJHB015704, CQUJHB017923, CQUJHB014370, CQUJHB011823, CQUJHB009096, CQUJHB000195, CQUJHB004701, CQUJHB012571
OG0000120	ASTEI20_031113	CQUJHB006803
OG0000120	ASTEI20_040639, ASTEI20_043620	CQUJHB014331, CQUJHB001450
OG0000127	ASTEI20_045429, ASTEI20_037750, ASTEI20_032628, ASTEI20_039828	CQUJHB008722, CQUJHB006654, CQUJHB003293, CQUJHB000740, CQUJHB013009, CQUJHB013825, CQUJHB003231, CQUJHB009687, CQUJHB007227, CQUJHB017577, CQUJHB005246, CQUJHB012007, CQUJHB016127, CQUJHB003905
OG0000128	ASTEI20_041892	CQUJHB011093
OG0000128	ASTEI20_040479	CQUJHB006737
OG0000128	ASTEI20_031766	CQUJHB017854
OG0000129	ASTEI20_032516, ASTEI20_039120, ASTEI20_038234	CQUJHB000384, CQUJHB003430, CQUJHB014096
OG0000129	ASTEI20_042029, ASTEI20_041805	CQUJHB016178, CQUJHB012226
OG0000130	ASTEI20_041330	CQUJHB016267
OG0000130	ASTEI20_037430, ASTEI20_043872	CQUJHB001771
OG0000131	ASTEI20_038615	CQUJHB000645
OG0000131	ASTEI20_045120	CQUJHB004459
OG0000131	ASTEI20_034975	CQUJHB010920
OG0000131	ASTEI20_033405	CQUJHB014041
OG0000132	ASTEI20_035199, ASTEI20_034238	CQUJHB008636
OG0000132	ASTEI20_036305	CQUJHB010862
OG0000132	ASTEI20_031453	CQUJHB003091
OG0000133	ASTEI20_033689	CQUJHB009822
OG0000133	ASTEI20_045111	CQUJHB016449
OG0000134	ASTEI20_035158	CQUJHB006248, CQUJHB017587, CQUJHB010568
OG0000134	ASTEI20_041705, ASTEI20_031508	CQUJHB012326
OG0000135	ASTEI20_040602	CQUJHB017649
OG0000135	ASTEI20_037939, ASTEI20_033495, ASTEI20_041139	CQUJHB008581
OG0000136	ASTEI20_031418	CQUJHB007955, CQUJHB006760, CQUJHB009839, CQUJHB008282
OG0000136	ASTEI20_044015	CQUJHB003509, CQUJHB002833, CQUJHB013970
OG0000141	ASTEI20_038928, ASTEI20_042572	CQUJHB013589, CQUJHB004400, CQUJHB002761, CQUJHB004199, CQUJHB003761, CQUJHB015077, CQUJHB001493, CQUJHB017741, CQUJHB005542
OG0000142	ASTEI20_030926, ASTEI20_031775	CQUJHB011887
OG0000142	ASTEI20_039078	CQUJHB002040
OG0000142	ASTEI20_035078	CQUJHB003927
OG0000143	ASTEI20_038786	CQUJHB002965
OG0000143	ASTEI20_032430	CQUJHB006194
OG0000144	ASTEI20_034475, ASTEI20_039240, ASTEI20_041604, ASTEI20_037626, ASTEI20_039453, ASTEI20_039334, ASTEI20_035942	CQUJHB015003, CQUJHB011281, CQUJHB012034, CQUJHB003913, CQUJHB003921
OG0000146	ASTEI20_044971, ASTEI20_043034	CQUJHB005895, CQUJHB003363, CQUJHB015207
OG0000147	ASTEI20_039262, ASTEI20_034963, ASTEI20_034030	CQUJHB005161, CQUJHB000556, CQUJHB001564, CQUJHB001839
OG0000148	ASTEI20_040041, ASTEI20_032218	CQUJHB000776
OG0000148	ASTEI20_036802	CQUJHB017061
OG0000149	ASTEI20_032560	CQUJHB010028
OG0000149	ASTEI20_037704, ASTEI20_045413	CQUJHB014966
OG0000150	ASTEI20_036593	CQUJHB006439
OG0000151	ASTEI20_031955	CQUJHB018327
OG0000152	ASTEI20_033865	CQUJHB014990
OG0000152	ASTEI20_040792	CQUJHB009136
OG0000154	ASTEI20_038954, ASTEI20_038354, ASTEI20_039327, ASTEI20_031393, ASTEI20_036264	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899
OG0000155	ASTEI20_044262	CQUJHB007333, CQUJHB008665, CQUJHB002705, CQUJHB004511, CQUJHB005859, CQUJHB001497
OG0000157	ASTEI20_038779	CQUJHB001379
OG0000157	ASTEI20_044052	CQUJHB007316, CQUJHB018173, CQUJHB009836
OG0000161	ASTEI20_038429	CQUJHB000076
OG0000162	ASTEI20_040102	CQUJHB009418
OG0000162	ASTEI20_039506	CQUJHB020435, CQUJHB014569
OG0000162	ASTEI20_035676	CQUJHB004329
OG0000162	ASTEI20_038899	CQUJHB020337
OG0000163	ASTEI20_034625	CQUJHB015427
OG0000163	ASTEI20_031376	CQUJHB001490, CQUJHB017982, CQUJHB004125, CQUJHB015576
OG0000163	ASTEI20_042082	CQUJHB004810, CQUJHB003658
OG0000164	ASTEI20_038451	CQUJHB011226
OG0000164	ASTEI20_037482	CQUJHB012144, CQUJHB018124
OG0000165	ASTEI20_035964	CQUJHB004809
OG0000165	ASTEI20_037537	CQUJHB001386
OG0000165	ASTEI20_035222, ASTEI20_037574	CQUJHB008494
OG0000166	ASTEI20_035217, ASTEI20_037831	CQUJHB002907
OG0000166	ASTEI20_038043, ASTEI20_041976	CQUJHB004489
OG0000166	ASTEI20_044786, ASTEI20_042832	CQUJHB009503, CQUJHB000077
OG0000168	ASTEI20_031663	CQUJHB009735
OG0000171	ASTEI20_039067	CQUJHB005596
OG0000171	ASTEI20_037136	CQUJHB006525
OG0000172	ASTEI20_034185	CQUJHB004762
OG0000172	ASTEI20_042714	CQUJHB006283
OG0000172	ASTEI20_033958	CQUJHB003020
OG0000173	ASTEI20_042047	CQUJHB013713
OG0000173	ASTEI20_034429	CQUJHB001093, CQUJHB007201
OG0000174	ASTEI20_035066	CQUJHB012327
OG0000174	ASTEI20_042620	CQUJHB009037, CQUJHB004035
