Orthogroup	AstephensiUCISS2018	AminimusMINIMUS1
OG0000027	ASTEI20_038580	AMIN006557
OG0000027	ASTEI20_036720	AMIN006558
OG0000028	ASTEI20_031230	AMIN001236
OG0000030	ASTEI20_038223	AMIN006996, AMIN006995, AMIN006765, AMIN007001, AMIN006992, AMIN002000, AMIN006991, AMIN007005, AMIN007004, AMIN006994
OG0000031	ASTEI20_045661, ASTEI20_042458, ASTEI20_045950, ASTEI20_040834, ASTEI20_042405, ASTEI20_031598	AMIN005862, AMIN007507, AMIN006442, AMIN004950
OG0000032	ASTEI20_034628, ASTEI20_041396, ASTEI20_045092, ASTEI20_031606, ASTEI20_038431, ASTEI20_041238, ASTEI20_037767	AMIN001332
OG0000033	ASTEI20_045015	AMIN000381
OG0000033	ASTEI20_031788	AMIN014039
OG0000034	ASTEI20_043226	AMIN015565
OG0000034	ASTEI20_042786	AMIN000196
OG0000034	ASTEI20_045819	AMIN010809
OG0000034	ASTEI20_042959	AMIN015563
OG0000034	ASTEI20_041011	AMIN015564, AMIN015562
OG0000034	ASTEI20_037589	AMIN015508
OG0000034	ASTEI20_032776	AMIN004938
OG0000034	ASTEI20_040625	AMIN010991
OG0000035	ASTEI20_038434, ASTEI20_044858, ASTEI20_040523, ASTEI20_035326, ASTEI20_036996, ASTEI20_033591, ASTEI20_034577, ASTEI20_044193, ASTEI20_030889, ASTEI20_040393, ASTEI20_037776, ASTEI20_045503, ASTEI20_045781	AMIN009877
OG0000035	ASTEI20_042171	AMIN010812, AMIN015498, AMIN010811, AMIN010810, AMIN015472, AMIN010814
OG0000035	ASTEI20_041634	AMIN010135
OG0000035	ASTEI20_035874	AMIN007574
OG0000037	ASTEI20_038052, ASTEI20_032497	AMIN002827
OG0000037	ASTEI20_031459	AMIN006508, AMIN006509
OG0000037	ASTEI20_042647	AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942
OG0000037	ASTEI20_041766, ASTEI20_039477	AMIN003923, AMIN003925, AMIN003924, AMIN000003
OG0000037	ASTEI20_044399	AMIN004541
OG0000039	ASTEI20_041961	AMIN015958
OG0000039	ASTEI20_034016	AMIN015957
OG0000039	ASTEI20_042151	AMIN010824
OG0000039	ASTEI20_039200, ASTEI20_040849	AMIN007947
OG0000039	ASTEI20_035166, ASTEI20_036321	AMIN007946
OG0000039	ASTEI20_037293	AMIN015959
OG0000040	ASTEI20_037172	AMIN015663
OG0000040	ASTEI20_034704	AMIN015574
OG0000040	ASTEI20_040829	AMIN015575
OG0000040	ASTEI20_039503	AMIN001806, AMIN001807
OG0000041	ASTEI20_038827	AMIN008776
OG0000041	ASTEI20_038756	AMIN008777
OG0000041	ASTEI20_036497	AMIN003187
OG0000042	ASTEI20_044170, ASTEI20_041547	AMIN005907
OG0000042	ASTEI20_038339	AMIN001699
OG0000042	ASTEI20_037084	AMIN015669, AMIN015668
OG0000045	ASTEI20_038821	AMIN001066
OG0000046	ASTEI20_033536	AMIN002797
OG0000048	ASTEI20_036610, ASTEI20_030791, ASTEI20_041758, ASTEI20_034337, ASTEI20_034409	AMIN011325
OG0000049	ASTEI20_044950	AMIN015888
OG0000049	ASTEI20_031080	AMIN015886
OG0000049	ASTEI20_037621	AMIN015889
OG0000049	ASTEI20_031880	AMIN015891
OG0000049	ASTEI20_039499	AMIN015890
OG0000050	ASTEI20_036104, ASTEI20_039399	AMIN001582, AMIN000977, AMIN005873
OG0000051	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103	AMIN006620, AMIN014521
OG0000052	ASTEI20_043416	AMIN015582
OG0000052	ASTEI20_035536	AMIN015585, AMIN015584
OG0000053	ASTEI20_043576	AMIN009403
OG0000053	ASTEI20_032861, ASTEI20_037570, ASTEI20_036072	AMIN009402
OG0000055	ASTEI20_041788, ASTEI20_036817	AMIN002458
OG0000056	ASTEI20_043631, ASTEI20_034068, ASTEI20_040541, ASTEI20_037672, ASTEI20_032489	AMIN004372
OG0000057	ASTEI20_031438, ASTEI20_044408, ASTEI20_032987, ASTEI20_039149, ASTEI20_036909	AMIN006625
OG0000057	ASTEI20_043801, ASTEI20_033403	AMIN006626
OG0000057	ASTEI20_041738	AMIN014522
OG0000058	ASTEI20_042767	AMIN001846
OG0000058	ASTEI20_036123, ASTEI20_031030	AMIN009389
OG0000059	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207	AMIN016229
OG0000059	ASTEI20_040754	AMIN016293
OG0000059	ASTEI20_037464	AMIN010123
OG0000060	ASTEI20_037656	AMIN006628
OG0000060	ASTEI20_045967	AMIN014523
OG0000060	ASTEI20_044978	AMIN006627
OG0000061	ASTEI20_045924, ASTEI20_044992	AMIN006938
OG0000061	ASTEI20_042918	AMIN007997
OG0000061	ASTEI20_036073, ASTEI20_042895	AMIN004599
OG0000062	ASTEI20_044163	AMIN001001
OG0000062	ASTEI20_037850	AMIN000304
OG0000063	ASTEI20_042329, ASTEI20_039640	AMIN002564
OG0000063	ASTEI20_041397	AMIN003060
OG0000064	ASTEI20_036363	AMIN001329
OG0000064	ASTEI20_032269	AMIN001327
OG0000064	ASTEI20_045444	AMIN003132
OG0000064	ASTEI20_030805	AMIN001330
OG0000064	ASTEI20_034042	AMIN001328
OG0000067	ASTEI20_033258	AMIN015537
OG0000067	ASTEI20_038682	AMIN015982
OG0000067	ASTEI20_040377	AMIN008926
OG0000067	ASTEI20_044258	AMIN000636
OG0000067	ASTEI20_046110	AMIN015981
OG0000068	ASTEI20_045828	AMIN010935
OG0000069	ASTEI20_035338	AMIN003229
OG0000069	ASTEI20_038112	AMIN010636
OG0000069	ASTEI20_039804	AMIN016114
OG0000069	ASTEI20_031615	AMIN003907
OG0000071	ASTEI20_033179	AMIN000434
OG0000071	ASTEI20_041551	AMIN005942
OG0000071	ASTEI20_037620	AMIN005941
OG0000071	ASTEI20_035007	AMIN005945
OG0000072	ASTEI20_043809	AMIN008641
OG0000072	ASTEI20_045176	AMIN000778
OG0000072	ASTEI20_045641, ASTEI20_039665	AMIN011262
OG0000073	ASTEI20_036269	AMIN006338
OG0000073	ASTEI20_037565	AMIN006336
OG0000074	ASTEI20_041942	AMIN007418
OG0000074	ASTEI20_036102	AMIN007419
OG0000074	ASTEI20_031364	AMIN010517
OG0000075	ASTEI20_043256, ASTEI20_044173, ASTEI20_045639	AMIN009972
OG0000075	ASTEI20_041998	AMIN009971
OG0000075	ASTEI20_037835	AMIN009973
OG0000076	ASTEI20_040347	AMIN007057
OG0000076	ASTEI20_035431	AMIN006792, AMIN006791, AMIN008359
OG0000076	ASTEI20_045335	AMIN004343
OG0000077	ASTEI20_041229	AMIN015956
OG0000077	ASTEI20_037597	AMIN015954
OG0000077	ASTEI20_042788	AMIN015955
OG0000077	ASTEI20_038766	AMIN015952
OG0000077	ASTEI20_034638	AMIN015953
OG0000078	ASTEI20_044002	AMIN004967
OG0000079	ASTEI20_042516	AMIN015620
OG0000079	ASTEI20_038502, ASTEI20_045603	AMIN015621, AMIN016252
OG0000079	ASTEI20_045836	AMIN015622
OG0000080	ASTEI20_037839	AMIN007961, AMIN007987
OG0000080	ASTEI20_038192	AMIN010419
OG0000080	ASTEI20_035820, ASTEI20_038748	AMIN008322
OG0000081	ASTEI20_044597	AMIN010657
OG0000081	ASTEI20_041167	AMIN010659
OG0000081	ASTEI20_045891	AMIN010656
OG0000082	ASTEI20_035318	AMIN008381
OG0000083	ASTEI20_039769, ASTEI20_038111, ASTEI20_041140, ASTEI20_040249, ASTEI20_033090, ASTEI20_044624	AMIN000069
OG0000085	ASTEI20_033228	AMIN015862
OG0000085	ASTEI20_037988	AMIN015860
OG0000085	ASTEI20_039794	AMIN015861, AMIN015859, AMIN015863, AMIN015858
OG0000086	ASTEI20_036600	AMIN008148
OG0000086	ASTEI20_036223, ASTEI20_035207, ASTEI20_037451	AMIN000451
OG0000086	ASTEI20_043950	AMIN002615
OG0000088	ASTEI20_042317	AMIN008863
OG0000088	ASTEI20_035957	AMIN009049
OG0000088	ASTEI20_030868	AMIN009053
OG0000089	ASTEI20_031474, ASTEI20_033656, ASTEI20_034314, ASTEI20_038747, ASTEI20_043719	AMIN006914
OG0000090	ASTEI20_044859	AMIN010523
OG0000090	ASTEI20_044104, ASTEI20_039435	AMIN010488
OG0000091	ASTEI20_043825	AMIN002875
OG0000093	ASTEI20_037262	AMIN009880
OG0000093	ASTEI20_033729	AMIN014793
OG0000096	ASTEI20_039679	AMIN009310
OG0000096	ASTEI20_033293	AMIN014712
OG0000096	ASTEI20_044580	AMIN010757
OG0000096	ASTEI20_044690	AMIN001255
OG0000097	ASTEI20_041240	AMIN003983
OG0000097	ASTEI20_045034	AMIN003985
OG0000098	ASTEI20_035940	AMIN009752
OG0000103	ASTEI20_040437	AMIN014130
OG0000103	ASTEI20_031248	AMIN010202
OG0000103	ASTEI20_041286, ASTEI20_041968, ASTEI20_040764, ASTEI20_041606, ASTEI20_040118, ASTEI20_042060, ASTEI20_033705, ASTEI20_038991, ASTEI20_044176, ASTEI20_032305, ASTEI20_043471, ASTEI20_042968, ASTEI20_032059, ASTEI20_043781, ASTEI20_034947, ASTEI20_033546, ASTEI20_038930	AMIN006800
OG0000104	ASTEI20_031442	AMIN001011
OG0000105	ASTEI20_043210	AMIN004525, AMIN004526, AMIN004527, AMIN004524
OG0000105	ASTEI20_041014, ASTEI20_037458	AMIN004517, AMIN004457
OG0000107	ASTEI20_036614	AMIN003226
OG0000108	ASTEI20_031790, ASTEI20_039367	AMIN001146
OG0000109	ASTEI20_035723	AMIN007943
OG0000109	ASTEI20_041902	AMIN000020
OG0000111	ASTEI20_041472, ASTEI20_034526, ASTEI20_032750, ASTEI20_033872, ASTEI20_035732, ASTEI20_035816, ASTEI20_040937, ASTEI20_037402, ASTEI20_040392	AMIN005870
OG0000114	ASTEI20_043145	AMIN005869
OG0000115	ASTEI20_031924	AMIN007799
OG0000115	ASTEI20_034594	AMIN007798
OG0000116	ASTEI20_044702	AMIN009560
OG0000119	ASTEI20_031989	AMIN011174
OG0000119	ASTEI20_033264, ASTEI20_035228	AMIN011175
OG0000120	ASTEI20_031113	AMIN015839
OG0000120	ASTEI20_040639	AMIN015840
OG0000120	ASTEI20_043620	AMIN015843
OG0000120	ASTEI20_036340	AMIN007643
OG0000123	ASTEI20_045570	AMIN001063
OG0000124	ASTEI20_042719	AMIN010446
OG0000124	ASTEI20_031108	AMIN010457
OG0000124	ASTEI20_042994, ASTEI20_033894	AMIN010445
OG0000125	ASTEI20_030793	AMIN008362
OG0000127	ASTEI20_045429, ASTEI20_037750, ASTEI20_032628, ASTEI20_039828	AMIN000423
OG0000128	ASTEI20_039421	AMIN016003
OG0000128	ASTEI20_041892	AMIN009297
OG0000128	ASTEI20_040479	AMIN016286
OG0000128	ASTEI20_031766	AMIN016287
OG0000129	ASTEI20_042029	AMIN002441
OG0000130	ASTEI20_041330	AMIN000464
OG0000130	ASTEI20_043872	AMIN009807
OG0000131	ASTEI20_045120, ASTEI20_034975	AMIN009597
OG0000131	ASTEI20_033405	AMIN009593
OG0000132	ASTEI20_035199	AMIN008147
OG0000132	ASTEI20_036305	AMIN008145
OG0000132	ASTEI20_031453	AMIN009203
OG0000133	ASTEI20_033689	AMIN006896
OG0000133	ASTEI20_035006	AMIN008836
OG0000133	ASTEI20_045111	AMIN008837
OG0000134	ASTEI20_035158	AMIN010110
OG0000134	ASTEI20_041705	AMIN010108
OG0000134	ASTEI20_031508	AMIN010109
OG0000135	ASTEI20_040602	AMIN009411
OG0000135	ASTEI20_037939	AMIN009027
OG0000135	ASTEI20_033495	AMIN007093
OG0000136	ASTEI20_031418	AMIN008377
OG0000136	ASTEI20_044015	AMIN001881
OG0000141	ASTEI20_038928	AMIN011058
OG0000142	ASTEI20_030926, ASTEI20_031775	AMIN003855
OG0000142	ASTEI20_039078	AMIN000952
OG0000142	ASTEI20_035078	AMIN003784
OG0000143	ASTEI20_031603, ASTEI20_038786, ASTEI20_032430	AMIN002682
OG0000146	ASTEI20_044971	AMIN000516
OG0000147	ASTEI20_039262	AMIN016141
OG0000147	ASTEI20_034963	AMIN016134, AMIN016136
OG0000147	ASTEI20_034030	AMIN016135
OG0000148	ASTEI20_032218	AMIN009492, AMIN009494
OG0000148	ASTEI20_036802	AMIN009495
OG0000149	ASTEI20_032560	AMIN011053
OG0000149	ASTEI20_037704	AMIN016042
OG0000150	ASTEI20_036593	AMIN011243
OG0000152	ASTEI20_033865	AMIN007972
OG0000152	ASTEI20_040792	AMIN009947
OG0000154	ASTEI20_038954	AMIN000711
OG0000154	ASTEI20_038354, ASTEI20_039327, ASTEI20_031393	AMIN006064
OG0000155	ASTEI20_044262	AMIN015664, AMIN015665
OG0000157	ASTEI20_038779	AMIN001668
OG0000157	ASTEI20_044052	AMIN010663
OG0000158	ASTEI20_032230	AMIN006660
OG0000158	ASTEI20_037624, ASTEI20_045998, ASTEI20_046139, ASTEI20_040433, ASTEI20_035584, ASTEI20_036401, ASTEI20_045588, ASTEI20_035092, ASTEI20_035184, ASTEI20_037880, ASTEI20_043564, ASTEI20_043047, ASTEI20_041452, ASTEI20_040219, ASTEI20_043610, ASTEI20_039559, ASTEI20_045001, ASTEI20_032291, ASTEI20_039182, ASTEI20_038039, ASTEI20_042601, ASTEI20_040449	AMIN006604
OG0000159	ASTEI20_032043	AMIN015672
OG0000159	ASTEI20_037617	AMIN015679
OG0000159	ASTEI20_041266	AMIN015678
OG0000160	ASTEI20_036554	AMIN007249, AMIN006471, AMIN007271, AMIN003417
OG0000160	ASTEI20_033604	AMIN010021
OG0000161	ASTEI20_038429	AMIN010046
OG0000162	ASTEI20_040102	AMIN006857
OG0000162	ASTEI20_035676	AMIN006855
OG0000163	ASTEI20_034625, ASTEI20_031376, ASTEI20_042082	AMIN001822
OG0000164	ASTEI20_038451	AMIN004931
OG0000164	ASTEI20_037482	AMIN004928
OG0000165	ASTEI20_035964	AMIN005409
OG0000165	ASTEI20_037574	AMIN004970
OG0000166	ASTEI20_038043, ASTEI20_041976	AMIN007525
OG0000171	ASTEI20_037136	AMIN004244
OG0000172	ASTEI20_034185	AMIN008835
OG0000172	ASTEI20_042714	AMIN008838
OG0000172	ASTEI20_033958	AMIN008827
OG0000173	ASTEI20_042047	AMIN007048
OG0000173	ASTEI20_034429	AMIN007047
OG0000174	ASTEI20_038604	AMIN010113
OG0000174	ASTEI20_035066	AMIN005847
OG0000174	ASTEI20_042620	AMIN015909
OG0000176	ASTEI20_032435, ASTEI20_031492, ASTEI20_043773, ASTEI20_037269, ASTEI20_037392	AMIN014572, AMIN006846
OG0000176	ASTEI20_044810, ASTEI20_037968, ASTEI20_043036, ASTEI20_044465	AMIN006477
OG0000177	ASTEI20_032948	AMIN001287, AMIN010056, AMIN004550, AMIN011665, AMIN006441
OG0000180	ASTEI20_032174	AMIN009804
OG0000181	ASTEI20_039654	AMIN009918
OG0000181	ASTEI20_035911	AMIN009916, AMIN009915
OG0000182	ASTEI20_034555	AMIN004725
OG0000182	ASTEI20_041278	AMIN016128
OG0000182	ASTEI20_034958	AMIN016130
OG0000183	ASTEI20_046015, ASTEI20_044856	AMIN002688
OG0000183	ASTEI20_038174	AMIN003141
OG0000184	ASTEI20_033069	AMIN001894
OG0000184	ASTEI20_036642	AMIN015554, AMIN001896
OG0000184	ASTEI20_037581	AMIN015555
OG0000185	ASTEI20_042706, ASTEI20_031403	AMIN008694
OG0000185	ASTEI20_032807, ASTEI20_034055	AMIN011065
OG0000187	ASTEI20_038550	AMIN000726
OG0000188	ASTEI20_038409	AMIN011638
OG0000189	ASTEI20_035278	AMIN004715
OG0000189	ASTEI20_043379, ASTEI20_036958, ASTEI20_033773, ASTEI20_043697	AMIN003400
OG0000190	ASTEI20_031858	AMIN009845
OG0000190	ASTEI20_037310	AMIN005982
OG0000190	ASTEI20_033651	AMIN001539
OG0000191	ASTEI20_035041	AMIN010963
OG0000191	ASTEI20_031723	AMIN010962
OG0000191	ASTEI20_032678	AMIN010961
OG0000191	ASTEI20_037932	AMIN010960
OG0000192	ASTEI20_041022	AMIN009154
OG0000192	ASTEI20_033456	AMIN003113
OG0000192	ASTEI20_038790	AMIN016221
OG0000193	ASTEI20_035925	AMIN005247
OG0000193	ASTEI20_034914, ASTEI20_032918	AMIN005248, AMIN015557
OG0000193	ASTEI20_041607	AMIN005246, AMIN001550
OG0000194	ASTEI20_032207	AMIN001917
OG0000196	ASTEI20_042814	AMIN001000
OG0000200	ASTEI20_040182	AMIN008384
OG0000200	ASTEI20_032444	AMIN008385
OG0000200	ASTEI20_035878	AMIN004606
OG0000201	ASTEI20_036827	AMIN011329
OG0000202	ASTEI20_033661	AMIN005702
OG0000202	ASTEI20_044437	AMIN005629
OG0000204	ASTEI20_033339	AMIN015947
OG0000204	ASTEI20_044531	AMIN015945
OG0000205	ASTEI20_031920	AMIN004379
OG0000206	ASTEI20_039018	AMIN015995
OG0000206	ASTEI20_045728	AMIN009119
OG0000207	ASTEI20_034853	AMIN016067, AMIN016068
OG0000208	ASTEI20_045322	AMIN008403
OG0000208	ASTEI20_034058	AMIN008402
OG0000210	ASTEI20_043190	AMIN008980
OG0000210	ASTEI20_039456	AMIN008979
OG0000211	ASTEI20_037118, ASTEI20_041718, ASTEI20_039007	AMIN009162
OG0000216	ASTEI20_042509, ASTEI20_036668, ASTEI20_032966, ASTEI20_042064	AMIN006105
OG0000217	ASTEI20_040200	AMIN000805
OG0000217	ASTEI20_036703	AMIN001961
OG0000218	ASTEI20_038944	AMIN006218
OG0000218	ASTEI20_039263	AMIN006220
OG0000219	ASTEI20_035108	AMIN001093
OG0000220	ASTEI20_035755	AMIN002726
OG0000221	ASTEI20_038135	AMIN006274
OG0000221	ASTEI20_037201	AMIN010066
OG0000222	ASTEI20_035055	AMIN001686
OG0000222	ASTEI20_041199	AMIN001152
OG0000223	ASTEI20_037771	AMIN002292
OG0000224	ASTEI20_038501	AMIN003071
OG0000225	ASTEI20_037793, ASTEI20_038611	AMIN003771
OG0000226	ASTEI20_036749, ASTEI20_033104, ASTEI20_033107, ASTEI20_043945	AMIN002722
OG0000226	ASTEI20_044426, ASTEI20_037857	AMIN002711, AMIN002712
OG0000226	ASTEI20_036968, ASTEI20_035152	AMIN002715
OG0000228	ASTEI20_034891	AMIN010471
OG0000229	ASTEI20_046124	AMIN000391
OG0000229	ASTEI20_032722	AMIN003127
OG0000229	ASTEI20_037602	AMIN003317
OG0000230	ASTEI20_034005	AMIN009075, AMIN009077
OG0000231	ASTEI20_040405	AMIN010930
OG0000231	ASTEI20_043476	AMIN010931
OG0000232	ASTEI20_044096, ASTEI20_038687, ASTEI20_044010, ASTEI20_040318	AMIN010173, AMIN010175, AMIN016211
OG0000232	ASTEI20_040000, ASTEI20_042206	AMIN016210
OG0000233	ASTEI20_041338	AMIN002286
OG0000233	ASTEI20_038872	AMIN002275
OG0000234	ASTEI20_043253	AMIN006393
OG0000234	ASTEI20_031455	AMIN006400
OG0000234	ASTEI20_040171	AMIN006394
OG0000236	ASTEI20_036868	AMIN002269, AMIN002270
OG0000236	ASTEI20_032536	AMIN008944
OG0000237	ASTEI20_039839	AMIN000894
OG0000244	ASTEI20_035715	AMIN009457
OG0000245	ASTEI20_043968, ASTEI20_037895	AMIN000228
OG0000246	ASTEI20_041860	AMIN004180
OG0000246	ASTEI20_037168, ASTEI20_031502	AMIN004771
OG0000247	ASTEI20_032101	AMIN010670
OG0000247	ASTEI20_044238	AMIN010668
OG0000248	ASTEI20_042839	AMIN016192
OG0000249	ASTEI20_039526	AMIN011428
OG0000249	ASTEI20_038673	AMIN007370
OG0000250	ASTEI20_038490	AMIN003364
OG0000251	ASTEI20_040414	AMIN004378
OG0000252	ASTEI20_040133	AMIN008785
OG0000253	ASTEI20_036887	AMIN003457
OG0000254	ASTEI20_033239	AMIN000082
OG0000254	ASTEI20_034532	AMIN000940
OG0000255	ASTEI20_042761	AMIN016175
OG0000256	ASTEI20_045578	AMIN000774
OG0000256	ASTEI20_042134	AMIN000776, AMIN000777
OG0000256	ASTEI20_044073	AMIN000775
OG0000257	ASTEI20_033195	AMIN001434
OG0000260	ASTEI20_037645	AMIN003553
OG0000263	ASTEI20_045271, ASTEI20_032519, ASTEI20_037013, ASTEI20_039929, ASTEI20_032243, ASTEI20_034862, ASTEI20_031551, ASTEI20_043655	AMIN014004
OG0000265	ASTEI20_044851	AMIN010596
OG0000265	ASTEI20_037660	AMIN010587
OG0000265	ASTEI20_038227	AMIN005808
OG0000266	ASTEI20_042056	AMIN001628
OG0000266	ASTEI20_041270	AMIN006383
OG0000266	ASTEI20_035075	AMIN006382
OG0000267	ASTEI20_032809	AMIN004190
OG0000267	ASTEI20_044700	AMIN004770
OG0000268	ASTEI20_032301	AMIN007059
OG0000268	ASTEI20_032365	AMIN007060
OG0000269	ASTEI20_045911, ASTEI20_044456	AMIN016284
OG0000270	ASTEI20_032190	AMIN011416
OG0000270	ASTEI20_043741, ASTEI20_040825	AMIN008623
OG0000270	ASTEI20_034360, ASTEI20_030843	AMIN015971
OG0000271	ASTEI20_031771	AMIN001411
OG0000272	ASTEI20_042478	AMIN008763
OG0000272	ASTEI20_037724	AMIN008100
OG0000273	ASTEI20_032020	AMIN015825
OG0000273	ASTEI20_041023	AMIN015824
OG0000273	ASTEI20_043316	AMIN002200
OG0000274	ASTEI20_031515	AMIN006742
OG0000276	ASTEI20_041437	AMIN008276
OG0000277	ASTEI20_032397	AMIN000409
OG0000278	ASTEI20_037609	AMIN011462
OG0000278	ASTEI20_041680	AMIN011446
OG0000278	ASTEI20_037766	AMIN011465
OG0000279	ASTEI20_038838	AMIN014755
OG0000280	ASTEI20_038614	AMIN006822
OG0000280	ASTEI20_035880	AMIN006823
OG0000280	ASTEI20_042533	AMIN006824
OG0000285	ASTEI20_039558	AMIN002977
OG0000285	ASTEI20_040836	AMIN015604
OG0000285	ASTEI20_032893	AMIN015606
OG0000287	ASTEI20_037346	AMIN015655, AMIN015654, AMIN015652
OG0000287	ASTEI20_036690	AMIN015653
OG0000288	ASTEI20_040021	AMIN001788
OG0000289	ASTEI20_035189, ASTEI20_042758	AMIN009186
OG0000290	ASTEI20_044792	AMIN015559
OG0000290	ASTEI20_037666	AMIN008540
OG0000290	ASTEI20_038975	AMIN015558
