Orthogroup	AstephensiUCISS2018	AsinensisChina
OG0000014	ASTEI20_037522, ASTEI20_042376, ASTEI20_038148, ASTEI20_041712	ASIC016174, ASIC016178
OG0000015	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231	ASIC018932, ASIC018930, ASIC018931
OG0000015	ASTEI20_031600, ASTEI20_037282	ASIC012464, ASIC012462
OG0000015	ASTEI20_034188	ASIC012461
OG0000016	ASTEI20_044818	ASIC010724
OG0000016	ASTEI20_031052, ASTEI20_044106, ASTEI20_037566	ASIC010602, ASIC010601, ASIC010600, ASIC010599
OG0000016	ASTEI20_040856	ASIC010595, ASIC010598
OG0000016	ASTEI20_042351	ASIC003871
OG0000016	ASTEI20_033956	ASIC002621
OG0000018	ASTEI20_039488, ASTEI20_033285, ASTEI20_031707, ASTEI20_045349, ASTEI20_039025, ASTEI20_040652, ASTEI20_038491, ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074	ASIC015096
OG0000020	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417, ASTEI20_041247, ASTEI20_030966, ASTEI20_044090, ASTEI20_042722, ASTEI20_033349, ASTEI20_033857, ASTEI20_043843, ASTEI20_038201	ASIC010160
OG0000021	ASTEI20_031602	ASIC006150
OG0000021	ASTEI20_042507	ASIC012218
OG0000021	ASTEI20_033844	ASIC007587
OG0000021	ASTEI20_036164	ASIC006151
OG0000021	ASTEI20_042454	ASIC015692
OG0000021	ASTEI20_044345	ASIC010311
OG0000021	ASTEI20_032692	ASIC010313
OG0000021	ASTEI20_040880	ASIC010312
OG0000023	ASTEI20_036442	ASIC003003
OG0000023	ASTEI20_033419, ASTEI20_039293, ASTEI20_044320, ASTEI20_035887	ASIC013723
OG0000023	ASTEI20_034207, ASTEI20_038660	ASIC013720, ASIC013724, ASIC013722, ASIC000075, ASIC013721
OG0000023	ASTEI20_035807	ASIC019569, ASIC002406
OG0000024	ASTEI20_036317	ASIC018921
OG0000024	ASTEI20_030796	ASIC018920
OG0000024	ASTEI20_042294	ASIC018905
OG0000026	ASTEI20_034431	ASIC016558
OG0000026	ASTEI20_045957	ASIC016557
OG0000026	ASTEI20_037139	ASIC016561
OG0000026	ASTEI20_036805	ASIC016560
OG0000026	ASTEI20_033037	ASIC016118
OG0000026	ASTEI20_038151	ASIC014095
OG0000030	ASTEI20_038223	ASIC003377, ASIC003385, ASIC003382, ASIC003384, ASIC004709, ASIC004705, ASIC004703, ASIC004701, ASIC003400, ASIC013656, ASIC004707, ASIC004704, ASIC004708, ASIC004706, ASIC003393, ASIC015022, ASIC003420, ASIC003419, ASIC003381, ASIC003417, ASIC003383
OG0000033	ASTEI20_045015	ASIC009220
OG0000033	ASTEI20_031788	ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221
OG0000034	ASTEI20_041011	ASIC012442, ASIC012440
OG0000034	ASTEI20_037589	ASIC012445, ASIC012446
OG0000034	ASTEI20_032776	ASIC021981
OG0000035	ASTEI20_038434, ASTEI20_044858	ASIC012439
OG0000037	ASTEI20_038052, ASTEI20_032497	ASIC013351, ASIC013352, ASIC013353
OG0000037	ASTEI20_031459, ASTEI20_042647	ASIC022219
OG0000037	ASTEI20_034438, ASTEI20_044399, ASTEI20_045557	ASIC014023
OG0000039	ASTEI20_041961	ASIC002581
OG0000039	ASTEI20_034016	ASIC000445
OG0000039	ASTEI20_042151	ASIC012458
OG0000039	ASTEI20_039200, ASTEI20_040849	ASIC010050
OG0000039	ASTEI20_035166, ASTEI20_036321, ASTEI20_037293	ASIC010664
OG0000040	ASTEI20_034704	ASIC015488
OG0000040	ASTEI20_040829	ASIC015490
OG0000040	ASTEI20_039503	ASIC007400
OG0000041	ASTEI20_038827	ASIC005063
OG0000041	ASTEI20_038756	ASIC005062
OG0000041	ASTEI20_034624	ASIC005064
OG0000041	ASTEI20_036497	ASIC005684
OG0000042	ASTEI20_044170, ASTEI20_041547	ASIC017752, ASIC017751
OG0000042	ASTEI20_038339	ASIC017733, ASIC001192, ASIC017724, ASIC001191
OG0000042	ASTEI20_037084	ASIC015360
OG0000043	ASTEI20_038713, ASTEI20_044556, ASTEI20_031445, ASTEI20_043114, ASTEI20_042955, ASTEI20_040096, ASTEI20_036675	ASIC017851, ASIC017852
OG0000046	ASTEI20_033536	ASIC009812
OG0000048	ASTEI20_034337	ASIC019015, ASIC019014
OG0000048	ASTEI20_034409	ASIC019017, ASIC019018
OG0000049	ASTEI20_044950	ASIC018403, ASIC018371, ASIC018370
OG0000049	ASTEI20_037621	ASIC018401, ASIC018400
OG0000049	ASTEI20_031880	ASIC017764
OG0000049	ASTEI20_039499	ASIC018404
OG0000051	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103	ASIC010146, ASIC010154, ASIC010151, ASIC010148
OG0000052	ASTEI20_043416	ASIC018088
OG0000052	ASTEI20_035536	ASIC018082
OG0000053	ASTEI20_044934, ASTEI20_043576	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705
OG0000053	ASTEI20_040463	ASIC020710
OG0000053	ASTEI20_037018, ASTEI20_032861, ASTEI20_037570, ASTEI20_036072	ASIC020703
OG0000055	ASTEI20_041788, ASTEI20_036817	ASIC000721
OG0000055	ASTEI20_036856, ASTEI20_032399, ASTEI20_042765, ASTEI20_041371, ASTEI20_043376	ASIC014234
OG0000057	ASTEI20_031438, ASTEI20_044408, ASTEI20_032987, ASTEI20_039149, ASTEI20_036909	ASIC010134
OG0000057	ASTEI20_043801, ASTEI20_033403	ASIC010133
OG0000057	ASTEI20_041738	ASIC010138
OG0000058	ASTEI20_042767	ASIC007323
OG0000058	ASTEI20_037097	ASIC007325
OG0000058	ASTEI20_045123	ASIC007324
OG0000058	ASTEI20_036123, ASTEI20_031030	ASIC002529
OG0000059	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207, ASTEI20_040754	ASIC019011, ASIC019000
OG0000059	ASTEI20_037464, ASTEI20_043703	ASIC019170
OG0000059	ASTEI20_034096, ASTEI20_032263, ASTEI20_039938, ASTEI20_036541	ASIC016660
OG0000060	ASTEI20_037656	ASIC010127
OG0000060	ASTEI20_045967	ASIC010130, ASIC010129
OG0000060	ASTEI20_042375	ASIC010128
OG0000060	ASTEI20_044978	ASIC010131
OG0000061	ASTEI20_045924, ASTEI20_044992	ASIC015402
OG0000061	ASTEI20_042918	ASIC016621
OG0000061	ASTEI20_036073	ASIC008790, ASIC008789
OG0000061	ASTEI20_042895	ASIC008791
OG0000062	ASTEI20_044163	ASIC009092
OG0000062	ASTEI20_037850	ASIC004220
OG0000062	ASTEI20_042947, ASTEI20_042271, ASTEI20_035743, ASTEI20_044072	ASIC013583, ASIC013564, ASIC015598, ASIC015597
OG0000063	ASTEI20_042329, ASTEI20_039640	ASIC021538
OG0000063	ASTEI20_041397	ASIC010842
OG0000064	ASTEI20_036363	ASIC002653
OG0000064	ASTEI20_032269	ASIC002651
OG0000064	ASTEI20_045444	ASIC001146
OG0000064	ASTEI20_030805	ASIC002656
OG0000064	ASTEI20_034042	ASIC002652
OG0000067	ASTEI20_038682	ASIC018220
OG0000067	ASTEI20_040377	ASIC018219
OG0000068	ASTEI20_040313	ASIC011681
OG0000068	ASTEI20_042702	ASIC011682
OG0000068	ASTEI20_045828	ASIC011687
OG0000068	ASTEI20_032296	ASIC011679
OG0000069	ASTEI20_035338	ASIC005652
OG0000069	ASTEI20_038112	ASIC002404
OG0000069	ASTEI20_039804	ASIC005651
OG0000069	ASTEI20_031615	ASIC000407
OG0000071	ASTEI20_033179	ASIC008283
OG0000071	ASTEI20_041551, ASTEI20_037620, ASTEI20_035007	ASIC013586
OG0000072	ASTEI20_043809	ASIC019961
OG0000072	ASTEI20_045176	ASIC012496
OG0000073	ASTEI20_037565	ASIC014115
OG0000074	ASTEI20_035123	ASIC016739, ASIC016738
OG0000074	ASTEI20_041942	ASIC016740
OG0000074	ASTEI20_036102	ASIC016736
OG0000074	ASTEI20_035843, ASTEI20_043301	ASIC016735
OG0000074	ASTEI20_031364	ASIC002864
OG0000075	ASTEI20_043256	ASIC021158, ASIC021155
OG0000075	ASTEI20_044173, ASTEI20_045639	ASIC021154, ASIC021157
OG0000075	ASTEI20_041998, ASTEI20_037835	ASIC021159
OG0000076	ASTEI20_040347, ASTEI20_035431, ASTEI20_040002, ASTEI20_045335	ASIC018187
OG0000077	ASTEI20_037597	ASIC002587
OG0000077	ASTEI20_042788, ASTEI20_038766	ASIC002588, ASIC002586
OG0000078	ASTEI20_038038	ASIC022286
OG0000079	ASTEI20_042516	ASIC011457
OG0000079	ASTEI20_040435, ASTEI20_038502, ASTEI20_045603	ASIC011456, ASIC011455
OG0000079	ASTEI20_045836	ASIC011459
OG0000080	ASTEI20_045083	ASIC016601
OG0000080	ASTEI20_037839	ASIC016602
OG0000080	ASTEI20_038192	ASIC019812
OG0000080	ASTEI20_035820	ASIC019334
OG0000080	ASTEI20_038748	ASIC019335
OG0000081	ASTEI20_044597	ASIC007880
OG0000081	ASTEI20_033899, ASTEI20_041643	ASIC007878, ASIC007850, ASIC007872
OG0000081	ASTEI20_045891	ASIC007881
OG0000082	ASTEI20_035318	ASIC012727, ASIC012728, ASIC012714
OG0000085	ASTEI20_033228	ASIC009268
OG0000085	ASTEI20_037988	ASIC004322
OG0000085	ASTEI20_039794	ASIC009271, ASIC009270, ASIC009269, ASIC009272
OG0000086	ASTEI20_036600	ASIC009153
OG0000086	ASTEI20_036223, ASTEI20_035207, ASTEI20_037451	ASIC008317
OG0000088	ASTEI20_035957	ASIC008371, ASIC008372
OG0000088	ASTEI20_030868	ASIC008376
OG0000089	ASTEI20_035269	ASIC019476
OG0000089	ASTEI20_031474	ASIC019432
OG0000089	ASTEI20_033656	ASIC019421
OG0000089	ASTEI20_034314	ASIC019454
OG0000089	ASTEI20_038747	ASIC019465
OG0000090	ASTEI20_037367, ASTEI20_042053	ASIC019694
OG0000090	ASTEI20_044104, ASTEI20_039435	ASIC019695
OG0000091	ASTEI20_043825	ASIC002279
OG0000093	ASTEI20_035869, ASTEI20_035583, ASTEI20_033354, ASTEI20_042805, ASTEI20_043009, ASTEI20_030917, ASTEI20_042966, ASTEI20_037262, ASTEI20_033729	ASIC022154, ASIC014826
OG0000096	ASTEI20_039679	ASIC015638
OG0000096	ASTEI20_033293	ASIC010647, ASIC010609
OG0000096	ASTEI20_044580	ASIC010449
OG0000096	ASTEI20_044690	ASIC015635
OG0000097	ASTEI20_041240	ASIC021947
OG0000097	ASTEI20_045034	ASIC021950
OG0000101	ASTEI20_033538	ASIC004494
OG0000103	ASTEI20_040437, ASTEI20_031248	ASIC008406
OG0000103	ASTEI20_044567, ASTEI20_041286, ASTEI20_041968, ASTEI20_040764, ASTEI20_041606, ASTEI20_040118, ASTEI20_042060, ASTEI20_033705, ASTEI20_038991, ASTEI20_044176, ASTEI20_032305, ASTEI20_043471, ASTEI20_042968, ASTEI20_032059, ASTEI20_043781, ASTEI20_034947, ASTEI20_033546, ASTEI20_038930, ASTEI20_031812	ASIC014017
OG0000104	ASTEI20_031442	ASIC017885, ASIC009066
OG0000104	ASTEI20_031279	ASIC009065
OG0000105	ASTEI20_043210, ASTEI20_041014, ASTEI20_037458	ASIC014502, ASIC014526, ASIC014524, ASIC014525, ASIC014503
OG0000107	ASTEI20_032780	ASIC005646
OG0000107	ASTEI20_041111	ASIC005645
OG0000107	ASTEI20_036614	ASIC005655
OG0000108	ASTEI20_031790, ASTEI20_039367	ASIC013421, ASIC013593
OG0000109	ASTEI20_035723	ASIC002584
OG0000109	ASTEI20_041902	ASIC014258
OG0000109	ASTEI20_036023	ASIC014260
OG0000111	ASTEI20_034526, ASTEI20_032750, ASTEI20_033872, ASTEI20_035732, ASTEI20_035816, ASTEI20_040937, ASTEI20_037402, ASTEI20_040392	ASIC012080, ASIC006082
OG0000114	ASTEI20_031785, ASTEI20_040627, ASTEI20_032160, ASTEI20_043145	ASIC012081
OG0000115	ASTEI20_031924	ASIC017431
OG0000115	ASTEI20_034594	ASIC017432
OG0000116	ASTEI20_039992	ASIC006403
OG0000116	ASTEI20_046113, ASTEI20_045875, ASTEI20_036918	ASIC006402
OG0000116	ASTEI20_044702	ASIC014540
OG0000119	ASTEI20_031989	ASIC016830
OG0000119	ASTEI20_033264	ASIC016832
OG0000119	ASTEI20_035228	ASIC016833
OG0000120	ASTEI20_031113	ASIC011544
OG0000120	ASTEI20_040639, ASTEI20_043620	ASIC011541
OG0000120	ASTEI20_036340	ASIC013726
OG0000123	ASTEI20_045570	ASIC014634
OG0000124	ASTEI20_042719	ASIC019768
OG0000124	ASTEI20_031108	ASIC019753
OG0000124	ASTEI20_042994, ASTEI20_033894	ASIC019769, ASIC019770, ASIC019771
OG0000127	ASTEI20_045429, ASTEI20_037750, ASTEI20_032628, ASTEI20_039828	ASIC008877
OG0000128	ASTEI20_041892	ASIC015309
OG0000128	ASTEI20_040479	ASIC015247
OG0000128	ASTEI20_031766	ASIC015248
OG0000129	ASTEI20_032516	ASIC008763
OG0000129	ASTEI20_039120, ASTEI20_038234	ASIC008762
OG0000130	ASTEI20_041330	ASIC008146
OG0000130	ASTEI20_037430	ASIC012064
OG0000130	ASTEI20_043872	ASIC012065
OG0000131	ASTEI20_038615	ASIC012145
OG0000131	ASTEI20_045120	ASIC012146
OG0000131	ASTEI20_034975	ASIC012148
OG0000131	ASTEI20_033405	ASIC012034
OG0000132	ASTEI20_035199	ASIC014945
OG0000132	ASTEI20_034238	ASIC014943
OG0000132	ASTEI20_036305	ASIC014946
OG0000132	ASTEI20_031453	ASIC002822
OG0000133	ASTEI20_033689	ASIC017840, ASIC017841
OG0000133	ASTEI20_035006	ASIC017521
OG0000133	ASTEI20_045111	ASIC017520
OG0000134	ASTEI20_040637	ASIC019150
OG0000134	ASTEI20_035158	ASIC019149
OG0000134	ASTEI20_041705	ASIC019145
OG0000134	ASTEI20_031508	ASIC019147
OG0000135	ASTEI20_040602	ASIC020739
OG0000135	ASTEI20_037939	ASIC015458
OG0000135	ASTEI20_033495, ASTEI20_041139	ASIC007191
OG0000136	ASTEI20_044015	ASIC007232
OG0000141	ASTEI20_038928	ASIC018449, ASIC018448
OG0000141	ASTEI20_042572	ASIC019151, ASIC018446
OG0000142	ASTEI20_030926	ASIC011129
OG0000142	ASTEI20_031775	ASIC010497
OG0000142	ASTEI20_039078	ASIC004901
OG0000142	ASTEI20_035078	ASIC014682
OG0000143	ASTEI20_031603	ASIC008422
OG0000143	ASTEI20_038786	ASIC008424
OG0000143	ASTEI20_032430	ASIC008426
OG0000144	ASTEI20_034475, ASTEI20_039240, ASTEI20_041604, ASTEI20_037626, ASTEI20_039453, ASTEI20_039334, ASTEI20_035942	ASIC021886
OG0000146	ASTEI20_044971	ASIC008229
OG0000147	ASTEI20_039262	ASIC002221
OG0000147	ASTEI20_034963	ASIC002222
OG0000147	ASTEI20_034030	ASIC002220
OG0000148	ASTEI20_040041	ASIC007934
OG0000148	ASTEI20_043698	ASIC022060, ASIC022061, ASIC007933, ASIC007935
OG0000148	ASTEI20_036802	ASIC012007
OG0000149	ASTEI20_032560	ASIC018439
OG0000149	ASTEI20_037704, ASTEI20_045413	ASIC018437
OG0000150	ASTEI20_036593	ASIC011027
OG0000151	ASTEI20_031955	ASIC009913, ASIC009914
OG0000152	ASTEI20_033865	ASIC004877
OG0000154	ASTEI20_038954	ASIC004043, ASIC013097
OG0000154	ASTEI20_038354, ASTEI20_039327, ASTEI20_031393	ASIC013108, ASIC004042, ASIC013051, ASIC004041
OG0000155	ASTEI20_044262	ASIC020577, ASIC020578
OG0000157	ASTEI20_038779	ASIC010788
OG0000157	ASTEI20_044052	ASIC019241
OG0000160	ASTEI20_036554, ASTEI20_033604	ASIC016821
OG0000161	ASTEI20_038429	ASIC019631
OG0000162	ASTEI20_040102	ASIC018387
OG0000162	ASTEI20_039506	ASIC018375
OG0000162	ASTEI20_035676	ASIC018379
OG0000162	ASTEI20_038899	ASIC018380
OG0000163	ASTEI20_034625	ASIC007358
OG0000163	ASTEI20_031376	ASIC007362
OG0000163	ASTEI20_042082	ASIC007363, ASIC007359
OG0000164	ASTEI20_038451	ASIC021805
OG0000164	ASTEI20_037482	ASIC021916
OG0000165	ASTEI20_035964	ASIC020384
OG0000165	ASTEI20_037537	ASIC020380
OG0000165	ASTEI20_035222	ASIC020379
OG0000165	ASTEI20_037574	ASIC020381
OG0000166	ASTEI20_035217, ASTEI20_037831	ASIC012923
OG0000166	ASTEI20_038043, ASTEI20_041976	ASIC012924
OG0000166	ASTEI20_044786, ASTEI20_042832	ASIC012921
OG0000171	ASTEI20_039067	ASIC004812, ASIC004811
OG0000171	ASTEI20_037136	ASIC004810
OG0000172	ASTEI20_034185	ASIC017527
OG0000172	ASTEI20_042714	ASIC017518
OG0000172	ASTEI20_033958	ASIC017547
OG0000173	ASTEI20_042047	ASIC022306
OG0000173	ASTEI20_034429	ASIC022304
OG0000174	ASTEI20_035066	ASIC009499
OG0000174	ASTEI20_042620	ASIC007084
OG0000181	ASTEI20_039654	ASIC019035
OG0000181	ASTEI20_035911	ASIC019034
OG0000182	ASTEI20_034555	ASIC020912
OG0000182	ASTEI20_041278	ASIC020913
OG0000183	ASTEI20_031719, ASTEI20_046015, ASTEI20_044856, ASTEI20_038174	ASIC011096
OG0000184	ASTEI20_033069	ASIC007210
OG0000184	ASTEI20_036642, ASTEI20_037581	ASIC007209
OG0000185	ASTEI20_042706, ASTEI20_031403	ASIC014499, ASIC014498
OG0000185	ASTEI20_032807, ASTEI20_034055	ASIC018463, ASIC018459
OG0000187	ASTEI20_038550	ASIC003343
OG0000188	ASTEI20_038409	ASIC009167, ASIC009163, ASIC009169, ASIC009174, ASIC009164, ASIC009173, ASIC009166, ASIC009168, ASIC009162, ASIC009160, ASIC009161
OG0000189	ASTEI20_035278	ASIC020927
OG0000189	ASTEI20_043379, ASTEI20_036958	ASIC004914
OG0000190	ASTEI20_031858	ASIC009037
OG0000190	ASTEI20_037310	ASIC004005
OG0000191	ASTEI20_035041, ASTEI20_031723, ASTEI20_032678	ASIC011618, ASIC011619, ASIC011617
OG0000191	ASTEI20_037932	ASIC011616
OG0000192	ASTEI20_041022	ASIC003853
OG0000192	ASTEI20_033456	ASIC021385
OG0000192	ASTEI20_038790	ASIC006813
OG0000193	ASTEI20_035925, ASTEI20_034914, ASTEI20_032918, ASTEI20_041607	ASIC005170, ASIC009034, ASIC004649
OG0000194	ASTEI20_032207	ASIC007163
OG0000196	ASTEI20_042814	ASIC009091
OG0000200	ASTEI20_040182	ASIC004374
OG0000200	ASTEI20_032444	ASIC004381
OG0000201	ASTEI20_036827	ASIC018737
OG0000201	ASTEI20_041981	ASIC018748
OG0000202	ASTEI20_033661	ASIC006264
OG0000202	ASTEI20_045852	ASIC005159
OG0000203	ASTEI20_034151	ASIC022196
OG0000203	ASTEI20_037199	ASIC022191, ASIC022195
OG0000203	ASTEI20_036473	ASIC022193, ASIC022189
OG0000204	ASTEI20_033339	ASIC018858, ASIC018857
OG0000205	ASTEI20_040473	ASIC007148
OG0000206	ASTEI20_039018	ASIC009932, ASIC009934
OG0000206	ASTEI20_045703	ASIC009931, ASIC009933
OG0000206	ASTEI20_045728	ASIC017261
OG0000207	ASTEI20_034853	ASIC020302, ASIC020301
OG0000208	ASTEI20_045322	ASIC004793, ASIC004794, ASIC004795
OG0000209	ASTEI20_042301	ASIC018130
OG0000210	ASTEI20_043190	ASIC005087
OG0000210	ASTEI20_037248, ASTEI20_039456	ASIC005086
OG0000216	ASTEI20_042509, ASTEI20_036668, ASTEI20_032966, ASTEI20_042064	ASIC012609, ASIC012610, ASIC012607
OG0000217	ASTEI20_040200	ASIC021690
OG0000217	ASTEI20_036703	ASIC007120
OG0000217	ASTEI20_044284	ASIC021693
OG0000218	ASTEI20_043383	ASIC006963
OG0000218	ASTEI20_039263	ASIC006964
OG0000219	ASTEI20_035108	ASIC017087
OG0000220	ASTEI20_035755	ASIC021083
OG0000220	ASTEI20_037745	ASIC021081
OG0000221	ASTEI20_038135	ASIC016222, ASIC016221, ASIC016220
OG0000221	ASTEI20_037201	ASIC019669, ASIC019668
OG0000222	ASTEI20_035055	ASIC014190
OG0000222	ASTEI20_041199	ASIC013415
OG0000223	ASTEI20_037771	ASIC011432
OG0000224	ASTEI20_038501	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365
OG0000225	ASTEI20_037793, ASTEI20_038611	ASIC021356
OG0000226	ASTEI20_034161	ASIC020560
OG0000226	ASTEI20_036749, ASTEI20_033104, ASTEI20_033107, ASTEI20_043945	ASIC020556
OG0000228	ASTEI20_034891	ASIC019719, ASIC019722, ASIC019723
OG0000229	ASTEI20_032722	ASIC021403
OG0000229	ASTEI20_037602	ASIC004678
OG0000230	ASTEI20_034005	ASIC005288
OG0000231	ASTEI20_040405	ASIC011666
OG0000231	ASTEI20_043476	ASIC011669
OG0000232	ASTEI20_044096, ASTEI20_038687, ASTEI20_044010, ASTEI20_040318	ASIC012966
OG0000232	ASTEI20_040000, ASTEI20_042206	ASIC012965
OG0000233	ASTEI20_041338	ASIC011408
OG0000234	ASTEI20_040171	ASIC020664
OG0000235	ASTEI20_044011	ASIC017168, ASIC009033
OG0000236	ASTEI20_036868	ASIC011385
OG0000236	ASTEI20_032536	ASIC008198
OG0000237	ASTEI20_039839	ASIC003194
OG0000244	ASTEI20_035715	ASIC022012
OG0000245	ASTEI20_043968	ASIC005515
OG0000245	ASTEI20_037895	ASIC005518
OG0000245	ASTEI20_036396	ASIC005516
OG0000246	ASTEI20_041860	ASIC021753
OG0000246	ASTEI20_034647	ASIC021752
OG0000246	ASTEI20_037168	ASIC021751, ASIC021749
OG0000246	ASTEI20_031502	ASIC021748
OG0000247	ASTEI20_032101	ASIC016691
OG0000247	ASTEI20_044238	ASIC019252
OG0000249	ASTEI20_039526	ASIC016050
OG0000249	ASTEI20_038673	ASIC000958
OG0000250	ASTEI20_043607	ASIC004082
OG0000250	ASTEI20_038490	ASIC004081
OG0000252	ASTEI20_040133	ASIC005046
OG0000252	ASTEI20_045800	ASIC005048
OG0000253	ASTEI20_036887	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662
OG0000254	ASTEI20_034532	ASIC005504
OG0000255	ASTEI20_042761, ASTEI20_044933	ASIC020208, ASIC020207
OG0000256	ASTEI20_045578	ASIC012493, ASIC012494
OG0000256	ASTEI20_042134, ASTEI20_044073	ASIC012495
OG0000257	ASTEI20_033195	ASIC005738
OG0000260	ASTEI20_034398	ASIC010061
OG0000260	ASTEI20_038711	ASIC010060
OG0000260	ASTEI20_037645	ASIC010058
OG0000263	ASTEI20_045271, ASTEI20_032519, ASTEI20_037013, ASTEI20_039929, ASTEI20_032243, ASTEI20_034862, ASTEI20_031551, ASTEI20_043655	ASIC006278, ASIC019183, ASIC001150, ASIC015353
OG0000265	ASTEI20_044851, ASTEI20_037660	ASIC007840
OG0000266	ASTEI20_042056	ASIC010738
OG0000266	ASTEI20_041270	ASIC004862
OG0000266	ASTEI20_035075	ASIC004863
OG0000267	ASTEI20_044700	ASIC021746
OG0000268	ASTEI20_032301	ASIC007410
OG0000268	ASTEI20_032365	ASIC007406
OG0000269	ASTEI20_045911, ASTEI20_044456	ASIC006168
OG0000270	ASTEI20_032190, ASTEI20_043741, ASTEI20_040825, ASTEI20_034360, ASTEI20_030843	ASIC018039
OG0000271	ASTEI20_031771	ASIC006601
OG0000272	ASTEI20_042478	ASIC015539
OG0000272	ASTEI20_037724	ASIC011268
OG0000273	ASTEI20_032020	ASIC011512
OG0000273	ASTEI20_041023	ASIC011513
OG0000273	ASTEI20_043316	ASIC011515
