Orthogroup	AstephensiUCISS2018	AfunestusAfunGA1
OG0000020	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417	AFUN2_010799, AFUN2_008522, AFUN2_009055
OG0000020	ASTEI20_044090, ASTEI20_042722	AFUN2_003121, AFUN2_013731, AFUN2_014147, AFUN2_010349, AFUN2_009403, AFUN2_012335
OG0000020	ASTEI20_033349, ASTEI20_033857, ASTEI20_043843	AFUN2_001103, AFUN2_007911, AFUN2_001210, AFUN2_001831
OG0000021	ASTEI20_031602	AFUN2_013453
OG0000021	ASTEI20_042507	AFUN2_010217
OG0000021	ASTEI20_033844	AFUN2_001683
OG0000021	ASTEI20_036164	AFUN2_001836
OG0000021	ASTEI20_042388	AFUN2_011639
OG0000021	ASTEI20_042454	AFUN2_002771
OG0000021	ASTEI20_044345	AFUN2_007302
OG0000021	ASTEI20_032692	AFUN2_014571
OG0000021	ASTEI20_040880	AFUN2_010167
OG0000022	ASTEI20_044612, ASTEI20_045722	AFUN2_003020, AFUN2_009564, AFUN2_014204, AFUN2_008458, AFUN2_006596, AFUN2_002978
OG0000023	ASTEI20_036442	AFUN2_002757
OG0000023	ASTEI20_033419	AFUN2_008581
OG0000023	ASTEI20_039293	AFUN2_012787, AFUN2_013813
OG0000023	ASTEI20_044320	AFUN2_005728
OG0000023	ASTEI20_035887	AFUN2_001616
OG0000024	ASTEI20_036317	AFUN2_008754
OG0000024	ASTEI20_030796	AFUN2_004514
OG0000024	ASTEI20_042294	AFUN2_001856
OG0000024	ASTEI20_032042	AFUN2_009727
OG0000024	ASTEI20_045971	AFUN2_006932
OG0000024	ASTEI20_035495	AFUN2_012131
OG0000025	ASTEI20_036374, ASTEI20_044660	AFUN2_011412, AFUN2_009073, AFUN2_014057, AFUN2_001155
OG0000026	ASTEI20_034431	AFUN2_007391
OG0000026	ASTEI20_030979	AFUN2_005277
OG0000026	ASTEI20_036805	AFUN2_003253, AFUN2_004905
OG0000026	ASTEI20_033037	AFUN2_006722
OG0000026	ASTEI20_038151	AFUN2_005978
OG0000027	ASTEI20_032352	AFUN2_012022
OG0000027	ASTEI20_038580	AFUN2_002065
OG0000027	ASTEI20_036720	AFUN2_004791
OG0000028	ASTEI20_031230	AFUN2_008286, AFUN2_011015
OG0000030	ASTEI20_038223	AFUN2_012733, AFUN2_007213, AFUN2_001848, AFUN2_011448, AFUN2_005957, AFUN2_010339, AFUN2_010744, AFUN2_005913, AFUN2_012561, AFUN2_001536, AFUN2_011617, AFUN2_011391, AFUN2_001923, AFUN2_011066, AFUN2_014328, AFUN2_006386, AFUN2_012770, AFUN2_005352
OG0000031	ASTEI20_045661, ASTEI20_042458, ASTEI20_045950, ASTEI20_040834, ASTEI20_042405, ASTEI20_031598	AFUN2_011697, AFUN2_011049, AFUN2_008201, AFUN2_008391, AFUN2_011664, AFUN2_002494, AFUN2_002498
OG0000032	ASTEI20_031606	AFUN2_010173
OG0000032	ASTEI20_038431, ASTEI20_041238, ASTEI20_037767	AFUN2_003899, AFUN2_006152
OG0000033	ASTEI20_045015	AFUN2_014039
OG0000033	ASTEI20_034999	AFUN2_008608
OG0000033	ASTEI20_036373	AFUN2_002394
OG0000033	ASTEI20_031788	AFUN2_008977
OG0000033	ASTEI20_044530, ASTEI20_042735	AFUN2_007576
OG0000034	ASTEI20_042786	AFUN2_000777
OG0000034	ASTEI20_045819	AFUN2_002152
OG0000034	ASTEI20_041011	AFUN2_005553
OG0000034	ASTEI20_037589	AFUN2_004371
OG0000034	ASTEI20_032776	AFUN2_010024
OG0000034	ASTEI20_040625	AFUN2_014222
OG0000035	ASTEI20_034591	AFUN2_006151
OG0000035	ASTEI20_040523, ASTEI20_035326, ASTEI20_036996, ASTEI20_033591, ASTEI20_034577, ASTEI20_044193, ASTEI20_030889, ASTEI20_040393, ASTEI20_037776, ASTEI20_045503, ASTEI20_045781	AFUN2_013041, AFUN2_005479
OG0000035	ASTEI20_042171	AFUN2_014196, AFUN2_002672, AFUN2_009607, AFUN2_009222
OG0000035	ASTEI20_041634	AFUN2_006146
OG0000035	ASTEI20_035874	AFUN2_006683
OG0000037	ASTEI20_038052, ASTEI20_032497	AFUN2_013181
OG0000038	ASTEI20_038945	AFUN2_013078
OG0000038	ASTEI20_031315	AFUN2_005392
OG0000039	ASTEI20_041961	AFUN2_009923
OG0000039	ASTEI20_034016	AFUN2_010939
OG0000039	ASTEI20_042151	AFUN2_002356
OG0000039	ASTEI20_039200, ASTEI20_040849	AFUN2_001872
OG0000039	ASTEI20_035166, ASTEI20_036321, ASTEI20_037293	AFUN2_008523, AFUN2_002845
OG0000040	ASTEI20_037172	AFUN2_012034
OG0000040	ASTEI20_034704	AFUN2_011961
OG0000040	ASTEI20_040829	AFUN2_013533
OG0000041	ASTEI20_038827	AFUN2_014438
OG0000041	ASTEI20_038756	AFUN2_001049
OG0000041	ASTEI20_034624	AFUN2_010115
OG0000041	ASTEI20_036497	AFUN2_014544
OG0000042	ASTEI20_044170, ASTEI20_041547	AFUN2_004081
OG0000042	ASTEI20_038339	AFUN2_014693
OG0000042	ASTEI20_037084	AFUN2_009173, AFUN2_004521
OG0000043	ASTEI20_038713, ASTEI20_044556, ASTEI20_031445	AFUN2_001254, AFUN2_009245
OG0000043	ASTEI20_043114	AFUN2_002010, AFUN2_009895
OG0000043	ASTEI20_042955, ASTEI20_040096	AFUN2_004184, AFUN2_011280, AFUN2_012488, AFUN2_014542, AFUN2_012176, AFUN2_009359
OG0000043	ASTEI20_036675	AFUN2_005903, AFUN2_014695, AFUN2_008709, AFUN2_002764, AFUN2_009048
OG0000045	ASTEI20_038821	AFUN2_006680
OG0000046	ASTEI20_033536	AFUN2_006305
OG0000046	ASTEI20_045137	AFUN2_003082
OG0000048	ASTEI20_036610	AFUN2_006474
OG0000048	ASTEI20_030791	AFUN2_003419
OG0000048	ASTEI20_041758	AFUN2_007098, AFUN2_011966
OG0000048	ASTEI20_034337	AFUN2_007180
OG0000048	ASTEI20_034409	AFUN2_001025
OG0000049	ASTEI20_044950	AFUN2_008624
OG0000049	ASTEI20_037621	AFUN2_012748
OG0000049	ASTEI20_031880	AFUN2_002192, AFUN2_013459
OG0000050	ASTEI20_036104, ASTEI20_039399	AFUN2_013758, AFUN2_004424, AFUN2_000519, AFUN2_007709, AFUN2_014535, AFUN2_004996, AFUN2_006077, AFUN2_002014, AFUN2_005464, AFUN2_000902, AFUN2_006595, AFUN2_002144, AFUN2_008995, AFUN2_008521, AFUN2_001949, AFUN2_014008, AFUN2_012115, AFUN2_001319, AFUN2_004099, AFUN2_001446, AFUN2_011923, AFUN2_006774, AFUN2_004135, AFUN2_008820, AFUN2_011946, AFUN2_011869, AFUN2_007728, AFUN2_002311, AFUN2_011710, AFUN2_002565, AFUN2_006170, AFUN2_002205, AFUN2_013104, AFUN2_002325, AFUN2_001048, AFUN2_012571, AFUN2_011759, AFUN2_008005, AFUN2_004119, AFUN2_013320, AFUN2_004319, AFUN2_006631, AFUN2_004722, AFUN2_009198, AFUN2_013887, AFUN2_006868, AFUN2_009902
OG0000051	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721
OG0000052	ASTEI20_035536	AFUN2_013880
OG0000053	ASTEI20_044934	AFUN2_014363
OG0000053	ASTEI20_043576	AFUN2_010396, AFUN2_010923
OG0000053	ASTEI20_040463	AFUN2_007355
OG0000053	ASTEI20_037018	AFUN2_008998
OG0000053	ASTEI20_032861	AFUN2_014545
OG0000053	ASTEI20_037570	AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584
OG0000053	ASTEI20_036072	AFUN2_001373
OG0000055	ASTEI20_041788, ASTEI20_036817	AFUN2_003795
OG0000055	ASTEI20_036856, ASTEI20_032399, ASTEI20_042765, ASTEI20_041371, ASTEI20_043376	AFUN2_001013, AFUN2_010954, AFUN2_006754, AFUN2_002857, AFUN2_009317, AFUN2_014083, AFUN2_006806, AFUN2_010423
OG0000057	ASTEI20_031438, ASTEI20_044408, ASTEI20_032987, ASTEI20_039149, ASTEI20_036909	AFUN2_008318, AFUN2_006014
OG0000057	ASTEI20_041738	AFUN2_000600
OG0000058	ASTEI20_043943	AFUN2_011854
OG0000058	ASTEI20_042767	AFUN2_008788
OG0000058	ASTEI20_037097	AFUN2_002438
OG0000058	ASTEI20_045123	AFUN2_002842
OG0000058	ASTEI20_036123, ASTEI20_031030	AFUN2_001688
OG0000059	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207	AFUN2_006267
OG0000059	ASTEI20_037464	AFUN2_010578
OG0000059	ASTEI20_043703	AFUN2_006502, AFUN2_012387
OG0000059	ASTEI20_034096, ASTEI20_032263	AFUN2_014242, AFUN2_009466
OG0000060	ASTEI20_037656	AFUN2_014460
OG0000060	ASTEI20_045967	AFUN2_011607
OG0000060	ASTEI20_042375	AFUN2_000444
OG0000060	ASTEI20_044978	AFUN2_013952
OG0000061	ASTEI20_045924, ASTEI20_044992	AFUN2_000988
OG0000061	ASTEI20_042918	AFUN2_001934
OG0000061	ASTEI20_036073	AFUN2_011828
OG0000061	ASTEI20_042895	AFUN2_001889
OG0000062	ASTEI20_044163	AFUN2_009059
OG0000062	ASTEI20_037850	AFUN2_003714
OG0000062	ASTEI20_042947	AFUN2_008839
OG0000062	ASTEI20_042271	AFUN2_002820
OG0000062	ASTEI20_035743	AFUN2_013747
OG0000062	ASTEI20_044072	AFUN2_007462, AFUN2_014711
OG0000063	ASTEI20_042329, ASTEI20_039640	AFUN2_005096
OG0000063	ASTEI20_041397	AFUN2_009682
OG0000064	ASTEI20_036363	AFUN2_002334
OG0000064	ASTEI20_032269	AFUN2_013676
OG0000064	ASTEI20_045444	AFUN2_011232
OG0000064	ASTEI20_030805	AFUN2_012759
OG0000064	ASTEI20_034042	AFUN2_002312
OG0000067	ASTEI20_033258	AFUN2_003888
OG0000067	ASTEI20_038682	AFUN2_012011
OG0000067	ASTEI20_040377	AFUN2_003045
OG0000067	ASTEI20_044258	AFUN2_008039
OG0000067	ASTEI20_046110	AFUN2_008602
OG0000068	ASTEI20_040313	AFUN2_012196
OG0000068	ASTEI20_042702	AFUN2_006617
OG0000068	ASTEI20_045828	AFUN2_013302
OG0000068	ASTEI20_032296	AFUN2_009586
OG0000069	ASTEI20_035338	AFUN2_014241
OG0000069	ASTEI20_038112	AFUN2_004523
OG0000069	ASTEI20_039804	AFUN2_010311
OG0000069	ASTEI20_031615	AFUN2_012252
OG0000071	ASTEI20_044717	AFUN2_007775
OG0000071	ASTEI20_033179	AFUN2_014078
OG0000071	ASTEI20_041551	AFUN2_008604
OG0000071	ASTEI20_037620	AFUN2_008424
OG0000071	ASTEI20_035007	AFUN2_006008
OG0000072	ASTEI20_043809	AFUN2_010362
OG0000072	ASTEI20_038057	AFUN2_005951
OG0000072	ASTEI20_036131	AFUN2_000847
OG0000072	ASTEI20_045176	AFUN2_008401
OG0000072	ASTEI20_045641, ASTEI20_039665	AFUN2_008209
OG0000073	ASTEI20_036269	AFUN2_006853
OG0000073	ASTEI20_037565	AFUN2_012208
OG0000074	ASTEI20_035123	AFUN2_001362
OG0000074	ASTEI20_041942	AFUN2_008795
OG0000074	ASTEI20_036102	AFUN2_001014
OG0000074	ASTEI20_035843	AFUN2_003460
OG0000074	ASTEI20_043301	AFUN2_012551
OG0000074	ASTEI20_031364	AFUN2_006428
OG0000075	ASTEI20_044173, ASTEI20_045639	AFUN2_009178, AFUN2_014263
OG0000075	ASTEI20_041998	AFUN2_005741
OG0000075	ASTEI20_037835	AFUN2_007975
OG0000076	ASTEI20_035431	AFUN2_000390, AFUN2_002799
OG0000076	ASTEI20_045335	AFUN2_012586
OG0000077	ASTEI20_041229	AFUN2_011333
OG0000077	ASTEI20_037597	AFUN2_001755
OG0000077	ASTEI20_042788	AFUN2_000688
OG0000077	ASTEI20_038766	AFUN2_006649
OG0000077	ASTEI20_034638	AFUN2_002148
OG0000078	ASTEI20_038038	AFUN2_000476
OG0000078	ASTEI20_044002	AFUN2_002448, AFUN2_006245
OG0000079	ASTEI20_042516	AFUN2_004202
OG0000079	ASTEI20_040435	AFUN2_003268
OG0000079	ASTEI20_038502, ASTEI20_045603	AFUN2_001951
OG0000079	ASTEI20_045836	AFUN2_003859
OG0000080	ASTEI20_045083	AFUN2_011331
OG0000080	ASTEI20_037839	AFUN2_001435
OG0000080	ASTEI20_038192	AFUN2_013190
OG0000080	ASTEI20_035820	AFUN2_009609
OG0000080	ASTEI20_038748	AFUN2_005626
OG0000081	ASTEI20_044597	AFUN2_011577
OG0000081	ASTEI20_033899, ASTEI20_041643	AFUN2_004811
OG0000081	ASTEI20_041167	AFUN2_010972
OG0000081	ASTEI20_045891	AFUN2_012341
OG0000082	ASTEI20_035318	AFUN2_012054
OG0000083	ASTEI20_039769, ASTEI20_038111, ASTEI20_041140, ASTEI20_040249, ASTEI20_033090, ASTEI20_044624	AFUN2_010478
OG0000083	ASTEI20_038418	AFUN2_006892, AFUN2_009238, AFUN2_012907, AFUN2_009168, AFUN2_002474, AFUN2_001114
OG0000085	ASTEI20_033228	AFUN2_010241
OG0000085	ASTEI20_037988	AFUN2_007525
OG0000085	ASTEI20_039794	AFUN2_013450, AFUN2_004039
OG0000086	ASTEI20_036600	AFUN2_011858
OG0000086	ASTEI20_036223	AFUN2_006387
OG0000086	ASTEI20_035207	AFUN2_009185
OG0000086	ASTEI20_037451	AFUN2_010974
OG0000086	ASTEI20_043950	AFUN2_001324
OG0000088	ASTEI20_042317	AFUN2_014792
OG0000088	ASTEI20_035957	AFUN2_006389
OG0000088	ASTEI20_030868	AFUN2_012429
OG0000089	ASTEI20_035269	AFUN2_006698
OG0000089	ASTEI20_031474	AFUN2_004303
OG0000089	ASTEI20_033656	AFUN2_007001
OG0000089	ASTEI20_034314	AFUN2_005638, AFUN2_010754, AFUN2_005237
OG0000089	ASTEI20_038747	AFUN2_004286
OG0000089	ASTEI20_043719	AFUN2_005151
OG0000090	ASTEI20_044859	AFUN2_012179
OG0000090	ASTEI20_037367, ASTEI20_042053	AFUN2_011067
OG0000090	ASTEI20_044104, ASTEI20_039435	AFUN2_004646
OG0000091	ASTEI20_043825	AFUN2_004400
OG0000093	ASTEI20_037262	AFUN2_001084, AFUN2_009469, AFUN2_002675
OG0000093	ASTEI20_033729	AFUN2_012981
OG0000096	ASTEI20_039679	AFUN2_007046
OG0000096	ASTEI20_033293	AFUN2_000740
OG0000096	ASTEI20_044580	AFUN2_004816
OG0000096	ASTEI20_044690	AFUN2_002084
OG0000097	ASTEI20_043690	AFUN2_013795
OG0000097	ASTEI20_037688, ASTEI20_043748	AFUN2_013131
OG0000098	ASTEI20_035940	AFUN2_000935
OG0000100	ASTEI20_034171, ASTEI20_031391, ASTEI20_030982, ASTEI20_034565	AFUN2_004153
OG0000101	ASTEI20_033538	AFUN2_010533
OG0000103	ASTEI20_031248	AFUN2_002101
OG0000103	ASTEI20_044567	AFUN2_007321
OG0000103	ASTEI20_041286, ASTEI20_041968, ASTEI20_040764, ASTEI20_041606, ASTEI20_040118, ASTEI20_042060, ASTEI20_033705, ASTEI20_038991, ASTEI20_044176, ASTEI20_032305, ASTEI20_043471, ASTEI20_042968, ASTEI20_032059, ASTEI20_043781, ASTEI20_034947, ASTEI20_033546, ASTEI20_038930	AFUN2_005247, AFUN2_010691, AFUN2_005907, AFUN2_010388
OG0000103	ASTEI20_031812	AFUN2_001634, AFUN2_005493
OG0000104	ASTEI20_031093	AFUN2_001037
OG0000104	ASTEI20_031442	AFUN2_011196
OG0000104	ASTEI20_031279	AFUN2_006302
OG0000105	ASTEI20_043210	AFUN2_006891, AFUN2_009384
OG0000107	ASTEI20_041111	AFUN2_001412
OG0000107	ASTEI20_036614	AFUN2_012650
OG0000108	ASTEI20_039367	AFUN2_013458
OG0000109	ASTEI20_035723	AFUN2_009795
OG0000109	ASTEI20_041902	AFUN2_004467
OG0000111	ASTEI20_034526, ASTEI20_032750, ASTEI20_033872, ASTEI20_035732, ASTEI20_035816, ASTEI20_040937, ASTEI20_037402, ASTEI20_040392	AFUN2_007611
OG0000114	ASTEI20_031785, ASTEI20_040627	AFUN2_001369, AFUN2_010132
OG0000114	ASTEI20_032160	AFUN2_006701
OG0000114	ASTEI20_043145	AFUN2_007376
OG0000115	ASTEI20_031924	AFUN2_007755
OG0000115	ASTEI20_034594	AFUN2_008885
OG0000116	ASTEI20_039992	AFUN2_012892
OG0000116	ASTEI20_046113	AFUN2_001632
OG0000116	ASTEI20_045875, ASTEI20_036918	AFUN2_011292
OG0000116	ASTEI20_044702	AFUN2_005701
OG0000117	ASTEI20_032003	AFUN2_007418
OG0000117	ASTEI20_035916	AFUN2_007392
OG0000117	ASTEI20_044511	AFUN2_000628, AFUN2_011841, AFUN2_002246, AFUN2_012483, AFUN2_013717, AFUN2_004183, AFUN2_011147, AFUN2_009679, AFUN2_007034
OG0000119	ASTEI20_031989	AFUN2_008133
OG0000119	ASTEI20_033264, ASTEI20_035228	AFUN2_003288
OG0000120	ASTEI20_031113	AFUN2_014360
OG0000120	ASTEI20_040639	AFUN2_014310
OG0000120	ASTEI20_043620	AFUN2_007600
OG0000120	ASTEI20_036340	AFUN2_000895
OG0000123	ASTEI20_045570	AFUN2_003694
OG0000124	ASTEI20_031108	AFUN2_012265
OG0000124	ASTEI20_042994	AFUN2_012679
OG0000124	ASTEI20_033894	AFUN2_002887, AFUN2_011110
OG0000125	ASTEI20_030793	AFUN2_003424, AFUN2_003313, AFUN2_012529
OG0000127	ASTEI20_045429, ASTEI20_037750, ASTEI20_032628, ASTEI20_039828	AFUN2_007961, AFUN2_014650, AFUN2_010892
OG0000128	ASTEI20_039421	AFUN2_009017
OG0000128	ASTEI20_041892	AFUN2_013941
OG0000128	ASTEI20_031766	AFUN2_007884
OG0000129	ASTEI20_032516	AFUN2_004369
OG0000129	ASTEI20_039120	AFUN2_004902
OG0000129	ASTEI20_038234	AFUN2_001390
OG0000129	ASTEI20_042029	AFUN2_011235
OG0000130	ASTEI20_041330	AFUN2_011184
OG0000130	ASTEI20_037430	AFUN2_008453
OG0000130	ASTEI20_043872	AFUN2_009668
OG0000131	ASTEI20_038615	AFUN2_005171
OG0000131	ASTEI20_045120	AFUN2_011906
OG0000131	ASTEI20_034975	AFUN2_003726
OG0000131	ASTEI20_033405	AFUN2_006692
OG0000132	ASTEI20_035199	AFUN2_007055
OG0000132	ASTEI20_034238	AFUN2_004597
OG0000132	ASTEI20_036305	AFUN2_005157
OG0000132	ASTEI20_031453	AFUN2_003612
OG0000133	ASTEI20_033689	AFUN2_010213
OG0000133	ASTEI20_035006	AFUN2_005015
OG0000133	ASTEI20_045111	AFUN2_001924
OG0000134	ASTEI20_041705	AFUN2_008047
OG0000134	ASTEI20_031508	AFUN2_001568
OG0000135	ASTEI20_033495	AFUN2_011084
OG0000136	ASTEI20_031418	AFUN2_003409
OG0000136	ASTEI20_044015	AFUN2_000794
