Orthogroup	AstephensiUCISS2018	AgambiaePEST
OG0000024	ASTEI20_036317	AGAP012569, AGAP005636, AGAP005638
OG0000024	ASTEI20_030796	AGAP005637
OG0000024	ASTEI20_042294	AGAP006226
OG0000024	ASTEI20_032042	AGAP006224
OG0000024	ASTEI20_038906	AGAP006225
OG0000024	ASTEI20_045971	AGAP006221
OG0000024	ASTEI20_035495	AGAP006220
OG0000025	ASTEI20_039096	AGAP013330
OG0000026	ASTEI20_034431	AGAP004981, AGAP012617
OG0000026	ASTEI20_045957	AGAP012616
OG0000026	ASTEI20_037139	AGAP004977
OG0000026	ASTEI20_036805	AGAP004978
OG0000026	ASTEI20_033037	AGAP006258
OG0000026	ASTEI20_038151	AGAP002825
OG0000027	ASTEI20_032352	AGAP029283
OG0000027	ASTEI20_038580	AGAP010363
OG0000027	ASTEI20_036720	AGAP010364
OG0000030	ASTEI20_038223	AGAP010812, AGAP010816, AGAP010830, AGAP010832, AGAP010831, AGAP010819, AGAP010814, AGAP010818, AGAP010815
OG0000033	ASTEI20_045015	AGAP003252
OG0000033	ASTEI20_034999	AGAP003251
OG0000033	ASTEI20_036373	AGAP003246
OG0000033	ASTEI20_031788	AGAP003250
OG0000033	ASTEI20_044530, ASTEI20_042735	AGAP003245, AGAP003247
OG0000034	ASTEI20_043226	AGAP005485, AGAP005482
OG0000034	ASTEI20_042786	AGAP003594
OG0000034	ASTEI20_045819	AGAP005473
OG0000034	ASTEI20_042959	AGAP005479
OG0000034	ASTEI20_041011	AGAP005481, AGAP005480
OG0000034	ASTEI20_037589	AGAP005483, AGAP005484
OG0000034	ASTEI20_032776	AGAP004575
OG0000034	ASTEI20_040625	AGAP005938
OG0000035	ASTEI20_034591	AGAP012715, AGAP012588, AGAP012450
OG0000035	ASTEI20_038434, ASTEI20_044858	AGAP028576, AGAP010323
OG0000035	ASTEI20_042171	AGAP005476, AGAP005477, AGAP005478, AGAP005474, AGAP005475
OG0000035	ASTEI20_041634	AGAP006696
OG0000035	ASTEI20_035874	AGAP005307
OG0000037	ASTEI20_031459	AGAP012562, AGAP010741
OG0000037	ASTEI20_042647	AGAP013484, AGAP013247
OG0000037	ASTEI20_041766, ASTEI20_039477	AGAP013225, AGAP013086, AGAP013456, AGAP013517, AGAP013322, AGAP013353, AGAP013110
OG0000037	ASTEI20_034438	AGAP013369
OG0000037	ASTEI20_044399	AGAP013264
OG0000037	ASTEI20_045557	AGAP013448
OG0000037	ASTEI20_042942	AGAP013113
OG0000039	ASTEI20_041961	AGAP006420
OG0000039	ASTEI20_034016	AGAP006421
OG0000039	ASTEI20_042151	AGAP005497
OG0000039	ASTEI20_039200, ASTEI20_040849	AGAP006417
OG0000039	ASTEI20_035166, ASTEI20_036321, ASTEI20_037293	AGAP006443, AGAP006419, AGAP006418
OG0000040	ASTEI20_037172	AGAP006666
OG0000040	ASTEI20_034704	AGAP011469, AGAP012854
OG0000040	ASTEI20_040829	AGAP011467
OG0000040	ASTEI20_045547	AGAP009410
OG0000040	ASTEI20_039503	AGAP009408, AGAP009409
OG0000041	ASTEI20_038827	AGAP028600
OG0000041	ASTEI20_038756	AGAP029755
OG0000041	ASTEI20_034624	AGAP029753
OG0000041	ASTEI20_036497	AGAP001764
OG0000042	ASTEI20_044170, ASTEI20_041547	AGAP008403
OG0000042	ASTEI20_038339	AGAP009249, AGAP028179, AGAP028641, AGAP029126
OG0000042	ASTEI20_039646	AGAP012020, AGAP028102, AGAP028075, AGAP027981, AGAP029931, AGAP012504, AGAP012505, AGAP012021
OG0000042	ASTEI20_039609	AGAP029930, AGAP028229, AGAP028069, AGAP028183, AGAP029100, AGAP029093, AGAP029865
OG0000042	ASTEI20_037084	AGAP010545, AGAP028728
OG0000043	ASTEI20_038713, ASTEI20_044556, ASTEI20_031445	AGAP028182
OG0000043	ASTEI20_043114, ASTEI20_042955, ASTEI20_040096	AGAP029334, AGAP029308
OG0000046	ASTEI20_039896	AGAP003627, AGAP012946
OG0000048	ASTEI20_036610	AGAP008648
OG0000048	ASTEI20_030791	AGAP006194, AGAP006199
OG0000048	ASTEI20_041758	AGAP006198, AGAP006201, AGAP006195
OG0000048	ASTEI20_034337	AGAP006192
OG0000048	ASTEI20_034409	AGAP006193
OG0000049	ASTEI20_044950	AGAP011788
OG0000049	ASTEI20_037621	AGAP011781
OG0000049	ASTEI20_031880	AGAP011792
OG0000049	ASTEI20_045883	AGAP011794, AGAP011793
OG0000049	ASTEI20_039499	AGAP011789
OG0000051	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103	AGAP010114, AGAP010127, AGAP010113, AGAP010126, AGAP010128, AGAP010116, AGAP010120, AGAP010112, AGAP010117, AGAP010119, AGAP013749, AGAP012875
OG0000052	ASTEI20_043416	AGAP011918
OG0000052	ASTEI20_035536	AGAP011920
OG0000053	ASTEI20_044934	AGAP008958, AGAP028117, AGAP028033, AGAP028172, AGAP028092, AGAP028134
OG0000053	ASTEI20_043576	AGAP028063, AGAP028150
OG0000053	ASTEI20_040463	AGAP028118, AGAP028020, AGAP028195
OG0000053	ASTEI20_037018	AGAP028165
OG0000053	ASTEI20_032861	AGAP008956
OG0000053	ASTEI20_037570	AGAP028181, AGAP028155, AGAP027990, AGAP028070
OG0000053	ASTEI20_036072	AGAP028082
OG0000055	ASTEI20_041788, ASTEI20_036817	AGAP002076
OG0000055	ASTEI20_036856, ASTEI20_032399, ASTEI20_042765, ASTEI20_041371, ASTEI20_043376	AGAP004581
OG0000057	ASTEI20_031438, ASTEI20_044408, ASTEI20_032987, ASTEI20_039149, ASTEI20_036909	AGAP010105, AGAP010107, AGAP010104, AGAP029247
OG0000057	ASTEI20_043801, ASTEI20_033403	AGAP010106, AGAP010103, AGAP010121, AGAP010108
OG0000057	ASTEI20_041738	AGAP029248
OG0000058	ASTEI20_035290	AGAP028729
OG0000058	ASTEI20_043943	AGAP009471
OG0000058	ASTEI20_042767	AGAP009472
OG0000058	ASTEI20_037097	AGAP009467
OG0000058	ASTEI20_045123	AGAP009468
OG0000058	ASTEI20_036123, ASTEI20_031030	AGAP008945
OG0000059	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207	AGAP005194
OG0000059	ASTEI20_040754	AGAP005196, AGAP005195
OG0000059	ASTEI20_037464	AGAP006707
OG0000059	ASTEI20_043703	AGAP006709, AGAP006710, AGAP006711
OG0000059	ASTEI20_034096, ASTEI20_032263	AGAP007142
OG0000059	ASTEI20_039938, ASTEI20_036541	AGAP007141
OG0000060	ASTEI20_037656	AGAP010097
OG0000060	ASTEI20_045967	AGAP010100, AGAP010099
OG0000060	ASTEI20_042375	AGAP010098
OG0000060	ASTEI20_044978	AGAP010101
OG0000061	ASTEI20_045924, ASTEI20_044992	AGAP012230
OG0000061	ASTEI20_042918	AGAP006371
OG0000061	ASTEI20_036073	AGAP002318
OG0000061	ASTEI20_042895	AGAP002317
OG0000062	ASTEI20_044163	AGAP008558
OG0000062	ASTEI20_037850	AGAP013252
OG0000062	ASTEI20_042947	AGAP028071, AGAP008808, AGAP000411, AGAP008911, AGAP029120, AGAP029119, AGAP029111
OG0000062	ASTEI20_042271	AGAP029114, AGAP029108
OG0000062	ASTEI20_035743	AGAP028711, AGAP012749, AGAP012270
OG0000062	ASTEI20_044072	AGAP012777, AGAP012817, AGAP029330, AGAP028710
OG0000063	ASTEI20_042329, ASTEI20_039640	AGAP002555
OG0000063	ASTEI20_041397	AGAP002202
OG0000064	ASTEI20_045444	AGAP002134
OG0000067	ASTEI20_033258	AGAP011939
OG0000067	ASTEI20_038682	AGAP012400
OG0000067	ASTEI20_040377	AGAP012399
OG0000067	ASTEI20_044258	AGAP002102
OG0000067	ASTEI20_046110	AGAP012401
OG0000068	ASTEI20_040313	AGAP005999
OG0000068	ASTEI20_042702	AGAP005998
OG0000068	ASTEI20_045828	AGAP005996
OG0000068	ASTEI20_032296	AGAP006001
OG0000069	ASTEI20_035338	AGAP002851
OG0000069	ASTEI20_038112	AGAP007197
OG0000069	ASTEI20_039804	AGAP002850
OG0000069	ASTEI20_031615	AGAP002804
OG0000071	ASTEI20_044717	AGAP013490
OG0000071	ASTEI20_033179	AGAP001861
OG0000071	ASTEI20_041551	AGAP028019
OG0000071	ASTEI20_037620	AGAP008358
OG0000071	ASTEI20_035007	AGAP008356
OG0000072	ASTEI20_043809	AGAP010971
OG0000072	ASTEI20_038057	AGAP001219, AGAP001218
OG0000072	ASTEI20_045176	AGAP002770
OG0000072	ASTEI20_045641, ASTEI20_039665	AGAP007122
OG0000073	ASTEI20_036269	AGAP007754
OG0000073	ASTEI20_033743	AGAP007753
OG0000073	ASTEI20_037565	AGAP007752
OG0000074	ASTEI20_035123	AGAP005385
OG0000074	ASTEI20_041942	AGAP005384
OG0000074	ASTEI20_036102	AGAP005386
OG0000074	ASTEI20_035843	AGAP005387
OG0000074	ASTEI20_043301	AGAP005388
OG0000074	ASTEI20_031364	AGAP007354
OG0000075	ASTEI20_043256	AGAP006980, AGAP006984
OG0000075	ASTEI20_044173, ASTEI20_045639	AGAP006983, AGAP006981, AGAP006979
OG0000075	ASTEI20_041998	AGAP006978
OG0000075	ASTEI20_037835	AGAP006985, AGAP006982
OG0000076	ASTEI20_040347	AGAP009449, AGAP009448, AGAP010931, AGAP011270, AGAP012638, AGAP011267, AGAP029737, AGAP029736
OG0000076	ASTEI20_035431	AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234
OG0000076	ASTEI20_040002	AGAP011233
OG0000076	ASTEI20_045335	AGAP011835
OG0000077	ASTEI20_041229	AGAP006422
OG0000077	ASTEI20_037597	AGAP006424
OG0000077	ASTEI20_042788	AGAP006425
OG0000077	ASTEI20_038766	AGAP006423
OG0000077	ASTEI20_034638	AGAP006426
OG0000078	ASTEI20_038038	AGAP029351
OG0000079	ASTEI20_042516	AGAP001162
OG0000079	ASTEI20_038502, ASTEI20_045603	AGAP012985, AGAP012982, AGAP013149
OG0000079	ASTEI20_045836	AGAP001161
OG0000080	ASTEI20_045083	AGAP006380
OG0000080	ASTEI20_037839	AGAP006379
OG0000080	ASTEI20_038192	AGAP007504
OG0000080	ASTEI20_035820	AGAP012155
OG0000080	ASTEI20_038748	AGAP012156
OG0000081	ASTEI20_044597	AGAP007161
OG0000081	ASTEI20_033899, ASTEI20_041643	AGAP005547, AGAP005548
OG0000081	ASTEI20_041167	AGAP007159, AGAP007158
OG0000081	ASTEI20_045891	AGAP007162
OG0000083	ASTEI20_039769, ASTEI20_038111, ASTEI20_041140, ASTEI20_040249, ASTEI20_033090, ASTEI20_044624	AGAP029438
OG0000085	ASTEI20_033228	AGAP003763
OG0000085	ASTEI20_037988	AGAP003764
OG0000085	ASTEI20_039794	AGAP013346, AGAP003760, AGAP003759, AGAP003762, AGAP003758
OG0000086	ASTEI20_036600	AGAP004809
OG0000086	ASTEI20_036223	AGAP013155
OG0000086	ASTEI20_035207	AGAP001881
OG0000086	ASTEI20_037451	AGAP012984
OG0000086	ASTEI20_043950	AGAP013150
OG0000088	ASTEI20_042317	AGAP011575
OG0000088	ASTEI20_035957	AGAP011507
OG0000088	ASTEI20_030868	AGAP011509
OG0000089	ASTEI20_035269	AGAP029766
OG0000089	ASTEI20_031474	AGAP029781
OG0000089	ASTEI20_033656	AGAP029779
OG0000089	ASTEI20_034314	AGAP028709
OG0000089	ASTEI20_038747	AGAP028708
OG0000089	ASTEI20_043719	AGAP029765
OG0000090	ASTEI20_044859	AGAP007347
OG0000090	ASTEI20_033811	AGAP007343
OG0000090	ASTEI20_037367, ASTEI20_042053	AGAP007385
OG0000090	ASTEI20_044104, ASTEI20_039435	AGAP007386
OG0000091	ASTEI20_043825	AGAP013511
OG0000093	ASTEI20_035869, ASTEI20_035583, ASTEI20_033354, ASTEI20_042805, ASTEI20_043009	AGAP028431
OG0000093	ASTEI20_030917	AGAP011339
OG0000093	ASTEI20_042966	AGAP005104
OG0000096	ASTEI20_039679	AGAP010929
OG0000096	ASTEI20_033293	AGAP008622
OG0000096	ASTEI20_044580	AGAP005293
OG0000096	ASTEI20_044690	AGAP010510
OG0000097	ASTEI20_043690	AGAP002592
OG0000097	ASTEI20_045034	AGAP029385
OG0000097	ASTEI20_037688, ASTEI20_043748	AGAP013229
OG0000098	ASTEI20_030897, ASTEI20_032470	AGAP011325, AGAP009215, AGAP009214
OG0000098	ASTEI20_035940	AGAP009220
OG0000103	ASTEI20_040437, ASTEI20_031248	AGAP005105
OG0000103	ASTEI20_044567	AGAP005022, AGAP005027
OG0000103	ASTEI20_041286, ASTEI20_041968, ASTEI20_040764, ASTEI20_041606, ASTEI20_040118, ASTEI20_042060, ASTEI20_033705, ASTEI20_038991, ASTEI20_044176, ASTEI20_032305, ASTEI20_043471, ASTEI20_042968, ASTEI20_032059, ASTEI20_043781, ASTEI20_034947, ASTEI20_033546, ASTEI20_038930	AGAP029484, AGAP029942
OG0000104	ASTEI20_031093	AGAP009159
OG0000104	ASTEI20_031442	AGAP008545, AGAP028059
OG0000104	ASTEI20_031279	AGAP028140, AGAP008544
OG0000105	ASTEI20_043210	AGAP028705, AGAP012473, AGAP028704, AGAP010614, AGAP012670, AGAP012671, AGAP010615
OG0000105	ASTEI20_041014, ASTEI20_037458	AGAP012566, AGAP029961, AGAP010617, AGAP010619, AGAP010620, AGAP012472, AGAP012492, AGAP010015, AGAP012470
OG0000107	ASTEI20_032780	AGAP013529, AGAP002855
OG0000107	ASTEI20_041111	AGAP002856
OG0000107	ASTEI20_036614	AGAP002854
OG0000108	ASTEI20_031790, ASTEI20_039367	AGAP006187
OG0000109	ASTEI20_035723	AGAP006427
OG0000109	ASTEI20_041902	AGAP029457
OG0000109	ASTEI20_036023	AGAP004603
OG0000111	ASTEI20_041472	AGAP008465
OG0000111	ASTEI20_034526, ASTEI20_032750, ASTEI20_033872, ASTEI20_035732, ASTEI20_035816, ASTEI20_040937, ASTEI20_037402, ASTEI20_040392	AGAP008460
OG0000114	ASTEI20_031785, ASTEI20_040627	AGAP028151, AGAP028057
OG0000114	ASTEI20_032160	AGAP008458
OG0000114	ASTEI20_043145	AGAP008459
OG0000115	ASTEI20_031924	AGAP006594
OG0000115	ASTEI20_034594	AGAP006595
OG0000116	ASTEI20_039992	AGAP008437
OG0000116	ASTEI20_046113	AGAP028128
OG0000116	ASTEI20_036918	AGAP027980
OG0000116	ASTEI20_044702	AGAP009835
OG0000117	ASTEI20_044511	AGAP029801
OG0000119	ASTEI20_031989	AGAP005834
OG0000119	ASTEI20_033264	AGAP005835, AGAP005836
OG0000119	ASTEI20_035228	AGAP005837
OG0000120	ASTEI20_031113	AGAP001249
OG0000120	ASTEI20_043620	AGAP001245
OG0000120	ASTEI20_036340	AGAP006869
OG0000123	ASTEI20_045570	AGAP029220
OG0000124	ASTEI20_042719	AGAP007461
OG0000124	ASTEI20_040714	AGAP007446
OG0000124	ASTEI20_031108	AGAP007443
OG0000124	ASTEI20_042994	AGAP007463, AGAP007464, AGAP007462, AGAP007465, AGAP029854, AGAP007466
OG0000124	ASTEI20_033894	AGAP007470, AGAP007467, AGAP007469, AGAP007468, AGAP007471
OG0000125	ASTEI20_030793	AGAP011197, AGAP011230, AGAP029831, AGAP011223, AGAP011225, AGAP011228, AGAP011226, AGAP029830, AGAP029326, AGAP029319, AGAP010811, AGAP029721, AGAP012916, AGAP010763, AGAP010760, AGAP010759, AGAP029722, AGAP009184, AGAP010774, AGAP012539, AGAP010773, AGAP010775, AGAP011276, AGAP011277, AGAP010772, AGAP010761, AGAP010869, AGAP011231, AGAP029325, AGAP029314, AGAP010771, AGAP011224
OG0000127	ASTEI20_045429, ASTEI20_037750, ASTEI20_032628, ASTEI20_039828	AGAP001825
OG0000128	ASTEI20_039421	AGAP028426
OG0000128	ASTEI20_041892	AGAP010917
OG0000128	ASTEI20_040479	AGAP011366
OG0000128	ASTEI20_031766	AGAP011365
OG0000129	ASTEI20_032516	AGAP012996
OG0000129	ASTEI20_039120	AGAP001552
OG0000129	ASTEI20_038234	AGAP013124
OG0000129	ASTEI20_042029	AGAP013450
OG0000129	ASTEI20_041805	AGAP013239
OG0000130	ASTEI20_041330	AGAP001899
OG0000130	ASTEI20_037430	AGAP008468
OG0000130	ASTEI20_043872	AGAP028049
OG0000131	ASTEI20_038615	AGAP009877
OG0000131	ASTEI20_045120	AGAP009876
OG0000131	ASTEI20_034975	AGAP009875
OG0000131	ASTEI20_033405	AGAP009871
OG0000132	ASTEI20_035199	AGAP013132, AGAP004807
OG0000132	ASTEI20_034238	AGAP012529
OG0000132	ASTEI20_036305	AGAP004806
OG0000132	ASTEI20_031453	AGAP011287
OG0000133	ASTEI20_033689	AGAP012279
OG0000133	ASTEI20_035006	AGAP011611
OG0000133	ASTEI20_045111	AGAP011610
OG0000134	ASTEI20_040637	AGAP006724
OG0000134	ASTEI20_035158	AGAP006726
OG0000134	ASTEI20_041705	AGAP006728
OG0000134	ASTEI20_031508	AGAP006727
OG0000135	ASTEI20_040602	AGAP008968
OG0000135	ASTEI20_037939	AGAP011482
OG0000135	ASTEI20_033495	AGAP007906
OG0000135	ASTEI20_041139	AGAP009527
OG0000136	ASTEI20_031418	AGAP011204
OG0000136	ASTEI20_044015	AGAP009509
OG0000141	ASTEI20_038928	AGAP005758, AGAP005757
OG0000141	ASTEI20_042572	AGAP005756
OG0000142	ASTEI20_030926	AGAP003422
OG0000142	ASTEI20_031775	AGAP003423
OG0000142	ASTEI20_039078	AGAP003432
OG0000142	ASTEI20_035078	AGAP003078
OG0000143	ASTEI20_031603	AGAP012957, AGAP002418, AGAP013241
OG0000143	ASTEI20_032430	AGAP002419
OG0000146	ASTEI20_044971	AGAP001956
OG0000146	ASTEI20_043034	AGAP013106
OG0000147	ASTEI20_039262	AGAP008019
OG0000147	ASTEI20_034963	AGAP008020, AGAP012800, AGAP008022
OG0000147	ASTEI20_034030	AGAP008018
OG0000148	ASTEI20_040041	AGAP009754
OG0000148	ASTEI20_032218	AGAP009756, AGAP009755
OG0000148	ASTEI20_043698	AGAP028646
OG0000148	ASTEI20_036802	AGAP009757
OG0000149	ASTEI20_032560	AGAP005753
OG0000149	ASTEI20_037704	AGAP005751
OG0000150	ASTEI20_036593	AGAP007104
OG0000151	ASTEI20_031955	AGAP003785, AGAP012609
OG0000152	ASTEI20_033865	AGAP006398
OG0000152	ASTEI20_040792	AGAP006103
OG0000154	ASTEI20_038954	AGAP002894
OG0000154	ASTEI20_039327, ASTEI20_031393	AGAP008218, AGAP008217
OG0000154	ASTEI20_036264	AGAP008219
OG0000155	ASTEI20_044262	AGAP004355, AGAP004356, AGAP004357, AGAP004354
OG0000157	ASTEI20_038779	AGAP028217
OG0000157	ASTEI20_044052	AGAP007154
OG0000159	ASTEI20_032043	AGAP011072, AGAP011073, AGAP011071
OG0000159	ASTEI20_037617	AGAP028690
OG0000159	ASTEI20_041266	AGAP028689
OG0000160	ASTEI20_036554	AGAP029361
OG0000160	ASTEI20_033604	AGAP006815
OG0000161	ASTEI20_038429	AGAP006795
OG0000162	ASTEI20_040102	AGAP012318
OG0000162	ASTEI20_039506	AGAP012325
OG0000162	ASTEI20_035676	AGAP012321
OG0000162	ASTEI20_038899	AGAP012320
OG0000163	ASTEI20_034625	AGAP009436
OG0000163	ASTEI20_031376	AGAP009434
OG0000163	ASTEI20_042082	AGAP009435
OG0000164	ASTEI20_038451	AGAP004571
OG0000164	ASTEI20_037482	AGAP004566
OG0000165	ASTEI20_035964	AGAP000194
OG0000165	ASTEI20_037537	AGAP000192
OG0000165	ASTEI20_035222	AGAP000193
OG0000165	ASTEI20_037574	AGAP010414
