Orthogroup	AstephensiUCISS2018	LlongipalpisASM
OG0000012	ASTEI20_044217	LOC129792999
OG0000012	ASTEI20_035093	LOC129796964
OG0000012	ASTEI20_044655	LOC129788898
OG0000013	ASTEI20_044393, ASTEI20_036070, ASTEI20_034401	LOC129797413
OG0000013	ASTEI20_042039, ASTEI20_033404, ASTEI20_042237, ASTEI20_043320, ASTEI20_034998, ASTEI20_034168	LOC129797312
OG0000014	ASTEI20_035937, ASTEI20_030803, ASTEI20_045732, ASTEI20_043799, ASTEI20_033207, ASTEI20_037522, ASTEI20_042376, ASTEI20_038148, ASTEI20_041712	LOC129792111
OG0000015	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231, ASTEI20_044899, ASTEI20_031600, ASTEI20_037282, ASTEI20_034188	LOC129788366, LOC129788367, LOC129788777, LOC129788775, LOC129788781, LOC129788778, LOC129788779, LOC129797049, LOC129793013, LOC129795681, LOC129789753, LOC129789752, LOC129797050, LOC129797052, LOC129797053, LOC129797054, LOC129797059, LOC129797058, LOC129797057, LOC129797056, LOC129797048
OG0000016	ASTEI20_044818	LOC129794929, LOC129788356
OG0000016	ASTEI20_031052, ASTEI20_044106, ASTEI20_037566, ASTEI20_040856, ASTEI20_042351, ASTEI20_033956	LOC129793987, LOC129790084, LOC129787750, LOC129797705, LOC129797701
OG0000017	ASTEI20_041579	LOC129788896
OG0000017	ASTEI20_039449	LOC129785924, LOC129785930, LOC129789495, LOC129786736, LOC129785925, LOC129789161
OG0000018	ASTEI20_039488, ASTEI20_033285, ASTEI20_031707, ASTEI20_045349, ASTEI20_039025, ASTEI20_040652, ASTEI20_038491, ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074	LOC129786868
OG0000021	ASTEI20_031602, ASTEI20_042507	LOC129797244
OG0000021	ASTEI20_033844	LOC129788422
OG0000021	ASTEI20_042388, ASTEI20_042454, ASTEI20_044345, ASTEI20_032692, ASTEI20_040880	LOC129795630, LOC129795629
OG0000022	ASTEI20_044612, ASTEI20_045722	LOC129792077
OG0000023	ASTEI20_036442, ASTEI20_033419, ASTEI20_039293, ASTEI20_044320, ASTEI20_035887, ASTEI20_034207, ASTEI20_038660, ASTEI20_042495, ASTEI20_035807	LOC129786633
OG0000024	ASTEI20_036317, ASTEI20_030796, ASTEI20_042294, ASTEI20_032042, ASTEI20_038906, ASTEI20_045971, ASTEI20_035495	LOC129791793, LOC129792085, LOC129792882, LOC129794330, LOC129792888, LOC129792886, LOC129792324, LOC129794524, LOC129791470, LOC129795452, LOC129794434, LOC129795453
OG0000026	ASTEI20_034431, ASTEI20_045957, ASTEI20_037139, ASTEI20_030979, ASTEI20_036805, ASTEI20_033037	LOC129792737, LOC129792738
OG0000026	ASTEI20_038151	LOC129794486, LOC129789610
OG0000027	ASTEI20_032352, ASTEI20_038580, ASTEI20_036720	LOC129787685, LOC129788076, LOC129787459, LOC129796690, LOC129787460, LOC129787462
OG0000028	ASTEI20_031230	LOC129788162, LOC129791752
OG0000030	ASTEI20_038223	LOC129790527
OG0000033	ASTEI20_045015, ASTEI20_034999, ASTEI20_036373, ASTEI20_031788, ASTEI20_044530, ASTEI20_042735	LOC129794355, LOC129787784
OG0000034	ASTEI20_043226, ASTEI20_042786, ASTEI20_045819, ASTEI20_042959, ASTEI20_041011, ASTEI20_037589, ASTEI20_032776, ASTEI20_040625	LOC129791586
OG0000037	ASTEI20_038052, ASTEI20_032497, ASTEI20_031459, ASTEI20_042647, ASTEI20_041766, ASTEI20_039477, ASTEI20_034438, ASTEI20_044399, ASTEI20_045557, ASTEI20_042942	LOC129794681, LOC129790942
OG0000038	ASTEI20_034060, ASTEI20_031917, ASTEI20_036981, ASTEI20_043988, ASTEI20_040884, ASTEI20_031692, ASTEI20_038945, ASTEI20_036390, ASTEI20_031315	LOC129790825, LOC129795201
OG0000041	ASTEI20_038827, ASTEI20_038756, ASTEI20_034624, ASTEI20_036497	LOC129796428, LOC129796429, LOC129796432, LOC129795648, LOC129796430, LOC129796431
OG0000046	ASTEI20_039896, ASTEI20_033536, ASTEI20_045137	LOC129797654
OG0000049	ASTEI20_044950, ASTEI20_031080, ASTEI20_037621, ASTEI20_031880, ASTEI20_045883, ASTEI20_039499	LOC129794518
OG0000051	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103	LOC129786156
OG0000052	ASTEI20_043416	LOC129794482
OG0000052	ASTEI20_035536	LOC129790600, LOC129794525, LOC129792980, LOC129794483, LOC129786796, LOC129795916, LOC129795917, LOC129795920, LOC129795921, LOC129795919, LOC129792330, LOC129792977, LOC129795918, LOC129796369, LOC129795146, LOC129795143, LOC129795145, LOC129795365, LOC129795124, LOC129795125, LOC129795126, LOC129795144, LOC129794484, LOC129796215, LOC129796367, LOC129794515
OG0000055	ASTEI20_041788, ASTEI20_036817	LOC129797106
OG0000055	ASTEI20_036856, ASTEI20_032399, ASTEI20_042765, ASTEI20_041371, ASTEI20_043376	LOC129793457, LOC129787314
OG0000058	ASTEI20_035290, ASTEI20_043943, ASTEI20_042767	LOC129790208, LOC129796355, LOC129795518, LOC129789259, LOC129786833, LOC129786898, LOC129787589
OG0000058	ASTEI20_037097, ASTEI20_045123, ASTEI20_036123, ASTEI20_031030	LOC129790199
OG0000059	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207, ASTEI20_040754, ASTEI20_037464, ASTEI20_043703, ASTEI20_034096, ASTEI20_032263, ASTEI20_039938, ASTEI20_036541	LOC129794147
OG0000061	ASTEI20_045924, ASTEI20_044992	LOC129795031
OG0000061	ASTEI20_042918	LOC129795029, LOC129795028
OG0000061	ASTEI20_036073, ASTEI20_042895	LOC129795034
OG0000064	ASTEI20_036363, ASTEI20_032269, ASTEI20_045444, ASTEI20_030805, ASTEI20_034042	LOC129790088, LOC129790085
OG0000067	ASTEI20_033258, ASTEI20_038682, ASTEI20_040377	LOC129796553, LOC129796550, LOC129789877, LOC129796549
OG0000067	ASTEI20_044258, ASTEI20_046110	LOC129796552
OG0000068	ASTEI20_040313, ASTEI20_042702	LOC129794030
OG0000068	ASTEI20_045828, ASTEI20_032296	LOC129794029, LOC129794026, LOC129794027
OG0000069	ASTEI20_035338, ASTEI20_038112, ASTEI20_039804, ASTEI20_031615	LOC129797773, LOC129786174, LOC129792812
OG0000071	ASTEI20_044717, ASTEI20_033179, ASTEI20_041551, ASTEI20_037620, ASTEI20_035007	LOC129797006
OG0000072	ASTEI20_043809	LOC129787850, LOC129787849
OG0000073	ASTEI20_036269, ASTEI20_033743, ASTEI20_037565	LOC129790978, LOC129789240, LOC129791095, LOC129786082, LOC129794430, LOC129789666, LOC129795974, LOC129794559, LOC129796201, LOC129786939, LOC129791894, LOC129796558, LOC129796557, LOC129786080, LOC129796556, LOC129791096, LOC129791101, LOC129791098, LOC129791103, LOC129789241, LOC129791100
OG0000077	ASTEI20_041229, ASTEI20_037597	LOC129789368, LOC129791094
OG0000077	ASTEI20_042788, ASTEI20_038766, ASTEI20_034638	LOC129793367
OG0000078	ASTEI20_038038, ASTEI20_044002	LOC129795036
OG0000079	ASTEI20_042516, ASTEI20_040435, ASTEI20_038502, ASTEI20_045603, ASTEI20_045836	LOC129796831
OG0000080	ASTEI20_045083, ASTEI20_037839, ASTEI20_038192, ASTEI20_035820, ASTEI20_038748	LOC129790108
OG0000086	ASTEI20_036600, ASTEI20_036223, ASTEI20_035207, ASTEI20_037451, ASTEI20_043950	LOC129787729, LOC129787734
OG0000088	ASTEI20_042317, ASTEI20_035957, ASTEI20_030868	LOC129795927, LOC129794489, LOC129796007
OG0000090	ASTEI20_044859, ASTEI20_033811	LOC129787919, LOC129787933
OG0000090	ASTEI20_037367, ASTEI20_042053, ASTEI20_044104, ASTEI20_039435	LOC129793252
OG0000091	ASTEI20_043825	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148
OG0000093	ASTEI20_035869, ASTEI20_035583, ASTEI20_033354, ASTEI20_042805, ASTEI20_043009, ASTEI20_030917, ASTEI20_042966, ASTEI20_037262, ASTEI20_033729	LOC129786127
OG0000096	ASTEI20_039679	LOC129794915
OG0000096	ASTEI20_033293, ASTEI20_044580, ASTEI20_044690	LOC129794914
OG0000097	ASTEI20_043690, ASTEI20_041240, ASTEI20_045034, ASTEI20_037688, ASTEI20_043748	LOC129797700, LOC129797734
OG0000108	ASTEI20_031790, ASTEI20_039367	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974
OG0000109	ASTEI20_035723	LOC129796958
OG0000109	ASTEI20_041902	LOC129787301
OG0000109	ASTEI20_036023	LOC129787299, LOC129787302
OG0000114	ASTEI20_031785, ASTEI20_040627, ASTEI20_032160, ASTEI20_043145	LOC129791409
OG0000115	ASTEI20_031924, ASTEI20_034594	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063
OG0000116	ASTEI20_039992, ASTEI20_046113, ASTEI20_045875, ASTEI20_036918	LOC129790116, LOC129790115, LOC129790117
OG0000116	ASTEI20_044702	LOC129791153
OG0000117	ASTEI20_032003, ASTEI20_035916, ASTEI20_044511	LOC129796173, LOC129789407, LOC129796171, LOC129789263, LOC129788638
OG0000120	ASTEI20_031113, ASTEI20_040639, ASTEI20_043620, ASTEI20_036340	LOC129795901, LOC129797227
OG0000124	ASTEI20_042719, ASTEI20_040714, ASTEI20_031108, ASTEI20_042994, ASTEI20_033894	LOC129786906
OG0000128	ASTEI20_039421, ASTEI20_041892	LOC129794451, LOC129794450
OG0000128	ASTEI20_040479, ASTEI20_031766	LOC129794553, LOC129795542, LOC129795535
OG0000129	ASTEI20_032516, ASTEI20_039120, ASTEI20_038234, ASTEI20_042029, ASTEI20_041805	LOC129797028
OG0000130	ASTEI20_041330, ASTEI20_037430, ASTEI20_043872	LOC129795831, LOC129797298
OG0000131	ASTEI20_038615	LOC129792347
OG0000131	ASTEI20_045120, ASTEI20_034975	LOC129797128
OG0000131	ASTEI20_033405	LOC129792345
OG0000132	ASTEI20_035199, ASTEI20_034238, ASTEI20_036305, ASTEI20_031453	LOC129794613
OG0000133	ASTEI20_033689, ASTEI20_035006, ASTEI20_045111	LOC129795866, LOC129794696
OG0000134	ASTEI20_040637, ASTEI20_035158, ASTEI20_041705, ASTEI20_031508	LOC129792867
OG0000135	ASTEI20_040602, ASTEI20_037939, ASTEI20_033495, ASTEI20_041139	LOC129786134
OG0000136	ASTEI20_031418, ASTEI20_044015	LOC129797461, LOC129792712, LOC129794643, LOC129788901
OG0000142	ASTEI20_030926, ASTEI20_031775, ASTEI20_039078	LOC129792316, LOC129793845
OG0000142	ASTEI20_035078	LOC129797567
OG0000143	ASTEI20_031603, ASTEI20_038786, ASTEI20_032430	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158
OG0000144	ASTEI20_034475, ASTEI20_039240, ASTEI20_041604, ASTEI20_037626, ASTEI20_039453, ASTEI20_039334, ASTEI20_035942	LOC129787998
OG0000146	ASTEI20_044971, ASTEI20_043034	LOC129797766, LOC129797769, LOC129797768
OG0000147	ASTEI20_039262, ASTEI20_034963, ASTEI20_034030	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470
OG0000148	ASTEI20_036802	LOC129790546
OG0000150	ASTEI20_036593	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164
OG0000151	ASTEI20_031955	LOC129787141, LOC129787139, LOC129787137, LOC129787138, LOC129787316, LOC129788322, LOC129794423, LOC129794422, LOC129787140, LOC129791519, LOC129796677, LOC129794556, LOC129795292, LOC129792484, LOC129792407, LOC129787123, LOC129794546, LOC129794547, LOC129787135, LOC129787132, LOC129787133
OG0000152	ASTEI20_033865	LOC129794238
OG0000152	ASTEI20_040792	LOC129787698
OG0000154	ASTEI20_038954, ASTEI20_038354, ASTEI20_039327, ASTEI20_031393, ASTEI20_036264	LOC129791038
OG0000157	ASTEI20_038779, ASTEI20_044052	LOC129793002
OG0000160	ASTEI20_036554, ASTEI20_033604	LOC129797691, LOC129797713, LOC129786217
OG0000161	ASTEI20_038429	LOC129790631
OG0000162	ASTEI20_040102, ASTEI20_039506, ASTEI20_035676, ASTEI20_038899	LOC129792306
OG0000163	ASTEI20_034625, ASTEI20_031376, ASTEI20_042082	LOC129793077, LOC129787054, LOC129793078
OG0000164	ASTEI20_038451	LOC129788007
OG0000164	ASTEI20_037482	LOC129786795
OG0000165	ASTEI20_035964, ASTEI20_037537, ASTEI20_035222, ASTEI20_037574	LOC129785838
OG0000166	ASTEI20_035217, ASTEI20_037831, ASTEI20_038043, ASTEI20_041976, ASTEI20_044786, ASTEI20_042832	LOC129793375, LOC129794220, LOC129793372
OG0000168	ASTEI20_031663	LOC129794488, LOC129790101, LOC129789274, LOC129792331, LOC129791920, LOC129786930, LOC129797845, LOC129789265, LOC129791561, LOC129796576, LOC129793681, LOC129794571, LOC129794306, LOC129787707, LOC129789113, LOC129791255, LOC129787192, LOC129794567, LOC129787033, LOC129794523, LOC129791763, LOC129795621, LOC129796824, LOC129786913
OG0000171	ASTEI20_039067, ASTEI20_037136	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346
OG0000172	ASTEI20_034185, ASTEI20_042714, ASTEI20_033958	LOC129796083
OG0000173	ASTEI20_042047, ASTEI20_033562, ASTEI20_034429	LOC129796378, LOC129791724, LOC129796377, LOC129787463
OG0000174	ASTEI20_038604, ASTEI20_035066, ASTEI20_042620	LOC129785929
OG0000176	ASTEI20_032435, ASTEI20_031492, ASTEI20_043773, ASTEI20_037269, ASTEI20_037392, ASTEI20_044810, ASTEI20_037968, ASTEI20_043036, ASTEI20_044465	LOC129787791, LOC129788000
OG0000183	ASTEI20_031719, ASTEI20_046015, ASTEI20_044856, ASTEI20_038174	LOC129786975, LOC129786974
OG0000184	ASTEI20_033069, ASTEI20_036642, ASTEI20_037581	LOC129794345
OG0000187	ASTEI20_038550	LOC129796892
OG0000188	ASTEI20_038409	LOC129786978
OG0000189	ASTEI20_035278	LOC129787889
OG0000189	ASTEI20_043379, ASTEI20_036958, ASTEI20_033773, ASTEI20_043697	LOC129787087
OG0000190	ASTEI20_031858	LOC129790672
OG0000190	ASTEI20_037310, ASTEI20_033651	LOC129789849
OG0000192	ASTEI20_041022	LOC129789885
OG0000192	ASTEI20_033456	LOC129791401
OG0000192	ASTEI20_038790	LOC129789886
OG0000193	ASTEI20_035925, ASTEI20_034914, ASTEI20_032918, ASTEI20_041607	LOC129791916, LOC129788591, LOC129786638
OG0000194	ASTEI20_032207, ASTEI20_033379, ASTEI20_042386	LOC129795950
OG0000196	ASTEI20_042814	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795
OG0000200	ASTEI20_040182	LOC129796145
OG0000200	ASTEI20_032444, ASTEI20_035878	LOC129786068
OG0000201	ASTEI20_037723, ASTEI20_036827, ASTEI20_041981	LOC129792426, LOC129792425, LOC129792423
OG0000202	ASTEI20_033661, ASTEI20_044437, ASTEI20_045852	LOC129795977
OG0000204	ASTEI20_033339, ASTEI20_044531	LOC129790266
OG0000206	ASTEI20_039018, ASTEI20_045703	LOC129791163
OG0000206	ASTEI20_045728	LOC129791164
OG0000207	ASTEI20_034853	LOC129791699
OG0000208	ASTEI20_045322, ASTEI20_034058	LOC129796425
OG0000209	ASTEI20_042301	LOC129787514, LOC129785969
OG0000217	ASTEI20_040200	LOC129790202
OG0000217	ASTEI20_036703	LOC129790328
OG0000217	ASTEI20_044284	LOC129793020
OG0000218	ASTEI20_038944, ASTEI20_043383, ASTEI20_039263	LOC129795659
OG0000220	ASTEI20_035755, ASTEI20_044035, ASTEI20_037745	LOC129787563
OG0000222	ASTEI20_035055, ASTEI20_041199	LOC129788692
OG0000223	ASTEI20_037771, ASTEI20_033245, ASTEI20_037160, ASTEI20_031096, ASTEI20_036943	LOC129786636
OG0000224	ASTEI20_038501	LOC129786419
OG0000225	ASTEI20_040100, ASTEI20_037793, ASTEI20_038611	LOC129797834, LOC129797833
OG0000229	ASTEI20_046124, ASTEI20_032722, ASTEI20_037602	LOC129787399, LOC129793458
OG0000231	ASTEI20_040405, ASTEI20_043476	LOC129794015
OG0000232	ASTEI20_044096, ASTEI20_038687, ASTEI20_044010, ASTEI20_040318, ASTEI20_040000, ASTEI20_042206	LOC129791885
OG0000233	ASTEI20_041338, ASTEI20_038872	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369
OG0000234	ASTEI20_043253, ASTEI20_031455, ASTEI20_040171	LOC129793719, LOC129790671
OG0000235	ASTEI20_044011	LOC129790399, LOC129790400
OG0000236	ASTEI20_036868, ASTEI20_032536	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313
OG0000237	ASTEI20_039839, ASTEI20_031027	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873
OG0000238	ASTEI20_032600, ASTEI20_033232, ASTEI20_038462	LOC129792859
OG0000244	ASTEI20_035715, ASTEI20_040830	LOC129788572
OG0000245	ASTEI20_043968, ASTEI20_037895, ASTEI20_036396	LOC129788329, LOC129791448, LOC129788328
OG0000248	ASTEI20_042839	LOC129790447
OG0000250	ASTEI20_043607	LOC129791946
OG0000250	ASTEI20_038490, ASTEI20_033739	LOC129792061
OG0000254	ASTEI20_033239, ASTEI20_034532	LOC129794727, LOC129794738
OG0000259	ASTEI20_045125	LOC129792396
OG0000259	ASTEI20_033256	LOC129789876, LOC129791517
OG0000265	ASTEI20_044851, ASTEI20_037660, ASTEI20_038227	LOC129794745
OG0000266	ASTEI20_042056, ASTEI20_041270, ASTEI20_035075	LOC129788826
OG0000267	ASTEI20_032809, ASTEI20_044700, ASTEI20_041432	LOC129792282, LOC129787468, LOC129787465, LOC129787466, LOC129787467, LOC129792219, LOC129787464
OG0000268	ASTEI20_032301, ASTEI20_032365	LOC129790334, LOC129790344
OG0000269	ASTEI20_045911, ASTEI20_044456	LOC129786292
OG0000270	ASTEI20_032190, ASTEI20_043741, ASTEI20_040825, ASTEI20_034360, ASTEI20_030843	LOC129795988
OG0000271	ASTEI20_031771, ASTEI20_037473, ASTEI20_034514, ASTEI20_038183	LOC129789622
OG0000272	ASTEI20_042478, ASTEI20_037724	LOC129792269
OG0000273	ASTEI20_032020, ASTEI20_041023, ASTEI20_043316	LOC129794573, LOC129794527, LOC129794600
OG0000274	ASTEI20_031515, ASTEI20_037692	LOC129788675, LOC129795658, LOC129788672, LOC129795638
OG0000277	ASTEI20_032397, ASTEI20_034533, ASTEI20_041241	LOC129791521
OG0000278	ASTEI20_037609, ASTEI20_041680, ASTEI20_037766	LOC129786521, LOC129791056, LOC129791052
OG0000280	ASTEI20_038614, ASTEI20_035880, ASTEI20_042533	LOC129794053
OG0000289	ASTEI20_035189, ASTEI20_042758, ASTEI20_044666	LOC129789651, LOC129789648, LOC129789646
OG0000290	ASTEI20_044792, ASTEI20_037666, ASTEI20_038975	LOC129794578
OG0000291	ASTEI20_030896	LOC129796116
OG0000291	ASTEI20_045384	LOC129791815
OG0000292	ASTEI20_039963, ASTEI20_033519, ASTEI20_041276	LOC129789397
OG0000293	ASTEI20_035645, ASTEI20_034344, ASTEI20_033682	LOC129794823, LOC129788774
OG0000294	ASTEI20_031593	LOC129789645
OG0000294	ASTEI20_040737	LOC129789635
OG0000296	ASTEI20_031726, ASTEI20_036866, ASTEI20_037946, ASTEI20_030789	LOC129789943
OG0000297	ASTEI20_045280, ASTEI20_032765	LOC129791271, LOC129795319, LOC129790452, LOC129793248
OG0000299	ASTEI20_043508, ASTEI20_043361	LOC129797703
OG0000302	ASTEI20_037810, ASTEI20_032730	LOC129794019, LOC129794016
OG0000303	ASTEI20_031481	LOC129786927
OG0000304	ASTEI20_032574, ASTEI20_040412	LOC129788607
OG0000304	ASTEI20_038833	LOC129788353
OG0000305	ASTEI20_045186	LOC129788936
OG0000306	ASTEI20_040184, ASTEI20_037498, ASTEI20_031684	LOC129792581
OG0000319	ASTEI20_040641, ASTEI20_033005	LOC129792976, LOC129792973
OG0000324	ASTEI20_045797, ASTEI20_046008, ASTEI20_039356	LOC129791049
OG0000325	ASTEI20_043377	LOC129793668
OG0000326	ASTEI20_032355, ASTEI20_032820	LOC129786690
OG0000327	ASTEI20_038754	LOC129788407
OG0000328	ASTEI20_033819, ASTEI20_039971, ASTEI20_038873	LOC129795928
OG0000329	ASTEI20_044913, ASTEI20_036280	LOC129790306
OG0000330	ASTEI20_044754, ASTEI20_033074, ASTEI20_035799	LOC129790371
OG0000331	ASTEI20_032134, ASTEI20_036042, ASTEI20_041568	LOC129786465
OG0000332	ASTEI20_039853, ASTEI20_034921, ASTEI20_045032	LOC129787519
OG0000333	ASTEI20_033832, ASTEI20_043402, ASTEI20_042167	LOC129792561
OG0000334	ASTEI20_040088	LOC129789420, LOC129789377, LOC129789388, LOC129789243, LOC129789387, LOC129789380, LOC129789362, LOC129789379, LOC129789244, LOC129789242, LOC129789359, LOC129789374
OG0000336	ASTEI20_031275, ASTEI20_036479	LOC129790183, LOC129792929
OG0000344	ASTEI20_035939, ASTEI20_043326, ASTEI20_035416	LOC129796894, LOC129796895, LOC129786968
OG0000345	ASTEI20_039160	LOC129786395
OG0000349	ASTEI20_042703, ASTEI20_045738	LOC129793891
OG0000350	ASTEI20_039801	LOC129793586
OG0000351	ASTEI20_033446, ASTEI20_034293, ASTEI20_031611	LOC129794682
OG0000352	ASTEI20_033316	LOC129786247
OG0000352	ASTEI20_043163	LOC129786294
OG0000353	ASTEI20_034917, ASTEI20_036057	LOC129794007
OG0000354	ASTEI20_036334	LOC129787091
OG0000355	ASTEI20_045115, ASTEI20_044983, ASTEI20_041255, ASTEI20_034632, ASTEI20_036496	LOC129787439
OG0000356	ASTEI20_038616, ASTEI20_034566	LOC129786611, LOC129786607, LOC129786612, LOC129786240
OG0000357	ASTEI20_036590, ASTEI20_038026	LOC129797618
OG0000359	ASTEI20_035699, ASTEI20_034142	LOC129793872
OG0000360	ASTEI20_039873	LOC129793800
OG0000360	ASTEI20_038810	LOC129796548
OG0000363	ASTEI20_035518, ASTEI20_034937	LOC129797000
OG0000364	ASTEI20_038622, ASTEI20_043965, ASTEI20_032740, ASTEI20_045922	LOC129791717
OG0000365	ASTEI20_041403, ASTEI20_041427, ASTEI20_043238	LOC129787071
OG0000367	ASTEI20_045208, ASTEI20_036592, ASTEI20_039650, ASTEI20_042176	LOC129794337, LOC129792101, LOC129795024
