Orthogroup	AstephensiUCISS2018	AdirusWRAIR2
OG0000014	ASTEI20_035937	ADIR005075
OG0000014	ASTEI20_030803	ADIR007771
OG0000014	ASTEI20_045732, ASTEI20_043799, ASTEI20_033207	ADIR003639
OG0000014	ASTEI20_037522, ASTEI20_042376, ASTEI20_038148, ASTEI20_041712	ADIR001674, ADIR001675
OG0000015	ASTEI20_036599, ASTEI20_042102, ASTEI20_045009, ASTEI20_045231	ADIR006886
OG0000015	ASTEI20_044899	ADIR014733
OG0000015	ASTEI20_034188	ADIR008680
OG0000016	ASTEI20_044818	ADIR009722
OG0000016	ASTEI20_033956	ADIR009355
OG0000017	ASTEI20_041579	ADIR001584
OG0000018	ASTEI20_039025, ASTEI20_040652, ASTEI20_038491	ADIR011745, ADIR010868
OG0000018	ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074	ADIR006748
OG0000020	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417	ADIR001887
OG0000020	ASTEI20_030966, ASTEI20_044090, ASTEI20_042722	ADIR001888
OG0000020	ASTEI20_033349, ASTEI20_033857, ASTEI20_043843, ASTEI20_038201	ADIR009510, ADIR009512
OG0000021	ASTEI20_042507	ADIR003865
OG0000021	ASTEI20_033844	ADIR001186
OG0000021	ASTEI20_042388	ADIR000303
OG0000021	ASTEI20_042454	ADIR010427
OG0000021	ASTEI20_044345	ADIR015616
OG0000021	ASTEI20_032692	ADIR015615
OG0000022	ASTEI20_044612, ASTEI20_045722	ADIR009686, ADIR005598
OG0000023	ASTEI20_036442	ADIR006953
OG0000023	ASTEI20_038660	ADIR004298
OG0000023	ASTEI20_042495, ASTEI20_035807	ADIR007551, ADIR007550
OG0000024	ASTEI20_036317	ADIR006878
OG0000024	ASTEI20_030796	ADIR006877
OG0000024	ASTEI20_042294	ADIR015850
OG0000024	ASTEI20_032042	ADIR015848
OG0000024	ASTEI20_038906	ADIR015847
OG0000024	ASTEI20_045971	ADIR015846
OG0000024	ASTEI20_035495	ADIR015845
OG0000026	ASTEI20_034431	ADIR015755
OG0000026	ASTEI20_045957	ADIR015752
OG0000026	ASTEI20_037139	ADIR015759
OG0000026	ASTEI20_036805	ADIR015754
OG0000026	ASTEI20_033037	ADIR006960
OG0000026	ASTEI20_038151	ADIR003488
OG0000027	ASTEI20_038580, ASTEI20_036720	ADIR009739
OG0000031	ASTEI20_045661, ASTEI20_042458, ASTEI20_045950, ASTEI20_040834, ASTEI20_042405, ASTEI20_031598	ADIR011748
OG0000032	ASTEI20_034628, ASTEI20_041396, ASTEI20_045092, ASTEI20_031606, ASTEI20_038431, ASTEI20_041238, ASTEI20_037767	ADIR010744
OG0000033	ASTEI20_045015	ADIR016018
OG0000033	ASTEI20_034999	ADIR016019, ADIR002300
OG0000033	ASTEI20_036373	ADIR016025
OG0000033	ASTEI20_031788	ADIR016020
OG0000033	ASTEI20_044530, ASTEI20_042735	ADIR016021
OG0000034	ASTEI20_045819	ADIR008769
OG0000034	ASTEI20_042959	ADIR008768
OG0000034	ASTEI20_041011	ADIR008767
OG0000034	ASTEI20_032776	ADIR004404
OG0000034	ASTEI20_040625	ADIR007516
OG0000035	ASTEI20_038434, ASTEI20_044858, ASTEI20_040523, ASTEI20_035326, ASTEI20_036996, ASTEI20_033591, ASTEI20_034577, ASTEI20_044193, ASTEI20_030889, ASTEI20_040393, ASTEI20_037776, ASTEI20_045503, ASTEI20_045781, ASTEI20_042171	ADIR014329
OG0000035	ASTEI20_041634	ADIR014313
OG0000035	ASTEI20_035874	ADIR003862
OG0000037	ASTEI20_038052, ASTEI20_032497	ADIR003228, ADIR003227
OG0000037	ASTEI20_041766	ADIR010215
OG0000037	ASTEI20_039477	ADIR010214, ADIR010213, ADIR010212, ADIR010211
OG0000039	ASTEI20_041961	ADIR015925
OG0000039	ASTEI20_034016	ADIR015923
OG0000039	ASTEI20_042151	ADIR008758
OG0000039	ASTEI20_039200, ASTEI20_040849	ADIR007693
OG0000039	ASTEI20_035166, ASTEI20_036321	ADIR007692, ADIR015926
OG0000040	ASTEI20_037172	ADIR015602
OG0000040	ASTEI20_034704	ADIR015541
OG0000040	ASTEI20_040829	ADIR015540
OG0000040	ASTEI20_045547	ADIR015544
OG0000041	ASTEI20_038827	ADIR001834
OG0000041	ASTEI20_038756	ADIR001833
OG0000041	ASTEI20_034624	ADIR001835
OG0000041	ASTEI20_036497	ADIR003420
OG0000042	ASTEI20_044170, ASTEI20_041547	ADIR011155
OG0000042	ASTEI20_038339	ADIR000580
OG0000042	ASTEI20_039609	ADIR004365
OG0000042	ASTEI20_037084	ADIR000370
OG0000043	ASTEI20_038713, ASTEI20_044556, ASTEI20_031445	ADIR014481
OG0000043	ASTEI20_036675	ADIR011538, ADIR014178, ADIR005614
OG0000046	ASTEI20_033536	ADIR003197
OG0000048	ASTEI20_030791	ADIR016188, ADIR007974
OG0000048	ASTEI20_041758	ADIR016182, ADIR016183
OG0000048	ASTEI20_034337	ADIR016186
OG0000048	ASTEI20_034409	ADIR016187, ADIR016181, ADIR016189
OG0000049	ASTEI20_044950	ADIR016124
OG0000049	ASTEI20_031080	ADIR016125
OG0000049	ASTEI20_037621	ADIR016128
OG0000049	ASTEI20_031880	ADIR015765
OG0000049	ASTEI20_045883	ADIR015762
OG0000049	ASTEI20_039499	ADIR016123
OG0000050	ASTEI20_036104, ASTEI20_039399	ADIR005587, ADIR011737
OG0000051	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103	ADIR009276
OG0000053	ASTEI20_044934, ASTEI20_043576	ADIR009846, ADIR011408
OG0000053	ASTEI20_040463	ADIR011407, ADIR009847
OG0000053	ASTEI20_032861, ASTEI20_037570, ASTEI20_036072	ADIR009845
OG0000055	ASTEI20_041788, ASTEI20_036817	ADIR003019
OG0000057	ASTEI20_031438, ASTEI20_044408, ASTEI20_032987, ASTEI20_039149, ASTEI20_036909, ASTEI20_043801, ASTEI20_033403	ADIR009281, ADIR014808
OG0000057	ASTEI20_041738	ADIR009282
OG0000058	ASTEI20_042767	ADIR006057
OG0000058	ASTEI20_036123, ASTEI20_031030	ADIR011421
OG0000059	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207	ADIR001566
OG0000059	ASTEI20_040754	ADIR001568
OG0000059	ASTEI20_037464	ADIR003672, ADIR003674
OG0000059	ASTEI20_034096, ASTEI20_032263, ASTEI20_039938, ASTEI20_036541	ADIR016197
OG0000060	ASTEI20_042375	ADIR014811
OG0000060	ASTEI20_044978	ADIR014810
OG0000061	ASTEI20_045924, ASTEI20_044992	ADIR009531
OG0000061	ASTEI20_042918	ADIR007445
OG0000061	ASTEI20_036073	ADIR015570
OG0000061	ASTEI20_042895	ADIR015571
OG0000063	ASTEI20_042329, ASTEI20_039640	ADIR010309
OG0000063	ASTEI20_041397	ADIR008969
OG0000064	ASTEI20_036363	ADIR004674
OG0000064	ASTEI20_045444	ADIR005809
OG0000064	ASTEI20_030805	ADIR004675
OG0000064	ASTEI20_034042	ADIR004673
OG0000067	ASTEI20_033258	ADIR001930
OG0000067	ASTEI20_038682	ADIR000539
OG0000067	ASTEI20_040377	ADIR000540
OG0000068	ASTEI20_040313	ADIR007458
OG0000068	ASTEI20_042702	ADIR007459
OG0000068	ASTEI20_045828	ADIR007460
OG0000069	ASTEI20_035338	ADIR003464
OG0000069	ASTEI20_038112	ADIR007962
OG0000069	ASTEI20_031615	ADIR003511
OG0000071	ASTEI20_033179	ADIR002693
OG0000071	ASTEI20_041551	ADIR011119
OG0000071	ASTEI20_037620	ADIR011120
OG0000071	ASTEI20_035007	ADIR011116
OG0000072	ASTEI20_043809	ADIR001900
OG0000072	ASTEI20_045176	ADIR003546
OG0000072	ASTEI20_045641, ASTEI20_039665	ADIR008039
OG0000073	ASTEI20_037565	ADIR010953
OG0000074	ASTEI20_035123	ADIR003703
OG0000074	ASTEI20_036102	ADIR003702
OG0000074	ASTEI20_035843, ASTEI20_043301	ADIR003701
OG0000074	ASTEI20_031364	ADIR007318
OG0000075	ASTEI20_043256	ADIR008602, ADIR008603
OG0000075	ASTEI20_037835	ADIR008604
OG0000076	ASTEI20_040347, ASTEI20_035431, ASTEI20_040002	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068
OG0000076	ASTEI20_045335	ADIR002334
OG0000077	ASTEI20_042788, ASTEI20_038766	ADIR007690
OG0000078	ASTEI20_038038	ADIR002699, ADIR005603, ADIR003863
OG0000079	ASTEI20_038502, ASTEI20_045603	ADIR010062
OG0000080	ASTEI20_037839	ADIR007435
OG0000080	ASTEI20_038192	ADIR007208
OG0000080	ASTEI20_035820, ASTEI20_038748	ADIR000033
OG0000081	ASTEI20_044597	ADIR007942
OG0000081	ASTEI20_033899, ASTEI20_041643	ADIR008727
OG0000081	ASTEI20_041167	ADIR007940
OG0000081	ASTEI20_045891	ADIR007943
OG0000082	ASTEI20_035318	ADIR000093
OG0000085	ASTEI20_033228	ADIR015828
OG0000085	ASTEI20_037988	ADIR015824
OG0000085	ASTEI20_039794	ADIR015826, ADIR015825, ADIR015827, ADIR015829
OG0000086	ASTEI20_036600	ADIR009203
OG0000086	ASTEI20_036223, ASTEI20_035207, ASTEI20_037451	ADIR003037
OG0000086	ASTEI20_043950	ADIR006613
OG0000088	ASTEI20_042317	ADIR000163
OG0000088	ASTEI20_035957	ADIR000290
OG0000088	ASTEI20_030868	ADIR000294
OG0000089	ASTEI20_035269	ADIR009555
OG0000089	ASTEI20_031474, ASTEI20_033656, ASTEI20_034314, ASTEI20_038747, ASTEI20_043719	ADIR009554
OG0000090	ASTEI20_044859	ADIR015919
OG0000090	ASTEI20_037367, ASTEI20_042053	ADIR007286
OG0000090	ASTEI20_044104, ASTEI20_039435	ADIR007285
OG0000091	ASTEI20_043825	ADIR006521
OG0000093	ASTEI20_030917	ADIR002132
OG0000093	ASTEI20_033729	ADIR014323
OG0000096	ASTEI20_039679	ADIR000343
OG0000096	ASTEI20_033293	ADIR010758
OG0000096	ASTEI20_044580	ADIR009091
OG0000096	ASTEI20_044690	ADIR000344
OG0000097	ASTEI20_045034	ADIR010273
OG0000098	ASTEI20_030897, ASTEI20_032470	ADIR015892
OG0000098	ASTEI20_035940	ADIR015893
OG0000102	ASTEI20_039927	ADIR010820
OG0000103	ASTEI20_041286, ASTEI20_041968, ASTEI20_040764, ASTEI20_041606, ASTEI20_040118, ASTEI20_042060, ASTEI20_033705, ASTEI20_038991, ASTEI20_044176, ASTEI20_032305, ASTEI20_043471, ASTEI20_042968, ASTEI20_032059, ASTEI20_043781, ASTEI20_034947, ASTEI20_033546, ASTEI20_038930	ADIR014328
OG0000104	ASTEI20_031093	ADIR006249
OG0000104	ASTEI20_031442, ASTEI20_031279	ADIR010870, ADIR010871, ADIR010869
OG0000105	ASTEI20_043210, ASTEI20_041014, ASTEI20_037458	ADIR000198
OG0000108	ASTEI20_031790, ASTEI20_039367	ADIR004058
OG0000109	ASTEI20_035723	ADIR007689
OG0000109	ASTEI20_041902	ADIR009055
OG0000111	ASTEI20_041472	ADIR000646
OG0000111	ASTEI20_034526, ASTEI20_032750, ASTEI20_033872, ASTEI20_035732, ASTEI20_035816, ASTEI20_040937, ASTEI20_037402, ASTEI20_040392	ADIR000644
OG0000114	ASTEI20_032160	ADIR000642
OG0000114	ASTEI20_043145	ADIR000643
OG0000115	ASTEI20_031924	ADIR007384
OG0000115	ASTEI20_034594	ADIR007383
OG0000116	ASTEI20_045875	ADIR006147
OG0000116	ASTEI20_044702	ADIR005173
OG0000117	ASTEI20_032003, ASTEI20_035916	ADIR010829
OG0000117	ASTEI20_044511	ADIR006765
OG0000119	ASTEI20_031989	ADIR007783
OG0000119	ASTEI20_033264, ASTEI20_035228	ADIR007782
OG0000120	ASTEI20_031113	ADIR015976
OG0000120	ASTEI20_040639	ADIR015969
OG0000120	ASTEI20_043620	ADIR015967
OG0000120	ASTEI20_036340	ADIR004301
OG0000123	ASTEI20_045570	ADIR004735
OG0000124	ASTEI20_042719	ADIR007238
OG0000124	ASTEI20_031108	ADIR007249
OG0000124	ASTEI20_042994, ASTEI20_033894	ADIR007237, ADIR007235
OG0000127	ASTEI20_045429, ASTEI20_037750, ASTEI20_032628, ASTEI20_039828	ADIR002706
OG0000128	ASTEI20_041892	ADIR005627
OG0000128	ASTEI20_040479	ADIR016172
OG0000128	ASTEI20_031766	ADIR016170
OG0000130	ASTEI20_041330	ADIR003050
OG0000130	ASTEI20_037430	ADIR011436
OG0000130	ASTEI20_043872	ADIR011726, ADIR011435
OG0000131	ASTEI20_038615	ADIR011335
OG0000131	ASTEI20_033405	ADIR011339
OG0000132	ASTEI20_036305	ADIR009202
OG0000132	ASTEI20_031453	ADIR010804
OG0000133	ASTEI20_033689	ADIR000444
OG0000133	ASTEI20_035006	ADIR000139
OG0000133	ASTEI20_045111	ADIR000140
OG0000134	ASTEI20_040637	ADIR003659
OG0000134	ASTEI20_035158	ADIR003660
OG0000134	ASTEI20_041705	ADIR003658
OG0000135	ASTEI20_040602	ADIR011399
OG0000135	ASTEI20_037939	ADIR000262
OG0000135	ASTEI20_033495	ADIR005920
OG0000136	ASTEI20_031418	ADIR000092, ADIR000087
OG0000136	ASTEI20_044015	ADIR006020
OG0000141	ASTEI20_038928	ADIR007903
OG0000142	ASTEI20_030926, ASTEI20_031775	ADIR008287
OG0000142	ASTEI20_039078	ADIR008294
OG0000142	ASTEI20_035078	ADIR003290
OG0000143	ASTEI20_031603, ASTEI20_038786, ASTEI20_032430	ADIR004529
OG0000146	ASTEI20_044971	ADIR015797
OG0000146	ASTEI20_043034	ADIR015798
OG0000147	ASTEI20_034963	ADIR011038
OG0000148	ASTEI20_036802	ADIR005101
OG0000149	ASTEI20_032560	ADIR007907
OG0000149	ASTEI20_037704, ASTEI20_045413	ADIR007908
OG0000150	ASTEI20_036593	ADIR008060
OG0000151	ASTEI20_031955	ADIR015810
OG0000152	ASTEI20_033865	ADIR015582
OG0000152	ASTEI20_040792	ADIR008753
OG0000154	ASTEI20_038354	ADIR006364
OG0000155	ASTEI20_044262	ADIR005418
OG0000157	ASTEI20_038779	ADIR006810
OG0000158	ASTEI20_035614	ADIR001555
OG0000158	ASTEI20_037624, ASTEI20_045998, ASTEI20_046139, ASTEI20_040433, ASTEI20_035584, ASTEI20_036401, ASTEI20_045588, ASTEI20_035092, ASTEI20_035184, ASTEI20_037880, ASTEI20_043564, ASTEI20_043047, ASTEI20_041452, ASTEI20_040219, ASTEI20_043610, ASTEI20_039559, ASTEI20_045001, ASTEI20_032291, ASTEI20_039182, ASTEI20_038039, ASTEI20_042601, ASTEI20_040449	ADIR000280
OG0000159	ASTEI20_032043	ADIR002318, ADIR014218
OG0000159	ASTEI20_037617, ASTEI20_041266	ADIR002316
OG0000160	ASTEI20_036554, ASTEI20_033604	ADIR003566
OG0000161	ASTEI20_038429	ADIR003591
OG0000162	ASTEI20_040102	ADIR000480
OG0000162	ASTEI20_035676	ADIR000482
OG0000163	ASTEI20_034625	ADIR015554
OG0000163	ASTEI20_031376	ADIR015557
OG0000163	ASTEI20_042082	ADIR015556
OG0000164	ASTEI20_038451	ADIR004411
OG0000164	ASTEI20_037482	ADIR004413
OG0000165	ASTEI20_035964	ADIR001509
OG0000165	ASTEI20_037537	ADIR001510
OG0000165	ASTEI20_035222	ADIR009841
OG0000165	ASTEI20_037574	ADIR005706
OG0000166	ASTEI20_035217, ASTEI20_037831	ADIR016085
OG0000166	ASTEI20_038043, ASTEI20_041976	ADIR008138
OG0000166	ASTEI20_044786, ASTEI20_042832	ADIR016086
OG0000171	ASTEI20_037136	ADIR002126
OG0000172	ASTEI20_034185	ADIR000138
OG0000172	ASTEI20_042714	ADIR000141
OG0000172	ASTEI20_033958	ADIR000131
OG0000173	ASTEI20_042047	ADIR011553
OG0000173	ASTEI20_034429	ADIR011554
OG0000174	ASTEI20_038604	ADIR003663
OG0000174	ASTEI20_035066	ADIR000944
OG0000174	ASTEI20_042620	ADIR015737
OG0000176	ASTEI20_032435, ASTEI20_031492, ASTEI20_043773, ASTEI20_037269, ASTEI20_037392	ADIR005586, ADIR005791, ADIR003904, ADIR006756
OG0000181	ASTEI20_039654	ADIR008823
OG0000181	ASTEI20_035911	ADIR008822
OG0000182	ASTEI20_034555	ADIR005388
OG0000182	ASTEI20_041278	ADIR016062
OG0000182	ASTEI20_034958	ADIR016059
OG0000183	ASTEI20_046015, ASTEI20_044856	ADIR006377
OG0000183	ASTEI20_038174	ADIR005819
OG0000184	ASTEI20_033069	ADIR006005
OG0000184	ASTEI20_036642	ADIR015591
OG0000184	ASTEI20_037581	ADIR015590
OG0000185	ASTEI20_042706, ASTEI20_031403	ADIR000196
OG0000185	ASTEI20_032807, ASTEI20_034055	ADIR016097
OG0000186	ASTEI20_039416, ASTEI20_043202, ASTEI20_033750, ASTEI20_035399, ASTEI20_044539, ASTEI20_036068, ASTEI20_043129, ASTEI20_041740, ASTEI20_034179, ASTEI20_044384, ASTEI20_042067, ASTEI20_045425, ASTEI20_036457, ASTEI20_031836, ASTEI20_037175, ASTEI20_045352, ASTEI20_044455	ADIR009836, ADIR010821, ADIR004341, ADIR001696
OG0000187	ASTEI20_038550	ADIR002758
OG0000188	ASTEI20_038409	ADIR009257, ADIR009256
OG0000189	ASTEI20_035278	ADIR005379
OG0000189	ASTEI20_043379, ASTEI20_036958, ASTEI20_033773, ASTEI20_043697	ADIR010508
OG0000190	ASTEI20_031858	ADIR011475
OG0000190	ASTEI20_037310	ADIR011077
OG0000190	ASTEI20_033651	ADIR004999
OG0000191	ASTEI20_035041, ASTEI20_031723, ASTEI20_032678	ADIR007485, ADIR014641
OG0000192	ASTEI20_041022	ADIR010909
OG0000192	ASTEI20_033456	ADIR005792
OG0000192	ASTEI20_038790	ADIR000914
OG0000193	ASTEI20_035925, ASTEI20_034914, ASTEI20_032918, ASTEI20_041607	ADIR005330
OG0000194	ASTEI20_032207	ADIR005946
OG0000196	ASTEI20_042814	ADIR010880
OG0000200	ASTEI20_040182	ADIR000096
OG0000200	ASTEI20_032444	ADIR000097
OG0000200	ASTEI20_035878	ADIR006692
OG0000201	ASTEI20_036827	ADIR004196
OG0000202	ASTEI20_033661	ADIR001167
OG0000202	ASTEI20_044437	ADIR003924
OG0000204	ASTEI20_033339	ADIR015854, ADIR016103, ADIR015857
OG0000204	ASTEI20_044531	ADIR015856
OG0000205	ASTEI20_040473	ADIR005975
OG0000206	ASTEI20_045728	ADIR000696
OG0000207	ASTEI20_034853	ADIR016010, ADIR016011
OG0000208	ASTEI20_045322	ADIR001797
OG0000208	ASTEI20_034058	ADIR001798
OG0000209	ASTEI20_042301	ADIR001972
OG0000210	ASTEI20_043190	ADIR000241
OG0000216	ASTEI20_036668, ASTEI20_032966, ASTEI20_042064	ADIR006331
OG0000217	ASTEI20_040200	ADIR010726
OG0000217	ASTEI20_036703	ADIR005194
OG0000218	ASTEI20_038944	ADIR011222
OG0000218	ASTEI20_043383	ADIR011220
OG0000218	ASTEI20_039263	ADIR011219
OG0000219	ASTEI20_035108	ADIR001531
OG0000220	ASTEI20_035755	ADIR006414
OG0000221	ASTEI20_038135	ADIR011011
OG0000221	ASTEI20_037201	ADIR003610
OG0000222	ASTEI20_035055	ADIR000671
OG0000222	ASTEI20_041199	ADIR004052
OG0000223	ASTEI20_037771	ADIR010046
OG0000224	ASTEI20_038501	ADIR008980, ADIR008979
OG0000225	ASTEI20_040100	ADIR016029
OG0000225	ASTEI20_037793	ADIR016028
OG0000225	ASTEI20_038611	ADIR016027
OG0000226	ASTEI20_034161	ADIR006402
OG0000226	ASTEI20_036749, ASTEI20_033104	ADIR006405
OG0000226	ASTEI20_036968, ASTEI20_035152	ADIR006404
OG0000228	ASTEI20_034891	ADIR007266
OG0000229	ASTEI20_046124	ADIR002810
OG0000229	ASTEI20_032722	ADIR005804
OG0000229	ASTEI20_037602	ADIR005315
OG0000230	ASTEI20_034005	ADIR006854
OG0000231	ASTEI20_040405	ADIR007453
OG0000231	ASTEI20_043476	ADIR007454
OG0000232	ASTEI20_044096, ASTEI20_038687, ASTEI20_044010, ASTEI20_040318	ADIR006899, ADIR016139
OG0000232	ASTEI20_040000, ASTEI20_042206	ADIR016138
OG0000233	ASTEI20_041338	ADIR010041
OG0000234	ASTEI20_043253	ADIR000732
OG0000234	ASTEI20_031455	ADIR000742
OG0000234	ASTEI20_040171	ADIR000738
OG0000235	ASTEI20_044011	ADIR002045
OG0000236	ASTEI20_036868	ADIR010024
OG0000236	ASTEI20_032536	ADIR000559
OG0000237	ASTEI20_039839	ADIR015947
OG0000237	ASTEI20_031027	ADIR015946
OG0000244	ASTEI20_035715	ADIR005063
OG0000244	ASTEI20_040830	ADIR005072
OG0000245	ASTEI20_043968, ASTEI20_037895	ADIR002600
OG0000247	ASTEI20_032101	ADIR007929
OG0000247	ASTEI20_044238	ADIR007931
OG0000248	ASTEI20_042839	ADIR015996
OG0000249	ASTEI20_039526	ADIR001663
OG0000250	ASTEI20_043607	ADIR015773
OG0000250	ASTEI20_038490	ADIR015774
OG0000250	ASTEI20_033739	ADIR015775
OG0000251	ASTEI20_040414	ADIR002011
OG0000252	ASTEI20_040133	ADIR001823
OG0000252	ASTEI20_045800	ADIR014170, ADIR014169
OG0000253	ASTEI20_036887	ADIR010453, ADIR010451, ADIR010452
OG0000254	ASTEI20_033239	ADIR005871
OG0000254	ASTEI20_034532	ADIR008307
OG0000255	ASTEI20_042761, ASTEI20_044933	ADIR008975
OG0000256	ASTEI20_045578	ADIR003548
OG0000256	ASTEI20_042134	ADIR003547
OG0000257	ASTEI20_033195, ASTEI20_036760	ADIR004880
OG0000260	ASTEI20_034398	ADIR015800
OG0000260	ASTEI20_038711	ADIR015801, ADIR015802
OG0000260	ASTEI20_037645	ADIR015803
OG0000263	ASTEI20_045271, ASTEI20_032519, ASTEI20_037013, ASTEI20_039929, ASTEI20_032243, ASTEI20_034862, ASTEI20_031551, ASTEI20_043655	ADIR006757, ADIR005295
OG0000265	ASTEI20_044851	ADIR008235
OG0000265	ASTEI20_037660	ADIR008228
OG0000265	ASTEI20_038227	ADIR001201
OG0000266	ASTEI20_042056	ADIR006770
OG0000266	ASTEI20_041270	ADIR000724
OG0000266	ASTEI20_035075	ADIR000723
OG0000268	ASTEI20_032301	ADIR005898
OG0000268	ASTEI20_032365	ADIR005897
OG0000269	ASTEI20_045911, ASTEI20_044456	ADIR016218
OG0000270	ASTEI20_032190	ADIR001672
OG0000270	ASTEI20_043741, ASTEI20_040825, ASTEI20_034360, ASTEI20_030843	ADIR001921
OG0000272	ASTEI20_042478	ADIR001841, ADIR001852
OG0000272	ASTEI20_037724	ADIR009159
OG0000273	ASTEI20_041023	ADIR009959
OG0000274	ASTEI20_031515	ADIR009412
OG0000275	ASTEI20_033361	ADIR010509
OG0000276	ASTEI20_041437	ADIR002281
OG0000277	ASTEI20_032397	ADIR002721
OG0000277	ASTEI20_034533, ASTEI20_041241	ADIR002720
OG0000278	ASTEI20_037609	ADIR001634
OG0000278	ASTEI20_041680	ADIR001650, ADIR001649
OG0000278	ASTEI20_037766	ADIR001631
OG0000279	ASTEI20_038838	ADIR000638
OG0000279	ASTEI20_042793	ADIR000639
OG0000280	ASTEI20_038614	ADIR004761
OG0000280	ASTEI20_035880	ADIR004760
OG0000280	ASTEI20_042533	ADIR004759
OG0000285	ASTEI20_039558	ADIR002894
OG0000285	ASTEI20_040836	ADIR015838
OG0000285	ASTEI20_032893	ADIR015839
OG0000287	ASTEI20_037346, ASTEI20_036690	ADIR015574, ADIR015569, ADIR015568
OG0000287	ASTEI20_042314, ASTEI20_038723	ADIR015575
OG0000288	ASTEI20_040021	ADIR015495
OG0000289	ASTEI20_035189, ASTEI20_042758	ADIR016116
OG0000289	ASTEI20_044666	ADIR016115
OG0000290	ASTEI20_044792	ADIR002288
OG0000290	ASTEI20_037666	ADIR002287
OG0000291	ASTEI20_030896	ADIR007609
OG0000291	ASTEI20_045384	ADIR015675
OG0000292	ASTEI20_039963, ASTEI20_033519	ADIR009319
OG0000292	ASTEI20_041276	ADIR009317
OG0000293	ASTEI20_035645	ADIR000907
OG0000293	ASTEI20_034344, ASTEI20_033682	ADIR008608
OG0000294	ASTEI20_031593	ADIR002676
OG0000294	ASTEI20_040737	ADIR005219
OG0000295	ASTEI20_037344	ADIR016166, ADIR016165, ADIR016167
OG0000295	ASTEI20_045100	ADIR016169
OG0000296	ASTEI20_031726, ASTEI20_036866, ASTEI20_037946, ASTEI20_030789	ADIR000603
OG0000297	ASTEI20_045280	ADIR015723
OG0000297	ASTEI20_032765	ADIR015724
OG0000298	ASTEI20_034983	ADIR007480
OG0000299	ASTEI20_043508	ADIR010341
OG0000299	ASTEI20_043361	ADIR002354
OG0000300	ASTEI20_041810	ADIR003683
OG0000302	ASTEI20_037810	ADIR016215
OG0000302	ASTEI20_032730	ADIR008218
OG0000303	ASTEI20_031481	ADIR005584, ADIR005583
OG0000304	ASTEI20_040412	ADIR010873
OG0000304	ASTEI20_038833	ADIR010872
OG0000305	ASTEI20_045186	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834
OG0000306	ASTEI20_040184	ADIR010982
