Orthogroup	AstephensiUCISS2018	AaegyptiLVP_AGWG
OG0000021	ASTEI20_042507	AAEL001673
OG0000021	ASTEI20_033844	AAEL011197
OG0000021	ASTEI20_036164	AAEL004616
OG0000021	ASTEI20_042454	AAEL009451
OG0000021	ASTEI20_044345	AAEL001951
OG0000021	ASTEI20_032692	AAEL005964
OG0000021	ASTEI20_040880	AAEL005961
OG0000023	ASTEI20_033419, ASTEI20_039293, ASTEI20_044320, ASTEI20_035887, ASTEI20_034207, ASTEI20_038660	AAEL000351, AAEL029065
OG0000023	ASTEI20_042495	AAEL021993, AAEL000379
OG0000023	ASTEI20_035807	AAEL000323, AAEL024983
OG0000024	ASTEI20_036317	AAEL010380, AAEL017311
OG0000024	ASTEI20_030796	AAEL010367, AAEL024680
OG0000024	ASTEI20_042294	AAEL010384
OG0000024	ASTEI20_032042, ASTEI20_038906	AAEL010370, AAEL010382
OG0000024	ASTEI20_045971, ASTEI20_035495	AAEL026787
OG0000026	ASTEI20_034431, ASTEI20_045957	AAEL013496, AAEL013501
OG0000026	ASTEI20_037139	AAEL015116, AAEL015113
OG0000026	ASTEI20_036805	AAEL013492
OG0000026	ASTEI20_033037	AAEL011763, AAEL011764, AAEL020579
OG0000026	ASTEI20_038151	AAEL014544
OG0000027	ASTEI20_032352	AAEL012642, AAEL012648, AAEL012653, AAEL015254, AAEL015252
OG0000027	ASTEI20_038580, ASTEI20_036720	AAEL012641, AAEL012649, AAEL012646, AAEL012652, AAEL012645, AAEL027171, AAEL012651, AAEL025465, AAEL012644, AAEL012650, AAEL012647
OG0000030	ASTEI20_038223	AAEL000087, AAEL025334, AAEL019959, AAEL001794, AAEL019958
OG0000033	ASTEI20_045015	AAEL000038
OG0000033	ASTEI20_034999	AAEL000074
OG0000033	ASTEI20_036373, ASTEI20_031788, ASTEI20_044530, ASTEI20_042735	AAEL000037, AAEL000028, AAEL000099
OG0000034	ASTEI20_032776	AAEL013562
OG0000034	ASTEI20_040625	AAEL002279
OG0000035	ASTEI20_034591, ASTEI20_038434, ASTEI20_044858, ASTEI20_040523, ASTEI20_035326, ASTEI20_036996, ASTEI20_033591, ASTEI20_034577, ASTEI20_044193, ASTEI20_030889, ASTEI20_040393, ASTEI20_037776, ASTEI20_045503, ASTEI20_045781, ASTEI20_042171, ASTEI20_041634, ASTEI20_035874	AAEL009610, AAEL025842, AAEL013024
OG0000037	ASTEI20_038052, ASTEI20_032497, ASTEI20_031459, ASTEI20_042647, ASTEI20_041766, ASTEI20_039477, ASTEI20_034438, ASTEI20_044399, ASTEI20_045557, ASTEI20_042942	AAEL008895
OG0000039	ASTEI20_041961, ASTEI20_034016, ASTEI20_042151, ASTEI20_039200, ASTEI20_040849, ASTEI20_035166, ASTEI20_036321, ASTEI20_037293	AAEL002693, AAEL006524, AAEL002682, AAEL002476, AAEL009239, AAEL000793
OG0000040	ASTEI20_037172	AAEL008368, AAEL022663
OG0000040	ASTEI20_034704, ASTEI20_040829, ASTEI20_045547, ASTEI20_039503	AAEL020825, AAEL008448
OG0000041	ASTEI20_038827	AAEL007060
OG0000041	ASTEI20_038756	AAEL007063
OG0000041	ASTEI20_034624	AAEL007051, AAEL007070
OG0000041	ASTEI20_036497	AAEL023132
OG0000042	ASTEI20_044170, ASTEI20_041547, ASTEI20_038339	AAEL018347
OG0000045	ASTEI20_038821	AAEL026336, AAEL021875, AAEL024639, AAEL020919, AAEL019803, AAEL024333, AAEL024795, AAEL021215, AAEL027670, AAEL000157, AAEL021144, AAEL005377, AAEL023120, AAEL027327, AAEL017283, AAEL022558, AAEL027412, AAEL022317, AAEL026643, AAEL021928, AAEL027742, AAEL023167, AAEL022378, AAEL023311
OG0000046	ASTEI20_033536, ASTEI20_045137	AAEL005753
OG0000048	ASTEI20_036610, ASTEI20_030791, ASTEI20_041758, ASTEI20_034337, ASTEI20_034409	AAEL004672, AAEL004667, AAEL001508, AAEL008856
OG0000049	ASTEI20_044950	AAEL002595
OG0000049	ASTEI20_037621	AAEL002590
OG0000049	ASTEI20_031880, ASTEI20_045883	AAEL002600
OG0000049	ASTEI20_039499	AAEL002629
OG0000051	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103	AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758, AAEL024588
OG0000052	ASTEI20_043416	AAEL017475
OG0000052	ASTEI20_035536	AAEL024686, AAEL020852, AAEL006627, AAEL007938, AAEL011929, AAEL011916
OG0000053	ASTEI20_044934, ASTEI20_043576, ASTEI20_040463, ASTEI20_037018, ASTEI20_032861, ASTEI20_037570, ASTEI20_036072	AAEL010055
OG0000055	ASTEI20_041788, ASTEI20_036817	AAEL019403
OG0000055	ASTEI20_036856, ASTEI20_032399, ASTEI20_042765, ASTEI20_041371, ASTEI20_043376	AAEL023321, AAEL017975, AAEL027610, AAEL017976, AAEL020330
OG0000057	ASTEI20_031438, ASTEI20_044408, ASTEI20_032987, ASTEI20_039149, ASTEI20_036909, ASTEI20_043801, ASTEI20_033403, ASTEI20_041738	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759, AAEL023487
OG0000058	ASTEI20_035290	AAEL008632
OG0000058	ASTEI20_043943, ASTEI20_042767	AAEL026976, AAEL008624
OG0000058	ASTEI20_037097	AAEL008625
OG0000058	ASTEI20_045123	AAEL008628
OG0000059	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207, ASTEI20_040754	AAEL022646
OG0000059	ASTEI20_037464, ASTEI20_043703	AAEL002360
OG0000059	ASTEI20_034096, ASTEI20_032263, ASTEI20_039938, ASTEI20_036541	AAEL002347, AAEL024934
OG0000060	ASTEI20_037656	AAEL004762, AAEL004776, AAEL019994, AAEL019993
OG0000060	ASTEI20_045967	AAEL004748, AAEL004760, AAEL004764, AAEL004742, AAEL004765
OG0000061	ASTEI20_045924, ASTEI20_044992	AAEL026011, AAEL007673
OG0000061	ASTEI20_042918	AAEL006719
OG0000061	ASTEI20_042895	AAEL013421, AAEL008451
OG0000062	ASTEI20_044163, ASTEI20_037850, ASTEI20_042947, ASTEI20_042271, ASTEI20_035743, ASTEI20_044072	AAEL015533
OG0000063	ASTEI20_042329, ASTEI20_039640	AAEL005771, AAEL005788
OG0000063	ASTEI20_041397	AAEL020266, AAEL000320, AAEL012761, AAEL005696, AAEL005700, AAEL024573, AAEL000326, AAEL000357, AAEL029116, AAEL005775, AAEL017215, AAEL000338
OG0000064	ASTEI20_036363, ASTEI20_032269	AAEL014561, AAEL021735, AAEL025303, AAEL013027, AAEL017403
OG0000064	ASTEI20_045444	AAEL017501
OG0000067	ASTEI20_033258	AAEL003434
OG0000067	ASTEI20_038682	AAEL000678, AAEL000647
OG0000067	ASTEI20_040377	AAEL000642
OG0000067	ASTEI20_044258	AAEL009524
OG0000067	ASTEI20_046110	AAEL000667
OG0000068	ASTEI20_040313	AAEL024556
OG0000068	ASTEI20_042702	AAEL013512, AAEL013520, AAEL007194, AAEL007192, AAEL013514
OG0000068	ASTEI20_045828	AAEL011444
OG0000068	ASTEI20_032296	AAEL013515
OG0000069	ASTEI20_035338	AAEL015136
OG0000069	ASTEI20_038112, ASTEI20_039804, ASTEI20_031615	AAEL009556, AAEL009555, AAEL009553
OG0000071	ASTEI20_044717	AAEL007812
OG0000071	ASTEI20_033179	AAEL002085, AAEL003399
OG0000071	ASTEI20_041551, ASTEI20_037620, ASTEI20_035007	AAEL013798
OG0000072	ASTEI20_043809	AAEL013229
OG0000072	ASTEI20_038057	AAEL006642
OG0000072	ASTEI20_045176	AAEL012424
OG0000072	ASTEI20_045641, ASTEI20_039665	AAEL026111, AAEL004172
OG0000073	ASTEI20_036269	AAEL007136
OG0000073	ASTEI20_033743	AAEL007131
OG0000073	ASTEI20_037565	AAEL007128
OG0000074	ASTEI20_035123, ASTEI20_041942, ASTEI20_036102, ASTEI20_035843, ASTEI20_043301	AAEL011460, AAEL011454
OG0000074	ASTEI20_031364	AAEL011449
OG0000075	ASTEI20_043256, ASTEI20_044173, ASTEI20_045639, ASTEI20_041998, ASTEI20_037835	AAEL013444, AAEL013442, AAEL013443, AAEL021060, AAEL025773, AAEL013439
OG0000076	ASTEI20_040347, ASTEI20_035431, ASTEI20_040002, ASTEI20_045335	AAEL003992
OG0000077	ASTEI20_041229	AAEL021375
OG0000077	ASTEI20_037597	AAEL026915
OG0000077	ASTEI20_042788, ASTEI20_038766	AAEL015020, AAEL015573, AAEL015021
OG0000077	ASTEI20_034638	AAEL015022
OG0000079	ASTEI20_040435, ASTEI20_038502, ASTEI20_045603	AAEL023932, AAEL006498, AAEL006259
OG0000079	ASTEI20_045836	AAEL005621, AAEL005625, AAEL006484, AAEL024685
OG0000080	ASTEI20_045083	AAEL012700, AAEL012702
OG0000080	ASTEI20_037839	AAEL012698
OG0000080	ASTEI20_035820, ASTEI20_038748	AAEL008384, AAEL008386
OG0000081	ASTEI20_044597	AAEL013347
OG0000081	ASTEI20_033899, ASTEI20_041643, ASTEI20_041167	AAEL013349, AAEL013352, AAEL013346, AAEL013344, AAEL013348, AAEL013338
OG0000081	ASTEI20_045891	AAEL013341
OG0000082	ASTEI20_035318	AAEL019868
OG0000085	ASTEI20_033228, ASTEI20_037988, ASTEI20_039794	AAEL014439, AAEL014440, AAEL003971, AAEL003954
OG0000086	ASTEI20_036600	AAEL012778
OG0000086	ASTEI20_036223, ASTEI20_035207, ASTEI20_037451	AAEL008163, AAEL008162, AAEL022247, AAEL019828
OG0000086	ASTEI20_043950	AAEL009108
OG0000088	ASTEI20_042317	AAEL001517
OG0000088	ASTEI20_035957, ASTEI20_030868	AAEL000546, AAEL000530, AAEL000545, AAEL008532, AAEL004724
OG0000089	ASTEI20_035269	AAEL008252, AAEL022849
OG0000089	ASTEI20_031474, ASTEI20_033656, ASTEI20_034314, ASTEI20_038747	AAEL001151
OG0000089	ASTEI20_043719	AAEL001146
OG0000090	ASTEI20_044859, ASTEI20_033811	AAEL003723, AAEL003712
OG0000090	ASTEI20_037367, ASTEI20_042053	AAEL017132
OG0000090	ASTEI20_044104, ASTEI20_039435	AAEL015404
OG0000091	ASTEI20_043825	AAEL007010, AAEL021861, AAEL007024
OG0000096	ASTEI20_039679	AAEL002851
OG0000096	ASTEI20_033293	AAEL019894
OG0000096	ASTEI20_044580	AAEL005052
OG0000096	ASTEI20_044690	AAEL002848
OG0000097	ASTEI20_043690	AAEL029014
OG0000098	ASTEI20_030897, ASTEI20_032470, ASTEI20_035940	AAEL014140, AAEL014137, AAEL022822
OG0000104	ASTEI20_031093	AAEL002669, AAEL002666, AAEL002658
OG0000104	ASTEI20_031442, ASTEI20_031279	AAEL002668, AAEL006823
OG0000107	ASTEI20_032780, ASTEI20_041111, ASTEI20_036614	AAEL014731, AAEL007754, AAEL004928
OG0000108	ASTEI20_031790, ASTEI20_039367	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165
OG0000109	ASTEI20_035723	AAEL018267
OG0000109	ASTEI20_041902	AAEL023958
OG0000109	ASTEI20_036023	AAEL019847, AAEL012395
OG0000111	ASTEI20_041472, ASTEI20_034526, ASTEI20_032750, ASTEI20_033872, ASTEI20_035732, ASTEI20_035816, ASTEI20_040937, ASTEI20_037402, ASTEI20_040392	AAEL024249, AAEL017232, AAEL027929, AAEL025172
OG0000114	ASTEI20_031785, ASTEI20_040627	AAEL002241, AAEL002191, AAEL002229, AAEL002211, AAEL025678, AAEL002231, AAEL002246
OG0000114	ASTEI20_032160	AAEL002223, AAEL002233, AAEL002187
OG0000115	ASTEI20_031924	AAEL004247
OG0000115	ASTEI20_034594	AAEL022427
OG0000116	ASTEI20_039992	AAEL005045, AAEL017209
OG0000116	ASTEI20_046113, ASTEI20_045875, ASTEI20_036918	AAEL005043
OG0000116	ASTEI20_044702	AAEL004743
OG0000119	ASTEI20_031989	AAEL005200
OG0000119	ASTEI20_033264, ASTEI20_035228	AAEL005199, AAEL020054, AAEL005182, AAEL023662, AAEL004323
OG0000120	ASTEI20_031113	AAEL019920, AAEL005609, AAEL005607, AAEL019919
OG0000120	ASTEI20_040639, ASTEI20_043620	AAEL005594, AAEL005611
OG0000127	ASTEI20_045429, ASTEI20_037750, ASTEI20_032628, ASTEI20_039828	AAEL011528, AAEL000686, AAEL001057, AAEL001096, AAEL007941
OG0000128	ASTEI20_039421	AAEL000904
OG0000128	ASTEI20_041892	AAEL000918
OG0000128	ASTEI20_040479, ASTEI20_031766	AAEL019933
OG0000129	ASTEI20_032516, ASTEI20_039120, ASTEI20_038234	AAEL012683, AAEL012688, AAEL002373, AAEL012680, AAEL012685
OG0000129	ASTEI20_042029, ASTEI20_041805	AAEL001195
OG0000130	ASTEI20_041330	AAEL008160
OG0000130	ASTEI20_037430, ASTEI20_043872	AAEL002237
OG0000131	ASTEI20_038615	AAEL024660
OG0000131	ASTEI20_045120	AAEL003272
OG0000131	ASTEI20_034975	AAEL003226
OG0000131	ASTEI20_033405	AAEL003259
OG0000132	ASTEI20_035199, ASTEI20_034238	AAEL005293
OG0000132	ASTEI20_031453	AAEL003840
OG0000133	ASTEI20_033689	AAEL004091
OG0000133	ASTEI20_035006, ASTEI20_045111	AAEL014230
OG0000134	ASTEI20_040637	AAEL019678
OG0000134	ASTEI20_035158	AAEL005113, AAEL023844, AAEL005123
OG0000134	ASTEI20_041705, ASTEI20_031508	AAEL019679
OG0000136	ASTEI20_031418	AAEL013227, AAEL013233, AAEL021425, AAEL006287
OG0000136	ASTEI20_044015	AAEL013692, AAEL008098, AAEL007698
OG0000141	ASTEI20_038928, ASTEI20_042572	AAEL017553, AAEL002391, AAEL024216, AAEL002378, AAEL002385, AAEL002367
OG0000142	ASTEI20_030926, ASTEI20_031775	AAEL002426
OG0000142	ASTEI20_039078	AAEL002432
OG0000142	ASTEI20_035078	AAEL002408
OG0000143	ASTEI20_032430	AAEL007816
OG0000146	ASTEI20_044971, ASTEI20_043034	AAEL007592, AAEL015137
OG0000147	ASTEI20_039262, ASTEI20_034963, ASTEI20_034030	AAEL006827, AAEL002031, AAEL001960, AAEL002005
OG0000148	ASTEI20_040041, ASTEI20_032218	AAEL017460
OG0000148	ASTEI20_036802	AAEL002676
OG0000149	ASTEI20_032560	AAEL003091
OG0000149	ASTEI20_037704, ASTEI20_045413	AAEL026670
OG0000150	ASTEI20_036593	AAEL003497
OG0000151	ASTEI20_031955	AAEL004025
OG0000152	ASTEI20_033865	AAEL011180
OG0000152	ASTEI20_040792	AAEL005259
OG0000154	ASTEI20_038954, ASTEI20_038354, ASTEI20_039327, ASTEI20_031393, ASTEI20_036264	AAEL009130, AAEL009129, AAEL009123, AAEL009131
OG0000155	ASTEI20_044262	AAEL010418, AAEL027258, AAEL015286, AAEL010415, AAEL010428, AAEL023626, AAEL018080, AAEL010426, AAEL017079, AAEL010409
OG0000157	ASTEI20_038779	AAEL026898
OG0000157	ASTEI20_044052	AAEL021701, AAEL023616, AAEL027162, AAEL024662, AAEL025947, AAEL027079, AAEL024834, AAEL027392
OG0000160	ASTEI20_036554	AAEL024826, AAEL027417, AAEL002264, AAEL023094, AAEL022840, AAEL022131, AAEL020119
OG0000161	ASTEI20_038429	AAEL004798, AAEL002467
OG0000162	ASTEI20_039506	AAEL002617
OG0000162	ASTEI20_035676	AAEL002606
OG0000162	ASTEI20_038899	AAEL002587
OG0000163	ASTEI20_034625	AAEL004507
OG0000163	ASTEI20_031376	AAEL022219
OG0000163	ASTEI20_042082	AAEL004486
OG0000164	ASTEI20_038451	AAEL007511
OG0000164	ASTEI20_037482	AAEL014567
OG0000165	ASTEI20_035964	AAEL008017
OG0000165	ASTEI20_037537	AAEL025214
OG0000165	ASTEI20_035222, ASTEI20_037574	AAEL008018
OG0000166	ASTEI20_035217, ASTEI20_037831	AAEL013556, AAEL013554
OG0000166	ASTEI20_038043, ASTEI20_041976	AAEL014830
OG0000166	ASTEI20_044786, ASTEI20_042832	AAEL014019
OG0000168	ASTEI20_031663	AAEL022694, AAEL023789, AAEL026755
OG0000171	ASTEI20_039067	AAEL027547, AAEL017192
OG0000171	ASTEI20_037136	AAEL023653, AAEL005134
OG0000172	ASTEI20_034185	AAEL026737
OG0000172	ASTEI20_042714	AAEL020253
OG0000172	ASTEI20_033958	AAEL011332
OG0000173	ASTEI20_042047	AAEL014515
OG0000174	ASTEI20_035066	AAEL029047
OG0000174	ASTEI20_042620	AAEL029038, AAEL029046, AAEL029041, AAEL029044
OG0000180	ASTEI20_032174	AAEL021730, AAEL002208, AAEL029006, AAEL022045, AAEL002239, AAEL002189, AAEL002245, AAEL002202
OG0000181	ASTEI20_039654, ASTEI20_035911	AAEL004729, AAEL026708, AAEL023262, AAEL004730, AAEL025094
OG0000182	ASTEI20_034555	AAEL005407
OG0000182	ASTEI20_041278	AAEL005412, AAEL005426, AAEL005417
OG0000182	ASTEI20_034958	AAEL005408
OG0000183	ASTEI20_031719, ASTEI20_046015, ASTEI20_044856, ASTEI20_038174	AAEL005786, AAEL019497, AAEL022007, AAEL009434, AAEL019498
OG0000184	ASTEI20_033069	AAEL005999
OG0000184	ASTEI20_036642, ASTEI20_037581	AAEL006003
OG0000185	ASTEI20_042706, ASTEI20_031403	AAEL013981, AAEL013983, AAEL021888
OG0000185	ASTEI20_032807, ASTEI20_034055	AAEL008045
OG0000187	ASTEI20_038550	AAEL000035
OG0000188	ASTEI20_038409	AAEL017003, AAEL003253, AAEL003243
OG0000189	ASTEI20_035278	AAEL003743
OG0000189	ASTEI20_043379, ASTEI20_036958	AAEL006390
OG0000189	ASTEI20_033773, ASTEI20_043697	AAEL014053
OG0000190	ASTEI20_031858	AAEL020855
OG0000190	ASTEI20_037310	AAEL023141
OG0000190	ASTEI20_033651	AAEL003982
OG0000191	ASTEI20_035041, ASTEI20_031723, ASTEI20_032678, ASTEI20_037932	AAEL007085, AAEL024044
OG0000192	ASTEI20_041022	AAEL018352
OG0000192	ASTEI20_033456	AAEL008055
OG0000192	ASTEI20_038790	AAEL007664
OG0000193	ASTEI20_035925, ASTEI20_034914, ASTEI20_032918, ASTEI20_041607	AAEL018151, AAEL008595
OG0000194	ASTEI20_032207	AAEL022256, AAEL009193
OG0000194	ASTEI20_042386	AAEL009203
OG0000196	ASTEI20_042814	AAEL014662, AAEL011677, AAEL019722
OG0000200	ASTEI20_040182	AAEL019407
OG0000200	ASTEI20_032444	AAEL000536
OG0000200	ASTEI20_035878	AAEL000123
OG0000201	ASTEI20_037723	AAEL001839
OG0000201	ASTEI20_036827	AAEL020195, AAEL001844
OG0000201	ASTEI20_041981	AAEL001840
OG0000202	ASTEI20_044437	AAEL012457, AAEL012455
OG0000202	ASTEI20_045852	AAEL003617, AAEL026142, AAEL011356
OG0000203	ASTEI20_034151	AAEL003626
OG0000203	ASTEI20_037199	AAEL003641, AAEL003619
OG0000203	ASTEI20_036473	AAEL018304
OG0000204	ASTEI20_033339	AAEL014078
OG0000204	ASTEI20_044531	AAEL014079
OG0000205	ASTEI20_031920	AAEL008898
OG0000205	ASTEI20_040473	AAEL007913
OG0000206	ASTEI20_039018, ASTEI20_045703	AAEL009935, AAEL009945, AAEL009938
OG0000206	ASTEI20_045728	AAEL006668
OG0000207	ASTEI20_034853	AAEL027951, AAEL026297, AAEL007619
OG0000208	ASTEI20_045322	AAEL008259, AAEL027364
OG0000208	ASTEI20_034058	AAEL023637, AAEL008283
OG0000209	ASTEI20_042301	AAEL020200
OG0000210	ASTEI20_043190, ASTEI20_037248, ASTEI20_039456	AAEL022562, AAEL013032
OG0000211	ASTEI20_037118, ASTEI20_041718, ASTEI20_039007	AAEL021862
OG0000217	ASTEI20_040200	AAEL002994
OG0000217	ASTEI20_036703	AAEL001622
OG0000217	ASTEI20_044284	AAEL003013
OG0000218	ASTEI20_038944	AAEL001969
OG0000218	ASTEI20_043383, ASTEI20_039263	AAEL002028
OG0000219	ASTEI20_041844	AAEL002940
OG0000219	ASTEI20_035108	AAEL012431, AAEL010858, AAEL012430, AAEL024868, AAEL010853
OG0000220	ASTEI20_035755	AAEL002969, AAEL002959
OG0000220	ASTEI20_037745	AAEL002972
OG0000221	ASTEI20_038135	AAEL021590, AAEL003079
OG0000221	ASTEI20_037201	AAEL014371, AAEL008560
OG0000222	ASTEI20_035055	AAEL021010, AAEL019957
OG0000223	ASTEI20_037771	AAEL006487
OG0000223	ASTEI20_031096	AAEL006995
OG0000223	ASTEI20_036943	AAEL007016
OG0000224	ASTEI20_038501	AAEL006835
OG0000225	ASTEI20_040100	AAEL014413
OG0000225	ASTEI20_037793, ASTEI20_038611	AAEL014411, AAEL014412
OG0000226	ASTEI20_034161, ASTEI20_036749, ASTEI20_033104, ASTEI20_033107, ASTEI20_043945, ASTEI20_044426, ASTEI20_037857, ASTEI20_036968, ASTEI20_035152	AAEL027179
OG0000229	ASTEI20_046124	AAEL000515, AAEL000505
OG0000229	ASTEI20_032722, ASTEI20_037602	AAEL024475
