Orthogroup	Aalbopictus_AalbF5	AaegyptiLVP_AGWG
OG0000005	LOC109413299, LOC134284557, LOC134284427, LOC134284558, LOC115255201, LOC134284413, LOC115270053, LOC134284559, LOC109397491, LOC134284561, LOC134284412, LOC109397473, LOC115270063, LOC115270066, LOC115270073, LOC134284555, LOC115270082, LOC134284422, LOC109407175, LOC109404569, LOC134284560, LOC134284414, LOC134284556, LOC109397475	AAEL027441, AAEL020713, AAEL021448, AAEL020514, AAEL020730, AAEL020395, AAEL020912, AAEL020951, AAEL021271, AAEL021472, AAEL021537, AAEL021707, AAEL028019, AAEL024277, AAEL024514, AAEL026916, AAEL024999, AAEL021726, AAEL028199, AAEL024832, AAEL026982, AAEL025166, AAEL028040, AAEL023925, AAEL027679, AAEL027391, AAEL026342, AAEL023688, AAEL025522, AAEL027502, AAEL023340, AAEL025688, AAEL023726, AAEL023154, AAEL022883, AAEL022311, AAEL022412, AAEL023138, AAEL022323, AAEL022210, AAEL021937, AAEL022047, AAEL025009, AAEL025480, AAEL026667, AAEL026360, AAEL025273, AAEL026951, AAEL025372, AAEL027250, AAEL024969, AAEL025262, AAEL026653, AAEL026204, AAEL023927
OG0000005	LOC109621646	AAEL026631
OG0000006	LOC134287667, LOC134284060	AAEL025985, AAEL013375
OG0000006	LOC134287526, LOC134285602, LOC134287214	AAEL024806, AAEL022442
OG0000006	LOC134291131	AAEL026752
OG0000008	LOC109426418, LOC134289744	AAEL014617, AAEL014613
OG0000008	LOC109426424	AAEL014615
OG0000008	LOC134291978	AAEL014603, AAEL014610
OG0000008	LOC134291018, LOC109403845, LOC109426416	AAEL029064, AAEL014609, AAEL017366
OG0000008	LOC109433244	AAEL002638
OG0000008	LOC109424185, LOC115258886	AAEL002633
OG0000008	LOC109403897, LOC109426422	AAEL014619
OG0000008	LOC115254008	AAEL019603
OG0000008	LOC109403786	AAEL006795
OG0000008	LOC109403754	AAEL014605
OG0000008	LOC109426407	AAEL014614
OG0000008	LOC109426413	AAEL006815
OG0000008	LOC109426414	AAEL006784
OG0000008	LOC109403795, LOC109426411	AAEL006805
OG0000008	LOC109426410	AAEL028635
OG0000008	LOC109426408	AAEL014618
OG0000008	LOC109426420	AAEL014604
OG0000008	LOC134283913	AAEL019504
OG0000009	LOC109405821	AAEL012499
OG0000009	LOC109431220	AAEL022584, AAEL020050
OG0000009	LOC134284429	AAEL020348
OG0000009	LOC134284416, LOC115254131, LOC115255182	AAEL021459
OG0000009	LOC109404592	AAEL007005
OG0000010	LOC109432023	AAEL008218
OG0000010	LOC115265384	AAEL008217
OG0000010	LOC109432002, LOC109431992	AAEL008208, AAEL008207
OG0000010	LOC115265379	AAEL023597, AAEL008221
OG0000010	LOC109432055	AAEL008206
OG0000010	LOC109432112, LOC109432077	AAEL008212
OG0000011	LOC109411313	AAEL021195
OG0000011	LOC109397937	AAEL021283
OG0000011	LOC109429729	AAEL010552
OG0000011	LOC109429746, LOC115266488, LOC109397936	AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610
OG0000011	LOC115262102, LOC109408539, LOC109408562, LOC109429602	AAEL023218, AAEL028146, AAEL023858
OG0000012	LOC109413799	AAEL027861
OG0000012	LOC109409461	AAEL009284
OG0000012	LOC109409491	AAEL009296
OG0000012	LOC134292035	AAEL020629, AAEL020985, AAEL020370
OG0000012	LOC134288780	AAEL021821
OG0000012	LOC134284526	AAEL022066, AAEL021946, AAEL021903
OG0000012	LOC134284428	AAEL021049, AAEL003685, AAEL021142
OG0000012	LOC115255203	AAEL012072
OG0000012	LOC115264617	AAEL021161
OG0000012	LOC115258846	AAEL020810
OG0000012	LOC115270054	AAEL021754
OG0000012	LOC134289521	AAEL011424
OG0000013	LOC109411041, LOC115268685, LOC109398584	AAEL009791, AAEL009790, AAEL020010, AAEL009802
OG0000013	LOC109411057, LOC109398582	AAEL009783, AAEL009788, AAEL009803
OG0000013	LOC109411037	AAEL015363
OG0000013	LOC109398594	AAEL009793
OG0000013	LOC115264164	AAEL009807
OG0000013	LOC109411043	AAEL009796
OG0000013	LOC109398585	AAEL009784, AAEL009801
OG0000013	LOC109411044	AAEL015163
OG0000013	LOC109429135	AAEL023763, AAEL002110
OG0000013	LOC109409015	AAEL002099
OG0000013	LOC109409017	AAEL026306, AAEL027846, AAEL028212
OG0000013	LOC109429134	AAEL002092
OG0000014	LOC109621611, LOC109400072	AAEL003156
OG0000014	LOC109426996	AAEL007942
OG0000014	LOC109419319	AAEL020192
OG0000014	LOC134287244, LOC134284611, LOC115263125, LOC109403796, LOC134284614, LOC134284612, LOC134284613, LOC109416944, LOC109430246	AAEL011007
OG0000015	LOC109401312	AAEL010671
OG0000015	LOC109399647	AAEL017179
OG0000015	LOC109400779, LOC115267833, LOC109400783, LOC115267832, LOC109400782	AAEL007669, AAEL029052
OG0000015	LOC109399572, LOC109400780	AAEL017320
OG0000015	LOC109400781, LOC109399573, LOC115265241	AAEL017302
OG0000015	LOC109403546, LOC109422912	AAEL001461
OG0000015	LOC109399576, LOC115267834	AAEL017452
OG0000016	LOC134284486, LOC134284488, LOC134284487	AAEL010202
OG0000016	LOC134284484, LOC134284485	AAEL013712, AAEL010196
OG0000016	LOC134284267	AAEL013703
OG0000016	LOC134284491, LOC134284266, LOC134284489, LOC134284490	AAEL007601, AAEL023729, AAEL013715
OG0000016	LOC109397098	AAEL012852
OG0000016	LOC109407316	AAEL006425
OG0000016	LOC109411296	AAEL007818
OG0000016	LOC109622023	AAEL004996
OG0000017	LOC115255204, LOC115264603, LOC115255220, LOC115261269, LOC115254888, LOC115270071	AAEL003846
OG0000017	LOC109420140	AAEL021540
OG0000017	LOC115264614	AAEL021577
OG0000017	LOC109404554	AAEL021628, AAEL020517, AAEL020976, AAEL020216
OG0000017	LOC115264622	AAEL020914
OG0000017	LOC109397483	AAEL021529
OG0000017	LOC115264629	AAEL021405
OG0000017	LOC109431226	AAEL003673
OG0000017	LOC115270064	AAEL021956
OG0000017	LOC115261275	AAEL013709
OG0000017	LOC109397470	AAEL020032
OG0000018	LOC115257567, LOC115255481	AAEL018005, AAEL025919, AAEL023550, AAEL022469
OG0000018	LOC115259833	AAEL027321, AAEL024352, AAEL023264
OG0000018	LOC115255035, LOC109417501, LOC115261637	AAEL022185, AAEL022664
OG0000018	LOC109414562	AAEL023871, AAEL018047
OG0000018	LOC134287442, LOC115256715	AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374
OG0000018	LOC115260339	AAEL020762, AAEL026324
OG0000020	LOC109406040	AAEL008681
OG0000021	LOC109404004	AAEL004631
OG0000021	LOC115267287	AAEL001673
OG0000021	LOC115253654	AAEL011197
OG0000021	LOC109432057	AAEL004616
OG0000021	LOC109412626	AAEL001928
OG0000021	LOC109432714	AAEL009451
OG0000021	LOC109412625	AAEL001951
OG0000021	LOC109401551	AAEL005964
OG0000021	LOC109412623	AAEL005961
OG0000023	LOC109400700, LOC109399437	AAEL000351
OG0000023	LOC115266810, LOC115266791	AAEL029065
OG0000023	LOC109400762	AAEL000323
OG0000023	LOC109400701, LOC109400768	AAEL024983
OG0000024	LOC109421858, LOC109413809	AAEL006157
OG0000024	LOC109408695	AAEL010380
OG0000024	LOC109408675	AAEL017311
OG0000024	LOC109403004	AAEL010367
OG0000024	LOC109408692	AAEL024680
OG0000024	LOC109408663	AAEL010384
OG0000024	LOC134284686	AAEL010370
OG0000024	LOC109408662	AAEL010382
OG0000024	LOC109408659	AAEL026787
OG0000026	LOC109423856	AAEL013493
OG0000026	LOC115270199	AAEL015116, AAEL015113
OG0000026	LOC115269863	AAEL013492
OG0000026	LOC109431713	AAEL011763
OG0000026	LOC115267476	AAEL011764
OG0000026	LOC115260125	AAEL020579
OG0000026	LOC109622447	AAEL014544
OG0000027	LOC109398505	AAEL012642
OG0000027	LOC109406559	AAEL012648
OG0000027	LOC109406548	AAEL012653
OG0000027	LOC109406550	AAEL015254
OG0000027	LOC109406555	AAEL015252
OG0000027	LOC109406551	AAEL012641
OG0000027	LOC109398494	AAEL012649
OG0000027	LOC109417369, LOC109417371, LOC109398522	AAEL012646
OG0000027	LOC109398512, LOC109398504, LOC109406556, LOC109398492	AAEL012652, AAEL012645, AAEL027171
OG0000027	LOC109406557, LOC109406553	AAEL012651, AAEL025465
OG0000027	LOC109417368	AAEL012644
OG0000027	LOC115262615	AAEL012650
OG0000027	LOC115262616	AAEL012647
OG0000030	LOC109417125	AAEL019959, AAEL001794
OG0000030	LOC115255076, LOC134289023	AAEL019958
OG0000033	LOC109424827	AAEL005064
OG0000033	LOC134290105, LOC109416028	AAEL000038
OG0000033	LOC109414923	AAEL000074
OG0000033	LOC109416027	AAEL000037
OG0000033	LOC109414897	AAEL000028
OG0000033	LOC109416024, LOC109416023	AAEL000099
OG0000034	LOC109623143	AAEL013549
OG0000034	LOC109623114	AAEL002258
OG0000034	LOC109623111	AAEL002279
OG0000034	LOC109623152	AAEL011868
OG0000034	LOC109426767	AAEL013547
OG0000035	LOC109431735	AAEL009610
OG0000035	LOC109419479, LOC115269187	AAEL025842, AAEL013024
OG0000036	LOC109621427, LOC115268191	AAEL000543
OG0000036	LOC115258235	AAEL011455, AAEL002524
OG0000036	LOC109399223	AAEL027443
OG0000036	LOC109422845	AAEL005641
OG0000036	LOC115258435, LOC134291920, LOC115268349	AAEL029058
OG0000036	LOC134284838, LOC109402623	AAEL029053, AAEL022823
OG0000036	LOC115258436, LOC115267974	AAEL000556
OG0000036	LOC115258437	AAEL000533
OG0000036	LOC109400424, LOC115259586	AAEL009209
OG0000036	LOC109420761	AAEL011079
OG0000036	LOC109411420, LOC109426308	AAEL011408
OG0000036	LOC109402129	AAEL011404, AAEL011407, AAEL012353, AAEL027215
OG0000036	LOC109426305	AAEL023353
OG0000036	LOC109420276, LOC109397320	AAEL000283
OG0000036	LOC109622701, LOC109622702	AAEL025802, AAEL029039
OG0000037	LOC115267800	AAEL008895
OG0000039	LOC115267561, LOC109404256	AAEL002693
OG0000039	LOC109416577	AAEL006524
OG0000039	LOC109429852	AAEL002682
OG0000039	LOC109433331	AAEL002476
OG0000039	LOC109431626	AAEL009239
OG0000039	LOC109401619	AAEL000793
OG0000040	LOC109426099	AAEL008368
OG0000040	LOC109429627, LOC109623406	AAEL022663
OG0000040	LOC109429616	AAEL020825
OG0000040	LOC109424203	AAEL008448
OG0000041	LOC109426885	AAEL007044
OG0000041	LOC109623326	AAEL007060
OG0000041	LOC109623385	AAEL007063
OG0000041	LOC109623384	AAEL007051
OG0000041	LOC109623325	AAEL007070
OG0000041	LOC109623324	AAEL007052
OG0000041	LOC109426866	AAEL023132
OG0000042	LOC109402120	AAEL018347
OG0000045	LOC115254791	AAEL026336, AAEL021875, AAEL024639, AAEL020919, AAEL019803
OG0000045	LOC115266674	AAEL024333
OG0000045	LOC134288587	AAEL024795, AAEL021215, AAEL027670
OG0000045	LOC109400123	AAEL000157
OG0000045	LOC134288132, LOC134290932	AAEL021144
OG0000045	LOC134286194, LOC109424601	AAEL005377, AAEL023120
OG0000045	LOC115265664, LOC115258448	AAEL027327, AAEL017283, AAEL022558
OG0000045	LOC115255999, LOC134286347, LOC134285044	AAEL027412
OG0000045	LOC115269455	AAEL022317, AAEL026643, AAEL021928, AAEL027742
OG0000045	LOC134288646	AAEL023167
OG0000046	LOC115265556	AAEL007969
OG0000046	LOC115265451	AAEL021678, AAEL002273
OG0000046	LOC109432544, LOC109432546, LOC115265520	AAEL011624
OG0000046	LOC115254964, LOC109416204	AAEL010866
OG0000046	LOC109431805, LOC115255534	AAEL010867
OG0000046	LOC109622330, LOC109621357, LOC109622339	AAEL005753
OG0000048	LOC109428624, LOC109422505, LOC109420363	AAEL004672
OG0000048	LOC109401660	AAEL004667, AAEL001508
OG0000048	LOC109418726, LOC134292261	AAEL008856
OG0000049	LOC115257883	AAEL002595
OG0000049	LOC115257642	AAEL002590
OG0000049	LOC115253560	AAEL002600
OG0000049	LOC109403394	AAEL002629
OG0000051	LOC134286745	AAEL004769
OG0000051	LOC134287878	AAEL004746
OG0000051	LOC134286741, LOC134286742, LOC134287876, LOC134286737	AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758
OG0000051	LOC134287877	AAEL024588
OG0000052	LOC109418812	AAEL017475
OG0000052	LOC109418979	AAEL024686, AAEL020852
OG0000052	LOC109398291	AAEL006627
OG0000052	LOC109398344	AAEL007938
OG0000052	LOC109399682	AAEL011929
OG0000052	LOC109418960	AAEL011916
OG0000053	LOC134290123	AAEL010055
OG0000055	LOC109425568	AAEL019403
OG0000055	LOC109430791	AAEL026446
OG0000055	LOC115269375	AAEL025647
OG0000055	LOC109400253	AAEL023321
OG0000055	LOC115265081, LOC109423617, LOC109400264	AAEL017975, AAEL027610
OG0000055	LOC115265080, LOC115266509	AAEL017976, AAEL020330
OG0000055	LOC115268774	AAEL020571
OG0000057	LOC109400285, LOC109400301, LOC134286750, LOC109400303	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759
OG0000057	LOC109425074	AAEL023487
OG0000058	LOC109429974	AAEL008632
OG0000058	LOC109429556	AAEL026976
OG0000058	LOC109429973	AAEL008624
OG0000058	LOC109429562	AAEL008625
OG0000058	LOC109429976	AAEL008628
OG0000059	LOC115263209	AAEL022646
OG0000059	LOC109397955	AAEL002360
OG0000059	LOC109398113	AAEL002347, AAEL024934
OG0000060	LOC109400289	AAEL004762
OG0000060	LOC109425201, LOC109425203, LOC109425111, LOC109425112	AAEL004776, AAEL019994, AAEL019993
OG0000060	LOC109400353	AAEL004748
OG0000060	LOC109400352, LOC109425109, LOC109400350	AAEL004760, AAEL004764, AAEL004742
OG0000060	LOC109425107	AAEL004765
OG0000061	LOC115262216	AAEL026011
OG0000061	LOC109407552	AAEL007673
OG0000061	LOC109426588	AAEL006719
OG0000061	LOC115260060	AAEL008456
OG0000061	LOC115253465	AAEL008452
OG0000061	LOC109412270	AAEL013421
OG0000061	LOC109397255	AAEL008451
OG0000062	LOC115259541, LOC134285567	AAEL015533
OG0000063	LOC109399308	AAEL005771
OG0000063	LOC109399296	AAEL005788
OG0000063	LOC109430420	AAEL020266
OG0000063	LOC109405725	AAEL000320
OG0000063	LOC109413826	AAEL012761
OG0000063	LOC109428843, LOC109420947	AAEL005696
OG0000063	LOC109399306	AAEL005775
OG0000063	LOC115261478	AAEL017215
OG0000063	LOC109405771	AAEL000338
OG0000064	LOC109424200, LOC109424199	AAEL024986
OG0000064	LOC109407215, LOC109407216, LOC109405887	AAEL014561, AAEL021735, AAEL025303
OG0000064	LOC109424210	AAEL013027
OG0000064	LOC109412709, LOC134285929	AAEL017403
OG0000064	LOC134285928, LOC109424208	AAEL026426
OG0000064	LOC109433412	AAEL017501
OG0000067	LOC109399585	AAEL003434
OG0000067	LOC109426033	AAEL000678
OG0000067	LOC109426036	AAEL000647
OG0000067	LOC109426037	AAEL000642
OG0000067	LOC109410996, LOC109410901	AAEL009524
OG0000067	LOC109426035	AAEL000667
OG0000068	LOC109399171	AAEL024556
OG0000068	LOC109413965	AAEL013512
OG0000068	LOC109413968	AAEL013520
OG0000068	LOC109398683	AAEL007194
OG0000068	LOC109405051	AAEL007192
OG0000068	LOC109413969	AAEL013514
OG0000068	LOC109399209	AAEL011444
OG0000068	LOC109414002	AAEL013515
OG0000069	LOC134287961	AAEL015140
OG0000069	LOC134287966	AAEL015136
OG0000069	LOC109420427	AAEL009556
OG0000069	LOC115257481	AAEL009555
OG0000069	LOC115257619	AAEL009553
OG0000071	LOC109401104	AAEL007812
OG0000071	LOC109417603	AAEL002085
OG0000071	LOC109402034	AAEL003399
OG0000071	LOC109419909	AAEL013798
OG0000072	LOC109418556	AAEL013229
OG0000072	LOC109422743	AAEL006642
OG0000072	LOC109413231	AAEL012101
OG0000072	LOC115261630	AAEL012424
OG0000072	LOC109403768	AAEL026111
OG0000072	LOC109403788	AAEL004172
OG0000073	LOC109433068	AAEL007136
OG0000073	LOC109433069	AAEL007131
OG0000073	LOC109433130	AAEL007128
OG0000073	LOC109404655	AAEL007139
OG0000074	LOC109399202	AAEL011460
OG0000074	LOC109399162	AAEL011454
OG0000074	LOC109399205	AAEL011449
OG0000075	LOC109424138	AAEL013444, AAEL013442
OG0000075	LOC109430779, LOC109424181	AAEL013443
OG0000075	LOC115263087, LOC109424139, LOC115263088	AAEL021060, AAEL025773
OG0000075	LOC115263086, LOC115263362	AAEL013439
OG0000076	LOC109433173, LOC109433174	AAEL003992
OG0000077	LOC109431700	AAEL021375
OG0000077	LOC109428459	AAEL026915
OG0000077	LOC115267608	AAEL015020
OG0000077	LOC115267631	AAEL015573
OG0000077	LOC115267607	AAEL015021
OG0000077	LOC115267620	AAEL015022
OG0000078	LOC115267917	AAEL024476
OG0000079	LOC109422560	AAEL023932, AAEL006498
OG0000079	LOC109399710	AAEL006259
OG0000079	LOC109418231, LOC109428005	AAEL005621, AAEL005625
OG0000079	LOC109422721	AAEL006484, AAEL024685
OG0000080	LOC115265252, LOC109417572	AAEL012700
OG0000080	LOC109417573	AAEL012702
OG0000080	LOC109417818	AAEL012698
OG0000080	LOC109420119	AAEL008384
OG0000080	LOC109420142	AAEL008386
OG0000081	LOC115265020	AAEL013347
OG0000081	LOC109422446, LOC115265018	AAEL013352, AAEL013346
OG0000081	LOC109422423	AAEL013344
OG0000081	LOC115265016	AAEL013348
OG0000081	LOC109425727	AAEL013341
OG0000082	LOC109408162	AAEL019868
OG0000085	LOC109412325, LOC109422704	AAEL014439
OG0000085	LOC109422705	AAEL014440
OG0000085	LOC109424438	AAEL003971
OG0000085	LOC115254680	AAEL003954
OG0000086	LOC109402934	AAEL012778
OG0000086	LOC115258102	AAEL008163
OG0000086	LOC109405184	AAEL008162
OG0000086	LOC109426350	AAEL022247
OG0000086	LOC115254457	AAEL019828
OG0000086	LOC109399012, LOC109622980	AAEL009108
OG0000088	LOC115257675, LOC115257694	AAEL001517
OG0000088	LOC109433460	AAEL000546
OG0000088	LOC115267981	AAEL000530
OG0000088	LOC109433519	AAEL000545
OG0000088	LOC109418404	AAEL008532
OG0000088	LOC109419766	AAEL004724
OG0000089	LOC109426269	AAEL008252
OG0000089	LOC134289925	AAEL022849
OG0000089	LOC134289926	AAEL001151
OG0000089	LOC134292138	AAEL001146
OG0000090	LOC109424283	AAEL003723
OG0000090	LOC109428699	AAEL003712
OG0000090	LOC109399239	AAEL017132
OG0000090	LOC109429051	AAEL015404
OG0000091	LOC115260834, LOC115260167	AAEL006992
OG0000091	LOC109398898	AAEL006989
OG0000091	LOC115266378, LOC109414571	AAEL003890
OG0000091	LOC109429227	AAEL007010, AAEL021861, AAEL007024
OG0000092	LOC115255535	AAEL027314
OG0000092	LOC115271100, LOC115260350, LOC115265658	AAEL027128, AAEL022626
OG0000092	LOC115269953, LOC134292239	AAEL028098
OG0000092	LOC115270191	AAEL019462, AAEL027358, AAEL027511
OG0000096	LOC109422254	AAEL002851
OG0000096	LOC109414298	AAEL019894
OG0000096	LOC115264212	AAEL005052
OG0000096	LOC115264211	AAEL005084
OG0000096	LOC109422250	AAEL002848
OG0000097	LOC109621419	AAEL009561
OG0000097	LOC109622082	AAEL009567
OG0000097	LOC109433277	AAEL009566, AAEL029014
OG0000098	LOC115258660, LOC109419553	AAEL014140
OG0000098	LOC109409374	AAEL014137
OG0000098	LOC115258766	AAEL022822
OG0000099	LOC134291274, LOC134286438, LOC134291497, LOC134285433, LOC134291972, LOC115267464, LOC109425963, LOC134289618, LOC134285815, LOC134288930, LOC134291975, LOC134284894, LOC134291438, LOC134290247, LOC134290594, LOC134288551, LOC134284763, LOC134284877, LOC134292089, LOC134286796, LOC134289489, LOC134286304, LOC134285139, LOC134292005, LOC134290956, LOC134286789, LOC134285712, LOC134286199, LOC134287675, LOC134285684, LOC134286574, LOC134284033, LOC134289089, LOC134288127, LOC134291097, LOC134286674, LOC134286601, LOC134288417, LOC134292090, LOC134290548	AAEL028031
OG0000104	LOC109421248	AAEL002669
OG0000104	LOC109421247, LOC109410842	AAEL002666
OG0000104	LOC109421246	AAEL002658
OG0000104	LOC109410832	AAEL002668
OG0000104	LOC109427506, LOC109427507	AAEL006823
OG0000107	LOC134285144, LOC115269113, LOC115269114, LOC109397170	AAEL014731
OG0000107	LOC134285135, LOC134285132	AAEL007754
OG0000107	LOC134287048	AAEL004928
OG0000108	LOC109429333, LOC109421068, LOC109429251, LOC109421067	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074
OG0000108	LOC109429469, LOC115258785	AAEL010435
OG0000108	LOC109421073, LOC109428607, LOC109421072	AAEL013118, AAEL009166, AAEL013127, AAEL009165
OG0000109	LOC134288467, LOC109417980	AAEL018267
OG0000109	LOC109402397, LOC134284738	AAEL023958
OG0000109	LOC109402396	AAEL019847
OG0000109	LOC109402395	AAEL012395
OG0000109	LOC109402380	AAEL027539
OG0000110	LOC109417563	AAEL019984
OG0000110	LOC109417564	AAEL016966
OG0000110	LOC134284252	AAEL013893
OG0000110	LOC134291816	AAEL017123
OG0000110	LOC134291818	AAEL026829
OG0000110	LOC115267918	AAEL024663
OG0000110	LOC134292026	AAEL023017
OG0000110	LOC109621914	AAEL016983
OG0000110	LOC115270911	AAEL017104, AAEL013563
OG0000110	LOC134285097, LOC115271006, LOC115265253, LOC134287346, LOC109406415	AAEL017377, AAEL025139
OG0000110	LOC109423985, LOC134284249	AAEL017009, AAEL018107
OG0000110	LOC109414917	AAEL017050
OG0000111	LOC115265527, LOC115253427, LOC115265528, LOC115265526, LOC109432478, LOC115253746	AAEL024249, AAEL017232, AAEL027929, AAEL025172
OG0000114	LOC109421190, LOC109432449, LOC115259293, LOC109432455	AAEL002241, AAEL002191, AAEL002229, AAEL002211, AAEL025678
OG0000114	LOC109432439	AAEL002231
OG0000114	LOC109421209	AAEL002246
OG0000115	LOC109413498	AAEL004247
OG0000115	LOC109410773	AAEL022427
OG0000116	LOC115262061	AAEL005045, AAEL017209
OG0000116	LOC115262073	AAEL005043
OG0000116	LOC109429689	AAEL005026
OG0000116	LOC109400294	AAEL004743
OG0000117	LOC115260521, LOC109401323	AAEL020121
OG0000117	LOC109422908, LOC115269192, LOC115258941, LOC115266654	AAEL022048
OG0000119	LOC109409689	AAEL005200
OG0000119	LOC109409692	AAEL005199
OG0000119	LOC109409691	AAEL020054, AAEL005182
OG0000119	LOC109409690	AAEL023662
OG0000119	LOC134287661	AAEL004323
OG0000120	LOC109406119	AAEL005609
OG0000120	LOC115261111	AAEL005607, AAEL019919
OG0000120	LOC115261112	AAEL005594, AAEL005611
OG0000121	LOC134286545, LOC134290432, LOC134286563, LOC134289163, LOC134286440, LOC134290915, LOC134285234, LOC134290209, LOC134286682, LOC134288272, LOC134286435, LOC134285985, LOC134290069, LOC134289513, LOC115258926, LOC115257931, LOC115265262, LOC134288935, LOC134284302, LOC115269770, LOC115259067, LOC115268810, LOC115261835	AAEL020129, AAEL023436, AAEL025899
OG0000127	LOC109399383	AAEL011528
OG0000127	LOC109430899	AAEL000686
OG0000127	LOC115263186	AAEL001057
OG0000127	LOC115263188	AAEL001096
OG0000127	LOC109411349	AAEL007941
OG0000128	LOC109396992	AAEL000904
OG0000128	LOC109397004	AAEL000918
OG0000128	LOC115262796	AAEL019933
OG0000129	LOC109428071, LOC109418295	AAEL012683, AAEL012688
OG0000129	LOC109418292	AAEL012680
OG0000129	LOC109418299	AAEL012685
OG0000129	LOC109421658	AAEL001195
OG0000130	LOC109426323	AAEL008160
OG0000130	LOC109421327	AAEL002228
OG0000130	LOC109427811, LOC115265185, LOC109421178, LOC109421176	AAEL022506, AAEL029069, AAEL020799
OG0000130	LOC109421326	AAEL002237
OG0000131	LOC109420718	AAEL024660
OG0000131	LOC109419859	AAEL003272
OG0000131	LOC109420609	AAEL003226
OG0000131	LOC109420605	AAEL003259
OG0000132	LOC109399101	AAEL003844
OG0000132	LOC109397421	AAEL005293
OG0000132	LOC109397420	AAEL012003
OG0000133	LOC109425940	AAEL004091
OG0000133	LOC109433309, LOC134291485	AAEL014230
