Orthogroup	Aalbopictus_AalbF5	AdirusWRAIR2
OG0000032	LOC134286630, LOC134285376, LOC134286566, LOC134290777, LOC134286981, LOC134285958, LOC134285252, LOC134290546, LOC134290447, LOC134286702, LOC134290488, LOC134284658, LOC134291067, LOC115265199, LOC134290819, LOC134286672, LOC134286685, LOC134289497, LOC134288537, LOC134290314, LOC109427185, LOC134290627, LOC134286565, LOC134290765	ADIR010744
OG0000033	LOC134290105, LOC109416028	ADIR016018
OG0000033	LOC109414923	ADIR016019, ADIR002300
OG0000033	LOC109416027, LOC109414897, LOC109416024, LOC109416023	ADIR016025, ADIR016020, ADIR002841, ADIR016023, ADIR016021, ADIR016024, ADIR016022
OG0000034	LOC109623111	ADIR007516
OG0000035	LOC109431735, LOC109419479, LOC115269187	ADIR014329, ADIR014313, ADIR003862
OG0000037	LOC115267800	ADIR003228, ADIR003227, ADIR010210, ADIR010215, ADIR010214, ADIR010213, ADIR010212, ADIR010211, ADIR010203, ADIR010204
OG0000039	LOC115267561, LOC109404256, LOC109416577, LOC109429852, LOC109433331, LOC109431626, LOC109401619, LOC115260826	ADIR015925, ADIR015923, ADIR008758, ADIR007693, ADIR015924, ADIR015928, ADIR015927, ADIR007692, ADIR015926
OG0000040	LOC109426099, LOC109429627, LOC109623406, LOC109623405	ADIR015602, ADIR015601
OG0000040	LOC109429616, LOC109424203	ADIR015539, ADIR015541, ADIR015540, ADIR015544, ADIR006103, ADIR015562, ADIR006102
OG0000041	LOC109623326	ADIR001834
OG0000041	LOC109623385	ADIR001833
OG0000041	LOC109623384, LOC109623325	ADIR001835
OG0000041	LOC109426866	ADIR003420
OG0000042	LOC109402120	ADIR000587, ADIR011155, ADIR000580
OG0000046	LOC109622330, LOC109621357, LOC109622339	ADIR003197
OG0000048	LOC109428624, LOC109422505, LOC109420363, LOC109401660, LOC109418726, LOC134292261	ADIR014671, ADIR016188, ADIR007974, ADIR016182, ADIR016183, ADIR016186, ADIR016187, ADIR016181, ADIR016189
OG0000049	LOC115257883	ADIR016124
OG0000049	LOC115257642	ADIR016128
OG0000049	LOC115253560	ADIR015764, ADIR015763, ADIR015765, ADIR015762
OG0000049	LOC109403394	ADIR016123
OG0000051	LOC134287878, LOC134286741, LOC134286742, LOC134287876, LOC134286737, LOC134287877	ADIR009276
OG0000053	LOC134290123	ADIR009846, ADIR011408, ADIR011407, ADIR009847, ADIR009845
OG0000055	LOC109425568	ADIR003019
OG0000057	LOC109400285, LOC109400301, LOC134286750, LOC109400303, LOC109425074	ADIR009281, ADIR014808, ADIR009282
OG0000058	LOC109429556, LOC109429973	ADIR006057
OG0000059	LOC115263209	ADIR001566, ADIR015747, ADIR015748, ADIR015749, ADIR001568
OG0000059	LOC109397955	ADIR003672, ADIR003674
OG0000059	LOC109398113	ADIR016197
OG0000061	LOC115262216, LOC109407552	ADIR009531
OG0000061	LOC109426588	ADIR007445
OG0000061	LOC109412270, LOC109397255	ADIR015571
OG0000063	LOC109399308, LOC109399296	ADIR010309
OG0000063	LOC109430420, LOC109405725, LOC109413826, LOC109428843, LOC109420947, LOC109399306, LOC115261478, LOC109426952, LOC109405771	ADIR008969
OG0000064	LOC109407215, LOC109407216, LOC109405887, LOC109424210, LOC109412709, LOC134285929	ADIR004674
OG0000064	LOC109433412	ADIR005809
OG0000066	LOC134290054, LOC134289693, LOC134288373	ADIR016088
OG0000067	LOC109399585	ADIR001930
OG0000067	LOC109426033, LOC109426036	ADIR000539
OG0000067	LOC109426037	ADIR000540
OG0000068	LOC109399171	ADIR007458
OG0000068	LOC109413965, LOC109413968, LOC109398683, LOC109405051, LOC109413969	ADIR007459
OG0000068	LOC109399209	ADIR007460
OG0000069	LOC134287966	ADIR003464
OG0000069	LOC109420427, LOC115257481, LOC115257619	ADIR007962, ADIR007263, ADIR007262, ADIR003511
OG0000071	LOC109401104	ADIR001093
OG0000071	LOC109417603, LOC109402034	ADIR002693
OG0000071	LOC109419909	ADIR011119, ADIR011120, ADIR011116
OG0000072	LOC109418556	ADIR001900
OG0000072	LOC115261630	ADIR003546
OG0000072	LOC109403768, LOC109403788	ADIR008039
OG0000073	LOC109433130	ADIR010953
OG0000074	LOC109399202, LOC109399162	ADIR003703, ADIR003702, ADIR003701
OG0000074	LOC109399205	ADIR007318
OG0000075	LOC109424138, LOC109430779, LOC109424181, LOC115263087, LOC109424139, LOC115263088, LOC115263086, LOC115263362	ADIR008602, ADIR008603, ADIR008604
OG0000076	LOC109433173, LOC109433174	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068, ADIR002333, ADIR002334
OG0000077	LOC115267608, LOC115267631, LOC115267607	ADIR007690
OG0000078	LOC134284552	ADIR014322
OG0000078	LOC115267917	ADIR014246
OG0000079	LOC109422560, LOC109399710	ADIR010062
OG0000080	LOC109417818	ADIR007435
OG0000080	LOC109420119, LOC109420142	ADIR000033
OG0000081	LOC115265020	ADIR007942
OG0000081	LOC109422446, LOC115265018, LOC109422423, LOC115265016	ADIR008727, ADIR007940
OG0000081	LOC109425727	ADIR007943
OG0000082	LOC109408162	ADIR000069, ADIR000071, ADIR000093
OG0000085	LOC109412325, LOC109422704, LOC109422705, LOC109424438, LOC115254680	ADIR015828, ADIR015824, ADIR015826, ADIR015825, ADIR015827, ADIR015829
OG0000086	LOC109402934	ADIR009203
OG0000086	LOC115258102, LOC109405184, LOC109426350, LOC115254457	ADIR003037
OG0000086	LOC109399012, LOC109622980	ADIR006613
OG0000088	LOC115257675, LOC115257694	ADIR000163
OG0000088	LOC109433460, LOC115267981, LOC109433519, LOC109418404, LOC109419766	ADIR000290, ADIR000294
OG0000089	LOC109426269, LOC134289925	ADIR009555
OG0000089	LOC134289926, LOC134292138	ADIR009554
OG0000090	LOC109430577, LOC109424283, LOC109428699, LOC109428697	ADIR015919
OG0000090	LOC109399239	ADIR007286
OG0000090	LOC109429051	ADIR007285
OG0000091	LOC109429227	ADIR006521
OG0000096	LOC109422254	ADIR000343
OG0000096	LOC109414298	ADIR010758
OG0000096	LOC115264212	ADIR009091
OG0000096	LOC109422250	ADIR000344
OG0000097	LOC109433277	ADIR010274, ADIR010273
OG0000098	LOC115258660, LOC109419553, LOC109409374, LOC115258766, LOC115260917	ADIR014792, ADIR006291, ADIR006333, ADIR006300, ADIR015892, ADIR015893
OG0000102	LOC134289997, LOC134290347	ADIR010820
OG0000104	LOC109421248, LOC109421247, LOC109410842, LOC109421246	ADIR006249
OG0000104	LOC109410832, LOC109427506, LOC109427507	ADIR010870, ADIR010871, ADIR010869
OG0000108	LOC109429333, LOC109421068, LOC109429251, LOC109421067, LOC109429469, LOC115258785, LOC109421073, LOC109428607, LOC109421072	ADIR004058
OG0000109	LOC134288467, LOC109417980	ADIR007689
OG0000109	LOC109402397, LOC134284738	ADIR009055
OG0000111	LOC115265527, LOC115253427, LOC115265528, LOC115265526, LOC109432478, LOC115253746	ADIR000646, ADIR000644
OG0000115	LOC109413498	ADIR007384
OG0000115	LOC109410773	ADIR007383
OG0000116	LOC115262073	ADIR006147
OG0000116	LOC109400294	ADIR005173
OG0000117	LOC109398787, LOC134290019	ADIR010829
OG0000119	LOC109409689	ADIR007783
OG0000119	LOC109409692, LOC109409691, LOC109409690, LOC134287661	ADIR007782
OG0000120	LOC109402840, LOC109406119, LOC115261111	ADIR015976
OG0000120	LOC115261112	ADIR015969, ADIR015967
OG0000127	LOC109399383, LOC109430899, LOC115263186, LOC115263188, LOC115263189, LOC109411349	ADIR002706
OG0000128	LOC109397004	ADIR005627
OG0000128	LOC115262796	ADIR016172, ADIR016170
OG0000130	LOC109426323	ADIR003050
OG0000130	LOC109421326	ADIR011436, ADIR011726, ADIR011435
OG0000131	LOC109420718	ADIR011335
OG0000131	LOC109420605	ADIR011339
OG0000133	LOC109425940	ADIR000444
OG0000133	LOC109433309, LOC134291485	ADIR000139, ADIR000140
OG0000134	LOC115267595, LOC109399470	ADIR003660
OG0000134	LOC115267583	ADIR003658
OG0000135	LOC109411771	ADIR005919
OG0000136	LOC109418558, LOC109413120, LOC109400919	ADIR000092, ADIR000087
OG0000136	LOC109401827, LOC109412093, LOC109404625	ADIR006020
OG0000141	LOC115266541, LOC109426247, LOC115266539, LOC109411169, LOC109411161, LOC109426249, LOC109426250	ADIR007903
OG0000142	LOC109401436, LOC109423496	ADIR008287
OG0000142	LOC109423512	ADIR008294
OG0000142	LOC109423498	ADIR003290
OG0000143	LOC115271081, LOC109422534, LOC115271082, LOC109422663, LOC109401093, LOC109422664, LOC109422665, LOC109401117	ADIR004529
OG0000146	LOC109406196, LOC109406203	ADIR015797, ADIR015798
OG0000147	LOC109402061, LOC109421511, LOC109421512	ADIR011038
OG0000148	LOC109421171	ADIR005101
OG0000149	LOC109426259	ADIR007907
OG0000149	LOC109426253	ADIR007908
OG0000150	LOC115266551	ADIR008060
OG0000151	LOC109412232	ADIR015810
OG0000152	LOC109408684	ADIR015582
OG0000152	LOC109408682	ADIR008754, ADIR006715
OG0000152	LOC109420225	ADIR008753
OG0000154	LOC109421560, LOC109409214, LOC109409172	ADIR006364
OG0000155	LOC109416379, LOC109430008, LOC115263419, LOC109430000, LOC115263405, LOC109416399	ADIR005418
OG0000156	LOC115257818, LOC134291361, LOC115261634, LOC115268995, LOC115261629, LOC134291401, LOC134289633, LOC109426273, LOC115255171, LOC134291491, LOC134286123, LOC109402512, LOC134286122	ADIR011505, ADIR011732
OG0000157	LOC109421165	ADIR006810
OG0000160	LOC134290104, LOC109398789, LOC109422909, LOC115268786, LOC115269191, LOC109420971, LOC134284944	ADIR003566
OG0000161	LOC115263538, LOC109415748	ADIR003591
OG0000162	LOC109416740	ADIR000480
OG0000162	LOC109416738	ADIR000482
OG0000163	LOC115264896	ADIR015554
OG0000163	LOC109408545	ADIR015557
OG0000163	LOC109429593	ADIR015556
OG0000164	LOC134285492	ADIR004411
OG0000164	LOC109430385	ADIR004413
OG0000165	LOC115256356, LOC109421988	ADIR001510
OG0000165	LOC115256354	ADIR009841, ADIR005706
OG0000166	LOC109397863	ADIR016085
OG0000166	LOC109418973	ADIR008138
OG0000166	LOC109418976	ADIR016086
OG0000171	LOC134289646	ADIR002126
OG0000172	LOC109414400	ADIR000138
OG0000172	LOC109410572	ADIR000141
OG0000172	LOC109421132	ADIR000131
OG0000174	LOC115256529	ADIR015737
OG0000176	LOC109406092	ADIR003904
OG0000181	LOC109398251, LOC109398238, LOC109419743, LOC109398234, LOC109398239, LOC109419750	ADIR008823, ADIR008822
OG0000182	LOC115259581	ADIR005388
OG0000182	LOC115253802, LOC109400865	ADIR016062
OG0000182	LOC109429307	ADIR016059, ADIR016061
OG0000183	LOC115256357, LOC109407271, LOC109402674, LOC109405890	ADIR006377, ADIR005819
OG0000184	LOC109411770, LOC109416825	ADIR006005
OG0000184	LOC109411788	ADIR015591, ADIR015590
OG0000185	LOC109401553, LOC109402898, LOC109420356	ADIR000196
OG0000185	LOC109419367	ADIR016097
OG0000186	LOC134286171, LOC134291070	ADIR005277, ADIR001987, ADIR004662, ADIR009730, ADIR005658, ADIR001931, ADIR009836, ADIR010821, ADIR004341, ADIR001696
OG0000187	LOC109415488	ADIR002758
OG0000188	LOC109416080, LOC109402955, LOC115264319, LOC109416100, LOC109416077, LOC134292254	ADIR009257, ADIR009256
OG0000189	LOC109398456	ADIR005379
OG0000189	LOC115264694, LOC115264672, LOC115266712	ADIR010508
OG0000190	LOC134287929	ADIR011475
OG0000190	LOC109429277	ADIR011077
OG0000190	LOC109420894	ADIR004999
OG0000191	LOC109425624, LOC115269665	ADIR007485, ADIR014641
OG0000192	LOC115268599	ADIR010909
OG0000192	LOC109407097	ADIR005792
OG0000192	LOC109424591	ADIR000914
OG0000193	LOC109418366, LOC109426146, LOC109426147, LOC109417593	ADIR005330
OG0000194	LOC115268005	ADIR005946
OG0000196	LOC109417644, LOC109410244, LOC115255412, LOC115255411	ADIR010880
OG0000197	LOC109400259, LOC115270469, LOC115255860, LOC115269892, LOC134284776, LOC134287934, LOC115265401, LOC115269304, LOC115267345, LOC109622052, LOC134291582	ADIR010797
OG0000200	LOC109415401	ADIR000096
OG0000200	LOC109410678	ADIR000097
OG0000200	LOC115263783	ADIR006692
OG0000201	LOC115269915, LOC115270394	ADIR004196
OG0000202	LOC109421839, LOC109421838	ADIR003924
OG0000204	LOC109425685, LOC109422978	ADIR015854, ADIR016103, ADIR015857
OG0000204	LOC109422968	ADIR015855
OG0000204	LOC109422959	ADIR015856
OG0000205	LOC109411753	ADIR005975
OG0000206	LOC109414302	ADIR000696
OG0000207	LOC109415428, LOC109402620, LOC109402627, LOC109406592, LOC115253652, LOC109402626	ADIR016010, ADIR016011
OG0000209	LOC109403367	ADIR001972
OG0000210	LOC109402346	ADIR000241
OG0000217	LOC109419237	ADIR010726
OG0000217	LOC109431380	ADIR005194
OG0000218	LOC109421462	ADIR011222
OG0000218	LOC109421387	ADIR011220, ADIR011219
OG0000219	LOC109406989, LOC109397917, LOC109406984, LOC109397915, LOC109406985, LOC109397914, LOC109406992	ADIR001531
OG0000220	LOC109622226, LOC109623014	ADIR006414
OG0000221	LOC109410283, LOC109410284	ADIR011011
OG0000221	LOC109430808, LOC134283951, LOC109424170	ADIR003610
OG0000222	LOC109431412	ADIR000671
OG0000223	LOC109422010	ADIR010046
OG0000224	LOC109414163	ADIR008980, ADIR008979
OG0000225	LOC115257287	ADIR016029
OG0000225	LOC109405426, LOC115257288	ADIR016028, ADIR016027
OG0000226	LOC115267924	ADIR006402, ADIR006405, ADIR006404
OG0000229	LOC115261304, LOC109433437	ADIR002810
OG0000229	LOC109433439	ADIR005804, ADIR005315
OG0000230	LOC109418314, LOC115262116, LOC115254047, LOC115262033, LOC109410481, LOC109418283, LOC109408717	ADIR006854
OG0000231	LOC109413995, LOC109413996, LOC109418733, LOC109418736, LOC109418734, LOC109406485	ADIR007453, ADIR007454
OG0000232	LOC115270106, LOC109404909	ADIR006899, ADIR016139, ADIR016138
OG0000233	LOC109420036, LOC109420035	ADIR010041
OG0000234	LOC109425149	ADIR000732
OG0000234	LOC109429432	ADIR000742
OG0000234	LOC109425152	ADIR000738
OG0000235	LOC109427843, LOC115264006, LOC109431305, LOC115268708, LOC109407713	ADIR002045
OG0000236	LOC109621447	ADIR010024, ADIR000559
OG0000237	LOC134287958	ADIR015947, ADIR015946
OG0000244	LOC109418168	ADIR005063
OG0000244	LOC109419321	ADIR005071
OG0000245	LOC109622453, LOC134285569	ADIR002600
OG0000247	LOC109426621, LOC109426620	ADIR007929, ADIR007928
OG0000247	LOC115265701	ADIR007931
OG0000248	LOC134289022, LOC109420537	ADIR015997
OG0000248	LOC115255069	ADIR015996
OG0000249	LOC115269854, LOC109424258, LOC109428726, LOC109424255, LOC109430243	ADIR001663
OG0000250	LOC109406934	ADIR015773
OG0000250	LOC109427354	ADIR015774
OG0000250	LOC109427342	ADIR015775
OG0000251	LOC109425991, LOC115268065	ADIR002011
OG0000252	LOC109621456, LOC109621460, LOC115267995	ADIR001823
OG0000252	LOC109403797, LOC115263127	ADIR014170, ADIR014169
OG0000253	LOC109402465, LOC115264085, LOC109402468, LOC109423550, LOC115264289	ADIR010453, ADIR010451, ADIR010452
OG0000254	LOC109399873	ADIR005871
OG0000254	LOC109399939	ADIR008307
OG0000255	LOC109413823, LOC109409608, LOC109409607, LOC115255265, LOC109405777	ADIR008975
OG0000256	LOC115261575, LOC109405995	ADIR003547
OG0000257	LOC134287573, LOC109421507, LOC109621297, LOC109421508, LOC109622956	ADIR004880
OG0000260	LOC109428141	ADIR015800, ADIR015801, ADIR015802, ADIR015799, ADIR015803
OG0000263	LOC134286972	ADIR006757, ADIR005295
OG0000265	LOC115253485, LOC109432322	ADIR008235, ADIR008228
OG0000265	LOC109413251	ADIR001201
OG0000266	LOC109405673	ADIR006770
OG0000266	LOC109401438	ADIR000724, ADIR000723
OG0000268	LOC109398343	ADIR005898, ADIR005897
OG0000268	LOC115262167	ADIR005896
OG0000269	LOC109430310, LOC109430352, LOC109412453	ADIR016218
OG0000270	LOC109400467	ADIR001672, ADIR001921
OG0000272	LOC134291341, LOC109418728	ADIR001841, ADIR001852
OG0000272	LOC134291363	ADIR009159
OG0000274	LOC109399255, LOC109399254	ADIR009412
OG0000275	LOC134287955, LOC109412830, LOC134287948, LOC109412883	ADIR010509
OG0000276	LOC109424686, LOC109424707, LOC109424689, LOC134284290, LOC109424688	ADIR002281
OG0000277	LOC134291511, LOC134284201	ADIR002721, ADIR002720
OG0000278	LOC109423828	ADIR001634, ADIR001650, ADIR001649, ADIR001631
OG0000279	LOC115265811	ADIR000638
OG0000279	LOC109432444, LOC109432443	ADIR000639
OG0000280	LOC109398599	ADIR004761, ADIR004760
OG0000285	LOC109412583	ADIR002894
OG0000285	LOC109412586	ADIR015838, ADIR015839
OG0000286	LOC134288579, LOC109419311, LOC115265212, LOC109419306, LOC109419312, LOC109399258, LOC134291529	ADIR005642
OG0000287	LOC109418186	ADIR015574, ADIR015569, ADIR015568, ADIR015575
OG0000288	LOC109622664, LOC109429650, LOC109407355, LOC109417774	ADIR006111, ADIR015495
OG0000289	LOC134289615, LOC134290940, LOC134289612	ADIR016116, ADIR016115
OG0000290	LOC109407690, LOC134283955, LOC115268390	ADIR002288, ADIR002287
OG0000291	LOC109399285	ADIR007609
OG0000291	LOC115254554	ADIR015675
OG0000292	LOC134287964	ADIR009319
OG0000292	LOC134287045	ADIR009317
OG0000293	LOC109402618	ADIR000907
OG0000293	LOC109433336, LOC109402619	ADIR008608
OG0000294	LOC109421880	ADIR002675, ADIR002676
OG0000294	LOC109421875	ADIR005219
OG0000295	LOC109411828, LOC115264669, LOC109411823, LOC109411826, LOC115254136	ADIR016166, ADIR016165, ADIR016167, ADIR016169, ADIR016168
OG0000297	LOC115256454, LOC115256453	ADIR015723
OG0000297	LOC109427517	ADIR015724
OG0000298	LOC109433215, LOC109420107	ADIR007480
OG0000298	LOC109403440	ADIR014006
OG0000299	LOC109420459	ADIR010341
OG0000299	LOC109426283, LOC109426282	ADIR002354
OG0000300	LOC115264061	ADIR003683
OG0000302	LOC109409795, LOC109412825	ADIR016215
OG0000302	LOC109409797	ADIR008218
OG0000303	LOC109423438	ADIR005583
OG0000304	LOC115266210, LOC109622152	ADIR010873
OG0000304	LOC115255403	ADIR010872
OG0000305	LOC109417728	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834
OG0000306	LOC109427899, LOC115263988	ADIR010982, ADIR010985, ADIR010986, ADIR010984
OG0000317	LOC109415509, LOC109400841, LOC109415510, LOC115261320	ADIR008367
OG0000318	LOC115266503	ADIR006689, ADIR007089
OG0000319	LOC109419083	ADIR004939
OG0000319	LOC109404744	ADIR007826
OG0000320	LOC109622184, LOC109403189, LOC109622286, LOC115268871, LOC109403188, LOC109622183	ADIR005272, ADIR005235
OG0000321	LOC134285621	ADIR015863, ADIR015862
OG0000321	LOC134285147	ADIR011556
OG0000324	LOC115268591	ADIR010906
OG0000324	LOC109621385	ADIR010907
OG0000325	LOC109402478, LOC109621375, LOC109410004	ADIR006976
OG0000326	LOC109406334	ADIR005565
OG0000326	LOC115257242	ADIR003426
OG0000327	LOC109407226	ADIR004793
OG0000328	LOC109410565	ADIR001956
OG0000328	LOC115268300	ADIR001957
OG0000329	LOC109429565	ADIR006061, ADIR003916
OG0000329	LOC109429983	ADIR006062
OG0000330	LOC109431569, LOC109431850	ADIR001248
OG0000331	LOC109428018	ADIR009969
OG0000332	LOC109405410	ADIR010199, ADIR010356, ADIR010198
OG0000333	LOC109399400	ADIR004150, ADIR004140, ADIR007959, ADIR003780
OG0000334	LOC134289025	ADIR004979
OG0000336	LOC109408655	ADIR004182
OG0000336	LOC109621296	ADIR004184
OG0000344	LOC109400802	ADIR008368
OG0000344	LOC109430839	ADIR001581
OG0000346	LOC109423283, LOC109428973, LOC109429007, LOC109408824	ADIR002727
OG0000347	LOC109432255, LOC109432313	ADIR011568
OG0000348	LOC115267667, LOC109432235	ADIR005623
OG0000349	LOC134284677	ADIR008567
OG0000349	LOC109621924	ADIR008566
OG0000351	LOC109431534	ADIR000179
OG0000352	LOC109430165, LOC109423357	ADIR005371
OG0000352	LOC109432136	ADIR004606
OG0000353	LOC134284734, LOC109413962, LOC109413964	ADIR007451
OG0000354	LOC109414751	ADIR002946
OG0000354	LOC109425341	ADIR010471
OG0000355	LOC115253987	ADIR006415
OG0000357	LOC109425351	ADIR010484, ADIR010483
OG0000357	LOC109425349	ADIR010481, ADIR010482
OG0000359	LOC109413693, LOC109413684, LOC109413685	ADIR008488
OG0000360	LOC109426006, LOC109426005, LOC115268035	ADIR001997
OG0000361	LOC109398309	ADIR002964
OG0000362	LOC109417695, LOC134289747, LOC109417559, LOC109417694	ADIR015887, ADIR015885
OG0000363	LOC109431669	ADIR015546
OG0000363	LOC109431631, LOC115267493, LOC115259270	ADIR015547
OG0000364	LOC109417614, LOC109426760, LOC109426761	ADIR016198, ADIR016196
OG0000365	LOC109420926	ADIR004665
OG0000366	LOC109419189, LOC109419188, LOC109419155, LOC115262156	ADIR010711
OG0000367	LOC109406417	ADIR003716
OG0000368	LOC115268779, LOC115253469, LOC109412743	ADIR004446
OG0000369	LOC115255405	ADIR010893, ADIR010887
OG0000370	LOC109421677, LOC109426721	ADIR010058
OG0000371	LOC134288495	ADIR007434
