Orthogroup	Aalbopictus_AalbF5	AstephensiUCISS2018
OG0000004	LOC115255836, LOC115262910, LOC115261255, LOC115263152, LOC115263804, LOC134286849, LOC115261266, LOC115261594, LOC134284554, LOC109398605, LOC109398661, LOC115264627, LOC115264619, LOC115264618, LOC115264613, LOC115264602, LOC109420134, LOC109420130, LOC109420106, LOC109431202, LOC109420103	ASTEI20_038110, ASTEI20_036006, ASTEI20_038518, ASTEI20_032486, ASTEI20_032191, ASTEI20_034764, ASTEI20_045351, ASTEI20_043633, ASTEI20_042075, ASTEI20_041491, ASTEI20_037387, ASTEI20_032097
OG0000006	LOC134285105	ASTEI20_034072, ASTEI20_044124, ASTEI20_040743, ASTEI20_032093, ASTEI20_044334, ASTEI20_044113, ASTEI20_036967, ASTEI20_041540, ASTEI20_038144
OG0000006	LOC134288141, LOC134291130	ASTEI20_037811, ASTEI20_032286, ASTEI20_034295, ASTEI20_045632, ASTEI20_037568
OG0000006	LOC134291131	ASTEI20_037125
OG0000008	LOC109426418, LOC134289744, LOC109426424, LOC109403928, LOC134289746, LOC109426415, LOC134291979, LOC134291978, LOC134291018, LOC109403845, LOC109426416, LOC109433244, LOC109424185, LOC115258886, LOC109403897, LOC109426422, LOC115254008, LOC109426419	ASTEI20_045981, ASTEI20_045188
OG0000008	LOC109403786	ASTEI20_044670
OG0000008	LOC109403754, LOC109426407, LOC109426413, LOC109426414, LOC109403795, LOC109426411, LOC109426410, LOC109426408, LOC109426420, LOC134283913	ASTEI20_031005
OG0000009	LOC109405821	ASTEI20_040741
OG0000009	LOC109404520, LOC109413309, LOC115255181, LOC109397503, LOC109420132, LOC115253798, LOC115270076, LOC109404534, LOC109431220, LOC134284429, LOC109623442, LOC134284415, LOC134284432, LOC115264626, LOC134284430, LOC109431199, LOC115264612, LOC109407185, LOC115264620, LOC134284416, LOC115254131, LOC115255182, LOC109621651, LOC109397481, LOC109404592	ASTEI20_044827
OG0000010	LOC115265384, LOC109409744	ASTEI20_038744
OG0000010	LOC109432002, LOC109431992, LOC115265379, LOC109432055	ASTEI20_038323, ASTEI20_041896, ASTEI20_032085, ASTEI20_034511, ASTEI20_045103, ASTEI20_045045, ASTEI20_037148, ASTEI20_039539, ASTEI20_038929, ASTEI20_039292, ASTEI20_037439, ASTEI20_041154, ASTEI20_041324, ASTEI20_040759, ASTEI20_041054, ASTEI20_033362, ASTEI20_037332
OG0000011	LOC109411313	ASTEI20_040335
OG0000011	LOC109397937, LOC109429729, LOC109429746, LOC115266488, LOC109397936, LOC115262102, LOC109408539, LOC109408562, LOC109429602	ASTEI20_040522, ASTEI20_033315, ASTEI20_039922, ASTEI20_042899, ASTEI20_037935, ASTEI20_034583, ASTEI20_039544, ASTEI20_039582, ASTEI20_040205, ASTEI20_032335, ASTEI20_044907
OG0000012	LOC109409461, LOC109409491	ASTEI20_035093
OG0000012	LOC134292035, LOC134288780, LOC134291667, LOC115261253, LOC134284526, LOC134284428, LOC115255203, LOC115264617, LOC115258846, LOC115270054	ASTEI20_044655
OG0000013	LOC109411041, LOC115268685, LOC109398584, LOC109411057, LOC109398582, LOC109411037, LOC109398594, LOC115264164, LOC109411043, LOC109398585, LOC109411044	ASTEI20_044393, ASTEI20_036070, ASTEI20_034401
OG0000013	LOC109429135	ASTEI20_042039
OG0000013	LOC109409015	ASTEI20_033404
OG0000013	LOC109409017, LOC109429134	ASTEI20_042237, ASTEI20_043320
OG0000014	LOC109621611, LOC109400072, LOC109426996, LOC109419319	ASTEI20_035937
OG0000014	LOC134287244, LOC134284611, LOC115263125, LOC109403796, LOC134284614, LOC134284612, LOC134284613, LOC109416944, LOC109430246	ASTEI20_030803, ASTEI20_045732, ASTEI20_043799, ASTEI20_033207, ASTEI20_037522, ASTEI20_042376, ASTEI20_038148, ASTEI20_041712
OG0000015	LOC109401312	ASTEI20_044899, ASTEI20_031600, ASTEI20_037282, ASTEI20_034188
OG0000016	LOC134284486, LOC134284488, LOC134284487, LOC134284484, LOC134284485, LOC134284267, LOC134284491, LOC134284266, LOC134284489, LOC134284490, LOC109397098, LOC109407316	ASTEI20_031052, ASTEI20_044106, ASTEI20_037566, ASTEI20_040856, ASTEI20_042351
OG0000016	LOC109411296, LOC109622023	ASTEI20_033956
OG0000017	LOC115264603, LOC115255220, LOC115261269, LOC115254888, LOC115270071	ASTEI20_041579
OG0000017	LOC115255224, LOC109431191, LOC115264614, LOC115264607, LOC109404524, LOC109404558, LOC109431229, LOC109404554, LOC115264622, LOC109397483, LOC115264629, LOC109431226, LOC109431205, LOC115270064, LOC115261275, LOC109407174, LOC109420100, LOC109397470	ASTEI20_039449
OG0000018	LOC134287442	ASTEI20_033285, ASTEI20_031707
OG0000018	LOC115256715	ASTEI20_045349, ASTEI20_039025, ASTEI20_040652, ASTEI20_038491
OG0000018	LOC115260339	ASTEI20_042175, ASTEI20_035312, ASTEI20_037388, ASTEI20_044061, ASTEI20_045497, ASTEI20_043074
OG0000020	LOC109406040	ASTEI20_041350, ASTEI20_045487, ASTEI20_041417, ASTEI20_041247, ASTEI20_030966, ASTEI20_044090, ASTEI20_042722, ASTEI20_033349, ASTEI20_033857, ASTEI20_043843, ASTEI20_038201
OG0000021	LOC109404004	ASTEI20_031602
OG0000021	LOC115267287	ASTEI20_042507
OG0000021	LOC115253654	ASTEI20_033844
OG0000021	LOC109432057	ASTEI20_036164
OG0000021	LOC109432714	ASTEI20_042454
OG0000021	LOC109412625	ASTEI20_044345
OG0000021	LOC109401551	ASTEI20_032692
OG0000021	LOC109412623	ASTEI20_040880
OG0000022	LOC134286212, LOC134286359, LOC134285118, LOC134286958, LOC134290726, LOC134284928, LOC134286095, LOC109417500, LOC134290725, LOC115255489, LOC134289564, LOC134290968, LOC134286970, LOC134286246, LOC134291721, LOC134286728, LOC134284532, LOC134284533, LOC134284534, LOC134284537, LOC134291750, LOC134290772, LOC134286142, LOC134286923, LOC134290359, LOC134284635, LOC134290828, LOC134291592, LOC134284049, LOC134291500, LOC134285978, LOC134288710, LOC134287670, LOC134291910, LOC134285655	ASTEI20_044612, ASTEI20_045722
OG0000023	LOC109400700, LOC109399437, LOC115266810, LOC115266791	ASTEI20_033419, ASTEI20_039293, ASTEI20_044320, ASTEI20_035887, ASTEI20_034207, ASTEI20_038660
OG0000023	LOC109400762, LOC109399431, LOC109400704, LOC115270033, LOC109400701, LOC109400768	ASTEI20_035807
OG0000024	LOC109408695, LOC109408675	ASTEI20_036317
OG0000024	LOC109403004, LOC109408692	ASTEI20_030796
OG0000024	LOC109408663	ASTEI20_042294
OG0000024	LOC134284686, LOC109408662	ASTEI20_032042, ASTEI20_038906
OG0000024	LOC109408659	ASTEI20_045971, ASTEI20_035495
OG0000025	LOC134286324, LOC134286331	ASTEI20_039096
OG0000025	LOC134290577, LOC134286864, LOC134289916, LOC134286889, LOC134290584, LOC134284395, LOC134287511, LOC134286775, LOC134286198, LOC134291886, LOC134286947, LOC134286572, LOC134290440, LOC134290236, LOC134286498, LOC134291011, LOC134290597, LOC134286599, LOC134286662, LOC134290907, LOC134289411, LOC134290516, LOC134290258, LOC134286953	ASTEI20_036374, ASTEI20_044660
OG0000026	LOC115270199	ASTEI20_037139
OG0000026	LOC115269863	ASTEI20_036805
OG0000026	LOC109431713, LOC115267476, LOC115260125	ASTEI20_033037
OG0000026	LOC109622447	ASTEI20_038151
OG0000027	LOC109398505, LOC109406559, LOC109406548, LOC109406550, LOC109406555	ASTEI20_032352
OG0000027	LOC109406551, LOC109398494, LOC109417369, LOC109417371, LOC109398522, LOC109398512, LOC109398504, LOC109406556, LOC109398492, LOC109406557, LOC109406553, LOC109417368, LOC115262615, LOC115262616	ASTEI20_038580, ASTEI20_036720
OG0000028	LOC134288151, LOC134286380	ASTEI20_031230
OG0000030	LOC109420622, LOC109420540, LOC109417125, LOC115255076, LOC134289023	ASTEI20_038223
OG0000031	LOC134289430, LOC134286231, LOC109405467, LOC134286842, LOC134284154, LOC134292214, LOC134290284, LOC134290031, LOC134286930, LOC134291532, LOC109417163, LOC109416565, LOC115256360, LOC134286808, LOC134291204, LOC134291999, LOC134292220, LOC109430144, LOC134291446, LOC134290855, LOC109622978, LOC134289241, LOC134288973, LOC134287887, LOC134290102, LOC134288713, LOC134286257, LOC134289257, LOC134286814, LOC134291789, LOC134285598	ASTEI20_045661, ASTEI20_042458, ASTEI20_045950, ASTEI20_040834, ASTEI20_042405, ASTEI20_031598
OG0000032	LOC134286566	ASTEI20_045092
OG0000032	LOC134286685, LOC134289497, LOC134288537, LOC134290314, LOC109427185	ASTEI20_041238
OG0000032	LOC134290627, LOC134286565	ASTEI20_037767
OG0000033	LOC134290105, LOC109416028	ASTEI20_045015
OG0000033	LOC109414923	ASTEI20_034999
OG0000033	LOC109416027, LOC109414897, LOC109416024, LOC109416023	ASTEI20_036373, ASTEI20_031788, ASTEI20_044530, ASTEI20_042735
OG0000034	LOC109623111	ASTEI20_040625
OG0000035	LOC109431735, LOC109419479, LOC115269187	ASTEI20_034591, ASTEI20_038434, ASTEI20_044858, ASTEI20_040523, ASTEI20_035326, ASTEI20_036996, ASTEI20_033591, ASTEI20_034577, ASTEI20_044193, ASTEI20_030889, ASTEI20_040393, ASTEI20_037776, ASTEI20_045503, ASTEI20_045781, ASTEI20_042171, ASTEI20_041634, ASTEI20_035874
OG0000037	LOC115267800	ASTEI20_038052, ASTEI20_032497, ASTEI20_031459, ASTEI20_042647, ASTEI20_041766, ASTEI20_039477, ASTEI20_034438, ASTEI20_044399, ASTEI20_045557, ASTEI20_042942
OG0000038	LOC134290986	ASTEI20_034060, ASTEI20_031917, ASTEI20_036981, ASTEI20_043988, ASTEI20_040884
OG0000038	LOC134288173, LOC109406651, LOC115255698, LOC134286446	ASTEI20_038945
OG0000038	LOC134290525	ASTEI20_036390
OG0000039	LOC115267561, LOC109404256, LOC109416577, LOC109429852, LOC109433331, LOC109431626, LOC109401619, LOC115260826	ASTEI20_041961, ASTEI20_034016, ASTEI20_042151, ASTEI20_039200, ASTEI20_040849, ASTEI20_035166, ASTEI20_036321, ASTEI20_037293
OG0000040	LOC109426099, LOC109429627, LOC109623406, LOC109623405	ASTEI20_037172
OG0000040	LOC109429616, LOC109424203	ASTEI20_034704, ASTEI20_040829, ASTEI20_045547, ASTEI20_039503
OG0000041	LOC109623326	ASTEI20_038827
OG0000041	LOC109623385	ASTEI20_038756
OG0000041	LOC109623384, LOC109623325	ASTEI20_034624
OG0000041	LOC109426866	ASTEI20_036497
OG0000042	LOC109402120	ASTEI20_044170, ASTEI20_041547, ASTEI20_038339
OG0000045	LOC115254791, LOC115266674, LOC134288587, LOC115262239, LOC115260912, LOC109400123, LOC134286497, LOC134288132, LOC134290932, LOC134286194, LOC109424601, LOC134284219, LOC115265664, LOC115258448, LOC134289039, LOC134287579, LOC109402167, LOC115255999, LOC134286347, LOC134285044, LOC134286727, LOC115269455, LOC134288646, LOC134284322, LOC134291242, LOC134291243, LOC134284310	ASTEI20_038821
OG0000046	LOC109622330, LOC109621357, LOC109622339	ASTEI20_033536, ASTEI20_045137
OG0000048	LOC109428624, LOC109422505, LOC109420363, LOC109401660, LOC109418726, LOC134292261	ASTEI20_036610, ASTEI20_030791, ASTEI20_041758, ASTEI20_034337, ASTEI20_034409
OG0000049	LOC115257883	ASTEI20_044950
OG0000049	LOC115257642	ASTEI20_037621
OG0000049	LOC115253560	ASTEI20_031880, ASTEI20_045883
OG0000049	LOC109403394	ASTEI20_039499
OG0000050	LOC134285325, LOC134289991	ASTEI20_036104, ASTEI20_039399
OG0000051	LOC134287878, LOC134286741, LOC134286742, LOC134287876, LOC134286737, LOC134287877	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103
OG0000052	LOC109418812	ASTEI20_043416
OG0000052	LOC109418979, LOC109398291, LOC109398344, LOC109399682, LOC109418960	ASTEI20_035536
OG0000053	LOC134290123	ASTEI20_044934, ASTEI20_043576, ASTEI20_040463, ASTEI20_037018, ASTEI20_032861, ASTEI20_037570, ASTEI20_036072
OG0000055	LOC109425568	ASTEI20_041788, ASTEI20_036817
OG0000055	LOC109400253, LOC115265081, LOC109423617, LOC109400264, LOC115265080, LOC115266509	ASTEI20_036856, ASTEI20_032399, ASTEI20_042765, ASTEI20_041371, ASTEI20_043376
OG0000056	LOC134285551, LOC109427478	ASTEI20_042561
OG0000056	LOC134284167, LOC134291894, LOC134289921, LOC134285552, LOC134285498, LOC134291306, LOC134290404, LOC134288002	ASTEI20_043469
OG0000056	LOC134289642, LOC134288597, LOC134288754, LOC134285059	ASTEI20_043631, ASTEI20_034068, ASTEI20_040541, ASTEI20_037672, ASTEI20_032489
OG0000057	LOC109400285, LOC109400301, LOC134286750, LOC109400303, LOC109425074	ASTEI20_031438, ASTEI20_044408, ASTEI20_032987, ASTEI20_039149, ASTEI20_036909, ASTEI20_043801, ASTEI20_033403, ASTEI20_041738
OG0000058	LOC109429974	ASTEI20_035290
OG0000058	LOC109429556, LOC109429973	ASTEI20_043943, ASTEI20_042767
OG0000058	LOC109429562	ASTEI20_037097
OG0000058	LOC109429976	ASTEI20_045123
OG0000059	LOC115263209	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207, ASTEI20_040754
OG0000059	LOC109397955	ASTEI20_037464, ASTEI20_043703
OG0000059	LOC109398113	ASTEI20_034096, ASTEI20_032263, ASTEI20_039938, ASTEI20_036541
OG0000060	LOC109400289, LOC109425201, LOC109425203, LOC109425111, LOC109425112	ASTEI20_037656
OG0000060	LOC109400353, LOC109400352, LOC109425109, LOC109400350, LOC109425107	ASTEI20_045967
OG0000061	LOC115262216, LOC109407552	ASTEI20_045924, ASTEI20_044992
OG0000061	LOC109426588	ASTEI20_042918
OG0000061	LOC109412270, LOC109397255	ASTEI20_042895
OG0000062	LOC115259541, LOC134285567	ASTEI20_044163, ASTEI20_037850, ASTEI20_042947, ASTEI20_042271, ASTEI20_035743, ASTEI20_044072
OG0000063	LOC109399308, LOC109399296	ASTEI20_042329, ASTEI20_039640
OG0000063	LOC109430420, LOC109405725, LOC109413826, LOC109428843, LOC109420947, LOC109399306, LOC115261478, LOC109426952, LOC109405771	ASTEI20_041397
OG0000064	LOC109407215, LOC109407216, LOC109405887, LOC109424210, LOC109412709, LOC134285929	ASTEI20_036363, ASTEI20_032269
OG0000064	LOC109433412	ASTEI20_045444
OG0000067	LOC109399585	ASTEI20_033258
OG0000067	LOC109426033, LOC109426036	ASTEI20_038682
OG0000067	LOC109426037	ASTEI20_040377
OG0000067	LOC109410996, LOC109410901	ASTEI20_044258
OG0000067	LOC109426035	ASTEI20_046110
OG0000068	LOC109399171	ASTEI20_040313
OG0000068	LOC109413965, LOC109413968, LOC109398683, LOC109405051, LOC109413969	ASTEI20_042702
OG0000068	LOC109399209	ASTEI20_045828
OG0000068	LOC109414002	ASTEI20_032296
OG0000069	LOC134287966	ASTEI20_035338
OG0000069	LOC109420427, LOC115257481, LOC115257619	ASTEI20_038112, ASTEI20_039804, ASTEI20_031615
OG0000071	LOC109401104	ASTEI20_044717
OG0000071	LOC109417603, LOC109402034	ASTEI20_033179
OG0000071	LOC109419909	ASTEI20_041551, ASTEI20_037620, ASTEI20_035007
OG0000072	LOC109418556	ASTEI20_043809
OG0000072	LOC109422743	ASTEI20_038057
OG0000072	LOC115261630	ASTEI20_045176
OG0000072	LOC109403768, LOC109403788	ASTEI20_045641, ASTEI20_039665
OG0000073	LOC109433068	ASTEI20_036269
OG0000073	LOC109433069	ASTEI20_033743
OG0000073	LOC109433130	ASTEI20_037565
OG0000074	LOC109399202, LOC109399162	ASTEI20_035123, ASTEI20_041942, ASTEI20_036102, ASTEI20_035843, ASTEI20_043301
OG0000074	LOC109399205	ASTEI20_031364
OG0000075	LOC109424138, LOC109430779, LOC109424181, LOC115263087, LOC109424139, LOC115263088, LOC115263086, LOC115263362	ASTEI20_043256, ASTEI20_044173, ASTEI20_045639, ASTEI20_041998, ASTEI20_037835
OG0000076	LOC109433173, LOC109433174	ASTEI20_040347, ASTEI20_035431, ASTEI20_040002, ASTEI20_045335
OG0000077	LOC109431700	ASTEI20_041229
OG0000077	LOC109428459	ASTEI20_037597
OG0000077	LOC115267608, LOC115267631, LOC115267607	ASTEI20_042788, ASTEI20_038766
OG0000077	LOC115267620	ASTEI20_034638
OG0000079	LOC109422640	ASTEI20_042516
OG0000079	LOC109422560, LOC109399710	ASTEI20_040435, ASTEI20_038502, ASTEI20_045603
OG0000079	LOC109418231, LOC109428005, LOC109422721	ASTEI20_045836
OG0000080	LOC115265252, LOC109417572, LOC109417573	ASTEI20_045083
OG0000080	LOC109417818	ASTEI20_037839
OG0000080	LOC109420119, LOC109420142	ASTEI20_035820, ASTEI20_038748
OG0000081	LOC115265020	ASTEI20_044597
OG0000081	LOC109422446, LOC115265018, LOC109422423, LOC115265016	ASTEI20_033899, ASTEI20_041643, ASTEI20_041167
OG0000081	LOC109425727	ASTEI20_045891
OG0000082	LOC109408162	ASTEI20_035318
OG0000083	LOC134290847, LOC134288235, LOC134290112, LOC134290353, LOC134290810, LOC109433001, LOC115260585, LOC134292119, LOC134288451, LOC134286025, LOC115257819, LOC115266822, LOC115265219, LOC134284792, LOC134292192, LOC115259409, LOC134290637, LOC115265497, LOC115268089, LOC134287734, LOC134286337, LOC134290904, LOC109430659, LOC134290905, LOC134291563, LOC134286132	ASTEI20_039769, ASTEI20_038111, ASTEI20_041140, ASTEI20_040249, ASTEI20_033090, ASTEI20_044624
OG0000083	LOC134286213, LOC134286020	ASTEI20_038418
OG0000085	LOC109412325, LOC109422704, LOC109422705, LOC109424438, LOC115254680	ASTEI20_033228, ASTEI20_037988, ASTEI20_039794
OG0000086	LOC109402934	ASTEI20_036600
OG0000086	LOC115258102, LOC109405184, LOC109426350, LOC115254457	ASTEI20_036223, ASTEI20_035207, ASTEI20_037451
OG0000086	LOC109399012, LOC109622980	ASTEI20_043950
OG0000088	LOC115257675, LOC115257694	ASTEI20_042317
OG0000088	LOC109433460, LOC115267981, LOC109433519, LOC109418404, LOC109419766	ASTEI20_035957, ASTEI20_030868
OG0000089	LOC109426269, LOC134289925	ASTEI20_035269
OG0000089	LOC134289926	ASTEI20_031474, ASTEI20_033656, ASTEI20_034314, ASTEI20_038747
OG0000089	LOC134292138	ASTEI20_043719
OG0000090	LOC109430577, LOC109424283, LOC109428699, LOC109428697	ASTEI20_044859, ASTEI20_033811
OG0000090	LOC109399239	ASTEI20_037367, ASTEI20_042053
OG0000090	LOC109429051	ASTEI20_044104, ASTEI20_039435
OG0000091	LOC109429227	ASTEI20_043825
OG0000096	LOC109422254	ASTEI20_039679
OG0000096	LOC109414298	ASTEI20_033293
OG0000096	LOC115264212	ASTEI20_044580
OG0000096	LOC109422250	ASTEI20_044690
OG0000097	LOC109433277	ASTEI20_043690, ASTEI20_041240, ASTEI20_045034, ASTEI20_037688, ASTEI20_043748
OG0000098	LOC115258660, LOC109419553, LOC109409374, LOC115258766, LOC115260917	ASTEI20_030897, ASTEI20_032470, ASTEI20_035940
OG0000100	LOC134285758, LOC109407031	ASTEI20_034171, ASTEI20_031391, ASTEI20_030982, ASTEI20_034565
OG0000101	LOC134290421, LOC134283965, LOC134286528, LOC134286992, LOC134285704, LOC134288420, LOC115256751, LOC134291238, LOC134285106, LOC134285342, LOC134290922, LOC134290420, LOC134290133, LOC134290194, LOC134286036, LOC134286986, LOC134290593, LOC134288995, LOC134290578, LOC134290574, LOC134291565, LOC134290482, LOC134290278, LOC134286210, LOC134286991, LOC134286570, LOC134288034	ASTEI20_033538
OG0000102	LOC134290886	ASTEI20_035171
OG0000102	LOC134289997, LOC134290347	ASTEI20_039927
OG0000102	LOC134291456, LOC134289641, LOC134290746, LOC134285961, LOC134286933	ASTEI20_035425, ASTEI20_045691, ASTEI20_039513, ASTEI20_034327, ASTEI20_035504, ASTEI20_041256, ASTEI20_045746, ASTEI20_040357, ASTEI20_043148, ASTEI20_031935, ASTEI20_042402, ASTEI20_038427, ASTEI20_042289, ASTEI20_042691, ASTEI20_032065, ASTEI20_042092, ASTEI20_038641, ASTEI20_041003, ASTEI20_042981, ASTEI20_042851, ASTEI20_034598, ASTEI20_031960, ASTEI20_039536, ASTEI20_040551, ASTEI20_032971, ASTEI20_038946, ASTEI20_036482, ASTEI20_038261, ASTEI20_039092, ASTEI20_041885
OG0000104	LOC109421248, LOC109421247, LOC109410842, LOC109421246	ASTEI20_031093
OG0000104	LOC109410832, LOC109427506, LOC109427507	ASTEI20_031442, ASTEI20_031279
OG0000107	LOC134285144, LOC115269113, LOC115269114, LOC109397170, LOC134285135, LOC134285132, LOC134285129, LOC134287048, LOC134284153, LOC115264363, LOC115265698	ASTEI20_032780, ASTEI20_041111, ASTEI20_036614
OG0000108	LOC109429333, LOC109421068, LOC109429251, LOC109421067, LOC109429469, LOC115258785, LOC109421073, LOC109428607, LOC109421072	ASTEI20_031790, ASTEI20_039367
OG0000109	LOC134288467, LOC109417980	ASTEI20_035723
OG0000109	LOC109402397, LOC134284738	ASTEI20_041902
OG0000109	LOC109402396, LOC109402395	ASTEI20_036023
OG0000111	LOC115265527, LOC115253427, LOC115265528, LOC115265526, LOC109432478, LOC115253746	ASTEI20_041472, ASTEI20_034526, ASTEI20_032750, ASTEI20_033872, ASTEI20_035732, ASTEI20_035816, ASTEI20_040937, ASTEI20_037402, ASTEI20_040392
OG0000114	LOC109421190, LOC109432449, LOC115259293, LOC109432455, LOC109432439, LOC109421209	ASTEI20_031785, ASTEI20_040627
OG0000115	LOC109413498	ASTEI20_031924
OG0000115	LOC109410773	ASTEI20_034594
OG0000116	LOC115262061	ASTEI20_039992
OG0000116	LOC115262073	ASTEI20_046113, ASTEI20_045875, ASTEI20_036918
OG0000116	LOC109400294	ASTEI20_044702
OG0000117	LOC109398787, LOC134290019	ASTEI20_032003, ASTEI20_035916
OG0000119	LOC109409689	ASTEI20_031989
OG0000119	LOC109409692, LOC109409691, LOC109409690, LOC134287661	ASTEI20_033264, ASTEI20_035228
OG0000120	LOC109402840, LOC109406119, LOC115261111	ASTEI20_031113
OG0000120	LOC115261112	ASTEI20_040639, ASTEI20_043620
OG0000127	LOC109399383, LOC109430899, LOC115263186, LOC115263188, LOC115263189, LOC109411349	ASTEI20_045429, ASTEI20_037750, ASTEI20_032628, ASTEI20_039828
OG0000128	LOC109396992	ASTEI20_039421
OG0000128	LOC109397004	ASTEI20_041892
OG0000128	LOC115262796	ASTEI20_040479, ASTEI20_031766
OG0000129	LOC109428071, LOC109418295, LOC109418292, LOC109418299	ASTEI20_032516, ASTEI20_039120, ASTEI20_038234
OG0000129	LOC109421658	ASTEI20_042029, ASTEI20_041805
OG0000130	LOC109426323	ASTEI20_041330
OG0000130	LOC109421326	ASTEI20_037430, ASTEI20_043872
OG0000131	LOC109420718	ASTEI20_038615
OG0000131	LOC109419859	ASTEI20_045120
OG0000131	LOC109420609	ASTEI20_034975
OG0000131	LOC109420605	ASTEI20_033405
OG0000132	LOC109397421	ASTEI20_035199, ASTEI20_034238
OG0000133	LOC109425940	ASTEI20_033689
OG0000133	LOC109433309, LOC134291485	ASTEI20_035006, ASTEI20_045111
OG0000134	LOC115267595, LOC109399470	ASTEI20_035158
OG0000134	LOC115267583	ASTEI20_041705, ASTEI20_031508
OG0000136	LOC109418558, LOC109413120, LOC109400919	ASTEI20_031418
OG0000136	LOC109401827, LOC109412093, LOC109404625	ASTEI20_044015
OG0000141	LOC115266541, LOC109426247, LOC115266539, LOC109411169, LOC109411161, LOC109426249, LOC109426250	ASTEI20_038928, ASTEI20_042572
OG0000142	LOC109401436, LOC109423496	ASTEI20_030926, ASTEI20_031775
OG0000142	LOC109423512	ASTEI20_039078
OG0000142	LOC109423498	ASTEI20_035078
OG0000143	LOC109422665, LOC109401117	ASTEI20_032430
OG0000144	LOC109404515, LOC109398775, LOC134290966, LOC109406348, LOC109397614, LOC134290793, LOC115260148, LOC134290866, LOC115259426, LOC134289714, LOC115264397	ASTEI20_034475, ASTEI20_039240, ASTEI20_041604, ASTEI20_037626, ASTEI20_039453, ASTEI20_039334, ASTEI20_035942
OG0000146	LOC109406196, LOC109406203	ASTEI20_044971, ASTEI20_043034
OG0000147	LOC109402061, LOC109421511, LOC109421512	ASTEI20_039262, ASTEI20_034963, ASTEI20_034030
OG0000148	LOC115265114	ASTEI20_040041, ASTEI20_032218
OG0000148	LOC109421171	ASTEI20_036802
OG0000149	LOC109426259	ASTEI20_032560
OG0000149	LOC109426253	ASTEI20_037704, ASTEI20_045413
OG0000150	LOC115266551	ASTEI20_036593
OG0000151	LOC109412232	ASTEI20_031955
OG0000152	LOC109408684	ASTEI20_033865
OG0000152	LOC109420225	ASTEI20_040792
