Orthogroup	Aalbopictus_AalbF5	CquinquefasciatusJHB2020
OG0000002	LOC109623203	CQUJHB017007
OG0000002	LOC115269310, LOC109623208	CQUJHB007871
OG0000002	LOC115269311	CQUJHB001163
OG0000002	LOC109421559	CQUJHB009563, CQUJHB004450, CQUJHB000426
OG0000002	LOC109409168	CQUJHB002682
OG0000002	LOC109398259, LOC109398237	CQUJHB008354
OG0000002	LOC109425972	CQUJHB018216, CQUJHB003470, CQUJHB001965, CQUJHB009062, CQUJHB000282, CQUJHB001511, CQUJHB006269
OG0000002	LOC109421555, LOC109421477	CQUJHB016230, CQUJHB010731
OG0000002	LOC109421549	CQUJHB000319
OG0000002	LOC109409164, LOC109421553	CQUJHB014958
OG0000003	LOC109406993	CQUJHB006472, CQUJHB009886
OG0000003	LOC134286445, LOC134287999	CQUJHB007414
OG0000003	LOC134286363, LOC134288671, LOC115270324, LOC134288876	CQUJHB009648
OG0000003	LOC134290976, LOC134287605, LOC134289663, LOC134290825, LOC134284111, LOC134290821	CQUJHB001690
OG0000003	LOC134288869	CQUJHB009884, CQUJHB004784
OG0000003	LOC134290846	CQUJHB017576
OG0000003	LOC134288099, LOC134288468	CQUJHB014196, CQUJHB010120
OG0000003	LOC115259248	CQUJHB014856
OG0000003	LOC134288074, LOC134288660, LOC134290802, LOC134286847, LOC134289596, LOC109404776	CQUJHB002361
OG0000003	LOC115260714, LOC134284100	CQUJHB007185
OG0000003	LOC134288397	CQUJHB001475
OG0000003	LOC109425569, LOC115269856, LOC134289785, LOC134290234, LOC115259186, LOC109401733	CQUJHB001577, CQUJHB000234
OG0000003	LOC134287668, LOC134290869, LOC134286416, LOC134290695, LOC134287787, LOC134284039, LOC134284958, LOC109398612, LOC134287950, LOC134284742, LOC134288900, LOC134286312, LOC134290579, LOC134287532, LOC134286006, LOC134291858, LOC134290045	CQUJHB015512, CQUJHB001017
OG0000003	LOC134285622, LOC134286328	CQUJHB008833
OG0000003	LOC134290508, LOC115268916, LOC134287570, LOC134286687, LOC134290952, LOC134285216, LOC134285947	CQUJHB001275, CQUJHB013591
OG0000003	LOC134289020, LOC134290384, LOC134286371, LOC134286175, LOC134290947, LOC115267362, LOC134289555, LOC134287087, LOC115254827	CQUJHB017073
OG0000004	LOC115255836, LOC115262910, LOC115261255, LOC115263152, LOC115263804, LOC134286849, LOC115261266, LOC115261594, LOC134284554	CQUJHB011428, CQUJHB011352, CQUJHB009309, CQUJHB007713, CQUJHB003640
OG0000004	LOC109398605, LOC109398661	CQUJHB004840, CQUJHB009344, CQUJHB007777, CQUJHB016412
OG0000004	LOC115264627, LOC115264619, LOC115264618, LOC115264613, LOC115264602, LOC109420134, LOC109420130, LOC109420106, LOC109431202, LOC109420103	CQUJHB007447
OG0000004	LOC109404529, LOC109621664, LOC109621654, LOC134290285, LOC134284595, LOC109404521, LOC115255202, LOC109413199, LOC134284571, LOC109397482, LOC115255205, LOC134284418, LOC134284568, LOC134284569, LOC134284572, LOC134284567, LOC134284565, LOC134284431, LOC115270078, LOC134284417, LOC115255208, LOC115270068, LOC115270065, LOC115270075, LOC134284566, LOC134284570, LOC134284423, LOC115267256, LOC115255183, LOC109397487	CQUJHB007910, CQUJHB015959, CQUJHB001352, CQUJHB014660, CQUJHB004992
OG0000005	LOC109413299, LOC134284557, LOC134284427, LOC134284558, LOC115255201, LOC134284413, LOC115270053, LOC134284559, LOC109397491, LOC134284561, LOC134284412, LOC109397473, LOC115270063, LOC115270066, LOC115270073, LOC134284555, LOC115270082, LOC134284422, LOC109407175, LOC109404569, LOC134284560, LOC134284414, LOC134284556, LOC109397475, LOC109621646, LOC134284562	CQUJHB001878, CQUJHB005849, CQUJHB005832
OG0000006	LOC134291131	CQUJHB000743
OG0000008	LOC109426418, LOC134289744	CQUJHB001648
OG0000008	LOC109426424	CQUJHB013802
OG0000008	LOC134291978, LOC134291018, LOC109403845, LOC109426416	CQUJHB008227, CQUJHB003756
OG0000008	LOC109433244, LOC109424185, LOC115258886	CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915
OG0000008	LOC109403897, LOC109426422, LOC115254008, LOC109426419	CQUJHB018038
OG0000008	LOC109403786	CQUJHB017383
OG0000008	LOC109403754, LOC109426407	CQUJHB016685, CQUJHB005146
OG0000008	LOC109426413, LOC109426414	CQUJHB012207
OG0000008	LOC109426408	CQUJHB014535, CQUJHB007135
OG0000008	LOC109426420, LOC134283913	CQUJHB011337
OG0000009	LOC109621765, LOC115263837, LOC115262868, LOC134287304, LOC115261271, LOC115261264, LOC115263330	CQUJHB017603
OG0000009	LOC109404502	CQUJHB014894, CQUJHB006007
OG0000009	LOC115264628	CQUJHB008990
OG0000009	LOC134284416, LOC115254131, LOC115255182	CQUJHB010981
OG0000009	LOC109621651	CQUJHB011165
OG0000010	LOC109432023	CQUJHB010392
OG0000010	LOC115265384	CQUJHB008428
OG0000010	LOC109409744	CQUJHB007624
OG0000010	LOC109432002, LOC109431992, LOC115265379, LOC109432055	CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374
OG0000010	LOC109432112, LOC109432077	CQUJHB000883, CQUJHB007232, CQUJHB017919, CQUJHB015579
OG0000011	LOC109411313	CQUJHB017782
OG0000011	LOC109397937, LOC109429729, LOC109429746, LOC115266488, LOC109397936, LOC115262102, LOC109408539, LOC109408562, LOC109429602	CQUJHB009406, CQUJHB008703, CQUJHB007209, CQUJHB003154, CQUJHB016900, CQUJHB006977, CQUJHB006084, CQUJHB014128, CQUJHB014298, CQUJHB009992, CQUJHB003864, CQUJHB007951, CQUJHB009382, CQUJHB002707
OG0000012	LOC109409461, LOC109409491	CQUJHB005776, CQUJHB000447
OG0000012	LOC134288780	CQUJHB015331
OG0000012	LOC134284526	CQUJHB006695, CQUJHB006332, CQUJHB001229, CQUJHB004173
OG0000013	LOC109411041, LOC115268685, LOC109398584, LOC109411057, LOC109398582, LOC109411037, LOC109398594, LOC115264164, LOC109411043, LOC109398585, LOC109411044	CQUJHB005557, CQUJHB003968
OG0000013	LOC109429135	CQUJHB001230
OG0000013	LOC109409015	CQUJHB017291
OG0000013	LOC109409017, LOC109429134	CQUJHB016730, CQUJHB002448, CQUJHB016895
OG0000014	LOC109621611, LOC109400072	CQUJHB010535
OG0000014	LOC109426996	CQUJHB016652
OG0000014	LOC109419319	CQUJHB005213, CQUJHB010035, CQUJHB004375, CQUJHB007396, CQUJHB004496, CQUJHB013428, CQUJHB011375, CQUJHB017103, CQUJHB002299, CQUJHB002262, CQUJHB000349, CQUJHB009868, CQUJHB010683, CQUJHB003432, CQUJHB007349, CQUJHB000429, CQUJHB012022, CQUJHB011118
OG0000014	LOC134287244, LOC134284611, LOC115263125, LOC109403796, LOC134284614, LOC134284612, LOC134284613, LOC109416944, LOC109430246	CQUJHB005028
OG0000015	LOC109428787	CQUJHB008332
OG0000015	LOC109401312	CQUJHB017458
OG0000015	LOC109399647	CQUJHB004989, CQUJHB013505
OG0000015	LOC109400779, LOC115267833, LOC109400783, LOC115267832, LOC109400782, LOC109399572, LOC109400780, LOC109400781, LOC109399573, LOC115265241, LOC109403546, LOC109422912, LOC109399576, LOC115267834	CQUJHB001525, CQUJHB015763, CQUJHB012741
OG0000016	LOC134284486, LOC134284488, LOC134284487, LOC134284484, LOC134284485	CQUJHB002864, CQUJHB014022, CQUJHB013033, CQUJHB008355, CQUJHB010597
OG0000016	LOC134284267	CQUJHB015483, CQUJHB013841, CQUJHB014607
OG0000016	LOC109397098	CQUJHB001605
OG0000016	LOC109407316	CQUJHB016745, CQUJHB011147, CQUJHB016507
OG0000016	LOC109411296	CQUJHB001667, CQUJHB007454, CQUJHB003219, CQUJHB007767
OG0000016	LOC109622023	CQUJHB016639
OG0000017	LOC115255204, LOC115264603, LOC115255220, LOC115261269, LOC115254888, LOC115270071, LOC109420140	CQUJHB001516
OG0000017	LOC109431229, LOC109404554	CQUJHB006644
OG0000017	LOC109420100	CQUJHB017511
OG0000018	LOC115257567, LOC115255481, LOC115259833, LOC115255035, LOC109417501, LOC115261637	CQUJHB002387, CQUJHB001966
OG0000018	LOC109621615	CQUJHB005508
OG0000019	LOC134289860, LOC134289648, LOC134289865, LOC134287569, LOC134290246, LOC134286922, LOC134290119, LOC134290688, LOC134286092, LOC134291950, LOC134290497, LOC134286074, LOC134290146, LOC134286938, LOC134289657, LOC134286035, LOC134290114, LOC134288517, LOC134290225, LOC134286676, LOC134286375, LOC134288519, LOC134290224, LOC134290941, LOC134290903	CQUJHB010923, CQUJHB017568, CQUJHB012227, CQUJHB003348, CQUJHB005206, CQUJHB011701, CQUJHB008385, CQUJHB008344, CQUJHB016812, CQUJHB000031, CQUJHB005502, CQUJHB009245, CQUJHB004876, CQUJHB006191, CQUJHB011660, CQUJHB002802, CQUJHB006041, CQUJHB016337, CQUJHB008421, CQUJHB002737, CQUJHB005792, CQUJHB003290, CQUJHB008431, CQUJHB018142, CQUJHB009958, CQUJHB013002, CQUJHB014465, CQUJHB016035
OG0000019	LOC134290461	CQUJHB011151, CQUJHB009551, CQUJHB000379, CQUJHB015659, CQUJHB012970, CQUJHB000572, CQUJHB005444
OG0000019	LOC134290048, LOC134286534, LOC134290052, LOC134290129, LOC134291041, LOC134290401	CQUJHB010983
OG0000019	LOC134289481, LOC134288699, LOC134288992, LOC134286273, LOC134289517	CQUJHB002061, CQUJHB002839, CQUJHB017860
OG0000020	LOC109406040	CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495
OG0000021	LOC109404004	CQUJHB005197
OG0000021	LOC115267287	CQUJHB014638
OG0000021	LOC115253654	CQUJHB010956
OG0000021	LOC109432057	CQUJHB016733
OG0000021	LOC109412626	CQUJHB010858
OG0000021	LOC109432714	CQUJHB012948
OG0000021	LOC109412625	CQUJHB015628
OG0000022	LOC134290726	CQUJHB013191, CQUJHB015725, CQUJHB017245, CQUJHB003806, CQUJHB013101, CQUJHB004318, CQUJHB008392
OG0000022	LOC134284928, LOC134286095, LOC109417500	CQUJHB003227, CQUJHB002133, CQUJHB015664, CQUJHB010128, CQUJHB005252
OG0000022	LOC134290725	CQUJHB004885, CQUJHB003399, CQUJHB015966, CQUJHB017117, CQUJHB003827, CQUJHB018042
OG0000022	LOC115255489, LOC134289564, LOC134290968, LOC134286970, LOC134286246, LOC134291721, LOC134286728, LOC134284532, LOC134284533, LOC134284534, LOC134284537, LOC134291750, LOC134290772, LOC134286142, LOC134286923	CQUJHB009998, CQUJHB007412, CQUJHB016624, CQUJHB004757
OG0000022	LOC134290359, LOC134284635, LOC134290828, LOC134291592, LOC134284049, LOC134291500, LOC134285978, LOC134288710, LOC134287670, LOC134291910, LOC134285655	CQUJHB001711, CQUJHB013417, CQUJHB016403
OG0000023	LOC109400700, LOC109399437, LOC115266810, LOC115266791	CQUJHB002404, CQUJHB000253, CQUJHB005111, CQUJHB002050, CQUJHB007212
OG0000023	LOC109400762	CQUJHB015434
OG0000023	LOC109400704, LOC115270033	CQUJHB012060
OG0000024	LOC109408695, LOC109408675	CQUJHB005662
OG0000024	LOC109403004	CQUJHB001106
OG0000024	LOC109408692	CQUJHB003177
OG0000024	LOC109408663	CQUJHB015002
OG0000024	LOC134284686	CQUJHB015651
OG0000024	LOC109408662	CQUJHB010229, CQUJHB003602
OG0000024	LOC109408659	CQUJHB002318, CQUJHB007527, CQUJHB006873
OG0000025	LOC134291310, LOC134284801, LOC115269020, LOC134290139, LOC134289195, LOC134290425, LOC134290589	CQUJHB005189, CQUJHB017536
OG0000025	LOC134288310, LOC134290912, LOC134290441	CQUJHB004795
OG0000025	LOC134290435	CQUJHB005185
OG0000025	LOC134286094, LOC134286793	CQUJHB015952, CQUJHB012610, CQUJHB005177
OG0000025	LOC134290577, LOC134286864, LOC134289916, LOC134286889, LOC134290584, LOC134284395, LOC134287511, LOC134286775, LOC134286198, LOC134291886, LOC134286947, LOC134286572, LOC134290440, LOC134290236, LOC134286498, LOC134291011, LOC134290597, LOC134286599, LOC134286662, LOC134290907, LOC134289411, LOC134290516, LOC134290258, LOC134286953	CQUJHB015932
OG0000026	LOC115270199	CQUJHB017272
OG0000026	LOC115269863, LOC109423857	CQUJHB011732, CQUJHB012165
OG0000026	LOC109431713, LOC115267476, LOC115260125	CQUJHB005106
OG0000026	LOC109622447	CQUJHB007540
OG0000027	LOC109398505, LOC109406559, LOC109406548	CQUJHB010117, CQUJHB008521, CQUJHB007524, CQUJHB011421, CQUJHB004925
OG0000027	LOC109406550, LOC109406555	CQUJHB013189, CQUJHB015720, CQUJHB004094
OG0000027	LOC109406551	CQUJHB008109, CQUJHB008680, CQUJHB008247
OG0000027	LOC109398494	CQUJHB011122
OG0000027	LOC109417369, LOC109417371, LOC109398522	CQUJHB017358, CQUJHB008899, CQUJHB012953, CQUJHB006211, CQUJHB003906, CQUJHB001161
OG0000027	LOC109398512, LOC109398504, LOC109406556, LOC109398492	CQUJHB015070, CQUJHB003476
OG0000027	LOC109406557, LOC109406553	CQUJHB011300
OG0000027	LOC109417368, LOC115262615, LOC115262616	CQUJHB003752
OG0000028	LOC109427450, LOC115257043, LOC134284298	CQUJHB016003
OG0000028	LOC109426869, LOC109433030, LOC109424566, LOC134286544, LOC134291545, LOC134289483, LOC134288560, LOC109406081, LOC134288791, LOC134290864, LOC134290502, LOC134288289, LOC109430877	CQUJHB011351
OG0000028	LOC134286267, LOC134286206, LOC134286205, LOC134286187, LOC134291068, LOC109420058, LOC109428619, LOC134285226, LOC134291670, LOC134287749, LOC115259335, LOC115261576, LOC134290188, LOC115264187, LOC134285395, LOC109432742, LOC134290930, LOC134290388, LOC134288151, LOC134286380, LOC134291669, LOC115255659	CQUJHB009718
OG0000030	LOC109420622, LOC109420540, LOC109417125, LOC115255076, LOC134289023	CQUJHB013699, CQUJHB008107, CQUJHB010736, CQUJHB010439
OG0000031	LOC134289430	CQUJHB004966, CQUJHB011245, CQUJHB016938, CQUJHB013426, CQUJHB002608, CQUJHB000575, CQUJHB001850, CQUJHB002269
OG0000031	LOC134286231	CQUJHB014875
OG0000031	LOC109405467, LOC134286842, LOC134284154, LOC134292214, LOC134290284, LOC134290031, LOC134286930, LOC134291532, LOC109417163, LOC109416565, LOC115256360, LOC134286808, LOC134291204	CQUJHB013110, CQUJHB001744
OG0000031	LOC134291999, LOC134292220, LOC109430144	CQUJHB018315, CQUJHB001956, CQUJHB015821, CQUJHB000335, CQUJHB007959, CQUJHB003757, CQUJHB016964, CQUJHB016071, CQUJHB013550, CQUJHB018096, CQUJHB005093
OG0000031	LOC134286814, LOC134291789, LOC134285598	CQUJHB005184, CQUJHB006333
OG0000032	LOC134286630	CQUJHB013916, CQUJHB002841, CQUJHB018268, CQUJHB000206, CQUJHB010055, CQUJHB001736
OG0000032	LOC134285376	CQUJHB009611
OG0000032	LOC134286566	CQUJHB001221, CQUJHB005224
OG0000032	LOC134285958, LOC134285252, LOC134290546, LOC134290447, LOC134286702, LOC134290488, LOC134284658, LOC134291067, LOC115265199	CQUJHB004712, CQUJHB014732
OG0000032	LOC134290819, LOC134286672	CQUJHB012568, CQUJHB000350, CQUJHB015139, CQUJHB009262, CQUJHB001800, CQUJHB002859, CQUJHB015715, CQUJHB005183
OG0000032	LOC134286685, LOC134289497, LOC134288537	CQUJHB008157, CQUJHB003203
OG0000032	LOC134290314, LOC109427185	CQUJHB010737
OG0000032	LOC134290627, LOC134286565	CQUJHB010350
OG0000033	LOC109414923	CQUJHB013700
OG0000033	LOC109416027, LOC109414897, LOC109416024, LOC109416023	CQUJHB013801, CQUJHB018326, CQUJHB007315, CQUJHB010724, CQUJHB008449, CQUJHB010986, CQUJHB008186
OG0000034	LOC109623143	CQUJHB005355
OG0000034	LOC109623114	CQUJHB004278
OG0000034	LOC109623111	CQUJHB012032
OG0000034	LOC109623152	CQUJHB008686
OG0000034	LOC109426767	CQUJHB008330, CQUJHB011235, CQUJHB002589
OG0000036	LOC109621427, LOC115268191	CQUJHB002356, CQUJHB003250
OG0000036	LOC115258235	CQUJHB000400
OG0000036	LOC109399223	CQUJHB018317, CQUJHB002454, CQUJHB010159
OG0000036	LOC109422845	CQUJHB001838
OG0000036	LOC115258435, LOC134291920, LOC115268349, LOC134284838, LOC109402623, LOC115258436, LOC115267974, LOC115258437, LOC109400424, LOC115259586, LOC109420761, LOC109622304, LOC109401604, LOC109411420, LOC109426308, LOC109402129, LOC109426305, LOC109420276, LOC109397320, LOC109402127	CQUJHB007266, CQUJHB006888
OG0000036	LOC109622701, LOC109622702	CQUJHB016133
OG0000037	LOC115267800	CQUJHB011063
OG0000038	LOC134284506, LOC134290693, LOC115264715, LOC134289928, LOC134290374, LOC115258095	CQUJHB008739
OG0000038	LOC115267548, LOC134290908, LOC115268122, LOC115268172, LOC134292200, LOC115262237	CQUJHB003467
OG0000038	LOC134290986, LOC134291655, LOC134290148, LOC115256797, LOC134288491, LOC134284505, LOC134288413, LOC115254397, LOC115260107, LOC109407650, LOC134288173, LOC109406651, LOC115255698, LOC134286446, LOC134290525	CQUJHB015468
OG0000039	LOC115267561, LOC109404256, LOC109416577, LOC109429852	CQUJHB006780, CQUJHB014689, CQUJHB010451, CQUJHB011408, CQUJHB015873, CQUJHB005401
OG0000039	LOC109433331	CQUJHB015714
OG0000039	LOC109431626, LOC109401619, LOC115260826	CQUJHB007411
OG0000040	LOC109426099	CQUJHB002131
OG0000040	LOC109429627, LOC109623406	CQUJHB000018
OG0000040	LOC109623405	CQUJHB020446
OG0000040	LOC109429616	CQUJHB020438
OG0000041	LOC109426885	CQUJHB013017, CQUJHB009859
OG0000041	LOC109623326	CQUJHB001955, CQUJHB001825
OG0000041	LOC109623385	CQUJHB000581
OG0000041	LOC109623384, LOC109623325	CQUJHB013621, CQUJHB007017
OG0000041	LOC109426866	CQUJHB000078, CQUJHB001849, CQUJHB006430
OG0000042	LOC109402120	CQUJHB006261
OG0000045	LOC115266674, LOC134288587, LOC115262239, LOC115260912, LOC109400123	CQUJHB000359
OG0000045	LOC134288132, LOC134290932	CQUJHB018399
OG0000045	LOC134289039, LOC134287579, LOC109402167	CQUJHB003478
OG0000045	LOC115269455, LOC134288646, LOC134284322, LOC134291242, LOC134291243, LOC134284310	CQUJHB004554
OG0000046	LOC115265451	CQUJHB009609
OG0000046	LOC109432544, LOC109432546, LOC115265520	CQUJHB013902
OG0000046	LOC115254964, LOC109416204	CQUJHB009800, CQUJHB002638, CQUJHB011131, CQUJHB013987, CQUJHB015814
OG0000046	LOC109431805, LOC115255534	CQUJHB004165, CQUJHB003107
OG0000046	LOC109622330, LOC109621357, LOC109622339	CQUJHB005669, CQUJHB017284
OG0000047	LOC134287732, LOC134289783, LOC134286467	CQUJHB001557
OG0000047	LOC134287769, LOC134291234, LOC134291477, LOC134288984, LOC134285506, LOC134290895, LOC134290896, LOC134289449, LOC134289863, LOC134286485, LOC134290752, LOC134288993, LOC134286673, LOC134290562, LOC134291571, LOC134291121, LOC134286710, LOC134290563, LOC134290009, LOC134286988, LOC134286475, LOC134292157, LOC134284408, LOC134286788, LOC134285937, LOC134286186, LOC134284262, LOC134290604, LOC134290437, LOC134286989, LOC134286185, LOC134291471, LOC134291481, LOC134290144, LOC134288566, LOC134287025, LOC134287049, LOC134285438, LOC134290443, LOC134290887, LOC134286546, LOC134288998, LOC134284782, LOC134286298, LOC134290751, LOC134288748, LOC134288046, LOC134290642, LOC134290239, LOC115260525, LOC134292232, LOC134285439	CQUJHB011413
OG0000048	LOC109428624, LOC109422505, LOC109420363	CQUJHB012005
OG0000048	LOC109401660	CQUJHB009336, CQUJHB014845
OG0000048	LOC109418726, LOC134292261	CQUJHB008386
OG0000049	LOC115257883	CQUJHB015876
OG0000049	LOC115257642	CQUJHB015556
OG0000049	LOC109403394	CQUJHB015769
OG0000051	LOC134286745	CQUJHB008348
OG0000051	LOC134287878, LOC134286741, LOC134286742, LOC134287876, LOC134286737	CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075
OG0000051	LOC134287877	CQUJHB010616
OG0000052	LOC109418812	CQUJHB005091
OG0000052	LOC109418979	CQUJHB006568, CQUJHB007297
OG0000052	LOC109398291, LOC109398344, LOC109399682, LOC109418960	CQUJHB011415
OG0000053	LOC134290123	CQUJHB018432
OG0000054	LOC115258504, LOC134289739, LOC115269400, LOC134286513, LOC134289473	CQUJHB007113, CQUJHB007111, CQUJHB013638, CQUJHB012638
OG0000054	LOC134289311, LOC134288398	CQUJHB005916, CQUJHB003336
OG0000054	LOC134290873	CQUJHB010566, CQUJHB003942, CQUJHB002818
OG0000054	LOC115261734, LOC134291384, LOC115269273, LOC134290803, LOC134290827	CQUJHB018249, CQUJHB014503
OG0000054	LOC134290547, LOC134288944, LOC134291391	CQUJHB007398, CQUJHB006473
OG0000054	LOC134285095, LOC134286514	CQUJHB015115
OG0000055	LOC109425568	CQUJHB018229
OG0000055	LOC109430791	CQUJHB017720
OG0000055	LOC115269375	CQUJHB010409
OG0000055	LOC109400253, LOC115265081, LOC109423617, LOC109400264, LOC115265080, LOC115266509, LOC115268774	CQUJHB002352
OG0000056	LOC134288464, LOC134290845, LOC134288187, LOC115257546, LOC134285551, LOC109427478, LOC134284167, LOC134291894, LOC134289921, LOC134285552, LOC134285498, LOC134291306, LOC134290404, LOC134288002, LOC134288053, LOC134284480, LOC134289911, LOC134288226, LOC134287218, LOC115259784, LOC134288411, LOC134284640, LOC134285508, LOC134285187, LOC134291226, LOC134288233, LOC134291831, LOC134289642, LOC134288597, LOC134288754, LOC134285059, LOC134288200, LOC115257530, LOC115264267, LOC134292171, LOC134287678, LOC134288081, LOC134285739, LOC134285497, LOC115260662, LOC134288750, LOC134289040, LOC134288861, LOC134292101, LOC134289708	CQUJHB010210
OG0000057	LOC109400285, LOC109400301, LOC134286750, LOC109400303	CQUJHB014741, CQUJHB005612, CQUJHB013656, CQUJHB013556, CQUJHB001778, CQUJHB008046, CQUJHB011652, CQUJHB016655
OG0000057	LOC109425074	CQUJHB009785
OG0000058	LOC109429974	CQUJHB000757
OG0000058	LOC109429556	CQUJHB006852
OG0000058	LOC109429973	CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265
OG0000058	LOC109429562	CQUJHB016789
OG0000058	LOC109429976	CQUJHB013221
OG0000059	LOC115263209	CQUJHB005700
OG0000059	LOC109397955	CQUJHB006696
OG0000059	LOC109398113	CQUJHB011753
OG0000060	LOC109400289, LOC109425201, LOC109425203, LOC109425111, LOC109425112	CQUJHB004792
OG0000060	LOC109400353, LOC109400352, LOC109425109, LOC109400350, LOC109425107	CQUJHB016380, CQUJHB008966, CQUJHB012898, CQUJHB014019, CQUJHB012243
OG0000061	LOC115262216, LOC109407552	CQUJHB009715, CQUJHB015055
OG0000061	LOC109426588	CQUJHB017379
OG0000061	LOC115260060	CQUJHB010086
OG0000061	LOC115253465	CQUJHB014303
OG0000061	LOC109412270, LOC109397255	CQUJHB011103, CQUJHB002901
OG0000062	LOC115259541, LOC134285567	CQUJHB009702
OG0000063	LOC109399308, LOC109399296	CQUJHB018065
OG0000063	LOC109430420	CQUJHB002044
OG0000063	LOC109405725, LOC109413826	CQUJHB000613
OG0000063	LOC109428843, LOC109420947	CQUJHB009343, CQUJHB015345
OG0000063	LOC109399306	CQUJHB012850, CQUJHB007331
OG0000063	LOC109405771	CQUJHB015091
OG0000064	LOC109424200, LOC109424199	CQUJHB000467
OG0000064	LOC109407215, LOC109407216, LOC109405887, LOC109424210, LOC109412709, LOC134285929	CQUJHB003566, CQUJHB000930
OG0000065	LOC134284259, LOC134290412	CQUJHB016837
OG0000065	LOC134290665, LOC134290356, LOC134290274	CQUJHB017607
OG0000065	LOC134288390	CQUJHB007339, CQUJHB005005
