Orthogroup	Aalbopictus_AalbF5	AsinensisChina
OG0000064	LOC109407215, LOC109407216, LOC109405887, LOC109424210, LOC109412709, LOC134285929	ASIC002653, ASIC002651
OG0000064	LOC109433412	ASIC001146
OG0000065	LOC134284259, LOC134290412, LOC134290665, LOC134290356, LOC134290274, LOC134288390, LOC134290076, LOC134288396, LOC134288631, LOC109419482, LOC134284218, LOC134290511, LOC115261638, LOC134285522, LOC134287084, LOC134289586, LOC109623010, LOC134286802, LOC134284297, LOC115269635, LOC134284260, LOC134290413, LOC134285126, LOC134286103, LOC134290566, LOC134285540, LOC134285727, LOC134288484, LOC134288524, LOC134286801, LOC134291133, LOC134290567, LOC134289632, LOC134289587, LOC134290036, LOC134285403	ASIC011678
OG0000067	LOC109426033, LOC109426036	ASIC018220
OG0000067	LOC109426037	ASIC018219
OG0000068	LOC109399171	ASIC011681
OG0000068	LOC109413965, LOC109413968, LOC109398683, LOC109405051, LOC109413969	ASIC011682
OG0000068	LOC109399209	ASIC011687
OG0000068	LOC109414002	ASIC011679
OG0000069	LOC134287966	ASIC005652
OG0000069	LOC109420427, LOC115257481, LOC115257619	ASIC002404, ASIC005650, ASIC005651, ASIC000407
OG0000071	LOC109417603, LOC109402034	ASIC008283
OG0000071	LOC109419909	ASIC013586
OG0000072	LOC109418556	ASIC019961
OG0000072	LOC115261630	ASIC012496
OG0000073	LOC109433130	ASIC014115
OG0000074	LOC109399202, LOC109399162	ASIC016739, ASIC016738, ASIC016740, ASIC016736, ASIC016737, ASIC016735
OG0000074	LOC109399205	ASIC002864
OG0000075	LOC109424138, LOC109430779, LOC109424181, LOC115263087, LOC109424139, LOC115263088, LOC115263086, LOC115263362	ASIC021158, ASIC021155, ASIC021154, ASIC021157, ASIC021159
OG0000076	LOC109433173, LOC109433174	ASIC018187
OG0000077	LOC109428459	ASIC002587
OG0000077	LOC115267608, LOC115267631, LOC115267607	ASIC002588, ASIC002586
OG0000079	LOC109422640	ASIC011457
OG0000079	LOC109422560, LOC109399710	ASIC011456, ASIC011455
OG0000079	LOC109418231, LOC109428005, LOC109422721	ASIC011459
OG0000080	LOC115265252, LOC109417572, LOC109417573	ASIC016601
OG0000080	LOC109417818	ASIC016602
OG0000080	LOC109420119, LOC109420142	ASIC019334, ASIC019335
OG0000081	LOC115265020	ASIC007880
OG0000081	LOC109422446, LOC115265018, LOC109422423, LOC115265016	ASIC007878, ASIC007850, ASIC007872
OG0000081	LOC109425727	ASIC007881
OG0000082	LOC109408162	ASIC018896, ASIC012751, ASIC012750, ASIC012735, ASIC012720, ASIC012721, ASIC015552, ASIC020059, ASIC017041, ASIC015969, ASIC015961, ASIC015947, ASIC015968, ASIC015948, ASIC015980, ASIC015942, ASIC012745, ASIC012746, ASIC012744, ASIC004383, ASIC004382, ASIC012729, ASIC012752, ASIC012731, ASIC004377, ASIC012726, ASIC004379, ASIC004372, ASIC004376, ASIC004368, ASIC014144, ASIC012727, ASIC012728, ASIC012714
OG0000085	LOC109412325, LOC109422704, LOC109422705, LOC109424438, LOC115254680	ASIC009268, ASIC004322, ASIC009271, ASIC009270, ASIC009269, ASIC009272
OG0000086	LOC109402934	ASIC009153
OG0000086	LOC115258102, LOC109405184, LOC109426350, LOC115254457	ASIC008317
OG0000088	LOC109433460, LOC115267981, LOC109433519, LOC109418404, LOC109419766	ASIC008371, ASIC008372, ASIC008376
OG0000089	LOC109426269, LOC134289925	ASIC019476
OG0000089	LOC134289926	ASIC019432, ASIC019443, ASIC019421, ASIC019454, ASIC019465
OG0000090	LOC109399239	ASIC019694
OG0000090	LOC109429051	ASIC019695
OG0000091	LOC115260834, LOC115260167, LOC109398898, LOC115266378, LOC109414571	ASIC002280
OG0000091	LOC109429227	ASIC002279
OG0000096	LOC109422254	ASIC015638
OG0000096	LOC109414298	ASIC010647, ASIC010609
OG0000096	LOC115264212	ASIC010449
OG0000096	LOC109422250	ASIC015635
OG0000097	LOC109622082	ASIC021951
OG0000097	LOC109433277	ASIC021949, ASIC021947, ASIC021950
OG0000098	LOC115258660, LOC109419553, LOC109409374, LOC115258766, LOC115260917	ASIC020759, ASIC013848, ASIC013849, ASIC020756, ASIC020757, ASIC020760, ASIC020758, ASIC020762, ASIC020761, ASIC020755
OG0000101	LOC134290421, LOC134283965, LOC134286528, LOC134286992, LOC134285704, LOC134288420, LOC115256751, LOC134291238, LOC134285106, LOC134285342, LOC134290922, LOC134290420, LOC134290133, LOC134290194, LOC134286036, LOC134286986, LOC134290593, LOC134288995, LOC134290578, LOC134290574, LOC134291565, LOC134290482, LOC134290278, LOC134286210, LOC134286991, LOC134286570, LOC134288034	ASIC004494
OG0000104	LOC109410832, LOC109427506, LOC109427507	ASIC017885, ASIC009066, ASIC009065
OG0000107	LOC134285144, LOC115269113, LOC115269114, LOC109397170, LOC134285135, LOC134285132, LOC134285129, LOC134287048, LOC134284153, LOC115264363, LOC115265698	ASIC005646, ASIC005645, ASIC005655
OG0000108	LOC109429333, LOC109421068, LOC109429251, LOC109421067, LOC109429469, LOC115258785, LOC109421073, LOC109428607, LOC109421072	ASIC013421, ASIC013593
OG0000109	LOC134288467, LOC109417980	ASIC002584
OG0000109	LOC109402397, LOC134284738	ASIC014258
OG0000109	LOC109402396, LOC109402395	ASIC014260
OG0000109	LOC109402380	ASIC014256
OG0000111	LOC115265527, LOC115253427, LOC115265528, LOC115265526, LOC109432478, LOC115253746	ASIC012092, ASIC012080, ASIC006082
OG0000114	LOC109421190, LOC109432449, LOC115259293, LOC109432455, LOC109432439, LOC109421209	ASIC012081
OG0000115	LOC109413498	ASIC017431
OG0000115	LOC109410773	ASIC017432
OG0000116	LOC115262061	ASIC006403
OG0000116	LOC115262073	ASIC006402
OG0000116	LOC109400294	ASIC014540
OG0000119	LOC109409689	ASIC016830
OG0000119	LOC109409692, LOC109409691, LOC109409690, LOC134287661	ASIC016832, ASIC016833
OG0000120	LOC109402840, LOC109406119, LOC115261111	ASIC011544
OG0000120	LOC115261112	ASIC011541
OG0000121	LOC134286545, LOC134290432, LOC134286563, LOC134289163, LOC134286440, LOC134290915, LOC134285234, LOC134290209, LOC134286682, LOC134288272, LOC134286435, LOC134285985, LOC134290069, LOC134289513, LOC115258926, LOC115257931, LOC115265262, LOC134288935, LOC134284302, LOC115269770, LOC115259067, LOC115268810, LOC115261835	ASIC001472
OG0000127	LOC109399383, LOC109430899, LOC115263186, LOC115263188, LOC115263189, LOC109411349	ASIC008877
OG0000128	LOC109397004	ASIC015309
OG0000128	LOC115262796	ASIC015247, ASIC015248
OG0000129	LOC109428071, LOC109418295, LOC109418292, LOC109418299	ASIC008763, ASIC008762
OG0000130	LOC109426323	ASIC008146
OG0000130	LOC109421326	ASIC012064, ASIC012065
OG0000131	LOC109420718	ASIC012145
OG0000131	LOC109419859	ASIC012146
OG0000131	LOC109420609	ASIC012148
OG0000131	LOC109420605	ASIC012034
OG0000132	LOC109397421	ASIC014945, ASIC014943
OG0000133	LOC109425940	ASIC017840, ASIC017841
OG0000133	LOC109433309, LOC134291485	ASIC017521, ASIC017520
OG0000134	LOC115267595, LOC109399470	ASIC019149
OG0000134	LOC115267583	ASIC019146, ASIC019145, ASIC019147
OG0000136	LOC109401827, LOC109412093, LOC109404625	ASIC007232
OG0000140	LOC115260084	ASIC017498
OG0000141	LOC115266541, LOC109426247, LOC115266539, LOC109411169, LOC109411161, LOC109426249, LOC109426250	ASIC018449, ASIC018448, ASIC019151, ASIC018446
OG0000142	LOC109401436, LOC109423496	ASIC011129, ASIC010497
OG0000142	LOC109423512	ASIC004901
OG0000142	LOC109423498	ASIC014682
OG0000143	LOC109422665, LOC109401117	ASIC008426
OG0000144	LOC134288014	ASIC015934
OG0000144	LOC109404515, LOC109398775, LOC134290966, LOC109406348, LOC109397614, LOC134290793, LOC115260148, LOC134290866, LOC115259426, LOC134289714, LOC115264397	ASIC021886
OG0000146	LOC109406196, LOC109406203	ASIC008229
OG0000147	LOC109402061, LOC109421511, LOC109421512	ASIC002221, ASIC002222, ASIC002220
OG0000148	LOC115265114	ASIC007934
OG0000148	LOC109421171	ASIC012007
OG0000149	LOC109426259	ASIC018439
OG0000149	LOC109410290	ASIC018436
OG0000149	LOC109426253	ASIC018437
OG0000149	LOC109426260	ASIC018438
OG0000150	LOC115266551	ASIC011027
OG0000151	LOC109412232	ASIC009913, ASIC009914
OG0000152	LOC109408684, LOC109408682	ASIC004877
OG0000154	LOC109421560, LOC109409214, LOC109409172	ASIC004043, ASIC013097, ASIC013108, ASIC004042, ASIC013051, ASIC004041
OG0000155	LOC109416379, LOC109430008, LOC115263419, LOC109430000, LOC115263405, LOC109416399	ASIC020577, ASIC020578
OG0000157	LOC109421165	ASIC010788
OG0000157	LOC109417943, LOC109426743, LOC109426604, LOC109426606, LOC109426631, LOC109426654, LOC115265692, LOC109426605	ASIC019241
OG0000160	LOC134290104, LOC109398789, LOC109422909, LOC115268786, LOC115269191, LOC109420971, LOC134284944	ASIC016821
OG0000161	LOC115263538, LOC109415748	ASIC019631
OG0000162	LOC109416740	ASIC018387
OG0000162	LOC115257490	ASIC018375
OG0000162	LOC109416738	ASIC018379
OG0000162	LOC109403420	ASIC018380
OG0000163	LOC115264896	ASIC007358
OG0000163	LOC109408545	ASIC007362
OG0000163	LOC109429593	ASIC007363, ASIC007359
OG0000164	LOC134285492	ASIC021805
OG0000164	LOC109430385	ASIC021916
OG0000164	LOC134285493	ASIC021828
OG0000165	LOC115256356, LOC109421988	ASIC020380
OG0000165	LOC115256354	ASIC020379, ASIC020381
OG0000166	LOC109397863	ASIC012923
OG0000166	LOC109418973	ASIC012924
OG0000166	LOC109418976	ASIC012921
OG0000171	LOC134289645	ASIC004812, ASIC004811
OG0000171	LOC134289646	ASIC004810
OG0000172	LOC109414400	ASIC017527
OG0000172	LOC109410572	ASIC017517, ASIC017518
OG0000172	LOC109421132	ASIC017545, ASIC017548, ASIC017547
OG0000174	LOC115256529	ASIC007084
OG0000181	LOC109398251, LOC109398238, LOC109419743, LOC109398234, LOC109398239, LOC109419750	ASIC019035, ASIC019034
OG0000182	LOC115259581	ASIC020912
OG0000182	LOC115253802, LOC109400865	ASIC020913
OG0000183	LOC115256357, LOC109407271, LOC109402674, LOC109405890	ASIC011096
OG0000184	LOC109411770, LOC109416825	ASIC007210
OG0000184	LOC109411788	ASIC007209
OG0000185	LOC109401553, LOC109402898, LOC109420356	ASIC014499, ASIC014498
OG0000185	LOC109419367	ASIC018463, ASIC018459
OG0000187	LOC109415488	ASIC003343
OG0000188	LOC134292254	ASIC009169
OG0000189	LOC109398456	ASIC020927
OG0000189	LOC115264694, LOC115264672	ASIC004914
OG0000190	LOC134287929	ASIC009037
OG0000190	LOC109429277	ASIC004005
OG0000191	LOC109425624, LOC115269665	ASIC011618, ASIC011619, ASIC011617, ASIC011616
OG0000192	LOC115268599	ASIC003853
OG0000192	LOC109407097	ASIC021385
OG0000192	LOC109424591	ASIC006813
OG0000193	LOC109418366, LOC109426146, LOC109426147, LOC109417593	ASIC005170, ASIC009034, ASIC004649
OG0000194	LOC115268005	ASIC007163
OG0000196	LOC109417644, LOC109410244, LOC115255412, LOC115255411	ASIC009091
OG0000200	LOC109415401	ASIC004374
OG0000200	LOC109410678	ASIC004381
OG0000201	LOC115269915, LOC115270394	ASIC018737
OG0000201	LOC109622197	ASIC018748
OG0000202	LOC109428440, LOC109428339	ASIC005159
OG0000203	LOC109426936	ASIC022196
OG0000203	LOC109623341, LOC109426935	ASIC022191, ASIC022195
OG0000203	LOC109623338	ASIC022193, ASIC022189
OG0000204	LOC109425685, LOC109422978	ASIC018858, ASIC018857
OG0000204	LOC109422968	ASIC018860
OG0000205	LOC109411753	ASIC007148
OG0000206	LOC109429344, LOC109428387, LOC109420951	ASIC009932, ASIC009934, ASIC009931, ASIC009933
OG0000206	LOC109414302	ASIC017261
OG0000207	LOC109415428, LOC109402620, LOC109402627, LOC109406592, LOC115253652, LOC109402626	ASIC020302, ASIC020301
OG0000209	LOC109403367	ASIC018130
OG0000210	LOC109402346	ASIC005087, ASIC005086
OG0000217	LOC109419237	ASIC021690
OG0000217	LOC109431380	ASIC007120
OG0000217	LOC109419238	ASIC021693
OG0000218	LOC109421387	ASIC006963, ASIC006964
OG0000219	LOC109406989, LOC109397917, LOC109406984, LOC109397915, LOC109406985, LOC109397914, LOC109406992	ASIC017087
OG0000220	LOC109622226, LOC109623014	ASIC021083
OG0000220	LOC109409085	ASIC021081
OG0000221	LOC109410283, LOC109410284	ASIC016222, ASIC016221, ASIC016220
OG0000221	LOC109430808, LOC134283951, LOC109424170	ASIC019669, ASIC019668
OG0000222	LOC109431412	ASIC014190
OG0000222	LOC109402226, LOC109402225, LOC115267223	ASIC014179
OG0000223	LOC109422010	ASIC011432
OG0000224	LOC109414163	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365
OG0000225	LOC109405426, LOC115257288	ASIC021356
OG0000226	LOC115267924	ASIC020560, ASIC020556
OG0000229	LOC109433439	ASIC021403, ASIC004678
OG0000230	LOC109418314, LOC115262116, LOC115254047, LOC115262033, LOC109410481, LOC109418283, LOC109408717	ASIC005288
OG0000231	LOC109413995, LOC109413996, LOC109418733, LOC109418736, LOC109418734, LOC109406485	ASIC011666, ASIC011669
OG0000232	LOC115270106, LOC109404909	ASIC012966, ASIC012965
OG0000233	LOC109420036, LOC109420035	ASIC011408
OG0000234	LOC109425152	ASIC020664
OG0000235	LOC109427843, LOC115264006, LOC109431305, LOC115268708, LOC109407713	ASIC017168, ASIC009033
OG0000236	LOC109621447	ASIC011385, ASIC008198, ASIC015967
OG0000237	LOC134287958	ASIC003194
OG0000244	LOC109418168	ASIC022012
OG0000244	LOC109419321	ASIC022140
OG0000245	LOC109622453, LOC134285569	ASIC005515, ASIC005518
OG0000246	LOC109413319	ASIC021753, ASIC021752, ASIC021751, ASIC021749, ASIC021748
OG0000247	LOC109426621, LOC109426620	ASIC016691, ASIC016692
OG0000247	LOC115265701	ASIC019252
OG0000248	LOC115255070, LOC109417081, LOC109420539	ASIC017750
OG0000249	LOC115269854, LOC109424258, LOC109428726, LOC109424255, LOC109430243	ASIC016050, ASIC000958
OG0000250	LOC109406934	ASIC004082
OG0000250	LOC109427354	ASIC004081
OG0000252	LOC109621456, LOC109621460, LOC115267995	ASIC005046
OG0000252	LOC109403797, LOC115263127	ASIC005048
OG0000253	LOC109402465, LOC115264085, LOC109402468, LOC109423550, LOC115264289	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662
OG0000254	LOC109399939	ASIC005504
OG0000255	LOC109413823, LOC109409608, LOC109409607, LOC115255265, LOC109405777	ASIC020208, ASIC020207, ASIC020205, ASIC020206
OG0000256	LOC115261575, LOC109405995	ASIC012491, ASIC012495
OG0000257	LOC134287573, LOC109421507, LOC109621297, LOC109421508, LOC109622956	ASIC005738
OG0000260	LOC109428141	ASIC010061, ASIC010060, ASIC010059, ASIC010058
OG0000263	LOC134290506, LOC134291270, LOC134291726, LOC134288355	ASIC006278
OG0000263	LOC134286972	ASIC001150, ASIC015353
OG0000265	LOC115253485, LOC109432322	ASIC007840
OG0000266	LOC109405673	ASIC010738
OG0000266	LOC109401438	ASIC004862, ASIC004863
OG0000267	LOC109404182	ASIC021746
OG0000267	LOC115253692	ASIC021770
OG0000268	LOC109398343	ASIC007410, ASIC007406
OG0000268	LOC115262167	ASIC007405
OG0000269	LOC109430310, LOC109430352, LOC109412453	ASIC006168
OG0000270	LOC109400467	ASIC018039
OG0000271	LOC109425168, LOC109425169	ASIC006601
OG0000272	LOC134291341, LOC109418728	ASIC015539
OG0000272	LOC134291363	ASIC011268
OG0000273	LOC109431749	ASIC011512
OG0000273	LOC109401498	ASIC011515
OG0000274	LOC109399255, LOC109399254	ASIC019686
OG0000274	LOC109401921	ASIC020495
OG0000275	LOC134287955, LOC109412830, LOC134287948, LOC109412883	ASIC014691, ASIC014690, ASIC014692
OG0000276	LOC109424686, LOC109424707, LOC109424689, LOC134284290, LOC109424688	ASIC017971
OG0000277	LOC134291511, LOC134284201	ASIC008290, ASIC008301
OG0000278	LOC109423828	ASIC016444, ASIC016562
OG0000279	LOC115265811, LOC109421231, LOC109432444, LOC109432443	ASIC012105
OG0000280	LOC109398599	ASIC014626, ASIC014625
OG0000285	LOC109412583	ASIC005533, ASIC005534
OG0000285	LOC109412586	ASIC005544, ASIC005545
OG0000286	LOC134288579, LOC109419311, LOC115265212, LOC109419306, LOC109419312, LOC109399258, LOC134291529	ASIC015277, ASIC015276
OG0000287	LOC109418186	ASIC022020, ASIC022019
OG0000288	LOC109622664, LOC109429650, LOC109407355, LOC109417774	ASIC006693, ASIC006682
OG0000289	LOC134289615, LOC134290940, LOC134289612	ASIC007910, ASIC007909
OG0000290	LOC109407690, LOC134283955, LOC115268390	ASIC015220, ASIC015219
OG0000291	LOC109399285	ASIC019903
OG0000291	LOC115254554	ASIC018745, ASIC018743
OG0000292	LOC134287964	ASIC012870
OG0000292	LOC134287045	ASIC012872
OG0000293	LOC109402618	ASIC020292
OG0000293	LOC109433336, LOC109402619	ASIC021166
OG0000294	LOC109421880	ASIC000865, ASIC000867
OG0000294	LOC109421875	ASIC000063
OG0000295	LOC109411828, LOC115264669, LOC109411823, LOC109411826, LOC115254136	ASIC014489, ASIC014488, ASIC014487
OG0000297	LOC115256454, LOC115256453	ASIC007550
OG0000297	LOC109427517	ASIC007551
OG0000298	LOC109403440	ASIC019369
OG0000299	LOC109420459	ASIC010575
OG0000299	LOC109426283, LOC109426282	ASIC018166, ASIC018167
OG0000300	LOC115264061	ASIC021618
OG0000302	LOC109409795, LOC109412825	ASIC007798
OG0000302	LOC109409797	ASIC007799
OG0000303	LOC109423432	ASIC014829
OG0000304	LOC115266210, LOC109622152	ASIC009070
OG0000304	LOC115255403	ASIC009068
OG0000305	LOC109417728	ASIC008672
OG0000306	LOC109427899, LOC115263988	ASIC017623, ASIC015935, ASIC007588, ASIC017620
OG0000311	LOC134284264, LOC134287032, LOC134288719	ASIC002525
OG0000317	LOC109415509, LOC109400841, LOC109415510, LOC115261320	ASIC020227
OG0000318	LOC115266503	ASIC003841, ASIC003842, ASIC007449, ASIC007448
OG0000319	LOC109419083	ASIC006535
OG0000319	LOC109404744	ASIC006536, ASIC016269
OG0000320	LOC109622184, LOC109403189, LOC109622286, LOC115268871, LOC109403188, LOC109622183	ASIC000161, ASIC000162, ASIC000163, ASIC000164
