Orthogroup	Aalbopictus_AalbF5	LlongipalpisASM
OG0000022	LOC134286212, LOC134286359, LOC134285118, LOC134286958, LOC134290726, LOC134284928, LOC134286095, LOC109417500, LOC134290725, LOC115255489, LOC134289564, LOC134290968, LOC134286970, LOC134286246, LOC134291721, LOC134286728, LOC134284532, LOC134284533, LOC134284534, LOC134284537, LOC134291750, LOC134290772, LOC134286142, LOC134286923, LOC134290359, LOC134284635, LOC134290828, LOC134291592, LOC134284049, LOC134291500, LOC134285978, LOC134288710, LOC134287670, LOC134291910, LOC134285655	LOC129792077
OG0000023	LOC109400700, LOC109399437, LOC115266810, LOC115266791, LOC109400762, LOC109399431, LOC109400704, LOC115270033, LOC109400701, LOC109400768	LOC129786633
OG0000024	LOC109421858, LOC109413809, LOC109408695, LOC109408675, LOC109403004, LOC109408692, LOC109408663, LOC134284686, LOC109408662, LOC109408659	LOC129791793, LOC129792085, LOC129792882, LOC129794330, LOC129792888, LOC129792886, LOC129792324, LOC129794524, LOC129791470, LOC129795452, LOC129794434, LOC129795453
OG0000026	LOC109423856, LOC115270199, LOC115269863, LOC109423857, LOC109431713, LOC115267476, LOC115260125	LOC129792737, LOC129792738
OG0000026	LOC109622447	LOC129794486, LOC129789610
OG0000027	LOC109398505, LOC109406559, LOC109406548, LOC109406550, LOC109406555, LOC109406551, LOC109398494, LOC109417369, LOC109417371, LOC109398522, LOC109398512, LOC109398504, LOC109406556, LOC109398492, LOC109406557, LOC109406553, LOC109417368, LOC115262615, LOC115262616	LOC129787685, LOC129788076, LOC129787459, LOC129796690, LOC129787460, LOC129787462
OG0000028	LOC109426869, LOC109433030, LOC109424566, LOC134286544, LOC134291545, LOC134289483, LOC134288560, LOC109406081, LOC134288791, LOC134290864, LOC134290502, LOC134288289, LOC109430877	LOC129791254, LOC129794054
OG0000028	LOC134288004, LOC134286665, LOC134285471, LOC134285390, LOC134290734	LOC129790109
OG0000028	LOC134288151, LOC134286380	LOC129788162, LOC129791752
OG0000030	LOC109420622, LOC109420540, LOC109417125, LOC115255076, LOC134289023	LOC129790527
OG0000033	LOC109424827, LOC134290105, LOC109416028, LOC109414923, LOC109416027, LOC109414897, LOC109416024, LOC109416023	LOC129794355, LOC129787784
OG0000034	LOC109623143, LOC109623114, LOC109623111, LOC109623152, LOC109426767	LOC129791586
OG0000036	LOC109621427, LOC115268191, LOC115258235, LOC109399223, LOC109422845, LOC115258435, LOC134291920, LOC115268349, LOC134284838, LOC109402623, LOC115258436, LOC115267974, LOC115258437, LOC109400424, LOC115259586, LOC109420761, LOC109622304, LOC109401604, LOC109411420, LOC109426308, LOC109402129, LOC109426305, LOC109420276, LOC109397320, LOC109402127, LOC109622701, LOC109622702	LOC129795821
OG0000037	LOC115267800	LOC129794681, LOC129790942
OG0000038	LOC115253873, LOC134286455, LOC115256724, LOC134291657, LOC115260242, LOC109417429, LOC115259439, LOC134288068, LOC109419746, LOC109400588, LOC115260744, LOC115259348, LOC134290519, LOC134286869, LOC109422881, LOC115259427, LOC109425613, LOC115254467, LOC134291489, LOC134286894, LOC134284506, LOC134290693, LOC115264715, LOC134289928, LOC134290374, LOC115258095, LOC115267548, LOC134290908, LOC115268122, LOC115268172, LOC134292200, LOC115262237, LOC134290699, LOC115256768, LOC134290986, LOC134291655, LOC134290148, LOC115256797, LOC134288491, LOC134284505, LOC134288413, LOC115254397, LOC115260107, LOC109407650, LOC134288173, LOC109406651, LOC115255698, LOC134286446, LOC134290525	LOC129790825, LOC129795201
OG0000041	LOC109426885, LOC109623326, LOC109623385, LOC109623384, LOC109623325, LOC109623324, LOC109426866	LOC129796428, LOC129796429, LOC129796432, LOC129795648, LOC129796430, LOC129796431
OG0000046	LOC115265556, LOC115265451, LOC109432544, LOC109432546, LOC115265520, LOC115254964, LOC109416204, LOC109431805, LOC115255534, LOC109622330, LOC109621357, LOC109622339	LOC129797654
OG0000049	LOC115257883, LOC115257642, LOC115253560, LOC109403394	LOC129794518
OG0000051	LOC134286745, LOC134287878, LOC134286741, LOC134286742, LOC134287876, LOC134286737, LOC134287877	LOC129786156
OG0000052	LOC109418812	LOC129794482
OG0000052	LOC109418979, LOC109398291, LOC109398344, LOC109399682, LOC109418960	LOC129790600, LOC129794525, LOC129792980, LOC129794483, LOC129786796, LOC129795916, LOC129795917, LOC129795920, LOC129795921, LOC129795919, LOC129792330, LOC129792977, LOC129795918, LOC129796369, LOC129795146, LOC129795143, LOC129795145, LOC129795365, LOC129795124, LOC129795125, LOC129795126, LOC129795144, LOC129794484, LOC129796215, LOC129796367, LOC129794515
OG0000054	LOC134290204, LOC115258504, LOC134289739, LOC115269400, LOC134286513, LOC134289473, LOC134289311, LOC134288398, LOC134290873, LOC134288372, LOC134286361, LOC115262999, LOC134285690, LOC115261734, LOC134291384, LOC115269273, LOC134290803, LOC134290827, LOC109622039, LOC134286473, LOC134288562, LOC109405551, LOC134290547, LOC134288944, LOC134291391, LOC134285095, LOC134286514	LOC129787390, LOC129791396, LOC129786884, LOC129789254, LOC129795833, LOC129796022, LOC129789287, LOC129794539, LOC129786352, LOC129788362, LOC129786894, LOC129789562, LOC129790105, LOC129789246
OG0000055	LOC109425568	LOC129797106
OG0000055	LOC109430791	LOC129792602
OG0000055	LOC115269375	LOC129791974
OG0000055	LOC109400253, LOC115265081, LOC109423617, LOC109400264, LOC115265080, LOC115266509, LOC115268774	LOC129793457, LOC129787314
OG0000058	LOC109429974, LOC109429556, LOC109429973	LOC129790208, LOC129796355, LOC129795518, LOC129789259, LOC129786833, LOC129786898, LOC129787589
OG0000058	LOC109429562, LOC109429976	LOC129790199
OG0000059	LOC115263209, LOC109397955, LOC109398113	LOC129794147
OG0000061	LOC115262216, LOC109407552	LOC129795031
OG0000061	LOC109426588	LOC129795029, LOC129795028
OG0000061	LOC115260060, LOC115253465, LOC109412270, LOC109397255	LOC129795034
OG0000064	LOC109424200, LOC109424199, LOC109407215, LOC109407216, LOC109405887, LOC109424210, LOC109412709, LOC134285929, LOC134285928, LOC109424208, LOC109433412	LOC129790088, LOC129790085
OG0000067	LOC109399585, LOC109426033, LOC109426036, LOC109426037	LOC129796553, LOC129796550, LOC129789877, LOC129796549
OG0000067	LOC109410996, LOC109410901, LOC109426035	LOC129796552
OG0000068	LOC109622389, LOC109399171, LOC109413965, LOC109413968, LOC109398683, LOC109405051, LOC109413969	LOC129794030
OG0000068	LOC109399209, LOC109414002	LOC129794029, LOC129794026, LOC129794027
OG0000069	LOC134287961, LOC134287966, LOC109420427, LOC115257481, LOC115257619	LOC129797773, LOC129786174, LOC129792812
OG0000071	LOC109401104, LOC109417603, LOC109402034, LOC109419909	LOC129797006
OG0000072	LOC109418556	LOC129787850, LOC129787849
OG0000072	LOC109413231	LOC129787717
OG0000073	LOC109433068, LOC109433069, LOC109433130, LOC109404655	LOC129790978, LOC129789240, LOC129791095, LOC129786082, LOC129794430, LOC129789666, LOC129795974, LOC129794559, LOC129796201, LOC129786939, LOC129791894, LOC129796558, LOC129796557, LOC129786080, LOC129796556, LOC129791096, LOC129791101, LOC129791098, LOC129791103, LOC129789241, LOC129791100
OG0000077	LOC109431700, LOC109428459	LOC129789368, LOC129791094
OG0000077	LOC115267608, LOC115267631, LOC115267607, LOC115267620	LOC129793367
OG0000078	LOC134284552, LOC115267917	LOC129795036
OG0000079	LOC109422640, LOC109422560, LOC109399710, LOC109418231, LOC109428005, LOC109422721	LOC129796831
OG0000080	LOC115265252, LOC109417572, LOC109417573, LOC109417818, LOC109420119, LOC109420142	LOC129790108
OG0000086	LOC109402934, LOC115258102, LOC109405184, LOC109426350, LOC115254457, LOC109399012, LOC109622980	LOC129787729, LOC129787734
OG0000088	LOC115257675, LOC115257694, LOC109433460, LOC115267981, LOC109433519, LOC109418404, LOC109419766	LOC129795927, LOC129794489, LOC129796007
OG0000090	LOC109430577, LOC109424283, LOC109428699, LOC109428697	LOC129787919, LOC129787933
OG0000090	LOC109399239, LOC109429051	LOC129793252
OG0000091	LOC115260834, LOC115260167, LOC109398898, LOC115266378, LOC109414571, LOC109429227	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148
OG0000096	LOC109422254	LOC129794915
OG0000096	LOC109414298, LOC115264212, LOC115264211, LOC109422250	LOC129794914
OG0000097	LOC109621419, LOC109622082, LOC109433277	LOC129797700, LOC129797734
OG0000108	LOC109429333, LOC109421068, LOC109429251, LOC109421067, LOC109429469, LOC115258785, LOC109421073, LOC109428607, LOC109421072	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974
OG0000109	LOC134288467, LOC109417980	LOC129796958
OG0000109	LOC109402397, LOC134284738	LOC129787301
OG0000109	LOC109402396, LOC109402395	LOC129787299, LOC129787302
OG0000113	LOC134290166	LOC129795443, LOC129792164, LOC129793526, LOC129786957, LOC129788351, LOC129789232, LOC129791242, LOC129791560, LOC129791261, LOC129786876, LOC129786897, LOC129786924, LOC129789233, LOC129791530, LOC129789994, LOC129795477, LOC129790466, LOC129791850, LOC129789838, LOC129792885, LOC129788962, LOC129786819, LOC129793053, LOC129788232, LOC129791308, LOC129788386, LOC129789234, LOC129789286, LOC129794067, LOC129795249, LOC129794555, LOC129788855, LOC129790152, LOC129794581, LOC129789253, LOC129788348, LOC129792329, LOC129788558
OG0000114	LOC109421190, LOC109432449, LOC115259293, LOC109432455, LOC109432439, LOC109421209	LOC129791409
OG0000115	LOC109413498, LOC109410773	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063
OG0000116	LOC115262061, LOC115262073, LOC109429689	LOC129790116, LOC129790115, LOC129790117
OG0000116	LOC109400294	LOC129791153
OG0000117	LOC115256994	LOC129788177
OG0000117	LOC109398787, LOC134290019, LOC115260521, LOC109401323, LOC109422908, LOC115269192, LOC115258941, LOC115266654	LOC129796173, LOC129789407, LOC129796171, LOC129789263, LOC129788638
OG0000120	LOC109402840, LOC109406119, LOC115261111, LOC115261112	LOC129795901, LOC129797227
OG0000122	LOC134288311, LOC134289590, LOC134291066, LOC115269929, LOC134290580, LOC134284521, LOC134289620, LOC134284461, LOC134291132, LOC134290113, LOC134289572, LOC134286419, LOC134288329, LOC134286541, LOC115260993, LOC134286726, LOC134286183, LOC134290739, LOC134286112, LOC134291286, LOC115258482, LOC134286654, LOC134289578, LOC134288908, LOC134288629, LOC134290476, LOC134290367, LOC134290303, LOC134289959, LOC134286926, LOC134291426, LOC134289017, LOC134286732, LOC115259230	LOC129794310, LOC129794534
OG0000128	LOC109396992, LOC109397004	LOC129794451, LOC129794450
OG0000128	LOC115262796	LOC129794553, LOC129795542, LOC129795535
OG0000129	LOC109428071, LOC109418295, LOC109418292, LOC109418299, LOC109421658	LOC129797028
OG0000130	LOC109426323, LOC109421327, LOC109427811, LOC115265185, LOC109421178, LOC109421176, LOC109421326	LOC129795831, LOC129797298
OG0000131	LOC109420718	LOC129792347
OG0000131	LOC109419859, LOC109420609	LOC129797128
OG0000131	LOC109420605	LOC129792345
OG0000132	LOC109399101, LOC109397421, LOC109397420	LOC129794613
OG0000133	LOC109425940, LOC109433309, LOC134291485	LOC129795866, LOC129794696
OG0000134	LOC115267595, LOC109399470, LOC115267583	LOC129792867
OG0000135	LOC109411771	LOC129786134
OG0000136	LOC109418558, LOC109413120, LOC109400919, LOC109401827, LOC109412093, LOC109404625	LOC129797461, LOC129792712, LOC129794643, LOC129788901
OG0000140	LOC115260084	LOC129792679, LOC129794270, LOC129793278, LOC129790730, LOC129792765, LOC129790574, LOC129788130, LOC129790577, LOC129791613, LOC129795673, LOC129795030, LOC129794981, LOC129794986, LOC129797825, LOC129788343, LOC129792547, LOC129795039, LOC129791907, LOC129790883, LOC129788419, LOC129788880, LOC129787358, LOC129796565, LOC129791747, LOC129790924, LOC129789747, LOC129793268, LOC129791961, LOC129790219, LOC129786600, LOC129795684, LOC129792417, LOC129797663, LOC129794781
OG0000142	LOC109401436, LOC109423496, LOC109423512	LOC129792316, LOC129793845
OG0000142	LOC109423498	LOC129797567
OG0000143	LOC115271081, LOC109422534, LOC115271082, LOC109422663, LOC109401093, LOC109422664, LOC109422665, LOC109401117	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158
OG0000144	LOC134287350, LOC134288014, LOC109404515, LOC109398775, LOC134290966, LOC109406348, LOC109397614, LOC134290793, LOC115260148, LOC134290866, LOC115259426, LOC134289714, LOC115264397	LOC129787998
OG0000146	LOC109406196, LOC109406203, LOC109419020, LOC109408133, LOC109419023, LOC109419016, LOC109406193	LOC129797766, LOC129797769, LOC129797768
OG0000147	LOC109402061, LOC109421511, LOC109421512	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470
OG0000148	LOC115260854	LOC129796639
OG0000148	LOC109421171	LOC129790546
OG0000150	LOC115266551	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164
OG0000151	LOC109412232	LOC129787141, LOC129787139, LOC129787137, LOC129787138, LOC129787316, LOC129788322, LOC129794423, LOC129794422, LOC129787140, LOC129791519, LOC129796677, LOC129794556, LOC129795292, LOC129792484, LOC129792407, LOC129787123, LOC129794546, LOC129794547, LOC129787135, LOC129787132, LOC129787133
OG0000152	LOC109408684	LOC129794238
OG0000152	LOC109420225	LOC129787698
OG0000154	LOC109421560, LOC109409214, LOC109409172	LOC129791038
OG0000157	LOC109421165, LOC109417943, LOC109426743, LOC109426604, LOC109426606, LOC109426631, LOC109426654, LOC115265692, LOC109426605	LOC129793002
OG0000160	LOC134290104, LOC109398789, LOC109422909, LOC115268786, LOC115269191, LOC109420971, LOC134284944	LOC129797691, LOC129797713, LOC129786217
OG0000161	LOC109413805	LOC129788698
OG0000161	LOC115263538, LOC109415748	LOC129790631
OG0000162	LOC109416740, LOC115257490, LOC109416738, LOC109403420	LOC129792306
OG0000163	LOC115264896, LOC109408545, LOC109429593	LOC129793077, LOC129787054, LOC129793078
OG0000164	LOC134285492	LOC129788007
OG0000164	LOC109413276, LOC109430385, LOC134285493	LOC129786795
OG0000165	LOC134284725, LOC115256356, LOC109421988, LOC115256354	LOC129785838
OG0000166	LOC109397863, LOC109418973, LOC109418976	LOC129793375, LOC129794220, LOC129793372
OG0000168	LOC134286066, LOC109621527, LOC109426503	LOC129794488, LOC129790101, LOC129789274, LOC129792331, LOC129791920, LOC129786930, LOC129797845, LOC129789265, LOC129791561, LOC129796576, LOC129793681, LOC129794571, LOC129794306, LOC129787707, LOC129789113, LOC129791255, LOC129787192, LOC129794567, LOC129787033, LOC129794523, LOC129791763, LOC129795621, LOC129796824, LOC129786913
OG0000171	LOC134289645, LOC134289646	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346
OG0000172	LOC109414400, LOC109410572, LOC109421132	LOC129796083
OG0000173	LOC109424660, LOC109412073, LOC109424630	LOC129796378, LOC129791724, LOC129796377, LOC129787463
OG0000174	LOC115256529	LOC129785929
OG0000176	LOC109406092, LOC134286515, LOC115266728, LOC134285293	LOC129787791, LOC129788000
OG0000183	LOC115256357, LOC109407271, LOC109402674, LOC109405890	LOC129786975, LOC129786974
OG0000184	LOC109411770, LOC109416825, LOC109411788, LOC115262030, LOC109411769	LOC129794345
OG0000187	LOC109415488	LOC129796892
OG0000188	LOC109416080, LOC109402955, LOC115264319, LOC109416100, LOC109416077, LOC134292254	LOC129786978
OG0000189	LOC109398456	LOC129787889
OG0000189	LOC115264694, LOC115264672, LOC115266712	LOC129787087
OG0000190	LOC134287929	LOC129790672
OG0000190	LOC109429277, LOC109420894	LOC129789849
OG0000192	LOC115268599	LOC129789885
OG0000192	LOC109407097	LOC129791401
OG0000192	LOC109424591	LOC129789886
OG0000193	LOC109418366, LOC109426146, LOC109426147, LOC109417593	LOC129791916, LOC129788591, LOC129786638
OG0000194	LOC109621440, LOC115268364, LOC109621437, LOC115268005, LOC109621491	LOC129795950
OG0000196	LOC109417644, LOC109410244, LOC115255412, LOC115255411	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795
OG0000200	LOC109415401	LOC129796145
OG0000200	LOC109410678, LOC115263783	LOC129786068
OG0000201	LOC109622199, LOC115269915, LOC115270394, LOC109622197	LOC129792426, LOC129792425, LOC129792423
OG0000202	LOC109421839, LOC109421838, LOC109428440, LOC109428339	LOC129795977
OG0000204	LOC109425685, LOC109422978, LOC109422968, LOC109422959	LOC129790266
OG0000206	LOC109429344, LOC109428387, LOC109420951	LOC129791163
OG0000206	LOC109414302	LOC129791164
OG0000207	LOC109415428, LOC109402620, LOC109402627, LOC109406592, LOC115253652, LOC109402626	LOC129791699
OG0000209	LOC109403372, LOC109403367, LOC109414932, LOC109403351, LOC109410735, LOC109403373, LOC109403353, LOC109410739	LOC129787514, LOC129785969
OG0000217	LOC109419237	LOC129790202
OG0000217	LOC109431380	LOC129790328
OG0000217	LOC109419238	LOC129793020
OG0000218	LOC109432494, LOC109421452, LOC109421462, LOC109421387	LOC129795659
OG0000220	LOC109622226, LOC109623014, LOC134291628, LOC109409085	LOC129787563
OG0000222	LOC109431412, LOC109402226, LOC109402225, LOC115267223	LOC129788692
OG0000223	LOC109422010, LOC109398859, LOC109398880	LOC129786636
OG0000224	LOC109414163	LOC129786419
OG0000225	LOC115257287, LOC109405426, LOC115257288	LOC129797834, LOC129797833
OG0000229	LOC115261304, LOC109433437, LOC109433439	LOC129787399, LOC129793458
OG0000231	LOC109413995, LOC109413996, LOC109418733, LOC109418736, LOC109418734, LOC109406485	LOC129794015
OG0000232	LOC115270106, LOC109404909	LOC129791885
OG0000233	LOC109420036, LOC109420035, LOC109418229	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369
OG0000234	LOC109425149, LOC109429432, LOC109425152	LOC129793719, LOC129790671
OG0000235	LOC109427843, LOC115264006, LOC109431305, LOC115268708, LOC109407713	LOC129790399, LOC129790400
OG0000236	LOC109621447	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313
OG0000237	LOC134287958	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873
OG0000238	LOC115260552, LOC134286701, LOC115268079, LOC115260553, LOC134291045, LOC134291086, LOC115267927, LOC109402638, LOC134290612, LOC109423641, LOC115264076, LOC115260867, LOC134291838, LOC115257002, LOC134290553, LOC109401447, LOC115265412, LOC134285957, LOC134290877, LOC115260630, LOC134291807, LOC134288276	LOC129792859
OG0000244	LOC109418168, LOC109419321	LOC129788572
OG0000245	LOC109622453, LOC134285569	LOC129788329, LOC129791448, LOC129788328
OG0000248	LOC115255070, LOC109417081, LOC109420539, LOC134289022, LOC109420537, LOC115255069	LOC129790447
OG0000250	LOC109406934	LOC129791946
OG0000250	LOC109427354, LOC109427342	LOC129792061
OG0000254	LOC109399873, LOC109399939, LOC109423810, LOC109430641	LOC129794727, LOC129794738
OG0000259	LOC134292067, LOC109414046, LOC134288858	LOC129789876, LOC129791517
OG0000259	LOC115258480, LOC115256761, LOC109402256, LOC134289753	LOC129794510
OG0000265	LOC115253485, LOC109432322, LOC109413251	LOC129794745
OG0000266	LOC109405673, LOC109401438	LOC129788826
OG0000267	LOC109404182, LOC109418183, LOC115253692	LOC129792282, LOC129787468, LOC129787465, LOC129787466, LOC129787467, LOC129792219, LOC129787464
OG0000268	LOC109398343, LOC115262167	LOC129790334, LOC129790344
OG0000269	LOC109430310, LOC109430352, LOC109412453	LOC129786292
OG0000270	LOC109400467	LOC129795988
OG0000271	LOC109425168, LOC109425169, LOC109400349, LOC109400327	LOC129789622
OG0000272	LOC134291342, LOC109418725, LOC134291341, LOC109418728, LOC134291363	LOC129792269
