Orthogroup	Aalbopictus_AalbF5	AgambiaePEST
OG0000008	LOC109426418, LOC134289744, LOC109426424, LOC109403928, LOC134289746, LOC109426415, LOC134291979, LOC134291978, LOC134291018, LOC109403845, LOC109426416, LOC109433244, LOC109424185, LOC115258886, LOC109403897, LOC109426422, LOC115254008, LOC109426419	AGAP012850, AGAP012295, AGAP012293, AGAP012294, AGAP012296
OG0000008	LOC109403786	AGAP012291
OG0000008	LOC109403754, LOC109426407, LOC109426413, LOC109426414, LOC109403795, LOC109426411, LOC109426410, LOC109426408, LOC109426420, LOC134283913	AGAP012292
OG0000009	LOC115253798	AGAP003911
OG0000009	LOC134284429	AGAP012895
OG0000009	LOC134284416, LOC115254131, LOC115255182	AGAP003913
OG0000010	LOC109432023	AGAP007252
OG0000010	LOC115265384, LOC109409744	AGAP002432, AGAP007262
OG0000010	LOC109432002, LOC109431992, LOC115265379, LOC109432055	AGAP007251, AGAP006673, AGAP006674, AGAP006675, AGAP005671, AGAP005670, AGAP005669, AGAP005663, AGAP005665, AGAP005664, AGAP005690, AGAP005689, AGAP005691, AGAP005686, AGAP005687, AGAP005688, AGAP012736
OG0000011	LOC109411313	AGAP008893
OG0000011	LOC109397937, LOC109429729, LOC109429746, LOC115266488, LOC109397936, LOC115262102, LOC109408539, LOC109408562, LOC109429602	AGAP028137, AGAP028160, AGAP028156, AGAP028178, AGAP028008, AGAP028044, AGAP028106, AGAP012355, AGAP028016, AGAP028208, AGAP027991, AGAP028013, AGAP028067, AGAP012676
OG0000012	LOC109413799	AGAP001813
OG0000012	LOC109409461, LOC109409491	AGAP007508
OG0000012	LOC134292035, LOC134288780	AGAP012559
OG0000012	LOC134284526	AGAP012709
OG0000012	LOC134289521	AGAP012196
OG0000013	LOC109411041, LOC115268685, LOC109398584, LOC109411057, LOC109398582, LOC109411037, LOC109398594, LOC115264164, LOC109411043, LOC109398585, LOC109411044	AGAP001664, AGAP001667, AGAP001665, AGAP001666, AGAP001668, AGAP001669
OG0000013	LOC109429135	AGAP003378
OG0000013	LOC109409015	AGAP003384
OG0000013	LOC109409017, LOC109429134	AGAP003385, AGAP003379
OG0000014	LOC109621611, LOC109400072, LOC109426996, LOC109419319	AGAP009728
OG0000014	LOC134287244, LOC134284611, LOC115263125, LOC109403796, LOC134284614, LOC134284612, LOC134284613, LOC109416944, LOC109430246	AGAP005848, AGAP028439, AGAP006743, AGAP004917, AGAP004918, AGAP004916
OG0000015	LOC109401312	AGAP005503, AGAP005502, AGAP005501, AGAP005500, AGAP005499
OG0000016	LOC134284486, LOC134284488, LOC134284487, LOC134284484, LOC134284485, LOC134284267, LOC134284491, LOC134284266, LOC134284489, LOC134284490, LOC109397098, LOC109407316	AGAP008292, AGAP008293, AGAP008296, AGAP008295, AGAP008294, AGAP012842, AGAP008291, AGAP008290
OG0000016	LOC109411296, LOC109622023	AGAP009966
OG0000017	LOC115255220, LOC115261269, LOC115254888, LOC115270071	AGAP012558
OG0000017	LOC109420140	AGAP010724
OG0000017	LOC109431229, LOC109404554	AGAP012574
OG0000017	LOC109420100	AGAP005026
OG0000018	LOC115256715	AGAP028579, AGAP013250
OG0000018	LOC115260339	AGAP029431
OG0000020	LOC109406040	AGAP010707, AGAP010709, AGAP002910, AGAP002912, AGAP002911, AGAP010708
OG0000021	LOC109404004, LOC115267287	AGAP005095
OG0000021	LOC115253654	AGAP000651
OG0000021	LOC109432057	AGAP011514
OG0000021	LOC109432714	AGAP001676
OG0000021	LOC109412625	AGAP011515
OG0000023	LOC109400700, LOC109399437, LOC115266810, LOC115266791	AGAP002445, AGAP002641, AGAP028459, AGAP006583, AGAP029825, AGAP006585, AGAP006581, AGAP006588, AGAP028666, AGAP028665, AGAP006587, AGAP028458, AGAP001176
OG0000023	LOC109400762, LOC109399431, LOC109400704, LOC115270033, LOC109400701, LOC109400768	AGAP029824, AGAP006586, AGAP006584, AGAP029797
OG0000024	LOC109408695, LOC109408675	AGAP012569, AGAP005636, AGAP005638
OG0000024	LOC109403004, LOC109408692	AGAP005637
OG0000024	LOC109408663	AGAP006226
OG0000024	LOC134284686, LOC109408662	AGAP006224, AGAP006225
OG0000024	LOC109408659	AGAP006221, AGAP006220
OG0000025	LOC134286324, LOC134286331	AGAP013330
OG0000026	LOC109423856	AGAP004976, AGAP004980
OG0000026	LOC115270199	AGAP004975, AGAP004977
OG0000026	LOC115269863	AGAP004978
OG0000026	LOC109431713, LOC115267476, LOC115260125	AGAP006258
OG0000026	LOC109622447	AGAP002825
OG0000027	LOC109398505, LOC109406559, LOC109406548, LOC109406550, LOC109406555	AGAP029283
OG0000027	LOC109406551, LOC109398494, LOC109417369, LOC109417371, LOC109398522, LOC109398512, LOC109398504, LOC109406556, LOC109398492, LOC109406557, LOC109406553, LOC109417368, LOC115262615, LOC115262616	AGAP010363, AGAP010364
OG0000030	LOC109420622, LOC109420540, LOC109417125, LOC115255076, LOC134289023	AGAP010812, AGAP010816, AGAP010830, AGAP010832, AGAP010831, AGAP010819, AGAP010814, AGAP010818, AGAP010815
OG0000033	LOC109424827	AGAP004148
OG0000033	LOC134290105, LOC109416028	AGAP003252
OG0000033	LOC109414923	AGAP003251
OG0000033	LOC109416027, LOC109414897, LOC109416024, LOC109416023	AGAP003246, AGAP003250, AGAP003249, AGAP013487, AGAP003245, AGAP003247, AGAP003248
OG0000034	LOC109623111	AGAP005938
OG0000035	LOC109431735, LOC109419479, LOC115269187	AGAP012715, AGAP012588, AGAP012450, AGAP001067, AGAP005106, AGAP028576, AGAP010323, AGAP029940, AGAP000782, AGAP005476, AGAP005477, AGAP005478, AGAP005474, AGAP005475, AGAP006696, AGAP005307
OG0000037	LOC115267800	AGAP012562, AGAP010741, AGAP013316, AGAP013484, AGAP013247, AGAP013225, AGAP013086, AGAP013456, AGAP013517, AGAP013322, AGAP013353, AGAP013110, AGAP013369, AGAP013264, AGAP013050, AGAP013448, AGAP013113
OG0000039	LOC115267561, LOC109404256, LOC109416577, LOC109429852, LOC109433331, LOC109431626, LOC109401619, LOC115260826	AGAP006420, AGAP006421, AGAP005497, AGAP006417, AGAP006443, AGAP006419, AGAP006418
OG0000040	LOC109426099, LOC109429627, LOC109623406, LOC109623405	AGAP006666, AGAP006667
OG0000040	LOC109429616, LOC109424203	AGAP011468, AGAP011469, AGAP012854, AGAP011467, AGAP009410, AGAP009408, AGAP009409, AGAP009394, AGAP009395, AGAP009396, AGAP009398, AGAP009397
OG0000041	LOC109426885	AGAP029305, AGAP029267
OG0000041	LOC109623326	AGAP028600
OG0000041	LOC109623385	AGAP029755
OG0000041	LOC109623384, LOC109623325	AGAP029753
OG0000041	LOC109426866	AGAP001764, AGAP029756
OG0000042	LOC109402120	AGAP008403, AGAP009249, AGAP028179, AGAP028641, AGAP029126
OG0000046	LOC109622330, LOC109621357, LOC109622339	AGAP013221
OG0000048	LOC109428624, LOC109422505, LOC109420363, LOC109401660, LOC109418726, LOC134292261	AGAP006196, AGAP006200, AGAP006197, AGAP006202, AGAP008648, AGAP006194, AGAP006199, AGAP006198, AGAP006201, AGAP006195, AGAP006192, AGAP006193
OG0000049	LOC115257883	AGAP011788
OG0000049	LOC115257642	AGAP011781
OG0000049	LOC115253560	AGAP011792, AGAP011794, AGAP011793
OG0000049	LOC109403394	AGAP011789
OG0000051	LOC134286745	AGAP010109
OG0000051	LOC134287878, LOC134286741, LOC134286742, LOC134287876, LOC134286737, LOC134287877	AGAP010114, AGAP010127, AGAP010113, AGAP010126, AGAP010128, AGAP010116, AGAP010120, AGAP010112, AGAP010117, AGAP010119, AGAP013749, AGAP012875
OG0000052	LOC109418812	AGAP011918
OG0000052	LOC109418979, LOC109398291, LOC109398344, LOC109399682, LOC109418960	AGAP011920
OG0000053	LOC134290123	AGAP008958, AGAP028117, AGAP028033, AGAP028172, AGAP028092, AGAP028134, AGAP028063, AGAP028150, AGAP028118, AGAP028020, AGAP028195, AGAP028165, AGAP008956, AGAP028181, AGAP028155, AGAP027990, AGAP028070, AGAP028082, AGAP028226
OG0000055	LOC109425568	AGAP002076
OG0000055	LOC109430791	AGAP004944
OG0000055	LOC109400253, LOC115265081, LOC109423617, LOC109400264, LOC115265080, LOC115266509	AGAP004583, AGAP004581
OG0000057	LOC109400285, LOC109400301, LOC134286750, LOC109400303, LOC109425074	AGAP010105, AGAP010107, AGAP010104, AGAP029247, AGAP010106, AGAP010103, AGAP010121, AGAP010108, AGAP029248
OG0000058	LOC109429974	AGAP028729
OG0000058	LOC109429556, LOC109429973	AGAP009471, AGAP009472
OG0000058	LOC109429562	AGAP009467
OG0000058	LOC109429976	AGAP009468
OG0000059	LOC115263209	AGAP005194, AGAP012778, AGAP005196, AGAP005195
OG0000059	LOC109397955	AGAP006707, AGAP006709, AGAP006710, AGAP006711
OG0000059	LOC109398113	AGAP007142, AGAP007141
OG0000060	LOC109400289, LOC109425201, LOC109425203, LOC109425111, LOC109425112	AGAP010097
OG0000060	LOC109400353, LOC109400352, LOC109425109, LOC109400350, LOC109425107	AGAP010100, AGAP010099
OG0000061	LOC115262216, LOC109407552	AGAP012230
OG0000061	LOC109426588	AGAP006371
OG0000061	LOC109412270, LOC109397255	AGAP002317
OG0000062	LOC115259541, LOC134285567	AGAP003960, AGAP008558, AGAP001924, AGAP013452, AGAP013252, AGAP028071, AGAP008808, AGAP000411, AGAP008911, AGAP029120, AGAP029119, AGAP029111, AGAP029114, AGAP029108, AGAP028711, AGAP012749, AGAP012270, AGAP012777, AGAP012817, AGAP029330, AGAP028710, AGAP029067
OG0000063	LOC109399308, LOC109399296	AGAP002555
OG0000063	LOC109430420, LOC109405725, LOC109413826, LOC109428843, LOC109420947, LOC109399306, LOC115261478, LOC109426952, LOC109405771	AGAP002202
OG0000064	LOC109433412	AGAP002134
OG0000067	LOC109399585	AGAP011939
OG0000067	LOC109426033, LOC109426036	AGAP012400
OG0000067	LOC109426037	AGAP012399
OG0000067	LOC109410996, LOC109410901	AGAP002102
OG0000067	LOC109426035	AGAP012401
OG0000068	LOC109399171	AGAP005999
OG0000068	LOC109413965, LOC109413968, LOC109398683, LOC109405051, LOC109413969	AGAP005998
OG0000068	LOC109399209	AGAP005996
OG0000068	LOC109414002	AGAP006001
OG0000069	LOC134287966	AGAP002851
OG0000069	LOC109420427, LOC115257481, LOC115257619	AGAP007197, AGAP007415, AGAP002849, AGAP002850, AGAP002804
OG0000071	LOC109401104	AGAP013490, AGAP000088
OG0000071	LOC109417603, LOC109402034	AGAP001861
OG0000071	LOC109419909	AGAP028019, AGAP008358, AGAP008356
OG0000072	LOC109418556	AGAP010971
OG0000072	LOC109422743	AGAP001219, AGAP001218
OG0000072	LOC115261630	AGAP002770
OG0000072	LOC109403768, LOC109403788	AGAP007122
OG0000073	LOC109433068	AGAP007754
OG0000073	LOC109433069	AGAP007753
OG0000073	LOC109433130	AGAP007752
OG0000073	LOC109404655	AGAP013770
OG0000074	LOC109399202, LOC109399162	AGAP005385, AGAP005384, AGAP005386, AGAP005387, AGAP005388
OG0000074	LOC109399205	AGAP007354
OG0000075	LOC109424138, LOC109430779, LOC109424181, LOC115263087, LOC109424139, LOC115263088, LOC115263086, LOC115263362	AGAP006980, AGAP006984, AGAP006983, AGAP006981, AGAP006979, AGAP006978, AGAP006985, AGAP006982
OG0000076	LOC109433173, LOC109433174	AGAP009449, AGAP009448, AGAP010931, AGAP011270, AGAP012638, AGAP011267, AGAP029737, AGAP029736, AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234, AGAP011233, AGAP000216, AGAP011835
OG0000077	LOC109431700	AGAP006422
OG0000077	LOC109428459	AGAP006424
OG0000077	LOC115267608, LOC115267631, LOC115267607	AGAP006425, AGAP006423
OG0000077	LOC115267620	AGAP006426
OG0000078	LOC134284552	AGAP028565
OG0000079	LOC109422640	AGAP001162
OG0000079	LOC109422560, LOC109399710	AGAP012985, AGAP012982, AGAP013149
OG0000079	LOC109418231, LOC109428005, LOC109422721	AGAP001161
OG0000080	LOC115265252, LOC109417572, LOC109417573	AGAP006380
OG0000080	LOC109417818	AGAP006379
OG0000080	LOC109420119, LOC109420142	AGAP012155, AGAP012156
OG0000081	LOC115265020	AGAP007161
OG0000081	LOC109422446, LOC115265018, LOC109422423, LOC115265016	AGAP005547, AGAP005548, AGAP007159, AGAP007158
OG0000081	LOC109425727	AGAP007162
OG0000083	LOC134290847, LOC134288235, LOC134290112, LOC134290353, LOC134290810, LOC109433001, LOC115260585, LOC134292119, LOC134288451, LOC134286025, LOC115257819, LOC115266822, LOC115265219, LOC134284792, LOC134292192, LOC115259409, LOC134290637, LOC115265497, LOC115268089, LOC134287734, LOC134286337, LOC134290904, LOC109430659, LOC134290905, LOC134291563, LOC134286132	AGAP029438
OG0000085	LOC109412325, LOC109422704, LOC109422705, LOC109424438, LOC115254680	AGAP003763, AGAP003764, AGAP013346, AGAP003760, AGAP003759, AGAP003762, AGAP003758
OG0000086	LOC109402934	AGAP004809
OG0000086	LOC115258102, LOC109405184, LOC109426350, LOC115254457	AGAP013155, AGAP001881, AGAP012984
OG0000086	LOC109399012, LOC109622980	AGAP013150
OG0000088	LOC115257675, LOC115257694	AGAP011575
OG0000088	LOC109433460, LOC115267981, LOC109433519, LOC109418404, LOC109419766	AGAP011507, AGAP011509
OG0000089	LOC109426269, LOC134289925	AGAP029766
OG0000089	LOC134289926	AGAP029781, AGAP029780, AGAP029779, AGAP028709, AGAP028708
OG0000089	LOC134292138	AGAP029765
OG0000090	LOC109430577, LOC109424283, LOC109428699, LOC109428697	AGAP007347, AGAP007343
OG0000090	LOC109399239	AGAP007385
OG0000090	LOC109429051	AGAP007386
OG0000091	LOC115260834, LOC115260167, LOC109398898, LOC115266378, LOC109414571	AGAP003343
OG0000091	LOC109429227	AGAP013511
OG0000096	LOC109422254	AGAP010929
OG0000096	LOC109414298	AGAP008622
OG0000096	LOC115264212	AGAP005293
OG0000096	LOC109422250	AGAP010510
OG0000097	LOC109622082	AGAP013318
OG0000097	LOC109433277	AGAP013451, AGAP002592, AGAP002593, AGAP029385, AGAP013229
OG0000098	LOC115258660, LOC109419553, LOC109409374, LOC115258766, LOC115260917	AGAP011325, AGAP009215, AGAP009214, AGAP009220, AGAP009216, AGAP009217, AGAP009219, AGAP009218
OG0000104	LOC109421248, LOC109421247, LOC109410842, LOC109421246	AGAP009159
OG0000104	LOC109410832, LOC109427506, LOC109427507	AGAP008545, AGAP028059, AGAP028140, AGAP008544
OG0000107	LOC134285144, LOC115269113, LOC115269114, LOC109397170, LOC134285135, LOC134285132, LOC134285129, LOC134287048, LOC134284153, LOC115264363, LOC115265698	AGAP013529, AGAP002855, AGAP002856, AGAP002854
OG0000108	LOC109429333, LOC109421068, LOC109429251, LOC109421067, LOC109429469, LOC115258785, LOC109421073, LOC109428607, LOC109421072	AGAP006187
OG0000109	LOC134288467, LOC109417980	AGAP006427
OG0000109	LOC109402397, LOC134284738	AGAP029457
OG0000109	LOC109402396, LOC109402395	AGAP004603
OG0000109	LOC109402380	AGAP029686
OG0000111	LOC115265527, LOC115253427, LOC115265528, LOC115265526, LOC109432478, LOC115253746	AGAP012724, AGAP029416, AGAP028224, AGAP008454, AGAP028081, AGAP008465, AGAP008460
OG0000114	LOC109421190, LOC109432449, LOC115259293, LOC109432455, LOC109432439, LOC109421209	AGAP028151, AGAP028057
OG0000115	LOC109413498	AGAP006594
OG0000115	LOC109410773	AGAP006595
OG0000116	LOC115262061	AGAP008437
OG0000116	LOC115262073	AGAP028128, AGAP027980
OG0000116	LOC109400294	AGAP009835
OG0000119	LOC109409689	AGAP005834
OG0000119	LOC109409692, LOC109409691, LOC109409690, LOC134287661	AGAP005835, AGAP005836, AGAP005837
OG0000120	LOC109402840, LOC109406119, LOC115261111	AGAP001249
OG0000120	LOC115261112	AGAP001245
OG0000127	LOC109399383, LOC109430899, LOC115263186, LOC115263188, LOC115263189, LOC109411349	AGAP001825
OG0000128	LOC109396992	AGAP028426
OG0000128	LOC109397004	AGAP010917
OG0000128	LOC115262796	AGAP011366, AGAP011365
OG0000129	LOC109428071, LOC109418295, LOC109418292, LOC109418299	AGAP012996, AGAP001552, AGAP013124
OG0000129	LOC109421658	AGAP013450, AGAP013239
OG0000130	LOC109426323	AGAP001899
OG0000130	LOC109421326	AGAP008468, AGAP028049
OG0000131	LOC109420718	AGAP009877
OG0000131	LOC109419859	AGAP009876
OG0000131	LOC109420609	AGAP009875
OG0000131	LOC109420605	AGAP009871
OG0000132	LOC109397421	AGAP013132, AGAP004807, AGAP012529
OG0000133	LOC109425940	AGAP012279
OG0000133	LOC109433309, LOC134291485	AGAP011611, AGAP011610
OG0000134	LOC115267595, LOC109399470	AGAP006726
OG0000134	LOC115267583	AGAP006728, AGAP006727
OG0000135	LOC109411771	AGAP029163, AGAP029157, AGAP007907
OG0000136	LOC109418558, LOC109413120, LOC109400919	AGAP011204
OG0000136	LOC109401827, LOC109412093, LOC109404625	AGAP009509
OG0000141	LOC115266541, LOC109426247, LOC115266539, LOC109411169, LOC109411161, LOC109426249, LOC109426250	AGAP005758, AGAP005757, AGAP005756
OG0000142	LOC109401436, LOC109423496	AGAP003422, AGAP003423
OG0000142	LOC109423512	AGAP003432
OG0000142	LOC109423498	AGAP003078
OG0000143	LOC109422665, LOC109401117	AGAP002419
OG0000146	LOC109406196, LOC109406203	AGAP001956, AGAP013106
OG0000147	LOC109402061, LOC109421511, LOC109421512	AGAP008019, AGAP008020, AGAP012800, AGAP008022, AGAP008018
OG0000148	LOC115260854	AGAP009751
OG0000148	LOC115265114	AGAP009754, AGAP009756, AGAP009755
OG0000148	LOC109421171	AGAP009757
OG0000149	LOC109426259	AGAP005753
OG0000149	LOC109410290	AGAP005750
OG0000149	LOC109426253	AGAP005751
OG0000149	LOC109426260	AGAP005752
OG0000150	LOC115266551	AGAP007104
OG0000151	LOC109412232	AGAP003785, AGAP012609
OG0000152	LOC109408684	AGAP006398
OG0000152	LOC115265746	AGAP006102
OG0000152	LOC109420225	AGAP006103
OG0000154	LOC109421560, LOC109409214, LOC109409172	AGAP002894, AGAP008218, AGAP008217, AGAP008219
OG0000155	LOC109416379, LOC109430008, LOC115263419, LOC109430000, LOC115263405, LOC109416399	AGAP004355, AGAP004356, AGAP004357, AGAP004354
OG0000157	LOC109421165	AGAP028217
OG0000157	LOC109417943, LOC109426743, LOC109426604, LOC109426606, LOC109426631, LOC109426654, LOC115265692, LOC109426605	AGAP007154
OG0000160	LOC134290104, LOC109398789, LOC109422909, LOC115268786, LOC115269191, LOC109420971, LOC134284944	AGAP029361
OG0000161	LOC109400953	AGAP028747
OG0000161	LOC115263538, LOC109415748	AGAP006796, AGAP006795
OG0000162	LOC109416740	AGAP012318
OG0000162	LOC115257490	AGAP012325
OG0000162	LOC109416738	AGAP012321
OG0000162	LOC109403420	AGAP012320
OG0000163	LOC115264896	AGAP009436
OG0000163	LOC109408545	AGAP009434
OG0000163	LOC109429593	AGAP009435
OG0000164	LOC134285492	AGAP004571
OG0000164	LOC109413276	AGAP004567
OG0000164	LOC109430385	AGAP004566
OG0000164	LOC134285493	AGAP004570
OG0000165	LOC115256356, LOC109421988	AGAP000192
OG0000165	LOC115256354	AGAP000193, AGAP010414
OG0000166	LOC109397863	AGAP006048
OG0000166	LOC109418973	AGAP006049
OG0000166	LOC109418976	AGAP006047
OG0000171	LOC134289645	AGAP011348
OG0000171	LOC134289646	AGAP011347
OG0000172	LOC109414400	AGAP011613
OG0000172	LOC109410572	AGAP011609
OG0000172	LOC109421132	AGAP011618
OG0000174	LOC115256529	AGAP000693
OG0000176	LOC134285293	AGAP028564
OG0000180	LOC109421192, LOC115265814, LOC109432470, LOC109421186, LOC109421214, LOC109432431, LOC109421189	AGAP008448
OG0000181	LOC109398251, LOC109398238, LOC109419743, LOC109398234, LOC109398239, LOC109419750	AGAP006076, AGAP006077, AGAP006078, AGAP006079, AGAP006075
OG0000182	LOC115259581	AGAP003722, AGAP012784
OG0000182	LOC115253802, LOC109400865	AGAP003720
OG0000182	LOC109429307	AGAP003721
OG0000183	LOC115256357, LOC109407271, LOC109402674, LOC109405890	AGAP002979, AGAP002423, AGAP002973
OG0000184	LOC109411770, LOC109416825	AGAP009519
OG0000184	LOC109411788	AGAP009520
OG0000185	LOC109401553, LOC109402898, LOC109420356	AGAP029203, AGAP010657
OG0000185	LOC109419367	AGAP005768
OG0000187	LOC109415488	AGAP002905
OG0000188	LOC109416080, LOC109402955, LOC115264319, LOC109416100, LOC109416077, LOC134292254	AGAP004855
OG0000189	LOC109398456	AGAP003711
OG0000189	LOC115264694, LOC115264672	AGAP001588, AGAP012818
OG0000189	LOC115266712	AGAP001587
OG0000190	LOC134287929	AGAP029641
OG0000190	LOC109429277	AGAP008320
OG0000190	LOC109420894	AGAP009683
OG0000191	LOC109425624, LOC115269665	AGAP005966, AGAP005967, AGAP005968, AGAP005969
OG0000192	LOC115268599	AGAP008588
OG0000192	LOC109407097	AGAP002152
OG0000192	LOC109424591	AGAP000962
OG0000193	LOC109418366, LOC109426146, LOC109426147, LOC109417593	AGAP002022
OG0000194	LOC115268005	AGAP009540, AGAP009541, AGAP012649
OG0000196	LOC109417644, LOC109410244, LOC115255412, LOC115255411	AGAP008557
OG0000200	LOC109415401	AGAP011195
OG0000200	LOC109410678	AGAP011194
OG0000200	LOC115263783	AGAP002325
OG0000201	LOC109622199	AGAP006207
OG0000201	LOC115269915, LOC115270394	AGAP006208
OG0000201	LOC109622197	AGAP006209
OG0000202	LOC109421839, LOC109421838	AGAP000288
OG0000202	LOC109428440, LOC109428339	AGAP000289
OG0000203	LOC109426936	AGAP029591
OG0000203	LOC109623341, LOC109426935	AGAP029307
OG0000203	LOC109623338	AGAP028615
OG0000204	LOC109425685, LOC109422978	AGAP006911
OG0000204	LOC109422968	AGAP006910
OG0000204	LOC109422959	AGAP006909
OG0000205	LOC109397149	AGAP029783, AGAP012696
OG0000205	LOC109411753	AGAP009551, AGAP012673, AGAP009553, AGAP012672, AGAP009552
OG0000206	LOC109429344, LOC109428387, LOC109420951	AGAP008630, AGAP028029
OG0000206	LOC109414302	AGAP008627
OG0000207	LOC109415428, LOC109402620, LOC109402627, LOC109406592, LOC115253652, LOC109402626	AGAP001002, AGAP010637, AGAP000999, AGAP029166, AGAP013027, AGAP010669, AGAP010636, AGAP010634, AGAP001004
OG0000209	LOC109403367	AGAP011893
OG0000210	LOC109402346	AGAP011432, AGAP029292, AGAP029324, AGAP029065, AGAP029748, AGAP029117, AGAP011431, AGAP029749, AGAP029750, AGAP029747, AGAP008891
OG0000217	LOC109419237	AGAP012963
OG0000217	LOC109431380	AGAP000310
OG0000217	LOC109419238	AGAP003365
OG0000218	LOC109421462	AGAP008054
OG0000218	LOC109421387	AGAP008052, AGAP008051
OG0000219	LOC109405076	AGAP005907
OG0000219	LOC109406989, LOC109397917, LOC109406984, LOC109397915, LOC109406985, LOC109397914, LOC109406992	AGAP000907
OG0000220	LOC109622226, LOC109623014	AGAP013260
OG0000220	LOC134291628	AGAP013120
OG0000220	LOC109409085	AGAP002457
OG0000221	LOC109410283, LOC109410284	AGAP007990
OG0000221	LOC109430808, LOC134283951, LOC109424170	AGAP006775
OG0000222	LOC109431412	AGAP028196
OG0000222	LOC109402226, LOC109402225, LOC115267223	AGAP008915
OG0000223	LOC109422010	AGAP001185
OG0000223	LOC109398859	AGAP001966
OG0000223	LOC109398880	AGAP013429
OG0000224	LOC109414163	AGAP013366, AGAP012995, AGAP029279, AGAP013463
OG0000225	LOC115257287	AGAP003067
OG0000225	LOC109405426, LOC115257288	AGAP003066, AGAP003065
OG0000226	LOC115267924	AGAP002446, AGAP012970, AGAP002448, AGAP002447
OG0000229	LOC115261304, LOC109433437	AGAP003236
OG0000229	LOC109433439	AGAP002137, AGAP002008
OG0000230	LOC109418314, LOC115262116, LOC115254047, LOC115262033, LOC109410481, LOC109418283, LOC109408717	AGAP028050, AGAP008670, AGAP008671
OG0000231	LOC109413995, LOC109413996, LOC109418733, LOC109418736, LOC109418734, LOC109406485	AGAP006013, AGAP006012
OG0000232	LOC115270106, LOC109404909	AGAP005657, AGAP012667, AGAP005660, AGAP005656
OG0000233	LOC109420036, LOC109420035	AGAP001190
OG0000233	LOC109418229	AGAP001199
OG0000234	LOC109425149	AGAP007802
OG0000234	LOC109429432	AGAP007808
OG0000234	LOC109425152	AGAP007803
OG0000235	LOC109427843, LOC115264006, LOC109431305, LOC115268708, LOC109407713	AGAP013372, AGAP000706, AGAP013152, AGAP012911, AGAP012124
OG0000236	LOC109621447	AGAP001202, AGAP012383
OG0000237	LOC134287958	AGAP003501, AGAP003500
OG0000244	LOC109418168	AGAP009715, AGAP009722, AGAP009717, AGAP028644, AGAP009716, AGAP009723, AGAP009711
OG0000245	LOC109622453, LOC134285569	AGAP002360, AGAP002359
OG0000246	LOC109413319	AGAP012702, AGAP004173, AGAP004383, AGAP012839, AGAP004381, AGAP004382, AGAP012838, AGAP004380
OG0000247	LOC109426621, LOC109426620	AGAP006146, AGAP006145
OG0000247	LOC115265701	AGAP006148
OG0000248	LOC115255070, LOC109417081, LOC109420539	AGAP008404
OG0000248	LOC134289022, LOC109420537	AGAP028212
OG0000248	LOC115255069	AGAP028060
OG0000249	LOC115269854, LOC109424258, LOC109428726, LOC109424255, LOC109430243	AGAP004935, AGAP005326
OG0000250	LOC109406934	AGAP002055
OG0000250	LOC109427354	AGAP002058
OG0000250	LOC109427342	AGAP002056
OG0000251	LOC109425991, LOC115268065	AGAP012697, AGAP029782, AGAP029784
OG0000251	LOC115268042	AGAP029623, AGAP012647, AGAP029785
