Orthogroup	Aalbopictus_AalbF5	AfunestusAfunGA1
OG0000022	LOC115255489, LOC134289564, LOC134290968, LOC134286970, LOC134286246, LOC134291721, LOC134286728, LOC134284532, LOC134284533, LOC134284534, LOC134284537, LOC134291750, LOC134290772, LOC134286142, LOC134286923, LOC134290359, LOC134284635, LOC134290828, LOC134291592, LOC134284049, LOC134291500, LOC134285978, LOC134288710, LOC134287670, LOC134291910, LOC134285655	AFUN2_002978
OG0000023	LOC109400700, LOC109399437, LOC115266810, LOC115266791	AFUN2_008581, AFUN2_012787, AFUN2_013813, AFUN2_005728, AFUN2_001616
OG0000024	LOC109408695, LOC109408675	AFUN2_008754
OG0000024	LOC109403004, LOC109408692	AFUN2_004514
OG0000024	LOC109408663	AFUN2_001856
OG0000024	LOC134284686, LOC109408662	AFUN2_009727
OG0000024	LOC109408659	AFUN2_006932, AFUN2_001526, AFUN2_012131
OG0000025	LOC134291310, LOC134284801, LOC115269020, LOC134290139, LOC134289195, LOC134290425, LOC134290589	AFUN2_014130
OG0000025	LOC134290577, LOC134286864, LOC134289916, LOC134286889, LOC134290584, LOC134284395, LOC134287511, LOC134286775, LOC134286198, LOC134291886, LOC134286947, LOC134286572, LOC134290440, LOC134290236, LOC134286498, LOC134291011, LOC134290597, LOC134286599, LOC134286662, LOC134290907, LOC134289411, LOC134290516, LOC134290258, LOC134286953	AFUN2_011412, AFUN2_009073, AFUN2_014057, AFUN2_001155
OG0000026	LOC115269863	AFUN2_003253, AFUN2_004905
OG0000026	LOC109431713, LOC115267476, LOC115260125	AFUN2_006722
OG0000026	LOC109622447	AFUN2_005978
OG0000027	LOC109398505, LOC109406559, LOC109406548, LOC109406550, LOC109406555	AFUN2_012022
OG0000027	LOC109406551, LOC109398494, LOC109417369, LOC109417371, LOC109398522, LOC109398512, LOC109398504, LOC109406556, LOC109398492, LOC109406557, LOC109406553, LOC109417368, LOC115262615, LOC115262616	AFUN2_002065, AFUN2_004791
OG0000028	LOC109427450, LOC115257043, LOC134284298, LOC109426869, LOC109433030, LOC109424566, LOC134286544, LOC134291545, LOC134289483, LOC134288560, LOC109406081, LOC134288791, LOC134290864, LOC134290502, LOC134288289, LOC109430877	AFUN2_013164
OG0000028	LOC134286830	AFUN2_001898
OG0000028	LOC134288004, LOC134286665, LOC134285471, LOC134285390, LOC134290734	AFUN2_006996
OG0000028	LOC134286224	AFUN2_010476, AFUN2_002523
OG0000028	LOC134290388	AFUN2_003118, AFUN2_003598
OG0000028	LOC134288151, LOC134286380	AFUN2_008286, AFUN2_011015
OG0000028	LOC134291669, LOC115255659	AFUN2_003325
OG0000030	LOC109420622, LOC109420540, LOC109417125, LOC115255076, LOC134289023	AFUN2_012733, AFUN2_007213, AFUN2_001848, AFUN2_011448, AFUN2_005957, AFUN2_010339, AFUN2_010744, AFUN2_005913, AFUN2_012561, AFUN2_001536, AFUN2_011617, AFUN2_011391, AFUN2_001923, AFUN2_011066, AFUN2_014328, AFUN2_006386, AFUN2_012770, AFUN2_005352
OG0000031	LOC134289430, LOC134286231	AFUN2_011697
OG0000031	LOC109405467, LOC134286842, LOC134284154, LOC134292214, LOC134290284, LOC134290031, LOC134286930, LOC134291532, LOC109417163, LOC109416565, LOC115256360, LOC134286808, LOC134291204, LOC134291999, LOC134292220, LOC109430144, LOC134291446, LOC134290855, LOC109622978, LOC134289241, LOC134288973, LOC134287887, LOC134290102, LOC134288713, LOC134286257	AFUN2_011049, AFUN2_008201, AFUN2_008391, AFUN2_011664
OG0000031	LOC134286814, LOC134291789	AFUN2_002494
OG0000031	LOC134285598	AFUN2_002498
OG0000032	LOC134286630	AFUN2_000937
OG0000032	LOC134285958, LOC134285252, LOC134290546, LOC134290447, LOC134286702, LOC134290488, LOC134284658, LOC134291067, LOC115265199	AFUN2_002261
OG0000032	LOC134286685, LOC134289497, LOC134288537, LOC134290314, LOC109427185, LOC134290627, LOC134286565	AFUN2_003899, AFUN2_006152
OG0000032	LOC134290765	AFUN2_003826
OG0000033	LOC134290105, LOC109416028	AFUN2_014039
OG0000033	LOC109414923	AFUN2_008608
OG0000033	LOC109416027, LOC109414897, LOC109416024, LOC109416023	AFUN2_002394, AFUN2_008977, AFUN2_005452, AFUN2_008949, AFUN2_011104, AFUN2_007576
OG0000034	LOC109623111	AFUN2_014222
OG0000035	LOC109431735, LOC109419479, LOC115269187	AFUN2_006151, AFUN2_012246, AFUN2_011399, AFUN2_012567, AFUN2_008339, AFUN2_002432, AFUN2_003652, AFUN2_013041, AFUN2_005479, AFUN2_000582, AFUN2_014196, AFUN2_002672, AFUN2_009607, AFUN2_009222, AFUN2_006146, AFUN2_006683
OG0000037	LOC115267800	AFUN2_013181
OG0000038	LOC134288173, LOC109406651, LOC115255698, LOC134286446	AFUN2_013078
OG0000039	LOC115267561, LOC109404256, LOC109416577, LOC109429852, LOC109433331, LOC109431626, LOC109401619, LOC115260826	AFUN2_009923, AFUN2_010939, AFUN2_002356, AFUN2_001872, AFUN2_008523, AFUN2_002845
OG0000040	LOC109426099, LOC109429627, LOC109623406, LOC109623405	AFUN2_012034, AFUN2_000621
OG0000040	LOC109429616, LOC109424203	AFUN2_012970, AFUN2_011961, AFUN2_013533, AFUN2_004686
OG0000041	LOC109426885	AFUN2_000732
OG0000041	LOC109623326	AFUN2_014438
OG0000041	LOC109623385	AFUN2_001049
OG0000041	LOC109623384, LOC109623325	AFUN2_010115
OG0000041	LOC109426866	AFUN2_014544
OG0000042	LOC109402120	AFUN2_004081, AFUN2_014693
OG0000045	LOC115254791, LOC115266674, LOC134288587, LOC115262239, LOC115260912, LOC109400123, LOC134286497, LOC134288132, LOC134290932, LOC134286194, LOC109424601, LOC134284219, LOC115265664, LOC115258448, LOC134289039, LOC134287579, LOC109402167, LOC115255999, LOC134286347, LOC134285044, LOC134286727, LOC115269455, LOC134288646, LOC134284322, LOC134291242, LOC134291243, LOC134284310	AFUN2_006680
OG0000046	LOC109622330, LOC109621357, LOC109622339	AFUN2_006305, AFUN2_003082, AFUN2_013805
OG0000048	LOC109428624, LOC109422505, LOC109420363, LOC109401660, LOC109418726, LOC134292261	AFUN2_006474, AFUN2_003419, AFUN2_007098, AFUN2_011966, AFUN2_007180, AFUN2_001025
OG0000049	LOC115257883	AFUN2_008624
OG0000049	LOC115257642	AFUN2_012748
OG0000049	LOC115253560	AFUN2_002192, AFUN2_013459
OG0000050	LOC134285325	AFUN2_013758
OG0000050	LOC134289991	AFUN2_014535, AFUN2_004996, AFUN2_006077, AFUN2_002014, AFUN2_005464, AFUN2_000902, AFUN2_006595, AFUN2_002144, AFUN2_008995, AFUN2_008521, AFUN2_001949, AFUN2_014008, AFUN2_012115, AFUN2_001319, AFUN2_004099, AFUN2_001446, AFUN2_011923, AFUN2_006774, AFUN2_004135, AFUN2_008820, AFUN2_011946, AFUN2_011869, AFUN2_007728, AFUN2_002311, AFUN2_011710, AFUN2_002565, AFUN2_006170, AFUN2_002205, AFUN2_013104, AFUN2_002325, AFUN2_001048, AFUN2_012571, AFUN2_011759, AFUN2_008005, AFUN2_004119, AFUN2_013320, AFUN2_004319, AFUN2_006631, AFUN2_004722, AFUN2_009198, AFUN2_013887, AFUN2_006868, AFUN2_009902
OG0000051	LOC134287878, LOC134286741, LOC134286742, LOC134287876, LOC134286737, LOC134287877	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721
OG0000052	LOC109418979, LOC109398291, LOC109398344, LOC109399682, LOC109418960	AFUN2_013880
OG0000053	LOC134290123	AFUN2_014363, AFUN2_010396, AFUN2_010923, AFUN2_007355, AFUN2_008998, AFUN2_014545, AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584, AFUN2_001373, AFUN2_002347
OG0000055	LOC109425568	AFUN2_003795
OG0000055	LOC109430791	AFUN2_007989
OG0000055	LOC109400253, LOC115265081, LOC109423617, LOC109400264, LOC115265080, LOC115266509	AFUN2_001013, AFUN2_010954, AFUN2_006754, AFUN2_002857, AFUN2_009317, AFUN2_014083, AFUN2_006806, AFUN2_010423
OG0000057	LOC109400285, LOC109400301, LOC134286750, LOC109400303, LOC109425074	AFUN2_008318, AFUN2_006014, AFUN2_000600
OG0000058	LOC109429556, LOC109429973	AFUN2_011854, AFUN2_008788
OG0000058	LOC109429562	AFUN2_002438
OG0000058	LOC109429976	AFUN2_002842
OG0000059	LOC115263209	AFUN2_006267
OG0000059	LOC109397955	AFUN2_010578, AFUN2_006502, AFUN2_012387
OG0000059	LOC109398113	AFUN2_014242, AFUN2_009466
OG0000060	LOC109400289, LOC109425201, LOC109425203, LOC109425111, LOC109425112	AFUN2_014460
OG0000060	LOC109400353, LOC109400352, LOC109425109, LOC109400350, LOC109425107	AFUN2_011607
OG0000061	LOC115262216, LOC109407552	AFUN2_000988
OG0000061	LOC109426588	AFUN2_001934
OG0000061	LOC109412270, LOC109397255	AFUN2_001889
OG0000062	LOC115259541, LOC134285567	AFUN2_010062, AFUN2_011070, AFUN2_009059, AFUN2_003714, AFUN2_008839, AFUN2_002820, AFUN2_013747, AFUN2_007462, AFUN2_014711
OG0000063	LOC109399308, LOC109399296	AFUN2_005096
OG0000063	LOC109430420, LOC109405725, LOC109413826, LOC109428843, LOC109420947, LOC109399306, LOC115261478, LOC109426952, LOC109405771	AFUN2_009682
OG0000064	LOC109407215, LOC109407216, LOC109405887, LOC109424210, LOC109412709, LOC134285929	AFUN2_002334, AFUN2_013676
OG0000064	LOC109433412	AFUN2_011232
OG0000067	LOC109399585	AFUN2_003888
OG0000067	LOC109426033, LOC109426036	AFUN2_012011
OG0000067	LOC109426037	AFUN2_003045
OG0000067	LOC109410996, LOC109410901	AFUN2_008039
OG0000067	LOC109426035	AFUN2_008602
OG0000068	LOC109399171	AFUN2_012196
OG0000068	LOC109413965, LOC109413968, LOC109398683, LOC109405051, LOC109413969	AFUN2_006617
OG0000068	LOC109399209	AFUN2_013302
OG0000068	LOC109414002	AFUN2_009586
OG0000069	LOC134287966	AFUN2_014241
OG0000069	LOC109420427, LOC115257481, LOC115257619	AFUN2_004523, AFUN2_006118, AFUN2_010311, AFUN2_012252
OG0000071	LOC109401104	AFUN2_007775, AFUN2_009753
OG0000071	LOC109417603, LOC109402034	AFUN2_014078
OG0000071	LOC109419909	AFUN2_008604, AFUN2_008424, AFUN2_006008
OG0000072	LOC109418556	AFUN2_010362
OG0000072	LOC109422743	AFUN2_005951
OG0000072	LOC115261630	AFUN2_008401
OG0000072	LOC109403768, LOC109403788	AFUN2_008209
OG0000073	LOC109433068	AFUN2_006853
OG0000073	LOC109433130	AFUN2_012208
OG0000074	LOC109399202, LOC109399162	AFUN2_001362, AFUN2_008795, AFUN2_001014, AFUN2_003460, AFUN2_012551
OG0000074	LOC109399205	AFUN2_006428
OG0000075	LOC109424138, LOC109430779, LOC109424181, LOC115263087, LOC109424139, LOC115263088, LOC115263086, LOC115263362	AFUN2_009178, AFUN2_014263, AFUN2_005741, AFUN2_007975
OG0000076	LOC109433173, LOC109433174	AFUN2_000390, AFUN2_002799, AFUN2_012586
OG0000077	LOC109431700	AFUN2_011333
OG0000077	LOC109428459	AFUN2_001755
OG0000077	LOC115267608, LOC115267631, LOC115267607	AFUN2_000688, AFUN2_006649
OG0000077	LOC115267620	AFUN2_002148
OG0000078	LOC134284552	AFUN2_002769, AFUN2_012944
OG0000079	LOC109422640	AFUN2_004202
OG0000079	LOC109422560, LOC109399710	AFUN2_012158, AFUN2_003268, AFUN2_001951
OG0000079	LOC109418231, LOC109428005, LOC109422721	AFUN2_003859
OG0000080	LOC115265252, LOC109417572, LOC109417573	AFUN2_011331
OG0000080	LOC109417818	AFUN2_001435
OG0000080	LOC109420119, LOC109420142	AFUN2_009609, AFUN2_005626
OG0000081	LOC115265020	AFUN2_011577
OG0000081	LOC109422446, LOC115265018, LOC109422423, LOC115265016	AFUN2_004811, AFUN2_010972
OG0000081	LOC109425727	AFUN2_012341
OG0000082	LOC109408162	AFUN2_012054
OG0000083	LOC134290847, LOC134288235, LOC134290112, LOC134290353, LOC134290810, LOC109433001, LOC115260585, LOC134292119, LOC134288451, LOC134286025, LOC115257819, LOC115266822, LOC115265219, LOC134284792, LOC134292192, LOC115259409, LOC134290637, LOC115265497, LOC115268089, LOC134287734, LOC134286337, LOC134290904, LOC109430659, LOC134290905, LOC134291563, LOC134286132	AFUN2_010478
OG0000083	LOC134286213, LOC134286020	AFUN2_006892, AFUN2_009238, AFUN2_012907, AFUN2_009168, AFUN2_002474, AFUN2_001114
OG0000085	LOC109412325, LOC109422704, LOC109422705, LOC109424438, LOC115254680	AFUN2_010241, AFUN2_007525, AFUN2_013450, AFUN2_004039
OG0000086	LOC109402934	AFUN2_011858
OG0000086	LOC115258102, LOC109405184, LOC109426350, LOC115254457	AFUN2_006387, AFUN2_009185, AFUN2_010974
OG0000086	LOC109399012, LOC109622980	AFUN2_001324
OG0000088	LOC115257675, LOC115257694	AFUN2_014792
OG0000088	LOC109433460, LOC115267981, LOC109433519, LOC109418404, LOC109419766	AFUN2_006389, AFUN2_012429
OG0000089	LOC109426269, LOC134289925	AFUN2_006698
OG0000089	LOC134289926	AFUN2_004303, AFUN2_011302, AFUN2_007001, AFUN2_005638, AFUN2_010754, AFUN2_005237, AFUN2_004286
OG0000089	LOC134292138	AFUN2_005151
OG0000090	LOC109430577, LOC109424283, LOC109428699, LOC109428697	AFUN2_012179
OG0000090	LOC109399239	AFUN2_011067
OG0000090	LOC109429051	AFUN2_004646
OG0000091	LOC109429227	AFUN2_004400
OG0000096	LOC109422254	AFUN2_007046
OG0000096	LOC109414298	AFUN2_000740
OG0000096	LOC115264212	AFUN2_004816
OG0000096	LOC109422250	AFUN2_002084
OG0000097	LOC109622082	AFUN2_004895
OG0000097	LOC109433277	AFUN2_005456, AFUN2_013795, AFUN2_011155, AFUN2_013131
OG0000098	LOC115258660, LOC109419553, LOC109409374, LOC115258766, LOC115260917	AFUN2_000935
OG0000100	LOC134291875, LOC109400030, LOC134287894, LOC134289442, LOC115261683, LOC134290109, LOC134287558, LOC134290423, LOC109427468, LOC109418037, LOC134285758, LOC109407031, LOC134286952, LOC134288613, LOC134288501, LOC109397798, LOC134287848, LOC115257010, LOC134288204, LOC115256875, LOC115267400, LOC134284439, LOC134291333, LOC134290764, LOC134286362, LOC134290848, LOC134288782, LOC134288381, LOC134291246, LOC134285340, LOC134285931, LOC134286637	AFUN2_004153
OG0000101	LOC134290421, LOC134283965, LOC134286528, LOC134286992, LOC134285704, LOC134288420, LOC115256751, LOC134291238, LOC134285106, LOC134285342, LOC134290922, LOC134290420, LOC134290133, LOC134290194, LOC134286036, LOC134286986, LOC134290593, LOC134288995, LOC134290578, LOC134290574, LOC134291565, LOC134290482, LOC134290278, LOC134286210, LOC134286991, LOC134286570, LOC134288034	AFUN2_010533
OG0000104	LOC109421248, LOC109421247, LOC109410842, LOC109421246	AFUN2_001037
OG0000104	LOC109410832, LOC109427506, LOC109427507	AFUN2_011196, AFUN2_006302
OG0000107	LOC134285144, LOC115269113, LOC115269114, LOC109397170, LOC134285135, LOC134285132, LOC134285129, LOC134287048, LOC134284153, LOC115264363, LOC115265698	AFUN2_001412, AFUN2_012650
OG0000108	LOC109429333, LOC109421068, LOC109429251, LOC109421067, LOC109429469, LOC115258785, LOC109421073, LOC109428607, LOC109421072	AFUN2_013458
OG0000109	LOC134288467, LOC109417980	AFUN2_009795
OG0000109	LOC109402397, LOC134284738	AFUN2_004467
OG0000109	LOC109402380	AFUN2_002263
OG0000111	LOC115265527, LOC115253427, LOC115265528, LOC115265526, LOC109432478, LOC115253746	AFUN2_012122, AFUN2_010977, AFUN2_001513, AFUN2_001833, AFUN2_007611
OG0000114	LOC109421190, LOC109432449, LOC115259293, LOC109432455, LOC109432439, LOC109421209	AFUN2_001369, AFUN2_010132
OG0000115	LOC109413498	AFUN2_007755
OG0000115	LOC109410773	AFUN2_008885
OG0000116	LOC115262061	AFUN2_012892
OG0000116	LOC115262073	AFUN2_001632, AFUN2_011292
OG0000116	LOC109400294	AFUN2_005701
OG0000117	LOC109398787, LOC134290019	AFUN2_007418, AFUN2_007392
OG0000117	LOC115260521, LOC109401323, LOC109422908, LOC115269192, LOC115258941, LOC115266654	AFUN2_014579, AFUN2_013280
OG0000119	LOC109409689	AFUN2_008133
OG0000119	LOC109409692, LOC109409691, LOC109409690, LOC134287661	AFUN2_003288
OG0000120	LOC109402840, LOC109406119, LOC115261111	AFUN2_014360
OG0000120	LOC115261112	AFUN2_014310, AFUN2_007600
OG0000127	LOC109399383, LOC109430899, LOC115263186, LOC115263188, LOC115263189, LOC109411349	AFUN2_007961, AFUN2_014650, AFUN2_010892
OG0000128	LOC109396992	AFUN2_009017
OG0000128	LOC109397004	AFUN2_013941
OG0000128	LOC115262796	AFUN2_007884
OG0000129	LOC109428071, LOC109418295, LOC109418292, LOC109418299	AFUN2_004369, AFUN2_004902, AFUN2_001390
OG0000129	LOC109421658	AFUN2_011235, AFUN2_004109
OG0000130	LOC109426323	AFUN2_011184
OG0000130	LOC109421326	AFUN2_008453, AFUN2_009668
OG0000131	LOC109420718	AFUN2_005171
OG0000131	LOC109419859	AFUN2_011906
OG0000131	LOC109420609	AFUN2_003726
OG0000131	LOC109420605	AFUN2_006692
OG0000132	LOC109397421	AFUN2_007055, AFUN2_004597
OG0000133	LOC109425940	AFUN2_010213
OG0000133	LOC109433309, LOC134291485	AFUN2_005015, AFUN2_001924, AFUN2_013209
OG0000134	LOC115267583	AFUN2_008047, AFUN2_001568
OG0000136	LOC109418558, LOC109413120, LOC109400919	AFUN2_003409
OG0000136	LOC109401827, LOC109412093, LOC109404625	AFUN2_000794
OG0000138	LOC134288116, LOC134290710, LOC134290318, LOC134286586, LOC109424308, LOC134290298, LOC134288779, LOC134286503, LOC134286617, LOC134290654, LOC115269859, LOC134284177, LOC134286282, LOC134290727, LOC115265157, LOC134288976, LOC134289054, LOC134285358, LOC134290697, LOC134288520, LOC134290351, LOC115266900, LOC115260488, LOC134284662, LOC134286606, LOC134289510, LOC134286281, LOC134286274, LOC109398944, LOC134288270, LOC134291197, LOC134291809, LOC134290603, LOC109416329, LOC134291419	AFUN2_011833
OG0000141	LOC115266541, LOC109426247, LOC115266539, LOC109411169, LOC109411161, LOC109426249, LOC109426250	AFUN2_004272, AFUN2_006156
OG0000142	LOC109401436, LOC109423496	AFUN2_002023, AFUN2_002866
OG0000142	LOC109423512	AFUN2_007901
OG0000142	LOC109423498	AFUN2_008099
OG0000143	LOC109422665, LOC109401117	AFUN2_004552
OG0000144	LOC109404515, LOC109398775, LOC134290966, LOC109406348, LOC109397614, LOC134290793, LOC115260148, LOC134290866, LOC115259426, LOC134289714, LOC115264397	AFUN2_007342
OG0000146	LOC109406196, LOC109406203	AFUN2_008600, AFUN2_001333, AFUN2_000602
