Orthogroup	AminimusMINIMUS1	AstephensiUCISS2018
OG0000039	AMIN015958	ASTEI20_041961
OG0000039	AMIN015957	ASTEI20_034016
OG0000039	AMIN010824	ASTEI20_042151
OG0000039	AMIN007947	ASTEI20_039200, ASTEI20_040849
OG0000039	AMIN007946	ASTEI20_035166, ASTEI20_036321
OG0000039	AMIN015959	ASTEI20_037293
OG0000040	AMIN015663	ASTEI20_037172
OG0000040	AMIN015574	ASTEI20_034704
OG0000040	AMIN015575	ASTEI20_040829
OG0000040	AMIN001806, AMIN001807	ASTEI20_039503
OG0000041	AMIN008776	ASTEI20_038827
OG0000041	AMIN008777	ASTEI20_038756
OG0000041	AMIN003187	ASTEI20_036497
OG0000042	AMIN005907	ASTEI20_044170, ASTEI20_041547
OG0000042	AMIN001699	ASTEI20_038339
OG0000042	AMIN015669, AMIN015668	ASTEI20_037084
OG0000045	AMIN001066	ASTEI20_038821
OG0000046	AMIN002797	ASTEI20_033536
OG0000048	AMIN011325	ASTEI20_036610, ASTEI20_030791, ASTEI20_041758, ASTEI20_034337, ASTEI20_034409
OG0000049	AMIN015888	ASTEI20_044950
OG0000049	AMIN015886	ASTEI20_031080
OG0000049	AMIN015889	ASTEI20_037621
OG0000049	AMIN015891	ASTEI20_031880
OG0000049	AMIN015890	ASTEI20_039499
OG0000050	AMIN001582, AMIN000977, AMIN005873	ASTEI20_036104, ASTEI20_039399
OG0000051	AMIN006620, AMIN014521	ASTEI20_044484, ASTEI20_034934, ASTEI20_031678, ASTEI20_043623, ASTEI20_035103
OG0000052	AMIN015582	ASTEI20_043416
OG0000052	AMIN015585, AMIN015584	ASTEI20_035536
OG0000053	AMIN009403	ASTEI20_043576
OG0000053	AMIN009402	ASTEI20_032861, ASTEI20_037570, ASTEI20_036072
OG0000055	AMIN002458	ASTEI20_041788, ASTEI20_036817
OG0000056	AMIN004372	ASTEI20_043631, ASTEI20_034068, ASTEI20_040541, ASTEI20_037672, ASTEI20_032489
OG0000057	AMIN006625	ASTEI20_031438, ASTEI20_044408, ASTEI20_032987, ASTEI20_039149, ASTEI20_036909
OG0000057	AMIN006626	ASTEI20_043801, ASTEI20_033403
OG0000057	AMIN014522	ASTEI20_041738
OG0000058	AMIN001846	ASTEI20_042767
OG0000058	AMIN009389	ASTEI20_036123, ASTEI20_031030
OG0000059	AMIN016229	ASTEI20_040465, ASTEI20_032721, ASTEI20_039207
OG0000059	AMIN016293	ASTEI20_040754
OG0000059	AMIN010123	ASTEI20_037464
OG0000060	AMIN006628	ASTEI20_037656
OG0000060	AMIN014523	ASTEI20_045967
OG0000060	AMIN006627	ASTEI20_044978
OG0000061	AMIN006938	ASTEI20_045924, ASTEI20_044992
OG0000061	AMIN007997	ASTEI20_042918
OG0000061	AMIN004599	ASTEI20_036073, ASTEI20_042895
OG0000062	AMIN001001	ASTEI20_044163
OG0000062	AMIN000304	ASTEI20_037850
OG0000063	AMIN002564	ASTEI20_042329, ASTEI20_039640
OG0000063	AMIN003060	ASTEI20_041397
OG0000064	AMIN001329	ASTEI20_036363
OG0000064	AMIN001327	ASTEI20_032269
OG0000064	AMIN003132	ASTEI20_045444
OG0000064	AMIN001330	ASTEI20_030805
OG0000064	AMIN001328	ASTEI20_034042
OG0000067	AMIN015537	ASTEI20_033258
OG0000067	AMIN015982	ASTEI20_038682
OG0000067	AMIN008926	ASTEI20_040377
OG0000067	AMIN000636	ASTEI20_044258
OG0000067	AMIN015981	ASTEI20_046110
OG0000068	AMIN010935	ASTEI20_045828
OG0000069	AMIN003229	ASTEI20_035338
OG0000069	AMIN010636	ASTEI20_038112
OG0000069	AMIN016114	ASTEI20_039804
OG0000069	AMIN003907	ASTEI20_031615
OG0000071	AMIN000434	ASTEI20_033179
OG0000071	AMIN005942	ASTEI20_041551
OG0000071	AMIN005941	ASTEI20_037620
OG0000071	AMIN005945	ASTEI20_035007
OG0000072	AMIN008641	ASTEI20_043809
OG0000072	AMIN000778	ASTEI20_045176
OG0000072	AMIN011262	ASTEI20_045641, ASTEI20_039665
OG0000073	AMIN006338	ASTEI20_036269
OG0000073	AMIN006336	ASTEI20_037565
OG0000074	AMIN007418	ASTEI20_041942
OG0000074	AMIN007419	ASTEI20_036102
OG0000074	AMIN010517	ASTEI20_031364
OG0000075	AMIN009972	ASTEI20_043256, ASTEI20_044173, ASTEI20_045639
OG0000075	AMIN009971	ASTEI20_041998
OG0000075	AMIN009973	ASTEI20_037835
OG0000076	AMIN007057	ASTEI20_040347
OG0000076	AMIN006792, AMIN006791, AMIN008359	ASTEI20_035431
OG0000076	AMIN004343	ASTEI20_045335
OG0000077	AMIN015956	ASTEI20_041229
OG0000077	AMIN015954	ASTEI20_037597
OG0000077	AMIN015955	ASTEI20_042788
OG0000077	AMIN015952	ASTEI20_038766
OG0000077	AMIN015953	ASTEI20_034638
OG0000078	AMIN004967	ASTEI20_044002
OG0000079	AMIN015620	ASTEI20_042516
OG0000079	AMIN015621, AMIN016252	ASTEI20_038502, ASTEI20_045603
OG0000079	AMIN015622	ASTEI20_045836
OG0000080	AMIN007961, AMIN007987	ASTEI20_037839
OG0000080	AMIN010419	ASTEI20_038192
OG0000080	AMIN008322	ASTEI20_035820, ASTEI20_038748
OG0000081	AMIN010657	ASTEI20_044597
OG0000081	AMIN010659	ASTEI20_041167
OG0000081	AMIN010656	ASTEI20_045891
OG0000082	AMIN008381	ASTEI20_035318
OG0000083	AMIN000069	ASTEI20_039769, ASTEI20_038111, ASTEI20_041140, ASTEI20_040249, ASTEI20_033090, ASTEI20_044624
OG0000085	AMIN015862	ASTEI20_033228
OG0000085	AMIN015860	ASTEI20_037988
OG0000085	AMIN015861, AMIN015859, AMIN015863, AMIN015858	ASTEI20_039794
OG0000086	AMIN008148	ASTEI20_036600
OG0000086	AMIN000451	ASTEI20_036223, ASTEI20_035207, ASTEI20_037451
OG0000086	AMIN002615	ASTEI20_043950
OG0000088	AMIN008863	ASTEI20_042317
OG0000088	AMIN009049	ASTEI20_035957
OG0000088	AMIN009053	ASTEI20_030868
OG0000089	AMIN006914	ASTEI20_031474, ASTEI20_033656, ASTEI20_034314, ASTEI20_038747, ASTEI20_043719
OG0000090	AMIN010523	ASTEI20_044859
OG0000090	AMIN010488	ASTEI20_044104, ASTEI20_039435
OG0000091	AMIN002875	ASTEI20_043825
OG0000093	AMIN009880	ASTEI20_037262
OG0000093	AMIN014793	ASTEI20_033729
OG0000096	AMIN009310	ASTEI20_039679
OG0000096	AMIN014712	ASTEI20_033293
OG0000096	AMIN010757	ASTEI20_044580
OG0000096	AMIN001255	ASTEI20_044690
OG0000097	AMIN003983	ASTEI20_041240
OG0000097	AMIN003985	ASTEI20_045034
OG0000098	AMIN009752	ASTEI20_035940
OG0000103	AMIN014130	ASTEI20_040437
OG0000103	AMIN010202	ASTEI20_031248
OG0000103	AMIN006800	ASTEI20_041286, ASTEI20_041968, ASTEI20_040764, ASTEI20_041606, ASTEI20_040118, ASTEI20_042060, ASTEI20_033705, ASTEI20_038991, ASTEI20_044176, ASTEI20_032305, ASTEI20_043471, ASTEI20_042968, ASTEI20_032059, ASTEI20_043781, ASTEI20_034947, ASTEI20_033546, ASTEI20_038930
OG0000104	AMIN001011	ASTEI20_031442
OG0000105	AMIN004525, AMIN004526, AMIN004527, AMIN004524	ASTEI20_043210
OG0000105	AMIN004517, AMIN004457	ASTEI20_041014, ASTEI20_037458
OG0000107	AMIN003226	ASTEI20_036614
OG0000108	AMIN001146	ASTEI20_031790, ASTEI20_039367
OG0000109	AMIN007943	ASTEI20_035723
OG0000109	AMIN000020	ASTEI20_041902
OG0000111	AMIN005870	ASTEI20_041472, ASTEI20_034526, ASTEI20_032750, ASTEI20_033872, ASTEI20_035732, ASTEI20_035816, ASTEI20_040937, ASTEI20_037402, ASTEI20_040392
OG0000114	AMIN005869	ASTEI20_043145
OG0000115	AMIN007799	ASTEI20_031924
OG0000115	AMIN007798	ASTEI20_034594
OG0000116	AMIN009560	ASTEI20_044702
OG0000119	AMIN011174	ASTEI20_031989
OG0000119	AMIN011175	ASTEI20_033264, ASTEI20_035228
OG0000120	AMIN015839	ASTEI20_031113
OG0000120	AMIN015840	ASTEI20_040639
OG0000120	AMIN015843	ASTEI20_043620
OG0000120	AMIN007643	ASTEI20_036340
OG0000123	AMIN001063	ASTEI20_045570
OG0000124	AMIN010446	ASTEI20_042719
OG0000124	AMIN010457	ASTEI20_031108
OG0000124	AMIN010445	ASTEI20_042994, ASTEI20_033894
OG0000125	AMIN008362	ASTEI20_030793
OG0000127	AMIN000423	ASTEI20_045429, ASTEI20_037750, ASTEI20_032628, ASTEI20_039828
OG0000128	AMIN016003	ASTEI20_039421
OG0000128	AMIN009297	ASTEI20_041892
OG0000128	AMIN016286	ASTEI20_040479
OG0000128	AMIN016287	ASTEI20_031766
OG0000129	AMIN002441	ASTEI20_042029
OG0000130	AMIN000464	ASTEI20_041330
OG0000130	AMIN009807	ASTEI20_043872
OG0000131	AMIN009597	ASTEI20_045120, ASTEI20_034975
OG0000131	AMIN009593	ASTEI20_033405
OG0000132	AMIN008147	ASTEI20_035199
OG0000132	AMIN008145	ASTEI20_036305
OG0000132	AMIN009203	ASTEI20_031453
OG0000133	AMIN006896	ASTEI20_033689
OG0000133	AMIN008836	ASTEI20_035006
OG0000133	AMIN008837	ASTEI20_045111
OG0000134	AMIN010110	ASTEI20_035158
OG0000134	AMIN010108	ASTEI20_041705
OG0000134	AMIN010109	ASTEI20_031508
OG0000135	AMIN009411	ASTEI20_040602
OG0000135	AMIN009027	ASTEI20_037939
OG0000135	AMIN007093	ASTEI20_033495
OG0000136	AMIN008377	ASTEI20_031418
OG0000136	AMIN001881	ASTEI20_044015
OG0000141	AMIN011058	ASTEI20_038928
OG0000142	AMIN003855	ASTEI20_030926, ASTEI20_031775
OG0000142	AMIN000952	ASTEI20_039078
OG0000142	AMIN003784	ASTEI20_035078
OG0000143	AMIN002682	ASTEI20_031603, ASTEI20_038786, ASTEI20_032430
OG0000146	AMIN000516	ASTEI20_044971
OG0000147	AMIN016141	ASTEI20_039262
OG0000147	AMIN016134, AMIN016136	ASTEI20_034963
OG0000147	AMIN016135	ASTEI20_034030
OG0000148	AMIN009492, AMIN009494	ASTEI20_032218
OG0000148	AMIN009495	ASTEI20_036802
OG0000149	AMIN011053	ASTEI20_032560
OG0000149	AMIN016042	ASTEI20_037704
OG0000150	AMIN011243	ASTEI20_036593
OG0000152	AMIN007972	ASTEI20_033865
OG0000152	AMIN009947	ASTEI20_040792
OG0000154	AMIN000711	ASTEI20_038954
OG0000154	AMIN006064	ASTEI20_038354, ASTEI20_039327, ASTEI20_031393
OG0000155	AMIN015664, AMIN015665	ASTEI20_044262
OG0000157	AMIN001668	ASTEI20_038779
OG0000157	AMIN010663	ASTEI20_044052
OG0000158	AMIN006660	ASTEI20_032230
OG0000158	AMIN006604	ASTEI20_037624, ASTEI20_045998, ASTEI20_046139, ASTEI20_040433, ASTEI20_035584, ASTEI20_036401, ASTEI20_045588, ASTEI20_035092, ASTEI20_035184, ASTEI20_037880, ASTEI20_043564, ASTEI20_043047, ASTEI20_041452, ASTEI20_040219, ASTEI20_043610, ASTEI20_039559, ASTEI20_045001, ASTEI20_032291, ASTEI20_039182, ASTEI20_038039, ASTEI20_042601, ASTEI20_040449
OG0000159	AMIN015672	ASTEI20_032043
OG0000159	AMIN015679	ASTEI20_037617
OG0000159	AMIN015678	ASTEI20_041266
OG0000160	AMIN007249, AMIN006471, AMIN007271, AMIN003417	ASTEI20_036554
OG0000160	AMIN010021	ASTEI20_033604
OG0000161	AMIN010046	ASTEI20_038429
OG0000162	AMIN006857	ASTEI20_040102
OG0000162	AMIN006855	ASTEI20_035676
OG0000163	AMIN001822	ASTEI20_034625, ASTEI20_031376, ASTEI20_042082
OG0000164	AMIN004931	ASTEI20_038451
OG0000164	AMIN004928	ASTEI20_037482
OG0000165	AMIN005409	ASTEI20_035964
OG0000165	AMIN004970	ASTEI20_037574
OG0000166	AMIN007525	ASTEI20_038043, ASTEI20_041976
OG0000171	AMIN004244	ASTEI20_037136
OG0000172	AMIN008835	ASTEI20_034185
OG0000172	AMIN008838	ASTEI20_042714
OG0000172	AMIN008827	ASTEI20_033958
OG0000173	AMIN007048	ASTEI20_042047
OG0000173	AMIN007047	ASTEI20_034429
OG0000174	AMIN010113	ASTEI20_038604
OG0000174	AMIN005847	ASTEI20_035066
OG0000174	AMIN015909	ASTEI20_042620
OG0000176	AMIN014572, AMIN006846	ASTEI20_032435, ASTEI20_031492, ASTEI20_043773, ASTEI20_037269, ASTEI20_037392
OG0000176	AMIN006477	ASTEI20_044810, ASTEI20_037968, ASTEI20_043036, ASTEI20_044465
OG0000177	AMIN001287, AMIN010056, AMIN004550, AMIN011665, AMIN006441	ASTEI20_032948
OG0000180	AMIN009804	ASTEI20_032174
OG0000181	AMIN009918	ASTEI20_039654
OG0000181	AMIN009916, AMIN009915	ASTEI20_035911
OG0000182	AMIN004725	ASTEI20_034555
OG0000182	AMIN016128	ASTEI20_041278
OG0000182	AMIN016130	ASTEI20_034958
OG0000183	AMIN002688	ASTEI20_046015, ASTEI20_044856
OG0000183	AMIN003141	ASTEI20_038174
OG0000184	AMIN001894	ASTEI20_033069
OG0000184	AMIN015554, AMIN001896	ASTEI20_036642
OG0000184	AMIN015555	ASTEI20_037581
OG0000185	AMIN008694	ASTEI20_042706, ASTEI20_031403
OG0000185	AMIN011065	ASTEI20_032807, ASTEI20_034055
OG0000187	AMIN000726	ASTEI20_038550
OG0000188	AMIN011638	ASTEI20_038409
OG0000189	AMIN004715	ASTEI20_035278
OG0000189	AMIN003400	ASTEI20_043379, ASTEI20_036958, ASTEI20_033773, ASTEI20_043697
OG0000190	AMIN009845	ASTEI20_031858
OG0000190	AMIN005982	ASTEI20_037310
OG0000190	AMIN001539	ASTEI20_033651
OG0000191	AMIN010963	ASTEI20_035041
OG0000191	AMIN010962	ASTEI20_031723
OG0000191	AMIN010961	ASTEI20_032678
OG0000191	AMIN010960	ASTEI20_037932
OG0000192	AMIN009154	ASTEI20_041022
OG0000192	AMIN003113	ASTEI20_033456
OG0000192	AMIN016221	ASTEI20_038790
OG0000193	AMIN005247	ASTEI20_035925
OG0000193	AMIN005248, AMIN015557	ASTEI20_034914, ASTEI20_032918
OG0000193	AMIN005246, AMIN001550	ASTEI20_041607
OG0000194	AMIN001917	ASTEI20_032207
OG0000196	AMIN001000	ASTEI20_042814
OG0000200	AMIN008384	ASTEI20_040182
OG0000200	AMIN008385	ASTEI20_032444
OG0000200	AMIN004606	ASTEI20_035878
OG0000201	AMIN011329	ASTEI20_036827
OG0000202	AMIN005702	ASTEI20_033661
OG0000202	AMIN005629	ASTEI20_044437
OG0000204	AMIN015947	ASTEI20_033339
OG0000204	AMIN015945	ASTEI20_044531
OG0000205	AMIN004379	ASTEI20_031920
OG0000206	AMIN015995	ASTEI20_039018
OG0000206	AMIN009119	ASTEI20_045728
OG0000207	AMIN016067, AMIN016068	ASTEI20_034853
OG0000208	AMIN008403	ASTEI20_045322
OG0000208	AMIN008402	ASTEI20_034058
OG0000210	AMIN008980	ASTEI20_043190
OG0000210	AMIN008979	ASTEI20_039456
OG0000211	AMIN009162	ASTEI20_037118, ASTEI20_041718, ASTEI20_039007
OG0000216	AMIN006105	ASTEI20_042509, ASTEI20_036668, ASTEI20_032966, ASTEI20_042064
OG0000217	AMIN000805	ASTEI20_040200
OG0000217	AMIN001961	ASTEI20_036703
OG0000218	AMIN006218	ASTEI20_038944
OG0000218	AMIN006220	ASTEI20_039263
OG0000219	AMIN001093	ASTEI20_035108
OG0000220	AMIN002726	ASTEI20_035755
OG0000221	AMIN006274	ASTEI20_038135
OG0000221	AMIN010066	ASTEI20_037201
OG0000222	AMIN001686	ASTEI20_035055
OG0000222	AMIN001152	ASTEI20_041199
OG0000223	AMIN002292	ASTEI20_037771
OG0000224	AMIN003071	ASTEI20_038501
OG0000225	AMIN003771	ASTEI20_037793, ASTEI20_038611
OG0000226	AMIN002722	ASTEI20_036749, ASTEI20_033104, ASTEI20_033107, ASTEI20_043945
OG0000226	AMIN002711, AMIN002712	ASTEI20_044426, ASTEI20_037857
OG0000226	AMIN002715	ASTEI20_036968, ASTEI20_035152
OG0000228	AMIN010471	ASTEI20_034891
OG0000229	AMIN000391	ASTEI20_046124
OG0000229	AMIN003127	ASTEI20_032722
OG0000229	AMIN003317	ASTEI20_037602
OG0000230	AMIN009075, AMIN009077	ASTEI20_034005
OG0000231	AMIN010930	ASTEI20_040405
OG0000231	AMIN010931	ASTEI20_043476
OG0000232	AMIN010173, AMIN010175, AMIN016211	ASTEI20_044096, ASTEI20_038687, ASTEI20_044010, ASTEI20_040318
OG0000232	AMIN016210	ASTEI20_040000, ASTEI20_042206
OG0000233	AMIN002286	ASTEI20_041338
OG0000233	AMIN002275	ASTEI20_038872
OG0000234	AMIN006393	ASTEI20_043253
OG0000234	AMIN006400	ASTEI20_031455
OG0000234	AMIN006394	ASTEI20_040171
OG0000236	AMIN002269, AMIN002270	ASTEI20_036868
OG0000236	AMIN008944	ASTEI20_032536
OG0000237	AMIN000894	ASTEI20_039839
OG0000244	AMIN009457	ASTEI20_035715
OG0000245	AMIN000228	ASTEI20_043968, ASTEI20_037895
OG0000246	AMIN004180	ASTEI20_041860
OG0000246	AMIN004771	ASTEI20_037168, ASTEI20_031502
OG0000247	AMIN010670	ASTEI20_032101
OG0000247	AMIN010668	ASTEI20_044238
OG0000248	AMIN016192	ASTEI20_042839
OG0000249	AMIN011428	ASTEI20_039526
OG0000249	AMIN007370	ASTEI20_038673
OG0000250	AMIN003364	ASTEI20_038490
OG0000251	AMIN004378	ASTEI20_040414
OG0000252	AMIN008785	ASTEI20_040133
OG0000253	AMIN003457	ASTEI20_036887
OG0000254	AMIN000082	ASTEI20_033239
OG0000254	AMIN000940	ASTEI20_034532
OG0000255	AMIN016175	ASTEI20_042761
OG0000256	AMIN000774	ASTEI20_045578
OG0000256	AMIN000776, AMIN000777	ASTEI20_042134
OG0000256	AMIN000775	ASTEI20_044073
OG0000257	AMIN001434	ASTEI20_033195
OG0000260	AMIN003553	ASTEI20_037645
OG0000263	AMIN014004	ASTEI20_045271, ASTEI20_032519, ASTEI20_037013, ASTEI20_039929, ASTEI20_032243, ASTEI20_034862, ASTEI20_031551, ASTEI20_043655
OG0000265	AMIN010596	ASTEI20_044851
OG0000265	AMIN010587	ASTEI20_037660
OG0000265	AMIN005808	ASTEI20_038227
OG0000266	AMIN001628	ASTEI20_042056
OG0000266	AMIN006383	ASTEI20_041270
OG0000266	AMIN006382	ASTEI20_035075
OG0000267	AMIN004190	ASTEI20_032809
OG0000267	AMIN004770	ASTEI20_044700
OG0000268	AMIN007059	ASTEI20_032301
OG0000268	AMIN007060	ASTEI20_032365
OG0000269	AMIN016284	ASTEI20_045911, ASTEI20_044456
OG0000270	AMIN011416	ASTEI20_032190
OG0000270	AMIN008623	ASTEI20_043741, ASTEI20_040825
OG0000270	AMIN015971	ASTEI20_034360, ASTEI20_030843
OG0000271	AMIN001411	ASTEI20_031771
OG0000272	AMIN008763	ASTEI20_042478
OG0000272	AMIN008100	ASTEI20_037724
OG0000273	AMIN015825	ASTEI20_032020
OG0000273	AMIN015824	ASTEI20_041023
OG0000273	AMIN002200	ASTEI20_043316
OG0000274	AMIN006742	ASTEI20_031515
OG0000276	AMIN008276	ASTEI20_041437
OG0000277	AMIN000409	ASTEI20_032397
OG0000278	AMIN011462	ASTEI20_037609
OG0000278	AMIN011446	ASTEI20_041680
OG0000278	AMIN011465	ASTEI20_037766
OG0000279	AMIN014755	ASTEI20_038838
OG0000280	AMIN006822	ASTEI20_038614
OG0000280	AMIN006823	ASTEI20_035880
OG0000280	AMIN006824	ASTEI20_042533
OG0000285	AMIN002977	ASTEI20_039558
OG0000285	AMIN015604	ASTEI20_040836
OG0000285	AMIN015606	ASTEI20_032893
OG0000287	AMIN015655, AMIN015654, AMIN015652	ASTEI20_037346
OG0000287	AMIN015653	ASTEI20_036690
OG0000288	AMIN001788	ASTEI20_040021
OG0000289	AMIN009186	ASTEI20_035189, ASTEI20_042758
OG0000290	AMIN015559	ASTEI20_044792
OG0000290	AMIN008540	ASTEI20_037666
OG0000290	AMIN015558	ASTEI20_038975
