Orthogroup	AminimusMINIMUS1	CquinquefasciatusJHB2020
OG0000015	AMIN015544, AMIN015543, AMIN015541, AMIN015542, AMIN010826	CQUJHB017458
OG0000016	AMIN006761	CQUJHB001667, CQUJHB007454, CQUJHB003219, CQUJHB007767, CQUJHB016639
OG0000017	AMIN004079	CQUJHB006644
OG0000017	AMIN011507	CQUJHB017511
OG0000019	AMIN009371	CQUJHB010923, CQUJHB017568, CQUJHB012227, CQUJHB003348, CQUJHB005206, CQUJHB011701, CQUJHB008385, CQUJHB008344, CQUJHB016812, CQUJHB000031, CQUJHB005502, CQUJHB009245, CQUJHB004876, CQUJHB006191, CQUJHB011660, CQUJHB002802, CQUJHB006041, CQUJHB016337, CQUJHB008421, CQUJHB002737, CQUJHB005792, CQUJHB003290, CQUJHB008431, CQUJHB018142, CQUJHB009958, CQUJHB013002, CQUJHB014465, CQUJHB016035, CQUJHB010353, CQUJHB017625, CQUJHB011151, CQUJHB009551, CQUJHB000379, CQUJHB015659, CQUJHB012970, CQUJHB000572, CQUJHB005444, CQUJHB010983, CQUJHB002061, CQUJHB002839, CQUJHB017860
OG0000020	AMIN008653, AMIN008654, AMIN008394, AMIN000732, AMIN009924, AMIN007524, AMIN008655, AMIN008393	CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495
OG0000021	AMIN015466	CQUJHB005197
OG0000021	AMIN015467	CQUJHB014638
OG0000021	AMIN015464	CQUJHB010956
OG0000021	AMIN015465	CQUJHB016733
OG0000021	AMIN015484	CQUJHB015628
OG0000022	AMIN001286	CQUJHB013191, CQUJHB015725, CQUJHB017245, CQUJHB003806, CQUJHB013101, CQUJHB004318, CQUJHB008392, CQUJHB003227, CQUJHB002133, CQUJHB015664, CQUJHB010128, CQUJHB005252, CQUJHB004885, CQUJHB003399, CQUJHB015966, CQUJHB017117, CQUJHB003827, CQUJHB018042
OG0000023	AMIN002718	CQUJHB002404
OG0000023	AMIN007647, AMIN007646	CQUJHB000253, CQUJHB005111, CQUJHB002050, CQUJHB007212
OG0000023	AMIN007806	CQUJHB015434, CQUJHB012060
OG0000024	AMIN007573	CQUJHB005662
OG0000024	AMIN007572	CQUJHB001106, CQUJHB003177
OG0000024	AMIN011339	CQUJHB015002
OG0000026	AMIN015474	CQUJHB017272
OG0000026	AMIN015475	CQUJHB011732, CQUJHB012165
OG0000026	AMIN015479	CQUJHB005106
OG0000026	AMIN015731	CQUJHB007540
OG0000027	AMIN006557, AMIN006558	CQUJHB008109, CQUJHB008680, CQUJHB008247, CQUJHB011016, CQUJHB011122, CQUJHB017358, CQUJHB008899, CQUJHB012953, CQUJHB006211, CQUJHB003906, CQUJHB001161, CQUJHB015070, CQUJHB003476, CQUJHB011300, CQUJHB003752
OG0000028	AMIN001236	CQUJHB009718
OG0000030	AMIN006996, AMIN006995, AMIN006765, AMIN007001, AMIN006992, AMIN002000, AMIN006991, AMIN007005, AMIN007004, AMIN006994	CQUJHB013699, CQUJHB008107, CQUJHB010736, CQUJHB010439
OG0000031	AMIN006442, AMIN004950	CQUJHB005184, CQUJHB006333
OG0000032	AMIN001332	CQUJHB013916, CQUJHB002841, CQUJHB018268, CQUJHB000206, CQUJHB010055, CQUJHB001736, CQUJHB009611, CQUJHB001221, CQUJHB005224, CQUJHB003097, CQUJHB017356, CQUJHB004843, CQUJHB006636, CQUJHB013020, CQUJHB004712, CQUJHB014732, CQUJHB012568, CQUJHB000350, CQUJHB015139, CQUJHB009262, CQUJHB001800, CQUJHB002859, CQUJHB015715, CQUJHB005183, CQUJHB008412, CQUJHB008157, CQUJHB003203, CQUJHB010737, CQUJHB010350
OG0000034	AMIN010991	CQUJHB012032
OG0000037	AMIN002827, AMIN006508, AMIN006509, AMIN003922, AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942, AMIN003923, AMIN003925, AMIN003924, AMIN000003, AMIN004541, AMIN004540, AMIN004539	CQUJHB011063
OG0000039	AMIN015958, AMIN015957, AMIN010824, AMIN007947, AMIN007946, AMIN015959	CQUJHB008310, CQUJHB006780, CQUJHB014689, CQUJHB010451, CQUJHB011408, CQUJHB015873, CQUJHB005401, CQUJHB015714, CQUJHB007411
OG0000040	AMIN015663, AMIN015662	CQUJHB002131, CQUJHB000018, CQUJHB020446
OG0000040	AMIN015574, AMIN015575, AMIN001806, AMIN001807, AMIN015590, AMIN015591	CQUJHB020438
OG0000041	AMIN008776	CQUJHB001955, CQUJHB001825
OG0000041	AMIN008777	CQUJHB000581
OG0000041	AMIN003187	CQUJHB000078, CQUJHB001849, CQUJHB006430
OG0000042	AMIN005907, AMIN001699	CQUJHB006261
OG0000045	AMIN001066	CQUJHB000359, CQUJHB018399, CQUJHB003478, CQUJHB004554
OG0000046	AMIN002797	CQUJHB005669, CQUJHB017284
OG0000048	AMIN011325	CQUJHB016807, CQUJHB013985, CQUJHB018159, CQUJHB005082, CQUJHB004417, CQUJHB012005, CQUJHB009336, CQUJHB014845, CQUJHB008386
OG0000049	AMIN015888	CQUJHB015876
OG0000049	AMIN015889	CQUJHB015556
OG0000049	AMIN015890	CQUJHB015769
OG0000051	AMIN006620, AMIN014521	CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075, CQUJHB010616
OG0000052	AMIN015582	CQUJHB005091
OG0000052	AMIN015585, AMIN015584	CQUJHB017932, CQUJHB006568, CQUJHB007297, CQUJHB011415
OG0000053	AMIN009403, AMIN009402	CQUJHB018432
OG0000055	AMIN002458	CQUJHB018229
OG0000056	AMIN004372	CQUJHB010210
OG0000057	AMIN006625, AMIN006626, AMIN014522	CQUJHB014741, CQUJHB005612, CQUJHB013656, CQUJHB013556, CQUJHB001778, CQUJHB008046, CQUJHB011652, CQUJHB016655, CQUJHB009785
OG0000058	AMIN001846	CQUJHB006852, CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265
OG0000058	AMIN009389	CQUJHB005830
OG0000059	AMIN016229, AMIN016293	CQUJHB005700
OG0000059	AMIN010123	CQUJHB006696
OG0000060	AMIN006628	CQUJHB004792
OG0000060	AMIN014523	CQUJHB016380, CQUJHB008966, CQUJHB012898, CQUJHB014019, CQUJHB012243
OG0000060	AMIN006627	CQUJHB002343
OG0000061	AMIN006938	CQUJHB009715, CQUJHB015055
OG0000061	AMIN007997	CQUJHB017379
OG0000061	AMIN004599	CQUJHB014303, CQUJHB010901, CQUJHB011103, CQUJHB002901
OG0000062	AMIN001001, AMIN000304	CQUJHB009702
OG0000063	AMIN002564	CQUJHB018065
OG0000063	AMIN003060	CQUJHB002044, CQUJHB000613, CQUJHB012543, CQUJHB009343, CQUJHB015345, CQUJHB000544, CQUJHB010641, CQUJHB004677, CQUJHB012850, CQUJHB007331, CQUJHB015091
OG0000064	AMIN001329, AMIN001327	CQUJHB003566, CQUJHB000930
OG0000067	AMIN015537	CQUJHB012309
OG0000067	AMIN015982	CQUJHB007474, CQUJHB016064
OG0000067	AMIN008926	CQUJHB016947
OG0000067	AMIN000636	CQUJHB018109
OG0000067	AMIN015981	CQUJHB014152
OG0000068	AMIN010935	CQUJHB001983
OG0000069	AMIN003229	CQUJHB002460
OG0000069	AMIN010636	CQUJHB012428
OG0000069	AMIN016115, AMIN016114, AMIN003907	CQUJHB001040, CQUJHB012111, CQUJHB002152
OG0000071	AMIN005052	CQUJHB009539, CQUJHB013274
OG0000071	AMIN000434	CQUJHB005863, CQUJHB017394
OG0000071	AMIN005942, AMIN005941, AMIN005945	CQUJHB016359, CQUJHB013086, CQUJHB010584, CQUJHB004365
OG0000072	AMIN008641	CQUJHB006781
OG0000072	AMIN000778	CQUJHB004785
OG0000072	AMIN011262	CQUJHB005018, CQUJHB006868
OG0000073	AMIN006338	CQUJHB000587
OG0000073	AMIN006336	CQUJHB014734
OG0000074	AMIN007418, AMIN007419	CQUJHB017390, CQUJHB000048, CQUJHB015271, CQUJHB000115
OG0000074	AMIN010517	CQUJHB007995
OG0000075	AMIN009972, AMIN009971, AMIN009973	CQUJHB005515, CQUJHB004149, CQUJHB008196, CQUJHB008855
OG0000076	AMIN007057, AMIN006792, AMIN006791, AMIN008359, AMIN004343	CQUJHB017768, CQUJHB012728, CQUJHB015127
OG0000077	AMIN015954	CQUJHB001286
OG0000077	AMIN015955, AMIN015952	CQUJHB003639, CQUJHB006400, CQUJHB003896, CQUJHB003043
OG0000077	AMIN015953	CQUJHB018214
OG0000079	AMIN015620	CQUJHB005309
OG0000079	AMIN015621, AMIN016252	CQUJHB003821, CQUJHB018448
OG0000079	AMIN015622	CQUJHB013618, CQUJHB018436, CQUJHB007263
OG0000080	AMIN010419	CQUJHB015069
OG0000080	AMIN008322	CQUJHB005257, CQUJHB005516
OG0000081	AMIN010657	CQUJHB001153
OG0000081	AMIN010656	CQUJHB000320
OG0000082	AMIN008360, AMIN008381	CQUJHB007898
OG0000085	AMIN015862, AMIN015860, AMIN015861, AMIN015859, AMIN015863, AMIN015858	CQUJHB014727, CQUJHB008083
OG0000086	AMIN000451	CQUJHB008375, CQUJHB001568, CQUJHB015160
OG0000086	AMIN002615	CQUJHB012368
OG0000088	AMIN008863	CQUJHB009482
OG0000088	AMIN009049, AMIN009053	CQUJHB017248, CQUJHB001576, CQUJHB008137, CQUJHB008822, CQUJHB009095, CQUJHB004456, CQUJHB013474
OG0000089	AMIN006914	CQUJHB003816, CQUJHB012139
OG0000090	AMIN010523	CQUJHB017497
OG0000090	AMIN010488	CQUJHB007824
OG0000091	AMIN002875	CQUJHB017444
OG0000093	AMIN007523, AMIN009880, AMIN007575, AMIN014793, AMIN001012	CQUJHB010789
OG0000096	AMIN009310	CQUJHB002716
OG0000096	AMIN014712	CQUJHB018308
OG0000096	AMIN010757	CQUJHB008108
OG0000096	AMIN001255	CQUJHB008616
OG0000097	AMIN003984	CQUJHB011218, CQUJHB006589
OG0000097	AMIN003983, AMIN003985	CQUJHB015073
OG0000098	AMIN009752	CQUJHB009178, CQUJHB009893, CQUJHB003108, CQUJHB017910
OG0000104	AMIN001011	CQUJHB016210, CQUJHB015480, CQUJHB006103, CQUJHB017990, CQUJHB017746, CQUJHB005521, CQUJHB012378, CQUJHB001763
OG0000107	AMIN003226	CQUJHB018415, CQUJHB004852, CQUJHB009068, CQUJHB013239, CQUJHB016501, CQUJHB015111, CQUJHB013703, CQUJHB006294, CQUJHB013989, CQUJHB013568, CQUJHB000838, CQUJHB001925
OG0000108	AMIN001146	CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363
OG0000109	AMIN007943	CQUJHB017035
OG0000109	AMIN000020	CQUJHB000019
OG0000111	AMIN005870	CQUJHB001127, CQUJHB016273
OG0000115	AMIN007799	CQUJHB014380
OG0000116	AMIN009560	CQUJHB015910
OG0000119	AMIN011174	CQUJHB001620
OG0000119	AMIN011175	CQUJHB002189, CQUJHB015704, CQUJHB017923, CQUJHB014370, CQUJHB011823, CQUJHB009096, CQUJHB000195, CQUJHB004701, CQUJHB012571
OG0000120	AMIN015839	CQUJHB006803
OG0000120	AMIN015840, AMIN015843	CQUJHB014331, CQUJHB001450
OG0000121	AMIN007010	CQUJHB006005, CQUJHB017888, CQUJHB012450, CQUJHB011203, CQUJHB008295, CQUJHB000057, CQUJHB000850, CQUJHB012106, CQUJHB011330
OG0000127	AMIN000423	CQUJHB008722, CQUJHB006654, CQUJHB003293, CQUJHB000740, CQUJHB013009, CQUJHB013825, CQUJHB003231, CQUJHB009687, CQUJHB007227, CQUJHB017577, CQUJHB005246, CQUJHB012007, CQUJHB016127, CQUJHB003905
OG0000128	AMIN009297	CQUJHB011093
OG0000128	AMIN016286	CQUJHB006737
OG0000128	AMIN016287	CQUJHB017854
OG0000129	AMIN002441	CQUJHB016178, CQUJHB012226
OG0000130	AMIN000464	CQUJHB016267
OG0000130	AMIN009807	CQUJHB001771
OG0000131	AMIN009597	CQUJHB004459, CQUJHB010920
OG0000131	AMIN009593	CQUJHB014041
OG0000132	AMIN008147	CQUJHB008636
OG0000132	AMIN008146, AMIN008145	CQUJHB010862
OG0000132	AMIN009203	CQUJHB003091
OG0000133	AMIN006896	CQUJHB009822
OG0000133	AMIN008837	CQUJHB016449
OG0000134	AMIN010110	CQUJHB006248, CQUJHB017587, CQUJHB010568
OG0000134	AMIN010108, AMIN010109	CQUJHB012326
OG0000135	AMIN009411	CQUJHB017649
OG0000135	AMIN007092	CQUJHB008910
OG0000135	AMIN009027, AMIN007093	CQUJHB008581
OG0000136	AMIN008377	CQUJHB007955, CQUJHB006760, CQUJHB009839, CQUJHB008282
OG0000136	AMIN001881	CQUJHB003509, CQUJHB002833, CQUJHB013970
OG0000141	AMIN011058	CQUJHB013589, CQUJHB004400, CQUJHB002761, CQUJHB004199, CQUJHB003761, CQUJHB015077, CQUJHB001493, CQUJHB017741, CQUJHB005542
OG0000142	AMIN003855	CQUJHB011887
OG0000142	AMIN000952	CQUJHB002040
OG0000142	AMIN003784	CQUJHB003927
OG0000143	AMIN002682	CQUJHB014059, CQUJHB002965, CQUJHB006194
OG0000146	AMIN000516	CQUJHB005895, CQUJHB003363, CQUJHB015207
OG0000147	AMIN016141, AMIN016134, AMIN016136, AMIN016135	CQUJHB005161, CQUJHB000556, CQUJHB001564, CQUJHB001839
OG0000148	AMIN009492, AMIN009494	CQUJHB000776
OG0000148	AMIN009495	CQUJHB017061
OG0000149	AMIN011053	CQUJHB010028
OG0000149	AMIN016044	CQUJHB012080
OG0000149	AMIN016042	CQUJHB014966
OG0000149	AMIN016043	CQUJHB017015, CQUJHB010834
OG0000150	AMIN011243	CQUJHB006439
OG0000152	AMIN007972	CQUJHB014990
OG0000152	AMIN009946	CQUJHB005329
OG0000152	AMIN009947, AMIN009948	CQUJHB009136
OG0000154	AMIN000711, AMIN006064	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899
OG0000155	AMIN015664, AMIN015665	CQUJHB007333, CQUJHB008665, CQUJHB002705, CQUJHB004511, CQUJHB005859, CQUJHB001497
OG0000157	AMIN001668	CQUJHB001379
OG0000157	AMIN010663	CQUJHB007316, CQUJHB018173, CQUJHB009836
OG0000161	AMIN010046	CQUJHB000076
OG0000162	AMIN006857	CQUJHB009418
OG0000162	AMIN006855	CQUJHB004329
OG0000163	AMIN001822	CQUJHB015427, CQUJHB001490, CQUJHB017982, CQUJHB004125, CQUJHB015576, CQUJHB004810, CQUJHB003658
OG0000164	AMIN004931	CQUJHB011226
OG0000164	AMIN004928	CQUJHB012144, CQUJHB018124
OG0000164	AMIN004930	CQUJHB012545
OG0000165	AMIN005409	CQUJHB004809
OG0000165	AMIN004970	CQUJHB008494
OG0000166	AMIN007525	CQUJHB004489
OG0000171	AMIN004244	CQUJHB006525
OG0000172	AMIN008835	CQUJHB004762
OG0000172	AMIN008838	CQUJHB006283
OG0000172	AMIN008827	CQUJHB003020
OG0000173	AMIN007048	CQUJHB013713
OG0000173	AMIN007047	CQUJHB001093, CQUJHB007201
OG0000174	AMIN005847	CQUJHB012327
OG0000174	AMIN015909	CQUJHB009037, CQUJHB004035
OG0000180	AMIN009804	CQUJHB005835, CQUJHB005816, CQUJHB007916, CQUJHB006996, CQUJHB001222, CQUJHB013519, CQUJHB008661, CQUJHB002191, CQUJHB000686, CQUJHB009673, CQUJHB009193, CQUJHB000772
OG0000181	AMIN014770, AMIN009918, AMIN009916, AMIN009915	CQUJHB018406, CQUJHB017566
OG0000182	AMIN004725	CQUJHB010205
OG0000182	AMIN016128	CQUJHB012840
OG0000182	AMIN016130	CQUJHB007241
OG0000183	AMIN002688, AMIN003141	CQUJHB008471, CQUJHB008317, CQUJHB015904, CQUJHB015217
OG0000184	AMIN001894	CQUJHB005313
OG0000184	AMIN015554, AMIN001896, AMIN015555	CQUJHB020350, CQUJHB003938, CQUJHB000274
OG0000185	AMIN008694	CQUJHB017110, CQUJHB016405, CQUJHB006617
OG0000185	AMIN011065	CQUJHB017959, CQUJHB000372
OG0000187	AMIN000726	CQUJHB008770, CQUJHB004129, CQUJHB012844, CQUJHB004306, CQUJHB008082, CQUJHB013210, CQUJHB015795, CQUJHB005653, CQUJHB013231, CQUJHB020318, CQUJHB020398, CQUJHB020313, CQUJHB020424, CQUJHB020405, CQUJHB016508, CQUJHB015181, CQUJHB011232, CQUJHB002253, CQUJHB009569, CQUJHB014578, CQUJHB015136
OG0000188	AMIN011638	CQUJHB017292, CQUJHB007220, CQUJHB003135
OG0000189	AMIN004715	CQUJHB011357
OG0000189	AMIN003400	CQUJHB001514, CQUJHB016877
OG0000190	AMIN009845	CQUJHB014000
OG0000190	AMIN005982	CQUJHB013041
OG0000190	AMIN001539	CQUJHB007455
OG0000191	AMIN010963, AMIN010962, AMIN010961, AMIN010960	CQUJHB013758, CQUJHB002302, CQUJHB016362, CQUJHB011469
OG0000192	AMIN009154	CQUJHB011350
OG0000192	AMIN003113	CQUJHB011486
OG0000192	AMIN016221	CQUJHB006523
OG0000193	AMIN005247, AMIN005248, AMIN015557, AMIN005246, AMIN001550	CQUJHB016836, CQUJHB008892, CQUJHB000131
OG0000194	AMIN001917	CQUJHB007940
OG0000196	AMIN001000	CQUJHB015310, CQUJHB014474, CQUJHB002527, CQUJHB011596, CQUJHB015062
OG0000200	AMIN008384	CQUJHB003055
OG0000200	AMIN008385	CQUJHB000054
OG0000200	AMIN004606	CQUJHB006956
OG0000201	AMIN011329	CQUJHB015906
OG0000202	AMIN005629	CQUJHB017404, CQUJHB010576
OG0000204	AMIN015947	CQUJHB015536, CQUJHB018050
OG0000204	AMIN015946	CQUJHB009121
OG0000205	AMIN004379	CQUJHB011157
OG0000206	AMIN015995	CQUJHB009215, CQUJHB015605, CQUJHB002272
OG0000207	AMIN016067, AMIN016068	CQUJHB009425
OG0000208	AMIN008403	CQUJHB002746
OG0000208	AMIN008402	CQUJHB017609, CQUJHB006033, CQUJHB016545
OG0000210	AMIN008980, AMIN008979	CQUJHB015488, CQUJHB015097, CQUJHB007162
OG0000211	AMIN009162	CQUJHB016529
OG0000217	AMIN000805	CQUJHB018057
OG0000217	AMIN001961	CQUJHB008942
OG0000218	AMIN006218	CQUJHB001220
OG0000219	AMIN001093	CQUJHB009528, CQUJHB009252, CQUJHB018120, CQUJHB007367
OG0000220	AMIN002726	CQUJHB002011
OG0000221	AMIN006274	CQUJHB011640
OG0000221	AMIN010066	CQUJHB016680, CQUJHB007754
OG0000222	AMIN001686	CQUJHB015532
OG0000223	AMIN002292	CQUJHB009151
OG0000224	AMIN003074, AMIN003071	CQUJHB005624
OG0000225	AMIN003771	CQUJHB016925, CQUJHB017410, CQUJHB002547, CQUJHB013654, CQUJHB010873
OG0000229	AMIN000391	CQUJHB007133
OG0000229	AMIN003127, AMIN003317	CQUJHB010008
OG0000230	AMIN009075, AMIN009077	CQUJHB018077, CQUJHB010793, CQUJHB004599, CQUJHB013294, CQUJHB000972
OG0000231	AMIN010930, AMIN010931	CQUJHB015552, CQUJHB009864
OG0000232	AMIN010173, AMIN010175, AMIN016211, AMIN016210	CQUJHB004882
OG0000233	AMIN002286	CQUJHB013827, CQUJHB005784
OG0000233	AMIN002275	CQUJHB017046
OG0000234	AMIN006393	CQUJHB001691
OG0000234	AMIN006400	CQUJHB001439
OG0000234	AMIN006394	CQUJHB012585
OG0000236	AMIN002269, AMIN002270, AMIN008944	CQUJHB005892, CQUJHB007626, CQUJHB015922
OG0000237	AMIN000894	CQUJHB010154
OG0000244	AMIN009457	CQUJHB007355
OG0000244	AMIN009466	CQUJHB012679
OG0000245	AMIN000228	CQUJHB000799
OG0000247	AMIN010670, AMIN010671	CQUJHB002713, CQUJHB017013
OG0000247	AMIN010668	CQUJHB002013
OG0000248	AMIN005906	CQUJHB007060
OG0000248	AMIN016193	CQUJHB012099
OG0000248	AMIN016192	CQUJHB010965
OG0000249	AMIN011428, AMIN007370	CQUJHB009233, CQUJHB007489, CQUJHB002025, CQUJHB001010, CQUJHB009190
OG0000250	AMIN003364	CQUJHB006421
OG0000251	AMIN004378	CQUJHB008705
OG0000252	AMIN008785	CQUJHB005253, CQUJHB008240, CQUJHB011189, CQUJHB017858
OG0000253	AMIN003457	CQUJHB011918, CQUJHB003161
OG0000254	AMIN000082	CQUJHB001657
OG0000254	AMIN000940	CQUJHB009978
OG0000255	AMIN016175, AMIN016174	CQUJHB003529
OG0000256	AMIN000774	CQUJHB009160
OG0000256	AMIN000776, AMIN000777, AMIN000775	CQUJHB014478
OG0000257	AMIN001432, AMIN001434	CQUJHB010739, CQUJHB009502, CQUJHB000584, CQUJHB000689, CQUJHB000541, CQUJHB008553, CQUJHB004547, CQUJHB014397, CQUJHB008765
OG0000260	AMIN003553	CQUJHB020421, CQUJHB004409, CQUJHB006012, CQUJHB011286
OG0000265	AMIN010596, AMIN010587	CQUJHB003184
OG0000265	AMIN005808	CQUJHB006489
OG0000266	AMIN001628	CQUJHB002351
OG0000266	AMIN006383, AMIN006382	CQUJHB011998
OG0000267	AMIN004770	CQUJHB017125
OG0000268	AMIN007059, AMIN007060	CQUJHB012623
OG0000268	AMIN007061	CQUJHB010904
OG0000269	AMIN016284	CQUJHB013165, CQUJHB003189
OG0000270	AMIN011416, AMIN008623, AMIN015971	CQUJHB003727, CQUJHB017973, CQUJHB003318
OG0000271	AMIN001411	CQUJHB018009
OG0000272	AMIN008763	CQUJHB005415, CQUJHB017192
OG0000273	AMIN015825	CQUJHB002335
OG0000273	AMIN002200	CQUJHB008927
OG0000274	AMIN006742	CQUJHB003245, CQUJHB014187, CQUJHB000081
OG0000276	AMIN008276	CQUJHB004277, CQUJHB012726, CQUJHB008874, CQUJHB010302, CQUJHB001377, CQUJHB004937, CQUJHB013546, CQUJHB006216
OG0000277	AMIN000409	CQUJHB010575, CQUJHB010852, CQUJHB004755, CQUJHB010749, CQUJHB002174, CQUJHB009714, CQUJHB010492, CQUJHB016702, CQUJHB013862
OG0000278	AMIN011462, AMIN011446, AMIN011465	CQUJHB008764, CQUJHB011798
OG0000279	AMIN014755	CQUJHB005102
OG0000280	AMIN006824	CQUJHB000493
OG0000285	AMIN002977	CQUJHB011294
OG0000286	AMIN001250	CQUJHB008968, CQUJHB015387
OG0000288	AMIN001788	CQUJHB010147
OG0000289	AMIN009186	CQUJHB011529, CQUJHB001666, CQUJHB017987
OG0000290	AMIN015559, AMIN008540, AMIN015558	CQUJHB002754, CQUJHB008405
OG0000291	AMIN007862	CQUJHB017541
OG0000291	AMIN008053, AMIN008052	CQUJHB015406
OG0000292	AMIN006672	CQUJHB017021
OG0000292	AMIN006670	CQUJHB008145
OG0000293	AMIN005398	CQUJHB008571
OG0000294	AMIN005760	CQUJHB015184
OG0000294	AMIN005761	CQUJHB009494
OG0000295	AMIN008699, AMIN016301, AMIN016300	CQUJHB020305, CQUJHB011786
OG0000296	AMIN006011	CQUJHB017172
OG0000297	AMIN015904	CQUJHB004146, CQUJHB000290
OG0000297	AMIN015903	CQUJHB011318
OG0000299	AMIN002531	CQUJHB014668
OG0000299	AMIN008559	CQUJHB005162, CQUJHB009370
OG0000300	AMIN010132	CQUJHB009969, CQUJHB015841, CQUJHB004971, CQUJHB004484, CQUJHB012791, CQUJHB008483, CQUJHB001208, CQUJHB014241, CQUJHB018084, CQUJHB007208, CQUJHB002456, CQUJHB001900, CQUJHB010645, CQUJHB016923, CQUJHB016527, CQUJHB010855
OG0000302	AMIN016306	CQUJHB010010
OG0000302	AMIN010574	CQUJHB010685
OG0000303	AMIN000132	CQUJHB008617
OG0000304	AMIN001010	CQUJHB006070, CQUJHB016739
OG0000305	AMIN007189	CQUJHB001390, CQUJHB001973
OG0000306	AMIN006304, AMIN006305	CQUJHB007627
OG0000317	AMIN004815	CQUJHB020361, CQUJHB020388, CQUJHB020257, CQUJHB001753, CQUJHB020414, CQUJHB013993, CQUJHB016263
OG0000318	AMIN007124, AMIN007158, AMIN007123, AMIN007122	CQUJHB008681
OG0000319	AMIN001372	CQUJHB011407
