Orthogroup	AminimusMINIMUS1	AgambiaePEST
OG0000147	AMIN016136	AGAP008022
OG0000147	AMIN016135	AGAP008018
OG0000148	AMIN009492, AMIN009494	AGAP009756, AGAP009755
OG0000148	AMIN009495	AGAP009757
OG0000149	AMIN011053	AGAP005753
OG0000149	AMIN016044	AGAP005750
OG0000149	AMIN016042	AGAP005751
OG0000149	AMIN016043	AGAP005752
OG0000150	AMIN011243	AGAP007104
OG0000152	AMIN007972	AGAP006398
OG0000152	AMIN009946	AGAP006102
OG0000152	AMIN009947	AGAP006103
OG0000154	AMIN000711	AGAP002894
OG0000154	AMIN006064	AGAP008218, AGAP008217
OG0000155	AMIN015664, AMIN015665	AGAP004355, AGAP004356, AGAP004357, AGAP004354
OG0000157	AMIN001668	AGAP028217
OG0000157	AMIN010663	AGAP007154
OG0000159	AMIN015672	AGAP011072, AGAP011073, AGAP011071
OG0000159	AMIN015680	AGAP028508, AGAP028506, AGAP029790, AGAP028685, AGAP028687, AGAP029789, AGAP029775, AGAP029665, AGAP028688
OG0000159	AMIN015679	AGAP028690
OG0000159	AMIN015678	AGAP028689
OG0000160	AMIN007249, AMIN006471, AMIN007271, AMIN003417	AGAP029361
OG0000160	AMIN010021	AGAP006815
OG0000161	AMIN008303	AGAP028747
OG0000161	AMIN010046	AGAP006795
OG0000162	AMIN006857	AGAP012318
OG0000162	AMIN006855	AGAP012321
OG0000163	AMIN001822	AGAP009436, AGAP009434, AGAP009435
OG0000164	AMIN004931	AGAP004571
OG0000164	AMIN004928	AGAP004566
OG0000164	AMIN004930	AGAP004570
OG0000165	AMIN005409	AGAP000194
OG0000165	AMIN004970	AGAP010414
OG0000166	AMIN007525	AGAP006049
OG0000171	AMIN004244	AGAP011347
OG0000172	AMIN008835	AGAP011613
OG0000172	AMIN008838	AGAP011609
OG0000172	AMIN008827	AGAP011618
OG0000173	AMIN007048	AGAP029928
OG0000173	AMIN007047	AGAP010764
OG0000174	AMIN010113	AGAP006722
OG0000174	AMIN005847	AGAP000694
OG0000174	AMIN015909	AGAP000693
OG0000176	AMIN006477	AGAP028564
OG0000180	AMIN009804	AGAP008448
OG0000181	AMIN009918	AGAP006076, AGAP006077, AGAP006078, AGAP006079
OG0000181	AMIN009916, AMIN009915	AGAP006075
OG0000182	AMIN004725	AGAP003722, AGAP012784
OG0000182	AMIN016128	AGAP003720
OG0000182	AMIN016130	AGAP003721
OG0000183	AMIN002688	AGAP002423
OG0000183	AMIN003141	AGAP002973
OG0000184	AMIN001894	AGAP009519
OG0000184	AMIN015555	AGAP009520
OG0000185	AMIN008694	AGAP029203, AGAP010657
OG0000185	AMIN011065	AGAP005768
OG0000187	AMIN000726	AGAP002905
OG0000188	AMIN011638	AGAP004855
OG0000189	AMIN004715	AGAP003711
OG0000189	AMIN003400	AGAP001588, AGAP012818, AGAP001587
OG0000190	AMIN009845	AGAP029641
OG0000190	AMIN005982	AGAP008320
OG0000190	AMIN001539	AGAP009683
OG0000191	AMIN010963	AGAP005966
OG0000191	AMIN010962	AGAP005967
OG0000191	AMIN010961	AGAP005968
OG0000191	AMIN010960	AGAP005969
OG0000192	AMIN009154	AGAP008588
OG0000192	AMIN003113	AGAP002152
OG0000192	AMIN016221	AGAP000962
OG0000193	AMIN005247, AMIN005248, AMIN015557, AMIN005246, AMIN001550	AGAP002022
OG0000194	AMIN001917	AGAP009540, AGAP009541, AGAP012649
OG0000196	AMIN001000	AGAP008557
OG0000200	AMIN008384	AGAP011195
OG0000200	AMIN008385	AGAP011194
OG0000200	AMIN004606	AGAP002325
OG0000201	AMIN011329	AGAP006208
OG0000202	AMIN005702	AGAP000414
OG0000202	AMIN005629	AGAP000288
OG0000204	AMIN015947	AGAP006911
OG0000204	AMIN015946	AGAP006910
OG0000204	AMIN015945	AGAP006909
OG0000205	AMIN004379	AGAP029783, AGAP012696
OG0000206	AMIN015995	AGAP008630, AGAP028029
OG0000206	AMIN009119	AGAP008627
OG0000207	AMIN016067	AGAP001002, AGAP010637, AGAP000999, AGAP029166, AGAP013027, AGAP010669, AGAP010636, AGAP010634
OG0000207	AMIN016068	AGAP001004
OG0000208	AMIN008403	AGAP011183
OG0000208	AMIN008402	AGAP011184
OG0000210	AMIN008980	AGAP011432, AGAP029292, AGAP029324, AGAP029065
OG0000210	AMIN008979	AGAP029748, AGAP029117, AGAP011431, AGAP029749, AGAP029750, AGAP029747, AGAP008891
OG0000216	AMIN006105	AGAP028733, AGAP028664, AGAP028734, AGAP028691, AGAP028692, AGAP028663, AGAP004913, AGAP004941, AGAP008170, AGAP028735
OG0000216	AMIN006104	AGAP008173
OG0000217	AMIN000805	AGAP012963
OG0000217	AMIN001961	AGAP000310
OG0000218	AMIN006218	AGAP008054
OG0000218	AMIN006220	AGAP008051
OG0000219	AMIN001093	AGAP000907
OG0000220	AMIN002726	AGAP013260
OG0000221	AMIN006274	AGAP007990
OG0000221	AMIN010066	AGAP006775
OG0000222	AMIN001686	AGAP028196
OG0000222	AMIN001152	AGAP010241
OG0000223	AMIN002292	AGAP001185
OG0000224	AMIN003074	AGAP013366, AGAP012995, AGAP029279
OG0000224	AMIN003071	AGAP013463
OG0000225	AMIN003771	AGAP003066, AGAP003065
OG0000226	AMIN002711, AMIN002712	AGAP012970
OG0000226	AMIN002715	AGAP002448, AGAP002447
OG0000228	AMIN008194, AMIN010472	AGAP007407, AGAP007410
OG0000228	AMIN010471	AGAP000871, AGAP007411
OG0000229	AMIN000391	AGAP003236
OG0000229	AMIN003127	AGAP002137
OG0000229	AMIN003317	AGAP002008
OG0000230	AMIN009075, AMIN009077	AGAP028050, AGAP008670, AGAP008671
OG0000231	AMIN010930	AGAP006013
OG0000231	AMIN010931	AGAP006012
OG0000232	AMIN010173, AMIN010175, AMIN016211	AGAP005657, AGAP012667, AGAP005660
OG0000232	AMIN016210	AGAP005656
OG0000233	AMIN002286	AGAP001190
OG0000233	AMIN002275	AGAP001199
OG0000234	AMIN006393	AGAP007802
OG0000234	AMIN006400	AGAP007808
OG0000234	AMIN006394	AGAP007803
OG0000236	AMIN002269, AMIN002270	AGAP001202
OG0000237	AMIN000894	AGAP003501
OG0000244	AMIN009457	AGAP009717, AGAP028644, AGAP009716, AGAP009723, AGAP009711
OG0000245	AMIN000228	AGAP002360, AGAP002359
OG0000246	AMIN004180	AGAP012702, AGAP004173
OG0000246	AMIN004771	AGAP012839, AGAP004381, AGAP004382, AGAP012838, AGAP004380
OG0000247	AMIN010670	AGAP006146
OG0000247	AMIN010671	AGAP006145
OG0000247	AMIN010668	AGAP006148
OG0000248	AMIN005906	AGAP008404
OG0000248	AMIN016193	AGAP028212
OG0000248	AMIN016192	AGAP028060
OG0000249	AMIN011428	AGAP004935
OG0000249	AMIN007370	AGAP005326
OG0000250	AMIN003364	AGAP002058
OG0000251	AMIN004378	AGAP029784
OG0000252	AMIN008785	AGAP028629
OG0000253	AMIN003457	AGAP001648
OG0000254	AMIN000082	AGAP004634
OG0000254	AMIN000940	AGAP013293
OG0000255	AMIN016175	AGAP002195
OG0000256	AMIN000774	AGAP002766
OG0000256	AMIN000776	AGAP002767
OG0000256	AMIN000777	AGAP002769
OG0000257	AMIN001432	AGAP008795
OG0000257	AMIN001434	AGAP028220
OG0000260	AMIN003553	AGAP013363
OG0000265	AMIN010596	AGAP007255
OG0000265	AMIN010587	AGAP007266
OG0000265	AMIN005808	AGAP000253
OG0000266	AMIN001628	AGAP008867
OG0000266	AMIN006383	AGAP007794
OG0000266	AMIN006382	AGAP007793
OG0000267	AMIN004190	AGAP004164
OG0000267	AMIN004770	AGAP004378
OG0000268	AMIN007059	AGAP029235
OG0000268	AMIN007060	AGAP007932
OG0000268	AMIN007061	AGAP007933
OG0000269	AMIN016284	AGAP001722
OG0000270	AMIN011416	AGAP004920, AGAP012945
OG0000270	AMIN008623	AGAP011951
OG0000270	AMIN015971	AGAP011952
OG0000271	AMIN001411	AGAP008769
OG0000272	AMIN008763	AGAP011696
OG0000272	AMIN008100	AGAP004760
OG0000273	AMIN015825	AGAP001281
OG0000273	AMIN015824	AGAP001283
OG0000273	AMIN002200	AGAP001284
OG0000274	AMIN006742	AGAP010002, AGAP009985
OG0000276	AMIN008276	AGAP029762
OG0000277	AMIN000409	AGAP001811, AGAP001812
OG0000278	AMIN011462	AGAP004971
OG0000278	AMIN011446	AGAP004951
OG0000278	AMIN011465	AGAP004974
OG0000279	AMIN014755	AGAP008447
OG0000280	AMIN006822	AGAP009918
OG0000280	AMIN006823	AGAP009917
OG0000280	AMIN006824	AGAP029827
OG0000285	AMIN002977	AGAP004324
OG0000285	AMIN015604	AGAP003096
OG0000285	AMIN015606	AGAP003097
OG0000286	AMIN001250	AGAP010505, AGAP010504
OG0000287	AMIN015655, AMIN015654, AMIN015652, AMIN015653	AGAP009705, AGAP009707, AGAP009720, AGAP009719, AGAP009718, AGAP009706
OG0000288	AMIN001788	AGAP009363, AGAP009374, AGAP029144, AGAP009375
OG0000289	AMIN009186	AGAP028096
OG0000290	AMIN015559	AGAP011048
OG0000290	AMIN008540	AGAP011047
OG0000290	AMIN015558	AGAP011046
OG0000291	AMIN007862	AGAP006510
OG0000291	AMIN008052	AGAP006271
OG0000292	AMIN006672	AGAP010057
OG0000292	AMIN006670	AGAP029713, AGAP029711, AGAP029712
OG0000293	AMIN005398	AGAP001006
OG0000294	AMIN005760	AGAP002506
OG0000294	AMIN005761	AGAP012451
OG0000295	AMIN008699	AGAP010650
OG0000295	AMIN016301	AGAP010649
OG0000295	AMIN016300	AGAP010648
OG0000296	AMIN006011	AGAP008278, AGAP008279
OG0000297	AMIN015904	AGAP000163
OG0000297	AMIN015903	AGAP000165
OG0000299	AMIN002531	AGAP002521
OG0000299	AMIN008559	AGAP011852
OG0000300	AMIN010132	AGAP006698
OG0000302	AMIN016306	AGAP007286
OG0000302	AMIN010574	AGAP007287
OG0000303	AMIN000132	AGAP002272
OG0000303	AMIN004553	AGAP002274
OG0000304	AMIN001010	AGAP008548, AGAP028011
OG0000305	AMIN007189	AGAP008813
OG0000306	AMIN006304	AGAP007964
OG0000306	AMIN006305	AGAP013745
OG0000313	AMIN009818	AGAP008456, AGAP008457, AGAP029423, AGAP008479, AGAP028098, AGAP008463, AGAP008453, AGAP008480, AGAP008452, AGAP008451, AGAP008461, AGAP008462
OG0000314	AMIN009817	AGAP028047, AGAP028119, AGAP028113, AGAP028191, AGAP028077, AGAP028089, AGAP008478, AGAP028126
OG0000317	AMIN004815	AGAP012969, AGAP004432
OG0000318	AMIN007124, AMIN007158	AGAP007879
OG0000318	AMIN007123	AGAP007880
OG0000318	AMIN007122	AGAP007881
OG0000319	AMIN001372	AGAP008734
OG0000319	AMIN011132	AGAP005794
OG0000321	AMIN015801	AGAP028153
OG0000321	AMIN015802	AGAP009056
OG0000321	AMIN007046	AGAP010766, AGAP010765
OG0000324	AMIN009157	AGAP028204
OG0000324	AMIN009156	AGAP008584
OG0000325	AMIN010396	AGAP007534
OG0000326	AMIN004016	AGAP003658
OG0000326	AMIN003194	AGAP001773, AGAP001774, AGAP012781
OG0000327	AMIN006782	AGAP009949
OG0000328	AMIN008593	AGAP011914, AGAP011913
OG0000328	AMIN008592	AGAP011912
OG0000329	AMIN001843	AGAP029555
OG0000329	AMIN001842	AGAP009460
OG0000330	AMIN005466	AGAP000989
OG0000330	AMIN005465	AGAP000988, AGAP000987
OG0000331	AMIN015827	AGAP001264
OG0000331	AMIN015828, AMIN015829	AGAP013078, AGAP013443
OG0000332	AMIN003653	AGAP013321
OG0000332	AMIN003550	AGAP001742
OG0000332	AMIN003652	AGAP002650
OG0000333	AMIN010628, AMIN010619	AGAP007203
OG0000334	AMIN001560	AGAP009010
OG0000336	AMIN011337	AGAP006215
OG0000340	AMIN005724, AMIN005725	AGAP000643, AGAP000642
OG0000340	AMIN005726	AGAP000641, AGAP000644
OG0000341	AMIN006202	AGAP008071, AGAP008070
OG0000341	AMIN006203	AGAP028712, AGAP029833, AGAP028714, AGAP028715, AGAP028720, AGAP029832, AGAP028593
OG0000344	AMIN007367	AGAP005208
