Orthogroup	AminimusMINIMUS1	AfunestusAfunGA1
OG0000023	AMIN002713, AMIN003921, AMIN002716	AFUN2_008581
OG0000024	AMIN007573	AFUN2_008754
OG0000024	AMIN007572	AFUN2_004514
OG0000024	AMIN011339	AFUN2_001856
OG0000026	AMIN015477	AFUN2_007391
OG0000026	AMIN015475	AFUN2_003253
OG0000026	AMIN015479	AFUN2_006722
OG0000026	AMIN015731	AFUN2_005978
OG0000027	AMIN006557	AFUN2_002065
OG0000027	AMIN006558	AFUN2_004791
OG0000028	AMIN009876	AFUN2_010476, AFUN2_002523
OG0000028	AMIN001236	AFUN2_012132, AFUN2_006865, AFUN2_005132, AFUN2_002353, AFUN2_001256, AFUN2_004185, AFUN2_006876, AFUN2_003118, AFUN2_003598, AFUN2_008286, AFUN2_011015, AFUN2_003325
OG0000030	AMIN007001	AFUN2_012733
OG0000030	AMIN002000	AFUN2_011448, AFUN2_005957, AFUN2_010339, AFUN2_010744, AFUN2_005913, AFUN2_012561, AFUN2_001536, AFUN2_011617, AFUN2_011391, AFUN2_001923, AFUN2_011066, AFUN2_014328
OG0000030	AMIN006991, AMIN007005, AMIN007004	AFUN2_006386, AFUN2_012770
OG0000031	AMIN006442, AMIN004950	AFUN2_002494, AFUN2_002498
OG0000032	AMIN001332	AFUN2_000937, AFUN2_012237, AFUN2_010461, AFUN2_010191, AFUN2_004368, AFUN2_010173, AFUN2_002261, AFUN2_003899, AFUN2_006152, AFUN2_003826
OG0000033	AMIN000381	AFUN2_014039
OG0000033	AMIN014039	AFUN2_008977
OG0000034	AMIN000196	AFUN2_000777
OG0000034	AMIN010809	AFUN2_002152
OG0000034	AMIN015564, AMIN015562	AFUN2_005553
OG0000034	AMIN015508	AFUN2_004371
OG0000034	AMIN004938	AFUN2_010024
OG0000034	AMIN010991	AFUN2_014222
OG0000035	AMIN009877	AFUN2_002432, AFUN2_003652, AFUN2_013041, AFUN2_005479
OG0000035	AMIN010812, AMIN015498	AFUN2_014196
OG0000035	AMIN010811, AMIN010810	AFUN2_002672
OG0000035	AMIN015472	AFUN2_009607
OG0000035	AMIN010814	AFUN2_009222
OG0000035	AMIN010135	AFUN2_006146
OG0000035	AMIN007574	AFUN2_006683
OG0000037	AMIN002827	AFUN2_013181
OG0000039	AMIN015958	AFUN2_009923
OG0000039	AMIN015957	AFUN2_010939
OG0000039	AMIN010824	AFUN2_002356
OG0000039	AMIN007947	AFUN2_001872
OG0000039	AMIN007946, AMIN015959	AFUN2_008523, AFUN2_002845
OG0000040	AMIN015663	AFUN2_012034
OG0000040	AMIN015662	AFUN2_000621
OG0000040	AMIN015574	AFUN2_011961
OG0000040	AMIN015575	AFUN2_013533
OG0000040	AMIN015590	AFUN2_004686
OG0000041	AMIN008776	AFUN2_014438
OG0000041	AMIN008777	AFUN2_001049
OG0000041	AMIN003187	AFUN2_014544
OG0000042	AMIN005907	AFUN2_004081
OG0000042	AMIN001699	AFUN2_014693
OG0000042	AMIN015669	AFUN2_009173
OG0000042	AMIN015668	AFUN2_004521
OG0000043	AMIN006978	AFUN2_013789
OG0000045	AMIN001066	AFUN2_006680
OG0000046	AMIN002797	AFUN2_006305
OG0000048	AMIN011325	AFUN2_006474, AFUN2_003419, AFUN2_007098, AFUN2_011966, AFUN2_007180, AFUN2_001025
OG0000049	AMIN015888	AFUN2_008624
OG0000049	AMIN015889	AFUN2_012748
OG0000049	AMIN015891	AFUN2_002192, AFUN2_013459
OG0000050	AMIN001582	AFUN2_004424
OG0000050	AMIN000977	AFUN2_000519, AFUN2_007709
OG0000050	AMIN005873	AFUN2_014535, AFUN2_004996, AFUN2_006077, AFUN2_002014, AFUN2_005464, AFUN2_000902, AFUN2_006595, AFUN2_002144, AFUN2_008995, AFUN2_008521, AFUN2_001949, AFUN2_014008, AFUN2_012115, AFUN2_001319, AFUN2_004099, AFUN2_001446, AFUN2_011923, AFUN2_006774, AFUN2_004135, AFUN2_008820, AFUN2_011946, AFUN2_011869, AFUN2_007728, AFUN2_002311, AFUN2_011710, AFUN2_002565, AFUN2_006170, AFUN2_002205, AFUN2_013104, AFUN2_002325, AFUN2_001048, AFUN2_012571, AFUN2_011759, AFUN2_008005, AFUN2_004119, AFUN2_013320, AFUN2_004319, AFUN2_006631, AFUN2_004722, AFUN2_009198, AFUN2_013887, AFUN2_006868, AFUN2_009902
OG0000051	AMIN006620, AMIN014521	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721
OG0000052	AMIN015585	AFUN2_013880
OG0000053	AMIN009403	AFUN2_010396, AFUN2_010923
OG0000053	AMIN009402	AFUN2_014545, AFUN2_013555, AFUN2_000604, AFUN2_007552, AFUN2_012584, AFUN2_001373, AFUN2_002347
OG0000055	AMIN002458	AFUN2_003795
OG0000057	AMIN006625	AFUN2_008318, AFUN2_006014
OG0000057	AMIN014522	AFUN2_000600
OG0000058	AMIN001846	AFUN2_008788
OG0000058	AMIN009389	AFUN2_001688
OG0000059	AMIN016229	AFUN2_006267
OG0000059	AMIN010123	AFUN2_010578
OG0000060	AMIN006628	AFUN2_014460
OG0000060	AMIN014523	AFUN2_011607
OG0000060	AMIN006627	AFUN2_013952
OG0000061	AMIN006938	AFUN2_000988
OG0000061	AMIN007997	AFUN2_001934
OG0000061	AMIN004599	AFUN2_011828, AFUN2_001889
OG0000062	AMIN001001	AFUN2_009059
OG0000062	AMIN000304	AFUN2_003714
OG0000063	AMIN002564	AFUN2_005096
OG0000063	AMIN003060	AFUN2_009682
OG0000064	AMIN001329	AFUN2_002334
OG0000064	AMIN001327	AFUN2_013676
OG0000064	AMIN003132	AFUN2_011232
OG0000064	AMIN001330	AFUN2_012759
OG0000064	AMIN001328	AFUN2_002312
OG0000067	AMIN015537	AFUN2_003888
OG0000067	AMIN015982	AFUN2_012011
OG0000067	AMIN008926	AFUN2_003045
OG0000067	AMIN000636	AFUN2_008039
OG0000067	AMIN015981	AFUN2_008602
OG0000068	AMIN010935	AFUN2_013302
OG0000069	AMIN003229	AFUN2_014241
OG0000069	AMIN010636	AFUN2_004523
OG0000069	AMIN016114	AFUN2_010311
OG0000069	AMIN003907	AFUN2_012252
OG0000071	AMIN005052	AFUN2_009753
OG0000071	AMIN000434	AFUN2_014078
OG0000071	AMIN005942	AFUN2_008604
OG0000071	AMIN005941	AFUN2_008424
OG0000071	AMIN005945	AFUN2_006008
OG0000072	AMIN008641	AFUN2_010362
OG0000072	AMIN000778	AFUN2_008401
OG0000072	AMIN011262	AFUN2_008209
OG0000073	AMIN006338	AFUN2_006853
OG0000073	AMIN006336	AFUN2_012208
OG0000074	AMIN007418	AFUN2_008795
OG0000074	AMIN007419	AFUN2_001014
OG0000074	AMIN010517	AFUN2_006428
OG0000075	AMIN009972	AFUN2_009178, AFUN2_014263
OG0000075	AMIN009971	AFUN2_005741
OG0000075	AMIN009973	AFUN2_007975
OG0000076	AMIN006792, AMIN006791, AMIN008359	AFUN2_000390, AFUN2_002799
OG0000076	AMIN004343	AFUN2_012586
OG0000077	AMIN015956	AFUN2_011333
OG0000077	AMIN015954	AFUN2_001755
OG0000077	AMIN015955	AFUN2_000688
OG0000077	AMIN015952	AFUN2_006649
OG0000077	AMIN015953	AFUN2_002148
OG0000078	AMIN001065	AFUN2_005192
OG0000078	AMIN007269, AMIN006481	AFUN2_010088
OG0000078	AMIN004967	AFUN2_002448, AFUN2_006245
OG0000078	AMIN007270	AFUN2_002769, AFUN2_012944
OG0000078	AMIN006432	AFUN2_014773, AFUN2_014774, AFUN2_012543, AFUN2_006933, AFUN2_002243, AFUN2_010739, AFUN2_007797, AFUN2_009705, AFUN2_004461, AFUN2_011486
OG0000079	AMIN015620	AFUN2_004202
OG0000079	AMIN015621, AMIN016252	AFUN2_001951
OG0000079	AMIN015622	AFUN2_003859
OG0000080	AMIN007961, AMIN007987	AFUN2_001435
OG0000080	AMIN010419	AFUN2_013190
OG0000080	AMIN008322	AFUN2_009609, AFUN2_005626
OG0000081	AMIN010657	AFUN2_011577
OG0000081	AMIN010659	AFUN2_010972
OG0000081	AMIN010656	AFUN2_012341
OG0000082	AMIN008381	AFUN2_012054
OG0000083	AMIN000069	AFUN2_010478
OG0000084	AMIN000484	AFUN2_009374
OG0000085	AMIN015862	AFUN2_010241
OG0000085	AMIN015860	AFUN2_007525
OG0000085	AMIN015859, AMIN015863	AFUN2_013450
OG0000085	AMIN015858	AFUN2_004039
OG0000086	AMIN008148	AFUN2_011858
OG0000086	AMIN000451	AFUN2_006387, AFUN2_009185, AFUN2_010974
OG0000086	AMIN002615	AFUN2_001324
OG0000088	AMIN008863	AFUN2_014792
OG0000088	AMIN009049	AFUN2_006389
OG0000088	AMIN009053	AFUN2_012429
OG0000089	AMIN006914	AFUN2_004303, AFUN2_011302, AFUN2_007001, AFUN2_005638, AFUN2_010754, AFUN2_005237, AFUN2_004286, AFUN2_005151
OG0000090	AMIN010523	AFUN2_012179
OG0000090	AMIN010488	AFUN2_004646
OG0000091	AMIN002875	AFUN2_004400
OG0000093	AMIN007523	AFUN2_007977, AFUN2_002700, AFUN2_008506
OG0000093	AMIN009880	AFUN2_001084, AFUN2_009469, AFUN2_002675
OG0000093	AMIN007575	AFUN2_005353
OG0000093	AMIN014793	AFUN2_012981
OG0000093	AMIN001012	AFUN2_005338
OG0000096	AMIN009310	AFUN2_007046
OG0000096	AMIN014712	AFUN2_000740
OG0000096	AMIN010757	AFUN2_004816
OG0000096	AMIN001255	AFUN2_002084
OG0000097	AMIN003984	AFUN2_005456
OG0000098	AMIN009752	AFUN2_000935
OG0000103	AMIN010202	AFUN2_002101
OG0000103	AMIN006800	AFUN2_005247, AFUN2_010691, AFUN2_005907, AFUN2_010388
OG0000104	AMIN001011	AFUN2_011196
OG0000105	AMIN004525, AMIN004526, AMIN004527, AMIN004524	AFUN2_006891, AFUN2_009384
OG0000107	AMIN003226	AFUN2_012650
OG0000108	AMIN001146	AFUN2_013458
OG0000109	AMIN007943	AFUN2_009795
OG0000109	AMIN000020	AFUN2_004467
OG0000111	AMIN005870	AFUN2_012122, AFUN2_010977, AFUN2_001513, AFUN2_001833, AFUN2_007611
OG0000114	AMIN005869	AFUN2_007376
OG0000115	AMIN007799	AFUN2_007755
OG0000115	AMIN007798	AFUN2_008885
OG0000116	AMIN009560	AFUN2_005701
OG0000119	AMIN011174	AFUN2_008133
OG0000119	AMIN011175	AFUN2_003288
OG0000120	AMIN015839	AFUN2_014360
OG0000120	AMIN015840	AFUN2_014310
OG0000120	AMIN015843	AFUN2_007600
OG0000120	AMIN007643	AFUN2_000895
OG0000123	AMIN001061, AMIN001063	AFUN2_003694
OG0000123	AMIN007117	AFUN2_007557
OG0000123	AMIN006431	AFUN2_008981, AFUN2_005777, AFUN2_011368, AFUN2_014236
OG0000124	AMIN010457	AFUN2_012265
OG0000124	AMIN010445	AFUN2_012679, AFUN2_002887, AFUN2_011110
OG0000125	AMIN008362	AFUN2_003424, AFUN2_003313, AFUN2_012529
OG0000127	AMIN000423	AFUN2_007961, AFUN2_014650, AFUN2_010892
OG0000128	AMIN016003	AFUN2_009017
OG0000128	AMIN009297	AFUN2_013941
OG0000128	AMIN016287	AFUN2_007884
OG0000129	AMIN002441	AFUN2_011235, AFUN2_004109
OG0000130	AMIN000464	AFUN2_011184
OG0000130	AMIN009807	AFUN2_009668
OG0000131	AMIN009597	AFUN2_011906, AFUN2_003726
OG0000131	AMIN009593	AFUN2_006692
OG0000132	AMIN008147	AFUN2_007055
OG0000132	AMIN008145	AFUN2_005157
OG0000132	AMIN009203	AFUN2_003612
OG0000133	AMIN006896	AFUN2_010213
OG0000133	AMIN008836	AFUN2_005015
OG0000133	AMIN008837	AFUN2_001924
OG0000134	AMIN010108	AFUN2_008047
OG0000134	AMIN010109	AFUN2_001568
OG0000135	AMIN007093	AFUN2_011084
OG0000136	AMIN008377	AFUN2_003409
OG0000136	AMIN001881	AFUN2_000794
OG0000141	AMIN011058	AFUN2_006156
OG0000142	AMIN003855	AFUN2_002023, AFUN2_002866
OG0000142	AMIN000952	AFUN2_007901
OG0000142	AMIN003784	AFUN2_008099
OG0000143	AMIN002682	AFUN2_001347, AFUN2_004552
OG0000146	AMIN000516	AFUN2_008600, AFUN2_001333
OG0000147	AMIN016134, AMIN016136	AFUN2_001243
OG0000147	AMIN016135	AFUN2_006652
OG0000148	AMIN009495	AFUN2_006078
OG0000149	AMIN011053	AFUN2_007018
OG0000149	AMIN016043	AFUN2_003087
OG0000150	AMIN011243	AFUN2_013472
OG0000152	AMIN007972	AFUN2_004036
OG0000152	AMIN009947	AFUN2_007248
OG0000152	AMIN009948	AFUN2_012516
OG0000154	AMIN000711	AFUN2_012942
OG0000154	AMIN006064	AFUN2_007474
OG0000155	AMIN015664, AMIN015665	AFUN2_006679
OG0000157	AMIN001668	AFUN2_002461
OG0000158	AMIN006660	AFUN2_013735
OG0000158	AMIN006604	AFUN2_012368
OG0000159	AMIN015672	AFUN2_009163
OG0000159	AMIN015680	AFUN2_013071
OG0000159	AMIN015679	AFUN2_002477
OG0000159	AMIN015678	AFUN2_006224
OG0000160	AMIN006471, AMIN007271	AFUN2_000560
OG0000160	AMIN003417	AFUN2_005480
OG0000160	AMIN010021	AFUN2_007254
OG0000161	AMIN008303	AFUN2_002280
OG0000161	AMIN010046	AFUN2_013883
OG0000162	AMIN006857	AFUN2_001603
OG0000162	AMIN006855	AFUN2_004390
OG0000163	AMIN001822	AFUN2_009739, AFUN2_005717, AFUN2_004668
OG0000164	AMIN004931	AFUN2_007065
OG0000164	AMIN004928	AFUN2_014641
OG0000164	AMIN004930	AFUN2_008297
OG0000165	AMIN005409	AFUN2_004493
OG0000165	AMIN004970	AFUN2_012709
OG0000166	AMIN007525	AFUN2_013647
OG0000171	AMIN004244	AFUN2_013379
OG0000172	AMIN008835	AFUN2_004764
OG0000172	AMIN008838	AFUN2_014173
OG0000172	AMIN008827	AFUN2_011072
OG0000173	AMIN007048	AFUN2_006638
OG0000173	AMIN007047	AFUN2_004451
OG0000174	AMIN005847	AFUN2_000386
OG0000174	AMIN015909	AFUN2_011578
OG0000176	AMIN006846	AFUN2_012660, AFUN2_007793
OG0000176	AMIN006477	AFUN2_010883, AFUN2_001360, AFUN2_006691, AFUN2_006097
OG0000180	AMIN009804	AFUN2_004082
OG0000181	AMIN009918	AFUN2_012634
OG0000181	AMIN009916	AFUN2_005105
OG0000181	AMIN009915	AFUN2_007521
OG0000182	AMIN004725	AFUN2_004625
OG0000182	AMIN016128	AFUN2_001977
OG0000182	AMIN016130	AFUN2_010645
OG0000183	AMIN002688	AFUN2_005817, AFUN2_013925
OG0000183	AMIN003141	AFUN2_007926
OG0000184	AMIN001894	AFUN2_012600
OG0000184	AMIN015554, AMIN001896	AFUN2_009129
OG0000184	AMIN015555	AFUN2_006403
OG0000185	AMIN008694	AFUN2_004065
OG0000185	AMIN011065	AFUN2_004964, AFUN2_008198
OG0000187	AMIN000726	AFUN2_008775
OG0000188	AMIN011638	AFUN2_002434
OG0000189	AMIN004715	AFUN2_010394
OG0000189	AMIN003400	AFUN2_002979, AFUN2_009982
OG0000190	AMIN009845	AFUN2_013220
OG0000190	AMIN005982	AFUN2_007361
OG0000190	AMIN001539	AFUN2_014239
OG0000191	AMIN010963	AFUN2_001434
OG0000191	AMIN010962	AFUN2_013752
OG0000191	AMIN010961	AFUN2_000844
OG0000191	AMIN010960	AFUN2_007718
OG0000192	AMIN009154	AFUN2_002573
OG0000192	AMIN003113	AFUN2_010718
OG0000192	AMIN016221	AFUN2_006065
OG0000193	AMIN005247	AFUN2_010552, AFUN2_009366
OG0000193	AMIN005248, AMIN015557	AFUN2_003838
OG0000193	AMIN005246, AMIN001550	AFUN2_011367
OG0000194	AMIN001917	AFUN2_001454
OG0000196	AMIN001000	AFUN2_005920
OG0000200	AMIN008384	AFUN2_008798
OG0000200	AMIN008385	AFUN2_010360
OG0000200	AMIN004606	AFUN2_014432
OG0000201	AMIN011329	AFUN2_007662
OG0000202	AMIN005702	AFUN2_012722
OG0000202	AMIN005629	AFUN2_013904
OG0000204	AMIN015947	AFUN2_005886
OG0000204	AMIN015946	AFUN2_004049
OG0000205	AMIN004379	AFUN2_010456
OG0000206	AMIN015995	AFUN2_009572
OG0000206	AMIN009119	AFUN2_000978
OG0000207	AMIN016067	AFUN2_000379
OG0000207	AMIN016068	AFUN2_002113
OG0000208	AMIN008403	AFUN2_013487
OG0000208	AMIN008402	AFUN2_002391
OG0000210	AMIN008980	AFUN2_014566
OG0000210	AMIN008979	AFUN2_005823
OG0000211	AMIN009162	AFUN2_003763, AFUN2_005773
OG0000216	AMIN006105	AFUN2_008117
OG0000217	AMIN000805	AFUN2_005144
OG0000217	AMIN001961	AFUN2_003295
OG0000218	AMIN006218	AFUN2_001352
OG0000218	AMIN006220	AFUN2_007094
OG0000219	AMIN001093	AFUN2_004669
OG0000220	AMIN002726	AFUN2_004984
OG0000221	AMIN006274	AFUN2_002758, AFUN2_007038
OG0000221	AMIN010066	AFUN2_006461
OG0000222	AMIN001686	AFUN2_008952
OG0000222	AMIN001152	AFUN2_002413
OG0000223	AMIN002292	AFUN2_006017
OG0000224	AMIN003074	AFUN2_004727
OG0000224	AMIN003071	AFUN2_006433
OG0000225	AMIN003771	AFUN2_005712, AFUN2_007468
OG0000226	AMIN002711, AMIN002712	AFUN2_009224, AFUN2_010010
OG0000226	AMIN002715	AFUN2_001724, AFUN2_005224
OG0000228	AMIN008194, AMIN010472	AFUN2_010307, AFUN2_001223
OG0000228	AMIN010471	AFUN2_007118, AFUN2_001384, AFUN2_013425, AFUN2_008192
OG0000229	AMIN000391	AFUN2_002725
OG0000229	AMIN003127	AFUN2_001410
OG0000229	AMIN003317	AFUN2_012986
OG0000230	AMIN009075, AMIN009077	AFUN2_013851, AFUN2_006362
OG0000231	AMIN010930	AFUN2_014167
OG0000231	AMIN010931	AFUN2_001796
OG0000232	AMIN010173, AMIN010175, AMIN016211	AFUN2_001279
OG0000232	AMIN016210	AFUN2_004132
OG0000233	AMIN002286	AFUN2_005591
OG0000233	AMIN002275	AFUN2_009669
OG0000234	AMIN006393	AFUN2_006786
OG0000234	AMIN006400	AFUN2_005910
OG0000234	AMIN006394	AFUN2_014325
OG0000236	AMIN002269, AMIN002270	AFUN2_012443
OG0000236	AMIN008944	AFUN2_002078
OG0000237	AMIN000894	AFUN2_005130
OG0000244	AMIN009457	AFUN2_005802
OG0000245	AMIN000228	AFUN2_014246, AFUN2_010459
OG0000246	AMIN004180	AFUN2_012397
OG0000246	AMIN004771	AFUN2_001095, AFUN2_005703, AFUN2_002388
OG0000247	AMIN010670	AFUN2_012107
OG0000247	AMIN010671	AFUN2_004620
OG0000247	AMIN010668	AFUN2_001600
OG0000248	AMIN005906	AFUN2_010809
OG0000248	AMIN016193, AMIN016192	AFUN2_011791
OG0000249	AMIN011428	AFUN2_006007
OG0000249	AMIN007370	AFUN2_010916
OG0000250	AMIN003364	AFUN2_007149
OG0000251	AMIN004378	AFUN2_012347
OG0000252	AMIN008785	AFUN2_006568
OG0000253	AMIN003457	AFUN2_001483, AFUN2_000437
OG0000254	AMIN000082	AFUN2_009334
OG0000254	AMIN000940	AFUN2_013341
OG0000255	AMIN016175	AFUN2_014479
OG0000256	AMIN000774	AFUN2_010594
OG0000256	AMIN000776, AMIN000777	AFUN2_004016
OG0000257	AMIN001432, AMIN001434	AFUN2_012412
OG0000260	AMIN003553	AFUN2_004504
OG0000263	AMIN014004	AFUN2_010178
OG0000265	AMIN010596	AFUN2_009281
OG0000265	AMIN010587	AFUN2_011549
OG0000265	AMIN005808	AFUN2_003921
OG0000266	AMIN001628	AFUN2_000459
OG0000266	AMIN006383	AFUN2_004367
OG0000266	AMIN006382	AFUN2_008216
OG0000267	AMIN004190	AFUN2_006831
OG0000267	AMIN004770	AFUN2_013327, AFUN2_007744
OG0000268	AMIN007059	AFUN2_009239
OG0000268	AMIN007060	AFUN2_010803
OG0000268	AMIN007061	AFUN2_010441
OG0000269	AMIN016284	AFUN2_002119
OG0000270	AMIN008623	AFUN2_004500, AFUN2_005657
OG0000270	AMIN015971	AFUN2_001828
OG0000271	AMIN001411	AFUN2_007927
OG0000272	AMIN008763	AFUN2_008265
OG0000272	AMIN008100	AFUN2_012900
OG0000273	AMIN015825	AFUN2_001579
OG0000273	AMIN015824	AFUN2_004573
OG0000273	AMIN002200	AFUN2_012480
OG0000274	AMIN006742	AFUN2_009686
OG0000276	AMIN008276	AFUN2_000381
OG0000277	AMIN000409	AFUN2_013863
OG0000278	AMIN011462	AFUN2_006737
OG0000278	AMIN011446	AFUN2_010216
OG0000278	AMIN011465	AFUN2_002080
OG0000279	AMIN014755	AFUN2_002258
OG0000280	AMIN006822	AFUN2_014275
OG0000280	AMIN006823	AFUN2_012254
OG0000285	AMIN002977	AFUN2_012421
OG0000285	AMIN015604	AFUN2_002291
OG0000285	AMIN015606	AFUN2_012046
OG0000286	AMIN001250	AFUN2_001601
OG0000287	AMIN015655, AMIN015654, AMIN015652	AFUN2_006714, AFUN2_009698
OG0000288	AMIN001788	AFUN2_007336, AFUN2_011244
OG0000289	AMIN009186	AFUN2_008782
OG0000290	AMIN015559	AFUN2_001948
OG0000290	AMIN008540	AFUN2_000760
OG0000290	AMIN015558	AFUN2_006244
OG0000291	AMIN007862	AFUN2_003869
OG0000291	AMIN008052	AFUN2_005713
OG0000292	AMIN006672	AFUN2_008562
OG0000292	AMIN006670	AFUN2_003827, AFUN2_006814
OG0000293	AMIN005398	AFUN2_001356
OG0000294	AMIN005760	AFUN2_012955
OG0000294	AMIN005761	AFUN2_012574
OG0000296	AMIN006011	AFUN2_010688, AFUN2_014118
OG0000297	AMIN015904	AFUN2_006972
OG0000297	AMIN015903	AFUN2_004085
OG0000299	AMIN002531	AFUN2_007111
OG0000299	AMIN008559	AFUN2_010458
OG0000300	AMIN010132	AFUN2_013914
OG0000302	AMIN016306	AFUN2_001375
OG0000302	AMIN010574	AFUN2_001607
OG0000303	AMIN000132	AFUN2_004936
OG0000303	AMIN004553	AFUN2_011645
OG0000304	AMIN001010	AFUN2_011754, AFUN2_006099
OG0000305	AMIN007189	AFUN2_004178
OG0000306	AMIN006304	AFUN2_011531
OG0000306	AMIN006305	AFUN2_011005
OG0000311	AMIN000004	AFUN2_001606
OG0000313	AMIN009818	AFUN2_013154, AFUN2_009232, AFUN2_010694, AFUN2_006740, AFUN2_001786, AFUN2_011523
OG0000314	AMIN009817	AFUN2_001906, AFUN2_008486, AFUN2_011107, AFUN2_009358
OG0000317	AMIN004815	AFUN2_010069
OG0000318	AMIN007158	AFUN2_002773, AFUN2_002673
OG0000318	AMIN007123	AFUN2_007664
OG0000318	AMIN007122	AFUN2_006731
OG0000319	AMIN001372	AFUN2_000419
OG0000319	AMIN011132	AFUN2_014741
OG0000321	AMIN015801	AFUN2_011209
OG0000321	AMIN015802	AFUN2_009191
OG0000321	AMIN007046	AFUN2_013400
