Orthogroup	AminimusMINIMUS1	AaegyptiLVP_AGWG
OG0000035	AMIN007272, AMIN009877, AMIN010812, AMIN015498, AMIN010811, AMIN010810, AMIN015472, AMIN010814, AMIN010135, AMIN007574	AAEL009610, AAEL025842, AAEL013024
OG0000037	AMIN002827, AMIN006508, AMIN006509, AMIN003922, AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942, AMIN003923, AMIN003925, AMIN003924, AMIN000003, AMIN004541, AMIN004540, AMIN004539	AAEL008895
OG0000039	AMIN015958, AMIN015957, AMIN010824, AMIN007947, AMIN007946, AMIN015959	AAEL002693, AAEL006524, AAEL002682, AAEL002476, AAEL009239, AAEL000793
OG0000040	AMIN015663, AMIN015662	AAEL008368, AAEL022663
OG0000040	AMIN015574, AMIN015575, AMIN001806, AMIN001807, AMIN015590, AMIN015591	AAEL020825, AAEL008448
OG0000041	AMIN008776	AAEL007060
OG0000041	AMIN008777	AAEL007063
OG0000041	AMIN003187	AAEL023132
OG0000042	AMIN005907, AMIN001699	AAEL018347
OG0000045	AMIN001066	AAEL026336, AAEL021875, AAEL024639, AAEL020919, AAEL019803, AAEL024333, AAEL024795, AAEL021215, AAEL027670, AAEL000157, AAEL021144, AAEL005377, AAEL023120, AAEL027327, AAEL017283, AAEL022558, AAEL027412, AAEL022317, AAEL026643, AAEL021928, AAEL027742, AAEL023167, AAEL022378, AAEL023311
OG0000046	AMIN002797	AAEL005753
OG0000048	AMIN011325	AAEL004672, AAEL004667, AAEL001508, AAEL008856
OG0000049	AMIN015888	AAEL002595
OG0000049	AMIN015889	AAEL002590
OG0000049	AMIN015891	AAEL002600
OG0000049	AMIN015890	AAEL002629
OG0000051	AMIN006620, AMIN014521	AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758, AAEL024588
OG0000052	AMIN015582	AAEL017475
OG0000052	AMIN015585, AMIN015584	AAEL024686, AAEL020852, AAEL006627, AAEL007938, AAEL011929, AAEL011916
OG0000053	AMIN009403, AMIN009402	AAEL010055
OG0000055	AMIN002458	AAEL019403
OG0000057	AMIN006625, AMIN006626, AMIN014522	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759, AAEL023487
OG0000058	AMIN001846	AAEL026976, AAEL008624
OG0000059	AMIN016229, AMIN016293	AAEL022646
OG0000059	AMIN010123	AAEL002360
OG0000060	AMIN006628	AAEL004762, AAEL004776, AAEL019994, AAEL019993
OG0000060	AMIN014523	AAEL004748, AAEL004760, AAEL004764, AAEL004742, AAEL004765
OG0000061	AMIN006938	AAEL026011, AAEL007673
OG0000061	AMIN007997	AAEL006719
OG0000061	AMIN004599	AAEL008452, AAEL013421, AAEL008451
OG0000062	AMIN001001, AMIN000304	AAEL015533
OG0000063	AMIN002564	AAEL005771, AAEL005788
OG0000063	AMIN003060	AAEL020266, AAEL000320, AAEL012761, AAEL005696, AAEL005700, AAEL024573, AAEL000326, AAEL000357, AAEL029116, AAEL005775, AAEL017215, AAEL000338
OG0000064	AMIN001329, AMIN001327	AAEL014561, AAEL021735, AAEL025303, AAEL013027, AAEL017403
OG0000064	AMIN003132	AAEL017501
OG0000067	AMIN015537	AAEL003434
OG0000067	AMIN015982	AAEL000678, AAEL000647
OG0000067	AMIN008926	AAEL000642
OG0000067	AMIN000636	AAEL009524
OG0000067	AMIN015981	AAEL000667
OG0000068	AMIN010935	AAEL011444
OG0000069	AMIN003229	AAEL015136
OG0000069	AMIN010636, AMIN016115, AMIN016114, AMIN003907	AAEL009556, AAEL009555, AAEL009553
OG0000071	AMIN005052	AAEL007812
OG0000071	AMIN000434	AAEL002085, AAEL003399
OG0000071	AMIN005942, AMIN005941, AMIN005945	AAEL013798
OG0000072	AMIN008641	AAEL013229
OG0000072	AMIN000778	AAEL012424
OG0000072	AMIN011262	AAEL026111, AAEL004172
OG0000073	AMIN006338	AAEL007136
OG0000073	AMIN006336	AAEL007128
OG0000074	AMIN007418, AMIN007419	AAEL011460, AAEL011454
OG0000074	AMIN010517	AAEL011449
OG0000075	AMIN009972, AMIN009971, AMIN009973	AAEL013444, AAEL013442, AAEL013443, AAEL021060, AAEL025773, AAEL013439
OG0000076	AMIN007057, AMIN006792, AMIN006791, AMIN008359, AMIN004343	AAEL003992
OG0000077	AMIN015956	AAEL021375
OG0000077	AMIN015954	AAEL026915
OG0000077	AMIN015955, AMIN015952	AAEL015020, AAEL015573, AAEL015021
OG0000077	AMIN015953	AAEL015022
OG0000078	AMIN006439	AAEL028137, AAEL020146
OG0000079	AMIN015621, AMIN016252	AAEL023932, AAEL006498, AAEL006259
OG0000079	AMIN015622	AAEL005621, AAEL005625, AAEL006484, AAEL024685
OG0000080	AMIN007961, AMIN007987	AAEL012698
OG0000080	AMIN008322	AAEL008384, AAEL008386
OG0000081	AMIN010657	AAEL013347
OG0000081	AMIN010659	AAEL013349, AAEL013352, AAEL013346, AAEL013344, AAEL013348, AAEL013338
OG0000081	AMIN010656	AAEL013341
OG0000082	AMIN008360, AMIN008381	AAEL019868
OG0000085	AMIN015862, AMIN015860, AMIN015861, AMIN015859, AMIN015863, AMIN015858	AAEL014439, AAEL014440, AAEL003971, AAEL003954
OG0000086	AMIN008148	AAEL012778
OG0000086	AMIN000451	AAEL008163, AAEL008162, AAEL022247, AAEL019828
OG0000086	AMIN002615	AAEL009108
OG0000088	AMIN008863	AAEL001517
OG0000088	AMIN009049, AMIN009053	AAEL000546, AAEL000530, AAEL000545, AAEL008532, AAEL004724
OG0000089	AMIN006914	AAEL001151, AAEL001146
OG0000090	AMIN010523	AAEL003723, AAEL003712
OG0000090	AMIN010488	AAEL015404
OG0000091	AMIN002875	AAEL007010, AAEL021861, AAEL007024
OG0000096	AMIN009310	AAEL002851
OG0000096	AMIN014712	AAEL019894
OG0000096	AMIN010757	AAEL005052
OG0000096	AMIN001255	AAEL002848
OG0000097	AMIN003984	AAEL009566
OG0000098	AMIN009752	AAEL014140, AAEL014137, AAEL022822
OG0000104	AMIN001011	AAEL002668, AAEL006823
OG0000107	AMIN003226	AAEL014731, AAEL007754, AAEL004928
OG0000108	AMIN001146	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165
OG0000109	AMIN007943	AAEL018267
OG0000109	AMIN000020	AAEL023958
OG0000111	AMIN005870	AAEL024249, AAEL017232, AAEL027929, AAEL025172
OG0000115	AMIN007799	AAEL004247
OG0000115	AMIN007798	AAEL022427
OG0000116	AMIN009560	AAEL004743
OG0000119	AMIN011174	AAEL005200
OG0000119	AMIN011175	AAEL005199, AAEL020054, AAEL005182, AAEL023662, AAEL004323
OG0000120	AMIN015839	AAEL019920, AAEL005609, AAEL005607, AAEL019919
OG0000120	AMIN015840, AMIN015843	AAEL005594, AAEL005611
OG0000121	AMIN007010	AAEL020129, AAEL023436, AAEL025899
OG0000127	AMIN000423	AAEL011528, AAEL000686, AAEL001057, AAEL001096, AAEL007941
OG0000128	AMIN016003	AAEL000904
OG0000128	AMIN009297	AAEL000918
OG0000128	AMIN016286, AMIN016287	AAEL019933
OG0000129	AMIN002441	AAEL001195
OG0000130	AMIN000464	AAEL008160
OG0000130	AMIN009807	AAEL002237
OG0000131	AMIN009597	AAEL003272, AAEL003226
OG0000131	AMIN009593	AAEL003259
OG0000132	AMIN008147	AAEL005293
OG0000132	AMIN009203	AAEL003840
OG0000133	AMIN006896	AAEL004091
OG0000133	AMIN008836, AMIN008837	AAEL014230
OG0000134	AMIN010110	AAEL005113, AAEL023844, AAEL005123
OG0000134	AMIN010108, AMIN010109	AAEL019679
OG0000135	AMIN007092	AAEL006011
OG0000136	AMIN008377	AAEL013227, AAEL013233, AAEL021425, AAEL006287
OG0000136	AMIN001881	AAEL013692, AAEL008098, AAEL007698
OG0000141	AMIN011058	AAEL017553, AAEL002391, AAEL024216, AAEL002378, AAEL002385, AAEL002367
OG0000142	AMIN003855	AAEL002426
OG0000142	AMIN000952	AAEL002432
OG0000142	AMIN003784	AAEL002408
OG0000143	AMIN002682	AAEL007795, AAEL007807, AAEL007815, AAEL007808, AAEL007816
OG0000146	AMIN000516	AAEL007592, AAEL015137
OG0000147	AMIN016141, AMIN016134, AMIN016136, AMIN016135	AAEL006827, AAEL002031, AAEL001960, AAEL002005
OG0000148	AMIN009492, AMIN009494	AAEL017460
OG0000148	AMIN009495	AAEL002676
OG0000149	AMIN011053	AAEL003091
OG0000149	AMIN016044	AAEL027549, AAEL027016
OG0000149	AMIN016042	AAEL026670
OG0000149	AMIN016043	AAEL003076
OG0000150	AMIN011243	AAEL003497
OG0000152	AMIN007972	AAEL011180
OG0000152	AMIN009946	AAEL005270
OG0000152	AMIN009947, AMIN009948	AAEL005259
OG0000154	AMIN000711, AMIN006064	AAEL009130, AAEL009129, AAEL009123, AAEL009131
OG0000155	AMIN015664, AMIN015665	AAEL010418, AAEL027258, AAEL015286, AAEL010415, AAEL010428, AAEL023626, AAEL018080, AAEL010426, AAEL017079, AAEL010409
OG0000157	AMIN001668	AAEL026898
OG0000157	AMIN010663	AAEL021701, AAEL023616, AAEL027162, AAEL024662, AAEL025947, AAEL027079, AAEL024834, AAEL027392
OG0000160	AMIN007249, AMIN006471, AMIN007271, AMIN003417	AAEL024826, AAEL027417
OG0000161	AMIN008303	AAEL021131
OG0000161	AMIN010046	AAEL004798, AAEL002467
OG0000162	AMIN006855	AAEL002606
OG0000163	AMIN001822	AAEL004507, AAEL022219, AAEL004486
OG0000164	AMIN004931	AAEL007511
OG0000164	AMIN004928	AAEL014567
OG0000164	AMIN004930	AAEL007514
OG0000165	AMIN005409	AAEL008017
OG0000165	AMIN004970	AAEL008018
OG0000166	AMIN007525	AAEL014830
OG0000171	AMIN004244	AAEL023653, AAEL005134
OG0000172	AMIN008835	AAEL026737
OG0000172	AMIN008838	AAEL020253
OG0000172	AMIN008827	AAEL011332
OG0000173	AMIN007048	AAEL014515
OG0000174	AMIN005847	AAEL029047
OG0000174	AMIN015909	AAEL029038, AAEL029046, AAEL029041, AAEL029044
OG0000180	AMIN009804	AAEL021730, AAEL002208, AAEL029006, AAEL022045, AAEL002239, AAEL002189, AAEL002245, AAEL002202
OG0000181	AMIN014770, AMIN009918, AMIN009916, AMIN009915	AAEL004729, AAEL026708, AAEL023262, AAEL004730, AAEL025094
OG0000182	AMIN004725	AAEL005407
OG0000182	AMIN016128	AAEL005412, AAEL005426, AAEL005417
OG0000182	AMIN016130	AAEL005408
OG0000183	AMIN002688, AMIN003141	AAEL005786, AAEL019497, AAEL022007, AAEL009434, AAEL019498
OG0000184	AMIN001894	AAEL005999
OG0000184	AMIN015554, AMIN001896, AMIN015555	AAEL006003
OG0000185	AMIN008694	AAEL013981, AAEL013983, AAEL021888
OG0000185	AMIN011065	AAEL008045
OG0000187	AMIN000726	AAEL000035
OG0000188	AMIN011638	AAEL017003, AAEL003253, AAEL003243
OG0000189	AMIN004715	AAEL003743
OG0000189	AMIN003400	AAEL006390, AAEL014053
OG0000190	AMIN009845	AAEL024092, AAEL020855
OG0000190	AMIN005982	AAEL023141
OG0000190	AMIN001539	AAEL003982
OG0000191	AMIN010963, AMIN010962, AMIN010961, AMIN010960	AAEL007085, AAEL024044
OG0000192	AMIN009154	AAEL018352
OG0000192	AMIN003113	AAEL008055
OG0000192	AMIN016221	AAEL007664
OG0000193	AMIN005247, AMIN005248, AMIN015557, AMIN005246, AMIN001550	AAEL018151, AAEL008595
OG0000194	AMIN001917	AAEL022256, AAEL009193
OG0000196	AMIN001000	AAEL014662, AAEL011677, AAEL019722
OG0000200	AMIN008384	AAEL019407
OG0000200	AMIN008385	AAEL000536
OG0000200	AMIN004606	AAEL000123
OG0000201	AMIN011329	AAEL020195, AAEL001844
OG0000202	AMIN005629	AAEL012457, AAEL012455
OG0000204	AMIN015947	AAEL014078
OG0000204	AMIN015946	AAEL005665
OG0000204	AMIN015945	AAEL014079
OG0000205	AMIN004379	AAEL008898
OG0000206	AMIN015995	AAEL009935, AAEL009945, AAEL009938
OG0000206	AMIN009119	AAEL006668
OG0000207	AMIN016067, AMIN016068	AAEL027951, AAEL026297, AAEL007619
OG0000208	AMIN008403	AAEL008259, AAEL027364
OG0000208	AMIN008402	AAEL023637, AAEL008283
OG0000210	AMIN008980, AMIN008979	AAEL022562, AAEL013032
OG0000211	AMIN009162	AAEL021862
OG0000217	AMIN000805	AAEL002994
OG0000217	AMIN001961	AAEL001622
OG0000218	AMIN006218	AAEL001969
OG0000218	AMIN006220	AAEL002028
OG0000219	AMIN001093	AAEL012431, AAEL010858, AAEL012430, AAEL024868, AAEL010853
OG0000220	AMIN002726	AAEL002969, AAEL002959
OG0000221	AMIN006274	AAEL021590, AAEL003079
OG0000221	AMIN010066	AAEL014371, AAEL008560
OG0000222	AMIN001686	AAEL021010, AAEL019957
OG0000223	AMIN002292	AAEL006487
OG0000224	AMIN003074, AMIN003071	AAEL006835
OG0000225	AMIN003771	AAEL014411, AAEL014412
OG0000226	AMIN002722, AMIN002711, AMIN002712, AMIN002715	AAEL027179
OG0000229	AMIN000391	AAEL000515, AAEL000505
OG0000229	AMIN003127, AMIN003317	AAEL024475
OG0000230	AMIN009075, AMIN009077	AAEL021401, AAEL006228, AAEL024098, AAEL001015, AAEL005000
OG0000231	AMIN010930, AMIN010931	AAEL001743, AAEL001735, AAEL008873, AAEL008866, AAEL008869, AAEL008872
OG0000232	AMIN010173, AMIN010175, AMIN016211, AMIN016210	AAEL002043, AAEL026706
OG0000233	AMIN002286	AAEL007602, AAEL003060
OG0000233	AMIN002275	AAEL009843
OG0000234	AMIN006393	AAEL019609
OG0000234	AMIN006400	AAEL007447
OG0000234	AMIN006394	AAEL007449
OG0000236	AMIN002269, AMIN002270, AMIN008944	AAEL009206
OG0000237	AMIN000894	AAEL022081, AAEL012350
OG0000244	AMIN009457	AAEL001196
OG0000244	AMIN009466	AAEL000597
OG0000245	AMIN000228	AAEL010893
OG0000246	AMIN004180, AMIN004771	AAEL001059
OG0000247	AMIN010670, AMIN010671	AAEL001683, AAEL001677
OG0000247	AMIN010668	AAEL001704
OG0000248	AMIN005906	AAEL001822, AAEL001816
OG0000248	AMIN016193	AAEL018042
OG0000248	AMIN016192	AAEL018041
OG0000249	AMIN011428, AMIN007370	AAEL003738, AAEL003726, AAEL003740, AAEL003728, AAEL023973
OG0000250	AMIN003364	AAEL004582
OG0000251	AMIN004378	AAEL006353, AAEL006344
OG0000252	AMIN008785	AAEL007257, AAEL007251, AAEL014554
OG0000253	AMIN003457	AAEL007993, AAEL007992
OG0000254	AMIN000082	AAEL012040
OG0000254	AMIN000940	AAEL009916
OG0000255	AMIN016175, AMIN016174	AAEL012770, AAEL012762, AAEL020553, AAEL011761, AAEL022568, AAEL012769, AAEL012765
OG0000256	AMIN000776, AMIN000777, AMIN000775	AAEL012425, AAEL012422
OG0000257	AMIN001432, AMIN001434	AAEL019890, AAEL027350
OG0000265	AMIN010596, AMIN010587	AAEL008213, AAEL008211
OG0000265	AMIN005808	AAEL000249
OG0000266	AMIN001628	AAEL013662
OG0000266	AMIN006383, AMIN006382	AAEL000757
OG0000267	AMIN004190	AAEL001061
OG0000267	AMIN004770	AAEL010582
OG0000268	AMIN007059, AMIN007060	AAEL002690
OG0000268	AMIN007061	AAEL002692
OG0000269	AMIN016284	AAEL003195, AAEL026083, AAEL023346, AAEL003196, AAEL020734, AAEL021498, AAEL003181, AAEL022449, AAEL003201, AAEL028198, AAEL003187, AAEL024002
OG0000270	AMIN011416, AMIN008623, AMIN015971	AAEL003444, AAEL003439
OG0000271	AMIN001411	AAEL004778
OG0000272	AMIN008763	AAEL008858
OG0000272	AMIN008100	AAEL008876
OG0000273	AMIN015825	AAEL008928
OG0000273	AMIN002200	AAEL008931
OG0000274	AMIN006742	AAEL010098, AAEL010099
OG0000276	AMIN008276	AAEL013044, AAEL013048, AAEL013054
OG0000277	AMIN000409	AAEL013198, AAEL026420
OG0000278	AMIN011462, AMIN011446, AMIN011465	AAEL013217
OG0000279	AMIN014755	AAEL017402
OG0000280	AMIN006822, AMIN006823	AAEL029034
OG0000280	AMIN006824	AAEL029031
OG0000285	AMIN002977	AAEL000029
OG0000285	AMIN015604, AMIN015606	AAEL000024
OG0000286	AMIN001250	AAEL022696, AAEL000613, AAEL000628, AAEL000614, AAEL006465, AAEL017294
OG0000287	AMIN015655, AMIN015654, AMIN015652, AMIN015653	AAEL001221
OG0000288	AMIN001788	AAEL020558, AAEL001320, AAEL001292, AAEL025530, AAEL001312, AAEL001807, AAEL009591
OG0000289	AMIN009186	AAEL003317, AAEL003297, AAEL003298
OG0000290	AMIN015559, AMIN008540, AMIN015558	AAEL004103, AAEL004092
OG0000291	AMIN007862	AAEL004592
OG0000291	AMIN008053, AMIN008052	AAEL024570
OG0000292	AMIN006672	AAEL004935
OG0000292	AMIN006670	AAEL004923
OG0000293	AMIN005398	AAEL019520
OG0000294	AMIN005760	AAEL022989, AAEL007040
OG0000294	AMIN005761	AAEL006160
OG0000295	AMIN008699, AMIN016301, AMIN016300	AAEL006385
OG0000297	AMIN015904	AAEL006818
OG0000297	AMIN015903	AAEL006829
OG0000299	AMIN002531	AAEL007893
OG0000299	AMIN008559	AAEL008152, AAEL027985, AAEL008159
OG0000300	AMIN010132	AAEL009978
OG0000302	AMIN016306	AAEL015566, AAEL015567
OG0000302	AMIN010574	AAEL011499
OG0000303	AMIN000132	AAEL011563
OG0000304	AMIN001010	AAEL014541
OG0000305	AMIN007189	AAEL019599
OG0000306	AMIN006304, AMIN006305	AAEL022773
OG0000317	AMIN004815	AAEL000039, AAEL000089, AAEL000066, AAEL000018
OG0000318	AMIN007124, AMIN007158, AMIN007123, AMIN007122	AAEL000690
OG0000319	AMIN001372	AAEL026313, AAEL027346
OG0000319	AMIN001373, AMIN011132	AAEL001010
OG0000321	AMIN015801, AMIN015802	AAEL002904
OG0000321	AMIN007046	AAEL002917
OG0000324	AMIN009157	AAEL005749
OG0000324	AMIN009156	AAEL005763
OG0000325	AMIN010396	AAEL005759, AAEL007339, AAEL005890
OG0000326	AMIN004016	AAEL007169
OG0000326	AMIN003194	AAEL006077
OG0000327	AMIN006782	AAEL006684, AAEL012580, AAEL021830, AAEL024894, AAEL019749, AAEL019750, AAEL027138, AAEL010580, AAEL006679, AAEL022785, AAEL025034
OG0000328	AMIN008593	AAEL026562, AAEL006696
OG0000328	AMIN008592	AAEL022561, AAEL006692
OG0000329	AMIN001843	AAEL008634
OG0000329	AMIN001842	AAEL008622
OG0000330	AMIN005466	AAEL012245
OG0000330	AMIN005465	AAEL009580
OG0000331	AMIN015827	AAEL011658
OG0000331	AMIN015828, AMIN015829	AAEL011662
OG0000332	AMIN003653, AMIN003550, AMIN003652	AAEL011931
OG0000333	AMIN010628, AMIN010619	AAEL012421
OG0000334	AMIN001560	AAEL013154
OG0000336	AMIN011337	AAEL021016
OG0000344	AMIN004814	AAEL000073
OG0000344	AMIN007367	AAEL012377
OG0000346	AMIN002478, AMIN016268	AAEL000216, AAEL004949, AAEL004953, AAEL004947
OG0000347	AMIN007036	AAEL000861, AAEL000859
OG0000348	AMIN009292, AMIN009291	AAEL000890, AAEL000896
OG0000349	AMIN015611	AAEL013991
OG0000349	AMIN010714	AAEL013997
OG0000349	AMIN015612	AAEL001041
OG0000350	AMIN015944	AAEL001248, AAEL001256, AAEL001278, AAEL001258, AAEL014835, AAEL001286, AAEL001263
OG0000351	AMIN008878	AAEL001519
OG0000352	AMIN004703	AAEL024332, AAEL001566, AAEL005791
OG0000353	AMIN010928	AAEL001745, AAEL001732
OG0000354	AMIN003843	AAEL006113
OG0000354	AMIN003437	AAEL002541
OG0000355	AMIN002728, AMIN006601	AAEL002967
OG0000356	AMIN004156	AAEL003069
OG0000357	AMIN003425	AAEL003506
OG0000357	AMIN003427, AMIN003426	AAEL003504
OG0000359	AMIN004153	AAEL010434, AAEL006138, AAEL006126
OG0000360	AMIN004393	AAEL006355, AAEL006361, AAEL006337
OG0000361	AMIN000969	AAEL006624
OG0000362	AMIN016016, AMIN016013	AAEL027003, AAEL007951, AAEL023692
OG0000363	AMIN011090	AAEL009860, AAEL020112, AAEL022139
OG0000364	AMIN011281	AAEL011346, AAEL011348, AAEL009968
OG0000365	AMIN001318	AAEL011314
OG0000366	AMIN003044	AAEL019797, AAEL019798, AAEL011797, AAEL011798
OG0000367	AMIN007407	AAEL012509
OG0000368	AMIN004899	AAEL012866, AAEL012870, AAEL012860
OG0000369	AMIN000991	AAEL022846
OG0000369	AMIN000990, AMIN000995	AAEL019808
OG0000370	AMIN001702	AAEL017446
OG0000370	AMIN015641	AAEL017182
OG0000371	AMIN007985, AMIN007986, AMIN007988	AAEL019862
OG0000372	AMIN005843	AAEL023438, AAEL021785
OG0000380	AMIN015545	AAEL000012
OG0000380	AMIN015546	AAEL024813
OG0000381	AMIN016125	AAEL008574
OG0000381	AMIN016124	AAEL000735
OG0000382	AMIN006598	AAEL000797
OG0000382	AMIN006597	AAEL000834
OG0000383	AMIN003564	AAEL000810
OG0000383	AMIN006915	AAEL019951
OG0000384	AMIN007029, AMIN007027, AMIN007028	AAEL000910
OG0000386	AMIN010945	AAEL007218
OG0000387	AMIN011411	AAEL001769
OG0000387	AMIN010181	AAEL002083
OG0000388	AMIN003526, AMIN003525	AAEL027351, AAEL003190, AAEL020406
OG0000389	AMIN010092	AAEL003708
OG0000391	AMIN004615	AAEL005160
OG0000391	AMIN006874	AAEL006372
OG0000392	AMIN016121, AMIN016119, AMIN016120	AAEL005725
OG0000393	AMIN000709	AAEL005918
OG0000393	AMIN000710	AAEL025460
OG0000394	AMIN015659	AAEL006264
OG0000394	AMIN015658	AAEL006274, AAEL022795
OG0000395	AMIN006779	AAEL006675
OG0000395	AMIN005116	AAEL010567
OG0000396	AMIN009642	AAEL006978
OG0000396	AMIN009640, AMIN009641	AAEL022582, AAEL026610
OG0000397	AMIN009574	AAEL008672
OG0000397	AMIN000431	AAEL008138
OG0000398	AMIN015525, AMIN010788	AAEL008295, AAEL008294, AAEL008288, AAEL008284
OG0000399	AMIN011393	AAEL008784
OG0000399	AMIN007830	AAEL008782, AAEL008767
OG0000400	AMIN007277	AAEL023342
OG0000400	AMIN010038	AAEL009218
OG0000401	AMIN003805	AAEL019824
OG0000401	AMIN008417	AAEL009275
OG0000402	AMIN005358, AMIN007892	AAEL009769, AAEL009767
OG0000403	AMIN005734	AAEL011204
OG0000403	AMIN015648	AAEL014297
OG0000404	AMIN001303	AAEL012131
OG0000404	AMIN001304	AAEL012128
OG0000405	AMIN016076, AMIN016073	AAEL023643, AAEL012560, AAEL012558
