Orthogroup	AminimusMINIMUS1	LlongipalpisASM
OG0000059	AMIN016229, AMIN016293, AMIN010123	LOC129794147
OG0000061	AMIN006938	LOC129795031
OG0000061	AMIN007997	LOC129795029, LOC129795028
OG0000061	AMIN004599	LOC129795034
OG0000064	AMIN001329, AMIN001327, AMIN003132, AMIN001330, AMIN001328	LOC129790088, LOC129790085
OG0000067	AMIN015537, AMIN015982, AMIN008926	LOC129796553, LOC129796550, LOC129789877, LOC129796549
OG0000067	AMIN000636, AMIN015981	LOC129796552
OG0000068	AMIN010935	LOC129794029, LOC129794026, LOC129794027
OG0000069	AMIN003229, AMIN010636, AMIN016115, AMIN016114, AMIN003907	LOC129797773, LOC129786174, LOC129792812
OG0000071	AMIN005052, AMIN000434, AMIN005942, AMIN005941, AMIN005945	LOC129797006
OG0000072	AMIN008641	LOC129787850, LOC129787849
OG0000073	AMIN006338, AMIN006336	LOC129790978, LOC129789240, LOC129791095, LOC129786082, LOC129794430, LOC129789666, LOC129795974, LOC129794559, LOC129796201, LOC129786939, LOC129791894, LOC129796558, LOC129796557, LOC129786080, LOC129796556, LOC129791096, LOC129791101, LOC129791098, LOC129791103, LOC129789241, LOC129791100
OG0000077	AMIN015956, AMIN015954	LOC129789368, LOC129791094
OG0000077	AMIN015955, AMIN015952, AMIN015953	LOC129793367
OG0000078	AMIN006439, AMIN005866, AMIN001065, AMIN007269, AMIN006481, AMIN001208, AMIN004967, AMIN007270, AMIN006432	LOC129795036
OG0000079	AMIN015620, AMIN015621, AMIN016252, AMIN015622	LOC129796831
OG0000080	AMIN007961, AMIN007987, AMIN010419, AMIN008322	LOC129790108
OG0000086	AMIN008148, AMIN000451, AMIN002615	LOC129787729, LOC129787734
OG0000088	AMIN008863, AMIN009049, AMIN009053	LOC129795927, LOC129794489, LOC129796007
OG0000090	AMIN010523	LOC129787919, LOC129787933
OG0000090	AMIN010488	LOC129793252
OG0000091	AMIN002875	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148
OG0000093	AMIN007523, AMIN009880, AMIN007575, AMIN014793, AMIN001012	LOC129786127
OG0000096	AMIN009310	LOC129794915
OG0000096	AMIN014712, AMIN010757, AMIN001255	LOC129794914
OG0000097	AMIN003984, AMIN003983, AMIN003985	LOC129797700, LOC129797734
OG0000108	AMIN001146	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974
OG0000109	AMIN007943	LOC129796958
OG0000109	AMIN000020	LOC129787301
OG0000114	AMIN005869	LOC129791409
OG0000115	AMIN007799, AMIN007798	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063
OG0000116	AMIN009560	LOC129791153
OG0000120	AMIN015839, AMIN015840, AMIN015843, AMIN007643	LOC129795901, LOC129797227
OG0000124	AMIN010446, AMIN010457, AMIN010445	LOC129786906
OG0000128	AMIN016003, AMIN009297	LOC129794451, LOC129794450
OG0000128	AMIN016286, AMIN016287	LOC129794553, LOC129795542, LOC129795535
OG0000129	AMIN002441	LOC129797028
OG0000130	AMIN000464, AMIN009807	LOC129795831, LOC129797298
OG0000131	AMIN009597	LOC129797128
OG0000131	AMIN009593	LOC129792345
OG0000132	AMIN008147, AMIN008146, AMIN008145, AMIN009203	LOC129794613
OG0000133	AMIN006896, AMIN008836, AMIN008837	LOC129795866, LOC129794696
OG0000134	AMIN010110, AMIN010108, AMIN010109	LOC129792867
OG0000135	AMIN001757, AMIN001904, AMIN009411, AMIN007092, AMIN009027, AMIN007093	LOC129786134
OG0000136	AMIN008377, AMIN001881	LOC129797461, LOC129792712, LOC129794643, LOC129788901
OG0000142	AMIN003855, AMIN000952	LOC129792316, LOC129793845
OG0000142	AMIN003784	LOC129797567
OG0000143	AMIN002682	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158
OG0000144	AMIN014512	LOC129787998
OG0000146	AMIN000516	LOC129797766, LOC129797769, LOC129797768
OG0000147	AMIN016141, AMIN016134, AMIN016136, AMIN016135	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470
OG0000148	AMIN009495	LOC129790546
OG0000150	AMIN011243	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164
OG0000152	AMIN007972	LOC129794238
OG0000152	AMIN009947, AMIN009948	LOC129787698
OG0000154	AMIN000711, AMIN006064	LOC129791038
OG0000157	AMIN001668, AMIN010663	LOC129793002
OG0000160	AMIN007249, AMIN006471, AMIN007271, AMIN003417, AMIN010021	LOC129797691, LOC129797713, LOC129786217
OG0000161	AMIN010046	LOC129790631
OG0000162	AMIN006857, AMIN006855	LOC129792306
OG0000163	AMIN001822	LOC129793077, LOC129787054, LOC129793078
OG0000164	AMIN004931	LOC129788007
OG0000164	AMIN004928, AMIN004930	LOC129786795
OG0000165	AMIN005409, AMIN004970	LOC129785838
OG0000166	AMIN007525	LOC129793375, LOC129794220, LOC129793372
OG0000171	AMIN004244	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346
OG0000172	AMIN008835, AMIN008838, AMIN008827	LOC129796083
OG0000173	AMIN007048, AMIN007047	LOC129796378, LOC129791724, LOC129796377, LOC129787463
OG0000174	AMIN010113, AMIN005847, AMIN015909	LOC129785929
OG0000176	AMIN014572, AMIN006846, AMIN006492, AMIN006477	LOC129787791, LOC129788000
OG0000183	AMIN002688, AMIN003141	LOC129786975, LOC129786974
OG0000184	AMIN001894, AMIN015554, AMIN001896, AMIN015555	LOC129794345
OG0000187	AMIN000726	LOC129796892
OG0000188	AMIN011638	LOC129786978
OG0000189	AMIN004715	LOC129787889
OG0000189	AMIN003400	LOC129787087
OG0000190	AMIN009845	LOC129790672
OG0000190	AMIN005982, AMIN001539	LOC129789849
OG0000192	AMIN009154	LOC129789885
OG0000192	AMIN003113	LOC129791401
OG0000192	AMIN016221	LOC129789886
OG0000193	AMIN005247, AMIN005248, AMIN015557, AMIN005246, AMIN001550	LOC129791916, LOC129788591, LOC129786638
OG0000194	AMIN001917	LOC129795950
OG0000196	AMIN001000	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795
OG0000200	AMIN008384	LOC129796145
OG0000200	AMIN008385, AMIN004606	LOC129786068
OG0000201	AMIN011329	LOC129792426, LOC129792425, LOC129792423
OG0000202	AMIN005702, AMIN005629	LOC129795977
OG0000204	AMIN015947, AMIN015946, AMIN015945	LOC129790266
OG0000206	AMIN015995	LOC129791163
OG0000206	AMIN009119	LOC129791164
OG0000207	AMIN016067, AMIN016068	LOC129791699
OG0000208	AMIN008403, AMIN008402	LOC129796425
OG0000217	AMIN000805	LOC129790202
OG0000217	AMIN001961	LOC129790328
OG0000218	AMIN006218, AMIN006220	LOC129795659
OG0000220	AMIN002726	LOC129787563
OG0000222	AMIN001686, AMIN001152	LOC129788692
OG0000223	AMIN002292	LOC129786636
OG0000224	AMIN003074, AMIN003071	LOC129786419
OG0000225	AMIN003771	LOC129797834, LOC129797833
OG0000229	AMIN000391, AMIN003127, AMIN003317	LOC129787399, LOC129793458
OG0000231	AMIN010930, AMIN010931	LOC129794015
OG0000232	AMIN010173, AMIN010175, AMIN016211, AMIN016210	LOC129791885
OG0000233	AMIN002286, AMIN002275	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369
OG0000234	AMIN006393, AMIN006400, AMIN006394	LOC129793719, LOC129790671
OG0000236	AMIN002269, AMIN002270, AMIN008944	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313
OG0000237	AMIN000894	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873
OG0000244	AMIN009457, AMIN009466	LOC129788572
OG0000245	AMIN000228	LOC129788329, LOC129791448, LOC129788328
OG0000248	AMIN005906, AMIN016193, AMIN016192	LOC129790447
OG0000250	AMIN003364	LOC129792061
OG0000254	AMIN000082, AMIN000940	LOC129794727, LOC129794738
OG0000265	AMIN010596, AMIN010587, AMIN005808	LOC129794745
OG0000266	AMIN001628, AMIN006383, AMIN006382	LOC129788826
OG0000267	AMIN004190, AMIN004770	LOC129792282, LOC129787468, LOC129787465, LOC129787466, LOC129787467, LOC129792219, LOC129787464
OG0000268	AMIN007059, AMIN007060, AMIN007061	LOC129790334, LOC129790344
OG0000269	AMIN016284	LOC129786292
OG0000270	AMIN011416, AMIN008623, AMIN015971	LOC129795988
OG0000271	AMIN001411	LOC129789622
OG0000272	AMIN008763, AMIN008100	LOC129792269
OG0000273	AMIN015825, AMIN015824, AMIN002200	LOC129794573, LOC129794527, LOC129794600
OG0000274	AMIN006742	LOC129788675, LOC129795658, LOC129788672, LOC129795638
OG0000277	AMIN000409	LOC129791521
OG0000278	AMIN011462, AMIN011446, AMIN011465	LOC129786521, LOC129791056, LOC129791052
OG0000280	AMIN006822, AMIN006823, AMIN006824	LOC129794053
OG0000286	AMIN001250	LOC129786965
OG0000289	AMIN009186	LOC129789651, LOC129789648, LOC129789646
OG0000290	AMIN015559, AMIN008540, AMIN015558	LOC129794578
OG0000291	AMIN007862	LOC129796116
OG0000291	AMIN008053, AMIN008052	LOC129791815
OG0000292	AMIN006672, AMIN006670	LOC129789397
OG0000293	AMIN005398	LOC129794823, LOC129788774
OG0000294	AMIN005760	LOC129789645
OG0000294	AMIN005761	LOC129789635
OG0000296	AMIN006011	LOC129789943
OG0000297	AMIN015904, AMIN015903	LOC129791271, LOC129795319, LOC129790452, LOC129793248
OG0000299	AMIN002531, AMIN008559	LOC129797703
OG0000302	AMIN016306, AMIN010574	LOC129794019, LOC129794016
OG0000303	AMIN000130, AMIN000132, AMIN004553	LOC129786927
OG0000304	AMIN001010	LOC129788607
OG0000305	AMIN007189	LOC129788936
OG0000306	AMIN006304, AMIN006305	LOC129792581
OG0000311	AMIN000004	LOC129797680, LOC129791123, LOC129797827, LOC129791363, LOC129795702
OG0000319	AMIN001372, AMIN001373, AMIN011132	LOC129792976, LOC129792973
OG0000324	AMIN009157, AMIN009156	LOC129791049
OG0000325	AMIN010396	LOC129793668
OG0000326	AMIN004016, AMIN003195, AMIN003194	LOC129786690
OG0000327	AMIN006782	LOC129788407
OG0000328	AMIN008593, AMIN008592	LOC129795928
OG0000329	AMIN001843, AMIN001842	LOC129790306
OG0000330	AMIN005466, AMIN005465	LOC129790371
OG0000331	AMIN015827, AMIN015828, AMIN015829	LOC129786465
OG0000332	AMIN003653, AMIN003550, AMIN003652	LOC129787519
OG0000333	AMIN010628, AMIN010619	LOC129792561
OG0000334	AMIN001560	LOC129789420, LOC129789377, LOC129789388, LOC129789243, LOC129789387, LOC129789380, LOC129789362, LOC129789379, LOC129789244, LOC129789242, LOC129789359, LOC129789374
OG0000336	AMIN011337	LOC129790183, LOC129792929
OG0000344	AMIN004814, AMIN007367	LOC129796894, LOC129796895, LOC129786968
OG0000345	AMIN005741	LOC129786395
OG0000349	AMIN015611, AMIN010714, AMIN015612	LOC129793891
OG0000350	AMIN015944	LOC129793586
OG0000351	AMIN008878	LOC129794682
OG0000352	AMIN004703	LOC129786247, LOC129786294
OG0000353	AMIN010928	LOC129794007
OG0000354	AMIN003843, AMIN003437	LOC129787091
OG0000355	AMIN002728, AMIN006601	LOC129787439
OG0000356	AMIN008127, AMIN004156	LOC129786611, LOC129786607, LOC129786612, LOC129786240
OG0000357	AMIN003425, AMIN003427, AMIN003426	LOC129797618
OG0000359	AMIN004153	LOC129793872
OG0000360	AMIN004393	LOC129793800, LOC129796548
OG0000363	AMIN011090	LOC129797000
OG0000364	AMIN011281	LOC129791717
OG0000365	AMIN001318	LOC129787071
OG0000367	AMIN007407	LOC129794337, LOC129792101, LOC129795024
OG0000368	AMIN004899	LOC129790768, LOC129790769, LOC129796330, LOC129790703, LOC129790738, LOC129790737, LOC129790736
OG0000369	AMIN000991, AMIN000990, AMIN000995	LOC129790261
OG0000370	AMIN001702	LOC129794441, LOC129794442, LOC129794443
OG0000370	AMIN015641	LOC129786379
OG0000371	AMIN007985, AMIN007986, AMIN007988	LOC129794045
OG0000372	AMIN005843	LOC129790937
OG0000381	AMIN016125, AMIN016124	LOC129792906, LOC129792907, LOC129792591
OG0000382	AMIN006598	LOC129786797, LOC129796311
OG0000382	AMIN006597	LOC129796310
OG0000383	AMIN003564	LOC129785995
OG0000383	AMIN006915	LOC129787610, LOC129794998
OG0000386	AMIN010945	LOC129794213
OG0000387	AMIN011411, AMIN010181	LOC129792588
OG0000389	AMIN010092	LOC129792672
OG0000391	AMIN004615	LOC129787235
OG0000391	AMIN006874	LOC129791955
OG0000393	AMIN000709, AMIN000710	LOC129785949, LOC129785948, LOC129785957
OG0000394	AMIN015659, AMIN015658	LOC129791762
OG0000395	AMIN006779	LOC129788433
OG0000395	AMIN005116	LOC129796829, LOC129789717
OG0000396	AMIN009642, AMIN009640, AMIN009641	LOC129790169
OG0000397	AMIN009574	LOC129790187
OG0000397	AMIN000431	LOC129790172
OG0000399	AMIN011393, AMIN007830	LOC129794264
OG0000400	AMIN007277, AMIN010038	LOC129786701
OG0000401	AMIN003805	LOC129797202
OG0000401	AMIN008417	LOC129786605
OG0000403	AMIN005734	LOC129788394
OG0000403	AMIN015648	LOC129793356
OG0000404	AMIN001303, AMIN001304	LOC129795523
OG0000407	AMIN008277, AMIN009328	LOC129791712
OG0000408	AMIN007332, AMIN007333	LOC129797650, LOC129797649
OG0000409	AMIN001360, AMIN001358, AMIN001359	LOC129787069
OG0000410	AMIN002933	LOC129786954, LOC129794457
OG0000411	AMIN016275, AMIN016274, AMIN016278	LOC129786847, LOC129786629
OG0000412	AMIN005383, AMIN005384	LOC129788847
OG0000413	AMIN010118, AMIN010119	LOC129792318
OG0000414	AMIN005852, AMIN005894	LOC129790511
OG0000416	AMIN010661, AMIN011205	LOC129792009
OG0000417	AMIN003479	LOC129796020
OG0000417	AMIN004992	LOC129792608, LOC129787782
OG0000424	AMIN005584	LOC129785892
OG0000430	AMIN015929, AMIN006466	LOC129790395
OG0000431	AMIN002817	LOC129786890, LOC129786889, LOC129786888
OG0000432	AMIN006725, AMIN001567	LOC129793235
OG0000433	AMIN002730, AMIN002729	LOC129787458
OG0000435	AMIN009195	LOC129793979, LOC129788654
OG0000437	AMIN003136	LOC129796837, LOC129796843, LOC129786972
OG0000438	AMIN003139, AMIN003137	LOC129796877, LOC129796853
OG0000439	AMIN006296	LOC129791046
OG0000439	AMIN006294	LOC129791051
OG0000440	AMIN004661, AMIN004662	LOC129786063
OG0000441	AMIN007959, AMIN002140	LOC129789191
OG0000442	AMIN009238, AMIN009239, AMIN009240	LOC129787812
OG0000443	AMIN004723, AMIN007767	LOC129786466
OG0000445	AMIN008996	LOC129788571
OG0000445	AMIN008997	LOC129795393
OG0000446	AMIN007883	LOC129792631
OG0000447	AMIN015485, AMIN015486	LOC129791462
OG0000448	AMIN010314	LOC129791218
OG0000448	AMIN000368	LOC129797162
OG0000449	AMIN005171	LOC129788782
OG0000449	AMIN006588	LOC129795663
OG0000450	AMIN009737	LOC129791284
OG0000450	AMIN016018	LOC129791285
OG0000451	AMIN002070, AMIN002072	LOC129797430
OG0000453	AMIN008351, AMIN006656	LOC129796269
OG0000454	AMIN001771	LOC129791222, LOC129791223, LOC129789958, LOC129789953, LOC129789957, LOC129789984, LOC129789955, LOC129789970, LOC129786231, LOC129789956
OG0000455	AMIN010071	LOC129793202
OG0000455	AMIN008404	LOC129795185, LOC129794005
OG0000456	AMIN009407, AMIN010925	LOC129789003
OG0000457	AMIN003469	LOC129797501
OG0000457	AMIN003467	LOC129797497
OG0000460	AMIN004000, AMIN003998	LOC129786399
OG0000461	AMIN005596, AMIN005597	LOC129788689, LOC129788691
OG0000464	AMIN010382	LOC129792136
OG0000465	AMIN000102, AMIN005739	LOC129794475, LOC129787824, LOC129787821, LOC129787819, LOC129787822, LOC129787823
OG0000466	AMIN008413, AMIN006890	LOC129788859
OG0000476	AMIN015548, AMIN015549	LOC129797587, LOC129797598
OG0000478	AMIN006764	LOC129789679
OG0000478	AMIN006763	LOC129789267
OG0000479	AMIN003190, AMIN003192	LOC129786132, LOC129786130
OG0000480	AMIN008804	LOC129795298
OG0000481	AMIN015941, AMIN015942	LOC129793585
OG0000482	AMIN015815, AMIN015813	LOC129789436
OG0000484	AMIN007230, AMIN015926	LOC129797633
OG0000485	AMIN006211	LOC129795192
OG0000486	AMIN008726, AMIN002294	LOC129796376
OG0000487	AMIN009827, AMIN005361	LOC129796445
OG0000489	AMIN005535, AMIN005536	LOC129789596
OG0000490	AMIN008273, AMIN008250	LOC129797526, LOC129793927
OG0000491	AMIN016162, AMIN003650	LOC129786095
OG0000492	AMIN005529, AMIN015489	LOC129790192
OG0000494	AMIN008619	LOC129795759
OG0000495	AMIN007154	LOC129789139
OG0000496	AMIN016233	LOC129786268
OG0000497	AMIN003979, AMIN016070	LOC129787431
OG0000499	AMIN010059	LOC129790607
OG0000500	AMIN005698, AMIN011003	LOC129788005
OG0000501	AMIN006982	LOC129797582
OG0000502	AMIN015996, AMIN007007	LOC129785827
OG0000504	AMIN003505, AMIN003013	LOC129793723
OG0000506	AMIN007882, AMIN008841	LOC129792624
OG0000507	AMIN009824, AMIN002620	LOC129791979
OG0000509	AMIN007998	LOC129792415
OG0000510	AMIN005108, AMIN002964	LOC129791881
OG0000511	AMIN008024, AMIN008023	LOC129797841
OG0000512	AMIN005370	LOC129789515
OG0000512	AMIN005371	LOC129789516
OG0000514	AMIN000976, AMIN006790	LOC129785846
OG0000515	AMIN000903, AMIN000905	LOC129790939
OG0000516	AMIN015782, AMIN015783	LOC129791524, LOC129797636
OG0000517	AMIN004090, AMIN004091	LOC129795838, LOC129787799, LOC129787785, LOC129789028, LOC129790802
OG0000518	AMIN010315, AMIN010316	LOC129793591
OG0000519	AMIN007982	LOC129793219
OG0000520	AMIN009633	LOC129788574
OG0000521	AMIN010473	LOC129792109
OG0000521	AMIN000859	LOC129792300
OG0000522	AMIN007265, AMIN007262	LOC129788714
OG0000523	AMIN004760	LOC129797678
OG0000523	AMIN004944	LOC129795335
OG0000524	AMIN010979, AMIN010980	LOC129792438
OG0000526	AMIN005825, AMIN001122	LOC129796859, LOC129794163
OG0000527	AMIN004131, AMIN004132	LOC129787200
OG0000528	AMIN007833, AMIN007829	LOC129793220
OG0000535	AMIN007082, AMIN007081	LOC129788946, LOC129788947
OG0000536	AMIN011275, AMIN008553	LOC129786855
OG0000538	AMIN003755	LOC129785868
OG0000540	AMIN005379	LOC129795815, LOC129795822
OG0000542	AMIN002916	LOC129787142
OG0000543	AMIN008407	LOC129790875, LOC129790828
OG0000544	AMIN001828	LOC129793436
OG0000546	AMIN002142	LOC129791189
OG0000547	AMIN006548, AMIN011566	LOC129789445
OG0000548	AMIN005326	LOC129788460, LOC129793810, LOC129796665
OG0000549	AMIN010949, AMIN005346	LOC129796163, LOC129787746
OG0000550	AMIN007688	LOC129793857
OG0000551	AMIN004699	LOC129787904, LOC129787888
OG0000552	AMIN004124, AMIN004126, AMIN004125	LOC129793549
OG0000553	AMIN009893	LOC129792363
OG0000555	AMIN000002	LOC129786450
OG0000557	AMIN000396, AMIN005429	LOC129791307
OG0000558	AMIN004650, AMIN002017	LOC129793107
OG0000559	AMIN003274, AMIN003273	LOC129787647
OG0000560	AMIN005299	LOC129791771, LOC129796515
OG0000561	AMIN010697	LOC129792671
OG0000562	AMIN011522	LOC129796001, LOC129793753, LOC129796544
OG0000563	AMIN000899	LOC129787428
OG0000564	AMIN009852	LOC129790481, LOC129790484
OG0000565	AMIN004942, AMIN005177	LOC129788762
OG0000566	AMIN008364	LOC129795066
OG0000567	AMIN007642	LOC129794069
OG0000567	AMIN008036	LOC129794176
OG0000568	AMIN001579	LOC129793949
OG0000569	AMIN002519	LOC129797441, LOC129797546
OG0000572	AMIN008152, AMIN008154, AMIN008153	LOC129793426
OG0000573	AMIN008055, AMIN005376	LOC129790886
OG0000574	AMIN006811, AMIN006813, AMIN006812	LOC129790054
OG0000579	AMIN010666	LOC129793001
OG0000581	AMIN011482	LOC129792112
OG0000582	AMIN016010	LOC129791278
OG0000582	AMIN016008	LOC129790571
OG0000584	AMIN008750, AMIN008751, AMIN008748	LOC129795290
OG0000586	AMIN002818	LOC129786887, LOC129790177
OG0000588	AMIN000874	LOC129797624
OG0000606	AMIN003039	LOC129795943, LOC129795511
OG0000607	AMIN008746	LOC129796412
OG0000608	AMIN001858, AMIN001857	LOC129790262
OG0000609	AMIN009721	LOC129789280, LOC129790035, LOC129789951, LOC129791241, LOC129788166, LOC129795243, LOC129794971, LOC129794411
OG0000610	AMIN010909, AMIN010908	LOC129793437
OG0000611	AMIN010221	LOC129794969, LOC129792305
OG0000612	AMIN001751	LOC129793245, LOC129791742
OG0000613	AMIN003914, AMIN003655	LOC129797020
OG0000614	AMIN010054	LOC129794514, LOC129787902
OG0000615	AMIN010988	LOC129793095
OG0000618	AMIN002658, AMIN002025	LOC129786155
OG0000619	AMIN000286	LOC129790543, LOC129790552
OG0000621	AMIN014163	LOC129789158
OG0000622	AMIN006522	LOC129791514, LOC129795662, LOC129794311, LOC129795246
OG0000623	AMIN008790, AMIN008600	LOC129795989
OG0000624	AMIN004070	LOC129787186
OG0000625	AMIN015791, AMIN015790	LOC129797405
OG0000627	AMIN009215, AMIN009220	LOC129796028
OG0000629	AMIN005193	LOC129789450, LOC129796880, LOC129791990
