Orthogroup	AminimusMINIMUS1	AdirusWRAIR2
OG0000021	AMIN015467	ADIR003865
OG0000021	AMIN015464	ADIR001186
OG0000021	AMIN015484	ADIR015616
OG0000021	AMIN015482	ADIR015615
OG0000021	AMIN015483	ADIR015614, ADIR002969
OG0000022	AMIN001285	ADIR009686
OG0000023	AMIN008079	ADIR006953
OG0000023	AMIN007646	ADIR004298
OG0000023	AMIN007806	ADIR007551, ADIR007550
OG0000024	AMIN007573	ADIR006878
OG0000024	AMIN007572	ADIR006877
OG0000024	AMIN011339	ADIR015850
OG0000026	AMIN015477	ADIR015755
OG0000026	AMIN015478	ADIR015752
OG0000026	AMIN015473	ADIR015756
OG0000026	AMIN015476	ADIR015753
OG0000026	AMIN015474	ADIR015759
OG0000026	AMIN015475	ADIR015754
OG0000026	AMIN015479	ADIR006960
OG0000026	AMIN015731	ADIR003488
OG0000027	AMIN006557, AMIN006558	ADIR009739
OG0000031	AMIN005862, AMIN007507	ADIR011748
OG0000032	AMIN001332	ADIR010744
OG0000033	AMIN000381	ADIR016018
OG0000033	AMIN014039	ADIR016020
OG0000034	AMIN010809	ADIR008769
OG0000034	AMIN015563	ADIR008768
OG0000034	AMIN015564, AMIN015562	ADIR008767
OG0000034	AMIN004938	ADIR004404
OG0000034	AMIN010991	ADIR007516
OG0000035	AMIN007272, AMIN009877, AMIN010812, AMIN015498, AMIN010811, AMIN010810, AMIN015472, AMIN010814	ADIR014329
OG0000035	AMIN010135	ADIR014313
OG0000035	AMIN007574	ADIR003862
OG0000037	AMIN002827	ADIR003228, ADIR003227
OG0000037	AMIN003922	ADIR010210
OG0000037	AMIN003923, AMIN003925, AMIN003924, AMIN000003	ADIR010215, ADIR010214, ADIR010213, ADIR010212, ADIR010211
OG0000037	AMIN004539	ADIR010203, ADIR010204
OG0000039	AMIN015958	ADIR015925
OG0000039	AMIN015957	ADIR015923
OG0000039	AMIN010824	ADIR008758
OG0000039	AMIN007947	ADIR007693
OG0000039	AMIN007946	ADIR007692, ADIR015926
OG0000040	AMIN015663	ADIR015602
OG0000040	AMIN015662	ADIR015601
OG0000040	AMIN015574	ADIR015541
OG0000040	AMIN015575	ADIR015540
OG0000040	AMIN015590	ADIR006103, ADIR015562
OG0000040	AMIN015591	ADIR006102
OG0000041	AMIN008776	ADIR001834
OG0000041	AMIN008777	ADIR001833
OG0000041	AMIN003187	ADIR003420
OG0000042	AMIN005907	ADIR000587, ADIR011155
OG0000042	AMIN001699	ADIR000580
OG0000042	AMIN015669, AMIN015668	ADIR000370
OG0000043	AMIN014336	ADIR005615
OG0000046	AMIN002797	ADIR003197
OG0000048	AMIN011325	ADIR014671, ADIR016188, ADIR007974, ADIR016182, ADIR016183, ADIR016186, ADIR016187, ADIR016181, ADIR016189
OG0000049	AMIN015888	ADIR016124
OG0000049	AMIN015886	ADIR016125
OG0000049	AMIN015889	ADIR016128
OG0000049	AMIN015891	ADIR015765
OG0000049	AMIN015890	ADIR016123
OG0000050	AMIN001582	ADIR005587
OG0000050	AMIN000977	ADIR011737
OG0000051	AMIN014521	ADIR009276
OG0000053	AMIN009403	ADIR009846, ADIR011408
OG0000053	AMIN009402	ADIR009845
OG0000055	AMIN002458	ADIR003019
OG0000057	AMIN006625, AMIN006626	ADIR009281, ADIR014808
OG0000057	AMIN014522	ADIR009282
OG0000058	AMIN001846	ADIR006057
OG0000058	AMIN009389	ADIR011421
OG0000059	AMIN016229	ADIR001566
OG0000059	AMIN016293	ADIR001568
OG0000059	AMIN010123	ADIR003672, ADIR003674
OG0000060	AMIN006627	ADIR014810
OG0000061	AMIN006938	ADIR009531
OG0000061	AMIN007997	ADIR007445
OG0000061	AMIN004599	ADIR015570, ADIR015571
OG0000063	AMIN002564	ADIR010309
OG0000063	AMIN003060	ADIR008969
OG0000064	AMIN001329	ADIR004674
OG0000064	AMIN003132	ADIR005809
OG0000064	AMIN001330	ADIR004675
OG0000064	AMIN001328	ADIR004673
OG0000067	AMIN015537	ADIR001930
OG0000067	AMIN015982	ADIR000539
OG0000067	AMIN008926	ADIR000540
OG0000068	AMIN010935	ADIR007460
OG0000069	AMIN003229	ADIR003464
OG0000069	AMIN010636	ADIR007962
OG0000069	AMIN016115	ADIR007262
OG0000069	AMIN003907	ADIR003511
OG0000071	AMIN005052	ADIR001093
OG0000071	AMIN000434	ADIR002693
OG0000071	AMIN005942	ADIR011119
OG0000071	AMIN005941	ADIR011120
OG0000071	AMIN005945	ADIR011116
OG0000072	AMIN008641	ADIR001900
OG0000072	AMIN000778	ADIR003546
OG0000072	AMIN011262	ADIR008039
OG0000073	AMIN006336	ADIR010953
OG0000074	AMIN007419	ADIR003702
OG0000074	AMIN010517	ADIR007318
OG0000075	AMIN009972	ADIR008602, ADIR008603
OG0000075	AMIN009973	ADIR008604
OG0000076	AMIN007057, AMIN006792, AMIN006791, AMIN008359	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068
OG0000076	AMIN004343	ADIR002334
OG0000077	AMIN015955, AMIN015952	ADIR007690
OG0000078	AMIN007269, AMIN006481	ADIR003319
OG0000078	AMIN001208	ADIR005222
OG0000078	AMIN007270	ADIR014322
OG0000079	AMIN015621, AMIN016252	ADIR010062
OG0000080	AMIN007961, AMIN007987	ADIR007435
OG0000080	AMIN010419	ADIR007208
OG0000080	AMIN008322	ADIR000033
OG0000081	AMIN010657	ADIR007942
OG0000081	AMIN010659	ADIR007940
OG0000081	AMIN010656	ADIR007943
OG0000082	AMIN008360	ADIR000069, ADIR000071
OG0000082	AMIN008381	ADIR000093
OG0000084	AMIN000484	ADIR002096, ADIR002174, ADIR003070, ADIR003069
OG0000085	AMIN015862	ADIR015828
OG0000085	AMIN015860	ADIR015824
OG0000085	AMIN015861	ADIR015826
OG0000085	AMIN015859, AMIN015863	ADIR015825, ADIR015827
OG0000085	AMIN015858	ADIR015829
OG0000086	AMIN008148	ADIR009203
OG0000086	AMIN000451	ADIR003037
OG0000086	AMIN002615	ADIR006613
OG0000088	AMIN008863	ADIR000163
OG0000088	AMIN009049	ADIR000290
OG0000088	AMIN009053	ADIR000294
OG0000089	AMIN006914	ADIR009554
OG0000090	AMIN010523	ADIR015919
OG0000090	AMIN010488	ADIR007285
OG0000091	AMIN002875	ADIR006521
OG0000093	AMIN007523	ADIR015594, ADIR007529
OG0000093	AMIN007575	ADIR003861
OG0000093	AMIN014793	ADIR014323
OG0000096	AMIN009310	ADIR000343
OG0000096	AMIN014712	ADIR010758
OG0000096	AMIN010757	ADIR009091
OG0000096	AMIN001255	ADIR000344
OG0000097	AMIN003984	ADIR010274
OG0000097	AMIN003985	ADIR010273
OG0000098	AMIN009752	ADIR015893
OG0000103	AMIN006800	ADIR014328
OG0000104	AMIN001011	ADIR010870, ADIR010871, ADIR010869
OG0000105	AMIN004525, AMIN004526, AMIN004527, AMIN004524, AMIN004517, AMIN004457	ADIR000198
OG0000108	AMIN001146	ADIR004058
OG0000109	AMIN007943	ADIR007689
OG0000109	AMIN000020	ADIR009055
OG0000111	AMIN005870	ADIR000646, ADIR000644
OG0000114	AMIN005869	ADIR000643
OG0000115	AMIN007799	ADIR007384
OG0000115	AMIN007798	ADIR007383
OG0000116	AMIN009560	ADIR005173
OG0000119	AMIN011174	ADIR007783
OG0000119	AMIN011175	ADIR007782
OG0000120	AMIN015839	ADIR015976
OG0000120	AMIN015840	ADIR015969
OG0000120	AMIN015843	ADIR015967
OG0000120	AMIN007643	ADIR004301
OG0000123	AMIN001061, AMIN001063	ADIR004735
OG0000123	AMIN007117	ADIR005940
OG0000124	AMIN010446	ADIR007238
OG0000124	AMIN010457	ADIR007249
OG0000124	AMIN010445	ADIR007237, ADIR007235
OG0000127	AMIN000423	ADIR002706
OG0000128	AMIN009297	ADIR005627
OG0000128	AMIN016286	ADIR016172
OG0000128	AMIN016287	ADIR016170
OG0000130	AMIN000464	ADIR003050
OG0000130	AMIN009807	ADIR011726, ADIR011435
OG0000131	AMIN009593	ADIR011339
OG0000132	AMIN008146, AMIN008145	ADIR009202
OG0000132	AMIN009203	ADIR010804
OG0000133	AMIN006896	ADIR000444
OG0000133	AMIN008836	ADIR000139
OG0000133	AMIN008837	ADIR000140
OG0000134	AMIN010110	ADIR003660
OG0000134	AMIN010108	ADIR003658
OG0000135	AMIN009411	ADIR011399
OG0000135	AMIN007092	ADIR005919
OG0000135	AMIN009027	ADIR000262
OG0000135	AMIN007093	ADIR005920
OG0000136	AMIN008377	ADIR000092, ADIR000087
OG0000136	AMIN001881	ADIR006020
OG0000141	AMIN011058	ADIR007903
OG0000142	AMIN003855	ADIR008287
OG0000142	AMIN000952	ADIR008294
OG0000142	AMIN003784	ADIR003290
OG0000143	AMIN002682	ADIR004529
OG0000146	AMIN000516	ADIR015797
OG0000147	AMIN016134, AMIN016136	ADIR011038
OG0000148	AMIN009495	ADIR005101
OG0000149	AMIN011053	ADIR007907
OG0000149	AMIN016042	ADIR007908
OG0000150	AMIN011243	ADIR008060
OG0000152	AMIN007972	ADIR015582
OG0000152	AMIN009947	ADIR008753
OG0000154	AMIN006064	ADIR006364
OG0000155	AMIN015664, AMIN015665	ADIR005418
OG0000157	AMIN001668	ADIR006810
OG0000158	AMIN006604	ADIR000280
OG0000159	AMIN015672	ADIR002318, ADIR014218
OG0000159	AMIN015680	ADIR002317, ADIR002312, ADIR002313, ADIR002314, ADIR002352, ADIR002315
OG0000159	AMIN015679, AMIN015678	ADIR002316
OG0000160	AMIN007249, AMIN006471, AMIN007271, AMIN003417, AMIN010021	ADIR003566
OG0000161	AMIN010046	ADIR003591
OG0000162	AMIN006857	ADIR000480
OG0000162	AMIN006855	ADIR000482
OG0000163	AMIN001822	ADIR015554, ADIR015557, ADIR015556
OG0000164	AMIN004931	ADIR004411
OG0000164	AMIN004928	ADIR004413
OG0000165	AMIN005409	ADIR001509
OG0000165	AMIN004970	ADIR005706
OG0000166	AMIN007525	ADIR008138
OG0000171	AMIN004244	ADIR002126
OG0000172	AMIN008835	ADIR000138
OG0000172	AMIN008838	ADIR000141
OG0000172	AMIN008827	ADIR000131
OG0000173	AMIN007048	ADIR011553
OG0000173	AMIN007047	ADIR011554
OG0000174	AMIN010113	ADIR003663
OG0000174	AMIN005847	ADIR000944
OG0000174	AMIN015909	ADIR015737
OG0000176	AMIN014572	ADIR005586, ADIR005791
OG0000181	AMIN009918	ADIR008823
OG0000181	AMIN009916, AMIN009915	ADIR008822
OG0000182	AMIN004725	ADIR005388
OG0000182	AMIN016128	ADIR016062
OG0000182	AMIN016130	ADIR016059
OG0000183	AMIN002688	ADIR006377
OG0000183	AMIN003141	ADIR005819
OG0000184	AMIN001894	ADIR006005
OG0000184	AMIN015554, AMIN001896	ADIR015591
OG0000184	AMIN015555	ADIR015590
OG0000185	AMIN008694	ADIR000196
OG0000185	AMIN011065	ADIR016097
OG0000187	AMIN000726	ADIR002758
OG0000188	AMIN011638	ADIR009257, ADIR009256
OG0000189	AMIN004715	ADIR005379
OG0000189	AMIN003400	ADIR010508
OG0000190	AMIN009845	ADIR005000, ADIR011475
OG0000190	AMIN005982	ADIR011077
OG0000190	AMIN001539	ADIR004999
OG0000191	AMIN010963, AMIN010962, AMIN010961	ADIR007485, ADIR014641
OG0000192	AMIN009154	ADIR010909
OG0000192	AMIN003113	ADIR005792
OG0000192	AMIN016221	ADIR000914
OG0000193	AMIN005247, AMIN005248, AMIN015557, AMIN005246, AMIN001550	ADIR005330
OG0000194	AMIN001917	ADIR005946
OG0000196	AMIN001000	ADIR010880
OG0000200	AMIN008384	ADIR000096
OG0000200	AMIN008385	ADIR000097
OG0000200	AMIN004606	ADIR006692
OG0000201	AMIN011329	ADIR004196
OG0000202	AMIN005702	ADIR001167
OG0000202	AMIN005629	ADIR003924
OG0000204	AMIN015947	ADIR016103, ADIR015857
OG0000204	AMIN015946	ADIR015855
OG0000204	AMIN015945	ADIR015856
OG0000206	AMIN009119	ADIR000696
OG0000207	AMIN016067	ADIR016010
OG0000207	AMIN016068	ADIR016011
OG0000208	AMIN008403	ADIR001797
OG0000208	AMIN008402	ADIR001798
OG0000210	AMIN008980	ADIR000241
OG0000216	AMIN006105	ADIR006331
OG0000217	AMIN000805	ADIR010726
OG0000217	AMIN001961	ADIR005194
OG0000218	AMIN006218	ADIR011222
OG0000218	AMIN006220	ADIR011219
OG0000219	AMIN001093	ADIR001531
OG0000220	AMIN002726	ADIR006414
OG0000221	AMIN006274	ADIR011011
OG0000221	AMIN010066	ADIR003610
OG0000222	AMIN001686	ADIR000671
OG0000222	AMIN001152	ADIR004052
OG0000223	AMIN002292	ADIR010046
OG0000224	AMIN003074, AMIN003071	ADIR008980, ADIR008979
OG0000225	AMIN003771	ADIR016028, ADIR016027
OG0000226	AMIN002722	ADIR006405
OG0000226	AMIN002715	ADIR006404
OG0000228	AMIN008194, AMIN010472	ADIR007268, ADIR007267, ADIR006114
OG0000228	AMIN010471	ADIR007266
OG0000229	AMIN000391	ADIR002810
OG0000229	AMIN003127	ADIR005804
OG0000229	AMIN003317	ADIR005315
OG0000230	AMIN009075, AMIN009077	ADIR006854
OG0000231	AMIN010930	ADIR007453
OG0000231	AMIN010931	ADIR007454
OG0000232	AMIN010173, AMIN010175, AMIN016211	ADIR016139
OG0000232	AMIN016210	ADIR016138
OG0000233	AMIN002286	ADIR010041
OG0000234	AMIN006393	ADIR000732
OG0000234	AMIN006400	ADIR000742
OG0000234	AMIN006394	ADIR000738
OG0000236	AMIN002269, AMIN002270	ADIR010024
OG0000236	AMIN008944	ADIR000559
OG0000237	AMIN000894	ADIR015947
OG0000244	AMIN009457	ADIR005063
OG0000244	AMIN009466	ADIR005071
OG0000245	AMIN000228	ADIR002600
OG0000247	AMIN010670	ADIR007929
OG0000247	AMIN010671	ADIR007928
OG0000247	AMIN010668	ADIR007931
OG0000248	AMIN016193	ADIR015997
OG0000248	AMIN016192	ADIR015996
OG0000249	AMIN011428	ADIR001663
OG0000250	AMIN003364	ADIR015774
OG0000251	AMIN004378	ADIR002011
OG0000252	AMIN008785	ADIR001823
OG0000253	AMIN003457	ADIR010453, ADIR010451, ADIR010452
OG0000254	AMIN000082	ADIR005871
OG0000254	AMIN000940	ADIR008307
OG0000255	AMIN016175	ADIR008975
OG0000256	AMIN000774	ADIR003548
OG0000256	AMIN000776, AMIN000777	ADIR003547
OG0000257	AMIN001432, AMIN001434	ADIR004880
OG0000260	AMIN003553	ADIR015803
OG0000265	AMIN010596	ADIR008235
OG0000265	AMIN010587	ADIR008228
OG0000265	AMIN005808	ADIR001201
OG0000266	AMIN001628	ADIR006770
OG0000266	AMIN006383	ADIR000724
OG0000266	AMIN006382	ADIR000723
OG0000268	AMIN007059	ADIR005898
OG0000268	AMIN007060	ADIR005897
OG0000268	AMIN007061	ADIR005896
OG0000269	AMIN016284	ADIR016218
OG0000270	AMIN011416	ADIR001672
OG0000270	AMIN008623, AMIN015971	ADIR001921
OG0000272	AMIN008763	ADIR001852
OG0000272	AMIN008100	ADIR009159
OG0000273	AMIN015824	ADIR009959
OG0000274	AMIN006742	ADIR009412
OG0000276	AMIN008276	ADIR002281
OG0000277	AMIN000409	ADIR002721
OG0000278	AMIN011462	ADIR001634
OG0000278	AMIN011446	ADIR001650, ADIR001649
OG0000278	AMIN011465	ADIR001631
OG0000279	AMIN014755	ADIR000638
OG0000280	AMIN006822	ADIR004761
OG0000280	AMIN006823	ADIR004760
OG0000280	AMIN006824	ADIR004759
OG0000285	AMIN002977	ADIR002894
OG0000285	AMIN015604	ADIR015838
OG0000285	AMIN015606	ADIR015839
OG0000286	AMIN001250	ADIR005642
OG0000287	AMIN015655, AMIN015654, AMIN015652, AMIN015653	ADIR015574, ADIR015569, ADIR015568
OG0000288	AMIN001788	ADIR006111, ADIR015495
OG0000289	AMIN009186	ADIR016116
OG0000290	AMIN015559	ADIR002288
OG0000290	AMIN008540	ADIR002287
OG0000291	AMIN007862	ADIR007609
OG0000291	AMIN008053, AMIN008052	ADIR015675
OG0000292	AMIN006672	ADIR009319
OG0000292	AMIN006670	ADIR009317
OG0000293	AMIN005398	ADIR000907
OG0000294	AMIN005760	ADIR002675, ADIR002676, ADIR001029
OG0000294	AMIN005761	ADIR005219
OG0000295	AMIN008699	ADIR016166, ADIR016165, ADIR016167
OG0000295	AMIN016301	ADIR016169
OG0000295	AMIN016300	ADIR016168
OG0000296	AMIN006011	ADIR000603
OG0000297	AMIN015904	ADIR015723
OG0000297	AMIN015903	ADIR015724
OG0000299	AMIN002531	ADIR010341
OG0000299	AMIN008559	ADIR002354
OG0000300	AMIN010132	ADIR003683
OG0000302	AMIN016306	ADIR016215
OG0000302	AMIN010574	ADIR008218
OG0000303	AMIN000130	ADIR005584
OG0000303	AMIN000132	ADIR005583
OG0000303	AMIN004553	ADIR004582
OG0000304	AMIN001010	ADIR010873
OG0000305	AMIN007189	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834
OG0000306	AMIN006304	ADIR010982
OG0000306	AMIN006305	ADIR010984
OG0000313	AMIN009818	ADIR000645
OG0000314	AMIN009817	ADIR011445
OG0000317	AMIN004815	ADIR008367
OG0000318	AMIN007124, AMIN007158	ADIR006689
OG0000318	AMIN007122	ADIR007089
OG0000319	AMIN001372	ADIR004939
OG0000319	AMIN011132	ADIR007826
OG0000321	AMIN015801	ADIR015863
OG0000321	AMIN015802	ADIR015862
OG0000321	AMIN007046	ADIR011556
OG0000324	AMIN009157	ADIR010906
OG0000324	AMIN009156	ADIR010907
OG0000325	AMIN010396	ADIR006976
OG0000326	AMIN004016	ADIR005565
OG0000326	AMIN003195	ADIR003427
OG0000326	AMIN003194	ADIR003426
OG0000327	AMIN006782	ADIR004793
OG0000328	AMIN008593	ADIR001956
OG0000328	AMIN008592	ADIR001957
OG0000329	AMIN001843	ADIR006061, ADIR003916
OG0000329	AMIN001842	ADIR006062
OG0000330	AMIN005465	ADIR001248
OG0000331	AMIN015827	ADIR009969
OG0000332	AMIN003653	ADIR010199
OG0000332	AMIN003550	ADIR010356
OG0000332	AMIN003652	ADIR010198
OG0000333	AMIN010619	ADIR003780
OG0000334	AMIN001560	ADIR004979
OG0000336	AMIN011337	ADIR004184
OG0000340	AMIN005724, AMIN005725	ADIR001281, ADIR001282
OG0000340	AMIN005726	ADIR001283
OG0000341	AMIN006203	ADIR011233
OG0000344	AMIN004814	ADIR008368
OG0000344	AMIN007367	ADIR001581
OG0000345	AMIN005741	ADIR000883
OG0000346	AMIN002478	ADIR002727
OG0000347	AMIN007036	ADIR011568
OG0000348	AMIN009292	ADIR005623
OG0000349	AMIN010714	ADIR008567
OG0000349	AMIN015612	ADIR008566
OG0000351	AMIN008878	ADIR000179
OG0000352	AMIN004703	ADIR005371, ADIR004606
OG0000353	AMIN010928	ADIR007451
OG0000354	AMIN003843	ADIR002946
OG0000354	AMIN003437	ADIR010471
OG0000355	AMIN002728, AMIN006601	ADIR006415
OG0000356	AMIN008127	ADIR009183
OG0000357	AMIN003425	ADIR010483
OG0000357	AMIN003427	ADIR010481
OG0000357	AMIN003426	ADIR010482
OG0000359	AMIN004153	ADIR008488
OG0000360	AMIN004393	ADIR001997
OG0000361	AMIN000969	ADIR002964
OG0000362	AMIN016016	ADIR015887
OG0000362	AMIN016013	ADIR015885
OG0000363	AMIN011090	ADIR015547
OG0000364	AMIN011281	ADIR016198
OG0000365	AMIN001318	ADIR004665
OG0000366	AMIN003044	ADIR010711
OG0000367	AMIN007407	ADIR003716
OG0000368	AMIN004899	ADIR004446
OG0000369	AMIN000991	ADIR010892
OG0000369	AMIN000990	ADIR010893
OG0000369	AMIN000995	ADIR010887
OG0000370	AMIN001702	ADIR000577
OG0000370	AMIN015641	ADIR010058
OG0000371	AMIN007985	ADIR007433
OG0000371	AMIN007986	ADIR007434
OG0000371	AMIN007988	ADIR007436
OG0000372	AMIN005843	ADIR015735
OG0000376	AMIN009878	ADIR006762, ADIR004461, ADIR001984
OG0000376	AMIN000001, AMIN001079, AMIN004547, AMIN006662	ADIR008524
OG0000378	AMIN011133, AMIN016045, AMIN016047	ADIR007869, ADIR007846, ADIR007847, ADIR015931, ADIR007858
OG0000380	AMIN015545	ADIR015576
OG0000380	AMIN015546	ADIR015577
OG0000381	AMIN016125	ADIR016122
OG0000381	AMIN016124	ADIR016121
OG0000382	AMIN006598	ADIR011633
OG0000382	AMIN006597	ADIR011634
OG0000383	AMIN003564	ADIR009909
OG0000383	AMIN006915	ADIR009553
OG0000384	AMIN007027	ADIR011575, ADIR011584
OG0000384	AMIN007028	ADIR011574
OG0000386	AMIN010945	ADIR007470
OG0000387	AMIN011411	ADIR001678
OG0000387	AMIN010181	ADIR006893
OG0000388	AMIN003526	ADIR010377
OG0000388	AMIN003525	ADIR010378
OG0000389	AMIN010092	ADIR003638
OG0000391	AMIN004615	ADIR006703
OG0000391	AMIN006874	ADIR000463
OG0000392	AMIN016121	ADIR015588
OG0000392	AMIN016119	ADIR015589
OG0000392	AMIN016120	ADIR015587
OG0000393	AMIN000709	ADIR008379
OG0000393	AMIN000710	ADIR008380
OG0000394	AMIN015659	ADIR009815
OG0000395	AMIN006779	ADIR004795
OG0000395	AMIN005116	ADIR000918
OG0000396	AMIN009642	ADIR006188
OG0000396	AMIN009640, AMIN009641	ADIR006187
OG0000397	AMIN009574	ADIR005187
OG0000397	AMIN000431	ADIR002696
OG0000398	AMIN015525, AMIN010788	ADIR008789
OG0000399	AMIN011393	ADIR001694
OG0000399	AMIN007830	ADIR007577
OG0000400	AMIN007277	ADIR003792
OG0000400	AMIN010038	ADIR003582
OG0000401	AMIN003805	ADIR003313
OG0000401	AMIN008417	ADIR001782
OG0000402	AMIN005358	ADIR004118
OG0000402	AMIN007892	ADIR007659, ADIR007661
OG0000403	AMIN005734	ADIR001185
OG0000403	AMIN015648	ADIR008736
OG0000404	AMIN001303, AMIN001304	ADIR000386
OG0000405	AMIN016076	ADIR016033
OG0000405	AMIN016073	ADIR016035
OG0000406	AMIN003952	ADIR010242
OG0000406	AMIN003382	ADIR002392
OG0000406	AMIN008549	ADIR002343
OG0000407	AMIN008277	ADIR002282
OG0000407	AMIN009328	ADIR009590
OG0000408	AMIN007332	ADIR001544
OG0000409	AMIN001360	ADIR004706
OG0000409	AMIN001358	ADIR004703
OG0000409	AMIN001359	ADIR004705
OG0000410	AMIN002933	ADIR002540
OG0000412	AMIN005383	ADIR002366
OG0000412	AMIN005384	ADIR002365
OG0000413	AMIN010118	ADIR015533
OG0000413	AMIN010119	ADIR015532
OG0000414	AMIN005894	ADIR014057
OG0000416	AMIN010661	ADIR007938
OG0000416	AMIN011205	ADIR007755
OG0000417	AMIN003479	ADIR010431
OG0000417	AMIN004992	ADIR005728
OG0000419	AMIN005868	ADIR005779, ADIR005760
OG0000421	AMIN003299	ADIR016222, ADIR016219, ADIR016220, ADIR016221
OG0000422	AMIN005879	ADIR005282
OG0000424	AMIN005584	ADIR001410
OG0000425	AMIN009294	ADIR005624, ADIR005622
OG0000428	AMIN015596	ADIR015548
OG0000428	AMIN015597	ADIR015549
OG0000430	AMIN015929	ADIR009309
OG0000430	AMIN006466	ADIR003911
OG0000431	AMIN002817	ADIR003217
OG0000432	AMIN006725	ADIR009396
OG0000432	AMIN001567	ADIR004972
OG0000433	AMIN002730	ADIR003006
OG0000433	AMIN002729	ADIR003007
OG0000434	AMIN008047	ADIR015930, ADIR015929
OG0000435	AMIN009195	ADIR010798
OG0000437	AMIN003136	ADIR005813, ADIR005815
OG0000438	AMIN003139	ADIR005817
OG0000438	AMIN003137	ADIR005814
OG0000439	AMIN006296	ADIR010992
OG0000440	AMIN004661	ADIR003328
OG0000440	AMIN004662	ADIR003327
OG0000441	AMIN007959	ADIR007412
OG0000441	AMIN002140	ADIR000981
OG0000442	AMIN009238	ADIR004523
OG0000442	AMIN009239	ADIR004522
OG0000442	AMIN009240	ADIR004521
OG0000443	AMIN004723	ADIR005386
OG0000443	AMIN007767	ADIR007351
OG0000445	AMIN008997	ADIR000224
OG0000446	AMIN007883	ADIR007631, ADIR007632
OG0000447	AMIN015485	ADIR006355
OG0000447	AMIN015486	ADIR016048
OG0000448	AMIN010314	ADIR007075
OG0000448	AMIN000368	ADIR002786
OG0000449	AMIN005171	ADIR001435
OG0000449	AMIN006588	ADIR011623
OG0000450	AMIN009737	ADIR006287
OG0000451	AMIN002070	ADIR001343
OG0000451	AMIN002072	ADIR001344
OG0000452	AMIN015851	ADIR003211
OG0000453	AMIN008351	ADIR002048
OG0000453	AMIN006656	ADIR009313
OG0000454	AMIN001771	ADIR006123
OG0000455	AMIN010071	ADIR003615
OG0000455	AMIN008404	ADIR001796
OG0000456	AMIN009407	ADIR011403
OG0000456	AMIN010925	ADIR008105
OG0000457	AMIN003469	ADIR010440
OG0000457	AMIN003467	ADIR010441
OG0000458	AMIN001697	ADIR000582
OG0000458	AMIN001694	ADIR000585
OG0000458	AMIN001693	ADIR000586
OG0000459	AMIN002343	ADIR010100
OG0000460	AMIN004000	ADIR010287
OG0000460	AMIN003998	ADIR010285
OG0000461	AMIN005596, AMIN005597	ADIR001398
OG0000462	AMIN008302	ADIR000055
OG0000462	AMIN008300	ADIR000056
OG0000463	AMIN014125	ADIR009788
OG0000464	AMIN010382	ADIR006989
OG0000465	AMIN000102	ADIR009087
OG0000465	AMIN005739	ADIR001140
OG0000466	AMIN008413	ADIR001786
OG0000466	AMIN006890	ADIR000450
OG0000471	AMIN004399	ADIR005291
