Orthogroup	AminimusMINIMUS1	AsinensisChina
OG0000024	AMIN011339	ASIC018905
OG0000026	AMIN015477	ASIC016558
OG0000026	AMIN015478	ASIC016557
OG0000026	AMIN015473, AMIN015476	ASIC016559
OG0000026	AMIN015474	ASIC016561
OG0000026	AMIN015475	ASIC016560
OG0000026	AMIN015479	ASIC016118
OG0000026	AMIN015731	ASIC014095
OG0000030	AMIN006996, AMIN006995	ASIC003377, ASIC003385, ASIC003382, ASIC003384, ASIC004709
OG0000030	AMIN006765	ASIC004705, ASIC004703, ASIC004701, ASIC003400
OG0000030	AMIN007001	ASIC003381
OG0000030	AMIN006994	ASIC003417, ASIC003383
OG0000033	AMIN015509	ASIC021804
OG0000033	AMIN000381	ASIC009220
OG0000033	AMIN014039	ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221
OG0000034	AMIN015564	ASIC012442
OG0000034	AMIN015562	ASIC012440
OG0000034	AMIN015508	ASIC012445, ASIC012446
OG0000034	AMIN004938	ASIC021981
OG0000035	AMIN009877	ASIC012439
OG0000037	AMIN002827	ASIC013351, ASIC013352, ASIC013353
OG0000037	AMIN006508, AMIN006509, AMIN003922, AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942	ASIC022219
OG0000037	AMIN004541, AMIN004540, AMIN004539	ASIC014023
OG0000039	AMIN015958	ASIC002581
OG0000039	AMIN015957	ASIC000445
OG0000039	AMIN010824	ASIC012458
OG0000039	AMIN007947	ASIC010050
OG0000039	AMIN007946, AMIN015959	ASIC010664
OG0000040	AMIN015574	ASIC015488
OG0000040	AMIN015575	ASIC015490
OG0000040	AMIN001806	ASIC007400
OG0000040	AMIN015590, AMIN015591	ASIC006427, ASIC006438
OG0000041	AMIN008776	ASIC005063
OG0000041	AMIN008777	ASIC005062
OG0000041	AMIN003187	ASIC005684
OG0000042	AMIN005907	ASIC017752, ASIC017751
OG0000042	AMIN001699	ASIC017733, ASIC001192, ASIC017724, ASIC001191
OG0000042	AMIN015669, AMIN015668	ASIC015360
OG0000043	AMIN014336	ASIC004837, ASIC002620, ASIC014455
OG0000043	AMIN006978	ASIC017851, ASIC017852
OG0000046	AMIN002797	ASIC009812
OG0000048	AMIN011325	ASIC019015, ASIC019014, ASIC019017, ASIC019018
OG0000049	AMIN015888	ASIC018403, ASIC018371, ASIC018370
OG0000049	AMIN015889	ASIC018401, ASIC018400
OG0000049	AMIN015891	ASIC017764
OG0000049	AMIN015890	ASIC018404
OG0000051	AMIN014521	ASIC010148
OG0000052	AMIN015582	ASIC018088
OG0000052	AMIN015585, AMIN015584	ASIC018082
OG0000053	AMIN009403	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705
OG0000053	AMIN009402	ASIC020703
OG0000055	AMIN002458	ASIC000721
OG0000057	AMIN006625	ASIC010134, ASIC010137
OG0000057	AMIN006626	ASIC010133
OG0000057	AMIN014522	ASIC010138
OG0000058	AMIN001846	ASIC007323
OG0000058	AMIN009389	ASIC002529
OG0000059	AMIN016229, AMIN016293	ASIC019011, ASIC019000
OG0000059	AMIN010123	ASIC019170
OG0000060	AMIN006628	ASIC010127
OG0000060	AMIN006629	ASIC010126
OG0000060	AMIN014523	ASIC010130, ASIC010129
OG0000060	AMIN006627	ASIC010131
OG0000061	AMIN006938	ASIC015402
OG0000061	AMIN007997	ASIC016621
OG0000061	AMIN004599	ASIC008790, ASIC008789, ASIC008791
OG0000062	AMIN001001	ASIC009092
OG0000062	AMIN000304	ASIC004220
OG0000063	AMIN002564	ASIC021538
OG0000063	AMIN003060	ASIC010842
OG0000064	AMIN001329	ASIC002653
OG0000064	AMIN001327	ASIC002651
OG0000064	AMIN003132	ASIC001146
OG0000064	AMIN001330	ASIC002656
OG0000064	AMIN001328	ASIC002652
OG0000067	AMIN015982	ASIC018220
OG0000067	AMIN008926	ASIC018219
OG0000068	AMIN010935	ASIC011687
OG0000069	AMIN003229	ASIC005652
OG0000069	AMIN010636	ASIC002404
OG0000069	AMIN016115	ASIC005650
OG0000069	AMIN016114	ASIC005651
OG0000069	AMIN003907	ASIC000407
OG0000071	AMIN000434	ASIC008283
OG0000071	AMIN005942, AMIN005941, AMIN005945	ASIC013586
OG0000072	AMIN008641	ASIC019961
OG0000072	AMIN000778	ASIC012496
OG0000073	AMIN006336	ASIC014115
OG0000074	AMIN007418	ASIC016740
OG0000074	AMIN007419	ASIC016736
OG0000074	AMIN010517	ASIC002864
OG0000075	AMIN009972	ASIC021158, ASIC021155, ASIC021154, ASIC021157
OG0000075	AMIN009971, AMIN009973	ASIC021159
OG0000076	AMIN007057, AMIN006792, AMIN006791, AMIN008359, AMIN004343	ASIC018187
OG0000077	AMIN015954	ASIC002587
OG0000077	AMIN015955, AMIN015952	ASIC002588, ASIC002586
OG0000079	AMIN015620	ASIC011457
OG0000079	AMIN015621, AMIN016252	ASIC011456, ASIC011455
OG0000079	AMIN015622	ASIC011459
OG0000080	AMIN007961, AMIN007987	ASIC016602
OG0000080	AMIN010419	ASIC019812
OG0000080	AMIN008322	ASIC019334, ASIC019335
OG0000081	AMIN010657	ASIC007880
OG0000081	AMIN010656	ASIC007881
OG0000082	AMIN008360	ASIC012751, ASIC012750, ASIC012735, ASIC012720, ASIC012721, ASIC015552, ASIC020059, ASIC017041, ASIC015969, ASIC015961, ASIC015947, ASIC015968, ASIC015948, ASIC015980, ASIC015942, ASIC012745, ASIC012746, ASIC012744, ASIC004383, ASIC004382, ASIC012729, ASIC012752, ASIC012731, ASIC004377, ASIC012726, ASIC004379, ASIC004372, ASIC004376, ASIC004368, ASIC014144
OG0000082	AMIN008381	ASIC012727, ASIC012728, ASIC012714
OG0000085	AMIN015862	ASIC009268
OG0000085	AMIN015860	ASIC004322
OG0000085	AMIN015861, AMIN015859, AMIN015863	ASIC009271, ASIC009270, ASIC009269
OG0000085	AMIN015858	ASIC009272
OG0000086	AMIN008148	ASIC009153
OG0000086	AMIN000451	ASIC008317
OG0000088	AMIN009049	ASIC008371, ASIC008372
OG0000088	AMIN009053	ASIC008376
OG0000089	AMIN006914	ASIC019432, ASIC019443, ASIC019421, ASIC019454, ASIC019465
OG0000090	AMIN010488	ASIC019695
OG0000091	AMIN002875	ASIC002279
OG0000093	AMIN007523, AMIN009880, AMIN007575, AMIN014793	ASIC022154, ASIC014826
OG0000093	AMIN001012	ASIC001437
OG0000096	AMIN009310	ASIC015638
OG0000096	AMIN014712	ASIC010647, ASIC010609
OG0000096	AMIN010757	ASIC010449
OG0000096	AMIN001255	ASIC015635
OG0000097	AMIN003984	ASIC021949
OG0000097	AMIN003983	ASIC021947
OG0000097	AMIN003985	ASIC021950
OG0000101	AMIN001214	ASIC001177
OG0000103	AMIN014130, AMIN010202	ASIC008406
OG0000103	AMIN006800	ASIC014017
OG0000104	AMIN001011	ASIC017885, ASIC009066
OG0000105	AMIN004525, AMIN004526, AMIN004527, AMIN004524, AMIN004517, AMIN004457	ASIC014502, ASIC014526, ASIC014524, ASIC014525, ASIC014503
OG0000107	AMIN003226	ASIC005655
OG0000108	AMIN001146	ASIC013421, ASIC013593
OG0000109	AMIN007943	ASIC002584
OG0000109	AMIN000020	ASIC014258
OG0000111	AMIN005870	ASIC012092, ASIC012080, ASIC006082
OG0000114	AMIN005869	ASIC012081
OG0000115	AMIN007799	ASIC017431
OG0000115	AMIN007798	ASIC017432
OG0000116	AMIN009560	ASIC014540
OG0000119	AMIN011174	ASIC016830
OG0000119	AMIN011175	ASIC016832, ASIC016833
OG0000120	AMIN015839	ASIC011544
OG0000120	AMIN015840, AMIN015843	ASIC011541
OG0000120	AMIN007643	ASIC013726
OG0000121	AMIN007010	ASIC001472
OG0000123	AMIN001061, AMIN001063	ASIC014634
OG0000123	AMIN007117	ASIC020219, ASIC020215
OG0000123	AMIN006431	ASIC000783
OG0000124	AMIN010446	ASIC019768
OG0000124	AMIN010457	ASIC019753
OG0000124	AMIN010445	ASIC019769, ASIC019770, ASIC019771
OG0000127	AMIN000423	ASIC008877
OG0000128	AMIN009297	ASIC015309
OG0000128	AMIN016286	ASIC015247
OG0000128	AMIN016287	ASIC015248
OG0000130	AMIN000464	ASIC008146
OG0000130	AMIN009807	ASIC012065
OG0000131	AMIN009597	ASIC012146, ASIC012147, ASIC012148
OG0000131	AMIN009593	ASIC012034
OG0000132	AMIN008147	ASIC014945
OG0000132	AMIN008146, AMIN008145	ASIC014946
OG0000132	AMIN009203	ASIC002822
OG0000133	AMIN006896	ASIC017840, ASIC017841
OG0000133	AMIN008836	ASIC017521
OG0000133	AMIN008837	ASIC017520
OG0000134	AMIN010110	ASIC019149
OG0000134	AMIN010108	ASIC019145
OG0000134	AMIN010109	ASIC019147
OG0000135	AMIN009411	ASIC020740, ASIC020739
OG0000135	AMIN009027	ASIC015458
OG0000135	AMIN007093	ASIC007191
OG0000136	AMIN001881	ASIC007232
OG0000141	AMIN011058	ASIC018448
OG0000142	AMIN003855	ASIC011129, ASIC010497
OG0000142	AMIN000952	ASIC004901
OG0000142	AMIN003784	ASIC014682
OG0000143	AMIN002682	ASIC008422, ASIC008424, ASIC008426
OG0000144	AMIN014512	ASIC001515
OG0000146	AMIN000516	ASIC008229
OG0000147	AMIN016141	ASIC002221
OG0000147	AMIN016134, AMIN016136	ASIC002222
OG0000147	AMIN016135	ASIC002220
OG0000148	AMIN009499, AMIN009495, AMIN009493	ASIC012007
OG0000149	AMIN011053	ASIC018439
OG0000149	AMIN016044	ASIC018436
OG0000149	AMIN016042	ASIC018437
OG0000149	AMIN016043	ASIC018438
OG0000150	AMIN011243	ASIC011027
OG0000152	AMIN007972	ASIC004877
OG0000154	AMIN000711	ASIC004043, ASIC013097
OG0000154	AMIN006064	ASIC013108, ASIC004042, ASIC013051, ASIC004041
OG0000155	AMIN015664, AMIN015665	ASIC020577, ASIC020578
OG0000157	AMIN001668	ASIC010788
OG0000157	AMIN010663	ASIC019241
OG0000160	AMIN007249, AMIN006471, AMIN007271, AMIN003417, AMIN010021	ASIC016821
OG0000161	AMIN010046	ASIC019631
OG0000162	AMIN006857	ASIC018387
OG0000162	AMIN006855	ASIC018379
OG0000163	AMIN001822	ASIC007358, ASIC007362, ASIC007363, ASIC007359
OG0000164	AMIN004931	ASIC021805
OG0000164	AMIN004928	ASIC021916
OG0000164	AMIN004930	ASIC021828
OG0000165	AMIN005409	ASIC020384
OG0000165	AMIN004970	ASIC020381
OG0000166	AMIN007525	ASIC012924
OG0000171	AMIN004244	ASIC004810
OG0000172	AMIN008835	ASIC017527
OG0000172	AMIN008838	ASIC017518
OG0000172	AMIN008827	ASIC017547
OG0000173	AMIN007048	ASIC022306
OG0000173	AMIN007047	ASIC022304
OG0000174	AMIN005847	ASIC009499
OG0000174	AMIN015909	ASIC007084
OG0000181	AMIN009918	ASIC019035
OG0000181	AMIN009916, AMIN009915	ASIC019034
OG0000182	AMIN004725	ASIC020912
OG0000182	AMIN016128	ASIC020913
OG0000183	AMIN002688, AMIN003141	ASIC011096
OG0000184	AMIN001894	ASIC007210
OG0000184	AMIN015554, AMIN001896, AMIN015555	ASIC007209
OG0000185	AMIN008694	ASIC014499, ASIC014498
OG0000185	AMIN011065	ASIC018463, ASIC018459
OG0000187	AMIN000726	ASIC003343
OG0000188	AMIN011638	ASIC009167, ASIC009163, ASIC009169, ASIC009174, ASIC009164, ASIC009173, ASIC009166, ASIC009168, ASIC009162, ASIC009160, ASIC009161
OG0000189	AMIN004715	ASIC020927
OG0000189	AMIN003400	ASIC004914
OG0000190	AMIN009845	ASIC009037
OG0000190	AMIN005982	ASIC004005
OG0000191	AMIN010963, AMIN010962, AMIN010961	ASIC011618, ASIC011619, ASIC011617
OG0000191	AMIN010960	ASIC011616
OG0000192	AMIN009154	ASIC003853
OG0000192	AMIN003113	ASIC021385
OG0000192	AMIN016221	ASIC006813
OG0000193	AMIN005247, AMIN005248, AMIN015557, AMIN005246, AMIN001550	ASIC005170, ASIC009034, ASIC004649
OG0000194	AMIN001917	ASIC007163
OG0000196	AMIN001000	ASIC009091
OG0000200	AMIN008384	ASIC004374
OG0000200	AMIN008385	ASIC004381
OG0000201	AMIN011329	ASIC018737
OG0000202	AMIN005702	ASIC006264
OG0000204	AMIN015947	ASIC018858, ASIC018857
OG0000204	AMIN015946	ASIC018860
OG0000206	AMIN015995	ASIC009932, ASIC009934
OG0000206	AMIN009119	ASIC017261
OG0000207	AMIN016067	ASIC020302
OG0000207	AMIN016068	ASIC020301
OG0000208	AMIN008403	ASIC004793, ASIC004794, ASIC004795
OG0000210	AMIN008980	ASIC005087
OG0000210	AMIN008979	ASIC005086
OG0000216	AMIN006105	ASIC012609, ASIC012610, ASIC012607
OG0000216	AMIN006104	ASIC012608
OG0000217	AMIN000805	ASIC021690
OG0000217	AMIN001961	ASIC007120
OG0000218	AMIN006220	ASIC006964
OG0000219	AMIN001093	ASIC017087
OG0000220	AMIN002726	ASIC021083
OG0000221	AMIN006274	ASIC016222, ASIC016221, ASIC016220
OG0000221	AMIN010066	ASIC019669, ASIC019668
OG0000222	AMIN001686	ASIC014190
OG0000222	AMIN001152	ASIC013415
OG0000223	AMIN002292	ASIC011432
OG0000224	AMIN003074, AMIN003071	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365
OG0000225	AMIN003771	ASIC021356
OG0000226	AMIN002722	ASIC020556
OG0000228	AMIN008194, AMIN010472	ASIC019718
OG0000228	AMIN010471	ASIC019719, ASIC019722, ASIC019723
OG0000229	AMIN003127	ASIC021403
OG0000229	AMIN003317	ASIC004678
OG0000230	AMIN009075, AMIN009077	ASIC005288
OG0000231	AMIN010930	ASIC011666
OG0000231	AMIN010931	ASIC011669
OG0000232	AMIN010173, AMIN010175, AMIN016211	ASIC012966
OG0000232	AMIN016210	ASIC012965
OG0000233	AMIN002286	ASIC011408
OG0000234	AMIN006394	ASIC020664
OG0000236	AMIN002269, AMIN002270	ASIC011385
OG0000236	AMIN008944	ASIC008198
OG0000237	AMIN000894	ASIC003194
OG0000244	AMIN009457	ASIC022012
OG0000244	AMIN009466	ASIC022140
OG0000245	AMIN000228	ASIC005515, ASIC005518
OG0000246	AMIN004180	ASIC021753
OG0000246	AMIN004771	ASIC021751, ASIC021749, ASIC021748
OG0000247	AMIN010670	ASIC016691
OG0000247	AMIN010671	ASIC016692
OG0000247	AMIN010668	ASIC019252
OG0000248	AMIN005906	ASIC017750
OG0000249	AMIN011428	ASIC016050
OG0000249	AMIN007370	ASIC000958
OG0000250	AMIN003364	ASIC004081
OG0000252	AMIN008785	ASIC005046
OG0000253	AMIN003457	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662
OG0000254	AMIN000940	ASIC005504
OG0000255	AMIN016175	ASIC020208, ASIC020207
OG0000255	AMIN016174	ASIC020205, ASIC020206
OG0000256	AMIN000774	ASIC012493, ASIC012494
OG0000256	AMIN000776, AMIN000777, AMIN000775	ASIC012495
OG0000257	AMIN001434	ASIC005738
OG0000260	AMIN003553	ASIC010058
OG0000263	AMIN014004	ASIC001150
OG0000265	AMIN010596, AMIN010587	ASIC007840
OG0000266	AMIN001628	ASIC010738
OG0000266	AMIN006383	ASIC004862
OG0000266	AMIN006382	ASIC004863
OG0000267	AMIN004770	ASIC021746
OG0000268	AMIN007059	ASIC007410
OG0000268	AMIN007060	ASIC007406
OG0000268	AMIN007061	ASIC007405
OG0000269	AMIN016284	ASIC006168
OG0000270	AMIN011416, AMIN008623, AMIN015971	ASIC018039
OG0000271	AMIN001411	ASIC006601
OG0000272	AMIN008763	ASIC015539
OG0000272	AMIN008100	ASIC011268
OG0000273	AMIN015825	ASIC011512
OG0000273	AMIN015824	ASIC011513
OG0000273	AMIN002200	ASIC011515
OG0000274	AMIN006742	ASIC019686
OG0000276	AMIN008276	ASIC017971
OG0000277	AMIN000409	ASIC008290, ASIC008301
OG0000278	AMIN011462, AMIN011446	ASIC016444
OG0000278	AMIN011465	ASIC016562
OG0000279	AMIN014755	ASIC012105
OG0000280	AMIN006822	ASIC014626
OG0000280	AMIN006823	ASIC014625
OG0000280	AMIN006824	ASIC014624
OG0000285	AMIN002977	ASIC005533, ASIC005534
OG0000285	AMIN015604	ASIC005544
OG0000285	AMIN015606	ASIC005545
OG0000286	AMIN001250	ASIC015277, ASIC015276
OG0000287	AMIN015655, AMIN015654, AMIN015652, AMIN015653	ASIC022020, ASIC022019
OG0000288	AMIN001788	ASIC006693, ASIC006682
OG0000289	AMIN009186	ASIC007910
OG0000290	AMIN015559	ASIC015220
OG0000290	AMIN008540, AMIN015558	ASIC015219
OG0000291	AMIN007862	ASIC019903
OG0000291	AMIN008053	ASIC018745
OG0000291	AMIN008052	ASIC018743
OG0000292	AMIN006672	ASIC012870
OG0000292	AMIN006670	ASIC012872
OG0000293	AMIN005398	ASIC020292
OG0000294	AMIN005760	ASIC000865, ASIC000867
OG0000294	AMIN005761	ASIC000063
OG0000295	AMIN008699	ASIC014489
OG0000295	AMIN016301	ASIC014488
OG0000295	AMIN016300	ASIC014487
OG0000296	AMIN006011	ASIC010617, ASIC010616
OG0000297	AMIN015904	ASIC007550
OG0000297	AMIN015903	ASIC007551
OG0000299	AMIN002531	ASIC010575
OG0000299	AMIN008559	ASIC018166, ASIC018167
OG0000300	AMIN010132	ASIC021618
OG0000302	AMIN016306	ASIC007798
OG0000302	AMIN010574	ASIC007799
OG0000303	AMIN000130	ASIC014828
OG0000303	AMIN004553	ASIC014831
OG0000304	AMIN001010	ASIC009070
OG0000305	AMIN007189	ASIC008672
OG0000306	AMIN006304	ASIC017623
OG0000311	AMIN000004	ASIC002525
OG0000313	AMIN009818	ASIC012083
OG0000314	AMIN009817	ASIC006080
OG0000317	AMIN004815	ASIC020227
OG0000318	AMIN007124, AMIN007158	ASIC003841, ASIC003842
OG0000318	AMIN007123	ASIC007449
OG0000318	AMIN007122	ASIC007448
OG0000319	AMIN001372	ASIC006535
OG0000319	AMIN001373	ASIC006536
OG0000319	AMIN011132	ASIC016269
OG0000321	AMIN015801, AMIN015802	ASIC020752
OG0000321	AMIN007046	ASIC022307
OG0000324	AMIN009157	ASIC003861
OG0000324	AMIN009156	ASIC003858
OG0000325	AMIN010396	ASIC019850
OG0000326	AMIN004016	ASIC005793
OG0000326	AMIN003194	ASIC005792
OG0000327	AMIN006782	ASIC009969
OG0000328	AMIN008593	ASIC018103
OG0000328	AMIN008592	ASIC018105
OG0000329	AMIN001843	ASIC007335
OG0000329	AMIN001842	ASIC007337
OG0000330	AMIN005466	ASIC005378
OG0000330	AMIN005465	ASIC005379, ASIC005380
OG0000331	AMIN015827	ASIC011490
OG0000331	AMIN015828, AMIN015829	ASIC011489
OG0000332	AMIN003653	ASIC013992
OG0000332	AMIN003550	ASIC011150
OG0000332	AMIN003652	ASIC013991
OG0000333	AMIN010628, AMIN010619	ASIC016706
OG0000334	AMIN001560	ASIC005880
OG0000336	AMIN011337	ASIC018897
OG0000340	AMIN005724, AMIN005725	ASIC007679
OG0000340	AMIN005726	ASIC007681, ASIC007678
OG0000340	AMIN005723	ASIC007680
OG0000341	AMIN006202	ASIC006932
OG0000341	AMIN006203	ASIC006934, ASIC006933
OG0000344	AMIN004814	ASIC020228
OG0000345	AMIN005741	ASIC003978
OG0000346	AMIN002478	ASIC000815
OG0000346	AMIN016268	ASIC021948
OG0000347	AMIN007036	ASIC000181
OG0000348	AMIN009292	ASIC015321
OG0000348	AMIN009291	ASIC015322, ASIC015323
OG0000349	AMIN010714	ASIC012256, ASIC012253
OG0000349	AMIN015612	ASIC012252
OG0000350	AMIN015944	ASIC002433
OG0000351	AMIN008878	ASIC011933
OG0000352	AMIN004703	ASIC020939, ASIC020938
OG0000353	AMIN010928	ASIC000954, ASIC011663
OG0000354	AMIN003843	ASIC012572, ASIC012573
OG0000354	AMIN003437	ASIC010034, ASIC010035
OG0000355	AMIN006601	ASIC013915
OG0000356	AMIN008127	ASIC014973
OG0000356	AMIN004156	ASIC007049
OG0000357	AMIN003425	ASIC012551
OG0000357	AMIN003426	ASIC012549
OG0000360	AMIN004393	ASIC014813, ASIC014814, ASIC014817
OG0000361	AMIN000969	ASIC018213
OG0000362	AMIN016016	ASIC006698, ASIC020699
OG0000362	AMIN016013	ASIC020698
OG0000363	AMIN011090	ASIC018524
OG0000364	AMIN011281	ASIC016659
OG0000365	AMIN001318	ASIC002632, ASIC002635
OG0000366	AMIN003044	ASIC009439
OG0000367	AMIN007407	ASIC016760
OG0000368	AMIN004899	ASIC021920
OG0000369	AMIN000991	ASIC009381
OG0000369	AMIN000990, AMIN000995	ASIC009390
OG0000370	AMIN001702	ASIC017718
OG0000370	AMIN015641	ASIC011451
OG0000371	AMIN007985	ASIC016594
OG0000371	AMIN007986	ASIC016597
OG0000371	AMIN007988	ASIC016605
OG0000372	AMIN005843	ASIC009507, ASIC009504, ASIC009508
OG0000376	AMIN000001	ASIC020524, ASIC006186, ASIC020543
OG0000378	AMIN011133, AMIN016045, AMIN016047	ASIC016652, ASIC018568, ASIC018560, ASIC000891, ASIC008705, ASIC018569, ASIC021178
OG0000380	AMIN015545, AMIN015546	ASIC009217
OG0000381	AMIN016125	ASIC017769
OG0000382	AMIN006598	ASIC013910
OG0000382	AMIN006597	ASIC013908
OG0000383	AMIN003564	ASIC008776
OG0000383	AMIN006915	ASIC022329
OG0000384	AMIN007029	ASIC002781
OG0000384	AMIN007027	ASIC001183, ASIC002780
OG0000386	AMIN010945	ASIC011708, ASIC011707, ASIC011709
OG0000387	AMIN011411	ASIC016161
OG0000387	AMIN010181	ASIC012957
OG0000388	AMIN003526, AMIN003525	ASIC013800, ASIC013799, ASIC013798
OG0000389	AMIN010092	ASIC019090
OG0000391	AMIN004615	ASIC015116
OG0000391	AMIN006874	ASIC017801
OG0000392	AMIN016121	ASIC014072
OG0000392	AMIN016119	ASIC014074
OG0000392	AMIN016120	ASIC014073
OG0000393	AMIN000710	ASIC007949
OG0000394	AMIN015659	ASIC021259
OG0000394	AMIN015658	ASIC021258
OG0000395	AMIN006779	ASIC009958
OG0000395	AMIN005116	ASIC006771
OG0000396	AMIN009642	ASIC002672
OG0000396	AMIN009640, AMIN009641	ASIC002671
OG0000397	AMIN009574	ASIC014575
OG0000397	AMIN000431	ASIC008278
OG0000398	AMIN015525, AMIN010788	ASIC003105
OG0000399	AMIN011393	ASIC019199
OG0000399	AMIN007830	ASIC019531
OG0000400	AMIN007277	ASIC014917
OG0000400	AMIN010038	ASIC019623
OG0000401	AMIN003805	ASIC005455
OG0000401	AMIN008417	ASIC004773
OG0000402	AMIN005358, AMIN007892	ASIC016791, ASIC017093
OG0000403	AMIN005734	ASIC017017
OG0000403	AMIN015648	ASIC018806
OG0000404	AMIN001303	ASIC005999
OG0000404	AMIN001304	ASIC005998
OG0000405	AMIN016076	ASIC015146
OG0000405	AMIN016073	ASIC015147
OG0000407	AMIN008277	ASIC017969
OG0000407	AMIN009328	ASIC017965
OG0000408	AMIN007332	ASIC012313
OG0000408	AMIN007333	ASIC012311
OG0000409	AMIN001360, AMIN001358	ASIC006513
OG0000409	AMIN001359	ASIC006515
OG0000411	AMIN016278	ASIC013281
OG0000412	AMIN005383	ASIC020403
OG0000412	AMIN005384	ASIC020404
OG0000413	AMIN010118	ASIC019161, ASIC019163, ASIC019162
OG0000413	AMIN010119	ASIC019164
OG0000414	AMIN005852	ASIC009497
OG0000414	AMIN005894	ASIC014159, ASIC014156
OG0000416	AMIN010661	ASIC019239
OG0000416	AMIN011205	ASIC016876
OG0000417	AMIN003479	ASIC015685
OG0000417	AMIN004992	ASIC011176
OG0000419	AMIN005868	ASIC022274, ASIC009238, ASIC009659
OG0000421	AMIN003299	ASIC004562
OG0000422	AMIN000974, AMIN005879	ASIC006280
OG0000424	AMIN005584	ASIC006202, ASIC006235, ASIC006213
OG0000425	AMIN009294	ASIC015316, ASIC015317, ASIC015314, ASIC015315
OG0000428	AMIN015596, AMIN015597	ASIC006206
OG0000430	AMIN006466	ASIC016909
OG0000432	AMIN006725	ASIC008599
OG0000432	AMIN001567	ASIC005905
OG0000433	AMIN002730	ASIC021068
OG0000433	AMIN002729	ASIC021074
OG0000434	AMIN008047	ASIC018734, ASIC018736, ASIC018738, ASIC018733
OG0000435	AMIN009195	ASIC005962
OG0000437	AMIN003136	ASIC002921, ASIC002923
OG0000438	AMIN003139, AMIN003137	ASIC002922
OG0000439	AMIN006296	ASIC017605
OG0000439	AMIN006294	ASIC017590
OG0000440	AMIN004661	ASIC013302
OG0000440	AMIN004662	ASIC013280
OG0000441	AMIN007959	ASIC000926, ASIC007475, ASIC000925, ASIC007491, ASIC002994
OG0000441	AMIN002140	ASIC005125
OG0000443	AMIN004723	ASIC020916
OG0000443	AMIN007767	ASIC019892
OG0000445	AMIN008996	ASIC015511
