Orthogroup	AminimusMINIMUS1	Aalbopictus_AalbF5
OG0000026	AMIN015479	LOC109431713, LOC115267476, LOC115260125
OG0000026	AMIN015731	LOC109622447
OG0000027	AMIN006557, AMIN006558	LOC109406551, LOC109398494, LOC109417369, LOC109417371, LOC109398522, LOC109398512, LOC109398504, LOC109406556, LOC109398492, LOC109406557, LOC109406553, LOC109417368, LOC115262615, LOC115262616
OG0000028	AMIN009876	LOC134286224
OG0000028	AMIN001236	LOC134286267, LOC134286206, LOC134286205, LOC134286187, LOC134291068, LOC109420058, LOC109428619, LOC134285226, LOC134291670, LOC134287749, LOC115259335, LOC115261576, LOC134290188, LOC115264187, LOC134285395, LOC109432742, LOC134290930, LOC134290388, LOC134288151, LOC134286380, LOC134291669, LOC115255659
OG0000030	AMIN006996, AMIN006995, AMIN006765, AMIN007001, AMIN006992, AMIN002000, AMIN006991, AMIN007005, AMIN007004, AMIN006994	LOC109420622, LOC109420540, LOC109417125, LOC115255076, LOC134289023
OG0000031	AMIN005862, AMIN007507	LOC134289257
OG0000031	AMIN006442, AMIN004950	LOC134286814, LOC134291789, LOC134285598
OG0000032	AMIN001332	LOC134286630, LOC134285376, LOC134286566, LOC134290777, LOC134286981, LOC134285958, LOC134285252, LOC134290546, LOC134290447, LOC134286702, LOC134290488, LOC134284658, LOC134291067, LOC115265199, LOC134290819, LOC134286672, LOC134286685, LOC134289497, LOC134288537, LOC134290314, LOC109427185, LOC134290627, LOC134286565, LOC134290765
OG0000033	AMIN015509	LOC109424827
OG0000033	AMIN000381	LOC134290105, LOC109416028
OG0000033	AMIN014039	LOC109416027, LOC109414897, LOC109416024, LOC109416023
OG0000034	AMIN010991	LOC109623111
OG0000035	AMIN007272, AMIN009877, AMIN010812, AMIN015498, AMIN010811, AMIN010810, AMIN015472, AMIN010814, AMIN010135, AMIN007574	LOC109431735, LOC109419479, LOC115269187
OG0000037	AMIN002827, AMIN006508, AMIN006509, AMIN003922, AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942, AMIN003923, AMIN003925, AMIN003924, AMIN000003, AMIN004541, AMIN004540, AMIN004539	LOC115267800
OG0000039	AMIN015958, AMIN015957, AMIN010824, AMIN007947, AMIN007946, AMIN015959	LOC115267561, LOC109404256, LOC109416577, LOC109429852, LOC109433331, LOC109431626, LOC109401619, LOC115260826
OG0000040	AMIN015663, AMIN015662	LOC109426099, LOC109429627, LOC109623406, LOC109623405
OG0000040	AMIN015574, AMIN015575, AMIN001806, AMIN001807, AMIN015590, AMIN015591	LOC109429616, LOC109424203
OG0000041	AMIN008776	LOC109623326
OG0000041	AMIN008777	LOC109623385
OG0000041	AMIN003187	LOC109426866
OG0000042	AMIN005907, AMIN001699	LOC109402120
OG0000045	AMIN001066	LOC115254791, LOC115266674, LOC134288587, LOC115262239, LOC115260912, LOC109400123, LOC134286497, LOC134288132, LOC134290932, LOC134286194, LOC109424601, LOC134284219, LOC115265664, LOC115258448, LOC134289039, LOC134287579, LOC109402167, LOC115255999, LOC134286347, LOC134285044, LOC134286727, LOC115269455, LOC134288646, LOC134284322, LOC134291242, LOC134291243, LOC134284310
OG0000046	AMIN002797	LOC109622330, LOC109621357, LOC109622339
OG0000048	AMIN011325	LOC109428624, LOC109422505, LOC109420363, LOC109401660, LOC109418726, LOC134292261
OG0000049	AMIN015888	LOC115257883
OG0000049	AMIN015889	LOC115257642
OG0000049	AMIN015891	LOC115253560
OG0000049	AMIN015890	LOC109403394
OG0000050	AMIN005873	LOC134289991
OG0000051	AMIN006620, AMIN014521	LOC134287878, LOC134286741, LOC134286742, LOC134287876, LOC134286737, LOC134287877
OG0000052	AMIN015582	LOC109418812
OG0000052	AMIN015585, AMIN015584	LOC109418979, LOC109398291, LOC109398344, LOC109399682, LOC109418960
OG0000053	AMIN009403, AMIN009402	LOC134290123
OG0000055	AMIN002458	LOC109425568
OG0000056	AMIN004372	LOC134289642, LOC134288597, LOC134288754, LOC134285059
OG0000057	AMIN006625, AMIN006626, AMIN014522	LOC109400285, LOC109400301, LOC134286750, LOC109400303, LOC109425074
OG0000058	AMIN001846	LOC109429556, LOC109429973
OG0000059	AMIN016229, AMIN016293	LOC115263209
OG0000059	AMIN010123	LOC109397955
OG0000060	AMIN006628	LOC109400289, LOC109425201, LOC109425203, LOC109425111, LOC109425112
OG0000060	AMIN014523	LOC109400353, LOC109400352, LOC109425109, LOC109400350, LOC109425107
OG0000061	AMIN006938	LOC115262216, LOC109407552
OG0000061	AMIN007997	LOC109426588
OG0000061	AMIN004599	LOC115253465, LOC109412270, LOC109397255
OG0000062	AMIN001001, AMIN000304	LOC115259541, LOC134285567
OG0000063	AMIN002564	LOC109399308, LOC109399296
OG0000063	AMIN003060	LOC109430420, LOC109405725, LOC109413826, LOC109428843, LOC109420947, LOC109399306, LOC115261478, LOC109426952, LOC109405771
OG0000064	AMIN001329, AMIN001327	LOC109407215, LOC109407216, LOC109405887, LOC109424210, LOC109412709, LOC134285929
OG0000064	AMIN003132	LOC109433412
OG0000067	AMIN015537	LOC109399585
OG0000067	AMIN015982	LOC109426033, LOC109426036
OG0000067	AMIN008926	LOC109426037
OG0000067	AMIN000636	LOC109410996, LOC109410901
OG0000067	AMIN015981	LOC109426035
OG0000068	AMIN010935	LOC109399209
OG0000069	AMIN003229	LOC134287966
OG0000069	AMIN010636, AMIN016115, AMIN016114, AMIN003907	LOC109420427, LOC115257481, LOC115257619
OG0000071	AMIN005052	LOC109401104
OG0000071	AMIN000434	LOC109417603, LOC109402034
OG0000071	AMIN005942, AMIN005941, AMIN005945	LOC109419909
OG0000072	AMIN008641	LOC109418556
OG0000072	AMIN000778	LOC115261630
OG0000072	AMIN011262	LOC109403768, LOC109403788
OG0000073	AMIN006338	LOC109433068
OG0000073	AMIN006336	LOC109433130
OG0000074	AMIN007418, AMIN007419	LOC109399202, LOC109399162
OG0000074	AMIN010517	LOC109399205
OG0000075	AMIN009972, AMIN009971, AMIN009973	LOC109424138, LOC109430779, LOC109424181, LOC115263087, LOC109424139, LOC115263088, LOC115263086, LOC115263362
OG0000076	AMIN007057, AMIN006792, AMIN006791, AMIN008359, AMIN004343	LOC109433173, LOC109433174
OG0000077	AMIN015956	LOC109431700
OG0000077	AMIN015954	LOC109428459
OG0000077	AMIN015955, AMIN015952	LOC115267608, LOC115267631, LOC115267607
OG0000077	AMIN015953	LOC115267620
OG0000078	AMIN007270	LOC134284552
OG0000079	AMIN015620	LOC109422640
OG0000079	AMIN015621, AMIN016252	LOC109422560, LOC109399710
OG0000079	AMIN015622	LOC109418231, LOC109428005, LOC109422721
OG0000080	AMIN007961, AMIN007987	LOC109417818
OG0000080	AMIN008322	LOC109420119, LOC109420142
OG0000081	AMIN010657	LOC115265020
OG0000081	AMIN010659	LOC109422446, LOC115265018, LOC109422423, LOC115265016
OG0000081	AMIN010656	LOC109425727
OG0000082	AMIN008360, AMIN008381	LOC109408162
OG0000083	AMIN000069	LOC134290847, LOC134288235, LOC134290112, LOC134290353, LOC134290810, LOC109433001, LOC115260585, LOC134292119, LOC134288451, LOC134286025, LOC115257819, LOC115266822, LOC115265219, LOC134284792, LOC134292192, LOC115259409, LOC134290637, LOC115265497, LOC115268089, LOC134287734, LOC134286337, LOC134290904, LOC109430659, LOC134290905, LOC134291563, LOC134286132
OG0000085	AMIN015862, AMIN015860, AMIN015861, AMIN015859, AMIN015863, AMIN015858	LOC109412325, LOC109422704, LOC109422705, LOC109424438, LOC115254680
OG0000086	AMIN008148	LOC109402934
OG0000086	AMIN000451	LOC115258102, LOC109405184, LOC109426350, LOC115254457
OG0000086	AMIN002615	LOC109399012, LOC109622980
OG0000088	AMIN008863	LOC115257675, LOC115257694
OG0000088	AMIN009049, AMIN009053	LOC109433460, LOC115267981, LOC109433519, LOC109418404, LOC109419766
OG0000089	AMIN006914	LOC134289926, LOC134292138
OG0000090	AMIN010523	LOC109430577, LOC109424283, LOC109428699, LOC109428697
OG0000090	AMIN010488	LOC109429051
OG0000091	AMIN002875	LOC109429227
OG0000096	AMIN009310	LOC109422254
OG0000096	AMIN014712	LOC109414298
OG0000096	AMIN010757	LOC115264212
OG0000096	AMIN001255	LOC109422250
OG0000097	AMIN003984, AMIN003983, AMIN003985	LOC109433277
OG0000098	AMIN009752	LOC115258660, LOC109419553, LOC109409374, LOC115258766, LOC115260917
OG0000101	AMIN005711, AMIN006847	LOC134292132, LOC134290694, LOC134289917
OG0000104	AMIN001011	LOC109410832, LOC109427506, LOC109427507
OG0000107	AMIN003226	LOC134285144, LOC115269113, LOC115269114, LOC109397170, LOC134285135, LOC134285132, LOC134285129, LOC134287048, LOC134284153, LOC115264363, LOC115265698
OG0000108	AMIN001146	LOC109429333, LOC109421068, LOC109429251, LOC109421067, LOC109429469, LOC115258785, LOC109421073, LOC109428607, LOC109421072
OG0000109	AMIN007943	LOC134288467, LOC109417980
OG0000109	AMIN000020	LOC109402397, LOC134284738
OG0000111	AMIN005870	LOC115265527, LOC115253427, LOC115265528, LOC115265526, LOC109432478, LOC115253746
OG0000115	AMIN007799	LOC109413498
OG0000115	AMIN007798	LOC109410773
OG0000116	AMIN009560	LOC109400294
OG0000119	AMIN011174	LOC109409689
OG0000119	AMIN011175	LOC109409692, LOC109409691, LOC109409690, LOC134287661
OG0000120	AMIN015839	LOC109402840, LOC109406119, LOC115261111
OG0000120	AMIN015840, AMIN015843	LOC115261112
OG0000121	AMIN007010	LOC134286545, LOC134290432, LOC134286563, LOC134289163, LOC134286440, LOC134290915, LOC134285234, LOC134290209, LOC134286682, LOC134288272, LOC134286435, LOC134285985, LOC134290069, LOC134289513, LOC115258926, LOC115257931, LOC115265262, LOC134288935, LOC134284302, LOC115269770, LOC115259067, LOC115268810, LOC115261835
OG0000127	AMIN000423	LOC109399383, LOC109430899, LOC115263186, LOC115263188, LOC115263189, LOC109411349
OG0000128	AMIN016003	LOC109396992
OG0000128	AMIN009297	LOC109397004
OG0000128	AMIN016286, AMIN016287	LOC115262796
OG0000129	AMIN002441	LOC109421658
OG0000130	AMIN000464	LOC109426323
OG0000130	AMIN009807	LOC109421326
OG0000131	AMIN009597	LOC109419859, LOC109420609
OG0000131	AMIN009593	LOC109420605
OG0000132	AMIN008147	LOC109397421
OG0000133	AMIN006896	LOC109425940
OG0000133	AMIN008836, AMIN008837	LOC109433309, LOC134291485
OG0000134	AMIN010110	LOC115267595, LOC109399470
OG0000134	AMIN010108, AMIN010109	LOC115267583
OG0000135	AMIN007092	LOC109411771
OG0000136	AMIN008377	LOC109418558, LOC109413120, LOC109400919
OG0000136	AMIN001881	LOC109401827, LOC109412093, LOC109404625
OG0000141	AMIN011058	LOC115266541, LOC109426247, LOC115266539, LOC109411169, LOC109411161, LOC109426249, LOC109426250
OG0000142	AMIN003855	LOC109401436, LOC109423496
OG0000142	AMIN000952	LOC109423512
OG0000142	AMIN003784	LOC109423498
OG0000143	AMIN002682	LOC115271081, LOC109422534, LOC115271082, LOC109422663, LOC109401093, LOC109422664, LOC109422665, LOC109401117
OG0000146	AMIN000516	LOC109406196, LOC109406203
OG0000147	AMIN016141, AMIN016134, AMIN016136, AMIN016135	LOC109402061, LOC109421511, LOC109421512
OG0000148	AMIN009492, AMIN009494	LOC115265114
OG0000148	AMIN009495	LOC109421171
OG0000149	AMIN011053	LOC109426259
OG0000149	AMIN016044	LOC109410290
OG0000149	AMIN016042	LOC109426253
OG0000149	AMIN016043	LOC109426260
OG0000150	AMIN011243	LOC115266551
OG0000152	AMIN007972	LOC109408684
OG0000152	AMIN009946	LOC115265746
OG0000152	AMIN009947, AMIN009948	LOC109420225
OG0000154	AMIN000711, AMIN006064	LOC109421560, LOC109409214, LOC109409172
OG0000155	AMIN015664, AMIN015665	LOC109416379, LOC109430008, LOC115263419, LOC109430000, LOC115263405, LOC109416399
OG0000157	AMIN001668	LOC109421165
OG0000157	AMIN010663	LOC109417943, LOC109426743, LOC109426604, LOC109426606, LOC109426631, LOC109426654, LOC115265692, LOC109426605
OG0000160	AMIN007249, AMIN006471, AMIN007271, AMIN003417	LOC134290104, LOC109398789
OG0000161	AMIN008303	LOC109400953
OG0000161	AMIN010046	LOC115263538, LOC109415748
OG0000162	AMIN006857	LOC109416740
OG0000162	AMIN006855	LOC109416738
OG0000163	AMIN001822	LOC115264896, LOC109408545, LOC109429593
OG0000164	AMIN004931	LOC134285492
OG0000164	AMIN004928	LOC109430385
OG0000164	AMIN004930	LOC134285493
OG0000165	AMIN004970	LOC115256354
OG0000166	AMIN007525	LOC109418973
OG0000171	AMIN004244	LOC134289646
OG0000172	AMIN008835	LOC109414400
OG0000172	AMIN008838	LOC109410572
OG0000172	AMIN008827	LOC109421132
OG0000174	AMIN015909	LOC115256529
OG0000176	AMIN006492	LOC134286515, LOC115266728
OG0000176	AMIN006477	LOC134285293
OG0000177	AMIN001287, AMIN010056, AMIN004550, AMIN011665, AMIN006441	LOC134290798, LOC134286013, LOC134290370, LOC134288828, LOC134290160, LOC134286700, LOC134286040, LOC134288230, LOC134286638, LOC134292167, LOC134290792, LOC134286268, LOC134284034, LOC134285974, LOC134290636, LOC134289514, LOC115267934, LOC134288898, LOC134286102, LOC134291621, LOC134290175, LOC134290281, LOC115258859, LOC115261646, LOC134290853, LOC115257337
OG0000180	AMIN009804	LOC109421192, LOC115265814, LOC109432470, LOC109421186, LOC109421214, LOC109432431, LOC109421189
OG0000181	AMIN014770, AMIN009918, AMIN009916, AMIN009915	LOC109398251, LOC109398238, LOC109419743, LOC109398234, LOC109398239, LOC109419750
OG0000182	AMIN004725	LOC115259581
OG0000182	AMIN016128	LOC115253802, LOC109400865
OG0000182	AMIN016130	LOC109429307
OG0000183	AMIN002688, AMIN003141	LOC115256357, LOC109407271, LOC109402674, LOC109405890
OG0000184	AMIN001894	LOC109411770, LOC109416825
OG0000184	AMIN015554, AMIN001896, AMIN015555	LOC109411788
OG0000185	AMIN008694	LOC109401553, LOC109402898, LOC109420356
OG0000185	AMIN011065	LOC109419367
OG0000187	AMIN000726	LOC109415488
OG0000188	AMIN011638	LOC109416080, LOC109402955, LOC115264319, LOC109416100, LOC109416077, LOC134292254
OG0000189	AMIN004715	LOC109398456
OG0000189	AMIN003400	LOC115264694, LOC115264672, LOC115266712
OG0000190	AMIN009845	LOC134287929
OG0000190	AMIN005982	LOC109429277
OG0000190	AMIN001539	LOC109420894
OG0000191	AMIN010963, AMIN010962, AMIN010961, AMIN010960	LOC109425624, LOC115269665
OG0000192	AMIN009154	LOC115268599
OG0000192	AMIN003113	LOC109407097
OG0000192	AMIN016221	LOC109424591
OG0000193	AMIN005247, AMIN005248, AMIN015557, AMIN005246, AMIN001550	LOC109418366, LOC109426146, LOC109426147, LOC109417593
OG0000194	AMIN001917	LOC115268005
OG0000196	AMIN001000	LOC109417644, LOC109410244, LOC115255412, LOC115255411
OG0000200	AMIN008384	LOC109415401
OG0000200	AMIN008385	LOC109410678
OG0000200	AMIN004606	LOC115263783
OG0000201	AMIN011329	LOC115269915, LOC115270394
OG0000202	AMIN005629	LOC109421839, LOC109421838
OG0000204	AMIN015947	LOC109425685, LOC109422978
OG0000204	AMIN015946	LOC109422968
OG0000204	AMIN015945	LOC109422959
OG0000205	AMIN004379	LOC109397149
OG0000206	AMIN015995	LOC109429344, LOC109428387, LOC109420951
OG0000206	AMIN009119	LOC109414302
OG0000207	AMIN016067, AMIN016068	LOC109415428, LOC109402620, LOC109402627, LOC109406592, LOC115253652, LOC109402626
OG0000210	AMIN008980, AMIN008979	LOC109402346
OG0000211	AMIN009162	LOC115260807, LOC115254284, LOC134286007, LOC115265175, LOC115256717, LOC109419777, LOC109408040, LOC109431828, LOC134291233, LOC109415638, LOC134290775, LOC115267034, LOC134286366, LOC109407466, LOC109429518, LOC134290898, LOC134284394, LOC134288112, LOC134284766, LOC134289796, LOC134288528
OG0000217	AMIN000805	LOC109419237
OG0000217	AMIN001961	LOC109431380
OG0000218	AMIN006218	LOC109421462
OG0000218	AMIN006220	LOC109421387
OG0000219	AMIN001093	LOC109406989, LOC109397917, LOC109406984, LOC109397915, LOC109406985, LOC109397914, LOC109406992
OG0000220	AMIN002726	LOC109622226, LOC109623014
OG0000221	AMIN006274	LOC109410283, LOC109410284
OG0000221	AMIN010066	LOC109430808, LOC134283951, LOC109424170
OG0000222	AMIN001686	LOC109431412
OG0000223	AMIN002292	LOC109422010
OG0000224	AMIN003074, AMIN003071	LOC109414163
OG0000225	AMIN003771	LOC109405426, LOC115257288
OG0000226	AMIN002722, AMIN002711, AMIN002712, AMIN002715	LOC115267924
OG0000229	AMIN000391	LOC115261304, LOC109433437
OG0000229	AMIN003127, AMIN003317	LOC109433439
OG0000230	AMIN009075, AMIN009077	LOC109418314, LOC115262116, LOC115254047, LOC115262033, LOC109410481, LOC109418283, LOC109408717
OG0000231	AMIN010930, AMIN010931	LOC109413995, LOC109413996, LOC109418733, LOC109418736, LOC109418734, LOC109406485
OG0000232	AMIN010173, AMIN010175, AMIN016211, AMIN016210	LOC115270106, LOC109404909
OG0000233	AMIN002286	LOC109420036, LOC109420035
OG0000233	AMIN002275	LOC109418229
OG0000234	AMIN006393	LOC109425149
OG0000234	AMIN006400	LOC109429432
OG0000234	AMIN006394	LOC109425152
OG0000236	AMIN002269, AMIN002270, AMIN008944	LOC109621447
OG0000237	AMIN000894	LOC134287958
OG0000244	AMIN009457	LOC109418168
OG0000244	AMIN009466	LOC109419321
OG0000245	AMIN000228	LOC109622453, LOC134285569
OG0000246	AMIN004180, AMIN004771	LOC109413319
OG0000247	AMIN010670, AMIN010671	LOC109426621, LOC109426620
OG0000247	AMIN010668	LOC115265701
OG0000248	AMIN005906	LOC115255070, LOC109417081, LOC109420539
OG0000248	AMIN016193	LOC134289022, LOC109420537
OG0000248	AMIN016192	LOC115255069
OG0000249	AMIN011428, AMIN007370	LOC115269854, LOC109424258, LOC109428726, LOC109424255, LOC109430243
OG0000250	AMIN003364	LOC109427354
OG0000251	AMIN004378	LOC109425991, LOC115268065
OG0000252	AMIN008785	LOC109621456, LOC109621460, LOC115267995
OG0000253	AMIN003457	LOC109402465, LOC115264085, LOC109402468, LOC109423550, LOC115264289
OG0000254	AMIN000082	LOC109399873
OG0000254	AMIN000940	LOC109399939
OG0000255	AMIN016175, AMIN016174	LOC109413823, LOC109409608, LOC109409607, LOC115255265, LOC109405777
OG0000256	AMIN000776, AMIN000777, AMIN000775	LOC115261575, LOC109405995
OG0000257	AMIN001432, AMIN001434	LOC134287573, LOC109421507, LOC109621297, LOC109421508, LOC109622956
OG0000260	AMIN003553	LOC109428141
OG0000263	AMIN014004	LOC134286972
OG0000265	AMIN010596, AMIN010587	LOC115253485, LOC109432322
OG0000265	AMIN005808	LOC109413251
OG0000266	AMIN001628	LOC109405673
OG0000266	AMIN006383, AMIN006382	LOC109401438
OG0000267	AMIN004770	LOC109404182
OG0000268	AMIN007059, AMIN007060	LOC109398343
OG0000268	AMIN007061	LOC115262167
OG0000269	AMIN016284	LOC109430310, LOC109430352, LOC109412453
OG0000270	AMIN011416, AMIN008623, AMIN015971	LOC109400467
OG0000271	AMIN001411	LOC109425168, LOC109425169
OG0000272	AMIN008763	LOC134291341, LOC109418728
OG0000272	AMIN008100	LOC134291363
OG0000273	AMIN015825	LOC109431749
OG0000273	AMIN002200	LOC109401498
OG0000274	AMIN006742	LOC109399255, LOC109399254
OG0000276	AMIN008276	LOC109424686, LOC109424707, LOC109424689, LOC134284290, LOC109424688
OG0000277	AMIN000409	LOC134291511, LOC134284201
OG0000278	AMIN011462, AMIN011446, AMIN011465	LOC109423828
OG0000279	AMIN014755	LOC115265811
OG0000280	AMIN006822, AMIN006823	LOC109398599
OG0000285	AMIN002977	LOC109412583
OG0000285	AMIN015604, AMIN015606	LOC109412586
OG0000286	AMIN001250	LOC134288579, LOC109419311, LOC115265212, LOC109419306, LOC109419312, LOC109399258, LOC134291529
OG0000287	AMIN015655, AMIN015654, AMIN015652, AMIN015653	LOC109418186
OG0000288	AMIN001788	LOC109622664, LOC109429650, LOC109407355, LOC109417774
OG0000289	AMIN009186	LOC134289615, LOC134290940, LOC134289612
OG0000290	AMIN015559, AMIN008540, AMIN015558	LOC109407690, LOC134283955, LOC115268390
OG0000291	AMIN007862	LOC109399285
OG0000291	AMIN008053, AMIN008052	LOC115254554
OG0000292	AMIN006672	LOC134287964
OG0000292	AMIN006670	LOC134287045
OG0000293	AMIN005398	LOC109402618
OG0000294	AMIN005760	LOC109421880
OG0000294	AMIN005761	LOC109421875
OG0000295	AMIN008699, AMIN016301, AMIN016300	LOC109411828, LOC115264669, LOC109411823, LOC109411826, LOC115254136
OG0000297	AMIN015904	LOC115256454, LOC115256453
OG0000297	AMIN015903	LOC109427517
OG0000299	AMIN002531	LOC109420459
OG0000299	AMIN008559	LOC109426283, LOC109426282
OG0000300	AMIN010132	LOC115264061
OG0000302	AMIN016306	LOC109409795, LOC109412825
OG0000302	AMIN010574	LOC109409797
OG0000303	AMIN000132	LOC109423438
OG0000304	AMIN001010	LOC115266210, LOC109622152
OG0000305	AMIN007189	LOC109417728
OG0000306	AMIN006304, AMIN006305	LOC109427899, LOC115263988
OG0000311	AMIN000004	LOC134284264
OG0000317	AMIN004815	LOC109415509, LOC109400841, LOC109415510, LOC115261320
OG0000318	AMIN007124, AMIN007158, AMIN007123, AMIN007122	LOC115266503
OG0000319	AMIN001372	LOC109419083
OG0000319	AMIN001373, AMIN011132	LOC109404744
OG0000321	AMIN015801, AMIN015802	LOC134285621
OG0000321	AMIN007046	LOC134285147
OG0000324	AMIN009157	LOC115268591
OG0000324	AMIN009156	LOC109621385
OG0000325	AMIN010396	LOC109402478, LOC109621375, LOC109410004
OG0000326	AMIN004016	LOC109406334
OG0000326	AMIN003194	LOC115257242
OG0000327	AMIN006782	LOC109407226
OG0000328	AMIN008593	LOC109410565
OG0000328	AMIN008592	LOC115268300
OG0000329	AMIN001843	LOC109429565
OG0000329	AMIN001842	LOC109429983
OG0000330	AMIN005466	LOC109431560
OG0000330	AMIN005465	LOC109431569, LOC109431850
OG0000331	AMIN015827	LOC109428018
