Orthogroup	AaegyptiLVP_AGWG	AgambiaePEST
OG0000063	AAEL020266, AAEL000320, AAEL012761, AAEL005696, AAEL005700, AAEL024573, AAEL000326, AAEL000357, AAEL029116, AAEL005775, AAEL017215, AAEL000338	AGAP002202
OG0000064	AAEL017501	AGAP002134
OG0000067	AAEL003434	AGAP011939
OG0000067	AAEL000678, AAEL000647	AGAP012400
OG0000067	AAEL000642	AGAP012399
OG0000067	AAEL009524	AGAP002102
OG0000067	AAEL000667	AGAP012401
OG0000068	AAEL024556	AGAP005999
OG0000068	AAEL013512, AAEL013520, AAEL007194, AAEL007192, AAEL013514	AGAP005998
OG0000068	AAEL011444	AGAP005996
OG0000068	AAEL013515	AGAP006001
OG0000069	AAEL015136	AGAP002851
OG0000069	AAEL009556, AAEL009555, AAEL009553	AGAP007197, AGAP007415, AGAP002849, AGAP002850, AGAP002804
OG0000071	AAEL007812	AGAP013490, AGAP000088
OG0000071	AAEL002085, AAEL003399	AGAP001861
OG0000071	AAEL013798	AGAP028019, AGAP008358, AGAP008356
OG0000072	AAEL013229	AGAP010971
OG0000072	AAEL006642	AGAP001218
OG0000072	AAEL012424	AGAP002770
OG0000072	AAEL026111, AAEL004172	AGAP007122
OG0000073	AAEL007136	AGAP007754
OG0000073	AAEL007131	AGAP007753
OG0000073	AAEL007128	AGAP007752
OG0000073	AAEL007139	AGAP013770
OG0000074	AAEL011460, AAEL011454	AGAP005385, AGAP005384, AGAP005386, AGAP005387, AGAP005388
OG0000074	AAEL011449	AGAP007354
OG0000075	AAEL013444, AAEL013442, AAEL013443, AAEL021060, AAEL025773, AAEL013439	AGAP006980, AGAP006984, AGAP006983, AGAP006981, AGAP006979, AGAP006978, AGAP006985, AGAP006982
OG0000076	AAEL003992	AGAP009449, AGAP009448, AGAP010931, AGAP011270, AGAP012638, AGAP011267, AGAP029737, AGAP029736, AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234, AGAP011233, AGAP000216, AGAP011835
OG0000077	AAEL021375	AGAP006422
OG0000077	AAEL026915	AGAP006424
OG0000077	AAEL015020, AAEL015573, AAEL015021	AGAP006425, AGAP006423
OG0000077	AAEL015022	AGAP006426
OG0000079	AAEL023932, AAEL006498, AAEL006259	AGAP012985, AGAP012982, AGAP013149
OG0000079	AAEL005621, AAEL005625, AAEL006484, AAEL024685	AGAP001161
OG0000080	AAEL012700, AAEL012702	AGAP006380
OG0000080	AAEL012698	AGAP006379
OG0000080	AAEL008384, AAEL008386	AGAP012155, AGAP012156
OG0000081	AAEL013347	AGAP007161
OG0000081	AAEL013349, AAEL013352, AAEL013346, AAEL013344, AAEL013348, AAEL013338	AGAP005547, AGAP005548, AGAP007159, AGAP007158
OG0000081	AAEL013341	AGAP007162
OG0000085	AAEL014439, AAEL014440, AAEL003971, AAEL003954	AGAP003763, AGAP003764, AGAP013346, AGAP003760, AGAP003759, AGAP003762, AGAP003758
OG0000086	AAEL012778	AGAP004809
OG0000086	AAEL008163, AAEL008162, AAEL022247, AAEL019828	AGAP013155, AGAP001881, AGAP012984
OG0000086	AAEL009108	AGAP013150
OG0000088	AAEL001517	AGAP011575
OG0000088	AAEL000546, AAEL000530, AAEL000545, AAEL008532, AAEL004724	AGAP011507, AGAP011509
OG0000089	AAEL008252, AAEL022849	AGAP029766
OG0000089	AAEL001151	AGAP029781, AGAP029780, AGAP029779, AGAP028709, AGAP028708
OG0000089	AAEL001146	AGAP029765
OG0000090	AAEL003723, AAEL003712	AGAP007347, AGAP007343
OG0000090	AAEL017132	AGAP007385
OG0000090	AAEL015404	AGAP007386
OG0000091	AAEL006992, AAEL006989, AAEL003890	AGAP003343
OG0000091	AAEL007010, AAEL021861, AAEL007024	AGAP013511
OG0000096	AAEL002851	AGAP010929
OG0000096	AAEL019894	AGAP008622
OG0000096	AAEL005052	AGAP005293
OG0000096	AAEL002848	AGAP010510
OG0000097	AAEL009559, AAEL009567	AGAP013318
OG0000097	AAEL009566	AGAP013451
OG0000097	AAEL029014	AGAP002592
OG0000098	AAEL014140, AAEL014137, AAEL022822	AGAP011325, AGAP009215, AGAP009214, AGAP009220, AGAP009216, AGAP009217, AGAP009219, AGAP009218
OG0000104	AAEL002669, AAEL002666, AAEL002658	AGAP009159
OG0000104	AAEL002668, AAEL006823	AGAP008545, AGAP028059, AGAP028140, AGAP008544
OG0000107	AAEL014731, AAEL007754, AAEL004928	AGAP013529, AGAP002855, AGAP002856, AGAP002854
OG0000108	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165	AGAP006187
OG0000109	AAEL018267	AGAP006427
OG0000109	AAEL023958	AGAP029457
OG0000109	AAEL019847, AAEL012395	AGAP004603
OG0000109	AAEL027539	AGAP029686
OG0000111	AAEL024249, AAEL017232, AAEL027929, AAEL025172	AGAP012724, AGAP029416, AGAP028224, AGAP008454, AGAP028081, AGAP008465, AGAP008460
OG0000114	AAEL002241, AAEL002191, AAEL002229, AAEL002211, AAEL025678, AAEL002231, AAEL002246	AGAP028151, AGAP028057
OG0000114	AAEL002223, AAEL002233, AAEL002187	AGAP008458
OG0000115	AAEL004247	AGAP006594
OG0000115	AAEL022427	AGAP006595
OG0000116	AAEL005045, AAEL017209	AGAP008437
OG0000116	AAEL005043	AGAP028128, AGAP027980
OG0000116	AAEL004743	AGAP009835
OG0000119	AAEL005200	AGAP005834
OG0000119	AAEL005199, AAEL020054, AAEL005182, AAEL023662, AAEL004323	AGAP005835, AGAP005836, AGAP005837
OG0000120	AAEL019920, AAEL005609, AAEL005607, AAEL019919	AGAP001249
OG0000120	AAEL005594, AAEL005611	AGAP001245
OG0000127	AAEL011528, AAEL000686, AAEL001057, AAEL001096, AAEL007941	AGAP001825
OG0000128	AAEL000904	AGAP028426
OG0000128	AAEL000918	AGAP010917
OG0000128	AAEL019933	AGAP011366, AGAP011365
OG0000129	AAEL012683, AAEL012688, AAEL002373, AAEL012680, AAEL012685	AGAP012996, AGAP001552, AGAP013124
OG0000129	AAEL001195	AGAP013450, AGAP013239
OG0000130	AAEL008160	AGAP001899
OG0000130	AAEL002237	AGAP008468, AGAP028049
OG0000131	AAEL024660	AGAP009877
OG0000131	AAEL003272	AGAP009876
OG0000131	AAEL003226	AGAP009875
OG0000131	AAEL003259	AGAP009871
OG0000132	AAEL005293	AGAP013132, AGAP004807, AGAP012529
OG0000132	AAEL003840	AGAP011287
OG0000133	AAEL004091	AGAP012279
OG0000133	AAEL014230	AGAP011611, AGAP011610
OG0000134	AAEL019678	AGAP006724, AGAP006725
OG0000134	AAEL005113, AAEL023844, AAEL005123	AGAP006726
OG0000134	AAEL019679	AGAP006728, AGAP006727
OG0000135	AAEL029067	AGAP029161
OG0000135	AAEL006011	AGAP029163, AGAP029157, AGAP007907
OG0000136	AAEL013227, AAEL013233, AAEL021425, AAEL006287	AGAP011204
OG0000136	AAEL013692, AAEL008098, AAEL007698	AGAP009509
OG0000141	AAEL017553, AAEL002391, AAEL024216, AAEL002378, AAEL002385, AAEL002367	AGAP005758, AGAP005757, AGAP005756
OG0000142	AAEL002426	AGAP003422, AGAP003423
OG0000142	AAEL002432	AGAP003432
OG0000142	AAEL002408	AGAP003078
OG0000143	AAEL007816	AGAP002419
OG0000146	AAEL007592, AAEL015137	AGAP001956, AGAP013106
OG0000147	AAEL006827, AAEL002031, AAEL001960, AAEL002005	AGAP008019, AGAP008020, AGAP012800, AGAP008022, AGAP008018
OG0000148	AAEL017451	AGAP009751
OG0000148	AAEL017460	AGAP009754, AGAP009756, AGAP009755
OG0000148	AAEL002676	AGAP009757
OG0000149	AAEL003091	AGAP005753
OG0000149	AAEL027549, AAEL027016	AGAP005750
OG0000149	AAEL026670	AGAP005751
OG0000149	AAEL003076	AGAP005752
OG0000150	AAEL003497	AGAP007104
OG0000151	AAEL004025	AGAP003785, AGAP012609
OG0000152	AAEL011180	AGAP006398
OG0000152	AAEL005270	AGAP006102
OG0000152	AAEL005259	AGAP006103
OG0000154	AAEL009130, AAEL009129, AAEL009123, AAEL009131	AGAP002894, AGAP008218, AGAP008217, AGAP008219
OG0000155	AAEL010418, AAEL027258, AAEL015286, AAEL010415, AAEL010428, AAEL023626, AAEL018080, AAEL010426, AAEL017079, AAEL010409	AGAP004355, AGAP004356, AGAP004357, AGAP004354
OG0000157	AAEL026898	AGAP028217
OG0000157	AAEL021701, AAEL023616, AAEL027162, AAEL024662, AAEL025947, AAEL027079, AAEL024834, AAEL027392	AGAP007154
OG0000160	AAEL024826, AAEL027417, AAEL002264, AAEL023094, AAEL022840, AAEL022131, AAEL020119	AGAP029361
OG0000161	AAEL021131	AGAP028747
OG0000161	AAEL004798, AAEL002467	AGAP006796, AGAP006795
OG0000162	AAEL002617	AGAP012325
OG0000162	AAEL002606	AGAP012321
OG0000162	AAEL002587	AGAP012320
OG0000163	AAEL004507	AGAP009436
OG0000163	AAEL022219	AGAP009434
OG0000163	AAEL004486	AGAP009435
OG0000164	AAEL007511	AGAP004571
OG0000164	AAEL026347	AGAP004567
OG0000164	AAEL014567	AGAP004566
OG0000164	AAEL007514	AGAP004570
OG0000165	AAEL008017	AGAP000194
OG0000165	AAEL025214	AGAP000192
OG0000165	AAEL008018	AGAP000193, AGAP010414
OG0000166	AAEL013556, AAEL013554	AGAP006048
OG0000166	AAEL014830	AGAP006049
OG0000166	AAEL014019	AGAP006047
OG0000171	AAEL027547, AAEL017192	AGAP011348
OG0000171	AAEL023653, AAEL005134	AGAP011347
OG0000172	AAEL026737	AGAP011613
OG0000172	AAEL020253	AGAP011609
OG0000172	AAEL011332	AGAP011618
OG0000173	AAEL014515	AGAP029928
OG0000174	AAEL029047	AGAP000694
OG0000174	AAEL029038, AAEL029046, AAEL029041, AAEL029044	AGAP000693
OG0000180	AAEL021730, AAEL002208, AAEL029006, AAEL022045, AAEL002239, AAEL002189, AAEL002245, AAEL002202	AGAP008448
OG0000181	AAEL004729, AAEL026708, AAEL023262, AAEL004730, AAEL025094	AGAP006076, AGAP006077, AGAP006078, AGAP006079, AGAP006075
OG0000182	AAEL005407	AGAP003722, AGAP012784
OG0000182	AAEL005412, AAEL005426, AAEL005417	AGAP003720
OG0000182	AAEL005408	AGAP003721
OG0000183	AAEL005786, AAEL019497, AAEL022007, AAEL009434, AAEL019498	AGAP002979, AGAP002423, AGAP002973
OG0000184	AAEL005999	AGAP009519
OG0000184	AAEL006003	AGAP009520
OG0000185	AAEL013981, AAEL013983, AAEL021888	AGAP029203, AGAP010657
OG0000185	AAEL008045	AGAP005768
OG0000187	AAEL000035	AGAP002905
OG0000188	AAEL017003, AAEL003253, AAEL003243	AGAP004855
OG0000189	AAEL003743	AGAP003711
OG0000189	AAEL006390	AGAP001588, AGAP012818
OG0000189	AAEL014053	AGAP001587
OG0000190	AAEL020855	AGAP029641
OG0000190	AAEL023141	AGAP008320
OG0000190	AAEL003982	AGAP009683
OG0000191	AAEL007085, AAEL024044	AGAP005966, AGAP005967, AGAP005968, AGAP005969
OG0000192	AAEL018352	AGAP008588
OG0000192	AAEL008055	AGAP002152
OG0000192	AAEL007664	AGAP000962
OG0000193	AAEL018151, AAEL008595	AGAP002022
OG0000194	AAEL022256, AAEL009193	AGAP009540, AGAP009541, AGAP012649
OG0000196	AAEL014662, AAEL011677, AAEL019722	AGAP008557
OG0000200	AAEL019407	AGAP011195
OG0000200	AAEL000536	AGAP011194
OG0000200	AAEL000123	AGAP002325
OG0000201	AAEL001839	AGAP006207
OG0000201	AAEL020195, AAEL001844	AGAP006208
OG0000201	AAEL001840	AGAP006209
OG0000202	AAEL012457, AAEL012455	AGAP000288
OG0000202	AAEL003617, AAEL026142, AAEL011356	AGAP000289
OG0000203	AAEL003626	AGAP029591
OG0000203	AAEL003641, AAEL003619	AGAP029307
OG0000203	AAEL018304	AGAP028615
OG0000204	AAEL014078	AGAP006911
OG0000204	AAEL005665	AGAP006910
OG0000204	AAEL014079	AGAP006909
OG0000205	AAEL008898	AGAP029783, AGAP012696
OG0000205	AAEL007913	AGAP009551, AGAP012673, AGAP009553, AGAP012672, AGAP009552
OG0000206	AAEL009935, AAEL009945, AAEL009938	AGAP008630, AGAP028029
OG0000206	AAEL006668	AGAP008627
OG0000207	AAEL027951, AAEL026297, AAEL007619	AGAP001002, AGAP010637, AGAP000999, AGAP029166, AGAP013027, AGAP010669, AGAP010636, AGAP010634, AGAP001004
OG0000208	AAEL008274	AGAP011182
OG0000208	AAEL008259, AAEL027364	AGAP011183
OG0000208	AAEL023637, AAEL008283	AGAP011184
OG0000209	AAEL020200	AGAP011893
OG0000210	AAEL022562, AAEL013032	AGAP011432, AGAP029292, AGAP029324, AGAP029065, AGAP029748, AGAP029117, AGAP011431, AGAP029749, AGAP029750, AGAP029747, AGAP008891
OG0000217	AAEL002994	AGAP012963
OG0000217	AAEL001622	AGAP000310
OG0000217	AAEL003013	AGAP003365
OG0000218	AAEL001969	AGAP008054
OG0000218	AAEL002028	AGAP008052, AGAP008051
OG0000219	AAEL002940	AGAP005907
OG0000219	AAEL012431, AAEL010858, AAEL012430, AAEL024868, AAEL010853	AGAP000907
OG0000220	AAEL002964	AGAP013166
OG0000220	AAEL002969, AAEL002959	AGAP013260
OG0000220	AAEL002972	AGAP002457
OG0000221	AAEL021590, AAEL003079	AGAP007990
OG0000221	AAEL014371, AAEL008560	AGAP006775
OG0000222	AAEL021010, AAEL019957	AGAP028196
OG0000222	AAEL026731, AAEL011822, AAEL004240	AGAP008915
OG0000223	AAEL006487	AGAP001185
OG0000223	AAEL006995	AGAP001966
OG0000223	AAEL007016	AGAP013429
OG0000224	AAEL006835	AGAP013366, AGAP012995, AGAP029279, AGAP013463
OG0000225	AAEL014413	AGAP003067
OG0000225	AAEL014411, AAEL014412	AGAP003066, AGAP003065
OG0000226	AAEL027179	AGAP002446, AGAP012970, AGAP002448, AGAP002447
OG0000229	AAEL000515, AAEL000505	AGAP003236
OG0000229	AAEL024475	AGAP002137, AGAP002008
OG0000230	AAEL021401, AAEL006228, AAEL024098, AAEL001015, AAEL005000	AGAP028050, AGAP008670, AGAP008671
OG0000231	AAEL001743, AAEL001735, AAEL008873, AAEL008866, AAEL008869, AAEL008872	AGAP006013, AGAP006012
OG0000232	AAEL002043, AAEL026706	AGAP005657, AGAP012667, AGAP005660, AGAP005656
OG0000233	AAEL007602, AAEL003060	AGAP001190
OG0000233	AAEL009843	AGAP001199
OG0000234	AAEL019609	AGAP007802
OG0000234	AAEL007447	AGAP007808
OG0000234	AAEL007449	AGAP007803
OG0000235	AAEL008843, AAEL008580, AAEL024616	AGAP013372, AGAP000706, AGAP013152, AGAP012911, AGAP012124
OG0000236	AAEL009206	AGAP001202, AGAP012383
OG0000237	AAEL022081, AAEL012350	AGAP003501, AGAP003500
OG0000244	AAEL001196	AGAP009715, AGAP009722, AGAP009717, AGAP028644, AGAP009716, AGAP009723, AGAP009711
OG0000245	AAEL010893	AGAP002360, AGAP002359
OG0000245	AAEL000843, AAEL010894	AGAP013402
OG0000246	AAEL001059	AGAP012702, AGAP004173, AGAP004383, AGAP012839, AGAP004381, AGAP004382, AGAP012838, AGAP004380
OG0000247	AAEL001683, AAEL001677	AGAP006146, AGAP006145
OG0000247	AAEL001704	AGAP006148
OG0000248	AAEL001822, AAEL001816	AGAP008404
OG0000248	AAEL018042	AGAP028212
OG0000248	AAEL018041	AGAP028060
OG0000249	AAEL003738, AAEL003726, AAEL003740, AAEL003728, AAEL023973	AGAP004935, AGAP005326
OG0000250	AAEL004580	AGAP002055
OG0000250	AAEL004582	AGAP002058
OG0000250	AAEL004575	AGAP002056
OG0000251	AAEL006353, AAEL006344	AGAP012697, AGAP029782, AGAP029784
OG0000251	AAEL006338	AGAP029623, AGAP012647, AGAP029785
OG0000252	AAEL007257, AAEL007251, AAEL014554	AGAP028629
OG0000252	AAEL024448	AGAP011674
OG0000253	AAEL007993, AAEL007992	AGAP001648
OG0000254	AAEL012040	AGAP004634
OG0000254	AAEL009916	AGAP013293
OG0000255	AAEL012770, AAEL012762, AAEL020553, AAEL011761, AAEL022568, AAEL012769, AAEL012765	AGAP002195, AGAP002197
OG0000256	AAEL012425, AAEL012422	AGAP002765, AGAP002767, AGAP002769
OG0000257	AAEL019890, AAEL027350	AGAP008795, AGAP028220, AGAP008796
OG0000265	AAEL008213, AAEL008211	AGAP007255, AGAP007266
OG0000265	AAEL000249	AGAP000253
OG0000266	AAEL013662	AGAP008867
OG0000266	AAEL000757	AGAP007794, AGAP007793
OG0000267	AAEL001061	AGAP004164
OG0000267	AAEL010582	AGAP004378
