Orthogroup	AaegyptiLVP_AGWG	LlongipalpisASM
OG0000037	AAEL008895	LOC129794681, LOC129790942
OG0000041	AAEL007044, AAEL007060, AAEL007063, AAEL007051, AAEL007070, AAEL007052, AAEL023132	LOC129796428, LOC129796429, LOC129796432, LOC129795648, LOC129796430, LOC129796431
OG0000046	AAEL007969, AAEL021678, AAEL002273, AAEL011624, AAEL010866, AAEL010867, AAEL005753	LOC129797654
OG0000049	AAEL002595, AAEL002590, AAEL002600, AAEL002629	LOC129794518
OG0000051	AAEL004769, AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758, AAEL024588	LOC129786156
OG0000052	AAEL017475	LOC129794482
OG0000052	AAEL024686, AAEL020852, AAEL006627, AAEL007938, AAEL011929, AAEL011916	LOC129790600, LOC129794525, LOC129792980, LOC129794483, LOC129786796, LOC129795916, LOC129795917, LOC129795920, LOC129795921, LOC129795919, LOC129792330, LOC129792977, LOC129795918, LOC129796369, LOC129795146, LOC129795143, LOC129795145, LOC129795365, LOC129795124, LOC129795125, LOC129795126, LOC129795144, LOC129794484, LOC129796215, LOC129796367, LOC129794515
OG0000055	AAEL019403	LOC129797106
OG0000055	AAEL026446	LOC129792602
OG0000055	AAEL025647	LOC129791974
OG0000055	AAEL023321, AAEL017975, AAEL027610, AAEL017976, AAEL020330, AAEL020571	LOC129793457, LOC129787314
OG0000058	AAEL008632, AAEL026976, AAEL008624	LOC129790208, LOC129796355, LOC129795518, LOC129789259, LOC129786833, LOC129786898, LOC129787589
OG0000058	AAEL008625, AAEL008628	LOC129790199
OG0000059	AAEL022646, AAEL002360, AAEL002347, AAEL024934	LOC129794147
OG0000061	AAEL026011, AAEL007673	LOC129795031
OG0000061	AAEL006719	LOC129795029, LOC129795028
OG0000061	AAEL008456, AAEL008452, AAEL013421, AAEL008451	LOC129795034
OG0000064	AAEL024986, AAEL014561, AAEL021735, AAEL025303, AAEL013027, AAEL017403, AAEL026426, AAEL017501	LOC129790088, LOC129790085
OG0000067	AAEL003434, AAEL000678, AAEL000647, AAEL000642	LOC129796553, LOC129796550, LOC129789877, LOC129796549
OG0000067	AAEL009524, AAEL000667	LOC129796552
OG0000068	AAEL024556, AAEL013512, AAEL013520, AAEL007194, AAEL007192, AAEL013514	LOC129794030
OG0000068	AAEL011444, AAEL013515	LOC129794029, LOC129794026, LOC129794027
OG0000069	AAEL015140, AAEL015136, AAEL009556, AAEL009555, AAEL009553	LOC129797773, LOC129786174, LOC129792812
OG0000071	AAEL007812, AAEL002085, AAEL003399, AAEL013798	LOC129797006
OG0000072	AAEL013229	LOC129787850, LOC129787849
OG0000072	AAEL012101	LOC129787717
OG0000073	AAEL007136, AAEL007131, AAEL007128, AAEL007139	LOC129790978, LOC129789240, LOC129791095, LOC129786082, LOC129794430, LOC129789666, LOC129795974, LOC129794559, LOC129796201, LOC129786939, LOC129791894, LOC129796558, LOC129796557, LOC129786080, LOC129796556, LOC129791096, LOC129791101, LOC129791098, LOC129791103, LOC129789241, LOC129791100
OG0000077	AAEL021375, AAEL026915	LOC129789368, LOC129791094
OG0000077	AAEL015020, AAEL015573, AAEL015021, AAEL015022	LOC129793367
OG0000078	AAEL026917, AAEL028137, AAEL020146, AAEL024476	LOC129795036
OG0000079	AAEL023932, AAEL006498, AAEL006259, AAEL005621, AAEL005625, AAEL006484, AAEL024685	LOC129796831
OG0000080	AAEL012700, AAEL012702, AAEL012698, AAEL008384, AAEL008386	LOC129790108
OG0000086	AAEL012778, AAEL008163, AAEL008162, AAEL022247, AAEL019828, AAEL009108	LOC129787729, LOC129787734
OG0000088	AAEL001517, AAEL000546, AAEL000530, AAEL000545, AAEL008532, AAEL004724	LOC129795927, LOC129794489, LOC129796007
OG0000090	AAEL003723, AAEL003712	LOC129787919, LOC129787933
OG0000090	AAEL017132, AAEL015404	LOC129793252
OG0000091	AAEL006992, AAEL006989, AAEL003890, AAEL007010, AAEL021861, AAEL007024	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148
OG0000096	AAEL002851	LOC129794915
OG0000096	AAEL019894, AAEL005052, AAEL005084, AAEL002848	LOC129794914
OG0000097	AAEL009561, AAEL009559, AAEL009567, AAEL009566, AAEL029014	LOC129797700, LOC129797734
OG0000108	AAEL022600, AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974
OG0000109	AAEL018267	LOC129796958
OG0000109	AAEL023958	LOC129787301
OG0000109	AAEL019847, AAEL012395	LOC129787299, LOC129787302
OG0000114	AAEL002241, AAEL002191, AAEL002229, AAEL002211, AAEL025678, AAEL002231, AAEL002246, AAEL002223, AAEL002233, AAEL002187	LOC129791409
OG0000115	AAEL004247, AAEL022427	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063
OG0000116	AAEL005045, AAEL017209, AAEL005043, AAEL005026	LOC129790116, LOC129790115, LOC129790117
OG0000116	AAEL004743	LOC129791153
OG0000117	AAEL020121, AAEL022048	LOC129796173, LOC129789407, LOC129796171, LOC129789263, LOC129788638
OG0000120	AAEL019920, AAEL005609, AAEL005607, AAEL019919, AAEL005594, AAEL005611	LOC129795901, LOC129797227
OG0000128	AAEL000904, AAEL000918	LOC129794451, LOC129794450
OG0000128	AAEL019933	LOC129794553, LOC129795542, LOC129795535
OG0000129	AAEL012683, AAEL012688, AAEL002373, AAEL012680, AAEL012685, AAEL001195	LOC129797028
OG0000130	AAEL008160, AAEL002228, AAEL022506, AAEL029069, AAEL020799, AAEL002237	LOC129795831, LOC129797298
OG0000131	AAEL024660	LOC129792347
OG0000131	AAEL003272, AAEL003226	LOC129797128
OG0000131	AAEL003259	LOC129792345
OG0000132	AAEL003844, AAEL005293, AAEL012003, AAEL003840	LOC129794613
OG0000133	AAEL004091, AAEL014230	LOC129795866, LOC129794696
OG0000134	AAEL019678, AAEL005113, AAEL023844, AAEL005123, AAEL019679	LOC129792867
OG0000135	AAEL023962, AAEL029067, AAEL006011	LOC129786134
OG0000136	AAEL013227, AAEL013233, AAEL021425, AAEL006287, AAEL013692, AAEL008098, AAEL007698	LOC129797461, LOC129792712, LOC129794643, LOC129788901
OG0000142	AAEL002426, AAEL002432	LOC129792316, LOC129793845
OG0000142	AAEL002408	LOC129797567
OG0000143	AAEL007795, AAEL007807, AAEL007815, AAEL007808, AAEL007816	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158
OG0000146	AAEL007592, AAEL015137, AAEL001654, AAEL001650, AAEL001634, AAEL007591	LOC129797766, LOC129797769, LOC129797768
OG0000147	AAEL006827, AAEL002031, AAEL001960, AAEL002005	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470
OG0000148	AAEL017451	LOC129796639
OG0000148	AAEL002676	LOC129790546
OG0000150	AAEL003497	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164
OG0000151	AAEL004025	LOC129787141, LOC129787139, LOC129787137, LOC129787138, LOC129787316, LOC129788322, LOC129794423, LOC129794422, LOC129787140, LOC129791519, LOC129796677, LOC129794556, LOC129795292, LOC129792484, LOC129792407, LOC129787123, LOC129794546, LOC129794547, LOC129787135, LOC129787132, LOC129787133
OG0000152	AAEL011180	LOC129794238
OG0000152	AAEL005259	LOC129787698
OG0000154	AAEL009130, AAEL009129, AAEL009123, AAEL009131	LOC129791038
OG0000157	AAEL026898, AAEL021701, AAEL023616, AAEL027162, AAEL024662, AAEL025947, AAEL027079, AAEL024834, AAEL027392	LOC129793002
OG0000160	AAEL024826, AAEL027417, AAEL002264, AAEL023094, AAEL022840, AAEL022131, AAEL020119	LOC129797691, LOC129797713, LOC129786217
OG0000161	AAEL006159	LOC129788698
OG0000161	AAEL004798, AAEL002467	LOC129790631
OG0000162	AAEL007604, AAEL002617, AAEL002606, AAEL002587	LOC129792306
OG0000163	AAEL004507, AAEL022219, AAEL004486	LOC129793077, LOC129787054, LOC129793078
OG0000164	AAEL007511	LOC129788007
OG0000164	AAEL026347, AAEL014567, AAEL007514	LOC129786795
OG0000165	AAEL008017, AAEL025214, AAEL008018	LOC129785838
OG0000166	AAEL013556, AAEL013554, AAEL014830, AAEL014019	LOC129793375, LOC129794220, LOC129793372
OG0000168	AAEL022694, AAEL023789, AAEL026755	LOC129794488, LOC129790101, LOC129789274, LOC129792331, LOC129791920, LOC129786930, LOC129797845, LOC129789265, LOC129791561, LOC129796576, LOC129793681, LOC129794571, LOC129794306, LOC129787707, LOC129789113, LOC129791255, LOC129787192, LOC129794567, LOC129787033, LOC129794523, LOC129791763, LOC129795621, LOC129796824, LOC129786913
OG0000171	AAEL027547, AAEL017192, AAEL023653, AAEL005134	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346
OG0000172	AAEL026737, AAEL020253, AAEL011332	LOC129796083
OG0000173	AAEL011550, AAEL011547, AAEL011555, AAEL014515	LOC129796378, LOC129791724, LOC129796377, LOC129787463
OG0000174	AAEL029106, AAEL029105, AAEL029047, AAEL029038, AAEL029046, AAEL029041, AAEL029044, AAEL029104	LOC129785929
OG0000183	AAEL005786, AAEL019497, AAEL022007, AAEL009434, AAEL019498	LOC129786975, LOC129786974
OG0000184	AAEL005999, AAEL006003, AAEL006005	LOC129794345
OG0000187	AAEL000035	LOC129796892
OG0000188	AAEL017003, AAEL003253, AAEL003243	LOC129786978
OG0000189	AAEL003743	LOC129787889
OG0000189	AAEL006390, AAEL014053	LOC129787087
OG0000190	AAEL024092, AAEL020855	LOC129790672
OG0000190	AAEL023141, AAEL003982	LOC129789849
OG0000192	AAEL018352	LOC129789885
OG0000192	AAEL008055	LOC129791401
OG0000192	AAEL007664	LOC129789886
OG0000193	AAEL018151, AAEL008595	LOC129791916, LOC129788591, LOC129786638
OG0000194	AAEL009207, AAEL009204, AAEL022256, AAEL009193, AAEL009203	LOC129795950
OG0000196	AAEL014662, AAEL011677, AAEL019722	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795
OG0000200	AAEL019407	LOC129796145
OG0000200	AAEL000536, AAEL000123	LOC129786068
OG0000201	AAEL001839, AAEL020195, AAEL001844, AAEL001840	LOC129792426, LOC129792425, LOC129792423
OG0000202	AAEL012457, AAEL012455, AAEL003617, AAEL026142, AAEL011356	LOC129795977
OG0000204	AAEL014078, AAEL005665, AAEL014079	LOC129790266
OG0000206	AAEL009935, AAEL009945, AAEL009938	LOC129791163
OG0000206	AAEL006668	LOC129791164
OG0000207	AAEL027951, AAEL026297, AAEL007619	LOC129791699
OG0000208	AAEL008274, AAEL008259, AAEL027364, AAEL023637, AAEL008283	LOC129796425
OG0000209	AAEL009411, AAEL020200, AAEL013025, AAEL023532, AAEL021302	LOC129787514, LOC129785969
OG0000217	AAEL002994	LOC129790202
OG0000217	AAEL001622	LOC129790328
OG0000217	AAEL003013	LOC129793020
OG0000218	AAEL002022, AAEL001964, AAEL001969, AAEL002028	LOC129795659
OG0000220	AAEL002964, AAEL002969, AAEL002959, AAEL002972	LOC129787563
OG0000222	AAEL021010, AAEL019957, AAEL026731, AAEL011822, AAEL004240	LOC129788692
OG0000223	AAEL006487, AAEL006995, AAEL007016	LOC129786636
OG0000224	AAEL006835	LOC129786419
OG0000225	AAEL014413, AAEL014411, AAEL014412	LOC129797834, LOC129797833
OG0000229	AAEL000515, AAEL000505, AAEL024475	LOC129787399, LOC129793458
OG0000231	AAEL001743, AAEL001735, AAEL008873, AAEL008866, AAEL008869, AAEL008872	LOC129794015
OG0000232	AAEL002043, AAEL026706	LOC129791885
OG0000233	AAEL007602, AAEL003060, AAEL009843	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369
OG0000234	AAEL019609, AAEL007447, AAEL007449	LOC129793719, LOC129790671
OG0000235	AAEL008843, AAEL008580, AAEL024616	LOC129790399, LOC129790400
OG0000236	AAEL009206	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313
OG0000237	AAEL022081, AAEL012350	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873
OG0000238	AAEL020346	LOC129792859
OG0000244	AAEL001196, AAEL000597	LOC129788572
OG0000245	AAEL010893, AAEL000843, AAEL010894	LOC129788329, LOC129791448, LOC129788328
OG0000248	AAEL001822, AAEL001816, AAEL018042, AAEL018041	LOC129790447
OG0000250	AAEL004580	LOC129791946
OG0000250	AAEL004582, AAEL004575	LOC129792061
OG0000254	AAEL012040, AAEL009916, AAEL009798, AAEL012176	LOC129794727, LOC129794738
OG0000259	AAEL022953, AAEL025308	LOC129789876, LOC129791517
OG0000259	AAEL023720, AAEL020899	LOC129794510
OG0000265	AAEL008213, AAEL008211, AAEL000249	LOC129794745
OG0000266	AAEL013662, AAEL000757	LOC129788826
OG0000267	AAEL001061, AAEL010582	LOC129792282, LOC129787468, LOC129787465, LOC129787466, LOC129787467, LOC129792219, LOC129787464
OG0000268	AAEL002690, AAEL002692	LOC129790334, LOC129790344
OG0000269	AAEL003195, AAEL026083, AAEL023346, AAEL003196, AAEL020734, AAEL021498, AAEL003181, AAEL022449, AAEL003201, AAEL028198, AAEL003187, AAEL024002	LOC129786292
OG0000270	AAEL003444, AAEL003439	LOC129795988
OG0000271	AAEL004778, AAEL017453, AAEL004739	LOC129789622
OG0000272	AAEL008861, AAEL008858, AAEL008876	LOC129792269
OG0000273	AAEL008928, AAEL008931	LOC129794573, LOC129794527, LOC129794600
OG0000274	AAEL010098, AAEL010099, AAEL024977	LOC129788675, LOC129795658, LOC129788672, LOC129795638
OG0000277	AAEL013198, AAEL026420	LOC129791521
OG0000278	AAEL013217	LOC129786521, LOC129791056, LOC129791052
OG0000280	AAEL029034, AAEL029031, AAEL020258	LOC129794053
OG0000286	AAEL022696, AAEL000613, AAEL000628, AAEL000614, AAEL006465, AAEL017294	LOC129786965
OG0000289	AAEL003317, AAEL003297, AAEL003298	LOC129789651, LOC129789648, LOC129789646
OG0000290	AAEL004103, AAEL004092	LOC129794578
OG0000291	AAEL004592	LOC129796116
OG0000291	AAEL024570	LOC129791815
OG0000292	AAEL004935, AAEL004923	LOC129789397
OG0000293	AAEL019520, AAEL005702, AAEL010609	LOC129794823, LOC129788774
OG0000294	AAEL022989, AAEL007040	LOC129789645
OG0000294	AAEL006160	LOC129789635
OG0000296	AAEL006424, AAEL026087, AAEL006417	LOC129789943
OG0000297	AAEL006818, AAEL006829	LOC129791271, LOC129795319, LOC129790452, LOC129793248
OG0000299	AAEL007893, AAEL008152, AAEL027985, AAEL008159	LOC129797703
OG0000301	AAEL011053	LOC129791350
OG0000302	AAEL015566, AAEL015567, AAEL011499	LOC129794019, LOC129794016
OG0000303	AAEL019496, AAEL026551, AAEL011563	LOC129786927
OG0000304	AAEL014541	LOC129788607
OG0000304	AAEL014537	LOC129788353
OG0000305	AAEL019599	LOC129788936
OG0000306	AAEL022773	LOC129792581
OG0000319	AAEL026313, AAEL027346, AAEL001010	LOC129792976, LOC129792973
OG0000324	AAEL005749, AAEL005752, AAEL005763	LOC129791049
OG0000325	AAEL005884, AAEL005759, AAEL007339, AAEL005890	LOC129793668
OG0000326	AAEL007169, AAEL006077	LOC129786690
OG0000327	AAEL006684, AAEL012580, AAEL021830, AAEL024894, AAEL019749, AAEL019750, AAEL027138, AAEL010580, AAEL006679, AAEL022785, AAEL025034	LOC129788407
OG0000328	AAEL026562, AAEL006696, AAEL022561, AAEL006692	LOC129795928
OG0000329	AAEL008634, AAEL008622	LOC129790306
OG0000330	AAEL012245, AAEL009580	LOC129790371
OG0000331	AAEL011658, AAEL011662	LOC129786465
OG0000332	AAEL011931	LOC129787519
OG0000333	AAEL012421	LOC129792561
OG0000334	AAEL013154	LOC129789420, LOC129789377, LOC129789388, LOC129789243, LOC129789387, LOC129789380, LOC129789362, LOC129789379, LOC129789244, LOC129789242, LOC129789359, LOC129789374
OG0000336	AAEL024525, AAEL021016	LOC129790183, LOC129792929
OG0000337	AAEL022318, AAEL024484	LOC129794112
OG0000344	AAEL000073, AAEL012377	LOC129796894, LOC129796895, LOC129786968
OG0000345	AAEL000200, AAEL000165	LOC129786395
OG0000349	AAEL013991, AAEL013997, AAEL001041	LOC129793891
OG0000350	AAEL001248, AAEL001256, AAEL001278, AAEL001258, AAEL014835, AAEL001286, AAEL001263	LOC129793586
OG0000351	AAEL001519, AAEL001509	LOC129794682
OG0000352	AAEL024332, AAEL001566	LOC129786247
OG0000352	AAEL005791	LOC129786294
OG0000353	AAEL001745, AAEL001732, AAEL001740	LOC129794007
OG0000354	AAEL006113, AAEL002541	LOC129787091
OG0000355	AAEL002967, AAEL002979	LOC129787439
OG0000356	AAEL003069	LOC129786611, LOC129786607, LOC129786612, LOC129786240
OG0000357	AAEL003506, AAEL003504	LOC129797618
OG0000358	AAEL006123	LOC129787783, LOC129797167, LOC129797169, LOC129797027, LOC129797035, LOC129797023, LOC129797038, LOC129797042, LOC129787344, LOC129787327, LOC129787329, LOC129787336, LOC129787342, LOC129787333, LOC129787334, LOC129787352, LOC129787351
OG0000359	AAEL010434, AAEL006138, AAEL006126	LOC129793872
OG0000360	AAEL006355, AAEL006361	LOC129793800
OG0000360	AAEL006337	LOC129796548
OG0000363	AAEL009863, AAEL009860, AAEL020112, AAEL022139	LOC129797000
OG0000364	AAEL011346, AAEL011348, AAEL009968	LOC129791717
OG0000365	AAEL011314, AAEL011313	LOC129787071
OG0000367	AAEL012509	LOC129794337, LOC129792101, LOC129795024
OG0000368	AAEL012866, AAEL012870, AAEL012860	LOC129790768, LOC129790769, LOC129796330, LOC129790703, LOC129790738, LOC129790737, LOC129790736
OG0000369	AAEL015073, AAEL022846, AAEL019808	LOC129790261
OG0000370	AAEL017446	LOC129794441, LOC129794442, LOC129794443
OG0000370	AAEL017182	LOC129786379
OG0000371	AAEL019862	LOC129794045
OG0000372	AAEL023438, AAEL021785	LOC129790937
OG0000381	AAEL008574, AAEL000735	LOC129792906, LOC129792907, LOC129792591
OG0000382	AAEL000797	LOC129786797, LOC129796311
OG0000382	AAEL000834	LOC129796310
OG0000383	AAEL000810	LOC129785995
OG0000383	AAEL019951	LOC129787610, LOC129794998
OG0000386	AAEL007218, AAEL007220, AAEL001747	LOC129794213
OG0000387	AAEL001769, AAEL002083	LOC129792588
