Orthogroup	AaegyptiLVP_AGWG	Aalbopictus_AalbF5
OG0000012	AAEL022066, AAEL021946, AAEL021903	LOC134284526
OG0000012	AAEL021049, AAEL003685, AAEL021142	LOC134284428
OG0000012	AAEL012072	LOC115255203
OG0000012	AAEL021161	LOC115264617
OG0000012	AAEL020810	LOC115258846
OG0000012	AAEL021754	LOC115270054
OG0000012	AAEL011424	LOC134289521
OG0000013	AAEL009791, AAEL009790, AAEL020010, AAEL009802	LOC109411041, LOC115268685, LOC109398584
OG0000013	AAEL009783, AAEL009788, AAEL009803	LOC109411057, LOC109398582
OG0000013	AAEL015363	LOC109411037
OG0000013	AAEL009793	LOC109398594
OG0000013	AAEL009807	LOC115264164
OG0000013	AAEL009796	LOC109411043
OG0000013	AAEL009784, AAEL009801	LOC109398585
OG0000013	AAEL015163	LOC109411044
OG0000013	AAEL023763, AAEL002110	LOC109429135
OG0000013	AAEL002099	LOC109409015
OG0000013	AAEL026306, AAEL027846, AAEL028212	LOC109409017
OG0000013	AAEL002092	LOC109429134
OG0000014	AAEL003156	LOC109621611, LOC109400072
OG0000014	AAEL007942	LOC109426996
OG0000014	AAEL020192	LOC109419319
OG0000014	AAEL011007	LOC134287244, LOC134284611, LOC115263125, LOC109403796, LOC134284614, LOC134284612, LOC134284613, LOC109416944, LOC109430246
OG0000015	AAEL010671	LOC109401312
OG0000015	AAEL017179	LOC109399647
OG0000015	AAEL007669, AAEL029052	LOC109400779, LOC115267833, LOC109400783, LOC115267832, LOC109400782
OG0000015	AAEL017320	LOC109399572, LOC109400780
OG0000015	AAEL017302	LOC109400781, LOC109399573, LOC115265241
OG0000015	AAEL001461	LOC109403546, LOC109422912
OG0000015	AAEL017452	LOC109399576, LOC115267834
OG0000016	AAEL010202	LOC134284486, LOC134284488, LOC134284487
OG0000016	AAEL013712, AAEL010196	LOC134284484, LOC134284485
OG0000016	AAEL013703	LOC134284267
OG0000016	AAEL007601, AAEL023729, AAEL013715	LOC134284491, LOC134284266, LOC134284489, LOC134284490
OG0000016	AAEL012852	LOC109397098
OG0000016	AAEL006425	LOC109407316
OG0000016	AAEL007818	LOC109411296
OG0000016	AAEL004996	LOC109622023
OG0000017	AAEL003846	LOC115255204, LOC115264603, LOC115255220, LOC115261269, LOC115254888, LOC115270071
OG0000017	AAEL021540	LOC109420140
OG0000017	AAEL021577	LOC115264614
OG0000017	AAEL021628, AAEL020517, AAEL020976, AAEL020216	LOC109404554
OG0000017	AAEL020914	LOC115264622
OG0000017	AAEL021529	LOC109397483
OG0000017	AAEL021405	LOC115264629
OG0000017	AAEL003673	LOC109431226
OG0000017	AAEL021956	LOC115270064
OG0000017	AAEL013709	LOC115261275
OG0000017	AAEL020032	LOC109397470
OG0000018	AAEL018005, AAEL025919, AAEL023550, AAEL022469	LOC115257567, LOC115255481
OG0000018	AAEL027321, AAEL024352, AAEL023264	LOC115259833
OG0000018	AAEL022185, AAEL022664	LOC115255035, LOC109417501, LOC115261637
OG0000018	AAEL023871, AAEL018047	LOC109414562
OG0000018	AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374	LOC134287442, LOC115256715
OG0000018	AAEL020762, AAEL026324	LOC115260339
OG0000020	AAEL008681	LOC109406040
OG0000021	AAEL004631	LOC109404004
OG0000021	AAEL001673	LOC115267287
OG0000021	AAEL011197	LOC115253654
OG0000021	AAEL004616	LOC109432057
OG0000021	AAEL001928	LOC109412626
OG0000021	AAEL009451	LOC109432714
OG0000021	AAEL001951	LOC109412625
OG0000021	AAEL005964	LOC109401551
OG0000021	AAEL005961	LOC109412623
OG0000023	AAEL000351	LOC109400700, LOC109399437
OG0000023	AAEL029065	LOC115266810, LOC115266791
OG0000023	AAEL000323	LOC109400762
OG0000023	AAEL024983	LOC109400701, LOC109400768
OG0000024	AAEL006157	LOC109421858, LOC109413809
OG0000024	AAEL010380	LOC109408695
OG0000024	AAEL017311	LOC109408675
OG0000024	AAEL010367	LOC109403004
OG0000024	AAEL024680	LOC109408692
OG0000024	AAEL010384	LOC109408663
OG0000024	AAEL010370	LOC134284686
OG0000024	AAEL010382	LOC109408662
OG0000024	AAEL026787	LOC109408659
OG0000026	AAEL013493	LOC109423856
OG0000026	AAEL015116, AAEL015113	LOC115270199
OG0000026	AAEL013492	LOC115269863
OG0000026	AAEL011763	LOC109431713
OG0000026	AAEL011764	LOC115267476
OG0000026	AAEL020579	LOC115260125
OG0000026	AAEL014544	LOC109622447
OG0000027	AAEL012642	LOC109398505
OG0000027	AAEL012648	LOC109406559
OG0000027	AAEL012653	LOC109406548
OG0000027	AAEL015254	LOC109406550
OG0000027	AAEL015252	LOC109406555
OG0000027	AAEL012641	LOC109406551
OG0000027	AAEL012649	LOC109398494
OG0000027	AAEL012646	LOC109417369, LOC109417371, LOC109398522
OG0000027	AAEL012652, AAEL012645, AAEL027171	LOC109398512, LOC109398504, LOC109406556, LOC109398492
OG0000027	AAEL012651, AAEL025465	LOC109406557, LOC109406553
OG0000027	AAEL012644	LOC109417368
OG0000027	AAEL012650	LOC115262615
OG0000027	AAEL012647	LOC115262616
OG0000030	AAEL019959, AAEL001794	LOC109417125
OG0000030	AAEL019958	LOC115255076, LOC134289023
OG0000033	AAEL005064	LOC109424827
OG0000033	AAEL000038	LOC134290105, LOC109416028
OG0000033	AAEL000074	LOC109414923
OG0000033	AAEL000037	LOC109416027
OG0000033	AAEL000028	LOC109414897
OG0000033	AAEL000099	LOC109416024, LOC109416023
OG0000034	AAEL013549	LOC109623143
OG0000034	AAEL002258	LOC109623114
OG0000034	AAEL002279	LOC109623111
OG0000034	AAEL011868	LOC109623152
OG0000034	AAEL013547	LOC109426767
OG0000035	AAEL009610	LOC109431735
OG0000035	AAEL025842, AAEL013024	LOC109419479, LOC115269187
OG0000036	AAEL000543	LOC109621427, LOC115268191
OG0000036	AAEL011455, AAEL002524	LOC115258235
OG0000036	AAEL027443	LOC109399223
OG0000036	AAEL005641	LOC109422845
OG0000036	AAEL029058	LOC115258435, LOC134291920, LOC115268349
OG0000036	AAEL029053, AAEL022823	LOC134284838, LOC109402623
OG0000036	AAEL000556	LOC115258436, LOC115267974
OG0000036	AAEL000533	LOC115258437
OG0000036	AAEL009209	LOC109400424, LOC115259586
OG0000036	AAEL011079	LOC109420761
OG0000036	AAEL011408	LOC109411420, LOC109426308
OG0000036	AAEL011404, AAEL011407, AAEL012353, AAEL027215	LOC109402129
OG0000036	AAEL023353	LOC109426305
OG0000036	AAEL000283	LOC109420276, LOC109397320
OG0000036	AAEL025802, AAEL029039	LOC109622701, LOC109622702
OG0000037	AAEL008895	LOC115267800
OG0000039	AAEL002693	LOC115267561, LOC109404256
OG0000039	AAEL006524	LOC109416577
OG0000039	AAEL002682	LOC109429852
OG0000039	AAEL002476	LOC109433331
OG0000039	AAEL009239	LOC109431626
OG0000039	AAEL000793	LOC109401619
OG0000040	AAEL008368	LOC109426099
OG0000040	AAEL022663	LOC109429627, LOC109623406
OG0000040	AAEL020825	LOC109429616
OG0000040	AAEL008448	LOC109424203
OG0000041	AAEL007044	LOC109426885
OG0000041	AAEL007060	LOC109623326
OG0000041	AAEL007063	LOC109623385
OG0000041	AAEL007051	LOC109623384
OG0000041	AAEL007070	LOC109623325
OG0000041	AAEL007052	LOC109623324
OG0000041	AAEL023132	LOC109426866
OG0000042	AAEL018347	LOC109402120
OG0000045	AAEL026336, AAEL021875, AAEL024639, AAEL020919, AAEL019803	LOC115254791
OG0000045	AAEL024333	LOC115266674
OG0000045	AAEL024795, AAEL021215, AAEL027670	LOC134288587
OG0000045	AAEL000157	LOC109400123
OG0000045	AAEL021144	LOC134288132, LOC134290932
OG0000045	AAEL005377, AAEL023120	LOC134286194, LOC109424601
OG0000045	AAEL027327, AAEL017283, AAEL022558	LOC115265664, LOC115258448
OG0000045	AAEL027412	LOC115255999, LOC134286347, LOC134285044
OG0000045	AAEL022317, AAEL026643, AAEL021928, AAEL027742	LOC115269455
OG0000045	AAEL023167	LOC134288646
OG0000046	AAEL007969	LOC115265556
OG0000046	AAEL021678, AAEL002273	LOC115265451
OG0000046	AAEL011624	LOC109432544, LOC109432546, LOC115265520
OG0000046	AAEL010866	LOC115254964, LOC109416204
OG0000046	AAEL010867	LOC109431805, LOC115255534
OG0000046	AAEL005753	LOC109622330, LOC109621357, LOC109622339
OG0000048	AAEL004672	LOC109428624, LOC109422505, LOC109420363
OG0000048	AAEL004667, AAEL001508	LOC109401660
OG0000048	AAEL008856	LOC109418726, LOC134292261
OG0000049	AAEL002595	LOC115257883
OG0000049	AAEL002590	LOC115257642
OG0000049	AAEL002600	LOC115253560
OG0000049	AAEL002629	LOC109403394
OG0000051	AAEL004769	LOC134286745
OG0000051	AAEL004746	LOC134287878
OG0000051	AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758	LOC134286741, LOC134286742, LOC134287876, LOC134286737
OG0000051	AAEL024588	LOC134287877
OG0000052	AAEL017475	LOC109418812
OG0000052	AAEL024686, AAEL020852	LOC109418979
OG0000052	AAEL006627	LOC109398291
OG0000052	AAEL007938	LOC109398344
OG0000052	AAEL011929	LOC109399682
OG0000052	AAEL011916	LOC109418960
OG0000053	AAEL010055	LOC134290123
OG0000055	AAEL019403	LOC109425568
OG0000055	AAEL026446	LOC109430791
OG0000055	AAEL025647	LOC115269375
OG0000055	AAEL023321	LOC109400253
OG0000055	AAEL017975, AAEL027610	LOC115265081, LOC109423617, LOC109400264
OG0000055	AAEL017976, AAEL020330	LOC115265080, LOC115266509
OG0000055	AAEL020571	LOC115268774
OG0000057	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759	LOC109400285, LOC109400301, LOC134286750, LOC109400303
OG0000057	AAEL023487	LOC109425074
OG0000058	AAEL008632	LOC109429974
OG0000058	AAEL026976	LOC109429556
OG0000058	AAEL008624	LOC109429973
OG0000058	AAEL008625	LOC109429562
OG0000058	AAEL008628	LOC109429976
OG0000059	AAEL022646	LOC115263209
OG0000059	AAEL002360	LOC109397955
OG0000059	AAEL002347, AAEL024934	LOC109398113
OG0000060	AAEL004762	LOC109400289
OG0000060	AAEL004776, AAEL019994, AAEL019993	LOC109425201, LOC109425203, LOC109425111, LOC109425112
OG0000060	AAEL004748	LOC109400353
OG0000060	AAEL004760, AAEL004764, AAEL004742	LOC109400352, LOC109425109, LOC109400350
OG0000060	AAEL004765	LOC109425107
OG0000061	AAEL026011	LOC115262216
OG0000061	AAEL007673	LOC109407552
OG0000061	AAEL006719	LOC109426588
OG0000061	AAEL008456	LOC115260060
OG0000061	AAEL008452	LOC115253465
OG0000061	AAEL013421	LOC109412270
OG0000061	AAEL008451	LOC109397255
OG0000062	AAEL015533	LOC115259541, LOC134285567
OG0000063	AAEL005771	LOC109399308
OG0000063	AAEL005788	LOC109399296
OG0000063	AAEL020266	LOC109430420
OG0000063	AAEL000320	LOC109405725
OG0000063	AAEL012761	LOC109413826
OG0000063	AAEL005696	LOC109428843, LOC109420947
OG0000063	AAEL005775	LOC109399306
OG0000063	AAEL017215	LOC115261478
OG0000063	AAEL000338	LOC109405771
OG0000064	AAEL024986	LOC109424200, LOC109424199
OG0000064	AAEL014561, AAEL021735, AAEL025303	LOC109407215, LOC109407216, LOC109405887
OG0000064	AAEL013027	LOC109424210
OG0000064	AAEL017403	LOC109412709, LOC134285929
OG0000064	AAEL026426	LOC134285928, LOC109424208
OG0000064	AAEL017501	LOC109433412
OG0000067	AAEL003434	LOC109399585
OG0000067	AAEL000678	LOC109426033
OG0000067	AAEL000647	LOC109426036
OG0000067	AAEL000642	LOC109426037
OG0000067	AAEL009524	LOC109410996, LOC109410901
OG0000067	AAEL000667	LOC109426035
OG0000068	AAEL024556	LOC109399171
OG0000068	AAEL013512	LOC109413965
OG0000068	AAEL013520	LOC109413968
OG0000068	AAEL007194	LOC109398683
OG0000068	AAEL007192	LOC109405051
OG0000068	AAEL013514	LOC109413969
OG0000068	AAEL011444	LOC109399209
OG0000068	AAEL013515	LOC109414002
OG0000069	AAEL015140	LOC134287961
OG0000069	AAEL015136	LOC134287966
OG0000069	AAEL009556	LOC109420427
OG0000069	AAEL009555	LOC115257481
OG0000069	AAEL009553	LOC115257619
OG0000071	AAEL007812	LOC109401104
OG0000071	AAEL002085	LOC109417603
OG0000071	AAEL003399	LOC109402034
OG0000071	AAEL013798	LOC109419909
OG0000072	AAEL013229	LOC109418556
OG0000072	AAEL006642	LOC109422743
OG0000072	AAEL012101	LOC109413231
OG0000072	AAEL012424	LOC115261630
OG0000072	AAEL026111	LOC109403768
OG0000072	AAEL004172	LOC109403788
OG0000073	AAEL007136	LOC109433068
OG0000073	AAEL007131	LOC109433069
OG0000073	AAEL007128	LOC109433130
OG0000073	AAEL007139	LOC109404655
OG0000074	AAEL011460	LOC109399202
OG0000074	AAEL011454	LOC109399162
OG0000074	AAEL011449	LOC109399205
OG0000075	AAEL013444, AAEL013442	LOC109424138
OG0000075	AAEL013443	LOC109430779, LOC109424181
OG0000075	AAEL021060, AAEL025773	LOC115263087, LOC109424139, LOC115263088
OG0000075	AAEL013439	LOC115263086, LOC115263362
OG0000076	AAEL003992	LOC109433173, LOC109433174
OG0000077	AAEL021375	LOC109431700
OG0000077	AAEL026915	LOC109428459
OG0000077	AAEL015020	LOC115267608
OG0000077	AAEL015573	LOC115267631
OG0000077	AAEL015021	LOC115267607
OG0000077	AAEL015022	LOC115267620
OG0000078	AAEL024476	LOC115267917
OG0000079	AAEL023932, AAEL006498	LOC109422560
OG0000079	AAEL006259	LOC109399710
OG0000079	AAEL005621, AAEL005625	LOC109418231, LOC109428005
OG0000079	AAEL006484, AAEL024685	LOC109422721
OG0000080	AAEL012700	LOC115265252, LOC109417572
OG0000080	AAEL012702	LOC109417573
OG0000080	AAEL012698	LOC109417818
OG0000080	AAEL008384	LOC109420119
OG0000080	AAEL008386	LOC109420142
OG0000081	AAEL013347	LOC115265020
OG0000081	AAEL013352, AAEL013346	LOC109422446, LOC115265018
OG0000081	AAEL013344	LOC109422423
OG0000081	AAEL013348	LOC115265016
OG0000081	AAEL013341	LOC109425727
OG0000082	AAEL019868	LOC109408162
OG0000085	AAEL014439	LOC109412325, LOC109422704
OG0000085	AAEL014440	LOC109422705
OG0000085	AAEL003971	LOC109424438
OG0000085	AAEL003954	LOC115254680
OG0000086	AAEL012778	LOC109402934
OG0000086	AAEL008163	LOC115258102
OG0000086	AAEL008162	LOC109405184
OG0000086	AAEL022247	LOC109426350
OG0000086	AAEL019828	LOC115254457
OG0000086	AAEL009108	LOC109399012, LOC109622980
OG0000088	AAEL001517	LOC115257675, LOC115257694
OG0000088	AAEL000546	LOC109433460
OG0000088	AAEL000530	LOC115267981
OG0000088	AAEL000545	LOC109433519
OG0000088	AAEL008532	LOC109418404
OG0000088	AAEL004724	LOC109419766
OG0000089	AAEL008252	LOC109426269
OG0000089	AAEL022849	LOC134289925
OG0000089	AAEL001151	LOC134289926
OG0000089	AAEL001146	LOC134292138
OG0000090	AAEL003723	LOC109424283
OG0000090	AAEL003712	LOC109428699
OG0000090	AAEL017132	LOC109399239
OG0000090	AAEL015404	LOC109429051
OG0000091	AAEL006992	LOC115260834, LOC115260167
OG0000091	AAEL006989	LOC109398898
OG0000091	AAEL003890	LOC115266378, LOC109414571
OG0000091	AAEL007010, AAEL021861, AAEL007024	LOC109429227
OG0000092	AAEL027314	LOC115255535
OG0000092	AAEL027128, AAEL022626	LOC115271100, LOC115260350, LOC115265658
OG0000092	AAEL028098	LOC115269953, LOC134292239
OG0000092	AAEL019462, AAEL027358, AAEL027511	LOC115270191
OG0000096	AAEL002851	LOC109422254
OG0000096	AAEL019894	LOC109414298
OG0000096	AAEL005052	LOC115264212
OG0000096	AAEL005084	LOC115264211
OG0000096	AAEL002848	LOC109422250
OG0000097	AAEL009561	LOC109621419
OG0000097	AAEL009567	LOC109622082
OG0000097	AAEL009566, AAEL029014	LOC109433277
OG0000098	AAEL014140	LOC115258660, LOC109419553
OG0000098	AAEL014137	LOC109409374
OG0000098	AAEL022822	LOC115258766
OG0000099	AAEL028031	LOC134291274, LOC134286438, LOC134291497, LOC134285433, LOC134291972, LOC115267464, LOC109425963, LOC134289618, LOC134285815, LOC134288930, LOC134291975, LOC134284894, LOC134291438, LOC134290247, LOC134290594, LOC134288551, LOC134284763, LOC134284877, LOC134292089, LOC134286796, LOC134289489, LOC134286304, LOC134285139, LOC134292005, LOC134290956, LOC134286789, LOC134285712, LOC134286199, LOC134287675, LOC134285684, LOC134286574, LOC134284033, LOC134289089, LOC134288127, LOC134291097, LOC134286674, LOC134286601, LOC134288417, LOC134292090, LOC134290548
OG0000104	AAEL002669	LOC109421248
OG0000104	AAEL002666	LOC109421247, LOC109410842
OG0000104	AAEL002658	LOC109421246
OG0000104	AAEL002668	LOC109410832
OG0000104	AAEL006823	LOC109427506, LOC109427507
OG0000107	AAEL014731	LOC134285144, LOC115269113, LOC115269114, LOC109397170
OG0000107	AAEL007754	LOC134285135, LOC134285132
OG0000107	AAEL004928	LOC134287048
OG0000108	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074	LOC109429333, LOC109421068, LOC109429251, LOC109421067
OG0000108	AAEL010435	LOC109429469, LOC115258785
OG0000108	AAEL013118, AAEL009166, AAEL013127, AAEL009165	LOC109421073, LOC109428607, LOC109421072
OG0000109	AAEL018267	LOC134288467, LOC109417980
OG0000109	AAEL023958	LOC109402397, LOC134284738
OG0000109	AAEL019847	LOC109402396
OG0000109	AAEL012395	LOC109402395
OG0000109	AAEL027539	LOC109402380
OG0000110	AAEL019984	LOC109417563
OG0000110	AAEL016966	LOC109417564
OG0000110	AAEL013893	LOC134284252
OG0000110	AAEL017123	LOC134291816
OG0000110	AAEL026829	LOC134291818
OG0000110	AAEL024663	LOC115267918
OG0000110	AAEL023017	LOC134292026
OG0000110	AAEL016983	LOC109621914
OG0000110	AAEL017104, AAEL013563	LOC115270911
OG0000110	AAEL017377, AAEL025139	LOC134285097, LOC115271006, LOC115265253, LOC134287346, LOC109406415
OG0000110	AAEL017009, AAEL018107	LOC109423985, LOC134284249
OG0000110	AAEL017050	LOC109414917
OG0000111	AAEL024249, AAEL017232, AAEL027929, AAEL025172	LOC115265527, LOC115253427, LOC115265528, LOC115265526, LOC109432478, LOC115253746
OG0000114	AAEL002241, AAEL002191, AAEL002229, AAEL002211, AAEL025678	LOC109421190, LOC109432449, LOC115259293, LOC109432455
OG0000114	AAEL002231	LOC109432439
OG0000114	AAEL002246	LOC109421209
OG0000115	AAEL004247	LOC109413498
OG0000115	AAEL022427	LOC109410773
OG0000116	AAEL005045, AAEL017209	LOC115262061
OG0000116	AAEL005043	LOC115262073
OG0000116	AAEL005026	LOC109429689
OG0000116	AAEL004743	LOC109400294
OG0000117	AAEL020121	LOC115260521, LOC109401323
OG0000117	AAEL022048	LOC109422908, LOC115269192, LOC115258941, LOC115266654
OG0000119	AAEL005200	LOC109409689
OG0000119	AAEL005199	LOC109409692
OG0000119	AAEL020054, AAEL005182	LOC109409691
OG0000119	AAEL023662	LOC109409690
OG0000119	AAEL004323	LOC134287661
OG0000120	AAEL005609	LOC109406119
OG0000120	AAEL005607, AAEL019919	LOC115261111
OG0000120	AAEL005594, AAEL005611	LOC115261112
OG0000121	AAEL020129, AAEL023436, AAEL025899	LOC134286545, LOC134290432, LOC134286563, LOC134289163, LOC134286440, LOC134290915, LOC134285234, LOC134290209, LOC134286682, LOC134288272, LOC134286435, LOC134285985, LOC134290069, LOC134289513, LOC115258926, LOC115257931, LOC115265262, LOC134288935, LOC134284302, LOC115269770, LOC115259067, LOC115268810, LOC115261835
OG0000127	AAEL011528	LOC109399383
OG0000127	AAEL000686	LOC109430899
OG0000127	AAEL001057	LOC115263186
OG0000127	AAEL001096	LOC115263188
OG0000127	AAEL007941	LOC109411349
OG0000128	AAEL000904	LOC109396992
OG0000128	AAEL000918	LOC109397004
OG0000128	AAEL019933	LOC115262796
OG0000129	AAEL012683, AAEL012688	LOC109428071, LOC109418295
OG0000129	AAEL012680	LOC109418292
OG0000129	AAEL012685	LOC109418299
OG0000129	AAEL001195	LOC109421658
OG0000130	AAEL008160	LOC109426323
OG0000130	AAEL002228	LOC109421327
OG0000130	AAEL022506, AAEL029069, AAEL020799	LOC109427811, LOC115265185, LOC109421178, LOC109421176
OG0000130	AAEL002237	LOC109421326
OG0000131	AAEL024660	LOC109420718
OG0000131	AAEL003272	LOC109419859
OG0000131	AAEL003226	LOC109420609
OG0000131	AAEL003259	LOC109420605
OG0000132	AAEL003844	LOC109399101
OG0000132	AAEL005293	LOC109397421
OG0000132	AAEL012003	LOC109397420
OG0000133	AAEL004091	LOC109425940
OG0000133	AAEL014230	LOC109433309, LOC134291485
