Orthogroup	AaegyptiLVP_AGWG	AsinensisChina
OG0000016	AAEL010202, AAEL013712, AAEL010196, AAEL013703, AAEL007601, AAEL023729, AAEL013715, AAEL012852, AAEL006425	ASIC010602, ASIC010601, ASIC010600, ASIC010599, ASIC010595, ASIC010598, ASIC003871
OG0000016	AAEL007818, AAEL004996	ASIC002621
OG0000018	AAEL018005, AAEL025919, AAEL023550, AAEL022469, AAEL027321, AAEL024352, AAEL023264, AAEL022185, AAEL022664, AAEL023871, AAEL018047, AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374, AAEL020762, AAEL026324	ASIC015096
OG0000020	AAEL029084, AAEL029082	ASIC005578
OG0000020	AAEL008681	ASIC010160
OG0000021	AAEL004631	ASIC006150
OG0000021	AAEL001673	ASIC012218
OG0000021	AAEL011197	ASIC007587
OG0000021	AAEL004616	ASIC006151, ASIC010309
OG0000021	AAEL009451	ASIC015692
OG0000021	AAEL001951	ASIC010311
OG0000021	AAEL005964	ASIC010313
OG0000021	AAEL005961	ASIC010312
OG0000023	AAEL000351, AAEL029065	ASIC013723, ASIC013720, ASIC013724, ASIC013722, ASIC000075, ASIC013721
OG0000023	AAEL000323, AAEL024983	ASIC019569, ASIC002406
OG0000024	AAEL010380, AAEL017311	ASIC018921
OG0000024	AAEL010367, AAEL024680	ASIC018920
OG0000024	AAEL010384	ASIC018905
OG0000026	AAEL013496, AAEL013501	ASIC016558, ASIC016557
OG0000026	AAEL013493	ASIC016559
OG0000026	AAEL015116, AAEL015113	ASIC016561
OG0000026	AAEL013492	ASIC016560
OG0000026	AAEL011763, AAEL011764, AAEL020579	ASIC016118
OG0000026	AAEL014544	ASIC014095
OG0000030	AAEL000087, AAEL025334, AAEL019959, AAEL001794, AAEL019958	ASIC003377, ASIC003385, ASIC003382, ASIC003384, ASIC004709, ASIC004705, ASIC004703, ASIC004701, ASIC003400, ASIC013656, ASIC004707, ASIC004704, ASIC004708, ASIC004706, ASIC003393, ASIC015022, ASIC003420, ASIC003419, ASIC003381, ASIC003417, ASIC003383
OG0000033	AAEL005064	ASIC021804
OG0000033	AAEL000038	ASIC009220
OG0000033	AAEL000037, AAEL000028, AAEL000099	ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221, ASIC009222
OG0000034	AAEL013562	ASIC021981
OG0000035	AAEL009610, AAEL025842, AAEL013024	ASIC012439
OG0000037	AAEL008895	ASIC013351, ASIC013352, ASIC013353, ASIC022219, ASIC014023
OG0000039	AAEL002693, AAEL006524, AAEL002682, AAEL002476, AAEL009239, AAEL000793	ASIC002581, ASIC000445, ASIC012458, ASIC010050, ASIC010664
OG0000040	AAEL020825, AAEL008448	ASIC015489, ASIC015488, ASIC015490, ASIC007400, ASIC006427, ASIC006438
OG0000041	AAEL007044	ASIC005058
OG0000041	AAEL007060	ASIC005063
OG0000041	AAEL007063	ASIC005062
OG0000041	AAEL007051, AAEL007070	ASIC005064
OG0000041	AAEL023132	ASIC005684, ASIC005059, ASIC005061
OG0000042	AAEL018347	ASIC017752, ASIC017751, ASIC017733, ASIC001192, ASIC017724, ASIC001191
OG0000046	AAEL005753	ASIC012560, ASIC001352, ASIC009809, ASIC005432, ASIC009407, ASIC009810, ASIC002914, ASIC005430, ASIC005429, ASIC001385, ASIC009812, ASIC009813, ASIC009814
OG0000048	AAEL004672, AAEL004667, AAEL001508, AAEL008856	ASIC019015, ASIC019014, ASIC019017, ASIC019018
OG0000049	AAEL002595	ASIC018403, ASIC018371, ASIC018370
OG0000049	AAEL002590	ASIC018401, ASIC018400
OG0000049	AAEL002600	ASIC001190, ASIC017764
OG0000049	AAEL002629	ASIC018404
OG0000051	AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758, AAEL024588	ASIC010146, ASIC010154, ASIC010151, ASIC010148
OG0000052	AAEL017475	ASIC018088
OG0000052	AAEL024686, AAEL020852, AAEL006627, AAEL007938, AAEL011929, AAEL011916	ASIC018082
OG0000053	AAEL010055	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705, ASIC020710, ASIC020703
OG0000055	AAEL019403	ASIC000721
OG0000055	AAEL026446	ASIC016078
OG0000055	AAEL023321, AAEL017975, AAEL027610, AAEL017976, AAEL020330	ASIC014234
OG0000057	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759, AAEL023487	ASIC010132, ASIC010135, ASIC010134, ASIC010137, ASIC010133, ASIC010138
OG0000058	AAEL026976, AAEL008624	ASIC007323
OG0000058	AAEL008625	ASIC007325
OG0000058	AAEL008628	ASIC007324
OG0000059	AAEL022646	ASIC019011, ASIC019000
OG0000059	AAEL002360	ASIC019170
OG0000059	AAEL002347, AAEL024934	ASIC016660
OG0000060	AAEL004762, AAEL004776, AAEL019994, AAEL019993	ASIC010127
OG0000060	AAEL004748, AAEL004760, AAEL004764, AAEL004742, AAEL004765	ASIC010130, ASIC010129
OG0000061	AAEL026011, AAEL007673	ASIC015402
OG0000061	AAEL006719	ASIC016621
OG0000061	AAEL013421, AAEL008451	ASIC008791
OG0000062	AAEL015533	ASIC004218, ASIC009092, ASIC004219, ASIC004220, ASIC013583, ASIC013564, ASIC015598, ASIC015597
OG0000063	AAEL005771, AAEL005788	ASIC021538
OG0000063	AAEL000320, AAEL012761	ASIC010842
OG0000064	AAEL024986	ASIC014147
OG0000064	AAEL014561, AAEL021735, AAEL025303, AAEL013027, AAEL017403	ASIC002653, ASIC002651
OG0000064	AAEL017501	ASIC001146
OG0000067	AAEL000678, AAEL000647	ASIC018220
OG0000067	AAEL000642	ASIC018219
OG0000068	AAEL024556	ASIC011681
OG0000068	AAEL013512, AAEL013520, AAEL007194, AAEL007192, AAEL013514	ASIC011682
OG0000068	AAEL011444	ASIC011687
OG0000068	AAEL013515	ASIC011679
OG0000069	AAEL015136	ASIC005652
OG0000069	AAEL009556, AAEL009555, AAEL009553	ASIC002404, ASIC005650, ASIC005651, ASIC000407
OG0000071	AAEL002085, AAEL003399	ASIC008283
OG0000071	AAEL013798	ASIC013586
OG0000072	AAEL013229	ASIC019961
OG0000072	AAEL012424	ASIC012496
OG0000073	AAEL007128	ASIC014115
OG0000074	AAEL011460, AAEL011454	ASIC016739, ASIC016738, ASIC016740, ASIC016736, ASIC016737, ASIC016735
OG0000074	AAEL011449	ASIC002864
OG0000075	AAEL013444, AAEL013442, AAEL013443, AAEL021060, AAEL025773, AAEL013439	ASIC021158, ASIC021155, ASIC021154, ASIC021157, ASIC021159
OG0000076	AAEL003992	ASIC018187
OG0000077	AAEL026915	ASIC002587
OG0000077	AAEL015020, AAEL015573, AAEL015021	ASIC002588, ASIC002586
OG0000079	AAEL023932, AAEL006498, AAEL006259	ASIC011456, ASIC011455
OG0000079	AAEL005621, AAEL005625, AAEL006484, AAEL024685	ASIC011459
OG0000080	AAEL012700, AAEL012702	ASIC016601
OG0000080	AAEL012698	ASIC016602
OG0000080	AAEL008384, AAEL008386	ASIC019334, ASIC019335
OG0000081	AAEL013347	ASIC007880
OG0000081	AAEL013349, AAEL013352, AAEL013346, AAEL013344, AAEL013348, AAEL013338	ASIC007878, ASIC007850, ASIC007872
OG0000081	AAEL013341	ASIC007881
OG0000082	AAEL019868	ASIC018896, ASIC012751, ASIC012750, ASIC012735, ASIC012720, ASIC012721, ASIC015552, ASIC020059, ASIC017041, ASIC015969, ASIC015961, ASIC015947, ASIC015968, ASIC015948, ASIC015980, ASIC015942, ASIC012745, ASIC012746, ASIC012744, ASIC004383, ASIC004382, ASIC012729, ASIC012752, ASIC012731, ASIC004377, ASIC012726, ASIC004379, ASIC004372, ASIC004376, ASIC004368, ASIC014144, ASIC012727, ASIC012728, ASIC012714
OG0000085	AAEL014439, AAEL014440, AAEL003971, AAEL003954	ASIC009268, ASIC004322, ASIC009271, ASIC009270, ASIC009269, ASIC009272
OG0000086	AAEL012778	ASIC009153
OG0000086	AAEL008163, AAEL008162, AAEL022247, AAEL019828	ASIC008317
OG0000088	AAEL000546, AAEL000530, AAEL000545, AAEL008532, AAEL004724	ASIC008371, ASIC008372, ASIC008376
OG0000089	AAEL008252, AAEL022849	ASIC019476
OG0000089	AAEL001151	ASIC019432, ASIC019443, ASIC019421, ASIC019454, ASIC019465
OG0000090	AAEL017132	ASIC019694
OG0000090	AAEL015404	ASIC019695
OG0000091	AAEL006992, AAEL006989, AAEL003890	ASIC002280
OG0000091	AAEL007010, AAEL021861, AAEL007024	ASIC002279
OG0000096	AAEL002851	ASIC015638
OG0000096	AAEL019894	ASIC010647, ASIC010609
OG0000096	AAEL005052	ASIC010449
OG0000096	AAEL002848	ASIC015635
OG0000097	AAEL009559, AAEL009567	ASIC021951
OG0000097	AAEL009566	ASIC021949
OG0000098	AAEL014140, AAEL014137, AAEL022822	ASIC020759, ASIC013848, ASIC013849, ASIC020756, ASIC020757, ASIC020760, ASIC020758, ASIC020762, ASIC020761, ASIC020755
OG0000104	AAEL002668, AAEL006823	ASIC017885, ASIC009066, ASIC009065
OG0000107	AAEL014731, AAEL007754, AAEL004928	ASIC005646, ASIC005645, ASIC005655
OG0000108	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165	ASIC013421, ASIC013593
OG0000109	AAEL018267	ASIC002584
OG0000109	AAEL023958	ASIC014258
OG0000109	AAEL019847, AAEL012395	ASIC014260
OG0000109	AAEL027539	ASIC014256
OG0000111	AAEL024249, AAEL017232, AAEL027929, AAEL025172	ASIC012092, ASIC012080, ASIC006082
OG0000114	AAEL002241, AAEL002191, AAEL002229, AAEL002211, AAEL025678, AAEL002231, AAEL002246, AAEL002223, AAEL002233, AAEL002187	ASIC012081
OG0000115	AAEL004247	ASIC017431
OG0000115	AAEL022427	ASIC017432
OG0000116	AAEL005045, AAEL017209	ASIC006403
OG0000116	AAEL005043	ASIC006402
OG0000116	AAEL004743	ASIC014540
OG0000119	AAEL005200	ASIC016830
OG0000119	AAEL005199, AAEL020054, AAEL005182, AAEL023662, AAEL004323	ASIC016832, ASIC016833
OG0000120	AAEL019920, AAEL005609, AAEL005607, AAEL019919	ASIC011544
OG0000120	AAEL005594, AAEL005611	ASIC011541
OG0000121	AAEL020129, AAEL023436, AAEL025899	ASIC001472
OG0000127	AAEL011528, AAEL000686, AAEL001057, AAEL001096, AAEL007941	ASIC008877
OG0000128	AAEL000918	ASIC015309
OG0000128	AAEL019933	ASIC015247, ASIC015248
OG0000129	AAEL012683, AAEL012688, AAEL002373, AAEL012680, AAEL012685	ASIC008763, ASIC008762
OG0000130	AAEL008160	ASIC008146
OG0000130	AAEL002237	ASIC012064, ASIC012065
OG0000131	AAEL024660	ASIC012145
OG0000131	AAEL003272	ASIC012146
OG0000131	AAEL003226	ASIC012148
OG0000131	AAEL003259	ASIC012034
OG0000132	AAEL005293	ASIC014945, ASIC014943
OG0000132	AAEL003840	ASIC002822
OG0000133	AAEL004091	ASIC017840, ASIC017841
OG0000133	AAEL014230	ASIC017521, ASIC017520
OG0000134	AAEL019678	ASIC019150
OG0000134	AAEL005113, AAEL023844, AAEL005123	ASIC019149
OG0000134	AAEL019679	ASIC019146, ASIC019145, ASIC019147
OG0000136	AAEL013692, AAEL008098, AAEL007698	ASIC007232
OG0000141	AAEL017553, AAEL002391, AAEL024216, AAEL002378, AAEL002385, AAEL002367	ASIC018449, ASIC018448, ASIC019151, ASIC018446
OG0000142	AAEL002426	ASIC011129, ASIC010497
OG0000142	AAEL002432	ASIC004901
OG0000142	AAEL002408	ASIC014682
OG0000143	AAEL007816	ASIC008426
OG0000146	AAEL007592, AAEL015137	ASIC008229
OG0000147	AAEL006827, AAEL002031, AAEL001960, AAEL002005	ASIC002221, ASIC002222, ASIC002220
OG0000148	AAEL017460	ASIC007934
OG0000148	AAEL002676	ASIC012007
OG0000149	AAEL003091	ASIC018439
OG0000149	AAEL027549, AAEL027016	ASIC018436
OG0000149	AAEL026670	ASIC018437
OG0000149	AAEL003076	ASIC018438
OG0000150	AAEL003497	ASIC011027
OG0000151	AAEL004025	ASIC009913, ASIC009914
OG0000152	AAEL011180, AAEL011177	ASIC004877
OG0000154	AAEL009130, AAEL009129, AAEL009123, AAEL009131	ASIC004043, ASIC013097, ASIC013108, ASIC004042, ASIC013051, ASIC004041
OG0000155	AAEL010418, AAEL027258, AAEL015286, AAEL010415, AAEL010428, AAEL023626, AAEL018080, AAEL010426, AAEL017079, AAEL010409	ASIC020577, ASIC020578
OG0000157	AAEL026898	ASIC010788
OG0000157	AAEL021701, AAEL023616, AAEL027162, AAEL024662, AAEL025947, AAEL027079, AAEL024834, AAEL027392	ASIC019241
OG0000160	AAEL024826, AAEL027417, AAEL002264, AAEL023094, AAEL022840, AAEL022131, AAEL020119	ASIC016821
OG0000161	AAEL004798, AAEL002467	ASIC019631
OG0000162	AAEL002617	ASIC018375
OG0000162	AAEL002606	ASIC018379
OG0000162	AAEL002587	ASIC018380
OG0000163	AAEL004507	ASIC007358
OG0000163	AAEL022219	ASIC007362
OG0000163	AAEL004486	ASIC007363, ASIC007359
OG0000164	AAEL007511	ASIC021805
OG0000164	AAEL014567	ASIC021916
OG0000164	AAEL007514	ASIC021828
OG0000165	AAEL008017	ASIC020384
OG0000165	AAEL025214	ASIC020380
OG0000165	AAEL008018	ASIC020379, ASIC020381
OG0000166	AAEL013556, AAEL013554	ASIC012923
OG0000166	AAEL014830	ASIC012924
OG0000166	AAEL014019	ASIC012921
OG0000171	AAEL027547, AAEL017192	ASIC004812, ASIC004811
OG0000171	AAEL023653, AAEL005134	ASIC004810
OG0000172	AAEL026737	ASIC017527
OG0000172	AAEL020253	ASIC017517, ASIC017518
OG0000172	AAEL011332	ASIC017545, ASIC017548, ASIC017547
OG0000173	AAEL014515	ASIC022306
OG0000174	AAEL029047	ASIC009499
OG0000174	AAEL029038, AAEL029046, AAEL029041, AAEL029044	ASIC007084
OG0000181	AAEL004729, AAEL026708, AAEL023262, AAEL004730, AAEL025094	ASIC019035, ASIC019034
OG0000182	AAEL005407	ASIC020912
OG0000182	AAEL005412, AAEL005426, AAEL005417	ASIC020913
OG0000183	AAEL005786, AAEL019497, AAEL022007, AAEL009434, AAEL019498	ASIC011096
OG0000184	AAEL005999	ASIC007210
OG0000184	AAEL006003	ASIC007209
OG0000185	AAEL013981, AAEL013983, AAEL021888	ASIC014499, ASIC014498
OG0000185	AAEL008045	ASIC018463, ASIC018459
OG0000187	AAEL000035	ASIC003343
OG0000189	AAEL003743	ASIC020927
OG0000189	AAEL006390	ASIC004914
OG0000190	AAEL024092, AAEL020855	ASIC009037
OG0000190	AAEL023141	ASIC004005
OG0000191	AAEL007085, AAEL024044	ASIC011618, ASIC011619, ASIC011617, ASIC011616
OG0000192	AAEL018352	ASIC003853
OG0000192	AAEL008055	ASIC021385
OG0000192	AAEL007664	ASIC006813
OG0000193	AAEL018151, AAEL008595	ASIC005170, ASIC009034, ASIC004649
OG0000194	AAEL022256, AAEL009193	ASIC007163
OG0000196	AAEL014662, AAEL011677, AAEL019722	ASIC009091
OG0000200	AAEL019407	ASIC004374
OG0000200	AAEL000536	ASIC004381
OG0000201	AAEL020195, AAEL001844	ASIC018737
OG0000201	AAEL001840	ASIC018748
OG0000202	AAEL003617, AAEL026142, AAEL011356	ASIC005159
OG0000203	AAEL003626	ASIC022196
OG0000203	AAEL003641, AAEL003619	ASIC022191, ASIC022195
OG0000203	AAEL018304	ASIC022193, ASIC022189
OG0000204	AAEL014078	ASIC018858, ASIC018857
OG0000204	AAEL005665	ASIC018860
OG0000205	AAEL007913	ASIC007148
OG0000206	AAEL009935, AAEL009945, AAEL009938	ASIC009932, ASIC009934, ASIC009931, ASIC009933
OG0000206	AAEL006668	ASIC017261
OG0000207	AAEL027951, AAEL026297, AAEL007619	ASIC020302, ASIC020301
OG0000208	AAEL008274	ASIC004792
OG0000208	AAEL008259, AAEL027364	ASIC004793, ASIC004794, ASIC004795
OG0000209	AAEL020200	ASIC018130
OG0000210	AAEL022562, AAEL013032	ASIC005087, ASIC005086
OG0000217	AAEL002994	ASIC021690
OG0000217	AAEL001622	ASIC007120
OG0000217	AAEL003013	ASIC021693
OG0000218	AAEL002028	ASIC006963, ASIC006964
OG0000219	AAEL012431, AAEL010858, AAEL012430, AAEL024868, AAEL010853	ASIC017087
OG0000220	AAEL002964	ASIC021082
OG0000220	AAEL002969, AAEL002959	ASIC021083
OG0000220	AAEL002972	ASIC021081
OG0000221	AAEL021590, AAEL003079	ASIC016222, ASIC016221, ASIC016220
OG0000221	AAEL014371, AAEL008560	ASIC019669, ASIC019668
OG0000222	AAEL021010, AAEL019957	ASIC014190
OG0000222	AAEL026731, AAEL011822, AAEL004240	ASIC014179
OG0000223	AAEL006487	ASIC011432
OG0000224	AAEL006835	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365
OG0000225	AAEL014411, AAEL014412	ASIC021356
OG0000226	AAEL027179	ASIC020560, ASIC020556
OG0000229	AAEL024475	ASIC021403, ASIC004678
OG0000230	AAEL021401, AAEL006228, AAEL024098, AAEL001015, AAEL005000	ASIC005288
OG0000231	AAEL001743, AAEL001735, AAEL008873, AAEL008866, AAEL008869, AAEL008872	ASIC011666, ASIC011669
OG0000232	AAEL002043, AAEL026706	ASIC012966, ASIC012965
OG0000233	AAEL007602, AAEL003060	ASIC011408
OG0000234	AAEL007449	ASIC020664
OG0000235	AAEL008843, AAEL008580, AAEL024616	ASIC017168, ASIC009033
OG0000236	AAEL009206	ASIC011385, ASIC008198, ASIC015967
OG0000237	AAEL022081, AAEL012350	ASIC003194
OG0000244	AAEL001196	ASIC022012
OG0000244	AAEL000597	ASIC022140
OG0000245	AAEL010893	ASIC005515, ASIC005518
OG0000245	AAEL000843, AAEL010894	ASIC005516
OG0000246	AAEL001059	ASIC021753, ASIC021752, ASIC021751, ASIC021749, ASIC021748
OG0000247	AAEL001683, AAEL001677	ASIC016691, ASIC016692
OG0000247	AAEL001704	ASIC019252
OG0000248	AAEL001822, AAEL001816	ASIC017750
OG0000249	AAEL003738, AAEL003726, AAEL003740, AAEL003728, AAEL023973	ASIC016050, ASIC000958
OG0000250	AAEL004580	ASIC004082
OG0000250	AAEL004582	ASIC004081
OG0000252	AAEL007257, AAEL007251, AAEL014554	ASIC005046
OG0000252	AAEL024448	ASIC005048
OG0000253	AAEL007993, AAEL007992	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662
OG0000254	AAEL009916	ASIC005504
OG0000255	AAEL012770, AAEL012762, AAEL020553, AAEL011761, AAEL022568, AAEL012769, AAEL012765	ASIC020208, ASIC020207, ASIC020205, ASIC020206
OG0000256	AAEL012425, AAEL012422	ASIC012491, ASIC012495
OG0000257	AAEL019890, AAEL027350	ASIC005738
OG0000265	AAEL008213, AAEL008211	ASIC007840
OG0000266	AAEL013662	ASIC010738
OG0000266	AAEL000757	ASIC004862, ASIC004863
OG0000267	AAEL010582	ASIC021746
OG0000268	AAEL002690	ASIC007410, ASIC007406
OG0000268	AAEL002692	ASIC007405
OG0000269	AAEL003195, AAEL026083, AAEL023346, AAEL003196, AAEL020734, AAEL021498, AAEL003181, AAEL022449, AAEL003201, AAEL028198, AAEL003187, AAEL024002	ASIC006168
OG0000270	AAEL003444, AAEL003439	ASIC018039
OG0000271	AAEL004778	ASIC006601
OG0000272	AAEL008858	ASIC015539
OG0000272	AAEL008876	ASIC011268
OG0000273	AAEL008928	ASIC011512
OG0000273	AAEL008931	ASIC011515
OG0000274	AAEL010098, AAEL010099	ASIC019686
OG0000274	AAEL024977	ASIC020495
OG0000275	AAEL012343, AAEL012349, AAEL023211	ASIC014691, ASIC014690, ASIC014692
OG0000276	AAEL013044, AAEL013048, AAEL013054	ASIC017971
OG0000277	AAEL013198, AAEL026420	ASIC008290, ASIC008301
OG0000278	AAEL013217	ASIC016444, ASIC016562
OG0000279	AAEL017402, AAEL024828, AAEL021930, AAEL025608	ASIC012105
OG0000280	AAEL029034	ASIC014626, ASIC014625
OG0000280	AAEL029031	ASIC014624
OG0000285	AAEL000029	ASIC005533, ASIC005534
OG0000285	AAEL000024	ASIC005544, ASIC005545
OG0000286	AAEL022696, AAEL000613, AAEL000628, AAEL000614, AAEL006465, AAEL017294	ASIC015277, ASIC015276
OG0000287	AAEL001221	ASIC022020, ASIC022019
OG0000288	AAEL020558, AAEL001320, AAEL001292, AAEL025530, AAEL001312, AAEL001807, AAEL009591	ASIC006693, ASIC006682
OG0000289	AAEL003317, AAEL003297, AAEL003298	ASIC007910, ASIC007909
OG0000290	AAEL004103, AAEL004092	ASIC015220, ASIC015219
OG0000291	AAEL004592	ASIC019903
OG0000291	AAEL024570	ASIC018745, ASIC018743
OG0000292	AAEL004935	ASIC012870
OG0000292	AAEL004923	ASIC012872
OG0000293	AAEL019520	ASIC020292
OG0000293	AAEL005702, AAEL010609	ASIC021166
OG0000294	AAEL022989, AAEL007040	ASIC000865, ASIC000867
OG0000294	AAEL006160	ASIC000063
OG0000295	AAEL006385	ASIC014489, ASIC014488, ASIC014487
OG0000297	AAEL006818	ASIC007550
OG0000297	AAEL006829	ASIC007551
OG0000298	AAEL007711	ASIC019369
OG0000299	AAEL007893	ASIC010575
OG0000299	AAEL008152, AAEL027985, AAEL008159	ASIC018166, ASIC018167
OG0000300	AAEL009978	ASIC021618
OG0000302	AAEL015566, AAEL015567	ASIC007798
OG0000302	AAEL011499	ASIC007799
OG0000303	AAEL026551	ASIC014829
OG0000304	AAEL014541	ASIC009070
OG0000304	AAEL014537	ASIC009068
OG0000305	AAEL019599	ASIC008672
OG0000306	AAEL022773	ASIC017623, ASIC015935, ASIC007588, ASIC017620
OG0000317	AAEL000039, AAEL000089, AAEL000066, AAEL000018	ASIC020227
OG0000318	AAEL000690	ASIC003841, ASIC003842, ASIC007449, ASIC007448
OG0000319	AAEL026313, AAEL027346	ASIC006535
OG0000319	AAEL001010	ASIC006536, ASIC016269
OG0000320	AAEL002288, AAEL002301	ASIC000161, ASIC000162, ASIC000163, ASIC000164
OG0000321	AAEL002904	ASIC020752
OG0000321	AAEL002917	ASIC022307
OG0000324	AAEL005749	ASIC003860, ASIC003861
OG0000324	AAEL005763	ASIC003858
OG0000325	AAEL005759, AAEL007339, AAEL005890	ASIC019850
OG0000326	AAEL007169	ASIC005793
OG0000326	AAEL006077	ASIC005792
OG0000327	AAEL006684, AAEL012580, AAEL021830, AAEL024894, AAEL019749, AAEL019750, AAEL027138, AAEL010580, AAEL006679, AAEL022785, AAEL025034	ASIC009969
OG0000328	AAEL026562, AAEL006696	ASIC018103
OG0000328	AAEL022561, AAEL006692	ASIC018105
OG0000329	AAEL008634	ASIC007335
OG0000329	AAEL008622	ASIC007336, ASIC007337
OG0000330	AAEL012245	ASIC005378
OG0000330	AAEL009580	ASIC005380
OG0000331	AAEL011658	ASIC011490
OG0000331	AAEL011662	ASIC011489
OG0000332	AAEL011931	ASIC013992, ASIC011150, ASIC013991
OG0000333	AAEL012421	ASIC016706
OG0000334	AAEL013154	ASIC005880
OG0000336	AAEL024525	ASIC018901
OG0000336	AAEL021016	ASIC018897
OG0000337	AAEL022318, AAEL024484	ASIC017612
OG0000344	AAEL000073	ASIC020228
OG0000345	AAEL000200, AAEL000165	ASIC011811
OG0000346	AAEL000216, AAEL004949, AAEL004953, AAEL004947	ASIC000815, ASIC021948
OG0000347	AAEL000861, AAEL000859	ASIC000181
OG0000348	AAEL000890, AAEL000896	ASIC015321, ASIC015322, ASIC015323
OG0000349	AAEL013997	ASIC012256, ASIC012253
OG0000349	AAEL001041	ASIC012252
