Orthogroup	AaegyptiLVP_AGWG	AdirusWRAIR2
OG0000011	AAEL021283, AAEL010552, AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610, AAEL023218, AAEL028146, AAEL023858	ADIR000515, ADIR000517
OG0000012	AAEL006158	ADIR002719
OG0000012	AAEL020629, AAEL020985, AAEL020370, AAEL021821, AAEL020755, AAEL021112, AAEL021038, AAEL020107, AAEL000492, AAEL021327, AAEL022066, AAEL021946, AAEL021903, AAEL021049, AAEL003685, AAEL021142, AAEL020763, AAEL019635, AAEL021601, AAEL021182, AAEL021205, AAEL012072, AAEL021161, AAEL020810, AAEL021754	ADIR001583
OG0000013	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163	ADIR010434, ADIR010435
OG0000013	AAEL026306, AAEL027846, AAEL028212, AAEL002092	ADIR003492
OG0000014	AAEL003156, AAEL007942, AAEL020192	ADIR005075
OG0000014	AAEL011007	ADIR007771, ADIR003639, ADIR001674, ADIR001675
OG0000015	AAEL010677	ADIR006886
OG0000015	AAEL010671	ADIR014733, ADIR008681, ADIR014730, ADIR008680
OG0000016	AAEL007818, AAEL004996	ADIR009355
OG0000017	AAEL003846	ADIR001584
OG0000018	AAEL025777, AAEL024340, AAEL020545, AAEL026872, AAEL026850, AAEL012477, AAEL021374	ADIR008559, ADIR005691, ADIR007658, ADIR007530, ADIR010830, ADIR011706, ADIR011724, ADIR011745, ADIR010868, ADIR009844, ADIR002364
OG0000018	AAEL020762, AAEL026324	ADIR006748
OG0000020	AAEL008681	ADIR001887, ADIR009509, ADIR009511, ADIR014827, ADIR009513, ADIR009514, ADIR009508, ADIR001888, ADIR009510, ADIR009512
OG0000021	AAEL001673	ADIR003865
OG0000021	AAEL011197	ADIR001186
OG0000021	AAEL004616	ADIR002970
OG0000021	AAEL009451	ADIR010427
OG0000021	AAEL001951	ADIR015616
OG0000021	AAEL005964	ADIR015615, ADIR015614, ADIR002969
OG0000023	AAEL000351, AAEL029065	ADIR004298
OG0000023	AAEL021993, AAEL000379, AAEL000323, AAEL024983	ADIR007551, ADIR007550
OG0000024	AAEL010380, AAEL017311	ADIR006878
OG0000024	AAEL010367, AAEL024680	ADIR006877
OG0000024	AAEL010384	ADIR015850
OG0000024	AAEL010370, AAEL010382	ADIR015848, ADIR015847
OG0000024	AAEL026787	ADIR015846, ADIR015844, ADIR015845
OG0000026	AAEL013496, AAEL013501	ADIR015755, ADIR015752
OG0000026	AAEL013493	ADIR015756, ADIR015753
OG0000026	AAEL015116, AAEL015113	ADIR015757, ADIR015758, ADIR015759
OG0000026	AAEL013492	ADIR015754
OG0000026	AAEL011763, AAEL011764, AAEL020579	ADIR006960
OG0000026	AAEL014544	ADIR003488
OG0000027	AAEL012641, AAEL012649, AAEL012646, AAEL012652, AAEL012645, AAEL027171, AAEL012651, AAEL025465, AAEL012644, AAEL012650, AAEL012647	ADIR009739
OG0000033	AAEL000038	ADIR016018
OG0000033	AAEL000074	ADIR016019, ADIR002300
OG0000033	AAEL000037, AAEL000028, AAEL000099	ADIR016025, ADIR016020, ADIR002841, ADIR016023, ADIR016021, ADIR016024, ADIR016022
OG0000034	AAEL013562	ADIR004404
OG0000034	AAEL002279	ADIR007516
OG0000035	AAEL009610, AAEL025842, AAEL013024	ADIR014329, ADIR014313, ADIR003862
OG0000037	AAEL008895	ADIR003228, ADIR003227, ADIR010210, ADIR010215, ADIR010214, ADIR010213, ADIR010212, ADIR010211, ADIR010203, ADIR010204
OG0000039	AAEL002693, AAEL006524, AAEL002682, AAEL002476, AAEL009239, AAEL000793	ADIR015925, ADIR015923, ADIR008758, ADIR007693, ADIR015924, ADIR015928, ADIR015927, ADIR007692, ADIR015926
OG0000040	AAEL008368, AAEL022663	ADIR015602, ADIR015601
OG0000040	AAEL020825, AAEL008448	ADIR015539, ADIR015541, ADIR015540, ADIR015544, ADIR006103, ADIR015562, ADIR006102
OG0000041	AAEL007060	ADIR001834
OG0000041	AAEL007063	ADIR001833
OG0000041	AAEL007051, AAEL007070	ADIR001835
OG0000041	AAEL023132	ADIR003420
OG0000042	AAEL018347	ADIR000587, ADIR011155, ADIR000580
OG0000046	AAEL005753	ADIR003197
OG0000048	AAEL004672, AAEL004667, AAEL001508, AAEL008856	ADIR014671, ADIR016188, ADIR007974, ADIR016182, ADIR016183, ADIR016186, ADIR016187, ADIR016181, ADIR016189
OG0000049	AAEL002595	ADIR016124
OG0000049	AAEL002590	ADIR016128
OG0000049	AAEL002600	ADIR015764, ADIR015763, ADIR015765, ADIR015762
OG0000049	AAEL002629	ADIR016123
OG0000051	AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758, AAEL024588	ADIR009276
OG0000053	AAEL010055	ADIR009846, ADIR011408, ADIR011407, ADIR009847, ADIR009845
OG0000055	AAEL019403	ADIR003019
OG0000057	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759, AAEL023487	ADIR009281, ADIR014808, ADIR009282
OG0000058	AAEL026976, AAEL008624	ADIR006057
OG0000059	AAEL022646	ADIR001566, ADIR015747, ADIR015748, ADIR015749, ADIR001568
OG0000059	AAEL002360	ADIR003672, ADIR003674
OG0000059	AAEL002347, AAEL024934	ADIR016197
OG0000061	AAEL026011, AAEL007673	ADIR009531
OG0000061	AAEL006719	ADIR007445
OG0000061	AAEL013421, AAEL008451	ADIR015571
OG0000063	AAEL005771, AAEL005788	ADIR010309
OG0000063	AAEL020266, AAEL000320, AAEL012761, AAEL005696, AAEL005700, AAEL024573, AAEL000326, AAEL000357, AAEL029116, AAEL005775, AAEL017215, AAEL000338	ADIR008969
OG0000064	AAEL014561, AAEL021735, AAEL025303, AAEL013027, AAEL017403	ADIR004674
OG0000064	AAEL017501	ADIR005809
OG0000067	AAEL003434	ADIR001930
OG0000067	AAEL000678, AAEL000647	ADIR000539
OG0000067	AAEL000642	ADIR000540
OG0000068	AAEL024556	ADIR007458
OG0000068	AAEL013512, AAEL013520, AAEL007194, AAEL007192, AAEL013514	ADIR007459
OG0000068	AAEL011444	ADIR007460
OG0000069	AAEL015136	ADIR003464
OG0000069	AAEL009556, AAEL009555, AAEL009553	ADIR007962, ADIR007263, ADIR007262, ADIR003511
OG0000071	AAEL007812	ADIR001093
OG0000071	AAEL002085, AAEL003399	ADIR002693
OG0000071	AAEL013798	ADIR011119, ADIR011120, ADIR011116
OG0000072	AAEL013229	ADIR001900
OG0000072	AAEL012424	ADIR003546
OG0000072	AAEL026111, AAEL004172	ADIR008039
OG0000073	AAEL007128	ADIR010953
OG0000074	AAEL011460, AAEL011454	ADIR003703, ADIR003702, ADIR003701
OG0000074	AAEL011449	ADIR007318
OG0000075	AAEL013444, AAEL013442, AAEL013443, AAEL021060, AAEL025773, AAEL013439	ADIR008602, ADIR008603, ADIR008604
OG0000076	AAEL003992	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068, ADIR002333, ADIR002334
OG0000077	AAEL015020, AAEL015573, AAEL015021	ADIR007690
OG0000078	AAEL024476	ADIR014246
OG0000079	AAEL023932, AAEL006498, AAEL006259	ADIR010062
OG0000080	AAEL012698	ADIR007435
OG0000080	AAEL008384, AAEL008386	ADIR000033
OG0000081	AAEL013347	ADIR007942
OG0000081	AAEL013349, AAEL013352, AAEL013346, AAEL013344, AAEL013348, AAEL013338	ADIR008727, ADIR007940
OG0000081	AAEL013341	ADIR007943
OG0000082	AAEL019868	ADIR000069, ADIR000071, ADIR000093
OG0000085	AAEL014439, AAEL014440, AAEL003971, AAEL003954	ADIR015828, ADIR015824, ADIR015826, ADIR015825, ADIR015827, ADIR015829
OG0000086	AAEL012778	ADIR009203
OG0000086	AAEL008163, AAEL008162, AAEL022247, AAEL019828	ADIR003037
OG0000086	AAEL009108	ADIR006613
OG0000088	AAEL001517	ADIR000163
OG0000088	AAEL000546, AAEL000530, AAEL000545, AAEL008532, AAEL004724	ADIR000290, ADIR000294
OG0000089	AAEL008252, AAEL022849	ADIR009555
OG0000089	AAEL001151, AAEL001146	ADIR009554
OG0000090	AAEL003723, AAEL003712	ADIR015919
OG0000090	AAEL017132	ADIR007286
OG0000090	AAEL015404	ADIR007285
OG0000091	AAEL007010, AAEL021861, AAEL007024	ADIR006521
OG0000096	AAEL002851	ADIR000343
OG0000096	AAEL019894	ADIR010758
OG0000096	AAEL005052	ADIR009091
OG0000096	AAEL002848	ADIR000344
OG0000097	AAEL009566	ADIR010274
OG0000098	AAEL014140, AAEL014137, AAEL022822	ADIR014792, ADIR006291, ADIR006333, ADIR006300, ADIR015892, ADIR015893
OG0000104	AAEL002669, AAEL002666, AAEL002658	ADIR006249
OG0000104	AAEL002668, AAEL006823	ADIR010870, ADIR010871, ADIR010869
OG0000108	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165	ADIR004058
OG0000109	AAEL018267	ADIR007689
OG0000109	AAEL023958	ADIR009055
OG0000111	AAEL024249, AAEL017232, AAEL027929, AAEL025172	ADIR000646, ADIR000644
OG0000114	AAEL002223, AAEL002233, AAEL002187	ADIR000642
OG0000115	AAEL004247	ADIR007384
OG0000115	AAEL022427	ADIR007383
OG0000116	AAEL005043	ADIR006147
OG0000116	AAEL004743	ADIR005173
OG0000119	AAEL005200	ADIR007783
OG0000119	AAEL005199, AAEL020054, AAEL005182, AAEL023662, AAEL004323	ADIR007782
OG0000120	AAEL019920, AAEL005609, AAEL005607, AAEL019919	ADIR015976
OG0000120	AAEL005594, AAEL005611	ADIR015969, ADIR015967
OG0000127	AAEL011528, AAEL000686, AAEL001057, AAEL001096, AAEL007941	ADIR002706
OG0000128	AAEL000918	ADIR005627
OG0000128	AAEL019933	ADIR016172, ADIR016170
OG0000130	AAEL008160	ADIR003050
OG0000130	AAEL002237	ADIR011436, ADIR011726, ADIR011435
OG0000131	AAEL024660	ADIR011335
OG0000131	AAEL003259	ADIR011339
OG0000132	AAEL003840	ADIR010804
OG0000133	AAEL004091	ADIR000444
OG0000133	AAEL014230	ADIR000139, ADIR000140
OG0000134	AAEL019678	ADIR003659
OG0000134	AAEL005113, AAEL023844, AAEL005123	ADIR003660
OG0000134	AAEL019679	ADIR003658
OG0000135	AAEL006011	ADIR005919
OG0000136	AAEL013227, AAEL013233, AAEL021425, AAEL006287	ADIR000092, ADIR000087
OG0000136	AAEL013692, AAEL008098, AAEL007698	ADIR006020
OG0000141	AAEL017553, AAEL002391, AAEL024216, AAEL002378, AAEL002385, AAEL002367	ADIR007903
OG0000142	AAEL002426	ADIR008287
OG0000142	AAEL002432	ADIR008294
OG0000142	AAEL002408	ADIR003290
OG0000143	AAEL007795, AAEL007807, AAEL007815, AAEL007808, AAEL007816	ADIR004529
OG0000146	AAEL007592, AAEL015137	ADIR015797, ADIR015798
OG0000147	AAEL006827, AAEL002031, AAEL001960, AAEL002005	ADIR011038
OG0000148	AAEL002676	ADIR005101
OG0000149	AAEL003091	ADIR007907
OG0000149	AAEL026670	ADIR007908
OG0000150	AAEL003497	ADIR008060
OG0000151	AAEL004025	ADIR015810
OG0000152	AAEL011180	ADIR015582
OG0000152	AAEL011177	ADIR008754, ADIR006715
OG0000152	AAEL005259	ADIR008753
OG0000154	AAEL009130, AAEL009129, AAEL009123, AAEL009131	ADIR006364
OG0000155	AAEL010418, AAEL027258, AAEL015286, AAEL010415, AAEL010428, AAEL023626, AAEL018080, AAEL010426, AAEL017079, AAEL010409	ADIR005418
OG0000156	AAEL023034, AAEL026721, AAEL023725, AAEL024129, AAEL020959, AAEL023612, AAEL021477, AAEL025177, AAEL023971, AAEL019897, AAEL021815, AAEL027272, AAEL025778, AAEL019736, AAEL023780	ADIR011505, ADIR011732
OG0000157	AAEL026898	ADIR006810
OG0000160	AAEL024826, AAEL027417, AAEL002264, AAEL023094, AAEL022840, AAEL022131, AAEL020119	ADIR003566
OG0000161	AAEL004798, AAEL002467	ADIR003591
OG0000162	AAEL002606	ADIR000482
OG0000163	AAEL004507	ADIR015554
OG0000163	AAEL022219	ADIR015557
OG0000163	AAEL004486	ADIR015556
OG0000164	AAEL007511	ADIR004411
OG0000164	AAEL014567	ADIR004413
OG0000165	AAEL008017	ADIR001509
OG0000165	AAEL025214	ADIR001510
OG0000165	AAEL008018	ADIR009841, ADIR005706
OG0000166	AAEL013556, AAEL013554	ADIR016085
OG0000166	AAEL014830	ADIR008138
OG0000166	AAEL014019	ADIR016086
OG0000171	AAEL023653, AAEL005134	ADIR002126
OG0000172	AAEL026737	ADIR000138
OG0000172	AAEL020253	ADIR000141
OG0000172	AAEL011332	ADIR000131
OG0000173	AAEL014515	ADIR011553
OG0000174	AAEL029047	ADIR000944
OG0000174	AAEL029038, AAEL029046, AAEL029041, AAEL029044	ADIR015737
OG0000174	AAEL029104	ADIR015738
OG0000181	AAEL004729, AAEL026708, AAEL023262, AAEL004730, AAEL025094	ADIR008823, ADIR008822
OG0000182	AAEL005407	ADIR005388
OG0000182	AAEL005412, AAEL005426, AAEL005417	ADIR016062
OG0000182	AAEL005408	ADIR016059, ADIR016061
OG0000183	AAEL005786, AAEL019497, AAEL022007, AAEL009434, AAEL019498	ADIR006377, ADIR005819
OG0000184	AAEL005999	ADIR006005
OG0000184	AAEL006003	ADIR015591, ADIR015590
OG0000185	AAEL013981, AAEL013983, AAEL021888	ADIR000196
OG0000185	AAEL008045	ADIR016097
OG0000187	AAEL000035	ADIR002758
OG0000188	AAEL017003, AAEL003253, AAEL003243	ADIR009257, ADIR009256
OG0000189	AAEL003743	ADIR005379
OG0000189	AAEL006390, AAEL014053	ADIR010508
OG0000190	AAEL024092	ADIR005000
OG0000190	AAEL020855	ADIR011475
OG0000190	AAEL023141	ADIR011077
OG0000190	AAEL003982	ADIR004999
OG0000191	AAEL007085, AAEL024044	ADIR007485, ADIR014641
OG0000192	AAEL018352	ADIR010909
OG0000192	AAEL008055	ADIR005792
OG0000192	AAEL007664	ADIR000914
OG0000193	AAEL018151, AAEL008595	ADIR005330
OG0000194	AAEL022256, AAEL009193	ADIR005946
OG0000196	AAEL014662, AAEL011677, AAEL019722	ADIR010880
OG0000197	AAEL027813, AAEL020324, AAEL025634, AAEL023285, AAEL023574, AAEL023986, AAEL027812, AAEL022037, AAEL027656, AAEL022659, AAEL024699, AAEL024167, AAEL027531, AAEL023888, AAEL027158	ADIR010797
OG0000200	AAEL019407	ADIR000096
OG0000200	AAEL000536	ADIR000097
OG0000200	AAEL000123	ADIR006692
OG0000201	AAEL020195, AAEL001844	ADIR004196
OG0000202	AAEL012457, AAEL012455	ADIR003924
OG0000204	AAEL014078	ADIR015854, ADIR016103, ADIR015857
OG0000204	AAEL005665	ADIR015855
OG0000204	AAEL014079	ADIR015856
OG0000205	AAEL007913	ADIR005975
OG0000206	AAEL006668	ADIR000696
OG0000207	AAEL027951, AAEL026297, AAEL007619	ADIR016010, ADIR016011
OG0000208	AAEL008259, AAEL027364	ADIR001797
OG0000208	AAEL023637, AAEL008283	ADIR001798
OG0000209	AAEL020200	ADIR001972
OG0000210	AAEL022562, AAEL013032	ADIR000241
OG0000217	AAEL002994	ADIR010726
OG0000217	AAEL001622	ADIR005194
OG0000218	AAEL001969	ADIR011222
OG0000218	AAEL002028	ADIR011220, ADIR011219
OG0000219	AAEL012431, AAEL010858, AAEL012430, AAEL024868, AAEL010853	ADIR001531
OG0000220	AAEL002969, AAEL002959	ADIR006414
OG0000221	AAEL021590, AAEL003079	ADIR011011
OG0000221	AAEL014371, AAEL008560	ADIR003610
OG0000222	AAEL021010, AAEL019957	ADIR000671
OG0000223	AAEL006487	ADIR010046
OG0000224	AAEL006835	ADIR008980, ADIR008979
OG0000225	AAEL014413	ADIR016029
OG0000225	AAEL014411, AAEL014412	ADIR016028, ADIR016027
OG0000226	AAEL027179	ADIR006402, ADIR006405, ADIR006404
OG0000229	AAEL000515, AAEL000505	ADIR002810
OG0000229	AAEL024475	ADIR005804, ADIR005315
OG0000230	AAEL021401, AAEL006228, AAEL024098, AAEL001015, AAEL005000	ADIR006854
OG0000231	AAEL001743, AAEL001735, AAEL008873, AAEL008866, AAEL008869, AAEL008872	ADIR007453, ADIR007454
OG0000232	AAEL002043, AAEL026706	ADIR006899, ADIR016139, ADIR016138
OG0000233	AAEL007602, AAEL003060	ADIR010041
OG0000234	AAEL019609	ADIR000732
OG0000234	AAEL007447	ADIR000742
OG0000234	AAEL007449	ADIR000738
OG0000235	AAEL008843, AAEL008580, AAEL024616	ADIR002045
OG0000236	AAEL009206	ADIR010024, ADIR000559
OG0000237	AAEL022081, AAEL012350	ADIR015947, ADIR015946
OG0000244	AAEL001196	ADIR005063
OG0000244	AAEL000597	ADIR005071
OG0000245	AAEL010893	ADIR002600
OG0000247	AAEL001683, AAEL001677	ADIR007929, ADIR007928
OG0000247	AAEL001704	ADIR007931
OG0000248	AAEL018042	ADIR015997
OG0000248	AAEL018041	ADIR015996
OG0000249	AAEL003738, AAEL003726, AAEL003740, AAEL003728, AAEL023973	ADIR001663
OG0000250	AAEL004580	ADIR015773
OG0000250	AAEL004582	ADIR015774
OG0000250	AAEL004575	ADIR015775
OG0000251	AAEL006353, AAEL006344	ADIR002011
OG0000252	AAEL007257, AAEL007251, AAEL014554	ADIR001823
OG0000252	AAEL024448	ADIR014170, ADIR014169
OG0000253	AAEL007993, AAEL007992	ADIR010453, ADIR010451, ADIR010452
OG0000254	AAEL012040	ADIR005871
OG0000254	AAEL009916	ADIR008307
OG0000255	AAEL012770, AAEL012762, AAEL020553, AAEL011761, AAEL022568, AAEL012769, AAEL012765	ADIR008975
OG0000256	AAEL012425, AAEL012422	ADIR003547
OG0000257	AAEL019890, AAEL027350	ADIR004880
OG0000265	AAEL008213, AAEL008211	ADIR008235, ADIR008228
OG0000265	AAEL000249	ADIR001201
OG0000266	AAEL013662	ADIR006770
OG0000266	AAEL000757	ADIR000724, ADIR000723
OG0000268	AAEL002690	ADIR005898, ADIR005897
OG0000268	AAEL002692	ADIR005896
OG0000269	AAEL003195, AAEL026083, AAEL023346, AAEL003196, AAEL020734, AAEL021498, AAEL003181, AAEL022449, AAEL003201, AAEL028198, AAEL003187, AAEL024002	ADIR016218
OG0000270	AAEL003444, AAEL003439	ADIR001672, ADIR001921
OG0000272	AAEL008858	ADIR001841, ADIR001852
OG0000272	AAEL008876	ADIR009159
OG0000274	AAEL010098, AAEL010099	ADIR009412
OG0000275	AAEL012343, AAEL012349, AAEL023211	ADIR010509
OG0000276	AAEL013044, AAEL013048, AAEL013054	ADIR002281
OG0000277	AAEL013198, AAEL026420	ADIR002721, ADIR002720
OG0000278	AAEL013217	ADIR001634, ADIR001650, ADIR001649, ADIR001631
OG0000279	AAEL017402	ADIR000638
OG0000279	AAEL021930, AAEL025608	ADIR000639
OG0000280	AAEL029034	ADIR004761, ADIR004760
OG0000280	AAEL029031	ADIR004759
OG0000285	AAEL000029	ADIR002894
OG0000285	AAEL000024	ADIR015838, ADIR015839
OG0000286	AAEL022696, AAEL000613, AAEL000628, AAEL000614, AAEL006465, AAEL017294	ADIR005642
OG0000287	AAEL001221	ADIR015574, ADIR015569, ADIR015568, ADIR015575
OG0000288	AAEL020558, AAEL001320, AAEL001292, AAEL025530, AAEL001312, AAEL001807, AAEL009591	ADIR006111, ADIR015495
OG0000289	AAEL003317, AAEL003297, AAEL003298	ADIR016116, ADIR016115
OG0000290	AAEL004103, AAEL004092	ADIR002288, ADIR002287
OG0000291	AAEL004592	ADIR007609
OG0000291	AAEL024570	ADIR015675
OG0000292	AAEL004935	ADIR009319
OG0000292	AAEL004923	ADIR009317
OG0000293	AAEL019520	ADIR000907
OG0000293	AAEL005702, AAEL010609	ADIR008608
OG0000294	AAEL022989, AAEL007040	ADIR002675, ADIR002676
OG0000294	AAEL006160	ADIR005219
OG0000295	AAEL006385	ADIR016166, ADIR016165, ADIR016167, ADIR016169, ADIR016168
OG0000297	AAEL006818	ADIR015723
OG0000297	AAEL006829	ADIR015724
OG0000298	AAEL009528, AAEL008380	ADIR007480
OG0000298	AAEL007711	ADIR014006
OG0000299	AAEL007893	ADIR010341
OG0000299	AAEL008152, AAEL027985, AAEL008159	ADIR002354
OG0000300	AAEL009978	ADIR003683
OG0000302	AAEL015566, AAEL015567	ADIR016215
OG0000302	AAEL011499	ADIR008218
OG0000303	AAEL011563	ADIR005583
OG0000304	AAEL014541	ADIR010873
OG0000304	AAEL014537	ADIR010872
OG0000305	AAEL019599	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834
OG0000306	AAEL022773	ADIR010982, ADIR010985, ADIR010986, ADIR010984
OG0000317	AAEL000039, AAEL000089, AAEL000066, AAEL000018	ADIR008367
OG0000318	AAEL000690	ADIR006689, ADIR007089
OG0000319	AAEL026313, AAEL027346	ADIR004939
OG0000319	AAEL001010	ADIR007826
OG0000320	AAEL002288, AAEL002301	ADIR005272, ADIR005235
OG0000321	AAEL002904	ADIR015863, ADIR015862
OG0000321	AAEL002917	ADIR011556
OG0000324	AAEL005749	ADIR010906
OG0000324	AAEL005763	ADIR010907
OG0000325	AAEL005759, AAEL007339, AAEL005890	ADIR006976
OG0000326	AAEL007169	ADIR005565
OG0000326	AAEL006077	ADIR003426
OG0000327	AAEL006684, AAEL012580, AAEL021830, AAEL024894, AAEL019749, AAEL019750, AAEL027138, AAEL010580, AAEL006679, AAEL022785, AAEL025034	ADIR004793
OG0000328	AAEL026562, AAEL006696	ADIR001956
OG0000328	AAEL022561, AAEL006692	ADIR001957
OG0000329	AAEL008634	ADIR006061, ADIR003916
OG0000329	AAEL008622	ADIR006062
OG0000330	AAEL009580	ADIR001248
OG0000331	AAEL011658	ADIR009969
OG0000332	AAEL011931	ADIR010199, ADIR010356, ADIR010198
OG0000333	AAEL012421	ADIR004150, ADIR004140, ADIR007959, ADIR003780
OG0000334	AAEL013154	ADIR004979
OG0000336	AAEL024525	ADIR004182
OG0000336	AAEL021016	ADIR004184
OG0000344	AAEL000073	ADIR008368
OG0000344	AAEL012377	ADIR001581
OG0000346	AAEL000216, AAEL004949, AAEL004953, AAEL004947	ADIR002727
OG0000347	AAEL000861, AAEL000859	ADIR011568
OG0000348	AAEL000890, AAEL000896	ADIR005623
OG0000349	AAEL013997	ADIR008567
OG0000349	AAEL001041	ADIR008566
OG0000351	AAEL001519	ADIR000179
OG0000352	AAEL024332, AAEL001566	ADIR005371
OG0000352	AAEL005791	ADIR004606
OG0000353	AAEL001745, AAEL001732	ADIR007451
OG0000354	AAEL006113	ADIR002946
OG0000354	AAEL002541	ADIR010471
OG0000355	AAEL002967	ADIR006415
OG0000357	AAEL003506	ADIR010484, ADIR010483
OG0000357	AAEL003504	ADIR010481, ADIR010482
OG0000359	AAEL010434, AAEL006138, AAEL006126	ADIR008488
OG0000360	AAEL006355, AAEL006361, AAEL006337	ADIR001997
OG0000361	AAEL006624	ADIR002964
OG0000362	AAEL027003, AAEL007951, AAEL023692	ADIR015887, ADIR015885
OG0000363	AAEL009863	ADIR015546
OG0000363	AAEL009860, AAEL020112, AAEL022139	ADIR015547
OG0000364	AAEL011346, AAEL011348, AAEL009968	ADIR016198, ADIR016196
OG0000365	AAEL011314	ADIR004665
OG0000366	AAEL019797, AAEL019798, AAEL011797, AAEL011798	ADIR010711
OG0000367	AAEL012509	ADIR003716
OG0000368	AAEL012866, AAEL012870, AAEL012860	ADIR004446
OG0000369	AAEL022846	ADIR010892
OG0000369	AAEL019808	ADIR010893, ADIR010887
OG0000370	AAEL017446	ADIR000577
OG0000370	AAEL017182	ADIR010058
OG0000371	AAEL019862	ADIR007433, ADIR007434, ADIR007436
OG0000372	AAEL023438	ADIR015735
OG0000380	AAEL000012	ADIR015576
OG0000380	AAEL024813	ADIR015577
OG0000381	AAEL008574	ADIR016122
OG0000381	AAEL000735	ADIR016121
OG0000382	AAEL000797	ADIR011633
OG0000382	AAEL000834	ADIR011634
OG0000383	AAEL000810	ADIR009909
OG0000383	AAEL019951	ADIR009553
OG0000384	AAEL000910	ADIR011575, ADIR011584, ADIR011574
OG0000386	AAEL007218	ADIR007470
OG0000387	AAEL001769	ADIR001678
OG0000387	AAEL002083	ADIR006893
OG0000388	AAEL027351, AAEL003190, AAEL020406	ADIR010377, ADIR010378, ADIR010640
OG0000389	AAEL003708	ADIR003638
OG0000390	AAEL009682, AAEL008411, AAEL023723, AAEL004505, AAEL010959, AAEL010957	ADIR009143
OG0000391	AAEL005160	ADIR006703
OG0000391	AAEL006372	ADIR000463
OG0000392	AAEL005725	ADIR015588, ADIR015589, ADIR015587
OG0000393	AAEL005918	ADIR008379
OG0000393	AAEL025460	ADIR008380
OG0000394	AAEL006264	ADIR009815
OG0000395	AAEL006675	ADIR004795
OG0000395	AAEL010567	ADIR000918
OG0000396	AAEL006978	ADIR006188
OG0000396	AAEL022582, AAEL026610	ADIR006187
OG0000397	AAEL008672	ADIR005187
OG0000397	AAEL008138	ADIR002696
OG0000398	AAEL008295, AAEL008294, AAEL008288, AAEL008284	ADIR008789
OG0000399	AAEL008784	ADIR001694
OG0000399	AAEL008782, AAEL008767	ADIR007577
OG0000400	AAEL023342	ADIR003792
OG0000400	AAEL009218	ADIR003582
OG0000401	AAEL019824	ADIR003313
OG0000401	AAEL009275	ADIR001782
OG0000402	AAEL009769, AAEL009767	ADIR004118, ADIR007659, ADIR007661
OG0000403	AAEL011204	ADIR001185
OG0000403	AAEL014297	ADIR008736
OG0000404	AAEL012131, AAEL012128	ADIR000386
OG0000405	AAEL023643, AAEL012560, AAEL012558	ADIR016033, ADIR016035
OG0000406	AAEL012839	ADIR010242, ADIR002392, ADIR002343
