Orthogroup	AaegyptiLVP_AGWG	AfunestusAfunGA1
OG0000069	AAEL009556, AAEL009555, AAEL009553	AFUN2_004523, AFUN2_006118, AFUN2_010311, AFUN2_012252
OG0000071	AAEL007812	AFUN2_007775, AFUN2_009753
OG0000071	AAEL002085, AAEL003399	AFUN2_014078
OG0000071	AAEL013798	AFUN2_008604, AFUN2_008424, AFUN2_006008
OG0000072	AAEL013229	AFUN2_010362
OG0000072	AAEL006642	AFUN2_005951
OG0000072	AAEL012424	AFUN2_008401
OG0000072	AAEL026111, AAEL004172	AFUN2_008209
OG0000073	AAEL007136	AFUN2_006853
OG0000073	AAEL007128	AFUN2_012208
OG0000074	AAEL011460, AAEL011454	AFUN2_001362, AFUN2_008795, AFUN2_001014, AFUN2_003460, AFUN2_012551
OG0000074	AAEL011449	AFUN2_006428
OG0000075	AAEL013444, AAEL013442, AAEL013443, AAEL021060, AAEL025773, AAEL013439	AFUN2_009178, AFUN2_014263, AFUN2_005741, AFUN2_007975
OG0000076	AAEL003992	AFUN2_000390, AFUN2_002799, AFUN2_012586
OG0000077	AAEL021375	AFUN2_011333
OG0000077	AAEL026915	AFUN2_001755
OG0000077	AAEL015020, AAEL015573, AAEL015021	AFUN2_000688, AFUN2_006649
OG0000077	AAEL015022	AFUN2_002148
OG0000079	AAEL023932, AAEL006498, AAEL006259	AFUN2_012158, AFUN2_003268, AFUN2_001951
OG0000079	AAEL005621, AAEL005625, AAEL006484, AAEL024685	AFUN2_003859
OG0000080	AAEL012700, AAEL012702	AFUN2_011331
OG0000080	AAEL012698	AFUN2_001435
OG0000080	AAEL008384, AAEL008386	AFUN2_009609, AFUN2_005626
OG0000081	AAEL013347	AFUN2_011577
OG0000081	AAEL013349, AAEL013352, AAEL013346, AAEL013344, AAEL013348, AAEL013338	AFUN2_004811, AFUN2_010972
OG0000081	AAEL013341	AFUN2_012341
OG0000082	AAEL019868	AFUN2_012054
OG0000085	AAEL014439, AAEL014440, AAEL003971, AAEL003954	AFUN2_010241, AFUN2_007525, AFUN2_013450, AFUN2_004039
OG0000086	AAEL012778	AFUN2_011858
OG0000086	AAEL008163, AAEL008162, AAEL022247, AAEL019828	AFUN2_006387, AFUN2_009185, AFUN2_010974
OG0000086	AAEL009108	AFUN2_001324
OG0000088	AAEL001517	AFUN2_014792
OG0000088	AAEL000546, AAEL000530, AAEL000545, AAEL008532, AAEL004724	AFUN2_006389, AFUN2_012429
OG0000089	AAEL008252, AAEL022849	AFUN2_006698
OG0000089	AAEL001151	AFUN2_004303, AFUN2_011302, AFUN2_007001, AFUN2_005638, AFUN2_010754, AFUN2_005237, AFUN2_004286
OG0000089	AAEL001146	AFUN2_005151
OG0000090	AAEL003723, AAEL003712	AFUN2_012179
OG0000090	AAEL017132	AFUN2_011067
OG0000090	AAEL015404	AFUN2_004646
OG0000091	AAEL007010, AAEL021861, AAEL007024	AFUN2_004400
OG0000096	AAEL002851	AFUN2_007046
OG0000096	AAEL019894	AFUN2_000740
OG0000096	AAEL005052	AFUN2_004816
OG0000096	AAEL002848	AFUN2_002084
OG0000097	AAEL009559, AAEL009567	AFUN2_004895
OG0000097	AAEL009566	AFUN2_005456
OG0000097	AAEL029014	AFUN2_013795
OG0000098	AAEL014140, AAEL014137, AAEL022822	AFUN2_000935
OG0000104	AAEL002669, AAEL002666, AAEL002658	AFUN2_001037
OG0000104	AAEL002668, AAEL006823	AFUN2_011196, AFUN2_006302
OG0000107	AAEL014731, AAEL007754, AAEL004928	AFUN2_001412, AFUN2_012650
OG0000108	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165	AFUN2_013458
OG0000109	AAEL018267	AFUN2_009795
OG0000109	AAEL023958	AFUN2_004467
OG0000109	AAEL027539	AFUN2_002263
OG0000111	AAEL024249, AAEL017232, AAEL027929, AAEL025172	AFUN2_012122, AFUN2_010977, AFUN2_001513, AFUN2_001833, AFUN2_007611
OG0000114	AAEL002241, AAEL002191, AAEL002229, AAEL002211, AAEL025678, AAEL002231, AAEL002246	AFUN2_001369, AFUN2_010132
OG0000114	AAEL002223, AAEL002233, AAEL002187	AFUN2_006701
OG0000115	AAEL004247	AFUN2_007755
OG0000115	AAEL022427	AFUN2_008885
OG0000116	AAEL005045, AAEL017209	AFUN2_012892
OG0000116	AAEL005043	AFUN2_001632, AFUN2_011292
OG0000116	AAEL004743	AFUN2_005701
OG0000117	AAEL020121, AAEL022048	AFUN2_014579, AFUN2_013280
OG0000119	AAEL005200	AFUN2_008133
OG0000119	AAEL005199, AAEL020054, AAEL005182, AAEL023662, AAEL004323	AFUN2_003288
OG0000120	AAEL019920, AAEL005609, AAEL005607, AAEL019919	AFUN2_014360
OG0000120	AAEL005594, AAEL005611	AFUN2_014310, AFUN2_007600
OG0000127	AAEL011528, AAEL000686, AAEL001057, AAEL001096, AAEL007941	AFUN2_007961, AFUN2_014650, AFUN2_010892
OG0000128	AAEL000904	AFUN2_009017
OG0000128	AAEL000918	AFUN2_013941
OG0000128	AAEL019933	AFUN2_007884
OG0000129	AAEL012683, AAEL012688, AAEL002373, AAEL012680, AAEL012685	AFUN2_004369, AFUN2_004902, AFUN2_001390
OG0000129	AAEL001195	AFUN2_011235, AFUN2_004109
OG0000130	AAEL008160	AFUN2_011184
OG0000130	AAEL002237	AFUN2_008453, AFUN2_009668
OG0000131	AAEL024660	AFUN2_005171
OG0000131	AAEL003272	AFUN2_011906
OG0000131	AAEL003226	AFUN2_003726
OG0000131	AAEL003259	AFUN2_006692
OG0000132	AAEL005293	AFUN2_007055, AFUN2_004597
OG0000132	AAEL003840	AFUN2_003612
OG0000133	AAEL004091	AFUN2_010213
OG0000133	AAEL014230	AFUN2_005015, AFUN2_001924, AFUN2_013209
OG0000134	AAEL019678	AFUN2_012800
OG0000134	AAEL019679	AFUN2_008047, AFUN2_001568
OG0000136	AAEL013227, AAEL013233, AAEL021425, AAEL006287	AFUN2_003409
OG0000136	AAEL013692, AAEL008098, AAEL007698	AFUN2_000794
OG0000141	AAEL017553, AAEL002391, AAEL024216, AAEL002378, AAEL002385, AAEL002367	AFUN2_004272, AFUN2_006156
OG0000142	AAEL002426	AFUN2_002023, AFUN2_002866
OG0000142	AAEL002432	AFUN2_007901
OG0000142	AAEL002408	AFUN2_008099
OG0000143	AAEL007816	AFUN2_004552
OG0000146	AAEL007592, AAEL015137	AFUN2_008600, AFUN2_001333, AFUN2_000602
OG0000147	AAEL006827, AAEL002031, AAEL001960, AAEL002005	AFUN2_001243, AFUN2_006652
OG0000148	AAEL002676	AFUN2_006078
OG0000149	AAEL003091	AFUN2_007018
OG0000149	AAEL026670	AFUN2_007305
OG0000149	AAEL003076	AFUN2_003087
OG0000150	AAEL003497	AFUN2_013472
OG0000151	AAEL004025	AFUN2_008586
OG0000152	AAEL011180	AFUN2_004036
OG0000152	AAEL005259	AFUN2_007248, AFUN2_012516
OG0000154	AAEL009130, AAEL009129, AAEL009123, AAEL009131	AFUN2_012942, AFUN2_007474, AFUN2_001817
OG0000155	AAEL010418, AAEL027258, AAEL015286, AAEL010415, AAEL010428, AAEL023626, AAEL018080, AAEL010426, AAEL017079, AAEL010409	AFUN2_011178, AFUN2_006679
OG0000157	AAEL026898	AFUN2_002461
OG0000160	AAEL024826, AAEL027417	AFUN2_013760, AFUN2_000560, AFUN2_005480
OG0000160	AAEL002264, AAEL023094, AAEL022840, AAEL022131, AAEL020119	AFUN2_009497
OG0000161	AAEL021131	AFUN2_002280
OG0000161	AAEL004798, AAEL002467	AFUN2_013883
OG0000162	AAEL002617	AFUN2_008191
OG0000162	AAEL002606	AFUN2_004390
OG0000163	AAEL004507	AFUN2_009739
OG0000163	AAEL022219	AFUN2_005717
OG0000163	AAEL004486	AFUN2_004668
OG0000164	AAEL007511	AFUN2_007065
OG0000164	AAEL026347	AFUN2_003491
OG0000164	AAEL014567	AFUN2_014641
OG0000164	AAEL007514	AFUN2_008297
OG0000165	AAEL008017	AFUN2_004493
OG0000165	AAEL025214	AFUN2_008088
OG0000165	AAEL008018	AFUN2_007300, AFUN2_012709
OG0000166	AAEL014830	AFUN2_013647
OG0000166	AAEL014019	AFUN2_001188
OG0000168	AAEL022694, AAEL023789, AAEL026755	AFUN2_011437
OG0000171	AAEL027547, AAEL017192	AFUN2_006837
OG0000171	AAEL023653, AAEL005134	AFUN2_013379
OG0000172	AAEL026737	AFUN2_004764
OG0000172	AAEL020253	AFUN2_014173
OG0000172	AAEL011332	AFUN2_011072
OG0000173	AAEL014515	AFUN2_006638
OG0000174	AAEL029047	AFUN2_000386
OG0000174	AAEL029038, AAEL029046, AAEL029041, AAEL029044	AFUN2_011578
OG0000180	AAEL021730, AAEL002208, AAEL029006, AAEL022045, AAEL002239, AAEL002189, AAEL002245, AAEL002202	AFUN2_004082
OG0000181	AAEL004729, AAEL026708, AAEL023262, AAEL004730, AAEL025094	AFUN2_012634, AFUN2_005105, AFUN2_007521
OG0000182	AAEL005407	AFUN2_004625
OG0000182	AAEL005412, AAEL005426, AAEL005417	AFUN2_001977
OG0000182	AAEL005408	AFUN2_010645
OG0000183	AAEL005786, AAEL019497, AAEL022007, AAEL009434, AAEL019498	AFUN2_006554, AFUN2_005817, AFUN2_013925, AFUN2_007926
OG0000184	AAEL005999	AFUN2_012600
OG0000184	AAEL006003	AFUN2_009129, AFUN2_006403
OG0000185	AAEL013981, AAEL013983, AAEL021888	AFUN2_004065
OG0000185	AAEL008045	AFUN2_004964, AFUN2_008198
OG0000187	AAEL000035	AFUN2_008775
OG0000189	AAEL003743	AFUN2_010394
OG0000189	AAEL006390	AFUN2_002979
OG0000189	AAEL014053	AFUN2_009982
OG0000190	AAEL020855	AFUN2_013220
OG0000190	AAEL023141	AFUN2_007361
OG0000190	AAEL003982	AFUN2_014239
OG0000191	AAEL007085, AAEL024044	AFUN2_001434, AFUN2_013752, AFUN2_000844, AFUN2_007718
OG0000192	AAEL018352	AFUN2_002573
OG0000192	AAEL008055	AFUN2_010718
OG0000192	AAEL007664	AFUN2_006065
OG0000193	AAEL018151, AAEL008595	AFUN2_010552, AFUN2_009366, AFUN2_003838, AFUN2_011367
OG0000194	AAEL022256, AAEL009193	AFUN2_001454
OG0000194	AAEL009203	AFUN2_008119
OG0000196	AAEL014662, AAEL011677, AAEL019722	AFUN2_005920
OG0000200	AAEL019407	AFUN2_008798
OG0000200	AAEL000536	AFUN2_010360
OG0000200	AAEL000123	AFUN2_014432
OG0000201	AAEL001839	AFUN2_004882
OG0000201	AAEL020195, AAEL001844	AFUN2_007662
OG0000201	AAEL001840	AFUN2_003280
OG0000202	AAEL012457, AAEL012455	AFUN2_013904
OG0000202	AAEL003617, AAEL026142, AAEL011356	AFUN2_001437
OG0000203	AAEL003626	AFUN2_010926
OG0000203	AAEL003641, AAEL003619	AFUN2_004259
OG0000203	AAEL018304	AFUN2_000689
OG0000204	AAEL014078	AFUN2_005886
OG0000204	AAEL005665	AFUN2_004049
OG0000205	AAEL008898	AFUN2_010456
OG0000205	AAEL007913	AFUN2_003370
OG0000206	AAEL009935, AAEL009945, AAEL009938	AFUN2_009572
OG0000206	AAEL006668	AFUN2_000978
OG0000207	AAEL027951, AAEL026297, AAEL007619	AFUN2_000379, AFUN2_002113
OG0000208	AAEL008274	AFUN2_000748
OG0000208	AAEL008259, AAEL027364	AFUN2_013487
OG0000208	AAEL023637, AAEL008283	AFUN2_002391
OG0000209	AAEL020200	AFUN2_001039
OG0000210	AAEL022562, AAEL013032	AFUN2_014566, AFUN2_014802, AFUN2_009879, AFUN2_005823
OG0000211	AAEL021862	AFUN2_003763, AFUN2_005773
OG0000212	AAEL027776	AFUN2_005574
OG0000217	AAEL002994	AFUN2_005144
OG0000217	AAEL001622	AFUN2_003295
OG0000217	AAEL003013	AFUN2_000967
OG0000218	AAEL001969	AFUN2_001352
OG0000218	AAEL002028	AFUN2_014112, AFUN2_007094
OG0000219	AAEL002940	AFUN2_005902
OG0000219	AAEL012431, AAEL010858, AAEL012430, AAEL024868, AAEL010853	AFUN2_004669
OG0000220	AAEL002969, AAEL002959	AFUN2_004984
OG0000220	AAEL002972	AFUN2_008743
OG0000221	AAEL021590, AAEL003079	AFUN2_002758, AFUN2_007038
OG0000221	AAEL014371, AAEL008560	AFUN2_006461
OG0000222	AAEL021010, AAEL019957	AFUN2_008952
OG0000223	AAEL006487	AFUN2_006017
OG0000223	AAEL006995	AFUN2_009640
OG0000223	AAEL007016	AFUN2_001947
OG0000224	AAEL006835	AFUN2_004727, AFUN2_006433
OG0000225	AAEL014413	AFUN2_013899
OG0000225	AAEL014411, AAEL014412	AFUN2_005712, AFUN2_007468
OG0000226	AAEL027179	AFUN2_009224, AFUN2_010010, AFUN2_001724, AFUN2_005224
OG0000229	AAEL000515, AAEL000505	AFUN2_002725
OG0000229	AAEL024475	AFUN2_001410, AFUN2_012986
OG0000230	AAEL021401, AAEL006228, AAEL024098, AAEL001015, AAEL005000	AFUN2_013851, AFUN2_006362
OG0000231	AAEL001743, AAEL001735, AAEL008873, AAEL008866, AAEL008869, AAEL008872	AFUN2_014167, AFUN2_001796
OG0000232	AAEL002043, AAEL026706	AFUN2_001279, AFUN2_004132
OG0000233	AAEL007602, AAEL003060	AFUN2_005591
OG0000233	AAEL009843	AFUN2_009669
OG0000234	AAEL019609	AFUN2_006786
OG0000234	AAEL007447	AFUN2_005910
OG0000234	AAEL007449	AFUN2_014325
OG0000235	AAEL008843, AAEL008580, AAEL024616	AFUN2_000576, AFUN2_003102, AFUN2_003000
OG0000236	AAEL009206	AFUN2_012443, AFUN2_002078
OG0000237	AAEL022081, AAEL012350	AFUN2_014509, AFUN2_005130, AFUN2_010795
OG0000244	AAEL001196	AFUN2_005802
OG0000245	AAEL010893	AFUN2_014246, AFUN2_010459
OG0000245	AAEL000843, AAEL010894	AFUN2_014309
OG0000246	AAEL001059	AFUN2_012397, AFUN2_008092, AFUN2_001095, AFUN2_005703, AFUN2_002388
OG0000247	AAEL001683, AAEL001677	AFUN2_012107, AFUN2_004620
OG0000247	AAEL001704	AFUN2_001600
OG0000248	AAEL001822, AAEL001816	AFUN2_010809
OG0000248	AAEL018042, AAEL018041	AFUN2_011791
OG0000249	AAEL003738, AAEL003726, AAEL003740, AAEL003728, AAEL023973	AFUN2_006007, AFUN2_010916
OG0000250	AAEL004580	AFUN2_003687
OG0000250	AAEL004582	AFUN2_007149
OG0000250	AAEL004575	AFUN2_003179
OG0000251	AAEL006353, AAEL006344	AFUN2_007933, AFUN2_012347
OG0000251	AAEL006338	AFUN2_010165, AFUN2_009809
OG0000252	AAEL007257, AAEL007251, AAEL014554	AFUN2_006568
OG0000252	AAEL024448	AFUN2_010012
