Orthogroup	AaegyptiLVP_AGWG	CquinquefasciatusJHB2020
OG0000008	AAEL014604, AAEL019504	CQUJHB011337
OG0000009	AAEL020927	CQUJHB014156
OG0000009	AAEL003669	CQUJHB014655, CQUJHB005147
OG0000009	AAEL021347, AAEL021778, AAEL021459	CQUJHB010981
OG0000010	AAEL008218	CQUJHB010392
OG0000010	AAEL008217	CQUJHB008428
OG0000010	AAEL008208, AAEL008207, AAEL023597, AAEL008221, AAEL008206	CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374
OG0000010	AAEL008212	CQUJHB000883, CQUJHB007232, CQUJHB017919, CQUJHB015579
OG0000011	AAEL025558	CQUJHB005466
OG0000011	AAEL021195	CQUJHB017782
OG0000011	AAEL021283, AAEL010552, AAEL025406, AAEL021887, AAEL021662, AAEL024659, AAEL022308, AAEL024610, AAEL023218, AAEL028146, AAEL023858	CQUJHB009406, CQUJHB008703, CQUJHB007209, CQUJHB003154, CQUJHB016900, CQUJHB006977, CQUJHB006084, CQUJHB014128, CQUJHB014298, CQUJHB009992, CQUJHB003864, CQUJHB007951, CQUJHB009382, CQUJHB002707
OG0000012	AAEL009284, AAEL009296	CQUJHB005776, CQUJHB000447
OG0000012	AAEL021821	CQUJHB015331
OG0000012	AAEL022066, AAEL021946, AAEL021903	CQUJHB006695, CQUJHB006332, CQUJHB001229, CQUJHB004173
OG0000013	AAEL009791, AAEL009790, AAEL020010, AAEL009802, AAEL009783, AAEL009788, AAEL009803, AAEL015363, AAEL009793, AAEL020011, AAEL009807, AAEL009796, AAEL009784, AAEL009801, AAEL015163	CQUJHB005557, CQUJHB003968
OG0000013	AAEL023763, AAEL002110	CQUJHB001230
OG0000013	AAEL002099	CQUJHB017291
OG0000013	AAEL026306, AAEL027846, AAEL028212, AAEL002092	CQUJHB016730, CQUJHB002448, CQUJHB016895
OG0000014	AAEL003156	CQUJHB010535
OG0000014	AAEL007942	CQUJHB016652
OG0000014	AAEL020192	CQUJHB005213, CQUJHB010035, CQUJHB004375, CQUJHB007396, CQUJHB004496, CQUJHB013428, CQUJHB011375, CQUJHB017103, CQUJHB002299, CQUJHB002262, CQUJHB000349, CQUJHB009868, CQUJHB010683, CQUJHB003432, CQUJHB007349, CQUJHB000429, CQUJHB012022, CQUJHB011118
OG0000014	AAEL011007	CQUJHB005028
OG0000015	AAEL010677	CQUJHB014108, CQUJHB006827
OG0000015	AAEL010671	CQUJHB017458
OG0000015	AAEL017179	CQUJHB004989, CQUJHB013505
OG0000015	AAEL007669, AAEL029052, AAEL017320, AAEL017302, AAEL001461, AAEL017452	CQUJHB001525, CQUJHB015763, CQUJHB012741
OG0000016	AAEL010202, AAEL013712, AAEL010196	CQUJHB002864, CQUJHB014022, CQUJHB013033, CQUJHB008355, CQUJHB010597
OG0000016	AAEL013703	CQUJHB015483, CQUJHB013841, CQUJHB014607
OG0000016	AAEL012852	CQUJHB001605
OG0000016	AAEL006425	CQUJHB016745, CQUJHB011147, CQUJHB016507
OG0000016	AAEL007818	CQUJHB001667, CQUJHB007454, CQUJHB003219, CQUJHB007767
OG0000016	AAEL004996	CQUJHB016639
OG0000017	AAEL003846, AAEL003689, AAEL021540	CQUJHB001516
OG0000017	AAEL020506, AAEL021628, AAEL020517, AAEL020976, AAEL020216	CQUJHB006644
OG0000018	AAEL018005, AAEL025919, AAEL023550, AAEL022469, AAEL027321, AAEL024352, AAEL023264, AAEL022185, AAEL022664	CQUJHB002387, CQUJHB001966
OG0000020	AAEL029084, AAEL029082	CQUJHB016342, CQUJHB004831
OG0000020	AAEL008681	CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495
OG0000021	AAEL004631	CQUJHB005197
OG0000021	AAEL001673	CQUJHB014638
OG0000021	AAEL011197	CQUJHB010956
OG0000021	AAEL004616	CQUJHB016733
OG0000021	AAEL001928	CQUJHB010858
OG0000021	AAEL009451	CQUJHB012948
OG0000021	AAEL001951	CQUJHB015628
OG0000023	AAEL000351, AAEL029065	CQUJHB002404, CQUJHB000253, CQUJHB005111, CQUJHB002050, CQUJHB007212
OG0000023	AAEL000323	CQUJHB015434
OG0000024	AAEL010380, AAEL017311	CQUJHB005662
OG0000024	AAEL010367	CQUJHB001106
OG0000024	AAEL024680	CQUJHB003177
OG0000024	AAEL010384	CQUJHB015002
OG0000024	AAEL010370	CQUJHB015651
OG0000024	AAEL010382	CQUJHB010229, CQUJHB003602
OG0000024	AAEL026787	CQUJHB002318, CQUJHB007527, CQUJHB006873
OG0000026	AAEL015116, AAEL015113	CQUJHB017272
OG0000026	AAEL013492	CQUJHB011732, CQUJHB012165
OG0000026	AAEL011763, AAEL011764, AAEL020579	CQUJHB005106
OG0000026	AAEL014544	CQUJHB007540
OG0000027	AAEL012642, AAEL012648, AAEL012653	CQUJHB010117, CQUJHB008521, CQUJHB007524, CQUJHB011421, CQUJHB004925
OG0000027	AAEL015254, AAEL015252	CQUJHB013189, CQUJHB015720, CQUJHB004094
OG0000027	AAEL012641	CQUJHB008109, CQUJHB008680, CQUJHB008247
OG0000027	AAEL012649	CQUJHB011122
OG0000027	AAEL012646	CQUJHB017358, CQUJHB008899, CQUJHB012953, CQUJHB006211, CQUJHB003906, CQUJHB001161
OG0000027	AAEL012652, AAEL012645, AAEL027171	CQUJHB015070, CQUJHB003476
OG0000027	AAEL012651, AAEL025465	CQUJHB011300
OG0000027	AAEL012644, AAEL012650, AAEL012647	CQUJHB003752
OG0000030	AAEL000087, AAEL025334, AAEL019959, AAEL001794, AAEL019958	CQUJHB013699, CQUJHB008107, CQUJHB010736, CQUJHB010439
OG0000033	AAEL000074	CQUJHB013700
OG0000033	AAEL000037, AAEL000028, AAEL000099	CQUJHB013801, CQUJHB018326, CQUJHB007315, CQUJHB010724, CQUJHB008449, CQUJHB010986, CQUJHB008186
OG0000034	AAEL013796	CQUJHB005864, CQUJHB004301
OG0000034	AAEL013549	CQUJHB005355
OG0000034	AAEL002258	CQUJHB004278
OG0000034	AAEL002279	CQUJHB012032
OG0000034	AAEL011868	CQUJHB008686
OG0000034	AAEL013557	CQUJHB000157
OG0000034	AAEL013547	CQUJHB008330, CQUJHB011235, CQUJHB002589
OG0000036	AAEL000543	CQUJHB002356, CQUJHB003250
OG0000036	AAEL011455, AAEL002524	CQUJHB000400
OG0000036	AAEL000563	CQUJHB013911
OG0000036	AAEL027443	CQUJHB018317, CQUJHB002454, CQUJHB010159
OG0000036	AAEL005641	CQUJHB001838
OG0000036	AAEL029058, AAEL029053, AAEL022823, AAEL000556, AAEL000533, AAEL009209, AAEL011079, AAEL011408, AAEL011404, AAEL011407, AAEL012353, AAEL027215, AAEL023353, AAEL000283	CQUJHB007266, CQUJHB006888
OG0000036	AAEL025802, AAEL029039	CQUJHB016133
OG0000037	AAEL008895	CQUJHB011063
OG0000039	AAEL002693, AAEL006524, AAEL002682	CQUJHB006780, CQUJHB014689, CQUJHB010451, CQUJHB011408, CQUJHB015873, CQUJHB005401
OG0000039	AAEL002476	CQUJHB015714
OG0000039	AAEL009239, AAEL000793	CQUJHB007411
OG0000040	AAEL008368	CQUJHB002131
OG0000040	AAEL022663	CQUJHB000018
OG0000040	AAEL020825	CQUJHB020438
OG0000041	AAEL007044	CQUJHB013017, CQUJHB009859
OG0000041	AAEL007060	CQUJHB001955, CQUJHB001825
OG0000041	AAEL007063	CQUJHB000581
OG0000041	AAEL007051, AAEL007070	CQUJHB013621, CQUJHB007017
OG0000041	AAEL023132	CQUJHB000078, CQUJHB001849, CQUJHB006430
OG0000042	AAEL018347	CQUJHB006261
OG0000045	AAEL024333, AAEL024795, AAEL021215, AAEL027670, AAEL000157	CQUJHB000359
OG0000045	AAEL021144	CQUJHB018399
OG0000045	AAEL022317, AAEL026643, AAEL021928, AAEL027742, AAEL023167	CQUJHB004554
OG0000046	AAEL021678, AAEL002273	CQUJHB009609
OG0000046	AAEL011624	CQUJHB013902
OG0000046	AAEL010866	CQUJHB009800, CQUJHB002638, CQUJHB011131, CQUJHB013987, CQUJHB015814
OG0000046	AAEL010867	CQUJHB004165, CQUJHB003107
OG0000046	AAEL005753	CQUJHB005669, CQUJHB017284
OG0000048	AAEL004672	CQUJHB012005
OG0000048	AAEL004667, AAEL001508	CQUJHB009336, CQUJHB014845
OG0000048	AAEL008856	CQUJHB008386
OG0000049	AAEL002595	CQUJHB015876
OG0000049	AAEL002590	CQUJHB015556
OG0000049	AAEL002629	CQUJHB015769
OG0000051	AAEL004769	CQUJHB008348
OG0000051	AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758	CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075
OG0000051	AAEL024588	CQUJHB010616
OG0000052	AAEL017475	CQUJHB005091
OG0000052	AAEL024686, AAEL020852	CQUJHB006568, CQUJHB007297
OG0000052	AAEL006627, AAEL007938, AAEL011929, AAEL011916	CQUJHB011415
OG0000053	AAEL010055	CQUJHB018432
OG0000055	AAEL019403	CQUJHB018229
OG0000055	AAEL026446	CQUJHB017720
OG0000055	AAEL025647	CQUJHB010409
OG0000055	AAEL023321, AAEL017975, AAEL027610, AAEL017976, AAEL020330, AAEL020571	CQUJHB002352
OG0000057	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759	CQUJHB014741, CQUJHB005612, CQUJHB013656, CQUJHB013556, CQUJHB001778, CQUJHB008046, CQUJHB011652, CQUJHB016655
OG0000057	AAEL023487	CQUJHB009785
OG0000058	AAEL008632	CQUJHB000757
OG0000058	AAEL026976	CQUJHB006852
OG0000058	AAEL008624	CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265
OG0000058	AAEL008625	CQUJHB016789
OG0000058	AAEL008628	CQUJHB013221
OG0000059	AAEL022646	CQUJHB005700
OG0000059	AAEL002360	CQUJHB006696
OG0000059	AAEL002347, AAEL024934	CQUJHB011753
OG0000060	AAEL004762, AAEL004776, AAEL019994, AAEL019993	CQUJHB004792
OG0000060	AAEL004748, AAEL004760, AAEL004764, AAEL004742, AAEL004765	CQUJHB016380, CQUJHB008966, CQUJHB012898, CQUJHB014019, CQUJHB012243
OG0000061	AAEL026011, AAEL007673	CQUJHB009715, CQUJHB015055
OG0000061	AAEL006719	CQUJHB017379
OG0000061	AAEL008456	CQUJHB010086
OG0000061	AAEL008452	CQUJHB014303
OG0000061	AAEL013421, AAEL008451	CQUJHB011103, CQUJHB002901
OG0000062	AAEL015533	CQUJHB009702
OG0000063	AAEL005771, AAEL005788	CQUJHB018065
OG0000063	AAEL020266	CQUJHB002044
OG0000063	AAEL000320, AAEL012761	CQUJHB000613
OG0000063	AAEL005696	CQUJHB009343, CQUJHB015345
OG0000063	AAEL005700	CQUJHB000544
OG0000063	AAEL024573, AAEL000326, AAEL000357, AAEL029116	CQUJHB004677
OG0000063	AAEL005775	CQUJHB012850, CQUJHB007331
OG0000063	AAEL000338	CQUJHB015091
OG0000064	AAEL024986	CQUJHB000467
OG0000064	AAEL014561, AAEL021735, AAEL025303, AAEL013027, AAEL017403	CQUJHB003566, CQUJHB000930
OG0000067	AAEL003434	CQUJHB012309
OG0000067	AAEL000678, AAEL000647	CQUJHB007474, CQUJHB016064
OG0000067	AAEL000642	CQUJHB016947
OG0000067	AAEL009524	CQUJHB018109
OG0000067	AAEL000667	CQUJHB014152
OG0000068	AAEL024556	CQUJHB004402
OG0000068	AAEL013512, AAEL013520	CQUJHB008638
OG0000068	AAEL007194	CQUJHB015341
OG0000068	AAEL007192	CQUJHB013494
OG0000068	AAEL013514	CQUJHB003559
OG0000068	AAEL011444	CQUJHB001983
OG0000068	AAEL013515	CQUJHB009275
OG0000069	AAEL015136	CQUJHB002460
OG0000069	AAEL009556, AAEL009555, AAEL009553	CQUJHB012428, CQUJHB001040, CQUJHB012111, CQUJHB002152
OG0000071	AAEL007812	CQUJHB009539, CQUJHB013274
OG0000071	AAEL002085	CQUJHB005863
OG0000071	AAEL003399	CQUJHB017394
OG0000071	AAEL013798	CQUJHB016359, CQUJHB013086, CQUJHB010584, CQUJHB004365
OG0000072	AAEL013229	CQUJHB006781
OG0000072	AAEL012101	CQUJHB004934
OG0000072	AAEL012424	CQUJHB004785
OG0000072	AAEL026111	CQUJHB005018
OG0000072	AAEL004172	CQUJHB006868
OG0000073	AAEL007136	CQUJHB000587
OG0000073	AAEL007131	CQUJHB005489, CQUJHB004178
OG0000073	AAEL007128	CQUJHB014734
OG0000074	AAEL011460	CQUJHB017390
OG0000074	AAEL011454	CQUJHB000048, CQUJHB015271, CQUJHB000115
OG0000074	AAEL011449	CQUJHB007995
OG0000075	AAEL013444, AAEL013442, AAEL013443, AAEL021060, AAEL025773, AAEL013439	CQUJHB005515, CQUJHB004149, CQUJHB008196, CQUJHB008855
OG0000076	AAEL003992	CQUJHB017768, CQUJHB012728, CQUJHB015127
OG0000077	AAEL026915	CQUJHB001286
OG0000077	AAEL015020	CQUJHB003639
OG0000077	AAEL015573	CQUJHB006400
OG0000077	AAEL015021	CQUJHB003896, CQUJHB003043
OG0000077	AAEL015022	CQUJHB018214
OG0000079	AAEL023932, AAEL006498, AAEL006259	CQUJHB003821, CQUJHB018448
OG0000079	AAEL005621, AAEL005625	CQUJHB013618, CQUJHB018436
OG0000079	AAEL006484, AAEL024685	CQUJHB007263
OG0000080	AAEL012700, AAEL012702	CQUJHB017034, CQUJHB010133
OG0000080	AAEL008384	CQUJHB005257
OG0000080	AAEL008386	CQUJHB005516
OG0000081	AAEL013347	CQUJHB001153
OG0000081	AAEL013341	CQUJHB000320
OG0000082	AAEL019868	CQUJHB007898
OG0000085	AAEL014439	CQUJHB014727
OG0000085	AAEL014440, AAEL003971, AAEL003954	CQUJHB008083
OG0000086	AAEL008163	CQUJHB008375
OG0000086	AAEL008162, AAEL022247	CQUJHB001568
OG0000086	AAEL019828	CQUJHB015160
OG0000086	AAEL009108	CQUJHB012368
OG0000087	AAEL018094	CQUJHB020281, CQUJHB020317, CQUJHB020245, CQUJHB020270, CQUJHB020428, CQUJHB020374, CQUJHB020331, CQUJHB020284, CQUJHB011739, CQUJHB020291, CQUJHB020412, CQUJHB020247, CQUJHB020441, CQUJHB020408, CQUJHB020327, CQUJHB020358, CQUJHB020445, CQUJHB013617, CQUJHB020411, CQUJHB020357, CQUJHB020415, CQUJHB020286, CQUJHB020379, CQUJHB020369, CQUJHB020426, CQUJHB020403, CQUJHB020280, CQUJHB020262, CQUJHB020394, CQUJHB020385, CQUJHB020259, CQUJHB020248, CQUJHB020251, CQUJHB020325, CQUJHB020418, CQUJHB020263, CQUJHB020275, CQUJHB020342, CQUJHB020296, CQUJHB020264, CQUJHB020443, CQUJHB020377
OG0000088	AAEL001517	CQUJHB009482
OG0000088	AAEL000546	CQUJHB017248, CQUJHB001576, CQUJHB008137
OG0000088	AAEL000530	CQUJHB008822
OG0000088	AAEL000545	CQUJHB009095
OG0000088	AAEL008532, AAEL004724	CQUJHB004456, CQUJHB013474
OG0000089	AAEL008252, AAEL022849	CQUJHB015151
OG0000089	AAEL001151	CQUJHB003816
OG0000089	AAEL001146	CQUJHB012139
OG0000090	AAEL003723, AAEL003712	CQUJHB017497
OG0000090	AAEL015404	CQUJHB007824
OG0000091	AAEL006992, AAEL006989, AAEL003890	CQUJHB004684, CQUJHB009553, CQUJHB002066, CQUJHB006383, CQUJHB007123
OG0000091	AAEL007010, AAEL021861, AAEL007024	CQUJHB017444
OG0000092	AAEL027314	CQUJHB000983, CQUJHB006030
OG0000092	AAEL027128, AAEL022626, AAEL028098, AAEL019462, AAEL027358, AAEL027511	CQUJHB006017, CQUJHB005768, CQUJHB004130, CQUJHB016496, CQUJHB005195, CQUJHB014961
OG0000096	AAEL002851	CQUJHB002716
OG0000096	AAEL019894	CQUJHB018308
OG0000096	AAEL005052	CQUJHB008108
OG0000096	AAEL002848	CQUJHB008616
OG0000097	AAEL009561	CQUJHB017875
OG0000097	AAEL009559, AAEL009567	CQUJHB012977
OG0000097	AAEL009566	CQUJHB011218, CQUJHB006589
OG0000097	AAEL029014	CQUJHB017887
OG0000098	AAEL014140, AAEL014137	CQUJHB009893
OG0000098	AAEL022822	CQUJHB003108
OG0000104	AAEL002669, AAEL002666, AAEL002658	CQUJHB003501
OG0000104	AAEL002668	CQUJHB016210
OG0000104	AAEL006823	CQUJHB015480, CQUJHB006103, CQUJHB017990, CQUJHB017746, CQUJHB005521, CQUJHB012378, CQUJHB001763
OG0000107	AAEL014731, AAEL007754	CQUJHB018415, CQUJHB004852
OG0000107	AAEL004928	CQUJHB009068, CQUJHB013239, CQUJHB016501, CQUJHB015111, CQUJHB013703, CQUJHB006294, CQUJHB013989, CQUJHB013568
OG0000108	AAEL022600	CQUJHB010115
OG0000108	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165	CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363
OG0000109	AAEL018267	CQUJHB017035
OG0000109	AAEL023958	CQUJHB000019
OG0000109	AAEL019847, AAEL012395	CQUJHB012435
OG0000109	AAEL027539	CQUJHB007563
OG0000111	AAEL024249, AAEL017232, AAEL027929, AAEL025172	CQUJHB001127, CQUJHB016273
OG0000114	AAEL002231	CQUJHB008130
OG0000114	AAEL002246	CQUJHB012994
OG0000114	AAEL002223, AAEL002233, AAEL002187	CQUJHB001438, CQUJHB002918, CQUJHB003734
OG0000115	AAEL004247	CQUJHB014380
OG0000116	AAEL005045, AAEL017209	CQUJHB007929
OG0000116	AAEL005043	CQUJHB009840
OG0000116	AAEL004743	CQUJHB015910
OG0000119	AAEL005200	CQUJHB001620
OG0000119	AAEL020054, AAEL005182	CQUJHB002189
OG0000119	AAEL023662	CQUJHB015704, CQUJHB017923, CQUJHB014370, CQUJHB011823, CQUJHB009096
OG0000119	AAEL004323	CQUJHB000195, CQUJHB004701, CQUJHB012571
OG0000120	AAEL019920, AAEL005609, AAEL005607, AAEL019919	CQUJHB006803
OG0000120	AAEL005594, AAEL005611	CQUJHB014331, CQUJHB001450
OG0000121	AAEL020129, AAEL023436, AAEL025899	CQUJHB006005, CQUJHB017888, CQUJHB012450, CQUJHB011203, CQUJHB008295, CQUJHB000057, CQUJHB000850, CQUJHB012106, CQUJHB011330
OG0000127	AAEL011528	CQUJHB008722
OG0000127	AAEL000686	CQUJHB006654, CQUJHB003293, CQUJHB000740
OG0000127	AAEL001057	CQUJHB013009, CQUJHB013825
OG0000127	AAEL001096	CQUJHB003231, CQUJHB009687
OG0000127	AAEL007941	CQUJHB003905
OG0000128	AAEL000918	CQUJHB011093
OG0000128	AAEL019933	CQUJHB006737, CQUJHB017854
OG0000129	AAEL012683, AAEL012688	CQUJHB000384, CQUJHB003430
OG0000129	AAEL002373, AAEL012680, AAEL012685	CQUJHB014096
OG0000129	AAEL001195	CQUJHB016178, CQUJHB012226
OG0000130	AAEL008160	CQUJHB016267
OG0000130	AAEL002228, AAEL022506, AAEL029069, AAEL020799	CQUJHB001063
OG0000130	AAEL002237	CQUJHB001771
OG0000131	AAEL024660	CQUJHB000645
OG0000131	AAEL003272	CQUJHB004459
OG0000131	AAEL003226	CQUJHB010920
OG0000131	AAEL003259	CQUJHB014041
OG0000132	AAEL003844	CQUJHB007672
OG0000132	AAEL005293	CQUJHB008636
OG0000132	AAEL012003	CQUJHB000067
OG0000132	AAEL003840	CQUJHB003091
OG0000133	AAEL004091	CQUJHB009822
OG0000133	AAEL014230	CQUJHB012631, CQUJHB014632, CQUJHB010069, CQUJHB018411, CQUJHB003024, CQUJHB005900, CQUJHB018012, CQUJHB016449
OG0000134	AAEL005113	CQUJHB006248
OG0000134	AAEL023844	CQUJHB017587
OG0000134	AAEL005123	CQUJHB010568
OG0000134	AAEL019679	CQUJHB012326
OG0000135	AAEL006011	CQUJHB008910
OG0000136	AAEL013227	CQUJHB007955, CQUJHB006760
OG0000136	AAEL013233	CQUJHB009839
OG0000136	AAEL021425, AAEL006287	CQUJHB008282
OG0000136	AAEL013692, AAEL008098	CQUJHB003509, CQUJHB002833
OG0000136	AAEL007698	CQUJHB013970
OG0000137	AAEL023367, AAEL020000, AAEL027188, AAEL019999, AAEL008117, AAEL027338, AAEL023728, AAEL021467, AAEL024749, AAEL024231, AAEL024777, AAEL026630, AAEL014668, AAEL025085	CQUJHB017481, CQUJHB000636, CQUJHB001650, CQUJHB017580, CQUJHB013972, CQUJHB010919, CQUJHB012390
OG0000141	AAEL017553	CQUJHB013589, CQUJHB004400
OG0000141	AAEL002391, AAEL024216, AAEL002378	CQUJHB002761, CQUJHB004199, CQUJHB003761, CQUJHB015077, CQUJHB001493, CQUJHB017741
OG0000141	AAEL002367	CQUJHB005542
OG0000142	AAEL002426	CQUJHB011887
OG0000142	AAEL002432	CQUJHB002040
OG0000142	AAEL002408	CQUJHB003927
OG0000143	AAEL007795, AAEL007807	CQUJHB014059
OG0000143	AAEL007816	CQUJHB006194
OG0000145	AAEL000344, AAEL000377, AAEL022484, AAEL013719	CQUJHB020279, CQUJHB020289, CQUJHB016091, CQUJHB020429, CQUJHB014920
OG0000145	AAEL014876, AAEL004516, AAEL001189, AAEL026563	CQUJHB006107, CQUJHB020434, CQUJHB020269, CQUJHB017747, CQUJHB020297, CQUJHB014123, CQUJHB002541, CQUJHB001680
OG0000145	AAEL009433	CQUJHB013931
OG0000146	AAEL007592, AAEL015137	CQUJHB005895, CQUJHB003363, CQUJHB015207
OG0000146	AAEL001654, AAEL001650, AAEL001634, AAEL007591	CQUJHB013515, CQUJHB000693
OG0000147	AAEL002031	CQUJHB005161
OG0000147	AAEL001960, AAEL002005	CQUJHB000556, CQUJHB001564, CQUJHB001839
OG0000148	AAEL017451	CQUJHB001186
OG0000148	AAEL017460	CQUJHB000776
OG0000148	AAEL002676	CQUJHB017061
OG0000149	AAEL003091	CQUJHB010028
OG0000149	AAEL027549, AAEL027016	CQUJHB012080
OG0000149	AAEL026670	CQUJHB014966
OG0000149	AAEL003076	CQUJHB017015, CQUJHB010834
OG0000150	AAEL003497	CQUJHB006439
OG0000151	AAEL004025	CQUJHB018327
OG0000152	AAEL011180	CQUJHB014990
OG0000152	AAEL011177	CQUJHB000800, CQUJHB010394
OG0000152	AAEL005270	CQUJHB005329
OG0000152	AAEL005259	CQUJHB009136
OG0000153	AAEL024925	CQUJHB007543
OG0000153	AAEL008545	CQUJHB006842
OG0000153	AAEL008533, AAEL008547, AAEL019840, AAEL019839, AAEL026574, AAEL021303, AAEL008538, AAEL008535, AAEL008524, AAEL008536	CQUJHB002329
OG0000154	AAEL009130, AAEL009129, AAEL009123, AAEL009131	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899
OG0000155	AAEL010418, AAEL027258, AAEL015286, AAEL010415	CQUJHB007333
