Orthogroup	AaegyptiLVP_AGWG	AminimusMINIMUS1
OG0000037	AAEL008895	AMIN002827, AMIN006508, AMIN006509, AMIN003922, AMIN008939, AMIN009372, AMIN008941, AMIN008940, AMIN009373, AMIN008942, AMIN003923, AMIN003925, AMIN003924, AMIN000003, AMIN004541, AMIN004540, AMIN004539
OG0000039	AAEL002693, AAEL006524, AAEL002682, AAEL002476, AAEL009239, AAEL000793	AMIN015958, AMIN015957, AMIN010824, AMIN007947, AMIN007946, AMIN015959
OG0000040	AAEL008368, AAEL022663	AMIN015663, AMIN015662
OG0000040	AAEL020825, AAEL008448	AMIN015574, AMIN015575, AMIN001806, AMIN001807, AMIN015590, AMIN015591
OG0000041	AAEL007060	AMIN008776
OG0000041	AAEL007063	AMIN008777
OG0000041	AAEL023132	AMIN003187
OG0000042	AAEL018347	AMIN005907, AMIN001699
OG0000045	AAEL026336, AAEL021875, AAEL024639, AAEL020919, AAEL019803, AAEL024333, AAEL024795, AAEL021215, AAEL027670, AAEL000157, AAEL021144, AAEL005377, AAEL023120, AAEL027327, AAEL017283, AAEL022558, AAEL027412, AAEL022317, AAEL026643, AAEL021928, AAEL027742, AAEL023167, AAEL022378, AAEL023311	AMIN001066
OG0000046	AAEL005753	AMIN002797
OG0000048	AAEL004672, AAEL004667, AAEL001508, AAEL008856	AMIN011325
OG0000049	AAEL002595	AMIN015888
OG0000049	AAEL002590	AMIN015889
OG0000049	AAEL002600	AMIN015891
OG0000049	AAEL002629	AMIN015890
OG0000051	AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758, AAEL024588	AMIN006620, AMIN014521
OG0000052	AAEL017475	AMIN015582
OG0000052	AAEL024686, AAEL020852, AAEL006627, AAEL007938, AAEL011929, AAEL011916	AMIN015585, AMIN015584
OG0000053	AAEL010055	AMIN009403, AMIN009402
OG0000055	AAEL019403	AMIN002458
OG0000057	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759, AAEL023487	AMIN006625, AMIN006626, AMIN014522
OG0000058	AAEL026976, AAEL008624	AMIN001846
OG0000059	AAEL022646	AMIN016229, AMIN016293
OG0000059	AAEL002360	AMIN010123
OG0000060	AAEL004762, AAEL004776, AAEL019994, AAEL019993	AMIN006628
OG0000060	AAEL004748, AAEL004760, AAEL004764, AAEL004742, AAEL004765	AMIN014523
OG0000061	AAEL026011, AAEL007673	AMIN006938
OG0000061	AAEL006719	AMIN007997
OG0000061	AAEL008452, AAEL013421, AAEL008451	AMIN004599
OG0000062	AAEL015533	AMIN001001, AMIN000304
OG0000063	AAEL005771, AAEL005788	AMIN002564
OG0000063	AAEL020266, AAEL000320, AAEL012761, AAEL005696, AAEL005700, AAEL024573, AAEL000326, AAEL000357, AAEL029116, AAEL005775, AAEL017215, AAEL000338	AMIN003060
OG0000064	AAEL014561, AAEL021735, AAEL025303, AAEL013027, AAEL017403	AMIN001329, AMIN001327
OG0000064	AAEL017501	AMIN003132
OG0000067	AAEL003434	AMIN015537
OG0000067	AAEL000678, AAEL000647	AMIN015982
OG0000067	AAEL000642	AMIN008926
OG0000067	AAEL009524	AMIN000636
OG0000067	AAEL000667	AMIN015981
OG0000068	AAEL011444	AMIN010935
OG0000069	AAEL015136	AMIN003229
OG0000069	AAEL009556, AAEL009555, AAEL009553	AMIN010636, AMIN016115, AMIN016114, AMIN003907
OG0000071	AAEL007812	AMIN005052
OG0000071	AAEL002085, AAEL003399	AMIN000434
OG0000071	AAEL013798	AMIN005942, AMIN005941, AMIN005945
OG0000072	AAEL013229	AMIN008641
OG0000072	AAEL012424	AMIN000778
OG0000072	AAEL026111, AAEL004172	AMIN011262
OG0000073	AAEL007136	AMIN006338
OG0000073	AAEL007128	AMIN006336
OG0000074	AAEL011460, AAEL011454	AMIN007418, AMIN007419
OG0000074	AAEL011449	AMIN010517
OG0000075	AAEL013444, AAEL013442, AAEL013443, AAEL021060, AAEL025773, AAEL013439	AMIN009972, AMIN009971, AMIN009973
OG0000076	AAEL003992	AMIN007057, AMIN006792, AMIN006791, AMIN008359, AMIN004343
OG0000077	AAEL021375	AMIN015956
OG0000077	AAEL026915	AMIN015954
OG0000077	AAEL015020, AAEL015573, AAEL015021	AMIN015955, AMIN015952
OG0000077	AAEL015022	AMIN015953
OG0000078	AAEL028137, AAEL020146	AMIN006439
OG0000079	AAEL023932, AAEL006498, AAEL006259	AMIN015621, AMIN016252
OG0000079	AAEL005621, AAEL005625, AAEL006484, AAEL024685	AMIN015622
OG0000080	AAEL012698	AMIN007961, AMIN007987
OG0000080	AAEL008384, AAEL008386	AMIN008322
OG0000081	AAEL013347	AMIN010657
OG0000081	AAEL013349, AAEL013352, AAEL013346, AAEL013344, AAEL013348, AAEL013338	AMIN010659
OG0000081	AAEL013341	AMIN010656
OG0000082	AAEL019868	AMIN008360, AMIN008381
OG0000085	AAEL014439, AAEL014440, AAEL003971, AAEL003954	AMIN015862, AMIN015860, AMIN015861, AMIN015859, AMIN015863, AMIN015858
OG0000086	AAEL012778	AMIN008148
OG0000086	AAEL008163, AAEL008162, AAEL022247, AAEL019828	AMIN000451
OG0000086	AAEL009108	AMIN002615
OG0000088	AAEL001517	AMIN008863
OG0000088	AAEL000546, AAEL000530, AAEL000545, AAEL008532, AAEL004724	AMIN009049, AMIN009053
OG0000089	AAEL001151, AAEL001146	AMIN006914
OG0000090	AAEL003723, AAEL003712	AMIN010523
OG0000090	AAEL015404	AMIN010488
OG0000091	AAEL007010, AAEL021861, AAEL007024	AMIN002875
OG0000096	AAEL002851	AMIN009310
OG0000096	AAEL019894	AMIN014712
OG0000096	AAEL005052	AMIN010757
OG0000096	AAEL002848	AMIN001255
OG0000097	AAEL009566	AMIN003984
OG0000098	AAEL014140, AAEL014137, AAEL022822	AMIN009752
OG0000104	AAEL002668, AAEL006823	AMIN001011
OG0000107	AAEL014731, AAEL007754, AAEL004928	AMIN003226
OG0000108	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165	AMIN001146
OG0000109	AAEL018267	AMIN007943
OG0000109	AAEL023958	AMIN000020
OG0000111	AAEL024249, AAEL017232, AAEL027929, AAEL025172	AMIN005870
OG0000115	AAEL004247	AMIN007799
OG0000115	AAEL022427	AMIN007798
OG0000116	AAEL004743	AMIN009560
OG0000119	AAEL005200	AMIN011174
OG0000119	AAEL005199, AAEL020054, AAEL005182, AAEL023662, AAEL004323	AMIN011175
OG0000120	AAEL019920, AAEL005609, AAEL005607, AAEL019919	AMIN015839
OG0000120	AAEL005594, AAEL005611	AMIN015840, AMIN015843
OG0000121	AAEL020129, AAEL023436, AAEL025899	AMIN007010
OG0000127	AAEL011528, AAEL000686, AAEL001057, AAEL001096, AAEL007941	AMIN000423
OG0000128	AAEL000904	AMIN016003
OG0000128	AAEL000918	AMIN009297
OG0000128	AAEL019933	AMIN016286, AMIN016287
OG0000129	AAEL001195	AMIN002441
OG0000130	AAEL008160	AMIN000464
OG0000130	AAEL002237	AMIN009807
OG0000131	AAEL003272, AAEL003226	AMIN009597
OG0000131	AAEL003259	AMIN009593
OG0000132	AAEL005293	AMIN008147
OG0000132	AAEL003840	AMIN009203
OG0000133	AAEL004091	AMIN006896
OG0000133	AAEL014230	AMIN008836, AMIN008837
OG0000134	AAEL005113, AAEL023844, AAEL005123	AMIN010110
OG0000134	AAEL019679	AMIN010108, AMIN010109
OG0000135	AAEL006011	AMIN007092
OG0000136	AAEL013227, AAEL013233, AAEL021425, AAEL006287	AMIN008377
OG0000136	AAEL013692, AAEL008098, AAEL007698	AMIN001881
OG0000141	AAEL017553, AAEL002391, AAEL024216, AAEL002378, AAEL002385, AAEL002367	AMIN011058
OG0000142	AAEL002426	AMIN003855
OG0000142	AAEL002432	AMIN000952
OG0000142	AAEL002408	AMIN003784
OG0000143	AAEL007795, AAEL007807, AAEL007815, AAEL007808, AAEL007816	AMIN002682
OG0000146	AAEL007592, AAEL015137	AMIN000516
OG0000147	AAEL006827, AAEL002031, AAEL001960, AAEL002005	AMIN016141, AMIN016134, AMIN016136, AMIN016135
OG0000148	AAEL017460	AMIN009492, AMIN009494
OG0000148	AAEL002676	AMIN009495
OG0000149	AAEL003091	AMIN011053
OG0000149	AAEL027549, AAEL027016	AMIN016044
OG0000149	AAEL026670	AMIN016042
OG0000149	AAEL003076	AMIN016043
OG0000150	AAEL003497	AMIN011243
OG0000152	AAEL011180	AMIN007972
OG0000152	AAEL005270	AMIN009946
OG0000152	AAEL005259	AMIN009947, AMIN009948
OG0000154	AAEL009130, AAEL009129, AAEL009123, AAEL009131	AMIN000711, AMIN006064
OG0000155	AAEL010418, AAEL027258, AAEL015286, AAEL010415, AAEL010428, AAEL023626, AAEL018080, AAEL010426, AAEL017079, AAEL010409	AMIN015664, AMIN015665
OG0000157	AAEL026898	AMIN001668
OG0000157	AAEL021701, AAEL023616, AAEL027162, AAEL024662, AAEL025947, AAEL027079, AAEL024834, AAEL027392	AMIN010663
OG0000160	AAEL024826, AAEL027417	AMIN007249, AMIN006471, AMIN007271, AMIN003417
OG0000161	AAEL021131	AMIN008303
OG0000161	AAEL004798, AAEL002467	AMIN010046
OG0000162	AAEL002606	AMIN006855
OG0000163	AAEL004507, AAEL022219, AAEL004486	AMIN001822
OG0000164	AAEL007511	AMIN004931
OG0000164	AAEL014567	AMIN004928
OG0000164	AAEL007514	AMIN004930
OG0000165	AAEL008017	AMIN005409
OG0000165	AAEL008018	AMIN004970
OG0000166	AAEL014830	AMIN007525
OG0000171	AAEL023653, AAEL005134	AMIN004244
OG0000172	AAEL026737	AMIN008835
OG0000172	AAEL020253	AMIN008838
OG0000172	AAEL011332	AMIN008827
OG0000173	AAEL014515	AMIN007048
OG0000174	AAEL029047	AMIN005847
OG0000174	AAEL029038, AAEL029046, AAEL029041, AAEL029044	AMIN015909
OG0000180	AAEL021730, AAEL002208, AAEL029006, AAEL022045, AAEL002239, AAEL002189, AAEL002245, AAEL002202	AMIN009804
OG0000181	AAEL004729, AAEL026708, AAEL023262, AAEL004730, AAEL025094	AMIN014770, AMIN009918, AMIN009916, AMIN009915
OG0000182	AAEL005407	AMIN004725
OG0000182	AAEL005412, AAEL005426, AAEL005417	AMIN016128
OG0000182	AAEL005408	AMIN016130
OG0000183	AAEL005786, AAEL019497, AAEL022007, AAEL009434, AAEL019498	AMIN002688, AMIN003141
OG0000184	AAEL005999	AMIN001894
OG0000184	AAEL006003	AMIN015554, AMIN001896, AMIN015555
OG0000185	AAEL013981, AAEL013983, AAEL021888	AMIN008694
OG0000185	AAEL008045	AMIN011065
OG0000187	AAEL000035	AMIN000726
OG0000188	AAEL017003, AAEL003253, AAEL003243	AMIN011638
OG0000189	AAEL003743	AMIN004715
OG0000189	AAEL006390, AAEL014053	AMIN003400
OG0000190	AAEL024092, AAEL020855	AMIN009845
OG0000190	AAEL023141	AMIN005982
OG0000190	AAEL003982	AMIN001539
OG0000191	AAEL007085, AAEL024044	AMIN010963, AMIN010962, AMIN010961, AMIN010960
OG0000192	AAEL018352	AMIN009154
OG0000192	AAEL008055	AMIN003113
OG0000192	AAEL007664	AMIN016221
OG0000193	AAEL018151, AAEL008595	AMIN005247, AMIN005248, AMIN015557, AMIN005246, AMIN001550
OG0000194	AAEL022256, AAEL009193	AMIN001917
OG0000196	AAEL014662, AAEL011677, AAEL019722	AMIN001000
OG0000200	AAEL019407	AMIN008384
OG0000200	AAEL000536	AMIN008385
OG0000200	AAEL000123	AMIN004606
OG0000201	AAEL020195, AAEL001844	AMIN011329
OG0000202	AAEL012457, AAEL012455	AMIN005629
OG0000204	AAEL014078	AMIN015947
OG0000204	AAEL005665	AMIN015946
OG0000204	AAEL014079	AMIN015945
OG0000205	AAEL008898	AMIN004379
OG0000206	AAEL009935, AAEL009945, AAEL009938	AMIN015995
OG0000206	AAEL006668	AMIN009119
OG0000207	AAEL027951, AAEL026297, AAEL007619	AMIN016067, AMIN016068
OG0000208	AAEL008259, AAEL027364	AMIN008403
OG0000208	AAEL023637, AAEL008283	AMIN008402
OG0000210	AAEL022562, AAEL013032	AMIN008980, AMIN008979
OG0000211	AAEL021862	AMIN009162
OG0000217	AAEL002994	AMIN000805
OG0000217	AAEL001622	AMIN001961
OG0000218	AAEL001969	AMIN006218
OG0000218	AAEL002028	AMIN006220
OG0000219	AAEL012431, AAEL010858, AAEL012430, AAEL024868, AAEL010853	AMIN001093
OG0000220	AAEL002969, AAEL002959	AMIN002726
OG0000221	AAEL021590, AAEL003079	AMIN006274
OG0000221	AAEL014371, AAEL008560	AMIN010066
OG0000222	AAEL021010, AAEL019957	AMIN001686
OG0000223	AAEL006487	AMIN002292
OG0000224	AAEL006835	AMIN003074, AMIN003071
OG0000225	AAEL014411, AAEL014412	AMIN003771
OG0000226	AAEL027179	AMIN002722, AMIN002711, AMIN002712, AMIN002715
OG0000229	AAEL000515, AAEL000505	AMIN000391
OG0000229	AAEL024475	AMIN003127, AMIN003317
OG0000230	AAEL021401, AAEL006228, AAEL024098, AAEL001015, AAEL005000	AMIN009075, AMIN009077
OG0000231	AAEL001743, AAEL001735, AAEL008873, AAEL008866, AAEL008869, AAEL008872	AMIN010930, AMIN010931
OG0000232	AAEL002043, AAEL026706	AMIN010173, AMIN010175, AMIN016211, AMIN016210
OG0000233	AAEL007602, AAEL003060	AMIN002286
OG0000233	AAEL009843	AMIN002275
OG0000234	AAEL019609	AMIN006393
OG0000234	AAEL007447	AMIN006400
OG0000234	AAEL007449	AMIN006394
OG0000236	AAEL009206	AMIN002269, AMIN002270, AMIN008944
OG0000237	AAEL022081, AAEL012350	AMIN000894
OG0000244	AAEL001196	AMIN009457
OG0000244	AAEL000597	AMIN009466
OG0000245	AAEL010893	AMIN000228
OG0000246	AAEL001059	AMIN004180, AMIN004771
OG0000247	AAEL001683, AAEL001677	AMIN010670, AMIN010671
OG0000247	AAEL001704	AMIN010668
OG0000248	AAEL001822, AAEL001816	AMIN005906
OG0000248	AAEL018042	AMIN016193
OG0000248	AAEL018041	AMIN016192
OG0000249	AAEL003738, AAEL003726, AAEL003740, AAEL003728, AAEL023973	AMIN011428, AMIN007370
OG0000250	AAEL004582	AMIN003364
OG0000251	AAEL006353, AAEL006344	AMIN004378
OG0000252	AAEL007257, AAEL007251, AAEL014554	AMIN008785
OG0000253	AAEL007993, AAEL007992	AMIN003457
OG0000254	AAEL012040	AMIN000082
OG0000254	AAEL009916	AMIN000940
OG0000255	AAEL012770, AAEL012762, AAEL020553, AAEL011761, AAEL022568, AAEL012769, AAEL012765	AMIN016175, AMIN016174
OG0000256	AAEL012425, AAEL012422	AMIN000776, AMIN000777, AMIN000775
OG0000257	AAEL019890, AAEL027350	AMIN001432, AMIN001434
OG0000265	AAEL008213, AAEL008211	AMIN010596, AMIN010587
OG0000265	AAEL000249	AMIN005808
OG0000266	AAEL013662	AMIN001628
OG0000266	AAEL000757	AMIN006383, AMIN006382
OG0000267	AAEL001061	AMIN004190
OG0000267	AAEL010582	AMIN004770
OG0000268	AAEL002690	AMIN007059, AMIN007060
OG0000268	AAEL002692	AMIN007061
OG0000269	AAEL003195, AAEL026083, AAEL023346, AAEL003196, AAEL020734, AAEL021498, AAEL003181, AAEL022449, AAEL003201, AAEL028198, AAEL003187, AAEL024002	AMIN016284
OG0000270	AAEL003444, AAEL003439	AMIN011416, AMIN008623, AMIN015971
OG0000271	AAEL004778	AMIN001411
OG0000272	AAEL008858	AMIN008763
OG0000272	AAEL008876	AMIN008100
OG0000273	AAEL008928	AMIN015825
OG0000273	AAEL008931	AMIN002200
OG0000274	AAEL010098, AAEL010099	AMIN006742
OG0000276	AAEL013044, AAEL013048, AAEL013054	AMIN008276
OG0000277	AAEL013198, AAEL026420	AMIN000409
OG0000278	AAEL013217	AMIN011462, AMIN011446, AMIN011465
OG0000279	AAEL017402	AMIN014755
OG0000280	AAEL029034	AMIN006822, AMIN006823
OG0000280	AAEL029031	AMIN006824
OG0000285	AAEL000029	AMIN002977
OG0000285	AAEL000024	AMIN015604, AMIN015606
OG0000286	AAEL022696, AAEL000613, AAEL000628, AAEL000614, AAEL006465, AAEL017294	AMIN001250
OG0000287	AAEL001221	AMIN015655, AMIN015654, AMIN015652, AMIN015653
OG0000288	AAEL020558, AAEL001320, AAEL001292, AAEL025530, AAEL001312, AAEL001807, AAEL009591	AMIN001788
OG0000289	AAEL003317, AAEL003297, AAEL003298	AMIN009186
OG0000290	AAEL004103, AAEL004092	AMIN015559, AMIN008540, AMIN015558
OG0000291	AAEL004592	AMIN007862
OG0000291	AAEL024570	AMIN008053, AMIN008052
OG0000292	AAEL004935	AMIN006672
OG0000292	AAEL004923	AMIN006670
OG0000293	AAEL019520	AMIN005398
OG0000294	AAEL022989, AAEL007040	AMIN005760
OG0000294	AAEL006160	AMIN005761
OG0000295	AAEL006385	AMIN008699, AMIN016301, AMIN016300
OG0000297	AAEL006818	AMIN015904
OG0000297	AAEL006829	AMIN015903
OG0000299	AAEL007893	AMIN002531
OG0000299	AAEL008152, AAEL027985, AAEL008159	AMIN008559
OG0000300	AAEL009978	AMIN010132
OG0000302	AAEL015566, AAEL015567	AMIN016306
OG0000302	AAEL011499	AMIN010574
OG0000303	AAEL011563	AMIN000132
OG0000304	AAEL014541	AMIN001010
OG0000305	AAEL019599	AMIN007189
OG0000306	AAEL022773	AMIN006304, AMIN006305
OG0000317	AAEL000039, AAEL000089, AAEL000066, AAEL000018	AMIN004815
OG0000318	AAEL000690	AMIN007124, AMIN007158, AMIN007123, AMIN007122
OG0000319	AAEL026313, AAEL027346	AMIN001372
OG0000319	AAEL001010	AMIN001373, AMIN011132
OG0000321	AAEL002904	AMIN015801, AMIN015802
OG0000321	AAEL002917	AMIN007046
OG0000324	AAEL005749	AMIN009157
OG0000324	AAEL005763	AMIN009156
OG0000325	AAEL005759, AAEL007339, AAEL005890	AMIN010396
OG0000326	AAEL007169	AMIN004016
OG0000326	AAEL006077	AMIN003194
OG0000327	AAEL006684, AAEL012580, AAEL021830, AAEL024894, AAEL019749, AAEL019750, AAEL027138, AAEL010580, AAEL006679, AAEL022785, AAEL025034	AMIN006782
OG0000328	AAEL026562, AAEL006696	AMIN008593
OG0000328	AAEL022561, AAEL006692	AMIN008592
OG0000329	AAEL008634	AMIN001843
OG0000329	AAEL008622	AMIN001842
OG0000330	AAEL012245	AMIN005466
OG0000330	AAEL009580	AMIN005465
OG0000331	AAEL011658	AMIN015827
OG0000331	AAEL011662	AMIN015828, AMIN015829
OG0000332	AAEL011931	AMIN003653, AMIN003550, AMIN003652
OG0000333	AAEL012421	AMIN010628, AMIN010619
OG0000334	AAEL013154	AMIN001560
OG0000336	AAEL021016	AMIN011337
OG0000344	AAEL000073	AMIN004814
OG0000344	AAEL012377	AMIN007367
OG0000346	AAEL000216, AAEL004949, AAEL004953, AAEL004947	AMIN002478, AMIN016268
OG0000347	AAEL000861, AAEL000859	AMIN007036
OG0000348	AAEL000890, AAEL000896	AMIN009292, AMIN009291
OG0000349	AAEL013991	AMIN015611
OG0000349	AAEL013997	AMIN010714
OG0000349	AAEL001041	AMIN015612
OG0000350	AAEL001248, AAEL001256, AAEL001278, AAEL001258, AAEL014835, AAEL001286, AAEL001263	AMIN015944
OG0000351	AAEL001519	AMIN008878
OG0000352	AAEL024332, AAEL001566, AAEL005791	AMIN004703
OG0000353	AAEL001745, AAEL001732	AMIN010928
OG0000354	AAEL006113	AMIN003843
OG0000354	AAEL002541	AMIN003437
OG0000355	AAEL002967	AMIN002728, AMIN006601
OG0000356	AAEL003069	AMIN004156
OG0000357	AAEL003506	AMIN003425
OG0000357	AAEL003504	AMIN003427, AMIN003426
OG0000359	AAEL010434, AAEL006138, AAEL006126	AMIN004153
OG0000360	AAEL006355, AAEL006361, AAEL006337	AMIN004393
OG0000361	AAEL006624	AMIN000969
OG0000362	AAEL027003, AAEL007951, AAEL023692	AMIN016016, AMIN016013
OG0000363	AAEL009860, AAEL020112, AAEL022139	AMIN011090
OG0000364	AAEL011346, AAEL011348, AAEL009968	AMIN011281
OG0000365	AAEL011314	AMIN001318
OG0000366	AAEL019797, AAEL019798, AAEL011797, AAEL011798	AMIN003044
OG0000367	AAEL012509	AMIN007407
OG0000368	AAEL012866, AAEL012870, AAEL012860	AMIN004899
OG0000369	AAEL022846	AMIN000991
OG0000369	AAEL019808	AMIN000990, AMIN000995
OG0000370	AAEL017446	AMIN001702
OG0000370	AAEL017182	AMIN015641
OG0000371	AAEL019862	AMIN007985, AMIN007986, AMIN007988
OG0000372	AAEL023438, AAEL021785	AMIN005843
OG0000380	AAEL000012	AMIN015545
OG0000380	AAEL024813	AMIN015546
OG0000381	AAEL008574	AMIN016125
OG0000381	AAEL000735	AMIN016124
OG0000382	AAEL000797	AMIN006598
OG0000382	AAEL000834	AMIN006597
OG0000383	AAEL000810	AMIN003564
OG0000383	AAEL019951	AMIN006915
OG0000384	AAEL000910	AMIN007029, AMIN007027, AMIN007028
OG0000386	AAEL007218	AMIN010945
OG0000387	AAEL001769	AMIN011411
OG0000387	AAEL002083	AMIN010181
OG0000388	AAEL027351, AAEL003190, AAEL020406	AMIN003526, AMIN003525
OG0000389	AAEL003708	AMIN010092
OG0000391	AAEL005160	AMIN004615
OG0000391	AAEL006372	AMIN006874
OG0000392	AAEL005725	AMIN016121, AMIN016119, AMIN016120
OG0000393	AAEL005918	AMIN000709
OG0000393	AAEL025460	AMIN000710
OG0000394	AAEL006264	AMIN015659
OG0000394	AAEL006274, AAEL022795	AMIN015658
OG0000395	AAEL006675	AMIN006779
OG0000395	AAEL010567	AMIN005116
OG0000396	AAEL006978	AMIN009642
OG0000396	AAEL022582, AAEL026610	AMIN009640, AMIN009641
OG0000397	AAEL008672	AMIN009574
OG0000397	AAEL008138	AMIN000431
OG0000398	AAEL008295, AAEL008294, AAEL008288, AAEL008284	AMIN015525, AMIN010788
OG0000399	AAEL008784	AMIN011393
OG0000399	AAEL008782, AAEL008767	AMIN007830
OG0000400	AAEL023342	AMIN007277
OG0000400	AAEL009218	AMIN010038
OG0000401	AAEL019824	AMIN003805
OG0000401	AAEL009275	AMIN008417
OG0000402	AAEL009769, AAEL009767	AMIN005358, AMIN007892
OG0000403	AAEL011204	AMIN005734
OG0000403	AAEL014297	AMIN015648
OG0000404	AAEL012131	AMIN001303
OG0000404	AAEL012128	AMIN001304
OG0000405	AAEL023643, AAEL012560, AAEL012558	AMIN016076, AMIN016073
