Orthogroup	LlongipalpisASM	AminimusMINIMUS1
OG0000067	LOC129796553, LOC129796550, LOC129789877, LOC129796549	AMIN015537, AMIN015982, AMIN008926
OG0000067	LOC129796552	AMIN000636, AMIN015981
OG0000068	LOC129794029, LOC129794026, LOC129794027	AMIN010935
OG0000069	LOC129797773, LOC129786174, LOC129792812	AMIN003229, AMIN010636, AMIN016115, AMIN016114, AMIN003907
OG0000071	LOC129797006	AMIN005052, AMIN000434, AMIN005942, AMIN005941, AMIN005945
OG0000072	LOC129787850, LOC129787849	AMIN008641
OG0000073	LOC129790978, LOC129789240, LOC129791095, LOC129786082, LOC129794430, LOC129789666, LOC129795974, LOC129794559, LOC129796201, LOC129786939, LOC129791894, LOC129796558, LOC129796557, LOC129786080, LOC129796556, LOC129791096, LOC129791101, LOC129791098, LOC129791103, LOC129789241, LOC129791100	AMIN006338, AMIN006336
OG0000077	LOC129789368, LOC129791094	AMIN015956, AMIN015954
OG0000077	LOC129793367	AMIN015955, AMIN015952, AMIN015953
OG0000078	LOC129795036	AMIN006439, AMIN005866, AMIN001065, AMIN007269, AMIN006481, AMIN001208, AMIN004967, AMIN007270, AMIN006432
OG0000079	LOC129796831	AMIN015620, AMIN015621, AMIN016252, AMIN015622
OG0000080	LOC129790108	AMIN007961, AMIN007987, AMIN010419, AMIN008322
OG0000086	LOC129787729, LOC129787734	AMIN008148, AMIN000451, AMIN002615
OG0000088	LOC129795927, LOC129794489, LOC129796007	AMIN008863, AMIN009049, AMIN009053
OG0000090	LOC129787919, LOC129787933	AMIN010523
OG0000090	LOC129793252	AMIN010488
OG0000091	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148	AMIN002875
OG0000093	LOC129786127	AMIN007523, AMIN009880, AMIN007575, AMIN014793, AMIN001012
OG0000096	LOC129794915	AMIN009310
OG0000096	LOC129794914	AMIN014712, AMIN010757, AMIN001255
OG0000097	LOC129797700, LOC129797734	AMIN003984, AMIN003983, AMIN003985
OG0000108	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974	AMIN001146
OG0000109	LOC129796958	AMIN007943
OG0000109	LOC129787301	AMIN000020
OG0000114	LOC129791409	AMIN005869
OG0000115	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063	AMIN007799, AMIN007798
OG0000116	LOC129791153	AMIN009560
OG0000120	LOC129795901, LOC129797227	AMIN015839, AMIN015840, AMIN015843, AMIN007643
OG0000124	LOC129786906	AMIN010446, AMIN010457, AMIN010445
OG0000128	LOC129794451, LOC129794450	AMIN016003, AMIN009297
OG0000128	LOC129794553, LOC129795542, LOC129795535	AMIN016286, AMIN016287
OG0000129	LOC129797028	AMIN002441
OG0000130	LOC129795831, LOC129797298	AMIN000464, AMIN009807
OG0000131	LOC129797128	AMIN009597
OG0000131	LOC129792345	AMIN009593
OG0000132	LOC129794613	AMIN008147, AMIN008146, AMIN008145, AMIN009203
OG0000133	LOC129795866, LOC129794696	AMIN006896, AMIN008836, AMIN008837
OG0000134	LOC129792867	AMIN010110, AMIN010108, AMIN010109
OG0000135	LOC129786134	AMIN001757, AMIN001904, AMIN009411, AMIN007092, AMIN009027, AMIN007093
OG0000136	LOC129797461, LOC129792712, LOC129794643, LOC129788901	AMIN008377, AMIN001881
OG0000142	LOC129792316, LOC129793845	AMIN003855, AMIN000952
OG0000142	LOC129797567	AMIN003784
OG0000143	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158	AMIN002682
OG0000144	LOC129787998	AMIN014512
OG0000146	LOC129797766, LOC129797769, LOC129797768	AMIN000516
OG0000147	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470	AMIN016141, AMIN016134, AMIN016136, AMIN016135
OG0000148	LOC129790546	AMIN009495
OG0000150	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164	AMIN011243
OG0000152	LOC129794238	AMIN007972
OG0000152	LOC129787698	AMIN009947, AMIN009948
OG0000154	LOC129791038	AMIN000711, AMIN006064
OG0000157	LOC129793002	AMIN001668, AMIN010663
OG0000160	LOC129797691, LOC129797713, LOC129786217	AMIN007249, AMIN006471, AMIN007271, AMIN003417, AMIN010021
OG0000161	LOC129790631	AMIN010046
OG0000162	LOC129792306	AMIN006857, AMIN006855
OG0000163	LOC129793077, LOC129787054, LOC129793078	AMIN001822
OG0000164	LOC129788007	AMIN004931
OG0000164	LOC129786795	AMIN004928, AMIN004930
OG0000165	LOC129785838	AMIN005409, AMIN004970
OG0000166	LOC129793375, LOC129794220, LOC129793372	AMIN007525
OG0000171	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346	AMIN004244
OG0000172	LOC129796083	AMIN008835, AMIN008838, AMIN008827
OG0000173	LOC129796378, LOC129791724, LOC129796377, LOC129787463	AMIN007048, AMIN007047
OG0000174	LOC129785929	AMIN010113, AMIN005847, AMIN015909
OG0000176	LOC129787791, LOC129788000	AMIN014572, AMIN006846, AMIN006492, AMIN006477
OG0000183	LOC129786975, LOC129786974	AMIN002688, AMIN003141
OG0000184	LOC129794345	AMIN001894, AMIN015554, AMIN001896, AMIN015555
OG0000187	LOC129796892	AMIN000726
OG0000188	LOC129786978	AMIN011638
OG0000189	LOC129787889	AMIN004715
OG0000189	LOC129787087	AMIN003400
OG0000190	LOC129790672	AMIN009845
OG0000190	LOC129789849	AMIN005982, AMIN001539
OG0000192	LOC129789885	AMIN009154
OG0000192	LOC129791401	AMIN003113
OG0000192	LOC129789886	AMIN016221
OG0000193	LOC129791916, LOC129788591, LOC129786638	AMIN005247, AMIN005248, AMIN015557, AMIN005246, AMIN001550
OG0000194	LOC129795950	AMIN001917
OG0000196	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795	AMIN001000
OG0000200	LOC129796145	AMIN008384
OG0000200	LOC129786068	AMIN008385, AMIN004606
OG0000201	LOC129792426, LOC129792425, LOC129792423	AMIN011329
OG0000202	LOC129795977	AMIN005702, AMIN005629
OG0000204	LOC129790266	AMIN015947, AMIN015946, AMIN015945
OG0000206	LOC129791163	AMIN015995
OG0000206	LOC129791164	AMIN009119
OG0000207	LOC129791699	AMIN016067, AMIN016068
OG0000208	LOC129796425	AMIN008403, AMIN008402
OG0000217	LOC129790202	AMIN000805
OG0000217	LOC129790328	AMIN001961
OG0000218	LOC129795659	AMIN006218, AMIN006220
OG0000220	LOC129787563	AMIN002726
OG0000222	LOC129788692	AMIN001686, AMIN001152
OG0000223	LOC129786636	AMIN002292
OG0000224	LOC129786419	AMIN003074, AMIN003071
OG0000225	LOC129797834, LOC129797833	AMIN003771
OG0000229	LOC129787399, LOC129793458	AMIN000391, AMIN003127, AMIN003317
OG0000231	LOC129794015	AMIN010930, AMIN010931
OG0000232	LOC129791885	AMIN010173, AMIN010175, AMIN016211, AMIN016210
OG0000233	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369	AMIN002286, AMIN002275
OG0000234	LOC129793719, LOC129790671	AMIN006393, AMIN006400, AMIN006394
OG0000236	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313	AMIN002269, AMIN002270, AMIN008944
OG0000237	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873	AMIN000894
OG0000244	LOC129788572	AMIN009457, AMIN009466
OG0000245	LOC129788329, LOC129791448, LOC129788328	AMIN000228
OG0000248	LOC129790447	AMIN005906, AMIN016193, AMIN016192
OG0000250	LOC129792061	AMIN003364
OG0000254	LOC129794727, LOC129794738	AMIN000082, AMIN000940
OG0000265	LOC129794745	AMIN010596, AMIN010587, AMIN005808
OG0000266	LOC129788826	AMIN001628, AMIN006383, AMIN006382
OG0000267	LOC129792282, LOC129787468, LOC129787465, LOC129787466, LOC129787467, LOC129792219, LOC129787464	AMIN004190, AMIN004770
OG0000268	LOC129790334, LOC129790344	AMIN007059, AMIN007060, AMIN007061
OG0000269	LOC129786292	AMIN016284
OG0000270	LOC129795988	AMIN011416, AMIN008623, AMIN015971
OG0000271	LOC129789622	AMIN001411
OG0000272	LOC129792269	AMIN008763, AMIN008100
OG0000273	LOC129794573, LOC129794527, LOC129794600	AMIN015825, AMIN015824, AMIN002200
OG0000274	LOC129788675, LOC129795658, LOC129788672, LOC129795638	AMIN006742
OG0000277	LOC129791521	AMIN000409
OG0000278	LOC129786521, LOC129791056, LOC129791052	AMIN011462, AMIN011446, AMIN011465
OG0000280	LOC129794053	AMIN006822, AMIN006823, AMIN006824
OG0000286	LOC129786965	AMIN001250
OG0000289	LOC129789651, LOC129789648, LOC129789646	AMIN009186
OG0000290	LOC129794578	AMIN015559, AMIN008540, AMIN015558
OG0000291	LOC129796116	AMIN007862
OG0000291	LOC129791815	AMIN008053, AMIN008052
OG0000292	LOC129789397	AMIN006672, AMIN006670
OG0000293	LOC129794823, LOC129788774	AMIN005398
OG0000294	LOC129789645	AMIN005760
OG0000294	LOC129789635	AMIN005761
OG0000296	LOC129789943	AMIN006011
OG0000297	LOC129791271, LOC129795319, LOC129790452, LOC129793248	AMIN015904, AMIN015903
OG0000299	LOC129797703	AMIN002531, AMIN008559
OG0000302	LOC129794019, LOC129794016	AMIN016306, AMIN010574
OG0000303	LOC129786927	AMIN000130, AMIN000132, AMIN004553
OG0000304	LOC129788607	AMIN001010
OG0000305	LOC129788936	AMIN007189
OG0000306	LOC129792581	AMIN006304, AMIN006305
OG0000311	LOC129797680, LOC129791123, LOC129797827, LOC129791363, LOC129795702	AMIN000004
OG0000319	LOC129792976, LOC129792973	AMIN001372, AMIN001373, AMIN011132
OG0000324	LOC129791049	AMIN009157, AMIN009156
OG0000325	LOC129793668	AMIN010396
OG0000326	LOC129786690	AMIN004016, AMIN003195, AMIN003194
OG0000327	LOC129788407	AMIN006782
OG0000328	LOC129795928	AMIN008593, AMIN008592
OG0000329	LOC129790306	AMIN001843, AMIN001842
OG0000330	LOC129790371	AMIN005466, AMIN005465
OG0000331	LOC129786465	AMIN015827, AMIN015828, AMIN015829
OG0000332	LOC129787519	AMIN003653, AMIN003550, AMIN003652
OG0000333	LOC129792561	AMIN010628, AMIN010619
OG0000334	LOC129789420, LOC129789377, LOC129789388, LOC129789243, LOC129789387, LOC129789380, LOC129789362, LOC129789379, LOC129789244, LOC129789242, LOC129789359, LOC129789374	AMIN001560
OG0000336	LOC129790183, LOC129792929	AMIN011337
OG0000344	LOC129796894, LOC129796895, LOC129786968	AMIN004814, AMIN007367
OG0000345	LOC129786395	AMIN005741
OG0000349	LOC129793891	AMIN015611, AMIN010714, AMIN015612
OG0000350	LOC129793586	AMIN015944
OG0000351	LOC129794682	AMIN008878
OG0000352	LOC129786247, LOC129786294	AMIN004703
OG0000353	LOC129794007	AMIN010928
OG0000354	LOC129787091	AMIN003843, AMIN003437
OG0000355	LOC129787439	AMIN002728, AMIN006601
OG0000356	LOC129786611, LOC129786607, LOC129786612, LOC129786240	AMIN008127, AMIN004156
OG0000357	LOC129797618	AMIN003425, AMIN003427, AMIN003426
OG0000359	LOC129793872	AMIN004153
OG0000360	LOC129793800, LOC129796548	AMIN004393
OG0000363	LOC129797000	AMIN011090
OG0000364	LOC129791717	AMIN011281
OG0000365	LOC129787071	AMIN001318
OG0000367	LOC129794337, LOC129792101, LOC129795024	AMIN007407
OG0000368	LOC129790768, LOC129790769, LOC129796330, LOC129790703, LOC129790738, LOC129790737, LOC129790736	AMIN004899
OG0000369	LOC129790261	AMIN000991, AMIN000990, AMIN000995
OG0000370	LOC129794441, LOC129794442, LOC129794443	AMIN001702
OG0000370	LOC129786379	AMIN015641
OG0000371	LOC129794045	AMIN007985, AMIN007986, AMIN007988
OG0000372	LOC129790937	AMIN005843
OG0000381	LOC129792906, LOC129792907, LOC129792591	AMIN016125, AMIN016124
OG0000382	LOC129786797, LOC129796311	AMIN006598
OG0000382	LOC129796310	AMIN006597
OG0000383	LOC129785995	AMIN003564
OG0000383	LOC129787610, LOC129794998	AMIN006915
OG0000386	LOC129794213	AMIN010945
OG0000387	LOC129792588	AMIN011411, AMIN010181
OG0000389	LOC129792672	AMIN010092
OG0000391	LOC129787235	AMIN004615
OG0000391	LOC129791955	AMIN006874
OG0000393	LOC129785949, LOC129785948, LOC129785957	AMIN000709, AMIN000710
OG0000394	LOC129791762	AMIN015659, AMIN015658
OG0000395	LOC129788433	AMIN006779
OG0000395	LOC129796829, LOC129789717	AMIN005116
OG0000396	LOC129790169	AMIN009642, AMIN009640, AMIN009641
OG0000397	LOC129790187	AMIN009574
OG0000397	LOC129790172	AMIN000431
OG0000399	LOC129794264	AMIN011393, AMIN007830
OG0000400	LOC129786701	AMIN007277, AMIN010038
OG0000401	LOC129797202	AMIN003805
OG0000401	LOC129786605	AMIN008417
OG0000403	LOC129788394	AMIN005734
OG0000403	LOC129793356	AMIN015648
OG0000404	LOC129795523	AMIN001303, AMIN001304
OG0000407	LOC129791712	AMIN008277, AMIN009328
OG0000408	LOC129797650, LOC129797649	AMIN007332, AMIN007333
OG0000409	LOC129787069	AMIN001360, AMIN001358, AMIN001359
OG0000410	LOC129786954, LOC129794457	AMIN002933
OG0000411	LOC129786847, LOC129786629	AMIN016275, AMIN016274, AMIN016278
OG0000412	LOC129788847	AMIN005383, AMIN005384
OG0000413	LOC129792318	AMIN010118, AMIN010119
OG0000414	LOC129790511	AMIN005852, AMIN005894
OG0000416	LOC129792009	AMIN010661, AMIN011205
OG0000417	LOC129796020	AMIN003479
OG0000417	LOC129792608, LOC129787782	AMIN004992
OG0000424	LOC129785892	AMIN005584
OG0000430	LOC129790395	AMIN015929, AMIN006466
OG0000431	LOC129786890, LOC129786889, LOC129786888	AMIN002817
OG0000432	LOC129793235	AMIN006725, AMIN001567
OG0000433	LOC129787458	AMIN002730, AMIN002729
OG0000435	LOC129793979, LOC129788654	AMIN009195
OG0000437	LOC129796837, LOC129796843, LOC129786972	AMIN003136
OG0000438	LOC129796877, LOC129796853	AMIN003139, AMIN003137
OG0000439	LOC129791046	AMIN006296
OG0000439	LOC129791051	AMIN006294
OG0000440	LOC129786063	AMIN004661, AMIN004662
OG0000441	LOC129789191	AMIN007959, AMIN002140
OG0000442	LOC129787812	AMIN009238, AMIN009239, AMIN009240
OG0000443	LOC129786466	AMIN004723, AMIN007767
OG0000445	LOC129788571	AMIN008996
OG0000445	LOC129795393	AMIN008997
OG0000446	LOC129792631	AMIN007883
OG0000447	LOC129791462	AMIN015485, AMIN015486
OG0000448	LOC129791218	AMIN010314
OG0000448	LOC129797162	AMIN000368
OG0000449	LOC129788782	AMIN005171
OG0000449	LOC129795663	AMIN006588
OG0000450	LOC129791284	AMIN009737
OG0000450	LOC129791285	AMIN016018
OG0000451	LOC129797430	AMIN002070, AMIN002072
OG0000453	LOC129796269	AMIN008351, AMIN006656
OG0000454	LOC129791222, LOC129791223, LOC129789958, LOC129789953, LOC129789957, LOC129789984, LOC129789955, LOC129789970, LOC129786231, LOC129789956	AMIN001771
OG0000455	LOC129793202	AMIN010071
OG0000455	LOC129795185, LOC129794005	AMIN008404
OG0000456	LOC129789003	AMIN009407, AMIN010925
OG0000457	LOC129797501	AMIN003469
OG0000457	LOC129797497	AMIN003467
OG0000460	LOC129786399	AMIN004000, AMIN003998
OG0000461	LOC129788689, LOC129788691	AMIN005596, AMIN005597
OG0000464	LOC129792136	AMIN010382
OG0000465	LOC129794475, LOC129787824, LOC129787821, LOC129787819, LOC129787822, LOC129787823	AMIN000102, AMIN005739
OG0000466	LOC129788859	AMIN008413, AMIN006890
OG0000476	LOC129797587, LOC129797598	AMIN015548, AMIN015549
OG0000478	LOC129789679	AMIN006764
OG0000478	LOC129789267	AMIN006763
OG0000479	LOC129786132, LOC129786130	AMIN003190, AMIN003192
OG0000480	LOC129795298	AMIN008804
OG0000481	LOC129793585	AMIN015941, AMIN015942
OG0000482	LOC129789436	AMIN015815, AMIN015813
OG0000484	LOC129797633	AMIN007230, AMIN015926
OG0000485	LOC129795192	AMIN006211
OG0000486	LOC129796376	AMIN008726, AMIN002294
OG0000487	LOC129796445	AMIN009827, AMIN005361
OG0000489	LOC129789596	AMIN005535, AMIN005536
OG0000490	LOC129797526, LOC129793927	AMIN008273, AMIN008250
OG0000491	LOC129786095	AMIN016162, AMIN003650
OG0000492	LOC129790192	AMIN005529, AMIN015489
OG0000494	LOC129795759	AMIN008619
OG0000495	LOC129789139	AMIN007154
OG0000496	LOC129786268	AMIN016233
OG0000497	LOC129787431	AMIN003979, AMIN016070
OG0000499	LOC129790607	AMIN010059
OG0000500	LOC129788005	AMIN005698, AMIN011003
OG0000501	LOC129797582	AMIN006982
OG0000502	LOC129785827	AMIN015996, AMIN007007
OG0000504	LOC129793723	AMIN003505, AMIN003013
OG0000506	LOC129792624	AMIN007882, AMIN008841
OG0000507	LOC129791979	AMIN009824, AMIN002620
OG0000509	LOC129792415	AMIN007998
OG0000510	LOC129791881	AMIN005108, AMIN002964
OG0000511	LOC129797841	AMIN008024, AMIN008023
OG0000512	LOC129789515	AMIN005370
OG0000512	LOC129789516	AMIN005371
OG0000514	LOC129785846	AMIN000976, AMIN006790
OG0000515	LOC129790939	AMIN000903, AMIN000905
OG0000516	LOC129791524, LOC129797636	AMIN015782, AMIN015783
OG0000517	LOC129795838, LOC129787799, LOC129787785, LOC129789028, LOC129790802	AMIN004090, AMIN004091
OG0000518	LOC129793591	AMIN010315, AMIN010316
OG0000519	LOC129793219	AMIN007982
OG0000520	LOC129788574	AMIN009633
OG0000521	LOC129792109	AMIN010473
OG0000521	LOC129792300	AMIN000859
OG0000522	LOC129788714	AMIN007265, AMIN007262
OG0000523	LOC129797678	AMIN004760
OG0000523	LOC129795335	AMIN004944
OG0000524	LOC129792438	AMIN010979, AMIN010980
OG0000526	LOC129796859, LOC129794163	AMIN005825, AMIN001122
OG0000527	LOC129787200	AMIN004131, AMIN004132
OG0000528	LOC129793220	AMIN007833, AMIN007829
OG0000535	LOC129788946, LOC129788947	AMIN007082, AMIN007081
OG0000536	LOC129786855	AMIN011275, AMIN008553
OG0000538	LOC129785868	AMIN003755
OG0000540	LOC129795815, LOC129795822	AMIN005379
OG0000542	LOC129787142	AMIN002916
OG0000543	LOC129790875, LOC129790828	AMIN008407
OG0000544	LOC129793436	AMIN001828
OG0000546	LOC129791189	AMIN002142
OG0000547	LOC129789445	AMIN006548, AMIN011566
OG0000548	LOC129788460, LOC129793810, LOC129796665	AMIN005326
OG0000549	LOC129796163, LOC129787746	AMIN010949, AMIN005346
OG0000550	LOC129793857	AMIN007688
OG0000551	LOC129787904, LOC129787888	AMIN004699
OG0000552	LOC129793549	AMIN004124, AMIN004126, AMIN004125
OG0000553	LOC129792363	AMIN009893
OG0000555	LOC129786450	AMIN000002
OG0000557	LOC129791307	AMIN000396, AMIN005429
OG0000558	LOC129793107	AMIN004650, AMIN002017
OG0000559	LOC129787647	AMIN003274, AMIN003273
OG0000560	LOC129791771, LOC129796515	AMIN005299
OG0000561	LOC129792671	AMIN010697
OG0000562	LOC129796001, LOC129793753, LOC129796544	AMIN011522
OG0000563	LOC129787428	AMIN000899
OG0000564	LOC129790481, LOC129790484	AMIN009852
OG0000565	LOC129788762	AMIN004942, AMIN005177
OG0000566	LOC129795066	AMIN008364
OG0000567	LOC129794069	AMIN007642
OG0000567	LOC129794176	AMIN008036
OG0000568	LOC129793949	AMIN001579
OG0000569	LOC129797441, LOC129797546	AMIN002519
OG0000572	LOC129793426	AMIN008152, AMIN008154, AMIN008153
OG0000573	LOC129790886	AMIN008055, AMIN005376
OG0000574	LOC129790054	AMIN006811, AMIN006813, AMIN006812
OG0000579	LOC129793001	AMIN010666
OG0000581	LOC129792112	AMIN011482
OG0000582	LOC129791278	AMIN016010
OG0000582	LOC129790571	AMIN016008
OG0000584	LOC129795290	AMIN008750, AMIN008751, AMIN008748
OG0000586	LOC129786887, LOC129790177	AMIN002818
OG0000588	LOC129797624	AMIN000874
OG0000606	LOC129795943, LOC129795511	AMIN003039
OG0000607	LOC129796412	AMIN008746
OG0000608	LOC129790262	AMIN001858, AMIN001857
OG0000609	LOC129789280, LOC129790035, LOC129789951, LOC129791241, LOC129788166, LOC129795243, LOC129794971, LOC129794411	AMIN009721
OG0000610	LOC129793437	AMIN010909, AMIN010908
OG0000611	LOC129794969, LOC129792305	AMIN010221
OG0000612	LOC129793245, LOC129791742	AMIN001751
OG0000613	LOC129797020	AMIN003914, AMIN003655
OG0000614	LOC129794514, LOC129787902	AMIN010054
OG0000615	LOC129793095	AMIN010988
OG0000618	LOC129786155	AMIN002658, AMIN002025
OG0000619	LOC129790543, LOC129790552	AMIN000286
OG0000621	LOC129789158	AMIN014163
OG0000622	LOC129791514, LOC129795662, LOC129794311, LOC129795246	AMIN006522
OG0000623	LOC129795989	AMIN008790, AMIN008600
OG0000624	LOC129787186	AMIN004070
OG0000625	LOC129797405	AMIN015791, AMIN015790
OG0000627	LOC129796028	AMIN009215, AMIN009220
OG0000629	LOC129789450, LOC129796880, LOC129791990	AMIN005193
