Orthogroup	LlongipalpisASM	Aalbopictus_AalbF5
OG0000073	LOC129790978, LOC129789240, LOC129791095, LOC129786082, LOC129794430, LOC129789666, LOC129795974, LOC129794559, LOC129796201, LOC129786939, LOC129791894, LOC129796558, LOC129796557, LOC129786080, LOC129796556, LOC129791096, LOC129791101, LOC129791098, LOC129791103, LOC129789241, LOC129791100	LOC109433068, LOC109433069, LOC109433130, LOC109404655
OG0000077	LOC129789368, LOC129791094	LOC109431700, LOC109428459
OG0000077	LOC129793367	LOC115267608, LOC115267631, LOC115267607, LOC115267620
OG0000078	LOC129795036	LOC134284552, LOC115267917
OG0000079	LOC129796831	LOC109422640, LOC109422560, LOC109399710, LOC109418231, LOC109428005, LOC109422721
OG0000080	LOC129790108	LOC115265252, LOC109417572, LOC109417573, LOC109417818, LOC109420119, LOC109420142
OG0000086	LOC129787729, LOC129787734	LOC109402934, LOC115258102, LOC109405184, LOC109426350, LOC115254457, LOC109399012, LOC109622980
OG0000088	LOC129795927, LOC129794489, LOC129796007	LOC115257675, LOC115257694, LOC109433460, LOC115267981, LOC109433519, LOC109418404, LOC109419766
OG0000090	LOC129787919, LOC129787933	LOC109430577, LOC109424283, LOC109428699, LOC109428697
OG0000090	LOC129793252	LOC109399239, LOC109429051
OG0000091	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148	LOC115260834, LOC115260167, LOC109398898, LOC115266378, LOC109414571, LOC109429227
OG0000096	LOC129794915	LOC109422254
OG0000096	LOC129794914	LOC109414298, LOC115264212, LOC115264211, LOC109422250
OG0000097	LOC129797700, LOC129797734	LOC109621419, LOC109622082, LOC109433277
OG0000108	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974	LOC109429333, LOC109421068, LOC109429251, LOC109421067, LOC109429469, LOC115258785, LOC109421073, LOC109428607, LOC109421072
OG0000109	LOC129796958	LOC134288467, LOC109417980
OG0000109	LOC129787301	LOC109402397, LOC134284738
OG0000109	LOC129787299, LOC129787302	LOC109402396, LOC109402395
OG0000113	LOC129795443, LOC129792164, LOC129793526, LOC129786957, LOC129788351, LOC129789232, LOC129791242, LOC129791560, LOC129791261, LOC129786876, LOC129786897, LOC129786924, LOC129789233, LOC129791530, LOC129789994, LOC129795477, LOC129790466, LOC129791850, LOC129789838, LOC129792885, LOC129788962, LOC129786819, LOC129793053, LOC129788232, LOC129791308, LOC129788386, LOC129789234, LOC129789286, LOC129794067, LOC129795249, LOC129794555, LOC129788855, LOC129790152, LOC129794581, LOC129789253, LOC129788348, LOC129792329, LOC129788558	LOC134290166
OG0000114	LOC129791409	LOC109421190, LOC109432449, LOC115259293, LOC109432455, LOC109432439, LOC109421209
OG0000115	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063	LOC109413498, LOC109410773
OG0000116	LOC129790116, LOC129790115, LOC129790117	LOC115262061, LOC115262073, LOC109429689
OG0000116	LOC129791153	LOC109400294
OG0000117	LOC129788177	LOC115256994
OG0000117	LOC129796173, LOC129789407, LOC129796171, LOC129789263, LOC129788638	LOC109398787, LOC134290019, LOC115260521, LOC109401323, LOC109422908, LOC115269192, LOC115258941, LOC115266654
OG0000120	LOC129795901, LOC129797227	LOC109402840, LOC109406119, LOC115261111, LOC115261112
OG0000122	LOC129794310, LOC129794534	LOC134288311, LOC134289590, LOC134291066, LOC115269929, LOC134290580, LOC134284521, LOC134289620, LOC134284461, LOC134291132, LOC134290113, LOC134289572, LOC134286419, LOC134288329, LOC134286541, LOC115260993, LOC134286726, LOC134286183, LOC134290739, LOC134286112, LOC134291286, LOC115258482, LOC134286654, LOC134289578, LOC134288908, LOC134288629, LOC134290476, LOC134290367, LOC134290303, LOC134289959, LOC134286926, LOC134291426, LOC134289017, LOC134286732, LOC115259230
OG0000128	LOC129794451, LOC129794450	LOC109396992, LOC109397004
OG0000128	LOC129794553, LOC129795542, LOC129795535	LOC115262796
OG0000129	LOC129797028	LOC109428071, LOC109418295, LOC109418292, LOC109418299, LOC109421658
OG0000130	LOC129795831, LOC129797298	LOC109426323, LOC109421327, LOC109427811, LOC115265185, LOC109421178, LOC109421176, LOC109421326
OG0000131	LOC129792347	LOC109420718
OG0000131	LOC129797128	LOC109419859, LOC109420609
OG0000131	LOC129792345	LOC109420605
OG0000132	LOC129794613	LOC109399101, LOC109397421, LOC109397420
OG0000133	LOC129795866, LOC129794696	LOC109425940, LOC109433309, LOC134291485
OG0000134	LOC129792867	LOC115267595, LOC109399470, LOC115267583
OG0000135	LOC129786134	LOC109411771
OG0000136	LOC129797461, LOC129792712, LOC129794643, LOC129788901	LOC109418558, LOC109413120, LOC109400919, LOC109401827, LOC109412093, LOC109404625
OG0000140	LOC129792679, LOC129794270, LOC129793278, LOC129790730, LOC129792765, LOC129790574, LOC129788130, LOC129790577, LOC129791613, LOC129795673, LOC129795030, LOC129794981, LOC129794986, LOC129797825, LOC129788343, LOC129792547, LOC129795039, LOC129791907, LOC129790883, LOC129788419, LOC129788880, LOC129787358, LOC129796565, LOC129791747, LOC129790924, LOC129789747, LOC129793268, LOC129791961, LOC129790219, LOC129786600, LOC129795684, LOC129792417, LOC129797663, LOC129794781	LOC115260084
OG0000142	LOC129792316, LOC129793845	LOC109401436, LOC109423496, LOC109423512
OG0000142	LOC129797567	LOC109423498
OG0000143	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158	LOC115271081, LOC109422534, LOC115271082, LOC109422663, LOC109401093, LOC109422664, LOC109422665, LOC109401117
OG0000144	LOC129787998	LOC134287350, LOC134288014, LOC109404515, LOC109398775, LOC134290966, LOC109406348, LOC109397614, LOC134290793, LOC115260148, LOC134290866, LOC115259426, LOC134289714, LOC115264397
OG0000146	LOC129797766, LOC129797769, LOC129797768	LOC109406196, LOC109406203, LOC109419020, LOC109408133, LOC109419023, LOC109419016, LOC109406193
OG0000147	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470	LOC109402061, LOC109421511, LOC109421512
OG0000148	LOC129796639	LOC115260854
OG0000148	LOC129790546	LOC109421171
OG0000150	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164	LOC115266551
OG0000151	LOC129787141, LOC129787139, LOC129787137, LOC129787138, LOC129787316, LOC129788322, LOC129794423, LOC129794422, LOC129787140, LOC129791519, LOC129796677, LOC129794556, LOC129795292, LOC129792484, LOC129792407, LOC129787123, LOC129794546, LOC129794547, LOC129787135, LOC129787132, LOC129787133	LOC109412232
OG0000152	LOC129794238	LOC109408684
OG0000152	LOC129787698	LOC109420225
OG0000154	LOC129791038	LOC109421560, LOC109409214, LOC109409172
OG0000157	LOC129793002	LOC109421165, LOC109417943, LOC109426743, LOC109426604, LOC109426606, LOC109426631, LOC109426654, LOC115265692, LOC109426605
OG0000160	LOC129797691, LOC129797713, LOC129786217	LOC134290104, LOC109398789, LOC109422909, LOC115268786, LOC115269191, LOC109420971, LOC134284944
OG0000161	LOC129788698	LOC109413805
OG0000161	LOC129790631	LOC115263538, LOC109415748
OG0000162	LOC129792306	LOC109416740, LOC115257490, LOC109416738, LOC109403420
OG0000163	LOC129793077, LOC129787054, LOC129793078	LOC115264896, LOC109408545, LOC109429593
OG0000164	LOC129788007	LOC134285492
OG0000164	LOC129786795	LOC109413276, LOC109430385, LOC134285493
OG0000165	LOC129785838	LOC134284725, LOC115256356, LOC109421988, LOC115256354
OG0000166	LOC129793375, LOC129794220, LOC129793372	LOC109397863, LOC109418973, LOC109418976
OG0000168	LOC129794488, LOC129790101, LOC129789274, LOC129792331, LOC129791920, LOC129786930, LOC129797845, LOC129789265, LOC129791561, LOC129796576, LOC129793681, LOC129794571, LOC129794306, LOC129787707, LOC129789113, LOC129791255, LOC129787192, LOC129794567, LOC129787033, LOC129794523, LOC129791763, LOC129795621, LOC129796824, LOC129786913	LOC134286066, LOC109621527, LOC109426503
OG0000171	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346	LOC134289645, LOC134289646
OG0000172	LOC129796083	LOC109414400, LOC109410572, LOC109421132
OG0000173	LOC129796378, LOC129791724, LOC129796377, LOC129787463	LOC109424660, LOC109412073, LOC109424630
OG0000174	LOC129785929	LOC115256529
OG0000176	LOC129787791, LOC129788000	LOC109406092, LOC134286515, LOC115266728, LOC134285293
OG0000183	LOC129786975, LOC129786974	LOC115256357, LOC109407271, LOC109402674, LOC109405890
OG0000184	LOC129794345	LOC109411770, LOC109416825, LOC109411788, LOC115262030, LOC109411769
OG0000187	LOC129796892	LOC109415488
OG0000188	LOC129786978	LOC109416080, LOC109402955, LOC115264319, LOC109416100, LOC109416077, LOC134292254
OG0000189	LOC129787889	LOC109398456
OG0000189	LOC129787087	LOC115264694, LOC115264672, LOC115266712
OG0000190	LOC129790672	LOC134287929
OG0000190	LOC129789849	LOC109429277, LOC109420894
OG0000192	LOC129789885	LOC115268599
OG0000192	LOC129791401	LOC109407097
OG0000192	LOC129789886	LOC109424591
OG0000193	LOC129791916, LOC129788591, LOC129786638	LOC109418366, LOC109426146, LOC109426147, LOC109417593
OG0000194	LOC129795950	LOC109621440, LOC115268364, LOC109621437, LOC115268005, LOC109621491
OG0000196	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795	LOC109417644, LOC109410244, LOC115255412, LOC115255411
OG0000200	LOC129796145	LOC109415401
OG0000200	LOC129786068	LOC109410678, LOC115263783
OG0000201	LOC129792426, LOC129792425, LOC129792423	LOC109622199, LOC115269915, LOC115270394, LOC109622197
OG0000202	LOC129795977	LOC109421839, LOC109421838, LOC109428440, LOC109428339
OG0000204	LOC129790266	LOC109425685, LOC109422978, LOC109422968, LOC109422959
OG0000206	LOC129791163	LOC109429344, LOC109428387, LOC109420951
OG0000206	LOC129791164	LOC109414302
OG0000207	LOC129791699	LOC109415428, LOC109402620, LOC109402627, LOC109406592, LOC115253652, LOC109402626
OG0000209	LOC129787514, LOC129785969	LOC109403372, LOC109403367, LOC109414932, LOC109403351, LOC109410735, LOC109403373, LOC109403353, LOC109410739
OG0000217	LOC129790202	LOC109419237
OG0000217	LOC129790328	LOC109431380
OG0000217	LOC129793020	LOC109419238
OG0000218	LOC129795659	LOC109432494, LOC109421452, LOC109421462, LOC109421387
OG0000220	LOC129787563	LOC109622226, LOC109623014, LOC134291628, LOC109409085
OG0000222	LOC129788692	LOC109431412, LOC109402226, LOC109402225, LOC115267223
OG0000223	LOC129786636	LOC109422010, LOC109398859, LOC109398880
OG0000224	LOC129786419	LOC109414163
OG0000225	LOC129797834, LOC129797833	LOC115257287, LOC109405426, LOC115257288
OG0000229	LOC129787399, LOC129793458	LOC115261304, LOC109433437, LOC109433439
OG0000231	LOC129794015	LOC109413995, LOC109413996, LOC109418733, LOC109418736, LOC109418734, LOC109406485
OG0000232	LOC129791885	LOC115270106, LOC109404909
OG0000233	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369	LOC109420036, LOC109420035, LOC109418229
OG0000234	LOC129793719, LOC129790671	LOC109425149, LOC109429432, LOC109425152
OG0000235	LOC129790399, LOC129790400	LOC109427843, LOC115264006, LOC109431305, LOC115268708, LOC109407713
OG0000236	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313	LOC109621447
OG0000237	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873	LOC134287958
OG0000238	LOC129792859	LOC115260552, LOC134286701, LOC115268079, LOC115260553, LOC134291045, LOC134291086, LOC115267927, LOC109402638, LOC134290612, LOC109423641, LOC115264076, LOC115260867, LOC134291838, LOC115257002, LOC134290553, LOC109401447, LOC115265412, LOC134285957, LOC134290877, LOC115260630, LOC134291807, LOC134288276
OG0000244	LOC129788572	LOC109418168, LOC109419321
OG0000245	LOC129788329, LOC129791448, LOC129788328	LOC109622453, LOC134285569
OG0000248	LOC129790447	LOC115255070, LOC109417081, LOC109420539, LOC134289022, LOC109420537, LOC115255069
OG0000250	LOC129791946	LOC109406934
OG0000250	LOC129792061	LOC109427354, LOC109427342
OG0000254	LOC129794727, LOC129794738	LOC109399873, LOC109399939, LOC109423810, LOC109430641
OG0000259	LOC129789876, LOC129791517	LOC134292067, LOC109414046, LOC134288858
OG0000259	LOC129794510	LOC115258480, LOC115256761, LOC109402256, LOC134289753
OG0000265	LOC129794745	LOC115253485, LOC109432322, LOC109413251
OG0000266	LOC129788826	LOC109405673, LOC109401438
OG0000267	LOC129792282, LOC129787468, LOC129787465, LOC129787466, LOC129787467, LOC129792219, LOC129787464	LOC109404182, LOC109418183, LOC115253692
OG0000268	LOC129790334, LOC129790344	LOC109398343, LOC115262167
OG0000269	LOC129786292	LOC109430310, LOC109430352, LOC109412453
OG0000270	LOC129795988	LOC109400467
OG0000271	LOC129789622	LOC109425168, LOC109425169, LOC109400349, LOC109400327
OG0000272	LOC129792269	LOC134291342, LOC109418725, LOC134291341, LOC109418728, LOC134291363
