Orthogroup	LlongipalpisASM	AsinensisChina
OG0000115	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063	ASIC017431, ASIC017432
OG0000116	LOC129790116, LOC129790115, LOC129790117	ASIC006403, ASIC006402
OG0000116	LOC129791153	ASIC014540
OG0000120	LOC129795901, LOC129797227	ASIC011544, ASIC011541, ASIC013726
OG0000124	LOC129786906	ASIC019768, ASIC019753, ASIC019769, ASIC019770, ASIC019771
OG0000128	LOC129794451, LOC129794450	ASIC015246, ASIC015309
OG0000128	LOC129794553, LOC129795542, LOC129795535	ASIC015247, ASIC015248
OG0000129	LOC129797028	ASIC008763, ASIC008762
OG0000130	LOC129795831, LOC129797298	ASIC008146, ASIC012064, ASIC012065
OG0000131	LOC129792347	ASIC012145
OG0000131	LOC129797128	ASIC012146, ASIC012147, ASIC012148
OG0000131	LOC129792345	ASIC012034
OG0000132	LOC129794613	ASIC014945, ASIC014943, ASIC014946, ASIC002822
OG0000133	LOC129795866, LOC129794696	ASIC017840, ASIC017841, ASIC017521, ASIC017520
OG0000134	LOC129792867	ASIC019150, ASIC019149, ASIC019146, ASIC019145, ASIC019147
OG0000135	LOC129786134	ASIC020740, ASIC020739, ASIC015458, ASIC007191
OG0000136	LOC129797461, LOC129792712, LOC129794643, LOC129788901	ASIC007232
OG0000140	LOC129792679, LOC129794270, LOC129793278, LOC129790730, LOC129792765, LOC129790574, LOC129788130, LOC129790577, LOC129791613, LOC129795673, LOC129795030, LOC129794981, LOC129794986, LOC129797825, LOC129788343, LOC129792547, LOC129795039, LOC129791907, LOC129790883, LOC129788419, LOC129788880, LOC129787358, LOC129796565, LOC129791747, LOC129790924, LOC129789747, LOC129793268, LOC129791961, LOC129790219, LOC129786600, LOC129795684, LOC129792417, LOC129797663, LOC129794781	ASIC017498
OG0000142	LOC129792316, LOC129793845	ASIC011129, ASIC010497, ASIC004901
OG0000142	LOC129797567	ASIC014682
OG0000143	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158	ASIC008422, ASIC008424, ASIC008426
OG0000144	LOC129787998	ASIC007887, ASIC015934, ASIC017525, ASIC021886, ASIC001515
OG0000146	LOC129797766, LOC129797769, LOC129797768	ASIC008229
OG0000147	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470	ASIC002221, ASIC002222, ASIC002220
OG0000148	LOC129790546	ASIC012007
OG0000150	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164	ASIC011027
OG0000151	LOC129787126, LOC129787128	ASIC009927
OG0000151	LOC129787141, LOC129787139, LOC129787137, LOC129787138, LOC129787316, LOC129788322, LOC129794423, LOC129794422, LOC129787140, LOC129791519, LOC129796677, LOC129794556, LOC129795292, LOC129792484, LOC129792407, LOC129787123, LOC129794546, LOC129794547, LOC129787135, LOC129787132, LOC129787133	ASIC009913, ASIC009914
OG0000152	LOC129794238	ASIC004877
OG0000154	LOC129791038	ASIC004043, ASIC013097, ASIC013108, ASIC004042, ASIC013051, ASIC004041
OG0000157	LOC129793002	ASIC010788, ASIC019241
OG0000160	LOC129797691, LOC129797713, LOC129786217	ASIC016821
OG0000161	LOC129790631	ASIC019631
OG0000162	LOC129792306	ASIC018387, ASIC018375, ASIC018379, ASIC018380
OG0000163	LOC129793077, LOC129787054, LOC129793078	ASIC007358, ASIC007362, ASIC007363, ASIC007359
OG0000164	LOC129788007	ASIC021805
OG0000164	LOC129786795	ASIC021916, ASIC021828
OG0000165	LOC129785838	ASIC020384, ASIC020380, ASIC020379, ASIC020381
OG0000166	LOC129793375, LOC129794220, LOC129793372	ASIC016347, ASIC012923, ASIC012924, ASIC012921
OG0000171	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346	ASIC004812, ASIC004811, ASIC004810
OG0000172	LOC129796083	ASIC017527, ASIC017517, ASIC017518, ASIC017545, ASIC017548, ASIC017547
OG0000173	LOC129796378, LOC129791724, LOC129796377, LOC129787463	ASIC022306, ASIC022304
OG0000174	LOC129785929	ASIC007083, ASIC009499, ASIC007084
OG0000183	LOC129786975, LOC129786974	ASIC011096
OG0000184	LOC129794345	ASIC007210, ASIC007209
OG0000187	LOC129796892	ASIC003343
OG0000188	LOC129786978	ASIC009167, ASIC009163, ASIC009169, ASIC009174, ASIC009164, ASIC009173, ASIC009166, ASIC009168, ASIC009162, ASIC009160, ASIC009161
OG0000189	LOC129787889	ASIC020927
OG0000189	LOC129787087	ASIC004914
OG0000190	LOC129790672	ASIC009037
OG0000190	LOC129789849	ASIC004005
OG0000192	LOC129789885	ASIC003853
OG0000192	LOC129791401	ASIC021385
OG0000192	LOC129789886	ASIC006813
OG0000193	LOC129791916, LOC129788591, LOC129786638	ASIC005170, ASIC009034, ASIC004649
OG0000194	LOC129795950	ASIC007163
OG0000196	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795	ASIC009091
OG0000200	LOC129796145	ASIC004374
OG0000200	LOC129786068	ASIC004381
OG0000201	LOC129792426, LOC129792425, LOC129792423	ASIC018737, ASIC018748
OG0000202	LOC129795977	ASIC006264, ASIC005159
OG0000204	LOC129790266	ASIC018858, ASIC018857, ASIC018860
OG0000206	LOC129791163	ASIC009932, ASIC009934, ASIC009931, ASIC009933
OG0000206	LOC129791164	ASIC017261
OG0000207	LOC129791699	ASIC020302, ASIC020301
OG0000208	LOC129796425	ASIC004792, ASIC004793, ASIC004794, ASIC004795
OG0000209	LOC129787514, LOC129785969	ASIC018130
OG0000217	LOC129790202	ASIC021690
OG0000217	LOC129790328	ASIC007120
OG0000217	LOC129793020	ASIC021693
OG0000218	LOC129795659	ASIC006963, ASIC006964
OG0000220	LOC129787563	ASIC021082, ASIC021083, ASIC021081
OG0000222	LOC129788692	ASIC014190, ASIC014179, ASIC013415
OG0000223	LOC129786636	ASIC011432
OG0000224	LOC129786419	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365
OG0000225	LOC129797834, LOC129797833	ASIC021356
OG0000229	LOC129787399, LOC129793458	ASIC021403, ASIC004678
OG0000231	LOC129794015	ASIC011666, ASIC011669
OG0000232	LOC129791885	ASIC012966, ASIC012965
OG0000233	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369	ASIC011408
OG0000234	LOC129793719, LOC129790671	ASIC020664
OG0000235	LOC129790399, LOC129790400	ASIC017168, ASIC009033
OG0000236	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313	ASIC011385, ASIC008198, ASIC015967
OG0000237	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873	ASIC003194
OG0000244	LOC129788572	ASIC022012, ASIC022140
OG0000245	LOC129788329, LOC129791448, LOC129788328	ASIC005515, ASIC005518, ASIC005516
OG0000248	LOC129790447	ASIC017750
OG0000250	LOC129791946	ASIC004082
OG0000250	LOC129792061	ASIC004081
OG0000254	LOC129794727, LOC129794738	ASIC005504
OG0000265	LOC129794745	ASIC007840
OG0000266	LOC129788826	ASIC010738, ASIC004862, ASIC004863
OG0000267	LOC129792282, LOC129787468, LOC129787465, LOC129787466, LOC129787467, LOC129792219, LOC129787464	ASIC021746, ASIC021770
OG0000268	LOC129790334, LOC129790344	ASIC007410, ASIC007406, ASIC007405
OG0000269	LOC129786292	ASIC006168
OG0000270	LOC129795988	ASIC018039
OG0000271	LOC129789622	ASIC006601
OG0000272	LOC129792269	ASIC015539, ASIC011268
OG0000273	LOC129794573, LOC129794527, LOC129794600	ASIC011512, ASIC011513, ASIC011515
OG0000274	LOC129788675, LOC129795658, LOC129788672, LOC129795638	ASIC019686, ASIC020495
OG0000277	LOC129791521	ASIC008290, ASIC008301
OG0000278	LOC129786521, LOC129791056, LOC129791052	ASIC016444, ASIC016562
OG0000280	LOC129794053	ASIC014626, ASIC014625, ASIC014624
OG0000286	LOC129786965	ASIC015277, ASIC015276
OG0000289	LOC129789651, LOC129789648, LOC129789646	ASIC007910, ASIC007909
OG0000290	LOC129794578	ASIC015220, ASIC015219
OG0000291	LOC129796116	ASIC019903
OG0000291	LOC129791815	ASIC018745, ASIC018743
OG0000292	LOC129789397	ASIC012870, ASIC012872
OG0000293	LOC129794823, LOC129788774	ASIC020292, ASIC021166
OG0000294	LOC129789645	ASIC000865, ASIC000867
OG0000294	LOC129789635	ASIC000063
OG0000296	LOC129789943	ASIC010617, ASIC010616
OG0000297	LOC129791271, LOC129795319, LOC129790452, LOC129793248	ASIC007550, ASIC007551
OG0000299	LOC129797703	ASIC010575, ASIC018166, ASIC018167
OG0000302	LOC129794019, LOC129794016	ASIC007798, ASIC007799
OG0000303	LOC129786927	ASIC014828, ASIC014829, ASIC014831
OG0000304	LOC129788607	ASIC009070
OG0000304	LOC129788353	ASIC009068
OG0000305	LOC129788936	ASIC008672
OG0000306	LOC129792581	ASIC017623, ASIC015935, ASIC007588, ASIC017620
OG0000311	LOC129797680, LOC129791123, LOC129797827, LOC129791363, LOC129795702	ASIC002525
OG0000319	LOC129792976, LOC129792973	ASIC006535, ASIC006536, ASIC016269
OG0000324	LOC129791049	ASIC003860, ASIC003861, ASIC003858
OG0000325	LOC129793668	ASIC019850, ASIC021114, ASIC019849
OG0000326	LOC129786690	ASIC005793, ASIC005792
OG0000327	LOC129788407	ASIC009969
OG0000328	LOC129795928	ASIC018103, ASIC018105
OG0000329	LOC129790306	ASIC007335, ASIC007336, ASIC007337
OG0000330	LOC129790371	ASIC005378, ASIC005379, ASIC005380
OG0000331	LOC129786465	ASIC011490, ASIC011489
OG0000332	LOC129787519	ASIC013992, ASIC011150, ASIC013991
OG0000333	LOC129792561	ASIC016706
OG0000334	LOC129789420, LOC129789377, LOC129789388, LOC129789243, LOC129789387, LOC129789380, LOC129789362, LOC129789379, LOC129789244, LOC129789242, LOC129789359, LOC129789374	ASIC005880
OG0000336	LOC129790183, LOC129792929	ASIC018899, ASIC018901, ASIC018897
OG0000337	LOC129794112	ASIC017612
OG0000344	LOC129796894, LOC129796895, LOC129786968	ASIC020228
OG0000345	LOC129786395	ASIC003978, ASIC011811
OG0000349	LOC129793891	ASIC012256, ASIC012253, ASIC012252
OG0000350	LOC129793586	ASIC002433
OG0000351	LOC129794682	ASIC011933, ASIC011922
OG0000352	LOC129786247	ASIC020939
OG0000352	LOC129786294	ASIC020938
OG0000353	LOC129794007	ASIC000954, ASIC011663, ASIC011664
OG0000354	LOC129787091	ASIC012572, ASIC012573, ASIC010034, ASIC010035
OG0000355	LOC129787439	ASIC013915
OG0000356	LOC129786611, LOC129786607, LOC129786612, LOC129786240	ASIC014973, ASIC007049
OG0000357	LOC129797618	ASIC012551, ASIC012549
OG0000360	LOC129793800	ASIC014813, ASIC014814
OG0000360	LOC129796548	ASIC014817
OG0000363	LOC129797000	ASIC018523, ASIC018524
OG0000364	LOC129791717	ASIC016659, ASIC016658
OG0000365	LOC129787071	ASIC002632, ASIC002635, ASIC002634
OG0000367	LOC129794337, LOC129792101, LOC129795024	ASIC016760, ASIC016759
OG0000368	LOC129790768, LOC129790769, LOC129796330, LOC129790703, LOC129790738, LOC129790737, LOC129790736	ASIC021920
OG0000369	LOC129790261	ASIC009381, ASIC009390
OG0000370	LOC129794441, LOC129794442, LOC129794443	ASIC017718
OG0000370	LOC129786379	ASIC011451
OG0000371	LOC129794045	ASIC016594, ASIC016597, ASIC016605
OG0000372	LOC129790937	ASIC009507, ASIC009504, ASIC009508, ASIC009509
OG0000381	LOC129792906, LOC129792907, LOC129792591	ASIC017769
OG0000382	LOC129786797, LOC129796311	ASIC013910
OG0000382	LOC129796310	ASIC013908
OG0000383	LOC129785995	ASIC008776
OG0000383	LOC129787610, LOC129794998	ASIC022329
OG0000386	LOC129794213	ASIC011708, ASIC011707, ASIC011709
OG0000387	LOC129792588	ASIC016161, ASIC012957
OG0000389	LOC129792672	ASIC019090
OG0000389	LOC129796262	ASIC019088
OG0000390	LOC129786718	ASIC021882, ASIC011284
OG0000391	LOC129787235	ASIC015117, ASIC015116
OG0000391	LOC129791955	ASIC017801
OG0000393	LOC129785949, LOC129785948, LOC129785957	ASIC007949
OG0000394	LOC129791762	ASIC021259, ASIC021258
OG0000395	LOC129788433	ASIC009958
OG0000395	LOC129796829, LOC129789717	ASIC006771
OG0000396	LOC129790169	ASIC002672, ASIC002671
OG0000397	LOC129790187	ASIC014575
OG0000397	LOC129790172	ASIC008278
OG0000399	LOC129794264	ASIC019199, ASIC019531, ASIC019530
OG0000400	LOC129786701	ASIC014917, ASIC019623
OG0000401	LOC129797202	ASIC005455
OG0000401	LOC129786605	ASIC004773
OG0000403	LOC129788394	ASIC017017
OG0000403	LOC129793356	ASIC018806
OG0000404	LOC129795523	ASIC005999, ASIC005998
OG0000407	LOC129791712	ASIC017969, ASIC017965
OG0000408	LOC129797650, LOC129797649	ASIC012313, ASIC012311
OG0000409	LOC129787069	ASIC006513, ASIC006515
OG0000411	LOC129786847, LOC129786629	ASIC013281
OG0000412	LOC129788847	ASIC020401, ASIC020400, ASIC020403, ASIC020404
OG0000413	LOC129792318	ASIC019161, ASIC019163, ASIC019162, ASIC019164
OG0000414	LOC129790511	ASIC009497, ASIC014159, ASIC014156, ASIC014158, ASIC014155
OG0000416	LOC129792009	ASIC019239, ASIC016876
OG0000417	LOC129796020	ASIC015685
OG0000417	LOC129792608, LOC129787782	ASIC011176
OG0000424	LOC129785892	ASIC006224, ASIC006202, ASIC006235, ASIC006213, ASIC006268
OG0000429	LOC129797527	ASIC004595, ASIC004594
OG0000430	LOC129790395	ASIC016909
OG0000431	LOC129786890, LOC129786889, LOC129786888	ASIC010039
OG0000432	LOC129793235	ASIC008599, ASIC005905
OG0000433	LOC129787458	ASIC021068, ASIC021074
OG0000435	LOC129793977	ASIC005963
OG0000435	LOC129793979, LOC129788654	ASIC005962
OG0000437	LOC129796837, LOC129796843	ASIC002921
OG0000437	LOC129786972	ASIC002923
OG0000438	LOC129796877, LOC129796853	ASIC002922
OG0000439	LOC129791046	ASIC017605
OG0000439	LOC129791051	ASIC017590
OG0000440	LOC129786063	ASIC013302, ASIC013280
OG0000441	LOC129789191	ASIC000926, ASIC007475, ASIC000925, ASIC007491, ASIC002994, ASIC005125
OG0000443	LOC129786466	ASIC020916, ASIC019892
OG0000445	LOC129788571	ASIC015511
OG0000445	LOC129795393	ASIC015510
OG0000446	LOC129792631	ASIC017399, ASIC017397
OG0000447	LOC129791462	ASIC003833, ASIC003829
OG0000448	LOC129791218	ASIC003765
OG0000448	LOC129797162	ASIC012623
OG0000449	LOC129788782	ASIC003960
OG0000449	LOC129795663	ASIC005404
OG0000450	LOC129791284	ASIC020787
OG0000450	LOC129791285	ASIC020791
OG0000451	LOC129797430	ASIC016924, ASIC016917, ASIC016922, ASIC003595
OG0000453	LOC129796269	ASIC003644, ASIC012850, ASIC012851
OG0000454	LOC129791222, LOC129791223, LOC129789958, LOC129789953, LOC129789957, LOC129789984, LOC129789955, LOC129789970, LOC129786231, LOC129789956	ASIC006736
OG0000455	LOC129793202	ASIC019673
OG0000455	LOC129795185, LOC129794005	ASIC004791
OG0000456	LOC129789003	ASIC011658, ASIC020729
OG0000457	LOC129797501	ASIC015718
OG0000457	LOC129797497	ASIC015722
OG0000460	LOC129786399	ASIC022001, ASIC021718
OG0000461	LOC129788689, LOC129788691	ASIC006228, ASIC006229
OG0000465	LOC129794475, LOC129787824, LOC129787821, LOC129787819, LOC129787822, LOC129787823	ASIC014237, ASIC003894
OG0000466	LOC129788859	ASIC004778, ASIC004777, ASIC017831
OG0000476	LOC129797587, LOC129797598	ASIC009230, ASIC009231
OG0000478	LOC129789267	ASIC002617
OG0000479	LOC129786132, LOC129786130	ASIC004164
OG0000480	LOC129795298	ASIC020530, ASIC005746
OG0000481	LOC129793585	ASIC002432, ASIC008638, ASIC002429
OG0000482	LOC129789436	ASIC006605, ASIC006582
OG0000483	LOC129790713	ASIC003173
OG0000484	LOC129797633	ASIC017359, ASIC001455
OG0000485	LOC129795192	ASIC006949, ASIC006858, ASIC006950
OG0000486	LOC129796376	ASIC016975, ASIC011434
OG0000487	LOC129796445	ASIC006102, ASIC017111
OG0000489	LOC129789596	ASIC004414, ASIC004437
OG0000490	LOC129797526, LOC129793927	ASIC018244, ASIC018249
OG0000491	LOC129786095	ASIC008922, ASIC013988
OG0000492	LOC129790192	ASIC006208, ASIC006198
OG0000494	LOC129795756	ASIC010787
OG0000495	LOC129789139	ASIC012829, ASIC012830
OG0000496	LOC129789632	ASIC006138
OG0000496	LOC129786268	ASIC006139
OG0000497	LOC129787431	ASIC003415
OG0000498	LOC129786578, LOC129786574, LOC129786579	ASIC000092, ASIC000091
OG0000499	LOC129790607	ASIC019661, ASIC005520
OG0000500	LOC129788005	ASIC010264, ASIC015176
OG0000501	LOC129797582	ASIC010971, ASIC013654, ASIC010970
OG0000502	LOC129785827	ASIC000171, ASIC003404, ASIC016009
OG0000504	LOC129793723	ASIC002831, ASIC005768
OG0000506	LOC129792624	ASIC017398, ASIC017513
OG0000507	LOC129791979	ASIC006096, ASIC008822
OG0000509	LOC129792415	ASIC016623, ASIC016624
OG0000510	LOC129791881	ASIC006783
OG0000511	LOC129797841	ASIC018684, ASIC018683
OG0000512	LOC129789515	ASIC017132
OG0000512	LOC129789516	ASIC017133
OG0000514	LOC129785846	ASIC020694, ASIC009980
OG0000515	LOC129790939	ASIC006036, ASIC006038
OG0000516	LOC129791524, LOC129797636	ASIC004630, ASIC004631
OG0000517	LOC129795838, LOC129787799, LOC129787785, LOC129789028, LOC129790802	ASIC020109
OG0000518	LOC129793591	ASIC003764
