Orthogroup	LlongipalpisASM	AfunestusAfunGA1
OG0000024	LOC129791793, LOC129792085, LOC129792882, LOC129794330, LOC129792888, LOC129792886, LOC129792324, LOC129794524, LOC129791470, LOC129795452, LOC129794434, LOC129795453	AFUN2_008754, AFUN2_004514, AFUN2_001856, AFUN2_009727, AFUN2_006932, AFUN2_001526, AFUN2_012131
OG0000026	LOC129792737, LOC129792738	AFUN2_007391, AFUN2_005277, AFUN2_003253, AFUN2_004905, AFUN2_006722
OG0000026	LOC129794486, LOC129789610	AFUN2_005978
OG0000027	LOC129787685, LOC129788076, LOC129787459, LOC129796690, LOC129787460, LOC129787462	AFUN2_012022, AFUN2_002065, AFUN2_004791
OG0000028	LOC129791254, LOC129794054	AFUN2_013164
OG0000028	LOC129790109	AFUN2_006996
OG0000028	LOC129788162, LOC129791752	AFUN2_008286, AFUN2_011015
OG0000030	LOC129790527	AFUN2_012733, AFUN2_007213, AFUN2_001848, AFUN2_011448, AFUN2_005957, AFUN2_010339, AFUN2_010744, AFUN2_005913, AFUN2_012561, AFUN2_001536, AFUN2_011617, AFUN2_011391, AFUN2_001923, AFUN2_011066, AFUN2_014328, AFUN2_006386, AFUN2_012770, AFUN2_005352
OG0000033	LOC129794355, LOC129787784	AFUN2_014039, AFUN2_008608, AFUN2_002394, AFUN2_008977, AFUN2_005452, AFUN2_008949, AFUN2_011104, AFUN2_007576
OG0000034	LOC129791586	AFUN2_000777, AFUN2_002152, AFUN2_005553, AFUN2_004371, AFUN2_010024, AFUN2_014222
OG0000037	LOC129794681, LOC129790942	AFUN2_013181
OG0000038	LOC129790825, LOC129795201	AFUN2_013078, AFUN2_005392
OG0000041	LOC129796428, LOC129796429, LOC129796432, LOC129795648, LOC129796430, LOC129796431	AFUN2_000732, AFUN2_014438, AFUN2_001049, AFUN2_010115, AFUN2_014544
OG0000046	LOC129797654	AFUN2_006305, AFUN2_003082, AFUN2_013805
OG0000049	LOC129794518	AFUN2_008624, AFUN2_012748, AFUN2_002192, AFUN2_013459
OG0000051	LOC129786156	AFUN2_012162, AFUN2_006475, AFUN2_002740, AFUN2_001516, AFUN2_005538, AFUN2_008835, AFUN2_014721
OG0000052	LOC129790600, LOC129794525, LOC129792980, LOC129794483, LOC129786796, LOC129795916, LOC129795917, LOC129795920, LOC129795921, LOC129795919, LOC129792330, LOC129792977, LOC129795918, LOC129796369, LOC129795146, LOC129795143, LOC129795145, LOC129795365, LOC129795124, LOC129795125, LOC129795126, LOC129795144, LOC129794484, LOC129796215, LOC129796367, LOC129794515	AFUN2_013880
OG0000055	LOC129797106	AFUN2_003795
OG0000055	LOC129792602	AFUN2_007989
OG0000055	LOC129793457, LOC129787314	AFUN2_001013, AFUN2_010954, AFUN2_006754, AFUN2_002857, AFUN2_009317, AFUN2_014083, AFUN2_006806, AFUN2_010423
OG0000058	LOC129790208, LOC129796355, LOC129795518, LOC129789259, LOC129786833, LOC129786898, LOC129787589	AFUN2_011854, AFUN2_008788
OG0000058	LOC129790199	AFUN2_002438, AFUN2_002842, AFUN2_001688
OG0000059	LOC129794147	AFUN2_006267, AFUN2_010578, AFUN2_006502, AFUN2_012387, AFUN2_014242, AFUN2_009466
OG0000061	LOC129795031	AFUN2_000988
OG0000061	LOC129795029, LOC129795028	AFUN2_001934
OG0000061	LOC129795034	AFUN2_011828, AFUN2_001889
OG0000064	LOC129790088, LOC129790085	AFUN2_002334, AFUN2_013676, AFUN2_011232, AFUN2_012759, AFUN2_002312
OG0000067	LOC129796553, LOC129796550, LOC129789877, LOC129796549	AFUN2_003888, AFUN2_012011, AFUN2_003045
OG0000067	LOC129796552	AFUN2_008039, AFUN2_008602
OG0000068	LOC129794030	AFUN2_012196, AFUN2_006617
OG0000068	LOC129794029, LOC129794026, LOC129794027	AFUN2_013302, AFUN2_009586
OG0000069	LOC129797773, LOC129786174, LOC129792812	AFUN2_014241, AFUN2_004523, AFUN2_006118, AFUN2_010311, AFUN2_012252
OG0000071	LOC129797006	AFUN2_007775, AFUN2_009753, AFUN2_014078, AFUN2_008604, AFUN2_008424, AFUN2_006008
OG0000072	LOC129787850, LOC129787849	AFUN2_010362
OG0000073	LOC129790978, LOC129789240, LOC129791095, LOC129786082, LOC129794430, LOC129789666, LOC129795974, LOC129794559, LOC129796201, LOC129786939, LOC129791894, LOC129796558, LOC129796557, LOC129786080, LOC129796556, LOC129791096, LOC129791101, LOC129791098, LOC129791103, LOC129789241, LOC129791100	AFUN2_006853, AFUN2_012208
OG0000077	LOC129789368, LOC129791094	AFUN2_011333, AFUN2_001755
OG0000077	LOC129793367	AFUN2_000688, AFUN2_006649, AFUN2_002148
OG0000078	LOC129795036	AFUN2_005192, AFUN2_010088, AFUN2_000476, AFUN2_002448, AFUN2_006245, AFUN2_002769, AFUN2_012944, AFUN2_014773, AFUN2_014774, AFUN2_012543, AFUN2_006933, AFUN2_002243, AFUN2_010739, AFUN2_007797, AFUN2_009705, AFUN2_004461, AFUN2_011486
OG0000079	LOC129796831	AFUN2_004202, AFUN2_012158, AFUN2_003268, AFUN2_001951, AFUN2_003859
OG0000080	LOC129790108	AFUN2_011331, AFUN2_001435, AFUN2_013190, AFUN2_009609, AFUN2_005626
OG0000086	LOC129787729, LOC129787734	AFUN2_011858, AFUN2_006387, AFUN2_009185, AFUN2_010974, AFUN2_001324
OG0000088	LOC129795927, LOC129794489, LOC129796007	AFUN2_014792, AFUN2_006389, AFUN2_012429
OG0000090	LOC129787919, LOC129787933	AFUN2_012179
OG0000090	LOC129793252	AFUN2_011067, AFUN2_004646
OG0000091	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148	AFUN2_004400
OG0000093	LOC129786127	AFUN2_007977, AFUN2_002700, AFUN2_008506, AFUN2_003712, AFUN2_001084, AFUN2_009469, AFUN2_002675, AFUN2_005353, AFUN2_012981, AFUN2_005338
OG0000096	LOC129794915	AFUN2_007046
OG0000096	LOC129794914	AFUN2_000740, AFUN2_004816, AFUN2_002084
OG0000097	LOC129797700, LOC129797734	AFUN2_004895, AFUN2_005456, AFUN2_013795, AFUN2_011155, AFUN2_013131
OG0000108	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974	AFUN2_013458
OG0000109	LOC129796958	AFUN2_009795
OG0000109	LOC129787301	AFUN2_004467
OG0000114	LOC129791409	AFUN2_001369, AFUN2_010132, AFUN2_006701, AFUN2_007376
OG0000115	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063	AFUN2_007755, AFUN2_008885
OG0000116	LOC129790116, LOC129790115, LOC129790117	AFUN2_012892, AFUN2_001632, AFUN2_011292
OG0000116	LOC129791153	AFUN2_005701
OG0000117	LOC129796173, LOC129789407, LOC129796171, LOC129789263, LOC129788638	AFUN2_007418, AFUN2_007392, AFUN2_004666, AFUN2_000918, AFUN2_000628, AFUN2_011841, AFUN2_002246, AFUN2_012483, AFUN2_013717, AFUN2_004183, AFUN2_011147, AFUN2_009679, AFUN2_007034, AFUN2_014579, AFUN2_013280
OG0000120	LOC129795901, LOC129797227	AFUN2_014360, AFUN2_014310, AFUN2_007600, AFUN2_000895
OG0000124	LOC129786906	AFUN2_012265, AFUN2_012679, AFUN2_002887, AFUN2_011110
OG0000128	LOC129794451, LOC129794450	AFUN2_009017, AFUN2_013941
OG0000128	LOC129794553, LOC129795542, LOC129795535	AFUN2_007884
OG0000129	LOC129797028	AFUN2_004369, AFUN2_004902, AFUN2_001390, AFUN2_011235, AFUN2_004109
OG0000130	LOC129795831, LOC129797298	AFUN2_011184, AFUN2_008453, AFUN2_009668
OG0000131	LOC129792347	AFUN2_005171
OG0000131	LOC129797128	AFUN2_011906, AFUN2_003726
OG0000131	LOC129792345	AFUN2_006692
OG0000132	LOC129794613	AFUN2_007055, AFUN2_004597, AFUN2_005157, AFUN2_003612
OG0000133	LOC129795866, LOC129794696	AFUN2_010213, AFUN2_005015, AFUN2_001924, AFUN2_013209
OG0000134	LOC129792867	AFUN2_012800, AFUN2_008047, AFUN2_001568
OG0000135	LOC129786134	AFUN2_011084
OG0000136	LOC129797461, LOC129792712, LOC129794643, LOC129788901	AFUN2_003409, AFUN2_000794
OG0000142	LOC129792316, LOC129793845	AFUN2_002023, AFUN2_002866, AFUN2_007901
OG0000142	LOC129797567	AFUN2_008099
OG0000143	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158	AFUN2_001347, AFUN2_004552
OG0000144	LOC129787998	AFUN2_007342
OG0000146	LOC129797766, LOC129797769, LOC129797768	AFUN2_008600, AFUN2_001333, AFUN2_000602
OG0000147	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470	AFUN2_001243, AFUN2_006652
OG0000148	LOC129790546	AFUN2_006078
OG0000150	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164	AFUN2_013472
OG0000151	LOC129787141, LOC129787139, LOC129787137, LOC129787138, LOC129787316, LOC129788322, LOC129794423, LOC129794422, LOC129787140, LOC129791519, LOC129796677, LOC129794556, LOC129795292, LOC129792484, LOC129792407, LOC129787123, LOC129794546, LOC129794547, LOC129787135, LOC129787132, LOC129787133	AFUN2_008586
OG0000152	LOC129794238	AFUN2_004036
OG0000152	LOC129787698	AFUN2_007248, AFUN2_012516
OG0000154	LOC129791038	AFUN2_012942, AFUN2_007474, AFUN2_001817
OG0000157	LOC129793002	AFUN2_002461
OG0000160	LOC129797691, LOC129797713, LOC129786217	AFUN2_013760, AFUN2_000560, AFUN2_005480, AFUN2_009497, AFUN2_007254
OG0000161	LOC129794572	AFUN2_009616
OG0000161	LOC129790631	AFUN2_013883
OG0000162	LOC129792306	AFUN2_001603, AFUN2_008191, AFUN2_004390
OG0000163	LOC129793077, LOC129787054, LOC129793078	AFUN2_009739, AFUN2_005717, AFUN2_004668
OG0000164	LOC129788007	AFUN2_007065
OG0000164	LOC129786795	AFUN2_003491, AFUN2_014641, AFUN2_008297
OG0000165	LOC129785838	AFUN2_004493, AFUN2_008088, AFUN2_007300, AFUN2_012709
OG0000166	LOC129793375, LOC129794220, LOC129793372	AFUN2_013647, AFUN2_001188
OG0000168	LOC129794488, LOC129790101, LOC129789274, LOC129792331, LOC129791920, LOC129786930, LOC129797845, LOC129789265, LOC129791561, LOC129796576, LOC129793681, LOC129794571, LOC129794306, LOC129787707, LOC129789113, LOC129791255, LOC129787192, LOC129794567, LOC129787033, LOC129794523, LOC129791763, LOC129795621, LOC129796824, LOC129786913	AFUN2_011437
OG0000171	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346	AFUN2_006837, AFUN2_013379
OG0000172	LOC129796083	AFUN2_004764, AFUN2_014173, AFUN2_011072
OG0000173	LOC129796378, LOC129791724, LOC129796377, LOC129787463	AFUN2_006638, AFUN2_004995, AFUN2_006309, AFUN2_013274, AFUN2_004451
OG0000174	LOC129785929	AFUN2_000386, AFUN2_011578
OG0000176	LOC129787791, LOC129788000	AFUN2_004735, AFUN2_012660, AFUN2_007793, AFUN2_007571, AFUN2_010883, AFUN2_001360, AFUN2_006691, AFUN2_006097
OG0000183	LOC129786975, LOC129786974	AFUN2_006554, AFUN2_005817, AFUN2_013925, AFUN2_007926
OG0000184	LOC129794345	AFUN2_012600, AFUN2_009129, AFUN2_006403
OG0000187	LOC129796892	AFUN2_008775
OG0000188	LOC129786978	AFUN2_002434
OG0000189	LOC129787889	AFUN2_010394
OG0000189	LOC129787087	AFUN2_002979, AFUN2_009982
OG0000190	LOC129790672	AFUN2_013220
OG0000190	LOC129789849	AFUN2_007361, AFUN2_014239
OG0000192	LOC129789885	AFUN2_002573
OG0000192	LOC129791401	AFUN2_010718
OG0000192	LOC129789886	AFUN2_006065
OG0000193	LOC129791916, LOC129788591, LOC129786638	AFUN2_010552, AFUN2_009366, AFUN2_003838, AFUN2_011367
OG0000194	LOC129795950	AFUN2_001454, AFUN2_002991, AFUN2_008119
OG0000196	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795	AFUN2_005920
OG0000200	LOC129796145	AFUN2_008798
OG0000200	LOC129786068	AFUN2_010360, AFUN2_014432
OG0000201	LOC129792426, LOC129792425, LOC129792423	AFUN2_004882, AFUN2_007662, AFUN2_003280
OG0000202	LOC129795977	AFUN2_012722, AFUN2_013904, AFUN2_001437
OG0000204	LOC129790266	AFUN2_005886, AFUN2_004049
OG0000206	LOC129791163	AFUN2_009572
OG0000206	LOC129791164	AFUN2_000978
OG0000207	LOC129791699	AFUN2_000379, AFUN2_002113
OG0000208	LOC129796425	AFUN2_000748, AFUN2_013487, AFUN2_002391
OG0000209	LOC129787514, LOC129785969	AFUN2_001039
OG0000217	LOC129790202	AFUN2_005144
OG0000217	LOC129790328	AFUN2_003295
OG0000217	LOC129793020	AFUN2_000967
OG0000218	LOC129795659	AFUN2_001352, AFUN2_014112, AFUN2_007094
OG0000220	LOC129787563	AFUN2_004984, AFUN2_013644, AFUN2_008743
OG0000222	LOC129788692	AFUN2_008952, AFUN2_002413
OG0000223	LOC129786636	AFUN2_006017, AFUN2_002196, AFUN2_011073, AFUN2_009640, AFUN2_001947
OG0000224	LOC129786419	AFUN2_004727, AFUN2_006433
OG0000225	LOC129797834, LOC129797833	AFUN2_013899, AFUN2_005712, AFUN2_007468
OG0000229	LOC129787399, LOC129793458	AFUN2_002725, AFUN2_001410, AFUN2_012986
OG0000231	LOC129794015	AFUN2_014167, AFUN2_001796
OG0000232	LOC129791885	AFUN2_001279, AFUN2_004132
OG0000233	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369	AFUN2_005591, AFUN2_009669
OG0000234	LOC129793719, LOC129790671	AFUN2_006786, AFUN2_005910, AFUN2_014325
OG0000235	LOC129790399, LOC129790400	AFUN2_000576, AFUN2_003102, AFUN2_003000
OG0000236	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313	AFUN2_012443, AFUN2_002078
OG0000237	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873	AFUN2_014509, AFUN2_005130, AFUN2_010795
OG0000244	LOC129788572	AFUN2_005802, AFUN2_006054
OG0000245	LOC129788329, LOC129791448, LOC129788328	AFUN2_014246, AFUN2_010459, AFUN2_014309
OG0000248	LOC129790447	AFUN2_010809, AFUN2_011791
OG0000250	LOC129791946	AFUN2_003687
OG0000250	LOC129792061	AFUN2_007149, AFUN2_003179
OG0000254	LOC129794727, LOC129794738	AFUN2_009334, AFUN2_013341
OG0000259	LOC129792396	AFUN2_007312
OG0000259	LOC129789876, LOC129791517	AFUN2_009415, AFUN2_000528, AFUN2_001338, AFUN2_013898, AFUN2_011804
OG0000265	LOC129794745	AFUN2_009281, AFUN2_011549, AFUN2_003921
OG0000266	LOC129788826	AFUN2_000459, AFUN2_004367, AFUN2_008216
OG0000267	LOC129792282, LOC129787468, LOC129787465, LOC129787466, LOC129787467, LOC129792219, LOC129787464	AFUN2_006831, AFUN2_013327, AFUN2_007744
OG0000268	LOC129790334, LOC129790344	AFUN2_009239, AFUN2_010803, AFUN2_010441
OG0000269	LOC129786292	AFUN2_002119
OG0000270	LOC129795988	AFUN2_004500, AFUN2_005657, AFUN2_001828
OG0000271	LOC129789622	AFUN2_007927, AFUN2_011088, AFUN2_001591, AFUN2_004527
OG0000272	LOC129792269	AFUN2_008265, AFUN2_012900
OG0000273	LOC129794573, LOC129794527, LOC129794600	AFUN2_001579, AFUN2_004573, AFUN2_012480
OG0000274	LOC129788675, LOC129795658, LOC129788672, LOC129795638	AFUN2_009686, AFUN2_013179
OG0000277	LOC129791521	AFUN2_013863
OG0000278	LOC129786521, LOC129791056, LOC129791052	AFUN2_006737, AFUN2_010216, AFUN2_002080
OG0000280	LOC129794053	AFUN2_014275, AFUN2_012254
OG0000286	LOC129786965	AFUN2_002229, AFUN2_001601
OG0000289	LOC129789651, LOC129789648, LOC129789646	AFUN2_008782, AFUN2_008797
OG0000290	LOC129794578	AFUN2_001948, AFUN2_000760, AFUN2_006244
OG0000291	LOC129796116	AFUN2_003869
OG0000291	LOC129791815	AFUN2_005713
OG0000292	LOC129789397	AFUN2_008562, AFUN2_003827, AFUN2_006814
OG0000293	LOC129794823, LOC129788774	AFUN2_001356, AFUN2_000358
OG0000294	LOC129789645	AFUN2_012955
OG0000294	LOC129789635	AFUN2_012574
OG0000296	LOC129789943	AFUN2_010688, AFUN2_014118
OG0000297	LOC129791271, LOC129795319, LOC129790452, LOC129793248	AFUN2_006972, AFUN2_004085
OG0000299	LOC129797703	AFUN2_007111, AFUN2_010458
OG0000302	LOC129794019, LOC129794016	AFUN2_001375, AFUN2_001607
OG0000303	LOC129786927	AFUN2_004936, AFUN2_011645
OG0000304	LOC129788607	AFUN2_011754, AFUN2_006099
OG0000304	LOC129788353	AFUN2_012365
OG0000305	LOC129788936	AFUN2_004178
OG0000306	LOC129792581	AFUN2_011531, AFUN2_002476, AFUN2_011005
OG0000311	LOC129797680, LOC129791123, LOC129797827, LOC129791363, LOC129795702	AFUN2_013804, AFUN2_004431, AFUN2_001606, AFUN2_009299
OG0000319	LOC129792976, LOC129792973	AFUN2_000419, AFUN2_014741
OG0000324	LOC129791049	AFUN2_014723, AFUN2_002760
OG0000325	LOC129793668	AFUN2_013821, AFUN2_009953, AFUN2_000426
OG0000326	LOC129786690	AFUN2_008475, AFUN2_006744
OG0000327	LOC129788407	AFUN2_010823
OG0000328	LOC129795928	AFUN2_012636, AFUN2_005428
OG0000329	LOC129790306	AFUN2_010346, AFUN2_002124
OG0000330	LOC129790371	AFUN2_010609, AFUN2_010577, AFUN2_001583
OG0000331	LOC129786465	AFUN2_010706, AFUN2_002888, AFUN2_011006
OG0000332	LOC129787519	AFUN2_002149, AFUN2_013393, AFUN2_012693
OG0000333	LOC129792561	AFUN2_001023, AFUN2_009434, AFUN2_011252, AFUN2_011040, AFUN2_010709, AFUN2_013423, AFUN2_008471, AFUN2_002539
OG0000334	LOC129789420, LOC129789377, LOC129789388, LOC129789243, LOC129789387, LOC129789380, LOC129789362, LOC129789379, LOC129789244, LOC129789242, LOC129789359, LOC129789374	AFUN2_013965
OG0000336	LOC129790183, LOC129792929	AFUN2_005980, AFUN2_003183, AFUN2_002121
OG0000344	LOC129796894, LOC129796895, LOC129786968	AFUN2_011925, AFUN2_002211
OG0000345	LOC129786395	AFUN2_013986
OG0000349	LOC129793891	AFUN2_012556, AFUN2_006184
OG0000350	LOC129793586	AFUN2_008359
OG0000351	LOC129794682	AFUN2_008901, AFUN2_008714, AFUN2_004633
OG0000352	LOC129786247	AFUN2_006606
OG0000352	LOC129786294	AFUN2_011929
OG0000353	LOC129794007	AFUN2_011227, AFUN2_002095
OG0000354	LOC129787091	AFUN2_005800, AFUN2_002171
OG0000355	LOC129787439	AFUN2_008819, AFUN2_010074, AFUN2_007617
OG0000356	LOC129786611, LOC129786607, LOC129786612, LOC129786240	AFUN2_001849, AFUN2_003379
OG0000357	LOC129797618	AFUN2_011572, AFUN2_008751
OG0000359	LOC129793872	AFUN2_001508, AFUN2_014132, AFUN2_014666, AFUN2_005325
OG0000360	LOC129793800	AFUN2_000510
OG0000360	LOC129796548	AFUN2_007142
OG0000363	LOC129797000	AFUN2_008657, AFUN2_009379
OG0000364	LOC129791717	AFUN2_006948, AFUN2_003336
OG0000365	LOC129787071	AFUN2_013587, AFUN2_014234, AFUN2_001973
OG0000367	LOC129794337, LOC129792101, LOC129795024	AFUN2_011293, AFUN2_010540, AFUN2_012120, AFUN2_007287
OG0000368	LOC129790768, LOC129790769, LOC129796330, LOC129790703, LOC129790738, LOC129790737, LOC129790736	AFUN2_009997
OG0000369	LOC129790261	AFUN2_005004, AFUN2_000751
OG0000370	LOC129786379	AFUN2_014764
OG0000371	LOC129794045	AFUN2_003392
OG0000372	LOC129790937	AFUN2_007569, AFUN2_011675
OG0000381	LOC129792906, LOC129792907, LOC129792591	AFUN2_014467, AFUN2_004958
OG0000382	LOC129786797, LOC129796311	AFUN2_001543
OG0000382	LOC129796310	AFUN2_000360
OG0000383	LOC129785995	AFUN2_014461
OG0000383	LOC129787610, LOC129794998	AFUN2_011562
OG0000386	LOC129794213	AFUN2_009836, AFUN2_005608, AFUN2_013530
OG0000387	LOC129792588	AFUN2_002844, AFUN2_002100
OG0000389	LOC129792672	AFUN2_006060
OG0000389	LOC129796262	AFUN2_013929
OG0000391	LOC129787235	AFUN2_010979
