Orthogroup	LlongipalpisASM	AdirusWRAIR2
OG0000086	LOC129787729, LOC129787734	ADIR009203, ADIR003037, ADIR006613
OG0000088	LOC129795927, LOC129794489, LOC129796007	ADIR000163, ADIR000290, ADIR000294
OG0000090	LOC129787919, LOC129787933	ADIR015919
OG0000090	LOC129793252	ADIR007286, ADIR007285
OG0000090	LOC129787938, LOC129787928	ADIR015920, ADIR015918
OG0000091	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148	ADIR006521
OG0000093	LOC129786127	ADIR002132, ADIR015594, ADIR007529, ADIR003861, ADIR014323
OG0000096	LOC129794915	ADIR000343
OG0000096	LOC129794914	ADIR010758, ADIR009091, ADIR000344
OG0000097	LOC129797700, LOC129797734	ADIR010274, ADIR010273
OG0000108	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974	ADIR004058
OG0000109	LOC129796958	ADIR007689
OG0000109	LOC129787301	ADIR009055
OG0000114	LOC129791409	ADIR000642, ADIR000643
OG0000115	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063	ADIR007384, ADIR007383
OG0000116	LOC129790116, LOC129790115, LOC129790117	ADIR006147
OG0000116	LOC129791153	ADIR005173
OG0000117	LOC129796173, LOC129789407, LOC129796171, LOC129789263, LOC129788638	ADIR010829, ADIR006765
OG0000120	LOC129795901, LOC129797227	ADIR015976, ADIR015969, ADIR015967, ADIR004301
OG0000124	LOC129786906	ADIR007238, ADIR007236, ADIR007249, ADIR007237, ADIR007235
OG0000128	LOC129794451, LOC129794450	ADIR005627
OG0000128	LOC129794553, LOC129795542, LOC129795535	ADIR016172, ADIR016170
OG0000130	LOC129795831, LOC129797298	ADIR003050, ADIR011436, ADIR011726, ADIR011435
OG0000131	LOC129792347	ADIR011335
OG0000131	LOC129792345	ADIR011339
OG0000132	LOC129794613	ADIR009202, ADIR010804
OG0000133	LOC129795866, LOC129794696	ADIR000444, ADIR000139, ADIR000140
OG0000134	LOC129792867	ADIR003659, ADIR003660, ADIR003658
OG0000135	LOC129786134	ADIR011399, ADIR005919, ADIR000262, ADIR005920
OG0000136	LOC129797461, LOC129792712, LOC129794643, LOC129788901	ADIR000092, ADIR000087, ADIR006020
OG0000142	LOC129792316, LOC129793845	ADIR008287, ADIR008294
OG0000142	LOC129797567	ADIR003290
OG0000143	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158	ADIR004529
OG0000146	LOC129797766, LOC129797769, LOC129797768	ADIR015797, ADIR015798
OG0000147	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470	ADIR011038
OG0000148	LOC129790546	ADIR005101
OG0000150	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164	ADIR008060
OG0000151	LOC129787141, LOC129787139, LOC129787137, LOC129787138, LOC129787316, LOC129788322, LOC129794423, LOC129794422, LOC129787140, LOC129791519, LOC129796677, LOC129794556, LOC129795292, LOC129792484, LOC129792407, LOC129787123, LOC129794546, LOC129794547, LOC129787135, LOC129787132, LOC129787133	ADIR015810
OG0000152	LOC129794238	ADIR015582
OG0000152	LOC129787698	ADIR008753
OG0000154	LOC129791038	ADIR006364
OG0000157	LOC129793002	ADIR006810
OG0000160	LOC129797691, LOC129797713, LOC129786217	ADIR003566
OG0000161	LOC129794572	ADIR005168
OG0000161	LOC129790631	ADIR003591
OG0000162	LOC129792306	ADIR000480, ADIR000482
OG0000163	LOC129793077, LOC129787054, LOC129793078	ADIR015554, ADIR015557, ADIR015556
OG0000164	LOC129788007	ADIR004411
OG0000164	LOC129786795	ADIR004413
OG0000165	LOC129785838	ADIR001509, ADIR001510, ADIR009841, ADIR005706
OG0000166	LOC129793375, LOC129794220, LOC129793372	ADIR016085, ADIR008138, ADIR016086
OG0000171	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346	ADIR002126
OG0000172	LOC129796083	ADIR000138, ADIR000141, ADIR000131
OG0000173	LOC129796378, LOC129791724, LOC129796377, LOC129787463	ADIR011553, ADIR011554
OG0000174	LOC129785929	ADIR003663, ADIR000944, ADIR015737, ADIR015738
OG0000176	LOC129787791, LOC129788000	ADIR005586, ADIR005791, ADIR003904, ADIR006756
OG0000183	LOC129786975, LOC129786974	ADIR006377, ADIR005819
OG0000184	LOC129794345	ADIR006005, ADIR015591, ADIR015590
OG0000187	LOC129796892	ADIR002758
OG0000188	LOC129786978	ADIR009257, ADIR009256
OG0000189	LOC129787889	ADIR005379
OG0000189	LOC129787087	ADIR010508
OG0000190	LOC129790672	ADIR005000, ADIR011475
OG0000190	LOC129789849	ADIR011077, ADIR004999
OG0000192	LOC129789885	ADIR010909
OG0000192	LOC129791401	ADIR005792
OG0000192	LOC129789886	ADIR000914
OG0000193	LOC129791916, LOC129788591, LOC129786638	ADIR005330
OG0000194	LOC129795950	ADIR005946
OG0000196	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795	ADIR010880
OG0000200	LOC129796145	ADIR000096
OG0000200	LOC129786068	ADIR000097, ADIR000098, ADIR006692
OG0000201	LOC129792426, LOC129792425, LOC129792423	ADIR004196
OG0000202	LOC129795977	ADIR001167, ADIR003924
OG0000204	LOC129790266	ADIR015854, ADIR016103, ADIR015857, ADIR015855, ADIR015856
OG0000206	LOC129791164	ADIR000696
OG0000207	LOC129791699	ADIR016010, ADIR016011
OG0000208	LOC129796425	ADIR001797, ADIR001798
OG0000209	LOC129787514, LOC129785969	ADIR001972
OG0000217	LOC129790202	ADIR010726
OG0000217	LOC129790328	ADIR005194
OG0000218	LOC129795659	ADIR011222, ADIR011220, ADIR011219
OG0000220	LOC129787563	ADIR006414
OG0000222	LOC129788692	ADIR000671, ADIR004389, ADIR004052
OG0000223	LOC129786636	ADIR010046
OG0000224	LOC129786419	ADIR008980, ADIR008979
OG0000225	LOC129797834, LOC129797833	ADIR016029, ADIR016028, ADIR016027
OG0000229	LOC129787399, LOC129793458	ADIR002810, ADIR005804, ADIR005315
OG0000231	LOC129794015	ADIR007453, ADIR007454
OG0000232	LOC129791885	ADIR006899, ADIR016139, ADIR016138
OG0000233	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369	ADIR010041
OG0000234	LOC129793719, LOC129790671	ADIR000732, ADIR000742, ADIR000738
OG0000235	LOC129790399, LOC129790400	ADIR002045
OG0000236	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313	ADIR010024, ADIR000559
OG0000237	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873	ADIR015947, ADIR015946
OG0000244	LOC129788572	ADIR005063, ADIR005071, ADIR005072
OG0000245	LOC129788329, LOC129791448, LOC129788328	ADIR002600
OG0000248	LOC129790447	ADIR015997, ADIR015996
OG0000250	LOC129791946	ADIR015773
OG0000250	LOC129792061	ADIR015774, ADIR015775
OG0000254	LOC129794727, LOC129794738	ADIR005871, ADIR008307
OG0000265	LOC129794745	ADIR008235, ADIR008228, ADIR001201
OG0000266	LOC129788826	ADIR006770, ADIR000724, ADIR000723
OG0000268	LOC129790334, LOC129790344	ADIR005898, ADIR005897, ADIR005896
OG0000269	LOC129786292	ADIR016218
OG0000270	LOC129795988	ADIR001672, ADIR001921
OG0000272	LOC129792269	ADIR001841, ADIR001852, ADIR009159
OG0000273	LOC129794573, LOC129794527, LOC129794600	ADIR009959
OG0000274	LOC129788675, LOC129795658, LOC129788672, LOC129795638	ADIR009412
OG0000277	LOC129791521	ADIR002721, ADIR002720
OG0000278	LOC129786521, LOC129791056, LOC129791052	ADIR001634, ADIR001650, ADIR001649, ADIR001631
OG0000280	LOC129794053	ADIR004761, ADIR004760, ADIR004759
OG0000286	LOC129786965	ADIR005642
OG0000289	LOC129789651, LOC129789648, LOC129789646	ADIR016116, ADIR016115
OG0000290	LOC129794578	ADIR002288, ADIR002287
OG0000291	LOC129796116	ADIR007609
OG0000291	LOC129791815	ADIR015675
OG0000292	LOC129789397	ADIR009319, ADIR009317
OG0000293	LOC129794823, LOC129788774	ADIR000907, ADIR008608
OG0000294	LOC129789645	ADIR002675, ADIR002676, ADIR001029
OG0000294	LOC129789635	ADIR005219
OG0000296	LOC129789943	ADIR000603
OG0000297	LOC129791271, LOC129795319, LOC129790452, LOC129793248	ADIR015723, ADIR015724
OG0000299	LOC129797703	ADIR010341, ADIR002354
OG0000302	LOC129794019, LOC129794016	ADIR016215, ADIR008218
OG0000303	LOC129786927	ADIR005584, ADIR005583, ADIR004582
OG0000304	LOC129788607	ADIR010873
OG0000304	LOC129788353	ADIR010872
OG0000305	LOC129788936	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834
OG0000306	LOC129792581	ADIR010982, ADIR010985, ADIR010986, ADIR010984
OG0000319	LOC129792976, LOC129792973	ADIR004939, ADIR007826
OG0000324	LOC129791049	ADIR010906, ADIR010907
OG0000325	LOC129793668	ADIR006976
OG0000326	LOC129786690	ADIR005565, ADIR003427, ADIR003426
OG0000327	LOC129788407	ADIR004793
OG0000328	LOC129795928	ADIR001956, ADIR001957
OG0000329	LOC129790306	ADIR006061, ADIR003916, ADIR006062
OG0000330	LOC129790371	ADIR001248
OG0000331	LOC129786465	ADIR009969
OG0000332	LOC129787519	ADIR010199, ADIR010356, ADIR010198
OG0000333	LOC129792561	ADIR004150, ADIR004140, ADIR007959, ADIR003780
OG0000334	LOC129789420, LOC129789377, LOC129789388, LOC129789243, LOC129789387, LOC129789380, LOC129789362, LOC129789379, LOC129789244, LOC129789242, LOC129789359, LOC129789374	ADIR004979
OG0000336	LOC129790183, LOC129792929	ADIR004183, ADIR004182, ADIR004184
OG0000344	LOC129796894, LOC129796895, LOC129786968	ADIR008368, ADIR001581
OG0000345	LOC129786395	ADIR000883
OG0000349	LOC129793891	ADIR008567, ADIR008566
OG0000351	LOC129794682	ADIR000179, ADIR000178
OG0000352	LOC129786247	ADIR005371
OG0000352	LOC129786294	ADIR004606
OG0000353	LOC129794007	ADIR007451
OG0000354	LOC129787091	ADIR002946, ADIR010471
OG0000355	LOC129787439	ADIR006415
OG0000356	LOC129786611, LOC129786607, LOC129786612, LOC129786240	ADIR009183
OG0000357	LOC129797618	ADIR010484, ADIR010483, ADIR010481, ADIR010482
OG0000359	LOC129793872	ADIR008488
OG0000360	LOC129793800, LOC129796548	ADIR001997
OG0000363	LOC129797000	ADIR015546, ADIR015547
OG0000364	LOC129791717	ADIR016198, ADIR016196
OG0000365	LOC129787071	ADIR004665
OG0000367	LOC129794337, LOC129792101, LOC129795024	ADIR003716
OG0000368	LOC129790768, LOC129790769, LOC129796330, LOC129790703, LOC129790738, LOC129790737, LOC129790736	ADIR004446
OG0000369	LOC129790261	ADIR010892, ADIR010893, ADIR010887
OG0000370	LOC129794441, LOC129794442, LOC129794443	ADIR000577
OG0000370	LOC129786379	ADIR010058
OG0000371	LOC129794045	ADIR007433, ADIR007434, ADIR007436
OG0000372	LOC129790937	ADIR015735, ADIR015734
OG0000381	LOC129792906, LOC129792907, LOC129792591	ADIR016122, ADIR016121
OG0000382	LOC129786797, LOC129796311	ADIR011633
OG0000382	LOC129796310	ADIR011634
OG0000383	LOC129785995	ADIR009909
OG0000383	LOC129787610, LOC129794998	ADIR009553
OG0000386	LOC129794213	ADIR007470
OG0000387	LOC129792588	ADIR001678, ADIR006893
OG0000389	LOC129792672	ADIR003638
OG0000390	LOC129786718	ADIR009143
OG0000391	LOC129787235	ADIR006703
OG0000391	LOC129791955	ADIR000463
OG0000393	LOC129785949, LOC129785948, LOC129785957	ADIR008379, ADIR008380
OG0000394	LOC129791762	ADIR009815
OG0000395	LOC129788433	ADIR004795
OG0000395	LOC129796829, LOC129789717	ADIR000918
OG0000396	LOC129790169	ADIR006188, ADIR006187
OG0000397	LOC129790187	ADIR005187
OG0000397	LOC129790172	ADIR002696
OG0000399	LOC129794264	ADIR001694, ADIR007577
OG0000400	LOC129786701	ADIR003792, ADIR003582
OG0000401	LOC129797202	ADIR003313
OG0000401	LOC129786605	ADIR001782
OG0000403	LOC129788394	ADIR001185
OG0000403	LOC129793356	ADIR008736
OG0000404	LOC129795523	ADIR000386
OG0000407	LOC129791712	ADIR002282, ADIR009590
OG0000408	LOC129797650, LOC129797649	ADIR001544
OG0000409	LOC129787069	ADIR004706, ADIR004703, ADIR004705
OG0000410	LOC129786954, LOC129794457	ADIR002540
OG0000412	LOC129788847	ADIR002367, ADIR002366, ADIR002365
OG0000413	LOC129792318	ADIR015533, ADIR015532, ADIR015501
OG0000414	LOC129790511	ADIR014057, ADIR000659, ADIR000660, ADIR000661
OG0000416	LOC129792009	ADIR007938, ADIR007755
OG0000417	LOC129796020	ADIR010431
OG0000417	LOC129792608, LOC129787782	ADIR005728
OG0000424	LOC129785892	ADIR001410
OG0000430	LOC129790395	ADIR009309, ADIR003911
OG0000431	LOC129786890, LOC129786889, LOC129786888	ADIR003217
OG0000432	LOC129793235	ADIR009396, ADIR004972
OG0000433	LOC129787458	ADIR003006, ADIR003007
OG0000435	LOC129793979, LOC129788654	ADIR010798
OG0000437	LOC129796837, LOC129796843	ADIR005813
OG0000437	LOC129786972	ADIR005815
OG0000438	LOC129796877, LOC129796853	ADIR005817, ADIR005814
OG0000439	LOC129791046	ADIR010992
OG0000440	LOC129786063	ADIR003328, ADIR003327
OG0000441	LOC129789191	ADIR007412, ADIR000981
OG0000442	LOC129787812	ADIR004523, ADIR004522, ADIR004521
OG0000443	LOC129786466	ADIR005386, ADIR007351
OG0000445	LOC129795393	ADIR000225, ADIR000224
OG0000446	LOC129792631	ADIR007631, ADIR007632
OG0000447	LOC129791462	ADIR006355, ADIR016048
OG0000448	LOC129791218	ADIR007075
OG0000448	LOC129797162	ADIR002786
OG0000449	LOC129788782	ADIR001435
OG0000449	LOC129795663	ADIR011623
OG0000450	LOC129791284	ADIR006287
OG0000451	LOC129797430	ADIR001343, ADIR001344
OG0000453	LOC129796269	ADIR002048, ADIR009313, ADIR001478
OG0000454	LOC129791222, LOC129791223, LOC129789958, LOC129789953, LOC129789957, LOC129789984, LOC129789955, LOC129789970, LOC129786231, LOC129789956	ADIR006123
OG0000455	LOC129793202	ADIR003615
OG0000455	LOC129795185, LOC129794005	ADIR001796
OG0000456	LOC129789003	ADIR011403, ADIR008105
OG0000457	LOC129797501	ADIR010440
OG0000457	LOC129797497	ADIR010441
OG0000460	LOC129786399	ADIR010287, ADIR010285
OG0000461	LOC129788689, LOC129788691	ADIR001398
OG0000464	LOC129792136	ADIR006989, ADIR006988
OG0000465	LOC129794475, LOC129787824, LOC129787821, LOC129787819, LOC129787822, LOC129787823	ADIR009087, ADIR001140
OG0000466	LOC129788859	ADIR001786, ADIR000450
OG0000476	LOC129797587, LOC129797598	ADIR015518, ADIR015520
OG0000478	LOC129789679	ADIR009352
OG0000478	LOC129789267	ADIR009353
OG0000479	LOC129786132, LOC129786130	ADIR003422, ADIR003423
OG0000480	LOC129795298	ADIR000106, ADIR000107
OG0000481	LOC129793585	ADIR004329
OG0000482	LOC129789436	ADIR015529, ADIR015530
OG0000484	LOC129797633	ADIR009697, ADIR000755
OG0000485	LOC129795192	ADIR011226
OG0000486	LOC129796376	ADIR004130, ADIR010048
OG0000487	LOC129796445	ADIR011456, ADIR002382
OG0000489	LOC129789596	ADIR011660, ADIR011661
OG0000490	LOC129797526, LOC129793927	ADIR002278
OG0000491	LOC129786095	ADIR010196
OG0000492	LOC129790192	ADIR001274, ADIR015512
OG0000494	LOC129795759	ADIR001926
OG0000494	LOC129795756	ADIR006809
OG0000495	LOC129789139	ADIR008544
OG0000496	LOC129786268	ADIR016174
OG0000497	LOC129787431	ADIR010268, ADIR011592
OG0000498	LOC129786578, LOC129786574, LOC129786579	ADIR001903
OG0000499	LOC129790607	ADIR003605
OG0000500	LOC129788005	ADIR001164, ADIR007528
OG0000502	LOC129785827	ADIR015872, ADIR011596
OG0000504	LOC129793723	ADIR010398, ADIR005554
OG0000506	LOC129792624	ADIR000144
OG0000507	LOC129791979	ADIR011452, ADIR006617
OG0000509	LOC129792415	ADIR007446, ADIR007447, ADIR007448
OG0000510	LOC129791881	ADIR000926, ADIR002571
OG0000511	LOC129797841	ADIR008094, ADIR016142
OG0000512	LOC129789515	ADIR002377
OG0000512	LOC129789516	ADIR002378
OG0000514	LOC129785846	ADIR008504, ADIR004788
OG0000515	LOC129790939	ADIR015942, ADIR015940
OG0000516	LOC129791524, LOC129797636	ADIR002633
OG0000517	LOC129795838, LOC129787799, LOC129787785, LOC129789028, LOC129790802	ADIR005492, ADIR005493
OG0000518	LOC129793591	ADIR007074, ADIR007072
OG0000520	LOC129788574	ADIR006171
OG0000521	LOC129792109	ADIR007269
OG0000521	LOC129792300	ADIR010663
OG0000522	LOC129788714	ADIR003989, ADIR003992
OG0000523	LOC129797678	ADIR005431
OG0000523	LOC129795335	ADIR004398
OG0000524	LOC129792438	ADIR007502, ADIR007504
OG0000526	LOC129796859, LOC129794163	ADIR001209, ADIR004082
OG0000527	LOC129787200	ADIR005535, ADIR005536
OG0000528	LOC129793220	ADIR007580, ADIR007576
OG0000535	LOC129788946, LOC129788947	ADIR005911
OG0000536	LOC129786855	ADIR008027, ADIR002347
OG0000538	LOC129785868	ADIR003261
OG0000540	LOC129795815, LOC129795822	ADIR002371
OG0000542	LOC129787142	ADIR002521
OG0000542	LOC129787129	ADIR002522
OG0000543	LOC129790875, LOC129790828	ADIR001792
OG0000544	LOC129793436	ADIR006076
OG0000544	LOC129793456	ADIR008375
OG0000546	LOC129791189	ADIR000983
OG0000547	LOC129789445	ADIR009748, ADIR008851
OG0000549	LOC129796163, LOC129787746	ADIR007473, ADIR011705, ADIR011704
OG0000550	LOC129793857	ADIR004260
OG0000551	LOC129787904, LOC129787888	ADIR005366
OG0000552	LOC129793549	ADIR005528, ADIR005530, ADIR005529
OG0000553	LOC129792363	ADIR008143
OG0000555	LOC129786450	ADIR005419
OG0000557	LOC129791307	ADIR002816, ADIR001118
OG0000558	LOC129793107	ADIR010572, ADIR001028
OG0000559	LOC129787647	ADIR010538, ADIR010539
OG0000560	LOC129791771, LOC129796515	ADIR004634
OG0000561	LOC129792671	ADIR003887
OG0000562	LOC129796001	ADIR008626
OG0000562	LOC129793753, LOC129796544	ADIR008625
OG0000563	LOC129787428	ADIR015945, ADIR015943
OG0000564	LOC129790481, LOC129790484	ADIR011483
OG0000565	LOC129788762	ADIR004400, ADIR009049
OG0000566	LOC129795066	ADIR000074, ADIR000076
OG0000567	LOC129794069	ADIR004302
OG0000567	LOC129794176	ADIR007725
OG0000568	LOC129793949	ADIR004213
OG0000569	LOC129797441, LOC129797546	ADIR010351
OG0000572	LOC129793426	ADIR009206, ADIR009208
OG0000573	LOC129790886	ADIR002372
OG0000574	LOC129790054	ADIR004769, ADIR004770
OG0000579	LOC129793001	ADIR007934, ADIR004490
OG0000581	LOC129792112	ADIR001607, ADIR001609
OG0000582	LOC129791278	ADIR015869
OG0000582	LOC129790571	ADIR015868
OG0000584	LOC129795290	ADIR000206, ADIR000205, ADIR000208
OG0000586	LOC129786887, LOC129790177	ADIR003218
OG0000588	LOC129797624	ADIR010647
OG0000606	LOC129795943, LOC129795511	ADIR010706
OG0000607	LOC129796412	ADIR000209
OG0000608	LOC129790262	ADIR006043, ADIR006044
OG0000609	LOC129789280, LOC129790035, LOC129789951, LOC129791241, LOC129788166, LOC129795243, LOC129794971, LOC129794411	ADIR006271
OG0000610	LOC129793437	ADIR007166, ADIR007165
OG0000611	LOC129794969, LOC129792305	ADIR007100
OG0000612	LOC129793245, LOC129791742	ADIR006139
OG0000613	LOC129797020	ADIR014298, ADIR003502
OG0000614	LOC129794514, LOC129787902	ADIR003599
OG0000615	LOC129793095	ADIR007513
OG0000616	LOC129787986	ADIR016185, ADIR016184
OG0000618	LOC129786155	ADIR004564, ADIR001182
OG0000619	LOC129790543	ADIR003359
OG0000621	LOC129789158	ADIR009431, ADIR001339
OG0000622	LOC129791514, LOC129795662, LOC129794311, LOC129795246	ADIR005772
OG0000623	LOC129795989	ADIR001819, ADIR001948
OG0000624	LOC129787186	ADIR006550
OG0000625	LOC129797405	ADIR015792, ADIR015794
OG0000626	LOC129787438	ADIR002370
