Orthogroup	LlongipalpisASM	AgambiaePEST
OG0000115	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063	AGAP006594, AGAP006595
OG0000116	LOC129790116, LOC129790115, LOC129790117	AGAP008437, AGAP028128, AGAP027980
OG0000116	LOC129791153	AGAP009835
OG0000117	LOC129796173, LOC129789407, LOC129796171, LOC129789263, LOC129788638	AGAP029801
OG0000120	LOC129795901, LOC129797227	AGAP001249, AGAP001245, AGAP006869
OG0000124	LOC129786906	AGAP007461, AGAP007446, AGAP007443, AGAP007463, AGAP007464, AGAP007462, AGAP007465, AGAP029854, AGAP007466, AGAP007470, AGAP007467, AGAP007469, AGAP007468, AGAP007471
OG0000128	LOC129794451, LOC129794450	AGAP028426, AGAP010917
OG0000128	LOC129794553, LOC129795542, LOC129795535	AGAP011366, AGAP011365
OG0000129	LOC129797028	AGAP012996, AGAP001552, AGAP013124, AGAP013450, AGAP013239
OG0000130	LOC129795831, LOC129797298	AGAP001899, AGAP008468, AGAP028049
OG0000131	LOC129792347	AGAP009877
OG0000131	LOC129797128	AGAP009876, AGAP009875
OG0000131	LOC129792345	AGAP009871
OG0000132	LOC129794613	AGAP013132, AGAP004807, AGAP012529, AGAP004806, AGAP011287
OG0000133	LOC129795866, LOC129794696	AGAP012279, AGAP011611, AGAP011610
OG0000134	LOC129792867	AGAP006724, AGAP006725, AGAP006726, AGAP006728, AGAP006727
OG0000135	LOC129786134	AGAP029161, AGAP009328, AGAP008968, AGAP029163, AGAP029157, AGAP007907, AGAP011482, AGAP007906, AGAP009527
OG0000136	LOC129797461, LOC129792712, LOC129794643, LOC129788901	AGAP011204, AGAP009509
OG0000142	LOC129792316, LOC129793845	AGAP003422, AGAP003423, AGAP003432
OG0000142	LOC129797567	AGAP003078
OG0000143	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158	AGAP012957, AGAP002418, AGAP013241, AGAP002419
OG0000144	LOC129787998	AGAP006157
OG0000146	LOC129797766, LOC129797769, LOC129797768	AGAP001956, AGAP013106
OG0000147	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470	AGAP008019, AGAP008020, AGAP012800, AGAP008022, AGAP008018
OG0000148	LOC129796639	AGAP009751
OG0000148	LOC129790546	AGAP009757
OG0000150	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164	AGAP007104
OG0000151	LOC129787141, LOC129787139, LOC129787137, LOC129787138, LOC129787316, LOC129788322, LOC129794423, LOC129794422, LOC129787140, LOC129791519, LOC129796677, LOC129794556, LOC129795292, LOC129792484, LOC129792407, LOC129787123, LOC129794546, LOC129794547, LOC129787135, LOC129787132, LOC129787133	AGAP003785, AGAP012609
OG0000152	LOC129794238	AGAP006398
OG0000152	LOC129787698	AGAP006103
OG0000154	LOC129791038	AGAP002894, AGAP008218, AGAP008217, AGAP008219
OG0000157	LOC129793002	AGAP028217, AGAP007154
OG0000160	LOC129797691, LOC129797713, LOC129786217	AGAP029361, AGAP006815
OG0000161	LOC129794572	AGAP009830
OG0000161	LOC129790631	AGAP006796, AGAP006795
OG0000162	LOC129792306	AGAP012318, AGAP012325, AGAP012321, AGAP012320
OG0000163	LOC129793077, LOC129787054, LOC129793078	AGAP009436, AGAP009434, AGAP009435
OG0000164	LOC129788007	AGAP004571
OG0000164	LOC129786795	AGAP004567, AGAP004566, AGAP004570
OG0000165	LOC129785838	AGAP000194, AGAP000192, AGAP000193, AGAP010414
OG0000166	LOC129793375, LOC129794220, LOC129793372	AGAP006048, AGAP006049, AGAP006047
OG0000171	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346	AGAP011348, AGAP011347
OG0000172	LOC129796083	AGAP011613, AGAP011609, AGAP011618
OG0000173	LOC129796378, LOC129791724, LOC129796377, LOC129787463	AGAP029928, AGAP029927, AGAP010764
OG0000174	LOC129785929	AGAP006722, AGAP000694, AGAP000693
OG0000176	LOC129787791, LOC129788000	AGAP028564
OG0000183	LOC129786975, LOC129786974	AGAP002979, AGAP002423, AGAP002973
OG0000184	LOC129794345	AGAP009519, AGAP009520
OG0000187	LOC129796892	AGAP002905
OG0000188	LOC129786978	AGAP004855
OG0000189	LOC129787889	AGAP003711
OG0000189	LOC129787087	AGAP001588, AGAP012818, AGAP001587
OG0000190	LOC129790672	AGAP029641
OG0000190	LOC129789849	AGAP008320, AGAP009683
OG0000192	LOC129789885	AGAP008588
OG0000192	LOC129791401	AGAP002152
OG0000192	LOC129789886	AGAP000962
OG0000193	LOC129791916, LOC129788591, LOC129786638	AGAP002022
OG0000194	LOC129795950	AGAP009540, AGAP009541, AGAP012649, AGAP012263
OG0000196	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795	AGAP008557
OG0000200	LOC129796145	AGAP011195
OG0000200	LOC129786068	AGAP011194, AGAP002325
OG0000201	LOC129792426, LOC129792425, LOC129792423	AGAP006207, AGAP006208, AGAP006209
OG0000202	LOC129795977	AGAP000414, AGAP000288, AGAP000289
OG0000204	LOC129790266	AGAP006911, AGAP006910, AGAP006909
OG0000206	LOC129791163	AGAP008630, AGAP028029
OG0000206	LOC129791164	AGAP008627
OG0000207	LOC129791699	AGAP001002, AGAP010637, AGAP000999, AGAP029166, AGAP013027, AGAP010669, AGAP010636, AGAP010634, AGAP001004
OG0000208	LOC129796425	AGAP011182, AGAP011183, AGAP011184
OG0000209	LOC129787514, LOC129785969	AGAP011893
OG0000217	LOC129790202	AGAP012963
OG0000217	LOC129790328	AGAP000310
OG0000217	LOC129793020	AGAP003365
OG0000218	LOC129795659	AGAP008054, AGAP008052, AGAP008051
OG0000220	LOC129787563	AGAP013166, AGAP013260, AGAP013120, AGAP002457
OG0000222	LOC129788692	AGAP028196, AGAP008915, AGAP010241
OG0000223	LOC129786636	AGAP001185, AGAP013403, AGAP001965, AGAP001966, AGAP013429
OG0000224	LOC129786419	AGAP013366, AGAP012995, AGAP029279, AGAP013463
OG0000225	LOC129797834, LOC129797833	AGAP003067, AGAP003066, AGAP003065
OG0000229	LOC129787399, LOC129793458	AGAP003236, AGAP002137, AGAP002008
OG0000231	LOC129794015	AGAP006013, AGAP006012
OG0000232	LOC129791885	AGAP005657, AGAP012667, AGAP005660, AGAP005656
OG0000233	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369	AGAP001190, AGAP001199
OG0000234	LOC129793719, LOC129790671	AGAP007802, AGAP007808, AGAP007803
OG0000235	LOC129790399, LOC129790400	AGAP013372, AGAP000706, AGAP013152, AGAP012911, AGAP012124
OG0000236	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313	AGAP001202, AGAP012383
OG0000237	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873	AGAP003501, AGAP003500
OG0000244	LOC129788572	AGAP009715, AGAP009722, AGAP009717, AGAP028644, AGAP009716, AGAP009723, AGAP009711, AGAP029589
OG0000245	LOC129788329, LOC129791448, LOC129788328	AGAP002360, AGAP002359, AGAP013402
OG0000248	LOC129790447	AGAP008404, AGAP028212, AGAP028060
OG0000250	LOC129791946	AGAP002055
OG0000250	LOC129792061	AGAP002058, AGAP002056
OG0000254	LOC129794727, LOC129794738	AGAP004634, AGAP013293
OG0000265	LOC129794745	AGAP007255, AGAP007266, AGAP000253
OG0000266	LOC129788826	AGAP008867, AGAP007794, AGAP007793
OG0000267	LOC129792282, LOC129787468, LOC129787465, LOC129787466, LOC129787467, LOC129792219, LOC129787464	AGAP004164, AGAP004378
OG0000268	LOC129790334, LOC129790344	AGAP029235, AGAP007932, AGAP007933
OG0000269	LOC129786292	AGAP001722
OG0000270	LOC129795988	AGAP004920, AGAP012945, AGAP011951, AGAP011952
OG0000271	LOC129789622	AGAP008769, AGAP028056, AGAP028014, AGAP028164
OG0000272	LOC129792269	AGAP011698, AGAP011696, AGAP004760
OG0000273	LOC129794573, LOC129794527, LOC129794600	AGAP001281, AGAP001283, AGAP001284
OG0000274	LOC129788675, LOC129795658, LOC129788672, LOC129795638	AGAP010002, AGAP009985, AGAP000094
OG0000277	LOC129791521	AGAP001811, AGAP001812
OG0000278	LOC129786521, LOC129791056, LOC129791052	AGAP004971, AGAP004951, AGAP004974
OG0000280	LOC129794053	AGAP009918, AGAP009917, AGAP029826, AGAP029827
OG0000286	LOC129786965	AGAP010505, AGAP010504
OG0000289	LOC129789651, LOC129789648, LOC129789646	AGAP028096, AGAP011302
OG0000290	LOC129794578	AGAP011048, AGAP011047, AGAP011046
OG0000291	LOC129796116	AGAP006510
OG0000291	LOC129791815	AGAP006271, AGAP006270
OG0000292	LOC129789397	AGAP010057, AGAP029713, AGAP029711, AGAP029712
OG0000293	LOC129794823, LOC129788774	AGAP001006, AGAP006991
OG0000294	LOC129789645	AGAP002506
OG0000294	LOC129789635	AGAP012451
OG0000296	LOC129789943	AGAP008278, AGAP008279
OG0000297	LOC129791271, LOC129795319, LOC129790452, LOC129793248	AGAP000163, AGAP000165
OG0000299	LOC129797703	AGAP002521, AGAP011852
OG0000302	LOC129794019, LOC129794016	AGAP007286, AGAP007287
OG0000303	LOC129786927	AGAP002273, AGAP002272, AGAP002274
OG0000304	LOC129788607	AGAP008548, AGAP028011
OG0000304	LOC129788353	AGAP008547
OG0000305	LOC129788936	AGAP008813
OG0000306	LOC129792581	AGAP007964, AGAP007965, AGAP013745
OG0000311	LOC129797680, LOC129791123, LOC129797827, LOC129791363, LOC129795702	AGAP028531
OG0000319	LOC129792976, LOC129792973	AGAP008734, AGAP005794
OG0000324	LOC129791049	AGAP008582, AGAP028204, AGAP008584
OG0000325	LOC129793668	AGAP007534, AGAP013228
OG0000326	LOC129786690	AGAP003658, AGAP001773, AGAP001774, AGAP012781
OG0000327	LOC129788407	AGAP009949
OG0000328	LOC129795928	AGAP011914, AGAP011913, AGAP011912
OG0000329	LOC129790306	AGAP029555, AGAP009460
OG0000330	LOC129790371	AGAP000989, AGAP000988, AGAP000987
OG0000331	LOC129786465	AGAP001264, AGAP013078, AGAP013443
OG0000332	LOC129787519	AGAP013321, AGAP001742, AGAP002650
OG0000333	LOC129792561	AGAP007203
OG0000334	LOC129789420, LOC129789377, LOC129789388, LOC129789243, LOC129789387, LOC129789380, LOC129789362, LOC129789379, LOC129789244, LOC129789242, LOC129789359, LOC129789374	AGAP009010
OG0000336	LOC129790183, LOC129792929	AGAP006216, AGAP029478, AGAP006215
OG0000344	LOC129796894, LOC129796895, LOC129786968	AGAP005208
OG0000345	LOC129786395	AGAP010046, AGAP029395, AGAP010047
OG0000349	LOC129793891	AGAP005911, AGAP005912, AGAP005913
OG0000350	LOC129793586	AGAP005613
OG0000351	LOC129794682	AGAP011560, AGAP029490, AGAP011561
OG0000352	LOC129786247	AGAP003702
OG0000352	LOC129786294	AGAP003703
OG0000353	LOC129794007	AGAP006016, AGAP006015
OG0000354	LOC129787091	AGAP004115, AGAP004116, AGAP001628, AGAP013268
OG0000355	LOC129787439	AGAP010402, AGAP013018, AGAP002458
OG0000356	LOC129786611, LOC129786607, LOC129786612, LOC129786240	AGAP004785, AGAP013350, AGAP004200
OG0000357	LOC129797618	AGAP001618, AGAP001619
OG0000359	LOC129793872	AGAP004203, AGAP013109, AGAP013503
OG0000360	LOC129793800	AGAP011974
OG0000360	LOC129796548	AGAP011975
OG0000363	LOC129797000	AGAP007055, AGAP007054
OG0000364	LOC129791717	AGAP007140, AGAP007139
OG0000365	LOC129787071	AGAP008684, AGAP008686, AGAP008685
OG0000367	LOC129794337, LOC129792101, LOC129795024	AGAP005371, AGAP005370, AGAP005373, AGAP005372
OG0000368	LOC129790768, LOC129790769, LOC129796330, LOC129790703, LOC129790738, LOC129790737, LOC129790736	AGAP004528
OG0000369	LOC129790261	AGAP008569, AGAP008563
OG0000370	LOC129794441, LOC129794442, LOC129794443	AGAP009256
OG0000370	LOC129786379	AGAP001169
OG0000371	LOC129794045	AGAP006382, AGAP006381, AGAP006378
OG0000372	LOC129790937	AGAP029891, AGAP000696
OG0000381	LOC129792906, LOC129792907, LOC129792591	AGAP029758, AGAP029757
OG0000382	LOC129786797, LOC129796311	AGAP010399
OG0000382	LOC129796310	AGAP010398
OG0000383	LOC129785995	AGAP002748
OG0000383	LOC129787610, LOC129794998	AGAP012252
OG0000386	LOC129794213	AGAP005985, AGAP005986, AGAP005984
OG0000387	LOC129792588	AGAP004912, AGAP005652
OG0000389	LOC129792672	AGAP006745
OG0000390	LOC129786718	AGAP004740
OG0000391	LOC129787235	AGAP002331
OG0000391	LOC129791955	AGAP012302
OG0000393	LOC129785949, LOC129785948, LOC129785957	AGAP001777, AGAP012467, AGAP001775
OG0000394	LOC129791762	AGAP005237, AGAP005238
OG0000395	LOC129788433	AGAP029448
OG0000395	LOC129796829, LOC129789717	AGAP000965
OG0000396	LOC129790169	AGAP009100, AGAP009098
OG0000397	LOC129790187	AGAP029500
OG0000397	LOC129790172	AGAP029451
OG0000399	LOC129794264	AGAP004900, AGAP006539
OG0000400	LOC129786701	AGAP005113, AGAP006806
OG0000401	LOC129797202	AGAP003114
OG0000401	LOC129786605	AGAP011166
OG0000403	LOC129788394	AGAP000653
OG0000403	LOC129793356	AGAP005557
OG0000404	LOC129795523	AGAP028613, AGAP010562
OG0000407	LOC129791712	AGAP012111, AGAP011402
OG0000408	LOC129797650, LOC129797649	AGAP005166, AGAP005167
OG0000409	LOC129787069	AGAP029901, AGAP008720, AGAP008721
OG0000410	LOC129786954, LOC129794457	AGAP013194, AGAP013142
OG0000411	LOC129786847, LOC129786629	AGAP001508, AGAP001509, AGAP001510
OG0000412	LOC129788847	AGAP001022
OG0000413	LOC129792318	AGAP006717, AGAP006716
OG0000414	LOC129790511	AGAP000689, AGAP028186, AGAP008923, AGAP008922
OG0000416	LOC129792009	AGAP007156, AGAP005787
OG0000417	LOC129796020	AGAP001672
OG0000417	LOC129792608, LOC129787782	AGAP010435
OG0000424	LOC129785892	AGAP000437, AGAP013319, AGAP013175, AGAP013080, AGAP013421, AGAP013308
OG0000429	LOC129797527	AGAP001971, AGAP001970, AGAP001969, AGAP002599
OG0000430	LOC129790395	AGAP029419, AGAP010066, AGAP012621, AGAP012622
OG0000431	LOC129786890, LOC129786889, LOC129786888	AGAP004006, AGAP004007, AGAP004004
OG0000432	LOC129793235	AGAP012644, AGAP010004, AGAP009017
OG0000433	LOC129787458	AGAP002460, AGAP013297
OG0000435	LOC129793979, LOC129788654	AGAP011294
OG0000437	LOC129796837, LOC129796843	AGAP002977
OG0000437	LOC129786972	AGAP002975
OG0000438	LOC129796877, LOC129796853	AGAP013216, AGAP002976
OG0000439	LOC129791046	AGAP012585, AGAP007972
OG0000439	LOC129791051	AGAP007974
OG0000440	LOC129786063	AGAP003121, AGAP003120, AGAP012726
OG0000441	LOC129789191	AGAP006406, AGAP013127
OG0000442	LOC129787812	AGAP010970, AGAP010969
OG0000443	LOC129786466	AGAP003718, AGAP006629
OG0000445	LOC129788571	AGAP029627
OG0000445	LOC129795393	AGAP011449
OG0000446	LOC129792631	AGAP006487, AGAP006485
OG0000447	LOC129791462	AGAP008201, AGAP029240
OG0000448	LOC129791218	AGAP007675
OG0000448	LOC129797162	AGAP003271
OG0000449	LOC129788782	AGAP000731
OG0000449	LOC129795663	AGAP010391
OG0000450	LOC129791284	AGAP009201
OG0000450	LOC129791285	AGAP009200
OG0000451	LOC129797430	AGAP000847, AGAP013457
OG0000453	LOC129796269	AGAP011247, AGAP012669, AGAP010063
