Orthogroup	LlongipalpisASM	CquinquefasciatusJHB2020
OG0000008	LOC129796114, LOC129787731, LOC129786793	CQUJHB014582, CQUJHB016283
OG0000008	LOC129793796, LOC129787724, LOC129794424, LOC129787725, LOC129787720, LOC129787718, LOC129787721, LOC129793743, LOC129787723, LOC129787726, LOC129793838, LOC129787719, LOC129787727	CQUJHB001648, CQUJHB013802, CQUJHB008227, CQUJHB003756, CQUJHB016715, CQUJHB013409, CQUJHB006374, CQUJHB009915, CQUJHB018038, CQUJHB017383, CQUJHB016685, CQUJHB005146, CQUJHB012207, CQUJHB014535, CQUJHB007135, CQUJHB011337
OG0000009	LOC129785918, LOC129789488, LOC129789151, LOC129785917, LOC129785916, LOC129789487, LOC129789489, LOC129789150, LOC129788899	CQUJHB014156, CQUJHB017603, CQUJHB014894, CQUJHB006007, CQUJHB008990, CQUJHB014655, CQUJHB005147, CQUJHB003321, CQUJHB004474, CQUJHB008024, CQUJHB014886, CQUJHB007184, CQUJHB014612, CQUJHB017211, CQUJHB010981, CQUJHB011165
OG0000010	LOC129793217, LOC129791616	CQUJHB010392, CQUJHB008428, CQUJHB007624, CQUJHB011697, CQUJHB006213, CQUJHB006137, CQUJHB011519, CQUJHB010358, CQUJHB016051, CQUJHB010374, CQUJHB000883, CQUJHB007232, CQUJHB017919, CQUJHB015579
OG0000011	LOC129797415	CQUJHB010034, CQUJHB012166, CQUJHB005466, CQUJHB017782, CQUJHB009406, CQUJHB008703, CQUJHB007209, CQUJHB003154, CQUJHB016900, CQUJHB006977, CQUJHB006084, CQUJHB014128, CQUJHB014298, CQUJHB009992, CQUJHB003864, CQUJHB007951, CQUJHB009382, CQUJHB002707
OG0000012	LOC129796964	CQUJHB005776, CQUJHB000447
OG0000012	LOC129789481	CQUJHB003479
OG0000012	LOC129788898	CQUJHB015331, CQUJHB006695, CQUJHB006332, CQUJHB001229, CQUJHB004173
OG0000013	LOC129797413	CQUJHB005557, CQUJHB003968
OG0000013	LOC129797312	CQUJHB001230, CQUJHB017291, CQUJHB016730, CQUJHB002448, CQUJHB016895
OG0000014	LOC129792111	CQUJHB010535, CQUJHB010268, CQUJHB016652, CQUJHB005213, CQUJHB010035, CQUJHB004375, CQUJHB007396, CQUJHB004496, CQUJHB013428, CQUJHB011375, CQUJHB017103, CQUJHB002299, CQUJHB002262, CQUJHB000349, CQUJHB009868, CQUJHB010683, CQUJHB003432, CQUJHB007349, CQUJHB000429, CQUJHB012022, CQUJHB011118, CQUJHB018125, CQUJHB005028
OG0000015	LOC129788366, LOC129788367, LOC129788777, LOC129788775, LOC129788781, LOC129788778, LOC129788779, LOC129797049, LOC129793013, LOC129795681, LOC129789753, LOC129789752, LOC129797050, LOC129797052, LOC129797053, LOC129797054, LOC129797059, LOC129797058, LOC129797057, LOC129797056, LOC129797048	CQUJHB008332, CQUJHB014108, CQUJHB006827, CQUJHB017458, CQUJHB004989, CQUJHB013505, CQUJHB001525, CQUJHB015763, CQUJHB012741
OG0000016	LOC129794929	CQUJHB006645
OG0000016	LOC129788356	CQUJHB016247
OG0000016	LOC129793987, LOC129790084, LOC129787750, LOC129797705, LOC129797701	CQUJHB002864, CQUJHB014022, CQUJHB013033, CQUJHB008355, CQUJHB010597, CQUJHB015483, CQUJHB013841, CQUJHB014607, CQUJHB001605, CQUJHB016745, CQUJHB011147, CQUJHB016507, CQUJHB001667, CQUJHB007454, CQUJHB003219, CQUJHB007767, CQUJHB016639
OG0000017	LOC129788896	CQUJHB001516
OG0000017	LOC129789495	CQUJHB006644
OG0000018	LOC129786868	CQUJHB002387, CQUJHB001966, CQUJHB005508
OG0000021	LOC129797244	CQUJHB005197, CQUJHB014638
OG0000021	LOC129788422	CQUJHB010956
OG0000021	LOC129795630, LOC129795629	CQUJHB010858, CQUJHB012948, CQUJHB015628
OG0000022	LOC129792077	CQUJHB013191, CQUJHB015725, CQUJHB017245, CQUJHB003806, CQUJHB013101, CQUJHB004318, CQUJHB008392, CQUJHB003227, CQUJHB002133, CQUJHB015664, CQUJHB010128, CQUJHB005252, CQUJHB004885, CQUJHB003399, CQUJHB015966, CQUJHB017117, CQUJHB003827, CQUJHB018042, CQUJHB009998, CQUJHB007412, CQUJHB016624, CQUJHB004757, CQUJHB001711, CQUJHB013417, CQUJHB016403
OG0000023	LOC129786633	CQUJHB002404, CQUJHB000253, CQUJHB005111, CQUJHB002050, CQUJHB007212, CQUJHB015434, CQUJHB012060
OG0000024	LOC129791793, LOC129792085, LOC129792882, LOC129794330, LOC129792888, LOC129792886, LOC129792324, LOC129794524, LOC129791470, LOC129795452, LOC129794434, LOC129795453	CQUJHB005662, CQUJHB001106, CQUJHB003177, CQUJHB015002, CQUJHB015651, CQUJHB010229, CQUJHB003602, CQUJHB002318, CQUJHB007527, CQUJHB006873
OG0000026	LOC129792737, LOC129792738	CQUJHB017272, CQUJHB016420, CQUJHB011732, CQUJHB012165, CQUJHB005106
OG0000026	LOC129794486, LOC129789610	CQUJHB007540
OG0000027	LOC129787685, LOC129788076, LOC129787459, LOC129796690, LOC129787460, LOC129787462	CQUJHB010117, CQUJHB008521, CQUJHB007524, CQUJHB011421, CQUJHB004925, CQUJHB013189, CQUJHB015720, CQUJHB004094, CQUJHB008109, CQUJHB008680, CQUJHB008247, CQUJHB011016, CQUJHB011122, CQUJHB017358, CQUJHB008899, CQUJHB012953, CQUJHB006211, CQUJHB003906, CQUJHB001161, CQUJHB015070, CQUJHB003476, CQUJHB011300, CQUJHB003752
OG0000028	LOC129791254, LOC129794054	CQUJHB011351
OG0000028	LOC129788162, LOC129791752	CQUJHB009718
OG0000030	LOC129790527	CQUJHB013699, CQUJHB008107, CQUJHB010736, CQUJHB010439
OG0000033	LOC129794355, LOC129787784	CQUJHB013700, CQUJHB013801, CQUJHB018326, CQUJHB007315, CQUJHB010724, CQUJHB008449, CQUJHB010986, CQUJHB008186
OG0000034	LOC129791586	CQUJHB005864, CQUJHB004301, CQUJHB005355, CQUJHB004278, CQUJHB012032, CQUJHB000281, CQUJHB008686, CQUJHB000157, CQUJHB008330, CQUJHB011235, CQUJHB002589, CQUJHB007798
OG0000036	LOC129795821	CQUJHB006570, CQUJHB002356, CQUJHB003250, CQUJHB000400, CQUJHB013911, CQUJHB009726, CQUJHB016445, CQUJHB018317, CQUJHB002454, CQUJHB010159, CQUJHB001838, CQUJHB007266, CQUJHB006888, CQUJHB016133
OG0000037	LOC129794681, LOC129790942	CQUJHB011063
OG0000038	LOC129790825, LOC129795201	CQUJHB008739, CQUJHB003467, CQUJHB015468
OG0000041	LOC129796428, LOC129796429, LOC129796432, LOC129795648, LOC129796430, LOC129796431	CQUJHB013017, CQUJHB009859, CQUJHB001955, CQUJHB001825, CQUJHB000581, CQUJHB013621, CQUJHB007017, CQUJHB000078, CQUJHB001849, CQUJHB006430
OG0000046	LOC129797654	CQUJHB009609, CQUJHB013902, CQUJHB009800, CQUJHB002638, CQUJHB011131, CQUJHB013987, CQUJHB015814, CQUJHB004165, CQUJHB003107, CQUJHB004964, CQUJHB005669, CQUJHB017284
OG0000049	LOC129794518	CQUJHB015876, CQUJHB015556, CQUJHB013788, CQUJHB015769
OG0000051	LOC129786156	CQUJHB008348, CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075, CQUJHB010616
OG0000052	LOC129794482	CQUJHB005091
OG0000052	LOC129790600, LOC129794525, LOC129792980, LOC129794483, LOC129786796, LOC129795916, LOC129795917, LOC129795920, LOC129795921, LOC129795919, LOC129792330, LOC129792977, LOC129795918, LOC129796369, LOC129795146, LOC129795143, LOC129795145, LOC129795365, LOC129795124, LOC129795125, LOC129795126, LOC129795144, LOC129794484, LOC129796215, LOC129796367, LOC129794515	CQUJHB017932, CQUJHB006568, CQUJHB007297, CQUJHB011415
OG0000054	LOC129787390, LOC129791396, LOC129786884, LOC129789254, LOC129795833, LOC129796022, LOC129789287, LOC129794539, LOC129786352, LOC129788362, LOC129786894, LOC129789562, LOC129790105, LOC129789246	CQUJHB007113, CQUJHB007111, CQUJHB013638, CQUJHB012638, CQUJHB005916, CQUJHB003336, CQUJHB010566, CQUJHB003942, CQUJHB002818, CQUJHB018249, CQUJHB014503, CQUJHB007398, CQUJHB006473, CQUJHB015115
OG0000055	LOC129797106	CQUJHB018229
OG0000055	LOC129792602	CQUJHB017720
OG0000055	LOC129791974	CQUJHB010409
OG0000055	LOC129793457, LOC129787314	CQUJHB002352
OG0000058	LOC129790208, LOC129796355, LOC129795518, LOC129789259, LOC129786833, LOC129786898, LOC129787589	CQUJHB000757, CQUJHB006852, CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265
OG0000058	LOC129790199	CQUJHB016789, CQUJHB013221, CQUJHB005830
OG0000059	LOC129794147	CQUJHB005700, CQUJHB006696, CQUJHB011753
OG0000061	LOC129795031	CQUJHB009715, CQUJHB015055
OG0000061	LOC129795029, LOC129795028	CQUJHB017379
OG0000061	LOC129795034	CQUJHB010086, CQUJHB014303, CQUJHB010901, CQUJHB011103, CQUJHB002901
OG0000064	LOC129790088, LOC129790085	CQUJHB000467, CQUJHB003566, CQUJHB000930
OG0000067	LOC129796553, LOC129796550, LOC129789877, LOC129796549	CQUJHB012309, CQUJHB007474, CQUJHB016064, CQUJHB016947
OG0000067	LOC129796552	CQUJHB018109, CQUJHB014152
OG0000068	LOC129794030	CQUJHB004402, CQUJHB008638, CQUJHB015341, CQUJHB013494, CQUJHB003559
OG0000068	LOC129794029, LOC129794026, LOC129794027	CQUJHB001983, CQUJHB009275
OG0000069	LOC129797773, LOC129786174, LOC129792812	CQUJHB002460, CQUJHB012428, CQUJHB001040, CQUJHB012111, CQUJHB002152
OG0000071	LOC129797006	CQUJHB009539, CQUJHB013274, CQUJHB005863, CQUJHB017394, CQUJHB016359, CQUJHB013086, CQUJHB010584, CQUJHB004365
OG0000072	LOC129787850, LOC129787849	CQUJHB006781
OG0000072	LOC129787717	CQUJHB004934
OG0000073	LOC129790978, LOC129789240, LOC129791095, LOC129786082, LOC129794430, LOC129789666, LOC129795974, LOC129794559, LOC129796201, LOC129786939, LOC129791894, LOC129796558, LOC129796557, LOC129786080, LOC129796556, LOC129791096, LOC129791101, LOC129791098, LOC129791103, LOC129789241, LOC129791100	CQUJHB000587, CQUJHB005489, CQUJHB004178, CQUJHB014734
OG0000077	LOC129789368, LOC129791094	CQUJHB001286
OG0000077	LOC129793367	CQUJHB003639, CQUJHB006400, CQUJHB003896, CQUJHB003043, CQUJHB018214
OG0000079	LOC129796831	CQUJHB005309, CQUJHB003821, CQUJHB018448, CQUJHB013618, CQUJHB018436, CQUJHB007263
OG0000080	LOC129790108	CQUJHB017034, CQUJHB010133, CQUJHB015069, CQUJHB005257, CQUJHB005516
OG0000086	LOC129787729, LOC129787734	CQUJHB002845, CQUJHB008375, CQUJHB001568, CQUJHB015160, CQUJHB012368
OG0000088	LOC129795927, LOC129794489, LOC129796007	CQUJHB009482, CQUJHB017248, CQUJHB001576, CQUJHB008137, CQUJHB008822, CQUJHB009095, CQUJHB004456, CQUJHB013474
OG0000090	LOC129787919, LOC129787933	CQUJHB017497
OG0000090	LOC129793252	CQUJHB007824
OG0000091	LOC129795565, LOC129795549, LOC129795142, LOC129795133, LOC129795583, LOC129789029, LOC129789027, LOC129789025, LOC129795971, LOC129789035, LOC129789024, LOC129789033, LOC129789030, LOC129796911, LOC129793099, LOC129791148	CQUJHB004684, CQUJHB009553, CQUJHB002066, CQUJHB006383, CQUJHB007123, CQUJHB017444
OG0000093	LOC129786127	CQUJHB010789
OG0000096	LOC129794915	CQUJHB002716
OG0000096	LOC129794914	CQUJHB018308, CQUJHB008108, CQUJHB008616
OG0000097	LOC129797700, LOC129797734	CQUJHB017875, CQUJHB012977, CQUJHB011218, CQUJHB006589, CQUJHB017887, CQUJHB015073
OG0000108	LOC129793972, LOC129793976, LOC129793973, LOC129793970, LOC129793974	CQUJHB010115, CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363
OG0000109	LOC129796958	CQUJHB017035
OG0000109	LOC129787301	CQUJHB000019
OG0000109	LOC129787299, LOC129787302	CQUJHB012435
OG0000114	LOC129791409	CQUJHB008130, CQUJHB012994, CQUJHB001438, CQUJHB002918, CQUJHB003734
OG0000115	LOC129791666, LOC129793325, LOC129793062, LOC129793066, LOC129793059, LOC129793073, LOC129793061, LOC129793070, LOC129791529, LOC129793067, LOC129793065, LOC129793068, LOC129793069, LOC129795580, LOC129796158, LOC129787756, LOC129786908, LOC129794439, LOC129794247, LOC129793072, LOC129793063	CQUJHB014380
OG0000116	LOC129790116, LOC129790115, LOC129790117	CQUJHB007929, CQUJHB009840
OG0000116	LOC129791153	CQUJHB015910
OG0000120	LOC129795901, LOC129797227	CQUJHB006803, CQUJHB014331, CQUJHB001450
OG0000122	LOC129794310, LOC129794534	CQUJHB001201
OG0000128	LOC129794451, LOC129794450	CQUJHB011093
OG0000128	LOC129794553, LOC129795542, LOC129795535	CQUJHB006737, CQUJHB017854
OG0000129	LOC129797028	CQUJHB000384, CQUJHB003430, CQUJHB014096, CQUJHB005388, CQUJHB016178, CQUJHB012226
OG0000130	LOC129795831, LOC129797298	CQUJHB016267, CQUJHB001063, CQUJHB001771
OG0000131	LOC129792347	CQUJHB000645
OG0000131	LOC129797128	CQUJHB004459, CQUJHB010920
OG0000131	LOC129792345	CQUJHB014041
OG0000132	LOC129794613	CQUJHB007672, CQUJHB008636, CQUJHB010862, CQUJHB000067, CQUJHB003091
OG0000133	LOC129795866, LOC129794696	CQUJHB009822, CQUJHB012631, CQUJHB014632, CQUJHB010069, CQUJHB018411, CQUJHB003024, CQUJHB005900, CQUJHB018012, CQUJHB016449
OG0000134	LOC129792867	CQUJHB006248, CQUJHB017587, CQUJHB010568, CQUJHB012326
OG0000135	LOC129786134	CQUJHB017649, CQUJHB008910, CQUJHB008581
OG0000136	LOC129797461, LOC129792712, LOC129794643, LOC129788901	CQUJHB007955, CQUJHB006760, CQUJHB009839, CQUJHB008282, CQUJHB003509, CQUJHB002833, CQUJHB013970
OG0000142	LOC129792316, LOC129793845	CQUJHB011887, CQUJHB002040
OG0000142	LOC129797567	CQUJHB003927
OG0000143	LOC129791170, LOC129789375, LOC129796631, LOC129797016, LOC129795158	CQUJHB014059, CQUJHB002965, CQUJHB006194
OG0000144	LOC129787998	CQUJHB000312, CQUJHB015003, CQUJHB011281, CQUJHB012034, CQUJHB003913, CQUJHB003921
OG0000146	LOC129797766, LOC129797769, LOC129797768	CQUJHB005895, CQUJHB003363, CQUJHB015207, CQUJHB002420, CQUJHB002108, CQUJHB013515, CQUJHB000693
OG0000147	LOC129794463, LOC129794464, LOC129795792, LOC129791878, LOC129794470	CQUJHB005161, CQUJHB000556, CQUJHB001564, CQUJHB001839
OG0000148	LOC129796639	CQUJHB001186
OG0000148	LOC129790546	CQUJHB017061
OG0000150	LOC129796012, LOC129794490, LOC129793766, LOC129794455, LOC129794453, LOC129794454, LOC129793045, LOC129794465, LOC129787861, LOC129795803, LOC129788664, LOC129789815, LOC129789262, LOC129792961, LOC129794538, LOC129795599, LOC129795594, LOC129795597, LOC129787024, LOC129787028, LOC129794960, LOC129795247, LOC129795605, LOC129786474, LOC129796164	CQUJHB006439
OG0000151	LOC129787141, LOC129787139, LOC129787137, LOC129787138, LOC129787316, LOC129788322, LOC129794423, LOC129794422, LOC129787140, LOC129791519, LOC129796677, LOC129794556, LOC129795292, LOC129792484, LOC129792407, LOC129787123, LOC129794546, LOC129794547, LOC129787135, LOC129787132, LOC129787133	CQUJHB018327
OG0000152	LOC129794238	CQUJHB014990
OG0000152	LOC129787698	CQUJHB009136
OG0000154	LOC129791038	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899
OG0000157	LOC129793002	CQUJHB001379, CQUJHB014998, CQUJHB007316, CQUJHB018173, CQUJHB009836
OG0000161	LOC129794572	CQUJHB017743
OG0000161	LOC129790631	CQUJHB000076
OG0000162	LOC129792306	CQUJHB009418, CQUJHB020435, CQUJHB014569, CQUJHB004329, CQUJHB020337
OG0000163	LOC129793077, LOC129787054, LOC129793078	CQUJHB015427, CQUJHB001490, CQUJHB017982, CQUJHB004125, CQUJHB015576, CQUJHB004810, CQUJHB003658
OG0000164	LOC129788007	CQUJHB011226
OG0000164	LOC129786795	CQUJHB016036, CQUJHB012144, CQUJHB018124, CQUJHB012545
OG0000165	LOC129785838	CQUJHB004809, CQUJHB001386, CQUJHB008494
OG0000166	LOC129793375, LOC129794220, LOC129793372	CQUJHB002907, CQUJHB004489, CQUJHB009503, CQUJHB000077
OG0000168	LOC129794488, LOC129790101, LOC129789274, LOC129792331, LOC129791920, LOC129786930, LOC129797845, LOC129789265, LOC129791561, LOC129796576, LOC129793681, LOC129794571, LOC129794306, LOC129787707, LOC129789113, LOC129791255, LOC129787192, LOC129794567, LOC129787033, LOC129794523, LOC129791763, LOC129795621, LOC129796824, LOC129786913	CQUJHB009735
OG0000171	LOC129795354, LOC129794700, LOC129794677, LOC129794701, LOC129795225, LOC129795227, LOC129794699, LOC129795228, LOC129795229, LOC129795541, LOC129794504, LOC129795205, LOC129795346	CQUJHB005596, CQUJHB006525
OG0000172	LOC129796083	CQUJHB004762, CQUJHB006283, CQUJHB018212, CQUJHB003020
OG0000173	LOC129796378, LOC129791724, LOC129796377, LOC129787463	CQUJHB003313, CQUJHB013713, CQUJHB001093, CQUJHB007201
OG0000174	LOC129785929	CQUJHB012327, CQUJHB009037, CQUJHB004035, CQUJHB011054
OG0000183	LOC129786975, LOC129786974	CQUJHB008471, CQUJHB008317, CQUJHB015904, CQUJHB015217
OG0000184	LOC129794345	CQUJHB005313, CQUJHB020350, CQUJHB003938, CQUJHB000274, CQUJHB004861
OG0000187	LOC129796892	CQUJHB008770, CQUJHB004129, CQUJHB012844, CQUJHB004306, CQUJHB008082, CQUJHB013210, CQUJHB015795, CQUJHB005653, CQUJHB013231, CQUJHB020318, CQUJHB020398, CQUJHB020313, CQUJHB020424, CQUJHB020405, CQUJHB016508, CQUJHB015181, CQUJHB011232, CQUJHB002253, CQUJHB009569, CQUJHB014578, CQUJHB015136
OG0000188	LOC129786978	CQUJHB017292, CQUJHB007220, CQUJHB003135
OG0000189	LOC129787889	CQUJHB011357
OG0000189	LOC129787087	CQUJHB001514, CQUJHB016877
OG0000190	LOC129790672	CQUJHB014000
OG0000190	LOC129789849	CQUJHB013041, CQUJHB007455
OG0000192	LOC129789885	CQUJHB011350
OG0000192	LOC129791401	CQUJHB011486
OG0000192	LOC129789886	CQUJHB006523
OG0000193	LOC129791916, LOC129788591, LOC129786638	CQUJHB016836, CQUJHB008892, CQUJHB000131
OG0000194	LOC129795950	CQUJHB008662, CQUJHB005983, CQUJHB002471, CQUJHB006345, CQUJHB007940, CQUJHB007773
OG0000196	LOC129795528, LOC129795532, LOC129794832, LOC129789213, LOC129790781, LOC129791275, LOC129789195, LOC129786848, LOC129794519, LOC129789210, LOC129789868, LOC129789795	CQUJHB015310, CQUJHB014474, CQUJHB002527, CQUJHB011596, CQUJHB015062
OG0000200	LOC129796145	CQUJHB003055
OG0000200	LOC129786068	CQUJHB000054, CQUJHB006956
OG0000201	LOC129792426, LOC129792425, LOC129792423	CQUJHB002501, CQUJHB011456, CQUJHB015906, CQUJHB013148, CQUJHB016903
OG0000202	LOC129795977	CQUJHB017404, CQUJHB010576, CQUJHB013321, CQUJHB012941
OG0000204	LOC129790266	CQUJHB015536, CQUJHB018050, CQUJHB009121
OG0000206	LOC129791163	CQUJHB009215, CQUJHB015605, CQUJHB002272
OG0000207	LOC129791699	CQUJHB009425
OG0000208	LOC129796425	CQUJHB002340, CQUJHB009267, CQUJHB007743, CQUJHB002746, CQUJHB017609, CQUJHB006033, CQUJHB016545
OG0000209	LOC129787514, LOC129785969	CQUJHB015355, CQUJHB000140, CQUJHB011735, CQUJHB013282, CQUJHB000475, CQUJHB006152, CQUJHB012713, CQUJHB011488, CQUJHB001205
OG0000217	LOC129790202	CQUJHB018057
OG0000217	LOC129790328	CQUJHB008942
OG0000217	LOC129793020	CQUJHB006291
OG0000218	LOC129795659	CQUJHB008349, CQUJHB011549, CQUJHB001220
OG0000220	LOC129787563	CQUJHB017724, CQUJHB002011, CQUJHB009710, CQUJHB008956
OG0000222	LOC129788692	CQUJHB015532, CQUJHB017485, CQUJHB013750
OG0000223	LOC129786636	CQUJHB009151, CQUJHB014766, CQUJHB004378
OG0000224	LOC129786419	CQUJHB005624
OG0000225	LOC129797834, LOC129797833	CQUJHB018221, CQUJHB016925, CQUJHB017410, CQUJHB002547, CQUJHB013654, CQUJHB010873
OG0000229	LOC129787399, LOC129793458	CQUJHB007133, CQUJHB010008
OG0000231	LOC129794015	CQUJHB015552, CQUJHB009864
OG0000232	LOC129791885	CQUJHB004882
OG0000233	LOC129788486, LOC129787862, LOC129786858, LOC129786703, LOC129786707, LOC129786861, LOC129794816, LOC129791369	CQUJHB013827, CQUJHB005784, CQUJHB017046
OG0000234	LOC129793719, LOC129790671	CQUJHB001691, CQUJHB001439, CQUJHB012585
OG0000235	LOC129790399, LOC129790400	CQUJHB006661, CQUJHB013626, CQUJHB008173, CQUJHB013536, CQUJHB015825
OG0000236	LOC129792513, LOC129796101, LOC129796113, LOC129791232, LOC129791233, LOC129796111, LOC129796105, LOC129795313	CQUJHB005892, CQUJHB007626, CQUJHB015922
OG0000237	LOC129786679, LOC129789236, LOC129786907, LOC129786678, LOC129786674, LOC129786673, LOC129791926, LOC129796314, LOC129789908, LOC129786865, LOC129786875, LOC129786873	CQUJHB010154
OG0000243	LOC129796169	CQUJHB006679, CQUJHB012833, CQUJHB008783, CQUJHB014919, CQUJHB005326, CQUJHB014021, CQUJHB002130, CQUJHB013717, CQUJHB013218, CQUJHB007460, CQUJHB003628, CQUJHB017913, CQUJHB014258, CQUJHB008423, CQUJHB014988, CQUJHB017787, CQUJHB013066, CQUJHB015098, CQUJHB000360, CQUJHB010538, CQUJHB002390, CQUJHB002020, CQUJHB013995, CQUJHB016852, CQUJHB011899, CQUJHB010918
OG0000244	LOC129788572	CQUJHB007355, CQUJHB012679
OG0000245	LOC129788329, LOC129791448, LOC129788328	CQUJHB000799, CQUJHB016506, CQUJHB007248, CQUJHB011910
OG0000248	LOC129790447	CQUJHB007060, CQUJHB012099, CQUJHB010965
OG0000250	LOC129791946	CQUJHB012300
OG0000250	LOC129792061	CQUJHB006421, CQUJHB004522
OG0000254	LOC129794727, LOC129794738	CQUJHB001657, CQUJHB009978, CQUJHB011425, CQUJHB002054, CQUJHB004153
OG0000259	LOC129789876, LOC129791517	CQUJHB015261
OG0000259	LOC129794510	CQUJHB000344, CQUJHB012367
OG0000265	LOC129794745	CQUJHB003184, CQUJHB006489
OG0000266	LOC129788826	CQUJHB002351, CQUJHB011998
OG0000267	LOC129792282, LOC129787468, LOC129787465, LOC129787466, LOC129787467, LOC129792219, LOC129787464	CQUJHB017125
OG0000268	LOC129790334, LOC129790344	CQUJHB012623, CQUJHB010904
OG0000269	LOC129786292	CQUJHB013165, CQUJHB003189
OG0000270	LOC129795988	CQUJHB003727, CQUJHB017973, CQUJHB003318
OG0000271	LOC129789622	CQUJHB018009, CQUJHB011493, CQUJHB011542
OG0000272	LOC129792269	CQUJHB005415, CQUJHB017192
OG0000273	LOC129794573, LOC129794527, LOC129794600	CQUJHB002335, CQUJHB008927
OG0000274	LOC129788675, LOC129795658, LOC129788672, LOC129795638	CQUJHB003245, CQUJHB014187, CQUJHB000081, CQUJHB007666
OG0000277	LOC129791521	CQUJHB010575, CQUJHB010852, CQUJHB004755, CQUJHB010749, CQUJHB002174, CQUJHB009714, CQUJHB010492, CQUJHB016702, CQUJHB013862
OG0000278	LOC129786521, LOC129791056, LOC129791052	CQUJHB008764, CQUJHB011798
OG0000280	LOC129794053	CQUJHB000493
OG0000286	LOC129786965	CQUJHB008968, CQUJHB015387
OG0000289	LOC129789651, LOC129789648, LOC129789646	CQUJHB011529, CQUJHB001666, CQUJHB017987
OG0000290	LOC129794578	CQUJHB002754, CQUJHB008405
OG0000291	LOC129796116	CQUJHB017541
OG0000291	LOC129791815	CQUJHB015406
OG0000292	LOC129789397	CQUJHB015742, CQUJHB017021, CQUJHB008145
OG0000293	LOC129794823, LOC129788774	CQUJHB008571, CQUJHB000229, CQUJHB000928, CQUJHB011680
OG0000294	LOC129789645	CQUJHB015184
OG0000294	LOC129789635	CQUJHB009494
OG0000296	LOC129789943	CQUJHB017172, CQUJHB015812, CQUJHB000750, CQUJHB017181, CQUJHB012682, CQUJHB013048
OG0000297	LOC129791271, LOC129795319, LOC129790452, LOC129793248	CQUJHB004146, CQUJHB000290, CQUJHB011318
OG0000299	LOC129797703	CQUJHB014668, CQUJHB005162, CQUJHB009370
OG0000301	LOC129791350	CQUJHB010333, CQUJHB008390, CQUJHB011582, CQUJHB000036, CQUJHB013389, CQUJHB007354, CQUJHB008487, CQUJHB007160, CQUJHB017207, CQUJHB005942, CQUJHB003381, CQUJHB008555, CQUJHB007129, CQUJHB007935, CQUJHB017974, CQUJHB005988, CQUJHB002326, CQUJHB014705, CQUJHB004623, CQUJHB002232
OG0000302	LOC129791738	CQUJHB010879
OG0000302	LOC129794019, LOC129794016	CQUJHB010010, CQUJHB010685
OG0000303	LOC129786927	CQUJHB011015, CQUJHB008617
OG0000304	LOC129788607	CQUJHB006070, CQUJHB016739
OG0000304	LOC129788353	CQUJHB018002
