Orthogroup	AsinensisChina	CquinquefasciatusJHB2020
OG0000012	ASIC017981, ASIC018092	CQUJHB003479, CQUJHB015331, CQUJHB006695, CQUJHB006332, CQUJHB001229, CQUJHB004173, CQUJHB006849
OG0000013	ASIC015707, ASIC015704, ASIC015706, ASIC015705, ASIC015708	CQUJHB005557, CQUJHB003968
OG0000013	ASIC011345	CQUJHB017291
OG0000013	ASIC011343, ASIC011344	CQUJHB016730, CQUJHB002448, CQUJHB016895
OG0000014	ASIC022136	CQUJHB010535, CQUJHB010268, CQUJHB016652, CQUJHB005213, CQUJHB010035, CQUJHB004375, CQUJHB007396, CQUJHB004496, CQUJHB013428, CQUJHB011375, CQUJHB017103, CQUJHB002299, CQUJHB002262, CQUJHB000349, CQUJHB009868, CQUJHB010683, CQUJHB003432, CQUJHB007349, CQUJHB000429, CQUJHB012022, CQUJHB011118, CQUJHB018125
OG0000014	ASIC016031, ASIC016164, ASIC016877, ASIC016850, ASIC016176, ASIC016175, ASIC016177, ASIC016174, ASIC016178	CQUJHB005028
OG0000015	ASIC018932, ASIC018930, ASIC018931	CQUJHB014108, CQUJHB006827
OG0000015	ASIC012465, ASIC012464, ASIC012462, ASIC012461	CQUJHB017458
OG0000016	ASIC010724	CQUJHB006645, CQUJHB016247
OG0000016	ASIC010602, ASIC010601, ASIC010600, ASIC010599, ASIC010595, ASIC010598, ASIC003871	CQUJHB002864, CQUJHB014022, CQUJHB013033, CQUJHB008355, CQUJHB010597, CQUJHB015483, CQUJHB013841, CQUJHB014607, CQUJHB001605, CQUJHB016745, CQUJHB011147, CQUJHB016507
OG0000016	ASIC002621	CQUJHB001667, CQUJHB007454, CQUJHB003219, CQUJHB007767, CQUJHB016639
OG0000018	ASIC015096	CQUJHB002387, CQUJHB001966, CQUJHB005508
OG0000020	ASIC005578	CQUJHB016342, CQUJHB004831
OG0000020	ASIC010160	CQUJHB017925, CQUJHB002221, CQUJHB000651, CQUJHB012860, CQUJHB001170, CQUJHB001510, CQUJHB000979, CQUJHB016664, CQUJHB005107, CQUJHB015711, CQUJHB011553, CQUJHB008384, CQUJHB001331, CQUJHB014167, CQUJHB009842, CQUJHB017866, CQUJHB007697, CQUJHB006001, CQUJHB014125, CQUJHB008701, CQUJHB004842, CQUJHB016137, CQUJHB015041, CQUJHB007495
OG0000021	ASIC006150	CQUJHB005197
OG0000021	ASIC012218	CQUJHB014638
OG0000021	ASIC007587	CQUJHB010956
OG0000021	ASIC006151, ASIC010309	CQUJHB016733
OG0000021	ASIC015692	CQUJHB012948
OG0000021	ASIC010311	CQUJHB015628
OG0000023	ASIC013723	CQUJHB002404
OG0000023	ASIC013720, ASIC013724, ASIC013722, ASIC000075, ASIC013721	CQUJHB000253, CQUJHB005111, CQUJHB002050, CQUJHB007212
OG0000023	ASIC019569, ASIC002406	CQUJHB015434, CQUJHB012060
OG0000024	ASIC018921	CQUJHB005662
OG0000024	ASIC018920	CQUJHB001106, CQUJHB003177
OG0000024	ASIC018905	CQUJHB015002
OG0000026	ASIC016561	CQUJHB017272
OG0000026	ASIC016560	CQUJHB011732, CQUJHB012165
OG0000026	ASIC016118	CQUJHB005106
OG0000026	ASIC014095	CQUJHB007540
OG0000030	ASIC003377, ASIC003385, ASIC003382, ASIC003384, ASIC004709, ASIC004705, ASIC004703, ASIC004701, ASIC003400, ASIC013656, ASIC004707, ASIC004704, ASIC004708, ASIC004706, ASIC003393, ASIC015022, ASIC003420, ASIC003419, ASIC003381, ASIC003417, ASIC003383	CQUJHB013699, CQUJHB008107, CQUJHB010736, CQUJHB010439
OG0000033	ASIC009222	CQUJHB008449, CQUJHB010986, CQUJHB008186
OG0000037	ASIC013351, ASIC013352, ASIC013353, ASIC022219, ASIC014023	CQUJHB011063
OG0000039	ASIC002581, ASIC000445, ASIC012458, ASIC010050, ASIC010664	CQUJHB008310, CQUJHB006780, CQUJHB014689, CQUJHB010451, CQUJHB011408, CQUJHB015873, CQUJHB005401, CQUJHB015714, CQUJHB007411
OG0000040	ASIC015489, ASIC015488, ASIC015490, ASIC007400, ASIC006427, ASIC006438	CQUJHB020438
OG0000041	ASIC005058	CQUJHB013017, CQUJHB009859
OG0000041	ASIC005063	CQUJHB001955, CQUJHB001825
OG0000041	ASIC005062	CQUJHB000581
OG0000041	ASIC005064	CQUJHB013621, CQUJHB007017
OG0000041	ASIC005684, ASIC005059, ASIC005061	CQUJHB000078, CQUJHB001849, CQUJHB006430
OG0000042	ASIC017752, ASIC017751, ASIC017733, ASIC001192, ASIC017724, ASIC001191	CQUJHB006261
OG0000042	ASIC015606	CQUJHB014357
OG0000046	ASIC005431, ASIC001384	CQUJHB004964
OG0000046	ASIC012560, ASIC001352, ASIC009809, ASIC005432, ASIC009407, ASIC009810, ASIC002914, ASIC005430, ASIC005429, ASIC001385, ASIC009812, ASIC009813, ASIC009814	CQUJHB005669, CQUJHB017284
OG0000048	ASIC019015, ASIC019014, ASIC019017, ASIC019018	CQUJHB016807, CQUJHB013985, CQUJHB018159, CQUJHB005082, CQUJHB004417, CQUJHB012005, CQUJHB009336, CQUJHB014845, CQUJHB008386
OG0000049	ASIC018403, ASIC018371, ASIC018370	CQUJHB015876
OG0000049	ASIC018401, ASIC018400	CQUJHB015556
OG0000049	ASIC018404	CQUJHB015769
OG0000051	ASIC010146, ASIC010154, ASIC010151, ASIC010148	CQUJHB010023, CQUJHB007430, CQUJHB010163, CQUJHB007463, CQUJHB014075, CQUJHB010616
OG0000052	ASIC018088	CQUJHB005091
OG0000052	ASIC018082	CQUJHB017932, CQUJHB006568, CQUJHB007297, CQUJHB011415
OG0000053	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705, ASIC020710, ASIC020703	CQUJHB018432
OG0000055	ASIC000721	CQUJHB018229
OG0000055	ASIC016078	CQUJHB017720
OG0000055	ASIC014234	CQUJHB002352
OG0000057	ASIC010132, ASIC010135, ASIC010134, ASIC010137, ASIC010133, ASIC010138	CQUJHB014741, CQUJHB005612, CQUJHB013656, CQUJHB013556, CQUJHB001778, CQUJHB008046, CQUJHB011652, CQUJHB016655, CQUJHB009785
OG0000058	ASIC007323	CQUJHB006852, CQUJHB010727, CQUJHB017219, CQUJHB013842, CQUJHB001265
OG0000058	ASIC007325	CQUJHB016789
OG0000058	ASIC007324	CQUJHB013221
OG0000058	ASIC002529	CQUJHB005830
OG0000059	ASIC019011, ASIC019000	CQUJHB005700
OG0000059	ASIC019170	CQUJHB006696
OG0000059	ASIC016660	CQUJHB011753
OG0000060	ASIC010127	CQUJHB004792
OG0000060	ASIC010130, ASIC010129	CQUJHB016380, CQUJHB008966, CQUJHB012898, CQUJHB014019, CQUJHB012243
OG0000060	ASIC010128, ASIC010131	CQUJHB002343
OG0000061	ASIC015402	CQUJHB009715, CQUJHB015055
OG0000061	ASIC016621	CQUJHB017379
OG0000061	ASIC008791	CQUJHB011103, CQUJHB002901
OG0000062	ASIC004218, ASIC009092, ASIC004219, ASIC004220, ASIC013583, ASIC013564, ASIC015598, ASIC015597	CQUJHB009702
OG0000063	ASIC021538	CQUJHB018065
OG0000063	ASIC010842	CQUJHB000613
OG0000064	ASIC014147	CQUJHB000467
OG0000064	ASIC002653, ASIC002651	CQUJHB003566, CQUJHB000930
OG0000065	ASIC011678	CQUJHB016837, CQUJHB010482, CQUJHB010902, CQUJHB017607, CQUJHB007339, CQUJHB005005, CQUJHB010929, CQUJHB012153, CQUJHB013471, CQUJHB017650, CQUJHB010973, CQUJHB005327, CQUJHB018367
OG0000067	ASIC018220	CQUJHB007474, CQUJHB016064
OG0000067	ASIC018219	CQUJHB016947
OG0000068	ASIC011681	CQUJHB004402
OG0000068	ASIC011682	CQUJHB008638, CQUJHB015341, CQUJHB013494, CQUJHB003559
OG0000068	ASIC011687	CQUJHB001983
OG0000068	ASIC011679	CQUJHB009275
OG0000069	ASIC005652	CQUJHB002460
OG0000069	ASIC002404	CQUJHB012428
OG0000069	ASIC005650, ASIC005651, ASIC000407	CQUJHB001040, CQUJHB012111, CQUJHB002152
OG0000071	ASIC008283	CQUJHB005863, CQUJHB017394
OG0000071	ASIC013586	CQUJHB016359, CQUJHB013086, CQUJHB010584, CQUJHB004365
OG0000072	ASIC019961	CQUJHB006781
OG0000072	ASIC012496	CQUJHB004785
OG0000073	ASIC014115	CQUJHB014734
OG0000074	ASIC016739, ASIC016738, ASIC016740, ASIC016736, ASIC016737, ASIC016735	CQUJHB017390, CQUJHB000048, CQUJHB015271, CQUJHB000115
OG0000074	ASIC002864	CQUJHB007995
OG0000075	ASIC021158, ASIC021155, ASIC021154, ASIC021157, ASIC021159	CQUJHB005515, CQUJHB004149, CQUJHB008196, CQUJHB008855
OG0000076	ASIC018187	CQUJHB017768, CQUJHB012728, CQUJHB015127
OG0000077	ASIC002587	CQUJHB001286
OG0000077	ASIC002588, ASIC002586	CQUJHB003639, CQUJHB006400, CQUJHB003896, CQUJHB003043
OG0000079	ASIC011457	CQUJHB005309
OG0000079	ASIC011456, ASIC011455	CQUJHB003821, CQUJHB018448
OG0000079	ASIC011459	CQUJHB013618, CQUJHB018436, CQUJHB007263
OG0000080	ASIC016601	CQUJHB017034, CQUJHB010133
OG0000080	ASIC019812	CQUJHB015069
OG0000080	ASIC019334, ASIC019335	CQUJHB005257, CQUJHB005516
OG0000081	ASIC007880	CQUJHB001153
OG0000081	ASIC007881	CQUJHB000320
OG0000082	ASIC018896, ASIC012751, ASIC012750, ASIC012735, ASIC012720, ASIC012721, ASIC015552, ASIC020059, ASIC017041, ASIC015969, ASIC015961, ASIC015947, ASIC015968, ASIC015948, ASIC015980, ASIC015942, ASIC012745, ASIC012746, ASIC012744, ASIC004383, ASIC004382, ASIC012729, ASIC012752, ASIC012731, ASIC004377, ASIC012726, ASIC004379, ASIC004372, ASIC004376, ASIC004368, ASIC014144, ASIC012727, ASIC012728, ASIC012714	CQUJHB007898
OG0000085	ASIC009268, ASIC004322, ASIC009271, ASIC009270, ASIC009269, ASIC009272	CQUJHB014727, CQUJHB008083
OG0000086	ASIC008317	CQUJHB008375, CQUJHB001568, CQUJHB015160
OG0000088	ASIC008371, ASIC008372, ASIC008376	CQUJHB017248, CQUJHB001576, CQUJHB008137, CQUJHB008822, CQUJHB009095, CQUJHB004456, CQUJHB013474
OG0000089	ASIC019476	CQUJHB015151
OG0000089	ASIC019432, ASIC019443, ASIC019421, ASIC019454, ASIC019465	CQUJHB003816
OG0000090	ASIC019695	CQUJHB007824
OG0000091	ASIC002280	CQUJHB004684, CQUJHB009553, CQUJHB002066, CQUJHB006383, CQUJHB007123
OG0000091	ASIC002279	CQUJHB017444
OG0000093	ASIC022154, ASIC014826, ASIC001437	CQUJHB010789
OG0000096	ASIC015638	CQUJHB002716
OG0000096	ASIC010647, ASIC010609	CQUJHB018308
OG0000096	ASIC010449	CQUJHB008108
OG0000096	ASIC015635	CQUJHB008616
OG0000097	ASIC021951	CQUJHB012977
OG0000097	ASIC021949	CQUJHB011218, CQUJHB006589
OG0000097	ASIC021947, ASIC021950	CQUJHB015073
OG0000098	ASIC020759, ASIC013848, ASIC013849, ASIC020756, ASIC020757, ASIC020760, ASIC020758, ASIC020762, ASIC020761, ASIC020755	CQUJHB009178, CQUJHB009893, CQUJHB003108, CQUJHB017910
OG0000101	ASIC004494	CQUJHB011092, CQUJHB004788, CQUJHB017263
OG0000104	ASIC017885, ASIC009066, ASIC009065	CQUJHB016210, CQUJHB015480, CQUJHB006103, CQUJHB017990, CQUJHB017746, CQUJHB005521, CQUJHB012378, CQUJHB001763
OG0000107	ASIC005646, ASIC005645, ASIC005655	CQUJHB018415, CQUJHB004852, CQUJHB009068, CQUJHB013239, CQUJHB016501, CQUJHB015111, CQUJHB013703, CQUJHB006294, CQUJHB013989, CQUJHB013568, CQUJHB000838, CQUJHB001925
OG0000108	ASIC013421, ASIC013593	CQUJHB012501, CQUJHB014940, CQUJHB002184, CQUJHB006363
OG0000109	ASIC002584	CQUJHB017035
OG0000109	ASIC014258	CQUJHB000019
OG0000109	ASIC014260	CQUJHB012435
OG0000109	ASIC014256	CQUJHB007563
OG0000111	ASIC012092, ASIC012080, ASIC006082	CQUJHB001127, CQUJHB016273
OG0000114	ASIC012081	CQUJHB008130, CQUJHB012994, CQUJHB001438, CQUJHB002918, CQUJHB003734
OG0000115	ASIC017431	CQUJHB014380
OG0000116	ASIC006403	CQUJHB007929
OG0000116	ASIC006402	CQUJHB009840
OG0000116	ASIC014540	CQUJHB015910
OG0000116	ASIC014538, ASIC006401	CQUJHB002792
OG0000119	ASIC016830	CQUJHB001620
OG0000119	ASIC016832, ASIC016833	CQUJHB002189, CQUJHB015704, CQUJHB017923, CQUJHB014370, CQUJHB011823, CQUJHB009096, CQUJHB000195, CQUJHB004701, CQUJHB012571
OG0000120	ASIC011544	CQUJHB006803
OG0000120	ASIC011541	CQUJHB014331, CQUJHB001450
OG0000121	ASIC001472	CQUJHB006005, CQUJHB017888, CQUJHB012450, CQUJHB011203, CQUJHB008295, CQUJHB000057, CQUJHB000850, CQUJHB012106, CQUJHB011330
OG0000127	ASIC008877	CQUJHB008722, CQUJHB006654, CQUJHB003293, CQUJHB000740, CQUJHB013009, CQUJHB013825, CQUJHB003231, CQUJHB009687, CQUJHB007227, CQUJHB017577, CQUJHB005246, CQUJHB012007, CQUJHB016127, CQUJHB003905
OG0000128	ASIC015309	CQUJHB011093
OG0000128	ASIC015247	CQUJHB006737
OG0000128	ASIC015248	CQUJHB017854
OG0000129	ASIC008763, ASIC008762	CQUJHB000384, CQUJHB003430, CQUJHB014096
OG0000130	ASIC008146	CQUJHB016267
OG0000130	ASIC012064, ASIC012065	CQUJHB001771
OG0000131	ASIC012145	CQUJHB000645
OG0000131	ASIC012146	CQUJHB004459
OG0000131	ASIC012148	CQUJHB010920
OG0000131	ASIC012034	CQUJHB014041
OG0000132	ASIC014945, ASIC014943	CQUJHB008636
OG0000132	ASIC014946	CQUJHB010862
OG0000132	ASIC002822	CQUJHB003091
OG0000133	ASIC017840, ASIC017841	CQUJHB009822
OG0000133	ASIC017520	CQUJHB016449
OG0000134	ASIC019149	CQUJHB006248, CQUJHB017587, CQUJHB010568
OG0000134	ASIC019146, ASIC019145, ASIC019147	CQUJHB012326
OG0000135	ASIC020740, ASIC020739	CQUJHB017649
OG0000135	ASIC015458, ASIC007191	CQUJHB008581
OG0000136	ASIC007232	CQUJHB003509, CQUJHB002833, CQUJHB013970
OG0000141	ASIC018449, ASIC018448, ASIC019151, ASIC018446	CQUJHB013589, CQUJHB004400, CQUJHB002761, CQUJHB004199, CQUJHB003761, CQUJHB015077, CQUJHB001493, CQUJHB017741, CQUJHB005542
OG0000142	ASIC011129, ASIC010497	CQUJHB011887
OG0000142	ASIC004901	CQUJHB002040
OG0000142	ASIC014682	CQUJHB003927
OG0000143	ASIC008424	CQUJHB002965
OG0000143	ASIC008426	CQUJHB006194
OG0000144	ASIC015934	CQUJHB000312
OG0000144	ASIC021886	CQUJHB015003, CQUJHB011281, CQUJHB012034, CQUJHB003913, CQUJHB003921
OG0000146	ASIC008229	CQUJHB005895, CQUJHB003363, CQUJHB015207
OG0000147	ASIC002221, ASIC002222, ASIC002220	CQUJHB005161, CQUJHB000556, CQUJHB001564, CQUJHB001839
OG0000148	ASIC007934	CQUJHB000776
OG0000148	ASIC012007	CQUJHB017061
OG0000149	ASIC018439	CQUJHB010028
OG0000149	ASIC018436	CQUJHB012080
OG0000149	ASIC018437	CQUJHB014966
OG0000149	ASIC018438	CQUJHB017015, CQUJHB010834
OG0000150	ASIC011027	CQUJHB006439
OG0000151	ASIC009913, ASIC009914	CQUJHB018327
OG0000152	ASIC004877	CQUJHB014990, CQUJHB000800, CQUJHB010394
OG0000154	ASIC004043, ASIC013097, ASIC013108, ASIC004042, ASIC013051, ASIC004041	CQUJHB008696, CQUJHB017642, CQUJHB010993, CQUJHB014811, CQUJHB014899
OG0000155	ASIC020577, ASIC020578	CQUJHB007333, CQUJHB008665, CQUJHB002705, CQUJHB004511, CQUJHB005859, CQUJHB001497
OG0000157	ASIC010788	CQUJHB001379
OG0000157	ASIC019241	CQUJHB007316, CQUJHB018173, CQUJHB009836
OG0000161	ASIC019631	CQUJHB000076
OG0000162	ASIC018387	CQUJHB009418
OG0000162	ASIC018375	CQUJHB020435, CQUJHB014569
OG0000162	ASIC018379	CQUJHB004329
OG0000162	ASIC018380	CQUJHB020337
OG0000163	ASIC007358	CQUJHB015427
OG0000163	ASIC007362	CQUJHB001490, CQUJHB017982, CQUJHB004125, CQUJHB015576
OG0000163	ASIC007363, ASIC007359	CQUJHB004810, CQUJHB003658
OG0000164	ASIC021805	CQUJHB011226
OG0000164	ASIC021916	CQUJHB012144, CQUJHB018124
OG0000164	ASIC021828	CQUJHB012545
OG0000165	ASIC020384	CQUJHB004809
OG0000165	ASIC020380	CQUJHB001386
OG0000165	ASIC020379, ASIC020381	CQUJHB008494
OG0000166	ASIC012923	CQUJHB002907
OG0000166	ASIC012924	CQUJHB004489
OG0000166	ASIC012921	CQUJHB009503, CQUJHB000077
OG0000171	ASIC004812, ASIC004811	CQUJHB005596
OG0000171	ASIC004810	CQUJHB006525
OG0000172	ASIC017527	CQUJHB004762
OG0000172	ASIC017517, ASIC017518	CQUJHB006283
OG0000172	ASIC017545, ASIC017548	CQUJHB018212
OG0000172	ASIC017547	CQUJHB003020
OG0000173	ASIC022306	CQUJHB013713
OG0000173	ASIC022304	CQUJHB001093, CQUJHB007201
OG0000174	ASIC009499	CQUJHB012327
OG0000174	ASIC007084	CQUJHB009037, CQUJHB004035
OG0000181	ASIC019035, ASIC019034	CQUJHB018406, CQUJHB017566
OG0000182	ASIC020912	CQUJHB010205
OG0000182	ASIC020913	CQUJHB012840
OG0000183	ASIC011096	CQUJHB008471, CQUJHB008317, CQUJHB015904, CQUJHB015217
OG0000184	ASIC007210	CQUJHB005313
OG0000184	ASIC007209	CQUJHB020350, CQUJHB003938, CQUJHB000274
OG0000185	ASIC014499, ASIC014498	CQUJHB017110, CQUJHB016405, CQUJHB006617
OG0000185	ASIC018463, ASIC018459	CQUJHB017959, CQUJHB000372
OG0000187	ASIC003343	CQUJHB008770, CQUJHB004129, CQUJHB012844, CQUJHB004306, CQUJHB008082, CQUJHB013210, CQUJHB015795, CQUJHB005653, CQUJHB013231, CQUJHB020318, CQUJHB020398, CQUJHB020313, CQUJHB020424, CQUJHB020405, CQUJHB016508, CQUJHB015181, CQUJHB011232, CQUJHB002253, CQUJHB009569, CQUJHB014578, CQUJHB015136
OG0000189	ASIC020927	CQUJHB011357
OG0000189	ASIC004914	CQUJHB001514
OG0000190	ASIC009037	CQUJHB014000
OG0000190	ASIC004005	CQUJHB013041
OG0000191	ASIC011618, ASIC011619, ASIC011617, ASIC011616	CQUJHB013758, CQUJHB002302, CQUJHB016362, CQUJHB011469
OG0000192	ASIC003853	CQUJHB011350
OG0000192	ASIC021385	CQUJHB011486
OG0000192	ASIC006813	CQUJHB006523
OG0000193	ASIC005170, ASIC009034, ASIC004649	CQUJHB016836, CQUJHB008892, CQUJHB000131
OG0000194	ASIC007163	CQUJHB007940
OG0000196	ASIC009091	CQUJHB015310, CQUJHB014474, CQUJHB002527, CQUJHB011596, CQUJHB015062
OG0000200	ASIC004374	CQUJHB003055
OG0000200	ASIC004381	CQUJHB000054
OG0000201	ASIC018737	CQUJHB015906
OG0000201	ASIC018748	CQUJHB013148, CQUJHB016903
OG0000202	ASIC005159	CQUJHB013321, CQUJHB012941
OG0000203	ASIC022196	CQUJHB018349
OG0000203	ASIC022191, ASIC022195	CQUJHB014121, CQUJHB004265, CQUJHB018395
OG0000203	ASIC022193, ASIC022189	CQUJHB001614
OG0000204	ASIC018858, ASIC018857	CQUJHB015536, CQUJHB018050
OG0000204	ASIC018860	CQUJHB009121
OG0000205	ASIC007148	CQUJHB006892
OG0000206	ASIC009932, ASIC009934, ASIC009931, ASIC009933	CQUJHB009215, CQUJHB015605, CQUJHB002272
OG0000207	ASIC020302, ASIC020301	CQUJHB009425
OG0000208	ASIC004792	CQUJHB009267, CQUJHB007743
OG0000208	ASIC004793, ASIC004794, ASIC004795	CQUJHB002746
OG0000209	ASIC018130	CQUJHB000140
OG0000210	ASIC005087, ASIC005086	CQUJHB015488, CQUJHB015097, CQUJHB007162
OG0000217	ASIC021690	CQUJHB018057
OG0000217	ASIC007120	CQUJHB008942
OG0000217	ASIC021693	CQUJHB006291
OG0000219	ASIC017087	CQUJHB009528, CQUJHB009252, CQUJHB018120, CQUJHB007367
OG0000220	ASIC021082	CQUJHB017724
OG0000220	ASIC021083	CQUJHB002011
OG0000220	ASIC021081	CQUJHB008956
OG0000221	ASIC016222, ASIC016221, ASIC016220	CQUJHB011640
OG0000221	ASIC019669, ASIC019668	CQUJHB016680, CQUJHB007754
OG0000222	ASIC014190	CQUJHB015532
OG0000222	ASIC014179	CQUJHB017485, CQUJHB013750
OG0000223	ASIC011432	CQUJHB009151
OG0000224	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365	CQUJHB005624
OG0000225	ASIC021356	CQUJHB016925, CQUJHB017410, CQUJHB002547, CQUJHB013654, CQUJHB010873
OG0000229	ASIC021403, ASIC004678	CQUJHB010008
OG0000230	ASIC005288	CQUJHB018077, CQUJHB010793, CQUJHB004599, CQUJHB013294, CQUJHB000972
OG0000231	ASIC011666, ASIC011669	CQUJHB015552, CQUJHB009864
OG0000232	ASIC012966, ASIC012965	CQUJHB004882
OG0000233	ASIC011408	CQUJHB013827, CQUJHB005784
OG0000234	ASIC020664	CQUJHB012585
OG0000235	ASIC017168, ASIC009033	CQUJHB006661, CQUJHB013626, CQUJHB008173, CQUJHB013536, CQUJHB015825
OG0000236	ASIC011385, ASIC008198, ASIC015967	CQUJHB005892, CQUJHB007626, CQUJHB015922
OG0000237	ASIC003194	CQUJHB010154
OG0000244	ASIC022012	CQUJHB007355
OG0000244	ASIC022140	CQUJHB012679
OG0000245	ASIC005515, ASIC005518	CQUJHB000799
OG0000245	ASIC005516	CQUJHB016506, CQUJHB007248, CQUJHB011910
OG0000247	ASIC016691, ASIC016692	CQUJHB002713, CQUJHB017013
OG0000247	ASIC019252	CQUJHB002013
OG0000248	ASIC017750	CQUJHB007060
OG0000249	ASIC016050, ASIC000958	CQUJHB009233, CQUJHB007489, CQUJHB002025, CQUJHB001010, CQUJHB009190
OG0000250	ASIC004082	CQUJHB012300
OG0000250	ASIC004081	CQUJHB006421
OG0000252	ASIC005046	CQUJHB005253, CQUJHB008240, CQUJHB011189, CQUJHB017858
OG0000252	ASIC005048	CQUJHB008290
OG0000253	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662	CQUJHB011918, CQUJHB003161
OG0000254	ASIC005504	CQUJHB009978
OG0000255	ASIC020208, ASIC020207, ASIC020205, ASIC020206	CQUJHB003529
OG0000256	ASIC012493, ASIC012494	CQUJHB009160
OG0000256	ASIC012491, ASIC012495	CQUJHB014478
OG0000257	ASIC005738	CQUJHB010739, CQUJHB009502, CQUJHB000584, CQUJHB000689, CQUJHB000541, CQUJHB008553, CQUJHB004547, CQUJHB014397, CQUJHB008765
OG0000260	ASIC010061, ASIC010060, ASIC010059, ASIC010058	CQUJHB020421, CQUJHB004409, CQUJHB006012, CQUJHB011286
OG0000265	ASIC007840	CQUJHB003184
OG0000266	ASIC010738	CQUJHB002351
OG0000266	ASIC004862, ASIC004863	CQUJHB011998
OG0000267	ASIC021746	CQUJHB017125
OG0000268	ASIC007410, ASIC007406	CQUJHB012623
OG0000268	ASIC007405	CQUJHB010904
OG0000269	ASIC006168	CQUJHB013165, CQUJHB003189
OG0000270	ASIC018039	CQUJHB003727, CQUJHB017973, CQUJHB003318
OG0000271	ASIC006601	CQUJHB018009
OG0000272	ASIC015539	CQUJHB005415, CQUJHB017192
OG0000273	ASIC011512	CQUJHB002335
OG0000273	ASIC011515	CQUJHB008927
OG0000274	ASIC019686	CQUJHB003245, CQUJHB014187, CQUJHB000081
OG0000274	ASIC020495	CQUJHB007666
OG0000275	ASIC014691, ASIC014690, ASIC014692	CQUJHB000546, CQUJHB005342, CQUJHB010174, CQUJHB012136, CQUJHB006340, CQUJHB000241, CQUJHB013765
