Orthogroup	AsinensisChina	AfunestusAfunGA1
OG0000190	ASIC004005	AFUN2_007361
OG0000191	ASIC011618, ASIC011619, ASIC011617	AFUN2_001434, AFUN2_013752, AFUN2_000844
OG0000191	ASIC011616	AFUN2_007718
OG0000192	ASIC003853	AFUN2_002573
OG0000192	ASIC021385	AFUN2_010718
OG0000192	ASIC006813	AFUN2_006065
OG0000193	ASIC005170, ASIC009034, ASIC004649	AFUN2_010552, AFUN2_009366, AFUN2_003838, AFUN2_011367
OG0000194	ASIC007163	AFUN2_001454
OG0000196	ASIC009091	AFUN2_005920
OG0000200	ASIC004374	AFUN2_008798
OG0000200	ASIC004381	AFUN2_010360
OG0000201	ASIC018737	AFUN2_007662
OG0000201	ASIC018748	AFUN2_003280
OG0000202	ASIC006264	AFUN2_012722
OG0000202	ASIC005159	AFUN2_001437
OG0000203	ASIC022196	AFUN2_010926
OG0000203	ASIC022191, ASIC022195	AFUN2_004259
OG0000203	ASIC022193, ASIC022189	AFUN2_000689
OG0000204	ASIC018858, ASIC018857	AFUN2_005886
OG0000204	ASIC018860	AFUN2_004049
OG0000205	ASIC007148	AFUN2_003370
OG0000206	ASIC009932, ASIC009934	AFUN2_009572
OG0000206	ASIC017261	AFUN2_000978
OG0000207	ASIC020302	AFUN2_000379
OG0000207	ASIC020301	AFUN2_002113
OG0000208	ASIC004792	AFUN2_000748
OG0000208	ASIC004793, ASIC004794, ASIC004795	AFUN2_013487
OG0000209	ASIC018130	AFUN2_001039
OG0000210	ASIC005087	AFUN2_014566
OG0000210	ASIC005086	AFUN2_014802, AFUN2_009879, AFUN2_005823
OG0000216	ASIC012609, ASIC012610, ASIC012607	AFUN2_008117
OG0000217	ASIC021690	AFUN2_005144
OG0000217	ASIC007120	AFUN2_003295
OG0000217	ASIC021693	AFUN2_000967
OG0000218	ASIC006963	AFUN2_014112
OG0000218	ASIC006964	AFUN2_007094
OG0000219	ASIC017087	AFUN2_004669
OG0000220	ASIC021083	AFUN2_004984
OG0000220	ASIC021081	AFUN2_008743
OG0000221	ASIC016222, ASIC016221, ASIC016220	AFUN2_002758, AFUN2_007038
OG0000221	ASIC019669, ASIC019668	AFUN2_006461
OG0000222	ASIC014190	AFUN2_008952
OG0000222	ASIC013415	AFUN2_002413
OG0000223	ASIC011432	AFUN2_006017
OG0000224	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365	AFUN2_004727, AFUN2_006433
OG0000225	ASIC021356	AFUN2_005712, AFUN2_007468
OG0000228	ASIC019718	AFUN2_010307, AFUN2_001223
OG0000228	ASIC019719, ASIC019722, ASIC019723	AFUN2_007118, AFUN2_001384, AFUN2_013425, AFUN2_008192
OG0000229	ASIC021403	AFUN2_001410
OG0000229	ASIC004678	AFUN2_012986
OG0000230	ASIC005288	AFUN2_013851, AFUN2_006362
OG0000231	ASIC011666	AFUN2_014167
OG0000231	ASIC011669	AFUN2_001796
OG0000232	ASIC012966	AFUN2_001279
OG0000232	ASIC012965	AFUN2_004132
OG0000233	ASIC011408	AFUN2_005591
OG0000234	ASIC020664	AFUN2_014325
OG0000235	ASIC017168, ASIC009033	AFUN2_000576, AFUN2_003102, AFUN2_003000
OG0000236	ASIC011385	AFUN2_012443
OG0000236	ASIC008198	AFUN2_002078
OG0000237	ASIC003194	AFUN2_005130
OG0000244	ASIC022012	AFUN2_005802
OG0000245	ASIC005515	AFUN2_014246
OG0000245	ASIC005518	AFUN2_010459
OG0000245	ASIC005516	AFUN2_014309
OG0000246	ASIC021753	AFUN2_012397
OG0000246	ASIC021752	AFUN2_008092
OG0000246	ASIC021751, ASIC021749	AFUN2_001095, AFUN2_005703
OG0000246	ASIC021748	AFUN2_002388
OG0000247	ASIC016691	AFUN2_012107
OG0000247	ASIC016692	AFUN2_004620
OG0000247	ASIC019252	AFUN2_001600
OG0000248	ASIC017750	AFUN2_010809
OG0000249	ASIC016050	AFUN2_006007
OG0000249	ASIC000958	AFUN2_010916
OG0000250	ASIC004082	AFUN2_003687
OG0000250	ASIC004081	AFUN2_007149
OG0000252	ASIC005046	AFUN2_006568
OG0000252	ASIC005048	AFUN2_010012
OG0000253	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662	AFUN2_001483, AFUN2_000437
OG0000254	ASIC005504	AFUN2_013341
OG0000255	ASIC020208, ASIC020207	AFUN2_014479, AFUN2_012452
OG0000256	ASIC012493, ASIC012494	AFUN2_010594
OG0000256	ASIC012491	AFUN2_010827
OG0000256	ASIC012495	AFUN2_004016
OG0000257	ASIC005738	AFUN2_012412
OG0000260	ASIC010061	AFUN2_004768
OG0000260	ASIC010060	AFUN2_011233
OG0000260	ASIC010059	AFUN2_008356
OG0000260	ASIC010058	AFUN2_004504
OG0000263	ASIC006278	AFUN2_009201
OG0000263	ASIC019183	AFUN2_013727
OG0000263	ASIC001150	AFUN2_010178
OG0000263	ASIC015353	AFUN2_009545
OG0000265	ASIC007840	AFUN2_009281, AFUN2_011549
OG0000266	ASIC010738	AFUN2_000459
OG0000266	ASIC004862	AFUN2_004367
OG0000266	ASIC004863	AFUN2_008216
OG0000267	ASIC021746	AFUN2_013327, AFUN2_007744
OG0000268	ASIC007410	AFUN2_009239
OG0000268	ASIC007406	AFUN2_010803
OG0000268	ASIC007405	AFUN2_010441
OG0000269	ASIC006168	AFUN2_002119
OG0000270	ASIC018039	AFUN2_004500, AFUN2_005657, AFUN2_001828
OG0000271	ASIC006601	AFUN2_007927
OG0000272	ASIC015539	AFUN2_008265
OG0000272	ASIC011268	AFUN2_012900
OG0000273	ASIC011512	AFUN2_001579
OG0000273	ASIC011513	AFUN2_004573
OG0000273	ASIC011515	AFUN2_012480
OG0000274	ASIC019686	AFUN2_009686
OG0000274	ASIC020495	AFUN2_013179
OG0000275	ASIC014691, ASIC014690	AFUN2_004279, AFUN2_002342, AFUN2_006827, AFUN2_002236, AFUN2_014152
OG0000276	ASIC017971	AFUN2_005119, AFUN2_000381
OG0000277	ASIC008290, ASIC008301	AFUN2_013863
OG0000278	ASIC016444	AFUN2_006737, AFUN2_010216
OG0000278	ASIC016562	AFUN2_002080
OG0000279	ASIC012105	AFUN2_002258, AFUN2_014367, AFUN2_008292
OG0000280	ASIC014626	AFUN2_014275
OG0000280	ASIC014625	AFUN2_012254
OG0000285	ASIC005533, ASIC005534	AFUN2_012421
OG0000285	ASIC005544	AFUN2_002291
OG0000285	ASIC005545	AFUN2_012046
OG0000286	ASIC015277, ASIC015276	AFUN2_002229, AFUN2_001601
OG0000287	ASIC022020, ASIC022019	AFUN2_006714, AFUN2_009698
OG0000288	ASIC006693	AFUN2_007336
OG0000288	ASIC006682	AFUN2_011244
OG0000289	ASIC007910	AFUN2_008782
OG0000289	ASIC007909	AFUN2_008797
OG0000290	ASIC015220	AFUN2_001948
OG0000290	ASIC015219	AFUN2_000760, AFUN2_006244
OG0000291	ASIC019903	AFUN2_003869
OG0000291	ASIC018743	AFUN2_005713
OG0000292	ASIC012870	AFUN2_008562
OG0000292	ASIC012872	AFUN2_003827, AFUN2_006814
OG0000293	ASIC020292	AFUN2_001356
OG0000293	ASIC021166	AFUN2_000358
OG0000294	ASIC000867	AFUN2_012955
OG0000294	ASIC000063	AFUN2_012574
OG0000296	ASIC010617, ASIC010616	AFUN2_010688, AFUN2_014118
OG0000297	ASIC007550	AFUN2_006972
OG0000297	ASIC007551	AFUN2_004085
OG0000298	ASIC019369	AFUN2_001118
OG0000298	ASIC019368	AFUN2_013111
OG0000299	ASIC010575	AFUN2_007111
OG0000299	ASIC018166, ASIC018167	AFUN2_010458
OG0000300	ASIC021618	AFUN2_013914
OG0000302	ASIC007798	AFUN2_001375
OG0000302	ASIC007799	AFUN2_001607
OG0000303	ASIC014831	AFUN2_011645
OG0000304	ASIC009070	AFUN2_011754, AFUN2_006099
OG0000304	ASIC009068	AFUN2_012365
OG0000305	ASIC008672	AFUN2_004178
OG0000306	ASIC017623	AFUN2_011531
OG0000306	ASIC015935, ASIC007588, ASIC017620	AFUN2_002476
