Orthogroup	AsinensisChina	AdirusWRAIR2
OG0000039	ASIC010664	ADIR015924, ADIR015928, ADIR015927, ADIR007692, ADIR015926
OG0000040	ASIC015489	ADIR015539
OG0000040	ASIC015488	ADIR015541
OG0000040	ASIC015490	ADIR015540
OG0000040	ASIC006427, ASIC006438	ADIR006103, ADIR015562, ADIR006102
OG0000041	ASIC005063	ADIR001834
OG0000041	ASIC005062	ADIR001833
OG0000041	ASIC005064	ADIR001835
OG0000041	ASIC005684	ADIR003420
OG0000042	ASIC017752, ASIC017751	ADIR000587, ADIR011155
OG0000042	ASIC017733, ASIC001192	ADIR000580
OG0000042	ASIC015606	ADIR004510
OG0000042	ASIC015360	ADIR000370
OG0000043	ASIC004837, ASIC002620, ASIC014455	ADIR005615
OG0000043	ASIC017851, ASIC017852	ADIR014831, ADIR014832, ADIR014998, ADIR014553, ADIR014213, ADIR014481, ADIR014482, ADIR000018, ADIR011538, ADIR014178, ADIR005614, ADIR014148
OG0000046	ASIC009812	ADIR003197
OG0000048	ASIC019015, ASIC019014	ADIR016186
OG0000048	ASIC019017, ASIC019018	ADIR016187, ADIR016181, ADIR016189
OG0000049	ASIC018403, ASIC018371, ASIC018370	ADIR016124
OG0000049	ASIC018401, ASIC018400	ADIR016128
OG0000049	ASIC001190	ADIR015764, ADIR015763
OG0000049	ASIC017764	ADIR015765
OG0000049	ASIC018404	ADIR016123
OG0000051	ASIC010148	ADIR009276
OG0000053	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705	ADIR009846, ADIR011408
OG0000053	ASIC020710	ADIR011407, ADIR009847
OG0000053	ASIC020703	ADIR009845
OG0000055	ASIC000721	ADIR003019
OG0000057	ASIC010132, ASIC010135, ASIC010134, ASIC010137, ASIC010133	ADIR009281, ADIR014808
OG0000057	ASIC010138	ADIR009282
OG0000058	ASIC007323	ADIR006057
OG0000058	ASIC002529	ADIR011421
OG0000059	ASIC019011, ASIC019000	ADIR001566, ADIR015747, ADIR015748, ADIR015749, ADIR001568
OG0000059	ASIC019170	ADIR003672, ADIR003674
OG0000059	ASIC016660	ADIR016197
OG0000060	ASIC010128	ADIR014811
OG0000060	ASIC010131	ADIR014810
OG0000061	ASIC015402	ADIR009531
OG0000061	ASIC016621	ADIR007445
OG0000061	ASIC008790, ASIC008789	ADIR015570
OG0000061	ASIC008791	ADIR015571
OG0000063	ASIC021538	ADIR010309
OG0000063	ASIC010842	ADIR008969
OG0000064	ASIC002653	ADIR004674
OG0000064	ASIC001146	ADIR005809
OG0000064	ASIC002656	ADIR004675
OG0000064	ASIC002652	ADIR004673
OG0000067	ASIC018220	ADIR000539
OG0000067	ASIC018219	ADIR000540
OG0000068	ASIC011681	ADIR007458
OG0000068	ASIC011682	ADIR007459
OG0000068	ASIC011687	ADIR007460
OG0000069	ASIC005652	ADIR003464
OG0000069	ASIC002404	ADIR007962
OG0000069	ASIC005650	ADIR007263, ADIR007262
OG0000069	ASIC000407	ADIR003511
OG0000071	ASIC008283	ADIR002693
OG0000071	ASIC013586	ADIR011119, ADIR011120, ADIR011116
OG0000072	ASIC019961	ADIR001900
OG0000072	ASIC012496	ADIR003546
OG0000073	ASIC014115	ADIR010953
OG0000074	ASIC016739, ASIC016738	ADIR003703
OG0000074	ASIC016736	ADIR003702
OG0000074	ASIC016735	ADIR003701
OG0000074	ASIC002864	ADIR007318
OG0000075	ASIC021158, ASIC021155	ADIR008602, ADIR008603
OG0000075	ASIC021159	ADIR008604
OG0000076	ASIC018187	ADIR000003, ADIR000001, ADIR011543, ADIR014002, ADIR001442, ADIR000068, ADIR002333, ADIR002334
OG0000077	ASIC002588, ASIC002586	ADIR007690
OG0000078	ASIC022286	ADIR002699, ADIR005603, ADIR003863
OG0000079	ASIC011456, ASIC011455	ADIR010062
OG0000080	ASIC016602	ADIR007435
OG0000080	ASIC019812	ADIR007208
OG0000080	ASIC019334, ASIC019335	ADIR000033
OG0000081	ASIC007880	ADIR007942
OG0000081	ASIC007878, ASIC007850, ASIC007872	ADIR008727
OG0000081	ASIC007881	ADIR007943
OG0000082	ASIC012751, ASIC012750, ASIC012735, ASIC012720, ASIC012721, ASIC015552, ASIC020059, ASIC017041, ASIC015969, ASIC015961, ASIC015947, ASIC015968, ASIC015948, ASIC015980, ASIC015942, ASIC012745, ASIC012746, ASIC012744, ASIC004383, ASIC004382, ASIC012729, ASIC012752, ASIC012731, ASIC004377, ASIC012726, ASIC004379, ASIC004372, ASIC004376, ASIC004368, ASIC014144	ADIR000069, ADIR000071
OG0000082	ASIC012727, ASIC012728, ASIC012714	ADIR000093
OG0000085	ASIC009268	ADIR015828
OG0000085	ASIC004322	ADIR015824
OG0000085	ASIC009271, ASIC009270, ASIC009269	ADIR015826, ADIR015825, ADIR015827
OG0000085	ASIC009272	ADIR015829
OG0000086	ASIC009153	ADIR009203
OG0000086	ASIC008317	ADIR003037
OG0000088	ASIC008371, ASIC008372	ADIR000290
OG0000088	ASIC008376	ADIR000294
OG0000089	ASIC019476	ADIR009555
OG0000089	ASIC019432, ASIC019443, ASIC019421, ASIC019454, ASIC019465	ADIR009554
OG0000090	ASIC019694	ADIR007286
OG0000090	ASIC019695	ADIR007285
OG0000091	ASIC002279	ADIR006521
OG0000093	ASIC022154, ASIC014826	ADIR002132, ADIR015594, ADIR007529, ADIR003861, ADIR014323
OG0000096	ASIC015638	ADIR000343
OG0000096	ASIC010609	ADIR010758
OG0000096	ASIC010449	ADIR009091
OG0000096	ASIC015635	ADIR000344
OG0000097	ASIC021949	ADIR010274
OG0000097	ASIC021950	ADIR010273
OG0000098	ASIC013849	ADIR014792
OG0000103	ASIC014017	ADIR014328
OG0000104	ASIC017885, ASIC009066, ASIC009065	ADIR010870, ADIR010871, ADIR010869
OG0000105	ASIC014502, ASIC014526, ASIC014524, ASIC014525, ASIC014503	ADIR000198
OG0000108	ASIC013421, ASIC013593	ADIR004058
OG0000109	ASIC002584	ADIR007689
OG0000109	ASIC014258	ADIR009055
OG0000111	ASIC012080, ASIC006082	ADIR000644
OG0000114	ASIC012081	ADIR000642, ADIR000643
OG0000115	ASIC017431	ADIR007384
OG0000115	ASIC017432	ADIR007383
OG0000116	ASIC006402	ADIR006147
OG0000116	ASIC014540	ADIR005173
OG0000119	ASIC016830	ADIR007783
OG0000119	ASIC016832, ASIC016833	ADIR007782
OG0000120	ASIC011544	ADIR015976
OG0000120	ASIC011541	ADIR015969, ADIR015967
OG0000120	ASIC013726	ADIR004301
OG0000123	ASIC014656, ASIC014634	ADIR004735
OG0000123	ASIC020219, ASIC020215	ADIR005940
OG0000124	ASIC019768	ADIR007238
OG0000124	ASIC019753	ADIR007249
OG0000124	ASIC019769, ASIC019770, ASIC019771	ADIR007237, ADIR007235
OG0000127	ASIC008877	ADIR002706
OG0000128	ASIC015309	ADIR005627
OG0000128	ASIC015247	ADIR016172
OG0000128	ASIC015248	ADIR016170
OG0000130	ASIC008146	ADIR003050
OG0000130	ASIC012064	ADIR011436
OG0000130	ASIC012065	ADIR011726, ADIR011435
OG0000131	ASIC012145	ADIR011335
OG0000131	ASIC012034	ADIR011339
OG0000132	ASIC014946	ADIR009202
OG0000132	ASIC002822	ADIR010804
OG0000133	ASIC017840, ASIC017841	ADIR000444
OG0000133	ASIC017521	ADIR000139
OG0000133	ASIC017520	ADIR000140
OG0000134	ASIC019150	ADIR003659
OG0000134	ASIC019149	ADIR003660
OG0000134	ASIC019145	ADIR003658
OG0000135	ASIC020740, ASIC020739	ADIR011399
OG0000135	ASIC015458	ADIR000262
OG0000135	ASIC007191	ADIR005920
OG0000136	ASIC007232	ADIR006020
OG0000141	ASIC018448	ADIR007903
OG0000142	ASIC011129, ASIC010497	ADIR008287
OG0000142	ASIC004901	ADIR008294
OG0000142	ASIC014682	ADIR003290
OG0000143	ASIC008422, ASIC008424, ASIC008426	ADIR004529
OG0000146	ASIC008229	ADIR015797
OG0000147	ASIC002222	ADIR011038
OG0000148	ASIC012007	ADIR005101
OG0000149	ASIC018439	ADIR007907
OG0000149	ASIC018437	ADIR007908
OG0000150	ASIC011027	ADIR008060
OG0000151	ASIC009913, ASIC009914	ADIR015810
OG0000152	ASIC004877	ADIR015582, ADIR008754, ADIR006715, ADIR015581
OG0000154	ASIC013108, ASIC004042, ASIC013051, ASIC004041	ADIR006364
OG0000155	ASIC020577, ASIC020578	ADIR005418
OG0000157	ASIC010788	ADIR006810
OG0000160	ASIC016821	ADIR003566
OG0000161	ASIC019631	ADIR003591
OG0000162	ASIC018387	ADIR000480
OG0000162	ASIC018379	ADIR000482
OG0000163	ASIC007358	ADIR015554
OG0000163	ASIC007362	ADIR015557
OG0000163	ASIC007363, ASIC007359	ADIR015556
OG0000164	ASIC021805	ADIR004411
OG0000164	ASIC021916	ADIR004413
OG0000165	ASIC020384	ADIR001509
OG0000165	ASIC020380	ADIR001510
OG0000165	ASIC020379	ADIR009841
OG0000165	ASIC020381	ADIR005706
OG0000166	ASIC012923	ADIR016085
OG0000166	ASIC012924	ADIR008138
OG0000166	ASIC012921	ADIR016086
OG0000171	ASIC004810	ADIR002126
OG0000172	ASIC017527	ADIR000138
OG0000172	ASIC017518	ADIR000141
OG0000172	ASIC017547	ADIR000131
OG0000173	ASIC022306	ADIR011553
OG0000173	ASIC022304	ADIR011554
OG0000174	ASIC009499	ADIR000944
OG0000174	ASIC007084	ADIR015737
OG0000181	ASIC019035	ADIR008823
OG0000181	ASIC019034	ADIR008822
OG0000182	ASIC020912	ADIR005388
OG0000182	ASIC020913	ADIR016062
OG0000183	ASIC011096	ADIR006377, ADIR005819
OG0000184	ASIC007210	ADIR006005
OG0000184	ASIC007209	ADIR015591, ADIR015590
OG0000185	ASIC014499, ASIC014498	ADIR000196
OG0000185	ASIC018463, ASIC018459	ADIR016097
OG0000187	ASIC003343	ADIR002758
OG0000188	ASIC009167, ASIC009163, ASIC009169, ASIC009174, ASIC009164, ASIC009173, ASIC009166, ASIC009168, ASIC009162, ASIC009160, ASIC009161	ADIR009257, ADIR009256
OG0000189	ASIC020927	ADIR005379
OG0000189	ASIC004914	ADIR010508
OG0000190	ASIC009037	ADIR005000, ADIR011475
OG0000190	ASIC004005	ADIR011077
OG0000191	ASIC011618, ASIC011619, ASIC011617	ADIR007485, ADIR014641
OG0000192	ASIC003853	ADIR010909
OG0000192	ASIC021385	ADIR005792
OG0000192	ASIC006813	ADIR000914
OG0000193	ASIC005170, ASIC009034, ASIC004649	ADIR005330
OG0000194	ASIC007163	ADIR005946
OG0000196	ASIC009091	ADIR010880
OG0000200	ASIC004374	ADIR000096
OG0000200	ASIC004381	ADIR000097
OG0000201	ASIC018737	ADIR004196
OG0000202	ASIC006264	ADIR001167
OG0000204	ASIC018858, ASIC018857	ADIR015854, ADIR016103, ADIR015857
OG0000204	ASIC018860	ADIR015855
OG0000205	ASIC007148	ADIR005975
OG0000206	ASIC017261	ADIR000696
OG0000207	ASIC020302	ADIR016010
OG0000207	ASIC020301	ADIR016011
OG0000208	ASIC004793, ASIC004794, ASIC004795	ADIR001797
OG0000209	ASIC018130	ADIR001972
OG0000210	ASIC005087	ADIR000241
OG0000216	ASIC012609, ASIC012610, ASIC012607	ADIR006331
OG0000217	ASIC021690	ADIR010726
OG0000217	ASIC007120	ADIR005194
OG0000218	ASIC006963	ADIR011220
OG0000218	ASIC006964	ADIR011219
OG0000219	ASIC017087	ADIR001531
OG0000220	ASIC021083	ADIR006414
OG0000221	ASIC016222, ASIC016221, ASIC016220	ADIR011011
OG0000221	ASIC019669, ASIC019668	ADIR003610
OG0000222	ASIC014190	ADIR000671
OG0000222	ASIC013415	ADIR004052
OG0000223	ASIC011432	ADIR010046
OG0000224	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365	ADIR008980, ADIR008979
OG0000225	ASIC021356	ADIR016028, ADIR016027
OG0000226	ASIC020560	ADIR006402
OG0000226	ASIC020556	ADIR006405
OG0000228	ASIC019718	ADIR007268, ADIR007267, ADIR006114
OG0000228	ASIC019719, ASIC019722, ASIC019723	ADIR007266
OG0000229	ASIC021403	ADIR005804
OG0000229	ASIC004678	ADIR005315
OG0000230	ASIC005288	ADIR006854
OG0000231	ASIC011666	ADIR007453
OG0000231	ASIC011669	ADIR007454
OG0000232	ASIC012966	ADIR006899, ADIR016139
OG0000232	ASIC012965	ADIR016138
OG0000233	ASIC011408	ADIR010041
OG0000234	ASIC020664	ADIR000738
OG0000235	ASIC017168, ASIC009033	ADIR002045
OG0000236	ASIC011385	ADIR010024
OG0000236	ASIC008198	ADIR000559
OG0000237	ASIC003194	ADIR015947
OG0000244	ASIC022012	ADIR005063
OG0000244	ASIC022140	ADIR005071
OG0000245	ASIC005515, ASIC005518	ADIR002600
OG0000247	ASIC016691	ADIR007929
OG0000247	ASIC016692	ADIR007928
OG0000247	ASIC019252	ADIR007931
OG0000249	ASIC016050	ADIR001663
OG0000250	ASIC004082	ADIR015773
OG0000250	ASIC004081	ADIR015774
OG0000252	ASIC005046	ADIR001823
OG0000252	ASIC005048	ADIR014170, ADIR014169
OG0000253	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662	ADIR010453, ADIR010451, ADIR010452
OG0000254	ASIC005504	ADIR008307
OG0000255	ASIC020208, ASIC020207	ADIR008975
OG0000256	ASIC012493, ASIC012494	ADIR003548
OG0000256	ASIC012495	ADIR003547
OG0000257	ASIC005738	ADIR004880
OG0000260	ASIC010061	ADIR015800
OG0000260	ASIC010060	ADIR015801, ADIR015802
OG0000260	ASIC010059	ADIR015799
OG0000260	ASIC010058	ADIR015803
OG0000265	ASIC007840	ADIR008235, ADIR008228
OG0000266	ASIC010738	ADIR006770
OG0000266	ASIC004862	ADIR000724
OG0000266	ASIC004863	ADIR000723
OG0000268	ASIC007410	ADIR005898
OG0000268	ASIC007406	ADIR005897
OG0000268	ASIC007405	ADIR005896
OG0000269	ASIC006168	ADIR016218
OG0000270	ASIC018039	ADIR001672, ADIR001921
OG0000272	ASIC015539	ADIR001841, ADIR001852
OG0000272	ASIC011268	ADIR009159
OG0000273	ASIC011513	ADIR009959
OG0000274	ASIC019686	ADIR009412
OG0000275	ASIC014691, ASIC014690, ASIC014692	ADIR010509
OG0000276	ASIC017971	ADIR002281
OG0000277	ASIC008290, ASIC008301	ADIR002721
OG0000278	ASIC016444	ADIR001634, ADIR001650, ADIR001649
OG0000278	ASIC016562	ADIR001631
OG0000279	ASIC012105	ADIR000638, ADIR000639
OG0000280	ASIC014626	ADIR004761
OG0000280	ASIC014625	ADIR004760
OG0000280	ASIC014624	ADIR004759
OG0000285	ASIC005534	ADIR002894
OG0000285	ASIC005544	ADIR015838
OG0000285	ASIC005545	ADIR015839
OG0000286	ASIC015277, ASIC015276	ADIR005642
OG0000287	ASIC022020, ASIC022019	ADIR015574, ADIR015569, ADIR015568
OG0000288	ASIC006693	ADIR006111
OG0000288	ASIC006682	ADIR015495
OG0000289	ASIC007910	ADIR016116
OG0000289	ASIC007909	ADIR016115
OG0000290	ASIC015220	ADIR002288
OG0000290	ASIC015219	ADIR002287
OG0000291	ASIC019903	ADIR007609
OG0000291	ASIC018745, ASIC018743	ADIR015675
OG0000292	ASIC012870	ADIR009319
OG0000292	ASIC012872	ADIR009317
OG0000293	ASIC020292	ADIR000907
OG0000293	ASIC021166	ADIR008608
OG0000294	ASIC000865	ADIR002675
OG0000294	ASIC000867	ADIR002676
OG0000294	ASIC000063	ADIR005219
OG0000295	ASIC014489	ADIR016166, ADIR016165, ADIR016167
OG0000295	ASIC014488	ADIR016169
OG0000295	ASIC014487	ADIR016168
OG0000296	ASIC010617, ASIC010616	ADIR000603
OG0000297	ASIC007550	ADIR015723
OG0000297	ASIC007551	ADIR015724
OG0000298	ASIC019369	ADIR014006
OG0000299	ASIC010575	ADIR010341
OG0000299	ASIC018166, ASIC018167	ADIR002354
OG0000300	ASIC021618	ADIR003683
OG0000302	ASIC007798	ADIR016215
OG0000302	ASIC007799	ADIR008218
OG0000303	ASIC014828	ADIR005584
OG0000303	ASIC014831	ADIR004582
OG0000304	ASIC009070	ADIR010873
OG0000304	ASIC009068	ADIR010872
OG0000305	ASIC008672	ADIR005190, ADIR010835, ADIR010833, ADIR010838, ADIR004507, ADIR004700, ADIR010836, ADIR010839, ADIR004701, ADIR010837, ADIR010841, ADIR010840, ADIR004506, ADIR010834
OG0000306	ASIC017623	ADIR010982
OG0000306	ASIC015935, ASIC007588, ASIC017620	ADIR010985
OG0000313	ASIC012083	ADIR000645
OG0000314	ASIC006080	ADIR011445
OG0000317	ASIC020227	ADIR008367
OG0000318	ASIC003841, ASIC003842	ADIR006689
OG0000318	ASIC007448	ADIR007089
OG0000319	ASIC006535	ADIR004939
OG0000319	ASIC016269	ADIR007826
OG0000320	ASIC000162, ASIC000163, ASIC000164	ADIR005272, ADIR005235
OG0000321	ASIC020752	ADIR015863, ADIR015862
OG0000321	ASIC022307	ADIR011556
OG0000324	ASIC003861	ADIR010906
OG0000324	ASIC003858	ADIR010907
OG0000325	ASIC019850	ADIR006976
OG0000326	ASIC005793	ADIR005565
OG0000326	ASIC005792	ADIR003426
OG0000327	ASIC009969	ADIR004793
OG0000328	ASIC018103	ADIR001956
OG0000328	ASIC018105	ADIR001957
OG0000329	ASIC007335	ADIR006061, ADIR003916
OG0000329	ASIC007336, ASIC007337	ADIR006062
OG0000330	ASIC005379, ASIC005380	ADIR001248
OG0000331	ASIC011490	ADIR009969
OG0000332	ASIC013992	ADIR010199
OG0000332	ASIC011150	ADIR010356
OG0000332	ASIC013991	ADIR010198
OG0000333	ASIC016706	ADIR004150, ADIR004140, ADIR007959, ADIR003780
OG0000334	ASIC005880	ADIR004979
OG0000336	ASIC018899	ADIR004183
OG0000336	ASIC018901	ADIR004182
OG0000336	ASIC018897	ADIR004184
OG0000339	ASIC004207	ADIR009772, ADIR005764, ADIR011730, ADIR010831, ADIR011736, ADIR004467
OG0000339	ASIC000907	ADIR009035, ADIR000773, ADIR009687
OG0000339	ASIC005079	ADIR004339, ADIR009773, ADIR004361, ADIR006767
OG0000340	ASIC007679	ADIR001281, ADIR001282
OG0000340	ASIC007681, ASIC007678	ADIR001283
OG0000341	ASIC006934, ASIC006933	ADIR011233
OG0000344	ASIC020228	ADIR008368
OG0000345	ASIC003978	ADIR000883
OG0000346	ASIC000815	ADIR002727
OG0000347	ASIC000181	ADIR011568
OG0000348	ASIC015321	ADIR005623
OG0000349	ASIC012256, ASIC012253	ADIR008567
OG0000349	ASIC012252	ADIR008566
OG0000351	ASIC011933	ADIR000179
OG0000351	ASIC011922	ADIR000178
OG0000352	ASIC020939	ADIR005371
OG0000352	ASIC020938	ADIR004606
OG0000353	ASIC000954, ASIC011663	ADIR007451
OG0000354	ASIC012572, ASIC012573	ADIR002946
OG0000354	ASIC010034, ASIC010035	ADIR010471
OG0000355	ASIC013915	ADIR006415
OG0000356	ASIC014973	ADIR009183
OG0000357	ASIC012551	ADIR010484, ADIR010483
OG0000357	ASIC012549	ADIR010482
OG0000360	ASIC014813, ASIC014814, ASIC014817	ADIR001997
OG0000361	ASIC018213	ADIR002964
OG0000362	ASIC006698, ASIC020699	ADIR015887
OG0000362	ASIC020698	ADIR015885
OG0000363	ASIC018523	ADIR015546
OG0000363	ASIC018524	ADIR015547
OG0000364	ASIC016659	ADIR016198
OG0000364	ASIC016658	ADIR016196
OG0000365	ASIC002632, ASIC002635	ADIR004665
OG0000366	ASIC009439	ADIR010711
OG0000367	ASIC016760	ADIR003716
OG0000368	ASIC021920	ADIR004446
OG0000369	ASIC009381	ADIR010892
OG0000369	ASIC009390	ADIR010893, ADIR010887
OG0000370	ASIC017718	ADIR000577
OG0000370	ASIC011451	ADIR010058
OG0000371	ASIC016594	ADIR007433
OG0000371	ASIC016597	ADIR007434
OG0000371	ASIC016605	ADIR007436
OG0000372	ASIC009507, ASIC009504	ADIR015735
OG0000372	ASIC009509	ADIR015734
OG0000376	ASIC020524, ASIC006186, ASIC020543	ADIR008524
OG0000377	ASIC000793	ADIR009028, ADIR003905
OG0000378	ASIC016652, ASIC018568, ASIC018560, ASIC000891, ASIC008705, ASIC018569, ASIC021178	ADIR007869, ADIR007846, ADIR007847, ADIR015931, ADIR007858
OG0000380	ASIC009217	ADIR015576, ADIR015577
OG0000381	ASIC017769	ADIR016122
OG0000382	ASIC013910	ADIR011633
OG0000382	ASIC013908	ADIR011634
OG0000383	ASIC008776	ADIR009909
OG0000383	ASIC022329	ADIR009553
OG0000384	ASIC001183, ASIC002780	ADIR011575, ADIR011584
OG0000386	ASIC011708, ASIC011707, ASIC011709	ADIR007470
OG0000387	ASIC016161	ADIR001678
OG0000387	ASIC012957	ADIR006893
OG0000388	ASIC013800, ASIC013799, ASIC013798	ADIR010377, ADIR010378, ADIR010640
OG0000389	ASIC019090	ADIR003638
OG0000390	ASIC021882, ASIC011284	ADIR009143
OG0000391	ASIC015117, ASIC015116	ADIR006703
OG0000391	ASIC017801	ADIR000463
OG0000392	ASIC014072	ADIR015588
OG0000392	ASIC014074	ADIR015589
OG0000392	ASIC014073	ADIR015587
OG0000393	ASIC007949	ADIR008380
OG0000394	ASIC021259	ADIR009815
OG0000395	ASIC009958	ADIR004795
OG0000395	ASIC006771	ADIR000918
OG0000396	ASIC002672	ADIR006188
OG0000396	ASIC002671	ADIR006187
OG0000397	ASIC014575	ADIR005187
OG0000397	ASIC008278	ADIR002696
OG0000398	ASIC003105	ADIR008789
OG0000399	ASIC019199	ADIR001694
OG0000399	ASIC019531	ADIR007577
OG0000400	ASIC014917	ADIR003792
OG0000400	ASIC019623	ADIR003582
OG0000401	ASIC005455	ADIR003313
OG0000401	ASIC004773	ADIR001782
OG0000402	ASIC016791, ASIC017093	ADIR004118, ADIR007659, ADIR007661
OG0000403	ASIC017017	ADIR001185
OG0000403	ASIC018806	ADIR008736
OG0000404	ASIC005999, ASIC005998	ADIR000386
OG0000405	ASIC015146	ADIR016033
OG0000405	ASIC015147	ADIR016035
OG0000407	ASIC017969	ADIR002282
OG0000407	ASIC017965	ADIR009590
OG0000408	ASIC012313	ADIR001544
OG0000409	ASIC006513	ADIR004706, ADIR004703
OG0000409	ASIC006515	ADIR004705
OG0000412	ASIC020401, ASIC020400	ADIR002367
OG0000412	ASIC020403	ADIR002366
OG0000412	ASIC020404	ADIR002365
OG0000413	ASIC019161, ASIC019163, ASIC019162	ADIR015533
OG0000413	ASIC019164	ADIR015532
OG0000414	ASIC014159, ASIC014156	ADIR014057
OG0000414	ASIC014158	ADIR000659
OG0000414	ASIC014155	ADIR000660, ADIR000661
OG0000416	ASIC019239	ADIR007938
OG0000416	ASIC016876	ADIR007755
OG0000417	ASIC015685	ADIR010431
OG0000417	ASIC011176	ADIR005728
OG0000419	ASIC022274, ASIC009238, ASIC009659	ADIR003915, ADIR011741, ADIR005779, ADIR005760
OG0000421	ASIC004562	ADIR016222, ADIR016219, ADIR016220, ADIR016221
OG0000422	ASIC006280	ADIR011739, ADIR014489, ADIR006716, ADIR000769, ADIR005287, ADIR004661, ADIR008945, ADIR005286, ADIR005759, ADIR009557, ADIR005282
OG0000424	ASIC006202, ASIC006235, ASIC006213	ADIR001410
OG0000425	ASIC015316, ASIC015317, ASIC015314, ASIC015315	ADIR005624, ADIR005622
OG0000428	ASIC006206	ADIR015548, ADIR015549
OG0000430	ASIC016909	ADIR003911
OG0000432	ASIC008599	ADIR009396
OG0000432	ASIC005905	ADIR004972
OG0000433	ASIC021068	ADIR003006
OG0000433	ASIC021074	ADIR003007
OG0000434	ASIC018734, ASIC018736, ASIC018738, ASIC018733	ADIR015930, ADIR015929
