Orthogroup	AsinensisChina	AminimusMINIMUS1
OG0000039	ASIC010050	AMIN007947
OG0000039	ASIC010664	AMIN007946, AMIN015959
OG0000040	ASIC015488	AMIN015574
OG0000040	ASIC015490	AMIN015575
OG0000040	ASIC007400	AMIN001806
OG0000040	ASIC006427, ASIC006438	AMIN015590, AMIN015591
OG0000041	ASIC005063	AMIN008776
OG0000041	ASIC005062	AMIN008777
OG0000041	ASIC005684	AMIN003187
OG0000042	ASIC017752, ASIC017751	AMIN005907
OG0000042	ASIC017733, ASIC001192, ASIC017724, ASIC001191	AMIN001699
OG0000042	ASIC015360	AMIN015669, AMIN015668
OG0000043	ASIC004837, ASIC002620, ASIC014455	AMIN014336
OG0000043	ASIC017851, ASIC017852	AMIN006978
OG0000046	ASIC009812	AMIN002797
OG0000048	ASIC019015, ASIC019014, ASIC019017, ASIC019018	AMIN011325
OG0000049	ASIC018403, ASIC018371, ASIC018370	AMIN015888
OG0000049	ASIC018401, ASIC018400	AMIN015889
OG0000049	ASIC017764	AMIN015891
OG0000049	ASIC018404	AMIN015890
OG0000051	ASIC010148	AMIN014521
OG0000052	ASIC018088	AMIN015582
OG0000052	ASIC018082	AMIN015585, AMIN015584
OG0000053	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705	AMIN009403
OG0000053	ASIC020703	AMIN009402
OG0000055	ASIC000721	AMIN002458
OG0000057	ASIC010134, ASIC010137	AMIN006625
OG0000057	ASIC010133	AMIN006626
OG0000057	ASIC010138	AMIN014522
OG0000058	ASIC007323	AMIN001846
OG0000058	ASIC002529	AMIN009389
OG0000059	ASIC019011, ASIC019000	AMIN016229, AMIN016293
OG0000059	ASIC019170	AMIN010123
OG0000060	ASIC010127	AMIN006628
OG0000060	ASIC010126	AMIN006629
OG0000060	ASIC010130, ASIC010129	AMIN014523
OG0000060	ASIC010131	AMIN006627
OG0000061	ASIC015402	AMIN006938
OG0000061	ASIC016621	AMIN007997
OG0000061	ASIC008790, ASIC008789, ASIC008791	AMIN004599
OG0000062	ASIC009092	AMIN001001
OG0000062	ASIC004220	AMIN000304
OG0000063	ASIC021538	AMIN002564
OG0000063	ASIC010842	AMIN003060
OG0000064	ASIC002653	AMIN001329
OG0000064	ASIC002651	AMIN001327
OG0000064	ASIC001146	AMIN003132
OG0000064	ASIC002656	AMIN001330
OG0000064	ASIC002652	AMIN001328
OG0000067	ASIC018220	AMIN015982
OG0000067	ASIC018219	AMIN008926
OG0000068	ASIC011687	AMIN010935
OG0000069	ASIC005652	AMIN003229
OG0000069	ASIC002404	AMIN010636
OG0000069	ASIC005650	AMIN016115
OG0000069	ASIC005651	AMIN016114
OG0000069	ASIC000407	AMIN003907
OG0000071	ASIC008283	AMIN000434
OG0000071	ASIC013586	AMIN005942, AMIN005941, AMIN005945
OG0000072	ASIC019961	AMIN008641
OG0000072	ASIC012496	AMIN000778
OG0000073	ASIC014115	AMIN006336
OG0000074	ASIC016740	AMIN007418
OG0000074	ASIC016736	AMIN007419
OG0000074	ASIC002864	AMIN010517
OG0000075	ASIC021158, ASIC021155, ASIC021154, ASIC021157	AMIN009972
OG0000075	ASIC021159	AMIN009971, AMIN009973
OG0000076	ASIC018187	AMIN007057, AMIN006792, AMIN006791, AMIN008359, AMIN004343
OG0000077	ASIC002587	AMIN015954
OG0000077	ASIC002588, ASIC002586	AMIN015955, AMIN015952
OG0000079	ASIC011457	AMIN015620
OG0000079	ASIC011456, ASIC011455	AMIN015621, AMIN016252
OG0000079	ASIC011459	AMIN015622
OG0000080	ASIC016602	AMIN007961, AMIN007987
OG0000080	ASIC019812	AMIN010419
OG0000080	ASIC019334, ASIC019335	AMIN008322
OG0000081	ASIC007880	AMIN010657
OG0000081	ASIC007881	AMIN010656
OG0000082	ASIC012751, ASIC012750, ASIC012735, ASIC012720, ASIC012721, ASIC015552, ASIC020059, ASIC017041, ASIC015969, ASIC015961, ASIC015947, ASIC015968, ASIC015948, ASIC015980, ASIC015942, ASIC012745, ASIC012746, ASIC012744, ASIC004383, ASIC004382, ASIC012729, ASIC012752, ASIC012731, ASIC004377, ASIC012726, ASIC004379, ASIC004372, ASIC004376, ASIC004368, ASIC014144	AMIN008360
OG0000082	ASIC012727, ASIC012728, ASIC012714	AMIN008381
OG0000085	ASIC009268	AMIN015862
OG0000085	ASIC004322	AMIN015860
OG0000085	ASIC009271, ASIC009270, ASIC009269	AMIN015861, AMIN015859, AMIN015863
OG0000085	ASIC009272	AMIN015858
OG0000086	ASIC009153	AMIN008148
OG0000086	ASIC008317	AMIN000451
OG0000088	ASIC008371, ASIC008372	AMIN009049
OG0000088	ASIC008376	AMIN009053
OG0000089	ASIC019432, ASIC019443, ASIC019421, ASIC019454, ASIC019465	AMIN006914
OG0000090	ASIC019695	AMIN010488
OG0000091	ASIC002279	AMIN002875
OG0000093	ASIC022154, ASIC014826	AMIN007523, AMIN009880, AMIN007575, AMIN014793
OG0000093	ASIC001437	AMIN001012
OG0000096	ASIC015638	AMIN009310
OG0000096	ASIC010647, ASIC010609	AMIN014712
OG0000096	ASIC010449	AMIN010757
OG0000096	ASIC015635	AMIN001255
OG0000097	ASIC021949	AMIN003984
OG0000097	ASIC021947	AMIN003983
OG0000097	ASIC021950	AMIN003985
OG0000101	ASIC001177	AMIN001214
OG0000103	ASIC008406	AMIN014130, AMIN010202
OG0000103	ASIC014017	AMIN006800
OG0000104	ASIC017885, ASIC009066	AMIN001011
OG0000105	ASIC014502, ASIC014526, ASIC014524, ASIC014525, ASIC014503	AMIN004525, AMIN004526, AMIN004527, AMIN004524, AMIN004517, AMIN004457
OG0000107	ASIC005655	AMIN003226
OG0000108	ASIC013421, ASIC013593	AMIN001146
OG0000109	ASIC002584	AMIN007943
OG0000109	ASIC014258	AMIN000020
OG0000111	ASIC012092, ASIC012080, ASIC006082	AMIN005870
OG0000114	ASIC012081	AMIN005869
OG0000115	ASIC017431	AMIN007799
OG0000115	ASIC017432	AMIN007798
OG0000116	ASIC014540	AMIN009560
OG0000119	ASIC016830	AMIN011174
OG0000119	ASIC016832, ASIC016833	AMIN011175
OG0000120	ASIC011544	AMIN015839
OG0000120	ASIC011541	AMIN015840, AMIN015843
OG0000120	ASIC013726	AMIN007643
OG0000121	ASIC001472	AMIN007010
OG0000123	ASIC014634	AMIN001061, AMIN001063
OG0000123	ASIC020219, ASIC020215	AMIN007117
OG0000123	ASIC000783	AMIN006431
OG0000124	ASIC019768	AMIN010446
OG0000124	ASIC019753	AMIN010457
OG0000124	ASIC019769, ASIC019770, ASIC019771	AMIN010445
OG0000127	ASIC008877	AMIN000423
OG0000128	ASIC015309	AMIN009297
OG0000128	ASIC015247	AMIN016286
OG0000128	ASIC015248	AMIN016287
OG0000130	ASIC008146	AMIN000464
OG0000130	ASIC012065	AMIN009807
OG0000131	ASIC012146, ASIC012147, ASIC012148	AMIN009597
OG0000131	ASIC012034	AMIN009593
OG0000132	ASIC014945	AMIN008147
OG0000132	ASIC014946	AMIN008146, AMIN008145
OG0000132	ASIC002822	AMIN009203
OG0000133	ASIC017840, ASIC017841	AMIN006896
OG0000133	ASIC017521	AMIN008836
OG0000133	ASIC017520	AMIN008837
OG0000134	ASIC019149	AMIN010110
OG0000134	ASIC019145	AMIN010108
OG0000134	ASIC019147	AMIN010109
OG0000135	ASIC020740, ASIC020739	AMIN009411
OG0000135	ASIC015458	AMIN009027
OG0000135	ASIC007191	AMIN007093
OG0000136	ASIC007232	AMIN001881
OG0000141	ASIC018448	AMIN011058
OG0000142	ASIC011129, ASIC010497	AMIN003855
OG0000142	ASIC004901	AMIN000952
OG0000142	ASIC014682	AMIN003784
OG0000143	ASIC008422, ASIC008424, ASIC008426	AMIN002682
OG0000144	ASIC001515	AMIN014512
OG0000146	ASIC008229	AMIN000516
OG0000147	ASIC002221	AMIN016141
OG0000147	ASIC002222	AMIN016134, AMIN016136
OG0000147	ASIC002220	AMIN016135
OG0000148	ASIC012007	AMIN009499, AMIN009495, AMIN009493
OG0000149	ASIC018439	AMIN011053
OG0000149	ASIC018436	AMIN016044
OG0000149	ASIC018437	AMIN016042
OG0000149	ASIC018438	AMIN016043
OG0000150	ASIC011027	AMIN011243
OG0000152	ASIC004877	AMIN007972
OG0000154	ASIC004043, ASIC013097	AMIN000711
OG0000154	ASIC013108, ASIC004042, ASIC013051, ASIC004041	AMIN006064
OG0000155	ASIC020577, ASIC020578	AMIN015664, AMIN015665
OG0000157	ASIC010788	AMIN001668
OG0000157	ASIC019241	AMIN010663
OG0000160	ASIC016821	AMIN007249, AMIN006471, AMIN007271, AMIN003417, AMIN010021
OG0000161	ASIC019631	AMIN010046
OG0000162	ASIC018387	AMIN006857
OG0000162	ASIC018379	AMIN006855
OG0000163	ASIC007358, ASIC007362, ASIC007363, ASIC007359	AMIN001822
OG0000164	ASIC021805	AMIN004931
OG0000164	ASIC021916	AMIN004928
OG0000164	ASIC021828	AMIN004930
OG0000165	ASIC020384	AMIN005409
OG0000165	ASIC020381	AMIN004970
OG0000166	ASIC012924	AMIN007525
OG0000171	ASIC004810	AMIN004244
OG0000172	ASIC017527	AMIN008835
OG0000172	ASIC017518	AMIN008838
OG0000172	ASIC017547	AMIN008827
OG0000173	ASIC022306	AMIN007048
OG0000173	ASIC022304	AMIN007047
OG0000174	ASIC009499	AMIN005847
OG0000174	ASIC007084	AMIN015909
OG0000181	ASIC019035	AMIN009918
OG0000181	ASIC019034	AMIN009916, AMIN009915
OG0000182	ASIC020912	AMIN004725
OG0000182	ASIC020913	AMIN016128
OG0000183	ASIC011096	AMIN002688, AMIN003141
OG0000184	ASIC007210	AMIN001894
OG0000184	ASIC007209	AMIN015554, AMIN001896, AMIN015555
OG0000185	ASIC014499, ASIC014498	AMIN008694
OG0000185	ASIC018463, ASIC018459	AMIN011065
OG0000187	ASIC003343	AMIN000726
OG0000188	ASIC009167, ASIC009163, ASIC009169, ASIC009174, ASIC009164, ASIC009173, ASIC009166, ASIC009168, ASIC009162, ASIC009160, ASIC009161	AMIN011638
OG0000189	ASIC020927	AMIN004715
OG0000189	ASIC004914	AMIN003400
OG0000190	ASIC009037	AMIN009845
OG0000190	ASIC004005	AMIN005982
OG0000191	ASIC011618, ASIC011619, ASIC011617	AMIN010963, AMIN010962, AMIN010961
OG0000191	ASIC011616	AMIN010960
OG0000192	ASIC003853	AMIN009154
OG0000192	ASIC021385	AMIN003113
OG0000192	ASIC006813	AMIN016221
OG0000193	ASIC005170, ASIC009034, ASIC004649	AMIN005247, AMIN005248, AMIN015557, AMIN005246, AMIN001550
OG0000194	ASIC007163	AMIN001917
OG0000196	ASIC009091	AMIN001000
OG0000200	ASIC004374	AMIN008384
OG0000200	ASIC004381	AMIN008385
OG0000201	ASIC018737	AMIN011329
OG0000202	ASIC006264	AMIN005702
OG0000204	ASIC018858, ASIC018857	AMIN015947
OG0000204	ASIC018860	AMIN015946
OG0000206	ASIC009932, ASIC009934	AMIN015995
OG0000206	ASIC017261	AMIN009119
OG0000207	ASIC020302	AMIN016067
OG0000207	ASIC020301	AMIN016068
OG0000208	ASIC004793, ASIC004794, ASIC004795	AMIN008403
OG0000210	ASIC005087	AMIN008980
OG0000210	ASIC005086	AMIN008979
OG0000216	ASIC012609, ASIC012610, ASIC012607	AMIN006105
OG0000216	ASIC012608	AMIN006104
OG0000217	ASIC021690	AMIN000805
OG0000217	ASIC007120	AMIN001961
OG0000218	ASIC006964	AMIN006220
OG0000219	ASIC017087	AMIN001093
OG0000220	ASIC021083	AMIN002726
OG0000221	ASIC016222, ASIC016221, ASIC016220	AMIN006274
OG0000221	ASIC019669, ASIC019668	AMIN010066
OG0000222	ASIC014190	AMIN001686
OG0000222	ASIC013415	AMIN001152
OG0000223	ASIC011432	AMIN002292
OG0000224	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365	AMIN003074, AMIN003071
OG0000225	ASIC021356	AMIN003771
OG0000226	ASIC020556	AMIN002722
OG0000228	ASIC019718	AMIN008194, AMIN010472
OG0000228	ASIC019719, ASIC019722, ASIC019723	AMIN010471
OG0000229	ASIC021403	AMIN003127
OG0000229	ASIC004678	AMIN003317
OG0000230	ASIC005288	AMIN009075, AMIN009077
OG0000231	ASIC011666	AMIN010930
OG0000231	ASIC011669	AMIN010931
OG0000232	ASIC012966	AMIN010173, AMIN010175, AMIN016211
OG0000232	ASIC012965	AMIN016210
OG0000233	ASIC011408	AMIN002286
OG0000234	ASIC020664	AMIN006394
OG0000236	ASIC011385	AMIN002269, AMIN002270
OG0000236	ASIC008198	AMIN008944
OG0000237	ASIC003194	AMIN000894
OG0000244	ASIC022012	AMIN009457
OG0000244	ASIC022140	AMIN009466
OG0000245	ASIC005515, ASIC005518	AMIN000228
OG0000246	ASIC021753	AMIN004180
OG0000246	ASIC021751, ASIC021749, ASIC021748	AMIN004771
OG0000247	ASIC016691	AMIN010670
OG0000247	ASIC016692	AMIN010671
OG0000247	ASIC019252	AMIN010668
OG0000248	ASIC017750	AMIN005906
OG0000249	ASIC016050	AMIN011428
OG0000249	ASIC000958	AMIN007370
OG0000250	ASIC004081	AMIN003364
OG0000252	ASIC005046	AMIN008785
OG0000253	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662	AMIN003457
OG0000254	ASIC005504	AMIN000940
OG0000255	ASIC020208, ASIC020207	AMIN016175
OG0000255	ASIC020205, ASIC020206	AMIN016174
OG0000256	ASIC012493, ASIC012494	AMIN000774
OG0000256	ASIC012495	AMIN000776, AMIN000777, AMIN000775
OG0000257	ASIC005738	AMIN001434
OG0000260	ASIC010058	AMIN003553
OG0000263	ASIC001150	AMIN014004
OG0000265	ASIC007840	AMIN010596, AMIN010587
OG0000266	ASIC010738	AMIN001628
OG0000266	ASIC004862	AMIN006383
OG0000266	ASIC004863	AMIN006382
OG0000267	ASIC021746	AMIN004770
OG0000268	ASIC007410	AMIN007059
OG0000268	ASIC007406	AMIN007060
OG0000268	ASIC007405	AMIN007061
OG0000269	ASIC006168	AMIN016284
OG0000270	ASIC018039	AMIN011416, AMIN008623, AMIN015971
OG0000271	ASIC006601	AMIN001411
OG0000272	ASIC015539	AMIN008763
OG0000272	ASIC011268	AMIN008100
OG0000273	ASIC011512	AMIN015825
OG0000273	ASIC011513	AMIN015824
OG0000273	ASIC011515	AMIN002200
OG0000274	ASIC019686	AMIN006742
OG0000276	ASIC017971	AMIN008276
OG0000277	ASIC008290, ASIC008301	AMIN000409
OG0000278	ASIC016444	AMIN011462, AMIN011446
OG0000278	ASIC016562	AMIN011465
OG0000279	ASIC012105	AMIN014755
OG0000280	ASIC014626	AMIN006822
OG0000280	ASIC014625	AMIN006823
OG0000280	ASIC014624	AMIN006824
OG0000285	ASIC005533, ASIC005534	AMIN002977
OG0000285	ASIC005544	AMIN015604
OG0000285	ASIC005545	AMIN015606
OG0000286	ASIC015277, ASIC015276	AMIN001250
OG0000287	ASIC022020, ASIC022019	AMIN015655, AMIN015654, AMIN015652, AMIN015653
OG0000288	ASIC006693, ASIC006682	AMIN001788
OG0000289	ASIC007910	AMIN009186
OG0000290	ASIC015220	AMIN015559
OG0000290	ASIC015219	AMIN008540, AMIN015558
OG0000291	ASIC019903	AMIN007862
OG0000291	ASIC018745	AMIN008053
OG0000291	ASIC018743	AMIN008052
OG0000292	ASIC012870	AMIN006672
OG0000292	ASIC012872	AMIN006670
OG0000293	ASIC020292	AMIN005398
OG0000294	ASIC000865, ASIC000867	AMIN005760
OG0000294	ASIC000063	AMIN005761
OG0000295	ASIC014489	AMIN008699
OG0000295	ASIC014488	AMIN016301
OG0000295	ASIC014487	AMIN016300
OG0000296	ASIC010617, ASIC010616	AMIN006011
OG0000297	ASIC007550	AMIN015904
OG0000297	ASIC007551	AMIN015903
OG0000299	ASIC010575	AMIN002531
OG0000299	ASIC018166, ASIC018167	AMIN008559
OG0000300	ASIC021618	AMIN010132
OG0000302	ASIC007798	AMIN016306
OG0000302	ASIC007799	AMIN010574
OG0000303	ASIC014828	AMIN000130
OG0000303	ASIC014831	AMIN004553
OG0000304	ASIC009070	AMIN001010
OG0000305	ASIC008672	AMIN007189
OG0000306	ASIC017623	AMIN006304
OG0000311	ASIC002525	AMIN000004
OG0000313	ASIC012083	AMIN009818
OG0000314	ASIC006080	AMIN009817
OG0000317	ASIC020227	AMIN004815
OG0000318	ASIC003841, ASIC003842	AMIN007124, AMIN007158
OG0000318	ASIC007449	AMIN007123
OG0000318	ASIC007448	AMIN007122
OG0000319	ASIC006535	AMIN001372
OG0000319	ASIC006536	AMIN001373
OG0000319	ASIC016269	AMIN011132
OG0000321	ASIC020752	AMIN015801, AMIN015802
OG0000321	ASIC022307	AMIN007046
OG0000324	ASIC003861	AMIN009157
OG0000324	ASIC003858	AMIN009156
OG0000325	ASIC019850	AMIN010396
OG0000326	ASIC005793	AMIN004016
OG0000326	ASIC005792	AMIN003194
OG0000327	ASIC009969	AMIN006782
OG0000328	ASIC018103	AMIN008593
OG0000328	ASIC018105	AMIN008592
OG0000329	ASIC007335	AMIN001843
OG0000329	ASIC007337	AMIN001842
OG0000330	ASIC005378	AMIN005466
OG0000330	ASIC005379, ASIC005380	AMIN005465
OG0000331	ASIC011490	AMIN015827
OG0000331	ASIC011489	AMIN015828, AMIN015829
OG0000332	ASIC013992	AMIN003653
OG0000332	ASIC011150	AMIN003550
OG0000332	ASIC013991	AMIN003652
OG0000333	ASIC016706	AMIN010628, AMIN010619
OG0000334	ASIC005880	AMIN001560
OG0000336	ASIC018897	AMIN011337
OG0000340	ASIC007679	AMIN005724, AMIN005725
OG0000340	ASIC007681, ASIC007678	AMIN005726
OG0000340	ASIC007680	AMIN005723
OG0000341	ASIC006932	AMIN006202
OG0000341	ASIC006934, ASIC006933	AMIN006203
OG0000344	ASIC020228	AMIN004814
OG0000345	ASIC003978	AMIN005741
OG0000346	ASIC000815	AMIN002478
OG0000346	ASIC021948	AMIN016268
OG0000347	ASIC000181	AMIN007036
OG0000348	ASIC015321	AMIN009292
OG0000348	ASIC015322, ASIC015323	AMIN009291
OG0000349	ASIC012256, ASIC012253	AMIN010714
OG0000349	ASIC012252	AMIN015612
OG0000350	ASIC002433	AMIN015944
OG0000351	ASIC011933	AMIN008878
OG0000352	ASIC020939, ASIC020938	AMIN004703
OG0000353	ASIC000954, ASIC011663	AMIN010928
OG0000354	ASIC012572, ASIC012573	AMIN003843
OG0000354	ASIC010034, ASIC010035	AMIN003437
OG0000355	ASIC013915	AMIN006601
OG0000356	ASIC014973	AMIN008127
OG0000356	ASIC007049	AMIN004156
OG0000357	ASIC012551	AMIN003425
OG0000357	ASIC012549	AMIN003426
OG0000360	ASIC014813, ASIC014814, ASIC014817	AMIN004393
OG0000361	ASIC018213	AMIN000969
OG0000362	ASIC006698, ASIC020699	AMIN016016
OG0000362	ASIC020698	AMIN016013
OG0000363	ASIC018524	AMIN011090
OG0000364	ASIC016659	AMIN011281
OG0000365	ASIC002632, ASIC002635	AMIN001318
OG0000366	ASIC009439	AMIN003044
OG0000367	ASIC016760	AMIN007407
OG0000368	ASIC021920	AMIN004899
OG0000369	ASIC009381	AMIN000991
OG0000369	ASIC009390	AMIN000990, AMIN000995
OG0000370	ASIC017718	AMIN001702
OG0000370	ASIC011451	AMIN015641
OG0000371	ASIC016594	AMIN007985
OG0000371	ASIC016597	AMIN007986
OG0000371	ASIC016605	AMIN007988
OG0000372	ASIC009507, ASIC009504, ASIC009508	AMIN005843
OG0000376	ASIC020524, ASIC006186, ASIC020543	AMIN000001
OG0000378	ASIC016652, ASIC018568, ASIC018560, ASIC000891, ASIC008705, ASIC018569, ASIC021178	AMIN011133, AMIN016045, AMIN016047
OG0000380	ASIC009217	AMIN015545, AMIN015546
OG0000381	ASIC017769	AMIN016125
OG0000382	ASIC013910	AMIN006598
OG0000382	ASIC013908	AMIN006597
OG0000383	ASIC008776	AMIN003564
OG0000383	ASIC022329	AMIN006915
OG0000384	ASIC002781	AMIN007029
OG0000384	ASIC001183, ASIC002780	AMIN007027
OG0000386	ASIC011708, ASIC011707, ASIC011709	AMIN010945
OG0000387	ASIC016161	AMIN011411
OG0000387	ASIC012957	AMIN010181
OG0000388	ASIC013800, ASIC013799, ASIC013798	AMIN003526, AMIN003525
OG0000389	ASIC019090	AMIN010092
OG0000391	ASIC015116	AMIN004615
OG0000391	ASIC017801	AMIN006874
OG0000392	ASIC014072	AMIN016121
OG0000392	ASIC014074	AMIN016119
OG0000392	ASIC014073	AMIN016120
OG0000393	ASIC007949	AMIN000710
OG0000394	ASIC021259	AMIN015659
OG0000394	ASIC021258	AMIN015658
OG0000395	ASIC009958	AMIN006779
OG0000395	ASIC006771	AMIN005116
OG0000396	ASIC002672	AMIN009642
OG0000396	ASIC002671	AMIN009640, AMIN009641
OG0000397	ASIC014575	AMIN009574
OG0000397	ASIC008278	AMIN000431
OG0000398	ASIC003105	AMIN015525, AMIN010788
OG0000399	ASIC019199	AMIN011393
OG0000399	ASIC019531	AMIN007830
OG0000400	ASIC014917	AMIN007277
OG0000400	ASIC019623	AMIN010038
OG0000401	ASIC005455	AMIN003805
OG0000401	ASIC004773	AMIN008417
OG0000402	ASIC016791, ASIC017093	AMIN005358, AMIN007892
OG0000403	ASIC017017	AMIN005734
OG0000403	ASIC018806	AMIN015648
OG0000404	ASIC005999	AMIN001303
OG0000404	ASIC005998	AMIN001304
OG0000405	ASIC015146	AMIN016076
OG0000405	ASIC015147	AMIN016073
OG0000407	ASIC017969	AMIN008277
OG0000407	ASIC017965	AMIN009328
OG0000408	ASIC012313	AMIN007332
OG0000408	ASIC012311	AMIN007333
OG0000409	ASIC006513	AMIN001360, AMIN001358
OG0000409	ASIC006515	AMIN001359
OG0000411	ASIC013281	AMIN016278
OG0000412	ASIC020403	AMIN005383
OG0000412	ASIC020404	AMIN005384
OG0000413	ASIC019161, ASIC019163, ASIC019162	AMIN010118
OG0000413	ASIC019164	AMIN010119
OG0000414	ASIC009497	AMIN005852
OG0000414	ASIC014159, ASIC014156	AMIN005894
OG0000416	ASIC019239	AMIN010661
OG0000416	ASIC016876	AMIN011205
OG0000417	ASIC015685	AMIN003479
OG0000417	ASIC011176	AMIN004992
OG0000419	ASIC022274, ASIC009238, ASIC009659	AMIN005868
OG0000421	ASIC004562	AMIN003299
OG0000422	ASIC006280	AMIN000974, AMIN005879
OG0000424	ASIC006202, ASIC006235, ASIC006213	AMIN005584
OG0000425	ASIC015316, ASIC015317, ASIC015314, ASIC015315	AMIN009294
OG0000428	ASIC006206	AMIN015596, AMIN015597
OG0000430	ASIC016909	AMIN006466
OG0000432	ASIC008599	AMIN006725
OG0000432	ASIC005905	AMIN001567
OG0000433	ASIC021068	AMIN002730
OG0000433	ASIC021074	AMIN002729
OG0000434	ASIC018734, ASIC018736, ASIC018738, ASIC018733	AMIN008047
OG0000435	ASIC005962	AMIN009195
OG0000437	ASIC002921, ASIC002923	AMIN003136
OG0000438	ASIC002922	AMIN003139, AMIN003137
OG0000439	ASIC017605	AMIN006296
OG0000439	ASIC017590	AMIN006294
OG0000440	ASIC013302	AMIN004661
OG0000440	ASIC013280	AMIN004662
OG0000441	ASIC000926, ASIC007475, ASIC000925, ASIC007491, ASIC002994	AMIN007959
OG0000441	ASIC005125	AMIN002140
OG0000443	ASIC020916	AMIN004723
OG0000443	ASIC019892	AMIN007767
OG0000445	ASIC015511	AMIN008996
