Orthogroup	AsinensisChina	Aalbopictus_AalbF5
OG0000061	ASIC008791	LOC109412270, LOC109397255
OG0000062	ASIC004218, ASIC009092, ASIC004219, ASIC004220, ASIC013583, ASIC013564, ASIC015598, ASIC015597	LOC115259541, LOC134285567
OG0000063	ASIC021538	LOC109399308, LOC109399296
OG0000063	ASIC010842	LOC109405725, LOC109413826
OG0000064	ASIC014147	LOC109424200, LOC109424199
OG0000064	ASIC002653, ASIC002651	LOC109407215, LOC109407216, LOC109405887, LOC109424210, LOC109412709, LOC134285929
OG0000064	ASIC001146	LOC109433412
OG0000065	ASIC011678	LOC134284259, LOC134290412, LOC134290665, LOC134290356, LOC134290274, LOC134288390, LOC134290076, LOC134288396, LOC134288631, LOC109419482, LOC134284218, LOC134290511, LOC115261638, LOC134285522, LOC134287084, LOC134289586, LOC109623010, LOC134286802, LOC134284297, LOC115269635, LOC134284260, LOC134290413, LOC134285126, LOC134286103, LOC134290566, LOC134285540, LOC134285727, LOC134288484, LOC134288524, LOC134286801, LOC134291133, LOC134290567, LOC134289632, LOC134289587, LOC134290036, LOC134285403
OG0000067	ASIC018220	LOC109426033, LOC109426036
OG0000067	ASIC018219	LOC109426037
OG0000068	ASIC011681	LOC109399171
OG0000068	ASIC011682	LOC109413965, LOC109413968, LOC109398683, LOC109405051, LOC109413969
OG0000068	ASIC011687	LOC109399209
OG0000068	ASIC011679	LOC109414002
OG0000069	ASIC005652	LOC134287966
OG0000069	ASIC002404, ASIC005650, ASIC005651, ASIC000407	LOC109420427, LOC115257481, LOC115257619
OG0000071	ASIC008283	LOC109417603, LOC109402034
OG0000071	ASIC013586	LOC109419909
OG0000072	ASIC019961	LOC109418556
OG0000072	ASIC012496	LOC115261630
OG0000073	ASIC014115	LOC109433130
OG0000074	ASIC016739, ASIC016738, ASIC016740, ASIC016736, ASIC016737, ASIC016735	LOC109399202, LOC109399162
OG0000074	ASIC002864	LOC109399205
OG0000075	ASIC021158, ASIC021155, ASIC021154, ASIC021157, ASIC021159	LOC109424138, LOC109430779, LOC109424181, LOC115263087, LOC109424139, LOC115263088, LOC115263086, LOC115263362
OG0000076	ASIC018187	LOC109433173, LOC109433174
OG0000077	ASIC002587	LOC109428459
OG0000077	ASIC002588, ASIC002586	LOC115267608, LOC115267631, LOC115267607
OG0000079	ASIC011457	LOC109422640
OG0000079	ASIC011456, ASIC011455	LOC109422560, LOC109399710
OG0000079	ASIC011459	LOC109418231, LOC109428005, LOC109422721
OG0000080	ASIC016601	LOC115265252, LOC109417572, LOC109417573
OG0000080	ASIC016602	LOC109417818
OG0000080	ASIC019334, ASIC019335	LOC109420119, LOC109420142
OG0000081	ASIC007880	LOC115265020
OG0000081	ASIC007878, ASIC007850, ASIC007872	LOC109422446, LOC115265018, LOC109422423, LOC115265016
OG0000081	ASIC007881	LOC109425727
OG0000082	ASIC018896, ASIC012751, ASIC012750, ASIC012735, ASIC012720, ASIC012721, ASIC015552, ASIC020059, ASIC017041, ASIC015969, ASIC015961, ASIC015947, ASIC015968, ASIC015948, ASIC015980, ASIC015942, ASIC012745, ASIC012746, ASIC012744, ASIC004383, ASIC004382, ASIC012729, ASIC012752, ASIC012731, ASIC004377, ASIC012726, ASIC004379, ASIC004372, ASIC004376, ASIC004368, ASIC014144, ASIC012727, ASIC012728, ASIC012714	LOC109408162
OG0000085	ASIC009268, ASIC004322, ASIC009271, ASIC009270, ASIC009269, ASIC009272	LOC109412325, LOC109422704, LOC109422705, LOC109424438, LOC115254680
OG0000086	ASIC009153	LOC109402934
OG0000086	ASIC008317	LOC115258102, LOC109405184, LOC109426350, LOC115254457
OG0000088	ASIC008371, ASIC008372, ASIC008376	LOC109433460, LOC115267981, LOC109433519, LOC109418404, LOC109419766
OG0000089	ASIC019476	LOC109426269, LOC134289925
OG0000089	ASIC019432, ASIC019443, ASIC019421, ASIC019454, ASIC019465	LOC134289926
OG0000090	ASIC019694	LOC109399239
OG0000090	ASIC019695	LOC109429051
OG0000091	ASIC002280	LOC115260834, LOC115260167, LOC109398898, LOC115266378, LOC109414571
OG0000091	ASIC002279	LOC109429227
OG0000096	ASIC015638	LOC109422254
OG0000096	ASIC010647, ASIC010609	LOC109414298
OG0000096	ASIC010449	LOC115264212
OG0000096	ASIC015635	LOC109422250
OG0000097	ASIC021951	LOC109622082
OG0000097	ASIC021949, ASIC021947, ASIC021950	LOC109433277
OG0000098	ASIC020759, ASIC013848, ASIC013849, ASIC020756, ASIC020757, ASIC020760, ASIC020758, ASIC020762, ASIC020761, ASIC020755	LOC115258660, LOC109419553, LOC109409374, LOC115258766, LOC115260917
OG0000101	ASIC004494	LOC134290421, LOC134283965, LOC134286528, LOC134286992, LOC134285704, LOC134288420, LOC115256751, LOC134291238, LOC134285106, LOC134285342, LOC134290922, LOC134290420, LOC134290133, LOC134290194, LOC134286036, LOC134286986, LOC134290593, LOC134288995, LOC134290578, LOC134290574, LOC134291565, LOC134290482, LOC134290278, LOC134286210, LOC134286991, LOC134286570, LOC134288034
OG0000104	ASIC017885, ASIC009066, ASIC009065	LOC109410832, LOC109427506, LOC109427507
OG0000107	ASIC005646, ASIC005645, ASIC005655	LOC134285144, LOC115269113, LOC115269114, LOC109397170, LOC134285135, LOC134285132, LOC134285129, LOC134287048, LOC134284153, LOC115264363, LOC115265698
OG0000108	ASIC013421, ASIC013593	LOC109429333, LOC109421068, LOC109429251, LOC109421067, LOC109429469, LOC115258785, LOC109421073, LOC109428607, LOC109421072
OG0000109	ASIC002584	LOC134288467, LOC109417980
OG0000109	ASIC014258	LOC109402397, LOC134284738
OG0000109	ASIC014260	LOC109402396, LOC109402395
OG0000109	ASIC014256	LOC109402380
OG0000111	ASIC012092, ASIC012080, ASIC006082	LOC115265527, LOC115253427, LOC115265528, LOC115265526, LOC109432478, LOC115253746
OG0000114	ASIC012081	LOC109421190, LOC109432449, LOC115259293, LOC109432455, LOC109432439, LOC109421209
OG0000115	ASIC017431	LOC109413498
OG0000115	ASIC017432	LOC109410773
OG0000116	ASIC006403	LOC115262061
OG0000116	ASIC006402	LOC115262073
OG0000116	ASIC014540	LOC109400294
OG0000119	ASIC016830	LOC109409689
OG0000119	ASIC016832, ASIC016833	LOC109409692, LOC109409691, LOC109409690, LOC134287661
OG0000120	ASIC011544	LOC109402840, LOC109406119, LOC115261111
OG0000120	ASIC011541	LOC115261112
OG0000121	ASIC001472	LOC134286545, LOC134290432, LOC134286563, LOC134289163, LOC134286440, LOC134290915, LOC134285234, LOC134290209, LOC134286682, LOC134288272, LOC134286435, LOC134285985, LOC134290069, LOC134289513, LOC115258926, LOC115257931, LOC115265262, LOC134288935, LOC134284302, LOC115269770, LOC115259067, LOC115268810, LOC115261835
OG0000127	ASIC008877	LOC109399383, LOC109430899, LOC115263186, LOC115263188, LOC115263189, LOC109411349
OG0000128	ASIC015309	LOC109397004
OG0000128	ASIC015247, ASIC015248	LOC115262796
OG0000129	ASIC008763, ASIC008762	LOC109428071, LOC109418295, LOC109418292, LOC109418299
OG0000130	ASIC008146	LOC109426323
OG0000130	ASIC012064, ASIC012065	LOC109421326
OG0000131	ASIC012145	LOC109420718
OG0000131	ASIC012146	LOC109419859
OG0000131	ASIC012148	LOC109420609
OG0000131	ASIC012034	LOC109420605
OG0000132	ASIC014945, ASIC014943	LOC109397421
OG0000133	ASIC017840, ASIC017841	LOC109425940
OG0000133	ASIC017521, ASIC017520	LOC109433309, LOC134291485
OG0000134	ASIC019149	LOC115267595, LOC109399470
OG0000134	ASIC019146, ASIC019145, ASIC019147	LOC115267583
OG0000136	ASIC007232	LOC109401827, LOC109412093, LOC109404625
OG0000140	ASIC017498	LOC115260084
OG0000141	ASIC018449, ASIC018448, ASIC019151, ASIC018446	LOC115266541, LOC109426247, LOC115266539, LOC109411169, LOC109411161, LOC109426249, LOC109426250
OG0000142	ASIC011129, ASIC010497	LOC109401436, LOC109423496
OG0000142	ASIC004901	LOC109423512
OG0000142	ASIC014682	LOC109423498
OG0000143	ASIC008426	LOC109422665, LOC109401117
OG0000144	ASIC015934	LOC134288014
OG0000144	ASIC021886	LOC109404515, LOC109398775, LOC134290966, LOC109406348, LOC109397614, LOC134290793, LOC115260148, LOC134290866, LOC115259426, LOC134289714, LOC115264397
OG0000146	ASIC008229	LOC109406196, LOC109406203
OG0000147	ASIC002221, ASIC002222, ASIC002220	LOC109402061, LOC109421511, LOC109421512
OG0000148	ASIC007934	LOC115265114
OG0000148	ASIC012007	LOC109421171
OG0000149	ASIC018439	LOC109426259
OG0000149	ASIC018436	LOC109410290
OG0000149	ASIC018437	LOC109426253
OG0000149	ASIC018438	LOC109426260
OG0000150	ASIC011027	LOC115266551
OG0000151	ASIC009913, ASIC009914	LOC109412232
OG0000152	ASIC004877	LOC109408684, LOC109408682
OG0000154	ASIC004043, ASIC013097, ASIC013108, ASIC004042, ASIC013051, ASIC004041	LOC109421560, LOC109409214, LOC109409172
OG0000155	ASIC020577, ASIC020578	LOC109416379, LOC109430008, LOC115263419, LOC109430000, LOC115263405, LOC109416399
OG0000157	ASIC010788	LOC109421165
OG0000157	ASIC019241	LOC109417943, LOC109426743, LOC109426604, LOC109426606, LOC109426631, LOC109426654, LOC115265692, LOC109426605
OG0000160	ASIC016821	LOC134290104, LOC109398789, LOC109422909, LOC115268786, LOC115269191, LOC109420971, LOC134284944
OG0000161	ASIC019631	LOC115263538, LOC109415748
OG0000162	ASIC018387	LOC109416740
OG0000162	ASIC018375	LOC115257490
OG0000162	ASIC018379	LOC109416738
OG0000162	ASIC018380	LOC109403420
OG0000163	ASIC007358	LOC115264896
OG0000163	ASIC007362	LOC109408545
OG0000163	ASIC007363, ASIC007359	LOC109429593
OG0000164	ASIC021805	LOC134285492
OG0000164	ASIC021916	LOC109430385
OG0000164	ASIC021828	LOC134285493
OG0000165	ASIC020380	LOC115256356, LOC109421988
OG0000165	ASIC020379, ASIC020381	LOC115256354
OG0000166	ASIC012923	LOC109397863
OG0000166	ASIC012924	LOC109418973
OG0000166	ASIC012921	LOC109418976
OG0000171	ASIC004812, ASIC004811	LOC134289645
OG0000171	ASIC004810	LOC134289646
OG0000172	ASIC017527	LOC109414400
OG0000172	ASIC017517, ASIC017518	LOC109410572
OG0000172	ASIC017545, ASIC017548, ASIC017547	LOC109421132
OG0000174	ASIC007084	LOC115256529
OG0000181	ASIC019035, ASIC019034	LOC109398251, LOC109398238, LOC109419743, LOC109398234, LOC109398239, LOC109419750
OG0000182	ASIC020912	LOC115259581
OG0000182	ASIC020913	LOC115253802, LOC109400865
OG0000183	ASIC011096	LOC115256357, LOC109407271, LOC109402674, LOC109405890
OG0000184	ASIC007210	LOC109411770, LOC109416825
OG0000184	ASIC007209	LOC109411788
OG0000185	ASIC014499, ASIC014498	LOC109401553, LOC109402898, LOC109420356
OG0000185	ASIC018463, ASIC018459	LOC109419367
OG0000187	ASIC003343	LOC109415488
OG0000188	ASIC009169	LOC134292254
OG0000189	ASIC020927	LOC109398456
OG0000189	ASIC004914	LOC115264694, LOC115264672
OG0000190	ASIC009037	LOC134287929
OG0000190	ASIC004005	LOC109429277
OG0000191	ASIC011618, ASIC011619, ASIC011617, ASIC011616	LOC109425624, LOC115269665
OG0000192	ASIC003853	LOC115268599
OG0000192	ASIC021385	LOC109407097
OG0000192	ASIC006813	LOC109424591
OG0000193	ASIC005170, ASIC009034, ASIC004649	LOC109418366, LOC109426146, LOC109426147, LOC109417593
OG0000194	ASIC007163	LOC115268005
OG0000196	ASIC009091	LOC109417644, LOC109410244, LOC115255412, LOC115255411
OG0000200	ASIC004374	LOC109415401
OG0000200	ASIC004381	LOC109410678
OG0000201	ASIC018737	LOC115269915, LOC115270394
OG0000201	ASIC018748	LOC109622197
OG0000202	ASIC005159	LOC109428440, LOC109428339
OG0000203	ASIC022196	LOC109426936
OG0000203	ASIC022191, ASIC022195	LOC109623341, LOC109426935
OG0000203	ASIC022193, ASIC022189	LOC109623338
OG0000204	ASIC018858, ASIC018857	LOC109425685, LOC109422978
OG0000204	ASIC018860	LOC109422968
OG0000205	ASIC007148	LOC109411753
OG0000206	ASIC009932, ASIC009934, ASIC009931, ASIC009933	LOC109429344, LOC109428387, LOC109420951
OG0000206	ASIC017261	LOC109414302
OG0000207	ASIC020302, ASIC020301	LOC109415428, LOC109402620, LOC109402627, LOC109406592, LOC115253652, LOC109402626
OG0000209	ASIC018130	LOC109403367
OG0000210	ASIC005087, ASIC005086	LOC109402346
OG0000217	ASIC021690	LOC109419237
OG0000217	ASIC007120	LOC109431380
OG0000217	ASIC021693	LOC109419238
OG0000218	ASIC006963, ASIC006964	LOC109421387
OG0000219	ASIC017087	LOC109406989, LOC109397917, LOC109406984, LOC109397915, LOC109406985, LOC109397914, LOC109406992
OG0000220	ASIC021083	LOC109622226, LOC109623014
OG0000220	ASIC021081	LOC109409085
OG0000221	ASIC016222, ASIC016221, ASIC016220	LOC109410283, LOC109410284
OG0000221	ASIC019669, ASIC019668	LOC109430808, LOC134283951, LOC109424170
OG0000222	ASIC014190	LOC109431412
OG0000222	ASIC014179	LOC109402226, LOC109402225, LOC115267223
OG0000223	ASIC011432	LOC109422010
OG0000224	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365	LOC109414163
OG0000225	ASIC021356	LOC109405426, LOC115257288
OG0000226	ASIC020560, ASIC020556	LOC115267924
OG0000229	ASIC021403, ASIC004678	LOC109433439
OG0000230	ASIC005288	LOC109418314, LOC115262116, LOC115254047, LOC115262033, LOC109410481, LOC109418283, LOC109408717
OG0000231	ASIC011666, ASIC011669	LOC109413995, LOC109413996, LOC109418733, LOC109418736, LOC109418734, LOC109406485
OG0000232	ASIC012966, ASIC012965	LOC115270106, LOC109404909
OG0000233	ASIC011408	LOC109420036, LOC109420035
OG0000234	ASIC020664	LOC109425152
OG0000235	ASIC017168, ASIC009033	LOC109427843, LOC115264006, LOC109431305, LOC115268708, LOC109407713
OG0000236	ASIC011385, ASIC008198, ASIC015967	LOC109621447
OG0000237	ASIC003194	LOC134287958
OG0000244	ASIC022012	LOC109418168
OG0000244	ASIC022140	LOC109419321
OG0000245	ASIC005515, ASIC005518	LOC109622453, LOC134285569
OG0000246	ASIC021753, ASIC021752, ASIC021751, ASIC021749, ASIC021748	LOC109413319
OG0000247	ASIC016691, ASIC016692	LOC109426621, LOC109426620
OG0000247	ASIC019252	LOC115265701
OG0000248	ASIC017750	LOC115255070, LOC109417081, LOC109420539
OG0000249	ASIC016050, ASIC000958	LOC115269854, LOC109424258, LOC109428726, LOC109424255, LOC109430243
OG0000250	ASIC004082	LOC109406934
OG0000250	ASIC004081	LOC109427354
OG0000252	ASIC005046	LOC109621456, LOC109621460, LOC115267995
OG0000252	ASIC005048	LOC109403797, LOC115263127
OG0000253	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662	LOC109402465, LOC115264085, LOC109402468, LOC109423550, LOC115264289
OG0000254	ASIC005504	LOC109399939
OG0000255	ASIC020208, ASIC020207, ASIC020205, ASIC020206	LOC109413823, LOC109409608, LOC109409607, LOC115255265, LOC109405777
OG0000256	ASIC012491, ASIC012495	LOC115261575, LOC109405995
OG0000257	ASIC005738	LOC134287573, LOC109421507, LOC109621297, LOC109421508, LOC109622956
OG0000260	ASIC010061, ASIC010060, ASIC010059, ASIC010058	LOC109428141
OG0000263	ASIC006278	LOC134290506, LOC134291270, LOC134291726, LOC134288355
OG0000263	ASIC001150, ASIC015353	LOC134286972
OG0000265	ASIC007840	LOC115253485, LOC109432322
OG0000266	ASIC010738	LOC109405673
OG0000266	ASIC004862, ASIC004863	LOC109401438
OG0000267	ASIC021746	LOC109404182
OG0000267	ASIC021770	LOC115253692
OG0000268	ASIC007410, ASIC007406	LOC109398343
OG0000268	ASIC007405	LOC115262167
OG0000269	ASIC006168	LOC109430310, LOC109430352, LOC109412453
OG0000270	ASIC018039	LOC109400467
OG0000271	ASIC006601	LOC109425168, LOC109425169
OG0000272	ASIC015539	LOC134291341, LOC109418728
OG0000272	ASIC011268	LOC134291363
OG0000273	ASIC011512	LOC109431749
OG0000273	ASIC011515	LOC109401498
OG0000274	ASIC019686	LOC109399255, LOC109399254
OG0000274	ASIC020495	LOC109401921
OG0000275	ASIC014691, ASIC014690, ASIC014692	LOC134287955, LOC109412830, LOC134287948, LOC109412883
OG0000276	ASIC017971	LOC109424686, LOC109424707, LOC109424689, LOC134284290, LOC109424688
OG0000277	ASIC008290, ASIC008301	LOC134291511, LOC134284201
OG0000278	ASIC016444, ASIC016562	LOC109423828
OG0000279	ASIC012105	LOC115265811, LOC109421231, LOC109432444, LOC109432443
OG0000280	ASIC014626, ASIC014625	LOC109398599
OG0000285	ASIC005533, ASIC005534	LOC109412583
OG0000285	ASIC005544, ASIC005545	LOC109412586
OG0000286	ASIC015277, ASIC015276	LOC134288579, LOC109419311, LOC115265212, LOC109419306, LOC109419312, LOC109399258, LOC134291529
OG0000287	ASIC022020, ASIC022019	LOC109418186
OG0000288	ASIC006693, ASIC006682	LOC109622664, LOC109429650, LOC109407355, LOC109417774
OG0000289	ASIC007910, ASIC007909	LOC134289615, LOC134290940, LOC134289612
OG0000290	ASIC015220, ASIC015219	LOC109407690, LOC134283955, LOC115268390
OG0000291	ASIC019903	LOC109399285
OG0000291	ASIC018745, ASIC018743	LOC115254554
OG0000292	ASIC012870	LOC134287964
OG0000292	ASIC012872	LOC134287045
OG0000293	ASIC020292	LOC109402618
OG0000293	ASIC021166	LOC109433336, LOC109402619
OG0000294	ASIC000865, ASIC000867	LOC109421880
OG0000294	ASIC000063	LOC109421875
OG0000295	ASIC014489, ASIC014488, ASIC014487	LOC109411828, LOC115264669, LOC109411823, LOC109411826, LOC115254136
OG0000297	ASIC007550	LOC115256454, LOC115256453
OG0000297	ASIC007551	LOC109427517
OG0000298	ASIC019369	LOC109403440
OG0000299	ASIC010575	LOC109420459
OG0000299	ASIC018166, ASIC018167	LOC109426283, LOC109426282
OG0000300	ASIC021618	LOC115264061
OG0000302	ASIC007798	LOC109409795, LOC109412825
OG0000302	ASIC007799	LOC109409797
OG0000303	ASIC014829	LOC109423432
OG0000304	ASIC009070	LOC115266210, LOC109622152
OG0000304	ASIC009068	LOC115255403
OG0000305	ASIC008672	LOC109417728
OG0000306	ASIC017623, ASIC015935, ASIC007588, ASIC017620	LOC109427899, LOC115263988
OG0000311	ASIC002525	LOC134284264, LOC134287032, LOC134288719
OG0000317	ASIC020227	LOC109415509, LOC109400841, LOC109415510, LOC115261320
OG0000318	ASIC003841, ASIC003842, ASIC007449, ASIC007448	LOC115266503
OG0000319	ASIC006535	LOC109419083
OG0000319	ASIC006536, ASIC016269	LOC109404744
OG0000320	ASIC000161, ASIC000162, ASIC000163, ASIC000164	LOC109622184, LOC109403189, LOC109622286, LOC115268871, LOC109403188, LOC109622183
