Orthogroup	AsinensisChina	AaegyptiLVP_AGWG
OG0000020	ASIC005578	AAEL029084, AAEL029082
OG0000020	ASIC010160	AAEL008681
OG0000021	ASIC006150	AAEL004631
OG0000021	ASIC012218	AAEL001673
OG0000021	ASIC007587	AAEL011197
OG0000021	ASIC006151, ASIC010309	AAEL004616
OG0000021	ASIC015692	AAEL009451
OG0000021	ASIC010311	AAEL001951
OG0000021	ASIC010313	AAEL005964
OG0000021	ASIC010312	AAEL005961
OG0000023	ASIC013723, ASIC013720, ASIC013724, ASIC013722, ASIC000075, ASIC013721	AAEL000351, AAEL029065
OG0000023	ASIC019569, ASIC002406	AAEL000323, AAEL024983
OG0000024	ASIC018921	AAEL010380, AAEL017311
OG0000024	ASIC018920	AAEL010367, AAEL024680
OG0000024	ASIC018905	AAEL010384
OG0000026	ASIC016558, ASIC016557	AAEL013496, AAEL013501
OG0000026	ASIC016559	AAEL013493
OG0000026	ASIC016561	AAEL015116, AAEL015113
OG0000026	ASIC016560	AAEL013492
OG0000026	ASIC016118	AAEL011763, AAEL011764, AAEL020579
OG0000026	ASIC014095	AAEL014544
OG0000030	ASIC003377, ASIC003385, ASIC003382, ASIC003384, ASIC004709, ASIC004705, ASIC004703, ASIC004701, ASIC003400, ASIC013656, ASIC004707, ASIC004704, ASIC004708, ASIC004706, ASIC003393, ASIC015022, ASIC003420, ASIC003419, ASIC003381, ASIC003417, ASIC003383	AAEL000087, AAEL025334, AAEL019959, AAEL001794, AAEL019958
OG0000033	ASIC021804	AAEL005064
OG0000033	ASIC009220	AAEL000038
OG0000033	ASIC001195, ASIC011903, ASIC001193, ASIC011904, ASIC011902, ASIC011901, ASIC009221, ASIC009222	AAEL000037, AAEL000028, AAEL000099
OG0000034	ASIC021981	AAEL013562
OG0000035	ASIC012439	AAEL009610, AAEL025842, AAEL013024
OG0000037	ASIC013351, ASIC013352, ASIC013353, ASIC022219, ASIC014023	AAEL008895
OG0000039	ASIC002581, ASIC000445, ASIC012458, ASIC010050, ASIC010664	AAEL002693, AAEL006524, AAEL002682, AAEL002476, AAEL009239, AAEL000793
OG0000040	ASIC015489, ASIC015488, ASIC015490, ASIC007400, ASIC006427, ASIC006438	AAEL020825, AAEL008448
OG0000041	ASIC005058	AAEL007044
OG0000041	ASIC005063	AAEL007060
OG0000041	ASIC005062	AAEL007063
OG0000041	ASIC005064	AAEL007051, AAEL007070
OG0000041	ASIC005684, ASIC005059, ASIC005061	AAEL023132
OG0000042	ASIC017752, ASIC017751, ASIC017733, ASIC001192, ASIC017724, ASIC001191	AAEL018347
OG0000046	ASIC012560, ASIC001352, ASIC009809, ASIC005432, ASIC009407, ASIC009810, ASIC002914, ASIC005430, ASIC005429, ASIC001385, ASIC009812, ASIC009813, ASIC009814	AAEL005753
OG0000048	ASIC019015, ASIC019014, ASIC019017, ASIC019018	AAEL004672, AAEL004667, AAEL001508, AAEL008856
OG0000049	ASIC018403, ASIC018371, ASIC018370	AAEL002595
OG0000049	ASIC018401, ASIC018400	AAEL002590
OG0000049	ASIC001190, ASIC017764	AAEL002600
OG0000049	ASIC018404	AAEL002629
OG0000051	ASIC010146, ASIC010154, ASIC010151, ASIC010148	AAEL004746, AAEL029078, AAEL004751, AAEL004745, AAEL004749, AAEL004758, AAEL024588
OG0000052	ASIC018088	AAEL017475
OG0000052	ASIC018082	AAEL024686, AAEL020852, AAEL006627, AAEL007938, AAEL011929, AAEL011916
OG0000053	ASIC020708, ASIC020706, ASIC020707, ASIC020704, ASIC020705, ASIC020710, ASIC020703	AAEL010055
OG0000055	ASIC000721	AAEL019403
OG0000055	ASIC016078	AAEL026446
OG0000055	ASIC014234	AAEL023321, AAEL017975, AAEL027610, AAEL017976, AAEL020330
OG0000057	ASIC010132, ASIC010135, ASIC010134, ASIC010137, ASIC010133, ASIC010138	AAEL004772, AAEL004752, AAEL004747, AAEL004782, AAEL004771, AAEL004759, AAEL023487
OG0000058	ASIC007323	AAEL026976, AAEL008624
OG0000058	ASIC007325	AAEL008625
OG0000058	ASIC007324	AAEL008628
OG0000059	ASIC019011, ASIC019000	AAEL022646
OG0000059	ASIC019170	AAEL002360
OG0000059	ASIC016660	AAEL002347, AAEL024934
OG0000060	ASIC010127	AAEL004762, AAEL004776, AAEL019994, AAEL019993
OG0000060	ASIC010130, ASIC010129	AAEL004748, AAEL004760, AAEL004764, AAEL004742, AAEL004765
OG0000061	ASIC015402	AAEL026011, AAEL007673
OG0000061	ASIC016621	AAEL006719
OG0000061	ASIC008791	AAEL013421, AAEL008451
OG0000062	ASIC004218, ASIC009092, ASIC004219, ASIC004220, ASIC013583, ASIC013564, ASIC015598, ASIC015597	AAEL015533
OG0000063	ASIC021538	AAEL005771, AAEL005788
OG0000063	ASIC010842	AAEL000320, AAEL012761
OG0000064	ASIC014147	AAEL024986
OG0000064	ASIC002653, ASIC002651	AAEL014561, AAEL021735, AAEL025303, AAEL013027, AAEL017403
OG0000064	ASIC001146	AAEL017501
OG0000067	ASIC018220	AAEL000678, AAEL000647
OG0000067	ASIC018219	AAEL000642
OG0000068	ASIC011681	AAEL024556
OG0000068	ASIC011682	AAEL013512, AAEL013520, AAEL007194, AAEL007192, AAEL013514
OG0000068	ASIC011687	AAEL011444
OG0000068	ASIC011679	AAEL013515
OG0000069	ASIC005652	AAEL015136
OG0000069	ASIC002404, ASIC005650, ASIC005651, ASIC000407	AAEL009556, AAEL009555, AAEL009553
OG0000071	ASIC008283	AAEL002085, AAEL003399
OG0000071	ASIC013586	AAEL013798
OG0000072	ASIC019961	AAEL013229
OG0000072	ASIC012496	AAEL012424
OG0000073	ASIC014115	AAEL007128
OG0000074	ASIC016739, ASIC016738, ASIC016740, ASIC016736, ASIC016737, ASIC016735	AAEL011460, AAEL011454
OG0000074	ASIC002864	AAEL011449
OG0000075	ASIC021158, ASIC021155, ASIC021154, ASIC021157, ASIC021159	AAEL013444, AAEL013442, AAEL013443, AAEL021060, AAEL025773, AAEL013439
OG0000076	ASIC018187	AAEL003992
OG0000077	ASIC002587	AAEL026915
OG0000077	ASIC002588, ASIC002586	AAEL015020, AAEL015573, AAEL015021
OG0000079	ASIC011456, ASIC011455	AAEL023932, AAEL006498, AAEL006259
OG0000079	ASIC011459	AAEL005621, AAEL005625, AAEL006484, AAEL024685
OG0000080	ASIC016601	AAEL012700, AAEL012702
OG0000080	ASIC016602	AAEL012698
OG0000080	ASIC019334, ASIC019335	AAEL008384, AAEL008386
OG0000081	ASIC007880	AAEL013347
OG0000081	ASIC007878, ASIC007850, ASIC007872	AAEL013349, AAEL013352, AAEL013346, AAEL013344, AAEL013348, AAEL013338
OG0000081	ASIC007881	AAEL013341
OG0000082	ASIC018896, ASIC012751, ASIC012750, ASIC012735, ASIC012720, ASIC012721, ASIC015552, ASIC020059, ASIC017041, ASIC015969, ASIC015961, ASIC015947, ASIC015968, ASIC015948, ASIC015980, ASIC015942, ASIC012745, ASIC012746, ASIC012744, ASIC004383, ASIC004382, ASIC012729, ASIC012752, ASIC012731, ASIC004377, ASIC012726, ASIC004379, ASIC004372, ASIC004376, ASIC004368, ASIC014144, ASIC012727, ASIC012728, ASIC012714	AAEL019868
OG0000085	ASIC009268, ASIC004322, ASIC009271, ASIC009270, ASIC009269, ASIC009272	AAEL014439, AAEL014440, AAEL003971, AAEL003954
OG0000086	ASIC009153	AAEL012778
OG0000086	ASIC008317	AAEL008163, AAEL008162, AAEL022247, AAEL019828
OG0000088	ASIC008371, ASIC008372, ASIC008376	AAEL000546, AAEL000530, AAEL000545, AAEL008532, AAEL004724
OG0000089	ASIC019476	AAEL008252, AAEL022849
OG0000089	ASIC019432, ASIC019443, ASIC019421, ASIC019454, ASIC019465	AAEL001151
OG0000090	ASIC019694	AAEL017132
OG0000090	ASIC019695	AAEL015404
OG0000091	ASIC002280	AAEL006992, AAEL006989, AAEL003890
OG0000091	ASIC002279	AAEL007010, AAEL021861, AAEL007024
OG0000096	ASIC015638	AAEL002851
OG0000096	ASIC010647, ASIC010609	AAEL019894
OG0000096	ASIC010449	AAEL005052
OG0000096	ASIC015635	AAEL002848
OG0000097	ASIC021951	AAEL009559, AAEL009567
OG0000097	ASIC021949	AAEL009566
OG0000098	ASIC020759, ASIC013848, ASIC013849, ASIC020756, ASIC020757, ASIC020760, ASIC020758, ASIC020762, ASIC020761, ASIC020755	AAEL014140, AAEL014137, AAEL022822
OG0000104	ASIC017885, ASIC009066, ASIC009065	AAEL002668, AAEL006823
OG0000107	ASIC005646, ASIC005645, ASIC005655	AAEL014731, AAEL007754, AAEL004928
OG0000108	ASIC013421, ASIC013593	AAEL026025, AAEL026981, AAEL019469, AAEL019471, AAEL019470, AAEL029074, AAEL010435, AAEL013118, AAEL009166, AAEL013127, AAEL009165
OG0000109	ASIC002584	AAEL018267
OG0000109	ASIC014258	AAEL023958
OG0000109	ASIC014260	AAEL019847, AAEL012395
OG0000109	ASIC014256	AAEL027539
OG0000111	ASIC012092, ASIC012080, ASIC006082	AAEL024249, AAEL017232, AAEL027929, AAEL025172
OG0000114	ASIC012081	AAEL002241, AAEL002191, AAEL002229, AAEL002211, AAEL025678, AAEL002231, AAEL002246, AAEL002223, AAEL002233, AAEL002187
OG0000115	ASIC017431	AAEL004247
OG0000115	ASIC017432	AAEL022427
OG0000116	ASIC006403	AAEL005045, AAEL017209
OG0000116	ASIC006402	AAEL005043
OG0000116	ASIC014540	AAEL004743
OG0000119	ASIC016830	AAEL005200
OG0000119	ASIC016832, ASIC016833	AAEL005199, AAEL020054, AAEL005182, AAEL023662, AAEL004323
OG0000120	ASIC011544	AAEL019920, AAEL005609, AAEL005607, AAEL019919
OG0000120	ASIC011541	AAEL005594, AAEL005611
OG0000121	ASIC001472	AAEL020129, AAEL023436, AAEL025899
OG0000127	ASIC008877	AAEL011528, AAEL000686, AAEL001057, AAEL001096, AAEL007941
OG0000128	ASIC015309	AAEL000918
OG0000128	ASIC015247, ASIC015248	AAEL019933
OG0000129	ASIC008763, ASIC008762	AAEL012683, AAEL012688, AAEL002373, AAEL012680, AAEL012685
OG0000130	ASIC008146	AAEL008160
OG0000130	ASIC012064, ASIC012065	AAEL002237
OG0000131	ASIC012145	AAEL024660
OG0000131	ASIC012146	AAEL003272
OG0000131	ASIC012148	AAEL003226
OG0000131	ASIC012034	AAEL003259
OG0000132	ASIC014945, ASIC014943	AAEL005293
OG0000132	ASIC002822	AAEL003840
OG0000133	ASIC017840, ASIC017841	AAEL004091
OG0000133	ASIC017521, ASIC017520	AAEL014230
OG0000134	ASIC019150	AAEL019678
OG0000134	ASIC019149	AAEL005113, AAEL023844, AAEL005123
OG0000134	ASIC019146, ASIC019145, ASIC019147	AAEL019679
OG0000136	ASIC007232	AAEL013692, AAEL008098, AAEL007698
OG0000141	ASIC018449, ASIC018448, ASIC019151, ASIC018446	AAEL017553, AAEL002391, AAEL024216, AAEL002378, AAEL002385, AAEL002367
OG0000142	ASIC011129, ASIC010497	AAEL002426
OG0000142	ASIC004901	AAEL002432
OG0000142	ASIC014682	AAEL002408
OG0000143	ASIC008426	AAEL007816
OG0000146	ASIC008229	AAEL007592, AAEL015137
OG0000147	ASIC002221, ASIC002222, ASIC002220	AAEL006827, AAEL002031, AAEL001960, AAEL002005
OG0000148	ASIC007934	AAEL017460
OG0000148	ASIC012007	AAEL002676
OG0000149	ASIC018439	AAEL003091
OG0000149	ASIC018436	AAEL027549, AAEL027016
OG0000149	ASIC018437	AAEL026670
OG0000149	ASIC018438	AAEL003076
OG0000150	ASIC011027	AAEL003497
OG0000151	ASIC009913, ASIC009914	AAEL004025
OG0000152	ASIC004877	AAEL011180, AAEL011177
OG0000154	ASIC004043, ASIC013097, ASIC013108, ASIC004042, ASIC013051, ASIC004041	AAEL009130, AAEL009129, AAEL009123, AAEL009131
OG0000155	ASIC020577, ASIC020578	AAEL010418, AAEL027258, AAEL015286, AAEL010415, AAEL010428, AAEL023626, AAEL018080, AAEL010426, AAEL017079, AAEL010409
OG0000157	ASIC010788	AAEL026898
OG0000157	ASIC019241	AAEL021701, AAEL023616, AAEL027162, AAEL024662, AAEL025947, AAEL027079, AAEL024834, AAEL027392
OG0000160	ASIC016821	AAEL024826, AAEL027417, AAEL002264, AAEL023094, AAEL022840, AAEL022131, AAEL020119
OG0000161	ASIC019631	AAEL004798, AAEL002467
OG0000162	ASIC018375	AAEL002617
OG0000162	ASIC018379	AAEL002606
OG0000162	ASIC018380	AAEL002587
OG0000163	ASIC007358	AAEL004507
OG0000163	ASIC007362	AAEL022219
OG0000163	ASIC007363, ASIC007359	AAEL004486
OG0000164	ASIC021805	AAEL007511
OG0000164	ASIC021916	AAEL014567
OG0000164	ASIC021828	AAEL007514
OG0000165	ASIC020384	AAEL008017
OG0000165	ASIC020380	AAEL025214
OG0000165	ASIC020379, ASIC020381	AAEL008018
OG0000166	ASIC012923	AAEL013556, AAEL013554
OG0000166	ASIC012924	AAEL014830
OG0000166	ASIC012921	AAEL014019
OG0000171	ASIC004812, ASIC004811	AAEL027547, AAEL017192
OG0000171	ASIC004810	AAEL023653, AAEL005134
OG0000172	ASIC017527	AAEL026737
OG0000172	ASIC017517, ASIC017518	AAEL020253
OG0000172	ASIC017545, ASIC017548, ASIC017547	AAEL011332
OG0000173	ASIC022306	AAEL014515
OG0000174	ASIC009499	AAEL029047
OG0000174	ASIC007084	AAEL029038, AAEL029046, AAEL029041, AAEL029044
OG0000181	ASIC019035, ASIC019034	AAEL004729, AAEL026708, AAEL023262, AAEL004730, AAEL025094
OG0000182	ASIC020912	AAEL005407
OG0000182	ASIC020913	AAEL005412, AAEL005426, AAEL005417
OG0000183	ASIC011096	AAEL005786, AAEL019497, AAEL022007, AAEL009434, AAEL019498
OG0000184	ASIC007210	AAEL005999
OG0000184	ASIC007209	AAEL006003
OG0000185	ASIC014499, ASIC014498	AAEL013981, AAEL013983, AAEL021888
OG0000185	ASIC018463, ASIC018459	AAEL008045
OG0000187	ASIC003343	AAEL000035
OG0000189	ASIC020927	AAEL003743
OG0000189	ASIC004914	AAEL006390
OG0000190	ASIC009037	AAEL024092, AAEL020855
OG0000190	ASIC004005	AAEL023141
OG0000191	ASIC011618, ASIC011619, ASIC011617, ASIC011616	AAEL007085, AAEL024044
OG0000192	ASIC003853	AAEL018352
OG0000192	ASIC021385	AAEL008055
OG0000192	ASIC006813	AAEL007664
OG0000193	ASIC005170, ASIC009034, ASIC004649	AAEL018151, AAEL008595
OG0000194	ASIC007163	AAEL022256, AAEL009193
OG0000196	ASIC009091	AAEL014662, AAEL011677, AAEL019722
OG0000200	ASIC004374	AAEL019407
OG0000200	ASIC004381	AAEL000536
OG0000201	ASIC018737	AAEL020195, AAEL001844
OG0000201	ASIC018748	AAEL001840
OG0000202	ASIC005159	AAEL003617, AAEL026142, AAEL011356
OG0000203	ASIC022196	AAEL003626
OG0000203	ASIC022191, ASIC022195	AAEL003641, AAEL003619
OG0000203	ASIC022193, ASIC022189	AAEL018304
OG0000204	ASIC018858, ASIC018857	AAEL014078
OG0000204	ASIC018860	AAEL005665
OG0000205	ASIC007148	AAEL007913
OG0000206	ASIC009932, ASIC009934, ASIC009931, ASIC009933	AAEL009935, AAEL009945, AAEL009938
OG0000206	ASIC017261	AAEL006668
OG0000207	ASIC020302, ASIC020301	AAEL027951, AAEL026297, AAEL007619
OG0000208	ASIC004792	AAEL008274
OG0000208	ASIC004793, ASIC004794, ASIC004795	AAEL008259, AAEL027364
OG0000209	ASIC018130	AAEL020200
OG0000210	ASIC005087, ASIC005086	AAEL022562, AAEL013032
OG0000217	ASIC021690	AAEL002994
OG0000217	ASIC007120	AAEL001622
OG0000217	ASIC021693	AAEL003013
OG0000218	ASIC006963, ASIC006964	AAEL002028
OG0000219	ASIC017087	AAEL012431, AAEL010858, AAEL012430, AAEL024868, AAEL010853
OG0000220	ASIC021082	AAEL002964
OG0000220	ASIC021083	AAEL002969, AAEL002959
OG0000220	ASIC021081	AAEL002972
OG0000221	ASIC016222, ASIC016221, ASIC016220	AAEL021590, AAEL003079
OG0000221	ASIC019669, ASIC019668	AAEL014371, AAEL008560
OG0000222	ASIC014190	AAEL021010, AAEL019957
OG0000222	ASIC014179	AAEL026731, AAEL011822, AAEL004240
OG0000223	ASIC011432	AAEL006487
OG0000224	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365	AAEL006835
OG0000225	ASIC021356	AAEL014411, AAEL014412
OG0000226	ASIC020560, ASIC020556	AAEL027179
OG0000229	ASIC021403, ASIC004678	AAEL024475
OG0000230	ASIC005288	AAEL021401, AAEL006228, AAEL024098, AAEL001015, AAEL005000
OG0000231	ASIC011666, ASIC011669	AAEL001743, AAEL001735, AAEL008873, AAEL008866, AAEL008869, AAEL008872
OG0000232	ASIC012966, ASIC012965	AAEL002043, AAEL026706
OG0000233	ASIC011408	AAEL007602, AAEL003060
OG0000234	ASIC020664	AAEL007449
OG0000235	ASIC017168, ASIC009033	AAEL008843, AAEL008580, AAEL024616
OG0000236	ASIC011385, ASIC008198, ASIC015967	AAEL009206
OG0000237	ASIC003194	AAEL022081, AAEL012350
OG0000244	ASIC022012	AAEL001196
OG0000244	ASIC022140	AAEL000597
OG0000245	ASIC005515, ASIC005518	AAEL010893
OG0000245	ASIC005516	AAEL000843, AAEL010894
OG0000246	ASIC021753, ASIC021752, ASIC021751, ASIC021749, ASIC021748	AAEL001059
OG0000247	ASIC016691, ASIC016692	AAEL001683, AAEL001677
OG0000247	ASIC019252	AAEL001704
OG0000248	ASIC017750	AAEL001822, AAEL001816
OG0000249	ASIC016050, ASIC000958	AAEL003738, AAEL003726, AAEL003740, AAEL003728, AAEL023973
OG0000250	ASIC004082	AAEL004580
OG0000250	ASIC004081	AAEL004582
OG0000252	ASIC005046	AAEL007257, AAEL007251, AAEL014554
OG0000252	ASIC005048	AAEL024448
OG0000253	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662	AAEL007993, AAEL007992
OG0000254	ASIC005504	AAEL009916
OG0000255	ASIC020208, ASIC020207, ASIC020205, ASIC020206	AAEL012770, AAEL012762, AAEL020553, AAEL011761, AAEL022568, AAEL012769, AAEL012765
OG0000256	ASIC012491, ASIC012495	AAEL012425, AAEL012422
OG0000257	ASIC005738	AAEL019890, AAEL027350
OG0000265	ASIC007840	AAEL008213, AAEL008211
OG0000266	ASIC010738	AAEL013662
OG0000266	ASIC004862, ASIC004863	AAEL000757
OG0000267	ASIC021746	AAEL010582
OG0000268	ASIC007410, ASIC007406	AAEL002690
OG0000268	ASIC007405	AAEL002692
OG0000269	ASIC006168	AAEL003195, AAEL026083, AAEL023346, AAEL003196, AAEL020734, AAEL021498, AAEL003181, AAEL022449, AAEL003201, AAEL028198, AAEL003187, AAEL024002
OG0000270	ASIC018039	AAEL003444, AAEL003439
OG0000271	ASIC006601	AAEL004778
OG0000272	ASIC015539	AAEL008858
OG0000272	ASIC011268	AAEL008876
OG0000273	ASIC011512	AAEL008928
OG0000273	ASIC011515	AAEL008931
OG0000274	ASIC019686	AAEL010098, AAEL010099
OG0000274	ASIC020495	AAEL024977
OG0000275	ASIC014691, ASIC014690, ASIC014692	AAEL012343, AAEL012349, AAEL023211
OG0000276	ASIC017971	AAEL013044, AAEL013048, AAEL013054
OG0000277	ASIC008290, ASIC008301	AAEL013198, AAEL026420
OG0000278	ASIC016444, ASIC016562	AAEL013217
OG0000279	ASIC012105	AAEL017402, AAEL024828, AAEL021930, AAEL025608
OG0000280	ASIC014626, ASIC014625	AAEL029034
OG0000280	ASIC014624	AAEL029031
OG0000285	ASIC005533, ASIC005534	AAEL000029
OG0000285	ASIC005544, ASIC005545	AAEL000024
OG0000286	ASIC015277, ASIC015276	AAEL022696, AAEL000613, AAEL000628, AAEL000614, AAEL006465, AAEL017294
OG0000287	ASIC022020, ASIC022019	AAEL001221
OG0000288	ASIC006693, ASIC006682	AAEL020558, AAEL001320, AAEL001292, AAEL025530, AAEL001312, AAEL001807, AAEL009591
OG0000289	ASIC007910, ASIC007909	AAEL003317, AAEL003297, AAEL003298
OG0000290	ASIC015220, ASIC015219	AAEL004103, AAEL004092
OG0000291	ASIC019903	AAEL004592
OG0000291	ASIC018745, ASIC018743	AAEL024570
OG0000292	ASIC012870	AAEL004935
OG0000292	ASIC012872	AAEL004923
OG0000293	ASIC020292	AAEL019520
OG0000293	ASIC021166	AAEL005702, AAEL010609
OG0000294	ASIC000865, ASIC000867	AAEL022989, AAEL007040
OG0000294	ASIC000063	AAEL006160
OG0000295	ASIC014489, ASIC014488, ASIC014487	AAEL006385
OG0000297	ASIC007550	AAEL006818
OG0000297	ASIC007551	AAEL006829
OG0000298	ASIC019369	AAEL007711
OG0000299	ASIC010575	AAEL007893
OG0000299	ASIC018166, ASIC018167	AAEL008152, AAEL027985, AAEL008159
OG0000300	ASIC021618	AAEL009978
OG0000302	ASIC007798	AAEL015566, AAEL015567
OG0000302	ASIC007799	AAEL011499
OG0000303	ASIC014829	AAEL026551
OG0000304	ASIC009070	AAEL014541
OG0000304	ASIC009068	AAEL014537
OG0000305	ASIC008672	AAEL019599
OG0000306	ASIC017623, ASIC015935, ASIC007588, ASIC017620	AAEL022773
OG0000317	ASIC020227	AAEL000039, AAEL000089, AAEL000066, AAEL000018
OG0000318	ASIC003841, ASIC003842, ASIC007449, ASIC007448	AAEL000690
OG0000319	ASIC006535	AAEL026313, AAEL027346
OG0000319	ASIC006536, ASIC016269	AAEL001010
OG0000320	ASIC000161, ASIC000162, ASIC000163, ASIC000164	AAEL002288, AAEL002301
OG0000321	ASIC020752	AAEL002904
OG0000321	ASIC022307	AAEL002917
OG0000324	ASIC003860, ASIC003861	AAEL005749
OG0000324	ASIC003858	AAEL005763
OG0000325	ASIC019850	AAEL005759, AAEL007339, AAEL005890
OG0000326	ASIC005793	AAEL007169
OG0000326	ASIC005792	AAEL006077
OG0000327	ASIC009969	AAEL006684, AAEL012580, AAEL021830, AAEL024894, AAEL019749, AAEL019750, AAEL027138, AAEL010580, AAEL006679, AAEL022785, AAEL025034
OG0000328	ASIC018103	AAEL026562, AAEL006696
OG0000328	ASIC018105	AAEL022561, AAEL006692
OG0000329	ASIC007335	AAEL008634
OG0000329	ASIC007336, ASIC007337	AAEL008622
OG0000330	ASIC005378	AAEL012245
OG0000330	ASIC005380	AAEL009580
OG0000331	ASIC011490	AAEL011658
OG0000331	ASIC011489	AAEL011662
OG0000332	ASIC013992, ASIC011150, ASIC013991	AAEL011931
OG0000333	ASIC016706	AAEL012421
OG0000334	ASIC005880	AAEL013154
OG0000336	ASIC018901	AAEL024525
OG0000336	ASIC018897	AAEL021016
OG0000337	ASIC017612	AAEL022318, AAEL024484
OG0000344	ASIC020228	AAEL000073
OG0000345	ASIC011811	AAEL000200, AAEL000165
OG0000346	ASIC000815, ASIC021948	AAEL000216, AAEL004949, AAEL004953, AAEL004947
OG0000347	ASIC000181	AAEL000861, AAEL000859
OG0000348	ASIC015321, ASIC015322, ASIC015323	AAEL000890, AAEL000896
OG0000349	ASIC012256, ASIC012253	AAEL013997
OG0000349	ASIC012252	AAEL001041
