Orthogroup	AsinensisChina	AgambiaePEST
OG0000053	ASIC020710	AGAP028118, AGAP028020, AGAP028195
OG0000053	ASIC020703	AGAP028165, AGAP008956, AGAP028181, AGAP028155, AGAP027990, AGAP028070, AGAP028082, AGAP028226
OG0000055	ASIC000721	AGAP002076
OG0000055	ASIC016078	AGAP004944
OG0000055	ASIC014234	AGAP004583, AGAP004581
OG0000057	ASIC010134, ASIC010137	AGAP010105, AGAP010107, AGAP010104, AGAP029247
OG0000057	ASIC010133	AGAP010106, AGAP010103, AGAP010121, AGAP010108
OG0000057	ASIC010138	AGAP029248
OG0000058	ASIC007323	AGAP009472
OG0000058	ASIC007325	AGAP009467
OG0000058	ASIC007324	AGAP009468
OG0000058	ASIC002529	AGAP008945
OG0000059	ASIC019011, ASIC019000	AGAP005194, AGAP012778, AGAP005196, AGAP005195
OG0000059	ASIC019170	AGAP006707, AGAP006709, AGAP006710, AGAP006711
OG0000059	ASIC016660	AGAP007142, AGAP007141
OG0000060	ASIC010127	AGAP010097
OG0000060	ASIC010126	AGAP010095
OG0000060	ASIC010130, ASIC010129	AGAP010100, AGAP010099
OG0000060	ASIC010128	AGAP010098
OG0000060	ASIC010131	AGAP010101
OG0000061	ASIC015402	AGAP012230
OG0000061	ASIC016621	AGAP006371
OG0000061	ASIC008790, ASIC008789	AGAP002318
OG0000061	ASIC008791	AGAP002317
OG0000062	ASIC004218	AGAP003960
OG0000062	ASIC009092	AGAP008558
OG0000062	ASIC004220	AGAP013252
OG0000062	ASIC013583, ASIC013564, ASIC015598, ASIC015597	AGAP028071, AGAP008808, AGAP000411, AGAP008911, AGAP029120, AGAP029119, AGAP029111, AGAP029114, AGAP029108, AGAP028711, AGAP012749, AGAP012270, AGAP012777, AGAP012817, AGAP029330, AGAP028710, AGAP029067
OG0000063	ASIC021538	AGAP002555
OG0000063	ASIC010842	AGAP002202
OG0000064	ASIC001146	AGAP002134
OG0000067	ASIC018220	AGAP012400
OG0000067	ASIC018219	AGAP012399
OG0000068	ASIC011681	AGAP005999
OG0000068	ASIC011682	AGAP005998
OG0000068	ASIC011687	AGAP005996
OG0000068	ASIC011679	AGAP006001
OG0000069	ASIC005652	AGAP002851
OG0000069	ASIC002404	AGAP007197
OG0000069	ASIC005650	AGAP007415, AGAP002849
OG0000069	ASIC005651	AGAP002850
OG0000069	ASIC000407	AGAP002804
OG0000071	ASIC008283	AGAP001861
OG0000071	ASIC013586	AGAP028019, AGAP008358, AGAP008356
OG0000072	ASIC019961	AGAP010971
OG0000072	ASIC012496	AGAP002770
OG0000073	ASIC014115	AGAP007752
OG0000074	ASIC016739, ASIC016738	AGAP005385
OG0000074	ASIC016740	AGAP005384
OG0000074	ASIC016736	AGAP005386
OG0000074	ASIC016735	AGAP005387, AGAP005388
OG0000074	ASIC002864	AGAP007354
OG0000075	ASIC021158, ASIC021155	AGAP006980, AGAP006984
OG0000075	ASIC021154, ASIC021157	AGAP006983, AGAP006981, AGAP006979
OG0000075	ASIC021159	AGAP006978, AGAP006985, AGAP006982
OG0000076	ASIC018187	AGAP009449, AGAP009448, AGAP010931, AGAP011270, AGAP012638, AGAP011267, AGAP029737, AGAP029736, AGAP011232, AGAP011238, AGAP029734, AGAP005253, AGAP029735, AGAP028622, AGAP011234, AGAP011233, AGAP000216, AGAP011835
OG0000077	ASIC002587	AGAP006424
OG0000077	ASIC002588, ASIC002586	AGAP006425, AGAP006423
OG0000078	ASIC022286	AGAP029351
OG0000079	ASIC011457	AGAP001162
OG0000079	ASIC011456, ASIC011455	AGAP012985, AGAP012982, AGAP013149
OG0000079	ASIC011459	AGAP001161
OG0000080	ASIC016601	AGAP006380
OG0000080	ASIC016602	AGAP006379
OG0000080	ASIC019812	AGAP007504
OG0000080	ASIC019334	AGAP012155
OG0000080	ASIC019335	AGAP012156
OG0000081	ASIC007880	AGAP007161
OG0000081	ASIC007878, ASIC007850, ASIC007872	AGAP005547, AGAP005548
OG0000081	ASIC007881	AGAP007162
OG0000085	ASIC009268	AGAP003763
OG0000085	ASIC004322	AGAP003764
OG0000085	ASIC009271, ASIC009270, ASIC009269	AGAP013346, AGAP003760, AGAP003759, AGAP003762
OG0000085	ASIC009272	AGAP003758
OG0000086	ASIC009153	AGAP004809
OG0000086	ASIC008317	AGAP013155, AGAP001881, AGAP012984
OG0000088	ASIC008371, ASIC008372	AGAP011507
OG0000088	ASIC008376	AGAP011509
OG0000089	ASIC019476	AGAP029766
OG0000089	ASIC019432	AGAP029781
OG0000089	ASIC019443	AGAP029780
OG0000089	ASIC019421	AGAP029779
OG0000089	ASIC019454	AGAP028709
OG0000089	ASIC019465	AGAP028708
OG0000090	ASIC019694	AGAP007385
OG0000090	ASIC019695	AGAP007386
OG0000091	ASIC002280	AGAP003343
OG0000091	ASIC002279	AGAP013511
OG0000093	ASIC022154, ASIC014826	AGAP028431, AGAP011339, AGAP005077, AGAP005104, AGAP029262, AGAP029447, AGAP005308
OG0000093	ASIC001437	AGAP029345
OG0000096	ASIC015638	AGAP010929
OG0000096	ASIC010609	AGAP008622
OG0000096	ASIC010449	AGAP005293
OG0000096	ASIC015635	AGAP010510
OG0000097	ASIC021951	AGAP013318
OG0000097	ASIC021949	AGAP013451
OG0000097	ASIC021950	AGAP029385
OG0000098	ASIC020756, ASIC020757, ASIC020760, ASIC020758, ASIC020762, ASIC020761, ASIC020755	AGAP009216, AGAP009217, AGAP009219, AGAP009218
OG0000103	ASIC008406	AGAP005105
OG0000103	ASIC014017	AGAP005022, AGAP005027, AGAP029484, AGAP029942
OG0000104	ASIC017885, ASIC009066	AGAP008545, AGAP028059
OG0000104	ASIC009065	AGAP028140, AGAP008544
OG0000105	ASIC014502, ASIC014526, ASIC014524, ASIC014525, ASIC014503	AGAP010618, AGAP028705, AGAP012473, AGAP028704, AGAP010614, AGAP012670, AGAP012671, AGAP010615, AGAP012566, AGAP029961, AGAP010617, AGAP010619, AGAP010620, AGAP012472, AGAP012492, AGAP010015, AGAP012470, AGAP010663, AGAP029193, AGAP012692, AGAP029192, AGAP010661, AGAP029095
OG0000107	ASIC005646	AGAP013529, AGAP002855
OG0000107	ASIC005645	AGAP002856
OG0000107	ASIC005655	AGAP002854
OG0000108	ASIC013421, ASIC013593	AGAP006187
OG0000109	ASIC002584	AGAP006427
OG0000109	ASIC014258	AGAP029457
OG0000109	ASIC014260	AGAP004603
OG0000109	ASIC014256	AGAP029686
OG0000111	ASIC012092	AGAP012724, AGAP029416, AGAP028224, AGAP008454, AGAP028081
OG0000111	ASIC012080, ASIC006082	AGAP008460
OG0000114	ASIC012081	AGAP028151, AGAP028057, AGAP008458, AGAP008459
OG0000115	ASIC017431	AGAP006594
OG0000115	ASIC017432	AGAP006595
OG0000116	ASIC006403	AGAP008437
OG0000116	ASIC006402	AGAP028128, AGAP027980
OG0000116	ASIC014540	AGAP009835
OG0000119	ASIC016830	AGAP005834
OG0000119	ASIC016832	AGAP005835, AGAP005836
OG0000119	ASIC016833	AGAP005837
OG0000120	ASIC011544	AGAP001249
OG0000120	ASIC011541	AGAP001245
OG0000120	ASIC013726	AGAP006869
OG0000123	ASIC014634	AGAP029183, AGAP029220
OG0000123	ASIC020219, ASIC020215	AGAP013242, AGAP013436, AGAP029216
OG0000123	ASIC000783	AGAP029145, AGAP029178, AGAP029217, AGAP029208, AGAP029141, AGAP029135, AGAP029212, AGAP029215, AGAP029184, AGAP029230, AGAP029222, AGAP029225, AGAP029140
OG0000124	ASIC019768	AGAP007461
OG0000124	ASIC019753	AGAP007443
OG0000124	ASIC019769, ASIC019770, ASIC019771	AGAP007463, AGAP007464, AGAP007462, AGAP007465, AGAP029854, AGAP007466, AGAP007470, AGAP007467, AGAP007469, AGAP007468, AGAP007471
OG0000127	ASIC008877	AGAP001825
OG0000128	ASIC015309	AGAP010917
OG0000128	ASIC015247	AGAP011366
OG0000128	ASIC015248	AGAP011365
OG0000129	ASIC008763	AGAP012996
OG0000129	ASIC008762	AGAP001552, AGAP013124
OG0000130	ASIC008146	AGAP001899
OG0000130	ASIC012064	AGAP008468
OG0000130	ASIC012065	AGAP028049
OG0000131	ASIC012145	AGAP009877
OG0000131	ASIC012146	AGAP009876
OG0000131	ASIC012148	AGAP009875
OG0000131	ASIC012034	AGAP009871
OG0000132	ASIC014945	AGAP013132, AGAP004807
OG0000132	ASIC014943	AGAP012529
OG0000132	ASIC014946	AGAP004806
OG0000132	ASIC002822	AGAP011287
OG0000133	ASIC017840, ASIC017841	AGAP012279
OG0000133	ASIC017521	AGAP011611
OG0000133	ASIC017520	AGAP011610
OG0000134	ASIC019150	AGAP006724, AGAP006725
OG0000134	ASIC019149	AGAP006726
OG0000134	ASIC019145	AGAP006728
OG0000134	ASIC019147	AGAP006727
OG0000135	ASIC020739	AGAP008968
OG0000135	ASIC015458	AGAP011482
OG0000135	ASIC007191	AGAP007906, AGAP009527
OG0000136	ASIC007232	AGAP009509
OG0000141	ASIC018449	AGAP005758
OG0000141	ASIC018448	AGAP005757
OG0000141	ASIC019151, ASIC018446	AGAP005756
OG0000142	ASIC011129	AGAP003422
OG0000142	ASIC010497	AGAP003423
OG0000142	ASIC004901	AGAP003432
OG0000142	ASIC014682	AGAP003078
OG0000143	ASIC008422	AGAP012957, AGAP002418, AGAP013241
OG0000143	ASIC008426	AGAP002419
OG0000144	ASIC001515	AGAP006157
OG0000146	ASIC008229	AGAP001956
OG0000147	ASIC002221	AGAP008019
OG0000147	ASIC002222	AGAP008020, AGAP012800, AGAP008022
OG0000147	ASIC002220	AGAP008018
OG0000148	ASIC007934	AGAP009754
OG0000148	ASIC022060, ASIC022061, ASIC007933, ASIC007935	AGAP028646
OG0000148	ASIC012007	AGAP009757
OG0000149	ASIC018439	AGAP005753
OG0000149	ASIC018436	AGAP005750
OG0000149	ASIC018437	AGAP005751
OG0000149	ASIC018438	AGAP005752
OG0000150	ASIC011027	AGAP007104
OG0000151	ASIC009913, ASIC009914	AGAP003785, AGAP012609
OG0000152	ASIC004877	AGAP006398
OG0000154	ASIC004043, ASIC013097	AGAP002894
OG0000154	ASIC013108, ASIC004042, ASIC013051, ASIC004041	AGAP008218, AGAP008217
OG0000155	ASIC020577, ASIC020578	AGAP004355, AGAP004356, AGAP004357, AGAP004354
OG0000157	ASIC010788	AGAP028217
OG0000157	ASIC019241	AGAP007154
OG0000160	ASIC016821	AGAP029361, AGAP006815
OG0000161	ASIC019631	AGAP006796, AGAP006795
OG0000162	ASIC018387	AGAP012318
OG0000162	ASIC018375	AGAP012325
OG0000162	ASIC018379	AGAP012321
OG0000162	ASIC018380	AGAP012320
OG0000163	ASIC007358	AGAP009436
OG0000163	ASIC007362	AGAP009434
OG0000163	ASIC007363, ASIC007359	AGAP009435
OG0000164	ASIC021805	AGAP004571
OG0000164	ASIC021916	AGAP004566
OG0000164	ASIC021828	AGAP004570
OG0000165	ASIC020384	AGAP000194
OG0000165	ASIC020380	AGAP000192
OG0000165	ASIC020379	AGAP000193
OG0000165	ASIC020381	AGAP010414
OG0000166	ASIC012923	AGAP006048
OG0000166	ASIC012924	AGAP006049
OG0000166	ASIC012921	AGAP006047
OG0000171	ASIC004812, ASIC004811	AGAP011348
OG0000171	ASIC004810	AGAP011347
OG0000172	ASIC017527	AGAP011613
OG0000172	ASIC017517, ASIC017518	AGAP011609
OG0000172	ASIC017547	AGAP011618
OG0000173	ASIC022306	AGAP029928
OG0000173	ASIC022304	AGAP010764
OG0000174	ASIC009499	AGAP000694
OG0000174	ASIC007084	AGAP000693
OG0000181	ASIC019035	AGAP006078, AGAP006079
OG0000181	ASIC019034	AGAP006075
OG0000182	ASIC020912	AGAP003722, AGAP012784
OG0000182	ASIC020913	AGAP003720
OG0000183	ASIC011096	AGAP002979, AGAP002423, AGAP002973
OG0000184	ASIC007210	AGAP009519
OG0000184	ASIC007209	AGAP009520
OG0000185	ASIC014498	AGAP029203
OG0000185	ASIC018463, ASIC018459	AGAP005768
OG0000187	ASIC003343	AGAP002905
OG0000188	ASIC009167, ASIC009163, ASIC009169, ASIC009174, ASIC009164, ASIC009173, ASIC009166, ASIC009168, ASIC009162, ASIC009160, ASIC009161	AGAP004855
OG0000189	ASIC020927	AGAP003711
OG0000189	ASIC004914	AGAP001588, AGAP012818
OG0000190	ASIC009037	AGAP029641
OG0000190	ASIC004005	AGAP008320
OG0000191	ASIC011618, ASIC011619, ASIC011617	AGAP005966, AGAP005967, AGAP005968
OG0000191	ASIC011616	AGAP005969
OG0000192	ASIC003853	AGAP008588
OG0000192	ASIC021385	AGAP002152
OG0000192	ASIC006813	AGAP000962
OG0000193	ASIC005170, ASIC009034, ASIC004649	AGAP002022
OG0000194	ASIC007163	AGAP009540, AGAP009541, AGAP012649
OG0000196	ASIC009091	AGAP008557
OG0000200	ASIC004374	AGAP011195
OG0000200	ASIC004381	AGAP011194
OG0000201	ASIC018737	AGAP006208
OG0000201	ASIC018748	AGAP006209
OG0000202	ASIC006264	AGAP000414
OG0000202	ASIC005159	AGAP000289
OG0000203	ASIC022196	AGAP029591
OG0000203	ASIC022191, ASIC022195	AGAP029307
OG0000203	ASIC022193, ASIC022189	AGAP028615
OG0000204	ASIC018858, ASIC018857	AGAP006911
OG0000204	ASIC018860	AGAP006910
OG0000205	ASIC007148	AGAP009551, AGAP012673, AGAP009553, AGAP012672, AGAP009552
OG0000206	ASIC009932, ASIC009934	AGAP008630, AGAP028029
OG0000206	ASIC017261	AGAP008627
OG0000207	ASIC020302	AGAP001002, AGAP010637, AGAP000999, AGAP029166, AGAP013027, AGAP010669, AGAP010636, AGAP010634
OG0000207	ASIC020301	AGAP001004
OG0000208	ASIC004792	AGAP011182
OG0000208	ASIC004793, ASIC004794, ASIC004795	AGAP011183
OG0000209	ASIC018130	AGAP011893
OG0000210	ASIC005087	AGAP011432, AGAP029292, AGAP029324, AGAP029065
OG0000210	ASIC005086	AGAP029748, AGAP029117, AGAP011431, AGAP029749, AGAP029750, AGAP029747, AGAP008891
OG0000216	ASIC012609, ASIC012610, ASIC012607	AGAP028733, AGAP028664, AGAP028734, AGAP028691, AGAP028692, AGAP028663, AGAP004913, AGAP004941, AGAP008170, AGAP028735
OG0000216	ASIC012608	AGAP008173
OG0000217	ASIC021690	AGAP012963
OG0000217	ASIC007120	AGAP000310
OG0000217	ASIC021693	AGAP003365
OG0000218	ASIC006963	AGAP008052
OG0000218	ASIC006964	AGAP008051
OG0000219	ASIC017087	AGAP000907
OG0000220	ASIC021082	AGAP013166
OG0000220	ASIC021083	AGAP013260
OG0000220	ASIC021081	AGAP002457
OG0000221	ASIC016222, ASIC016221, ASIC016220	AGAP007990
OG0000221	ASIC019669, ASIC019668	AGAP006775
OG0000222	ASIC014190	AGAP028196
OG0000222	ASIC014179	AGAP008915
OG0000222	ASIC013415	AGAP010241
OG0000223	ASIC011432	AGAP001185
OG0000224	ASIC016040, ASIC016029, ASIC013364, ASIC013363, ASIC013366, ASIC013362, ASIC013367, ASIC014745, ASIC006857, ASIC013360, ASIC001597, ASIC013361, ASIC013365	AGAP013366, AGAP012995, AGAP029279, AGAP013463
OG0000225	ASIC021356	AGAP003066, AGAP003065
OG0000226	ASIC020560	AGAP002446
OG0000228	ASIC019718	AGAP007407, AGAP007410
OG0000228	ASIC019719, ASIC019722, ASIC019723	AGAP000871, AGAP007411
OG0000229	ASIC021403	AGAP002137
OG0000229	ASIC004678	AGAP002008
OG0000230	ASIC005288	AGAP028050, AGAP008670, AGAP008671
OG0000231	ASIC011666	AGAP006013
OG0000231	ASIC011669	AGAP006012
OG0000232	ASIC012966	AGAP005657, AGAP012667, AGAP005660
OG0000232	ASIC012965	AGAP005656
OG0000233	ASIC011408	AGAP001190
OG0000234	ASIC020664	AGAP007803
OG0000235	ASIC017168, ASIC009033	AGAP013372, AGAP000706, AGAP013152, AGAP012911, AGAP012124
OG0000236	ASIC011385	AGAP001202
OG0000236	ASIC015967	AGAP012383
OG0000237	ASIC003194	AGAP003501
OG0000244	ASIC022012	AGAP009717, AGAP028644, AGAP009716, AGAP009723, AGAP009711
OG0000245	ASIC005515	AGAP002360
OG0000245	ASIC005518	AGAP002359
OG0000245	ASIC005516	AGAP013402
OG0000246	ASIC021753	AGAP012702, AGAP004173
OG0000246	ASIC021752	AGAP004383
OG0000246	ASIC021751, ASIC021749	AGAP012839, AGAP004381, AGAP004382
OG0000246	ASIC021748	AGAP012838, AGAP004380
OG0000247	ASIC016691	AGAP006146
OG0000247	ASIC016692	AGAP006145
OG0000247	ASIC019252	AGAP006148
OG0000248	ASIC017750	AGAP008404
OG0000249	ASIC016050	AGAP004935
OG0000249	ASIC000958	AGAP005326
OG0000250	ASIC004082	AGAP002055
OG0000250	ASIC004081	AGAP002058
OG0000252	ASIC005046	AGAP028629
OG0000252	ASIC005048	AGAP011674
OG0000253	ASIC004393, ASIC004389, ASIC004392, ASIC015664, ASIC015663, ASIC015661, ASIC015660, ASIC016323, ASIC015662	AGAP001648
OG0000254	ASIC005504	AGAP013293
OG0000255	ASIC020208, ASIC020207	AGAP002195, AGAP002197
OG0000256	ASIC012493, ASIC012494	AGAP002766
OG0000256	ASIC012491	AGAP002765
OG0000256	ASIC012495	AGAP002767, AGAP002769
OG0000257	ASIC005738	AGAP028220
OG0000260	ASIC010061	AGAP013416
OG0000260	ASIC010060	AGAP002763
OG0000260	ASIC010059	AGAP013285
OG0000260	ASIC010058	AGAP013363
OG0000265	ASIC007840	AGAP007255, AGAP007266
OG0000266	ASIC010738	AGAP008867
OG0000266	ASIC004862	AGAP007794
OG0000266	ASIC004863	AGAP007793
OG0000267	ASIC021746	AGAP004378
OG0000268	ASIC007410	AGAP029235
OG0000268	ASIC007406	AGAP007932
OG0000268	ASIC007405	AGAP007933
OG0000269	ASIC006168	AGAP001722
OG0000270	ASIC018039	AGAP004920, AGAP012945, AGAP011951, AGAP011952
OG0000271	ASIC006601	AGAP008769
OG0000272	ASIC015539	AGAP011698, AGAP011696
OG0000272	ASIC011268	AGAP004760
OG0000273	ASIC011512	AGAP001281
OG0000273	ASIC011513	AGAP001283
OG0000273	ASIC011515	AGAP001284
OG0000274	ASIC019686	AGAP010002, AGAP009985
OG0000274	ASIC020495	AGAP000094
OG0000275	ASIC014691, ASIC014690, ASIC014692	AGAP003083
OG0000276	ASIC017971	AGAP012686, AGAP029761, AGAP029762
OG0000277	ASIC008290, ASIC008301	AGAP001811, AGAP001812
OG0000278	ASIC016444	AGAP004971, AGAP004951
OG0000278	ASIC016562	AGAP004974
OG0000279	ASIC012105	AGAP008447, AGAP008446, AGAP008449
OG0000280	ASIC014626	AGAP009918
OG0000280	ASIC014625	AGAP009917
OG0000280	ASIC014624	AGAP029826, AGAP029827
OG0000285	ASIC005534	AGAP004324
OG0000285	ASIC005544	AGAP003096
OG0000285	ASIC005545	AGAP003097
OG0000286	ASIC015277, ASIC015276	AGAP010505, AGAP010504
OG0000287	ASIC022020, ASIC022019	AGAP009705, AGAP009707, AGAP009720, AGAP009719, AGAP009718, AGAP009706
OG0000288	ASIC006693	AGAP009363, AGAP009374
OG0000288	ASIC006682	AGAP029144, AGAP009375
OG0000289	ASIC007910	AGAP028096
OG0000289	ASIC007909	AGAP011302
OG0000290	ASIC015220	AGAP011048
OG0000290	ASIC015219	AGAP011047, AGAP011046
OG0000291	ASIC019903	AGAP006510
OG0000291	ASIC018743	AGAP006271
OG0000292	ASIC012870	AGAP010057
OG0000292	ASIC012872	AGAP029713, AGAP029711, AGAP029712
OG0000293	ASIC020292	AGAP001006
OG0000293	ASIC021166	AGAP006991
OG0000294	ASIC000867	AGAP002506
OG0000294	ASIC000063	AGAP012451
OG0000295	ASIC014489	AGAP010650
OG0000295	ASIC014488	AGAP010649
OG0000295	ASIC014487	AGAP010648
OG0000296	ASIC010617, ASIC010616	AGAP008278, AGAP008279
OG0000297	ASIC007550	AGAP000163
OG0000297	ASIC007551	AGAP000165
